[00000.00-00007.12] 好的,我们接下来看文说流帮打败了相语,然后结束了处罕之争。
[02227.92-02229.76] 那这里面我们所先来看一下
[02229.76-02230.56] 我们所说的
[02230.56-02231.60] 素之路的开配
[02231.60-02233.40] 给我们看炒
[02233.40-02234.44] 代表了什么呢
[02234.44-02235.16] 那在这里面
[02235.16-02235.80] 大家注意一下
[02235.80-02237.24] 主要考察的就是
[02237.24-02238.20] 还是
[02238.20-02239.76] 炒代和现象的对应
[02239.76-02241.48] 就是你能看到婚离
[02241.48-02243.32] 不能看到的现象的哪些
[02243.32-02245.08] 就哪些现象可可发生
[02245.08-02247.72] 这里它的输入同学们最起码技术这几个
[02247.72-02248.88] 第一个是普逃
[02248.88-02251.00] 第二个就是胡豆胡逃
[02251.00-02252.68] 你看都是外来的
[02252.68-02255.96] 胡 还有我们所说的 芝麻和黄瓜
[02256.80-02258.96] 这些东西 是不是都是好吃的
[02258.96-02260.76] 有记得好吃的这些东西
[02260.76-02262.76] 都是在我们所说的哈魯帝时期
[02262.76-02264.20] 似乎直露输入的
[02264.20-02266.44] 这只是食物或者是指物
[02266.44-02267.92] 除了这个之外还有什么呢
[02267.92-02270.34] 还带回了我们所说的汉血薄满
[02270.34-02271.64] 好 哈务力特别喜欢
[02271.64-02274.40] 所以两满从那个时候汉血薄满
[02274.40-02276.68] 就从我们所说的外部书见了
[02276.68-02277.90] 还有一根的大助理下
[02277.90-02279.32] 就是在西汉的时候
[02279.32-02281.36] 佛教通过私所之路
[02281.36-02282.46] 来到了中国
[02282.46-02284.56] 这时候佛教在西汉的时候
[02284.56-02285.92] 就已经穿着中国了
[02285.92-02286.64] 这个点
[02286.64-02288.48] 他往往会结合白马思
[02288.48-02290.46] 四秒的尽造来考察我们
[02290.46-02291.52] 所以大家注意一下
[02291.52-02292.84] 这是我们所说的书路
[02292.84-02294.92] 那当然有东西进来就有东西出去
[02294.92-02299.84] 所以我们来看一下哪些东西通过四手之路
[02299.84-02301.36] 输向了外边
[02301.36-02302.84] 第1个就是大量的四支品
[02302.84-02304.00] 四丑四丑嘛
[02304.00-02306.00] 所以四支品住出去了
[02306.00-02307.32] 第2个就是我们所说的
[02307.32-02307.48] 是吗
[02307.48-02309.48] 金属和业铁技术
[02309.48-02310.52] 这个是我们所说的
[02310.52-02311.80] 对外输出的
[02311.80-02312.96] 是对外输出的
[02312.96-02314.64] 所以这是我们所说的
[02314.64-02316.40] 外与它的输入
[02316.40-02317.92] 以及输出
[02317.92-02318.84] 输入和输出
[02318.84-02319.84] 那这个第2个
[02319.84-02321.24] 第3个就是我们所说的
[02321.24-02323.20] 四手之路自西汉开始之后
[02323.20-02324.40] 请录录续续的
[02324.40-02326.64] 在各朝各代其實都有被用到
[02326.64-02327.74] 在東漢的時候呢
[02327.74-02328.60] 也有私容之路
[02328.60-02331.04] 中國東漢的私容之路的期點是在哪裡
[02331.04-02333.70] 東漢私容之路的期點是在落洋
[02333.70-02335.84] 是在落洋用落洋是他的東東嘛
[02335.84-02337.36] 所以在這時候大家注意一下
[02337.36-02339.30] 東漢私容之路的期點是在落洋
[02339.30-02340.96] 那私容之路的這個交法呢
[02340.96-02342.80] 其實並不是我們自己交的
[02342.80-02344.44] 而是我們所說的這條路
[02344.44-02346.04] 在長時間的這樣的一個
[02346.04-02348.74] 歷史的長路當中很多史學家去研究它
[02348.74-02351.02] 所以當時的德國地理地質學家
[02351.02-02353.02] 他叫做李希或分
[02353.02-02354.42] 这个名字叫记住
[02354.42-02355.78] 他在中国
[02355.78-02357.02] 他写了一本书叫中国
[02357.02-02359.78] 在这个书里面提到我们所说的私手之路
[02359.78-02363.70] 以及私手之路对他对我们所说的世界的影响
[02363.70-02366.38] 而我们所说的张天的这两套出了西域
[02366.38-02369.14] 他其实是打通了原本对外交流当中
[02369.14-02370.42] 一个没有的路径
[02370.42-02374.22] 所以私马天认为这一次的私手之路
[02374.22-02375.34] 非常了不起
[02375.34-02378.50] 所以私马天称在从私手之路的开闭了
[02378.50-02383.62] 早空之旅
[02383.62-02384.90] 所以早空之旅
[02384.90-02387.86] 就是在我们所说的空间上
[02387.86-02389.26] 开出了一个新的口子
[02389.26-02391.30] 所以在这里面叫早空之旅
[02391.30-02392.46] 这就早空之旅
[02392.46-02395.66] 这个就是我们所说的私手之路的开闭
[02395.66-02396.94] 私手之路的开闭
[02396.94-02398.22] 大家要注意一下
[02398.22-02399.82] 所以私手之路同样知道的
[02399.82-02401.02] 第一个它的路线
[02401.02-02402.58] 大家都知道起点长安
[02402.58-02404.78] 中点是普洛马大前
[02404.78-02405.38] 第二个
[02405.38-02408.46] 他通我们所说的从长出发
[02408.46-02409.54] 然后经过虚于
[02409.54-02410.58] 然后透过我们所说
[02410.58-02412.22] 中亚下到欧洲
[02412.22-02414.78] 那中亚陆国的国家各种斯坦
[02414.78-02416.14] 其中物字别克斯坦
[02416.14-02417.66] 有自己的古名称
[02417.66-02419.14] 第二个到西亚那边
[02419.14-02420.10] 他陆国的国家
[02420.10-02421.66] 就是一老一家克亚阿富汗
[02421.66-02422.74] 他没有自己的别称
[02422.74-02424.58] 大家要注意下这套个路线
[02424.58-02425.78] 那除了树陆线之外
[02425.78-02426.38] 还有个重点
[02426.38-02428.22] 就是融业和历史现象考察
[02428.22-02428.94] 对应的
[02428.94-02430.22] 就是刚才我们所说的
[02430.22-02432.50] 他的树陆一节树出
[02432.50-02433.86] 那还有一个就丝树之路
[02433.86-02435.18] 他的提出和平项
[02435.18-02436.50] 也需要我们去注意
[02436.50-02439.78] 那只好第17所开批的
[02439.78-02440.74] 我们所说的
[02440.74-02442.22] 思仇之路
[02442.22-02442.70] 所知路
[02442.70-02444.26] 那除了思仇之路之外
[02444.26-02446.02] 我们说了这叫路上思路之路
[02446.02-02447.14] 我们提一代一路的时候
[02447.14-02448.98] 还有一个海上思仇之路
[02448.98-02450.30] 那这个海上思路
[02450.30-02451.42] 咱们来看一下
[02451.42-02452.50] 是个撒思路
[02452.50-02453.10] 对吗
[02453.10-02454.90] 那我们来看一下这个海上思仇之路
[02454.90-02457.54] 首先第一个海上思仇之路的发展
[02457.54-02459.02] 我们经常会觉得说
[02459.02-02459.98] 这个海上思路之路
[02459.98-02462.14] 是不是会和政核下相有关下
[02462.14-02463.34] 其实不是的
[02463.34-02466.34] 大助一下 海上似乎之路由来一九
[02466.34-02468.34] 首先第一个我们来看一下它的发展
[02468.34-02470.74] 海上似乎之路它的发展的神帝
[02470.74-02472.74] 叫蒙鸟鱼商州时期
[02472.74-02475.74] 那个时候就已经开始陆陆续续有了这种队外的交流
[02475.74-02478.14] 然后发展于春秋战果
[02478.14-02480.34] 后面这个需要同学们格外去注意
[02480.34-02482.34] 也就是说我们要从方外开去
[02482.34-02486.22] 叫形成于情喊 心于唐宋 圣于
[02486.22-02489.54] 顶圣于缘 转变于名清 大家助一下
[02489.54-02490.66] 因为在这种情况之下
[02490.66-02492.06] 对外交流主点加强
[02492.06-02492.78] 大家注意
[02492.78-02495.06] 一旦是对外交流加强的时候
[02495.06-02496.14] 就是我们所说的
[02496.14-02497.30] 这种海上和路上
[02497.30-02499.94] 修出发展比方反省的时候
[02500.58-02503.02] 而转变于明清的原因是什么呢
[02503.02-02506.26] 住民民清开始实行海进政策了
[02506.26-02507.38] 开始封开了
[02507.38-02508.82] 所以对于外开放的港口
[02508.82-02509.78] 一遍得特别的少
[02509.78-02510.50] 所以这种情况
[02510.50-02511.86] 这海上修出了发展
[02511.86-02512.78] 这个受到影响
[02512.78-02513.74] 所以大家猪断
[02513.74-02514.46] 这首先第一个
[02514.46-02516.38] 它的发展是大家在什么时候
[02516.38-02518.06] 第二个就是海上修出了
[02518.06-02519.10] 它有两条线
[02519.10-02521.46] 一个叫做东海航线就叫南海航线
[02521.46-02524.50] 所以我们是以南海航线为中心的
[02524.50-02526.34] 而南海航线的旗垫
[02526.34-02527.26] 大家注意一下
[02527.26-02529.34] 色之路的旗垫总会考察
[02529.34-02531.14] 就是海上色之路的旗垫
[02531.14-02532.46] 它有好一种说法
[02532.46-02534.02] 它如果给我们广州
[02534.02-02535.18] 我们就选广州
[02535.18-02536.34] 如果给全州
[02536.34-02537.30] 我们就选择
[02537.30-02539.30] 如果给到了两个都有
[02539.30-02540.62] 我们就两个都选上
[02540.62-02542.38] 因为关于色之路的旗垫
[02542.38-02544.62] 它的说法蓝度就是很多
[02544.62-02546.10] 所以在这里大家注意一下
[02546.10-02546.78] 我们所说的
[02546.78-02547.98] 我们一般认为海上
[02547.98-02551.38] 收支付期点是在广州和权州
[02551.38-02554.26] 那说老师他选项当中寄得广州一个权州怎么办
[02554.26-02555.54] 那你就选权州
[02555.54-02560.38] 因为我们都知道一会后面为大奖权州是联合国认证的
[02560.38-02562.70] 权州是联合国认证的
[02562.70-02565.38] 所以这是第一个海上收支付他的发展
[02565.38-02567.38] 海上收支付从那儿开始走
[02567.38-02569.22] 大家注意一下就是从广东
[02569.22-02571.46] 或者是我们所说的福建权州这边开始
[02571.46-02573.70] 然后经过印度办导南的一些海峡
[02573.70-02575.62] 然后到达我们所说印度办导达
[02575.62-02579.66] 南端,这是我们所说的,海上搜出它大概的一个路线
[02579.66-02582.74] 海上搜出了主要是从广州和全州开始
[02582.74-02587.58] 那这里面广东沿海各港,其实也是我们所说的搜入之路最开始
[02587.58-02589.86] 我们所说的可能会涉及到的港口
[02589.86-02591.70] 那这里面我们要知道
[02591.70-02596.06] 我们所说的路线,它的史最早的港口有哪些呢
[02596.06-02599.94] 在这里面大家注意一下,最早的港口其实是在我们所说的战疆
[02599.94-02602.54] 所以战疆,所以战疆是我们所说的
[02602.54-02604.94] 这一趟路线最早的18个
[02604.94-02605.90] 最早是他搞
[02605.90-02608.86] 所以这是我们所说的他的路线
[02608.86-02610.30] 那有微海搜之路
[02610.30-02611.30] 他的齐点
[02611.30-02613.30] 我刚说了他说法很多
[02613.30-02614.30] 他说法多
[02614.30-02616.14] 有说是广州和全州的
[02616.14-02618.02] 有说是广州有说是全州的
[02618.02-02620.18] 我们就来看一下关于他们的说法
[02620.18-02621.98] 全第一个就是我们所说的
[02622.46-02623.46] 广州
[02623.46-02625.58] 从前汉一直到封送
[02625.58-02628.34] 广州一直是我们所说的最大的伤港
[02628.34-02629.86] 明清事情凯尽之后
[02629.86-02630.70] 大家注意一下
[02630.70-02633.78] 廣州有什么名轻时期唯一对开放的广口
[02633.78-02635.42] 这是我们所说的广州
[02635.42-02638.26] 最大广口除了广州这边还有权州
[02638.26-02639.34] 权州在这里
[02639.34-02641.70] 你看发端于唐
[02641.70-02643.34] 最唐朝的时候
[02643.34-02645.06] 才有了权州这个期点
[02645.06-02648.38] 所以你看广州其实从前汉时候就已经开始了
[02648.38-02650.14] 而权州大家注意下
[02650.14-02652.22] 它是联合国交回人族之为
[02652.22-02654.50] 认定的海上私录的期点
[02654.50-02655.74] 它是唯一认定的
[02655.74-02657.70] 所以你就看考试它怎么问
[02657.70-02659.70] 如果问说有那些
[02659.70-02661.98] 或是由哪个女开选项给那个
[02661.98-02663.82] 但是广州和全州都有的话
[02663.82-02664.34] 怎么办呢
[02664.34-02666.30] 你先判断他所处带的时期
[02666.30-02667.94] 如果是唐松的话
[02667.94-02669.14] 那就用情况之下呢
[02669.14-02670.46] 那我们就选择
[02670.46-02672.34] 如果是前汉就更早的话
[02672.34-02673.50] 那我们就选择广州
[02673.50-02675.22] 也就是说我们再去判断
[02675.22-02676.78] 他的旗舰的私陆的时候
[02676.78-02679.34] 就是第一种就是有啥选啥
[02679.34-02680.70] 有全州选择
[02680.70-02682.10] 有广州选择
[02682.10-02683.06] 没有这个
[02683.06-02683.90] 我们所说的这
[02683.90-02684.90] 说老师他都有
[02684.90-02686.54] 那他都有你看他是不是多年结
[02686.54-02687.22] 如果多年结
[02687.22-02688.02] 你都选上
[02688.02-02689.62] 如果不是多年结的话
[02689.70-02694.72] 看时代,看时代,如果是情汉标走就选广州。如果说,
[02694.72-02700.96] 老师的是唐宋,这种神话就选拳中,我就很选拳中,我说这个应对单体有对不起,但稍微注意一下。
[02700.96-02708.84] 这是我们所说的,他要的起点,他起点,而海上搜知路有一些别车,四仇之路,四仇只是因为我们所说的,
[02708.84-02718.62] 最开始贸易的指动型,当然太贸易其他的,就是他贸易逃辞的,对吧,所以他也被称为就海上逃辞之路,或者就叫做香料之路,之前考过一个斜烂位,
[02718.62-02720.94] 那海上投辞之路指的是什么
[02720.94-02722.98] 其实指的是海上色路之路
[02722.98-02724.78] 而我们一样的这个色路
[02724.78-02727.46] 它其实并不是我们中国人提出来的
[02727.46-02730.50] 这个海上色路之路是有法国的一个东方学校
[02730.50-02731.74] 杀碗提出来的
[02731.74-02733.42] 而刚才那个路上色路之路
[02733.42-02735.54] 是由德国的地理地理学家提出来的
[02735.54-02735.86] 对吧
[02735.86-02738.10] 所以这几个点同学给的区分好
[02738.10-02740.10] 这是我们所说的思仇之路
[02740.10-02741.42] 而这个点的大家注意一下
[02741.42-02744.66] 往往就会结合我们所说的实正热点来
[02744.66-02745.82] 大家都知道
[02745.82-02748.14] 一般请完实际下什么一代一路十周年
[02748.14-02749.42] 一代一路多二中年
[02749.42-02751.14] 它其实都会涉一到这个文学点
[02751.14-02753.06] 所以它是一个跨学科考察
[02753.06-02754.66] 非常明显的一个模块
[02754.66-02755.82] 大家要注意一下
[02755.82-02758.22] 这是我们所说的私仇之路
[02758.22-02760.38] 来看一下下面的题目列写
[02760.38-02761.90] 下面的视剧所谓的前行
[02761.90-02766.82] 可能会出现在私仇之路上的考虑是可能
[02766.82-02768.86] 我们说了私仇之路主要是在
[02768.86-02770.66] 西域新疆
[02770.66-02772.22] 然后再往中线下那边
[02772.22-02774.02] 我们就来看一下哪些会出现吧
[02774.02-02775.26] 春风补毒予门关
[02775.26-02776.26] 予门关国际
[02776.26-02777.58] 咱们看来说是他吧
[02777.58-02783.02] 并选项,水光练炎情况好,深色空盟与一起,是不是在说虎啊?
[02783.02-02790.02] 但是我们都知道新疆里边糊糊糊,不多,那正情王之下不可能是在西北地区,所以并选项不对
[02790.02-02792.02] 普逗美酒,夜光杯
[02793.02-02795.34] 运引皮怕马上吹,可不可能呢?
[02795.34-02800.10] 可能,对吧?可能,这是我们所说的写编费的是,
[02800.10-02805.66] 然后一片孤城万日山,黄河远上白云间,对吧?那正情王之下,
[02805.66-02809.50] 也是我们所说的可能会出现在古代修之路之上的
[02809.50-02812.58] 所以在这里因为我们都说了是从常人出发的嘛
[02812.58-02815.14] 对吧,所以能看到狐程万人山的这种
[02815.14-02817.70] 很有可能看到这种沙漠的这种景象
[02817.70-02820.50] 所以在这里偏西北的干漢的沙漠的
[02820.50-02822.82] 其实都有可能是在四售之路见到的
[02822.82-02826.14] 所以这套体可能会看到的就是ACD
[02826.14-02828.18] 可能会看到的就是ACD
[02829.22-02831.02] 好,这是我们所说的第一体啊
[02831.26-02833.38] 第二体说你看这种综合的考试方式
[02833.38-02837.38] 说假如影势剧中出现下列作物
[02837.38-02840.38] 符合历史事实的事
[02840.38-02841.38] 看一下 学乎断
[02841.38-02843.38] 所以我们所说的
[02843.38-02845.38] 出现了云米地理都见
[02845.38-02847.38] 所以不算是描写松炒的
[02847.38-02848.38] 对吧
[02848.38-02850.38] 而云米是在明朝的时候传入的
[02850.38-02852.38] 唐松原名轻
[02852.38-02853.38] 对吧
[02853.38-02854.38] 所以这个不开课呢
[02854.38-02856.38] 第二个 包青天大家都知道
[02856.38-02858.38] 也是松炒 包整吃白属
[02858.38-02860.38] 白属也是在明朝的时候传入的
[02860.38-02861.38] 时间对不上
[02861.38-02864.14] 孫中破裂的孫是北孫的
[02864.14-02866.46] 辣椒明朝来的也不对
[02866.46-02869.50] 在这里官员长官员东汉墨年
[02869.50-02870.14] 对吧
[02870.14-02871.42] 东汉墨年吃普套
[02871.42-02871.90] 可以吧
[02871.90-02872.98] 普套西汉就来了
[02872.98-02875.50] 所以可能又的是第四个
[02875.50-02878.02] 大主要这种设问的方式
[02878.02-02880.58] 它其实是在我们考试过程当中
[02880.58-02882.54] 经常会出现的设问方式
[02882.54-02883.58] 所以在这里
[02883.58-02886.34] 朋友一定要记得在整个历史当中
[02886.34-02888.34] 除了穿清它的历史买落之外
[02888.34-02890.18] 还是要把这个潮在当中
[02890.18-02892.42] 它可能会对用到的这些事情
[02892.42-02894.70] 去给它寄几
[02894.70-02896.10] 好 这是我们所说的
[02896.10-02897.70] 这道题呢 注意一下
[02898.18-02900.34] 这是我们给大家详细的介绍了
[02900.34-02901.42] 号务地时期当中
[02901.42-02902.98] 两个非常住民的世界
[02902.98-02904.70] 一个是大破凶奴
[02904.70-02906.26] 一个是我们所说的
[02907.42-02909.22] 叫做开闭司说之路
[02909.22-02910.42] 除了这个之外
[02910.42-02911.14] 在号务地时期
[02911.14-02912.82] 还有一个比较有名的一个点物
[02912.82-02914.02] 就是素目养
[02914.02-02915.26] 大家都知道
[02915.26-02917.02] 这是我们所说的素物
[02917.02-02918.26] 直接出这凶奴
[02918.26-02919.50] 结果被凶奴扣去了
[02919.50-02924.62] 然后一直关着把修炉把所说的速度
[02924.62-02926.34] 就牵到了北海
[02926.34-02929.10] 北海的大家注意一下就是现在我们所说的被家人户
[02929.10-02931.26] 在那边干嘛在那边放阳
[02931.26-02934.06] 而且放了阳在说的说
[02934.06-02935.42] 这让我给你放了
[02935.42-02939.14] 也行把阳放了最后阳下出小子耳
[02939.14-02940.86] 我就放你回家
[02940.86-02941.90] 那同庸就想了
[02941.90-02943.38] 是那阳生保包
[02943.38-02944.34] 这不是挺简单的
[02944.34-02944.90] 是吧
[02944.90-02946.22] 不简单
[02946.22-02948.94] 不简单在哪儿给她的都是工阳
[02948.94-02950.58] 那家工阳咋能下转的
[02950.58-02950.86] 对吧
[02950.86-02952.94] 所以就用情况这下就是明理
[02952.94-02954.18] 按理的就是不给方
[02954.18-02955.10] 所以它
[02955.10-02956.34] 即将斩转
[02956.34-02959.18] 一直都没有我们所说的回到这个汉炒
[02959.18-02962.74] 一直到了后面的时候才把它放回来
[02962.74-02965.38] 这里面就是接这个速回来
[02965.38-02966.46] 其实有一个点过
[02966.46-02967.42] 这个点过是什么的
[02967.42-02968.66] 就是红面传输
[02969.66-02972.86] 当时就是速往出实细御的时候
[02972.86-02974.18] 带了几个人过去
[02974.18-02976.02] 后来直把速后再那儿
[02976.02-02980.62] 因为当时的那个产与想着这个苏劳
[02981.14-02982.02] 效力于他
[02982.02-02985.02] 但苏劳非常气简说我是大汉朝的这种自名
[02985.02-02986.46] 我怎么可能效力于你呢
[02986.46-02988.30] 所以就给他关到了这个大老理
[02988.30-02990.78] 关到大老理之后就不给他吃了这个喝
[02990.78-02991.90] 然后就说惡着他
[02991.90-02992.86] 他就只能想死
[02992.86-02994.38] 结果不给他吃
[02994.38-02997.38] 他就吃那个老理的那个草店的
[02997.58-02998.54] 然后不给了喝了
[02998.54-03000.30] 半个飘血他是张嘴蛋的喝血
[03000.30-03002.54] 半个飘血他是张嘴蛋的喝血
[03002.54-03003.42] 非常有气简
[03003.42-03006.62] 后来谁拿个美质了就给她放到了背海去了
[03006.62-03009.02] 后来就是和素当时一同初始的
[03009.02-03010.22] 还有另外一个人
[03010.22-03011.62] 就是另外一个时程
[03011.62-03013.62] 她知道素没死
[03013.62-03016.02] 后来她就回去把这个视个黄女说了
[03016.02-03017.22] 黄女说完之后
[03017.22-03019.50] 然后黄女说那给她接回来
[03019.50-03020.74] 接回来说打接
[03020.74-03022.34] 然后如果去的话人家兄弟说
[03022.34-03024.70] 没有素这个人死不对政怎么办
[03024.70-03027.82] 后来当时派去接素的这个人
[03027.82-03029.02] 派着脑心就一转
[03029.02-03030.82] 她就去了说我们接素回去
[03030.82-03033.30] 然后当时差一就否认说没有素这个人
[03033.30-03034.18] 我们没见过
[03034.18-03036.58] 然后他当时接人的这个人
[03036.58-03037.50] 脑袋就一顺
[03037.50-03038.50] 就想了一个半个场
[03038.50-03038.94] 下半个的
[03038.94-03039.94] 说不可能
[03039.94-03040.98] 说前几天
[03041.70-03043.14] 我们黄地
[03043.14-03044.50] 在违立场里打厉的
[03044.78-03046.34] 看天上来了个大厌
[03046.34-03047.98] 然后我们就拉起大工
[03047.98-03048.74] 把大厌设认
[03048.74-03050.74] 大厌奥利盛掉下来之后
[03050.74-03053.54] 然后我们黄上
[03053.54-03056.66] 从大厌的腿上发现了一个字条
[03056.66-03058.14] 那个字条写的是什么呢
[03058.14-03059.86] 就在我在背
[03059.86-03064.42] 家耳湖,只能有小龙女当年我在决情故地,就类似一种感觉。
[03064.42-03070.86] 说,把那个腿上,说我是苏我,我在背鸡伙,快来救我,SOS,就写了个这么多东西。
[03070.86-03074.58] 然后,说我们皇帝都已经看到了,怎么可能不在呢?
[03074.58-03078.70] 后来时间没有办法,说我们在背鸡伙后来就给他接回来了。
[03078.70-03081.70] 所以他有了这个点顾,就做红面传输。
[03081.70-03086.34] 而不所说的苏我,他回到了汉市之后,李林,就有了这么一句话。
[03086.34-03087.06] 什么话呢
[03087.06-03092.60] 说金族下规缓、杨明与兄努、宫显约、汉市
[03092.60-03093.74] 这说白了素
[03093.74-03096.24] 非常气节在兄努内的话不想
[03096.24-03097.28] 这种情况之下
[03097.28-03098.34] 杨明与兄努
[03098.34-03099.06] 第二个
[03099.06-03100.10] 他最后还会来了
[03100.10-03100.68] 是不是
[03100.68-03101.64] 宫显约汉市
[03101.64-03103.04] 就说没有我们大汉王草
[03103.04-03104.62] 还是游戀马双子
[03104.62-03105.06] 对吧
[03105.06-03106.16] 所以在这里大家注意一下
[03106.16-03107.42] 一旦出现这句话
[03107.42-03109.00] 你要知道形容的事实
[03109.00-03110.08] 出现这个点过
[03110.08-03111.24] 你要知道形容的事实
[03111.24-03112.70] 那这是我们所说的
[03113.34-03114.96] 有关于在汉的时期
[03114.96-03118.30] 这几个非常著名的事件,大家要稍微注意一下
[03118.30-03125.46] 好,那只恨五弟时期,那在后,在恨五弟之后,后弟之后,恨五弟留彻
[03125.46-03129.30] 他的孩子就是我们所说的,周弟就是留福林
[03129.30-03135.78] 然后福林之后,然后就有一个留恨,那那个皇帝27天推为了,然后在后,就是我们所说的恨宣地
[03135.78-03139.54] 所以在恨宣地时期,是什么呢,大家注意一下,是个区域都不复
[03139.54-03142.18] 小辣长问的是虚育肚肤的设置
[03142.18-03143.66] 是在哪个皇帝时期
[03143.66-03145.42] 达置到是在汉宣地时期
[03145.42-03146.58] 而设夕肚肤腐
[03146.58-03147.46] 还有一个标志
[03147.46-03149.30] 就是新疆地区正式规署
[03149.30-03150.38] 中央政府关下
[03150.38-03151.70] 从这个时候就标置了
[03151.70-03153.78] 新疆是我们国家不可会缺的一部分
[03153.78-03154.82] 所以大家注意一下
[03154.82-03156.90] 这汉宣地时期设夕肚肤
[03156.90-03158.74] 而后面达住一眼
[03158.74-03159.62] 就是我们所说的
[03159.62-03161.22] 第一任肚护是谁呢
[03161.22-03163.38] 是正级正级
[03163.38-03164.18] 所以达住一
[03164.18-03164.74] 这两个点
[03164.74-03166.22] 是要同一位去时机
[03166.22-03168.06] 这是我们所说的汉宣地
[03168.06-03173.34] 而宣议在网络所说的又经过了两三代皇帝的话就到了汉原地
[03173.34-03174.38] 汉原地是什么呢
[03174.38-03175.66] 汉原地叫刘室
[03177.46-03178.86] 汉原地叫刘室
[03178.86-03180.54] 我就一般称为叫百大
[03180.54-03182.34] 我也有一个梦想就称为百大
[03182.34-03183.94] 你看说百大呢
[03183.94-03185.14] 他叫刘室
[03185.14-03186.78] 为什么要强调刘室这个人啊
[03186.78-03188.26] 因为在刘室这个时候呢
[03188.26-03192.14] 有一个我们所说的大称应该是叫做称档
[03192.14-03193.82] 把这汉原地画出来
[03193.82-03196.06] 首先,第一个汉原地刘室
[03198.06-03200.06] 北大 打就记得北大
[03200.06-03202.26] 然后他有一个大陈奏成汤
[03202.26-03204.06] 说过一个非常有名的句话
[03204.06-03204.86] 大家注意一下
[03204.86-03205.74] 这句话是什么的
[03205.74-03206.82] 就是在流氏
[03206.82-03208.86] 原地这个时候说的
[03208.86-03209.26] 就说
[03209.26-03211.34] 犯我中法者
[03211.34-03212.70] 会犯我大汉者
[03212.70-03214.06] 虽然逼猪
[03214.06-03215.86] 类伪这句话
[03215.86-03216.54] 大家注意一下
[03216.54-03217.98] 我就讲到写
[03217.98-03219.58] 犯我强悍者
[03222.38-03223.74] 犯我强悍者
[03223.74-03224.86] 虽然逼猪
[03224.86-03225.90] 大家都以为说
[03225.90-03226.86] 这句话是不是
[03226.86-03228.10] 为侵他们说的
[03228.10-03228.82] 其实不是
[03228.82-03230.74] 其实这句话是在我们所说的
[03230.74-03232.42] 汉缘地的时候提出来的
[03232.42-03233.06] 这是第一个点
[03233.06-03233.98] 大家要注意
[03233.98-03234.90] 这是第一个
[03234.90-03236.42] 第二个就是我们所说的
[03236.42-03237.46] 在汉缘地时期
[03237.46-03237.82] 干完了
[03237.82-03238.82] 招军出赛
[03238.82-03239.78] 招呼赛
[03239.78-03240.42] 大家都知道
[03240.42-03241.18] 招军的
[03241.18-03242.58] 它其实是嫁给了我们所说的
[03242.58-03243.78] 欢迎也产与
[03243.78-03245.78] 为什么招军会在这个时候出赛
[03245.78-03247.46] 因为在汉缘地的时候
[03248.62-03249.38] 我们知道
[03249.38-03250.10] 这个产与
[03250.10-03250.94] 它其实是规算了
[03250.94-03252.10] 我们所说的汉吵
[03252.10-03252.90] 所以在这里面
[03252.90-03253.94] 就是派招军
[03253.94-03254.94] 去和亲
[03254.94-03255.62] 所以在这里
[03255.62-03256.82] 就做招军出赛
[03256.82-03258.46] 那招精出賽在他身上
[03258.46-03261.22] 其實有很多的這樣的一個小的細節的考點
[03261.22-03263.22] 大家要稍微地去注意一下
[03263.22-03265.14] 那首先第一個就是大家知道
[03265.14-03267.26] 這個招精他被封為叫做
[03267.26-03269.02] 叫做鷹糊鷹之
[03269.02-03270.74] 大家知道叫做鷹糊鷹之
[03270.74-03272.78] 鷹之就是胸奴的黃厚
[03272.78-03274.46] 而同時大家注意一下
[03274.46-03276.54] 招精他其實還有另外一個
[03276.54-03278.30] 別稱叫做鷹菲
[03278.30-03279.22] 叫做鷹菲
[03279.22-03280.90] 那這個鷹菲大家注意一下
[03280.90-03282.78] 這是因為到了後面的時候
[03282.78-03284.86] 就是我們都知道四馬招
[03284.86-03288.70] 就是我们所说的这个静静我
[03288.70-03289.46] 然后呢
[03289.46-03291.26] 他的这个司研
[03291.26-03293.62] 然后呢就封了司码赵为文帝
[03293.62-03295.50] 那那个呢他不叫司码赵嘛
[03295.50-03298.06] 司码赵的话是为何王赵军的招式一个招
[03298.06-03298.98] 所以为了必先啊
[03298.98-03302.02] 就到了那个时候就把王赵军就做王明军
[03302.02-03303.54] 所以呢也把王赵军啊
[03303.54-03305.18] 称对了就做名非啊
[03305.18-03306.86] 也把王赵军称对了就要的名非
[03306.86-03308.22] 所以说你胡言只是谁
[03308.22-03309.86] 或者是提到名非是谁
[03310.46-03312.86] 大家都知道强调了就是我们所说的什么呢
[03312.86-03315.16] 朝軍強調這種所說的朝軍
[03315.16-03315.94] 這在這
[03315.94-03317.72] 那第三一個就是我們要知道
[03317.72-03319.38] 其實朝軍出賽對於
[03319.38-03321.56] 漢族和修龍之間的關係
[03321.56-03324.12] 其實起到了很大的這樣的一個作用
[03324.12-03325.40] 這是他這個人
[03325.40-03327.70] 整體來說就是貢獻特別的大
[03327.70-03331.54] 大家都知道其實當時朝軍出賽的時候是25歲的時候
[03331.54-03332.82] 就嫁給了歡迎也差遠
[03332.82-03334.88] 歡迎差遠內說都已經氣勢夠歲了
[03334.88-03337.18] 然後美國多少時間歡迎差就死了
[03337.18-03339.74] 而修龍他採取的是過激混
