[00000.00-00004.90] 那我們看完了社人裡的人間煙火之後我們來看一看
[02260.32-02261.24] 雄一晃
[02261.24-02262.28] 你的匹位就会动
[02262.28-02263.20] 匹位动
[02263.20-02264.92] 这个时候就可以这样到匹位
[02264.92-02266.12] 而匹有数什么
[02266.12-02267.32] 匹有数土
[02267.32-02268.36] 匹有数土
[02268.36-02270.00] 在我下的就是原
[02270.00-02271.24] 原是什么的
[02271.24-02272.68] 原细主心
[02272.68-02274.48] 现在我先当中熟悟
[02274.48-02276.08] 大家不要看我一个动漫
[02276.08-02277.52] 另外一个动漫又出来了
[02277.52-02279.44] 一人之下大家一定能看过
[02279.44-02281.20] 在一人之下当中其实就说了
[02281.20-02283.52] 说什么 讲到有修记 对吧
[02283.52-02284.72] 大家在修记当中
[02284.72-02289.20] 就是他在一人之下动漫当中说过修记的没端
[02289.20-02291.44] 说什么 说新源 对不对
[02291.44-02293.76] 所以他说了原戏主心
[02293.76-02296.16] 那新的话 在那个动漫当中他说了什么
[02296.16-02298.72] 说新他就是要物空嘛 对吧
[02298.72-02301.00] 所以你看才有了宿航 有好
[02301.00-02304.96] 有原所以说了我们说了新原新原模练的就是新性
[02304.96-02306.72] 所以新要做什么物空
[02306.72-02310.28] 所以在我们中一上只是原细也住什么
[02310.28-02313.00] 原细也主心
[02313.00-02316.28] 现在五行当中输火 喜欢在面
[02316.28-02318.56] 那新的往往是一个小常相表里的
[02318.56-02323.08] 你说原细它怎么能够说对你的新闻要好出呢
[02323.08-02324.36] 大家知道那个好儿
[02324.36-02326.60] 它经常就是工人要深着手
[02326.60-02328.24] 然后就是那种小动作
[02328.24-02329.96] 你想想好自那个动作
[02329.96-02331.76] 而原系它在武行系当中
[02331.76-02334.56] 它主要是对胸扩进行相的极
[02334.56-02335.84] 然后这个胸扩一极
[02335.84-02338.16] 就会放松东东作
[02338.16-02339.96] 一放一松一放一松
[02339.96-02341.72] 就可以能够起到相当的
[02341.72-02343.64] 养新补脑石通血脉的作用
[02343.64-02346.08] 这有时候是原系主心
[02346.08-02346.92] 那最后一个呢
[02346.92-02348.52] 就是我们所说的你要系
[02348.52-02350.20] 你要系它主肺
[02350.20-02351.36] 你要系主肺
[02351.36-02353.32] 肺在武行当中属金
[02353.32-02354.80] 喜欢在某
[02354.80-02357.28] 那你看你要主要是动它的什么同学们
[02357.28-02358.96] 你要主要是动它的翅膀
[02358.96-02361.94] 所以秒性的主要是两避上下运动
[02361.94-02364.34] 就真想按两手上下灰动
[02364.34-02365.84] 两手上下灰动的时候
[02365.84-02368.58] 其实就会改变你胸枪当中的容级
[02368.58-02370.58] 增强学养交换的能力
[02370.58-02372.16] 那你看这个时候
[02372.16-02373.86] 你就可以调唱你的气劲
[02373.86-02374.68] 对你的费
[02374.68-02377.00] 是不是就起到很好的这样的一个作用
[02377.00-02379.48] 所以支持我们所说的这个武器器
[02379.48-02380.66] 所以这个武器
[02380.66-02383.20] 它分别是和你的武方相对应的
[02383.20-02385.64] 而我们所说的它也不是说下动
[02385.64-02387.94] 比如说像老虎它的虎称糊涨
[02387.94-02389.46] 他都是通过你的手
[02389.46-02390.50] 而这个手呢
[02390.50-02391.42] 他其实就能够
[02391.42-02393.54] 你看你的死之的身杂
[02393.54-02395.86] 他请就能起到书干里期的作用
[02395.86-02398.58] 所以呼吸也在干在五行当中说
[02398.58-02400.46] 目要怎么样 生发
[02400.46-02402.26] 所以你看一般情况都是这样的
[02402.26-02403.94] 而我们所说的这个路
[02403.94-02405.70] 路是什么路戏组甚
[02405.70-02409.22] 因为路主要通过腰背和几乎的作用去活动
[02409.22-02411.98] 那这个时候是不能够和旁观相互作用
[02411.98-02413.86] 然后就能够让你的腰盛得到
[02413.86-02414.86] 充分的在脸
[02414.86-02416.58] 那整个对于圣理要好
[02416.58-02422.70] 而雄的話說了雄晃 左右晃 极壓的是要批耶 批耶 在武器當中說土
[02422.70-02428.42] 而原呢 就記得那個東班當中 強調要新源 對吧 我們要模煉新性 所以就物空
[02428.42-02434.50] 所以原性主心 原就是通過像猴子一樣的那些動作 主要對胸扣產生級
[02434.50-02437.02] 對新造好 而秒細 手啊
[02437.58-02442.62] 像兩個翅膀一樣來回山洞 那這時候他主的是非 极壓雄槍
[02442.62-02445.38] 所以這時候 而非在武器當中說金啊
[02445.38-02448.58] 所以在这里面大小掌握的是他的一个对应
[02448.58-02449.78] 掌握是他的一个对应
[02449.78-02453.78] 这时候我们所说的有关于五行五赞和五千
[02453.78-02456.98] 我们其实说五赞,所有五赞的五千
[02456.98-02459.14] 它其实是配五赞而五赞的
[02459.14-02461.38] 它其实是和五行相通的
[02461.38-02463.54] 所以在这里面我们就来看一下
[02463.54-02465.38] 除了五赞五行之外
[02465.38-02467.06] 它其实还对应的是什么
[02467.06-02469.22] 还对应的是五个方位
[02469.22-02470.98] 也就是五赞五行
[02470.98-02472.58] 对应五个方位
[02472.58-02476.92] 武藏武行对应五个方位
[02476.92-02479.38] 像这个其实大家也不摸什么
[02479.38-02480.84] 你在电视里面一定见过
[02480.84-02482.58] 这是他所说的武藏
[02482.58-02485.08] 和五个方位和五行之间的对应
[02485.08-02487.20] 这是在那个谈人街他按当中
[02487.20-02488.38] 他按街谈地底部
[02488.38-02489.38] 应该是第二部
[02489.38-02491.18] 是不是有什么造王妙杀人
[02491.18-02493.02] 做造王妙那个案子
[02493.02-02494.84] 把那个字刚才必掉
[02494.84-02496.18] 在造王妙当中有案子
[02496.18-02497.86] 在他的训合那个地方有案子
[02497.86-02500.48] 然后最后那个什么男主角叫秦峰
[02500.48-02502.48] 然后他就通过我们所说的这个
[02502.48-02504.48] 武装的運行是最後迫了
[02504.48-02506.28] 其實在那裡面其實就有說的
[02506.28-02507.28] 那我們來看一下
[02507.28-02508.84] 其實他在這裡面的五行
[02508.84-02510.84] 其實一直講究的也是什麼
[02510.84-02513.48] 因為是講究的也是我們所說的深刻之理
[02513.48-02515.64] 因為我們說了經常會提到
[02515.64-02516.96] 就是五行的話是
[02516.96-02520.68] 金木水火土、五行、鄉生、鄉客
[02520.68-02523.20] 所以在這裡面你看通過他的鄉生鄉客
[02523.20-02525.68] 其實他也能夠在中醫上
[02525.68-02527.28] 有很大的這樣的一個作用
[02527.28-02529.48] 比如說你看在這裡面鄉生之理
[02529.48-02531.28] 鄉生之理的話你看在這裡木
[02531.28-02533.96] 不能点起火,所以我们说了墨、生火
[02533.96-02537.56] 而墨、烧出来的灰就变成了草木灰
[02537.56-02539.80] 时间19,他就变成了什么土
[02539.80-02542.32] 所以火生什么火生土
[02542.32-02543.32] 是不是这个道理
[02543.32-02545.68] 而土,鸡鸭9了买草9了
[02545.68-02547.60] 是不是会产生很多的框物质
[02547.60-02550.36] 这个时候我们说了土灰生金
[02550.36-02552.60] 而金的话,大家注意一下金
[02552.60-02554.64] 比如说常见的金属这些东西
[02554.64-02555.92] 看起来说比较冷
[02555.92-02558.24] 所以在金属表层上气温
[02558.24-02560.92] 很低的时候,它其实就会怎么样,有水气
[02560.92-02563.32] 所以在这里面是精生水
[02563.32-02563.80] 对不对
[02563.80-02566.24] 你看在这里就精会生水
[02566.24-02568.04] 而水又可以资养目
[02568.04-02569.60] 所以看这是五形
[02569.60-02570.36] 香生
[02570.36-02572.32] 所以才有了木生火
[02572.32-02574.96] 火生土土生精精生水水生目
[02574.96-02576.36] 这个五形香生
[02576.36-02577.56] 需要大家去掌握
[02577.56-02578.68] 如果是风了吧
[02578.68-02580.04] 五形香生还要掌握
[02580.04-02581.04] 实不相当同学们
[02581.04-02582.68] 在山东的考试的时候
[02582.68-02584.64] 其实考察过一个这样的选项
[02584.64-02586.72] 考过五脏六符
[02586.72-02588.64] 考过香生的这样一个选项
[02588.64-02589.40] 所以在这里面
[02589.40-02590.72] 大概以为影响就行了
[02590.72-02593.28] 就记住我们所说的这个香生
[02594.30-02596.86] 木生火一点就找火生土
[02596.86-02599.16] 烧成的灰时间长了就会形成土
[02599.16-02602.32] 土呢 架九了就会产生炮物者 产生炮
[02602.32-02604.54] 产生金对吧就土生金
[02604.54-02607.62] 而金是素杀还冷的这种东西
[02607.62-02610.94] 所以在它表面上会形成水气
[02610.94-02612.98] 机声水又可以什么
[02612.98-02615.04] 水又可以用所说的这样
[02615.04-02617.86] 木 那这个就是香生香生
[02617.86-02620.54] 那你记得住香生啊 香克其实不用记就行了
[02620.54-02622.82] 因为他往往再考试做选项的时候
[02622.82-02625.62] 是把香生和香克怎么样呢
[02625.62-02626.82] 给他掉过来了
[02626.82-02629.34] 换了一下 把香生的变成香克的
[02629.34-02631.06] 你就记住一个方位就行了
[02631.06-02632.46] 因为香生比较好记
[02632.46-02633.82] 你香克不太好记得
[02633.82-02636.30] 所以你就记得香生的长一个道理就OK了
[02636.30-02637.26] 没办法有的意思吧
[02637.26-02639.94] 他考试的时候就是乱给你疲慔
[02639.94-02642.02] 你就记得一个能记同就行了
[02642.02-02643.98] 香克的盘记不住也没有问题啊
[02643.98-02645.86] 比如说在这里香克的是什么呢
[02645.86-02647.86] 你看它在这个地方给到的木
[02647.86-02650.86] 木呢 它在这里写的是木刻土
[02650.86-02652.86] 对吧 那这个大家也都知道
[02652.86-02654.86] 木刻土的这样的一个主要原因就是
[02654.86-02656.86] 木会长在土里 非常客土
[02656.86-02658.86] 因为它会吸收土的养分
[02658.86-02662.86] 所以在这里面我们才说了叫做木刻土
[02662.86-02664.86] 而土什么土刻水吗
[02664.86-02667.86] 因为我们说了 冰来降倒水来土土
[02667.86-02670.86] 所以有流水的地方拿土一堵就给它挡住了
[02670.86-02672.86] 所以叫做土刻水
[02672.86-02674.86] 而水刻什么水刻火
[02674.86-02677.62] 你火箭再搭一盆水过去不也交命了嘛
[02677.62-02680.10] 所以叫做水客火
[02680.10-02682.50] 而我们所说的火客什么
[02682.50-02683.62] 火客金呢
[02683.62-02685.22] 真心练火嘛
[02685.22-02688.42] 所以在这里火客金遇到我们所说的这个
[02688.42-02690.98] 金所遇到这个火
[02690.98-02692.78] 稍了冒的时候它是不是就会
[02692.78-02694.58] 我们所说的就是
[02694.58-02696.10] 怎么说的就是无话掉了
[02696.10-02697.86] 所以在这里面叫做火客金
[02697.86-02698.94] 而金客什么呢
[02698.94-02701.54] 而在这里面它又给到说金客木
[02701.54-02704.06] 所以这是我们所说的这个香声香客
[02704.06-02708.10] 所以一般情况之下我们在讲中一也会讲到相声相课之理
[02708.10-02711.54] 而这个点之所以要给大家讲不是说要给大家选疾
[02711.54-02714.06] 主要就是因为在这个地方它真的考过
[02714.06-02717.90] 而且就目前我做过的各地区的真体来看的话
[02717.90-02719.06] 考过两次到三次
[02719.06-02722.54] 是做了一个选项出现就是谁课谁谁生水
[02722.54-02724.06] 这个点大家要注意一下
[02724.06-02728.10] 这是我们所说的有关于所给到的
[02728.10-02730.90] 它的相声相课这个点的这个五行
[02730.90-02733.42] 大家最起码要知道谁生水谁课谁
[02733.42-02736.90] 你我刚才说了他的考试其实只考一个设备方向
[02736.90-02739.10] 所以就能够记住相声就行了
[02739.10-02740.38] 你只要记得相声
[02740.38-02742.46] 你发现他不是你所记的相声的话
[02742.46-02744.26] 那他就是相课
[02744.26-02746.06] 那他就是这个道理
[02746.06-02746.66] 明白这意思
[02746.66-02747.78] 就是你记一个设备
[02747.78-02750.94] 你觉得你是你觉得你是相课记的清楚
[02750.94-02752.30] 还相声记得清楚
[02752.30-02754.18] 那这个时候你就去记一个就行了
[02754.18-02755.82] 那这是我们所说的意外约
[02755.82-02757.06] 无形的这个
[02757.06-02758.06] 那我们说了无形
[02758.06-02759.18] 他也配合什么
[02759.18-02760.18] 五个方位
[02760.18-02761.06] 所以在这里面
[02761.06-02761.82] 大家也要知道
[02761.82-02763.34] 这五个方位分别是什么
[02763.34-02765.22] 比如说第一个叫做木
[02765.22-02766.50] 木是在什么方
[02766.50-02768.10] 木是在东方
[02768.10-02769.46] 我叫他怎么记
[02769.46-02771.62] 比如说大家看过那个电视剧
[02771.62-02772.86] 叫东西
[02774.54-02775.50] 西毒
[02776.38-02778.26] 我说的是洗洗
[02778.26-02779.50] 无揚风扬不是那个
[02779.50-02780.62] 然后南地
[02782.50-02783.54] 还有北干
[02784.78-02786.18] 大家看过这个吧
[02786.18-02787.78] 东西东西是谁
[02787.78-02789.90] 东西是黄药时对不对
[02789.90-02791.22] 黄药时住在哪
[02791.22-02793.22] 黄尔士住在淘花島
[02796.66-02797.22] 你看
[02797.22-02798.74] 黄尔士住在淘花島
[02798.74-02800.18] 所以淘花島是什麼
[02800.18-02801.46] 淘花島屬目
[02801.46-02803.90] 所以你看你就能記住東方就是什麼
[02803.90-02806.30] 東方就是對應的五行當中的目
[02806.30-02807.66] 東方對五行當中目
[02807.66-02808.90] 而吸毒叫什麼
[02808.90-02810.46] 吸毒叫歐陽風
[02810.46-02812.46] 打住一下歐陽風
[02814.02-02816.02] 那你看歐陽風的這個風
[02816.02-02817.10] 它帶一個什麼字
[02817.10-02818.34] 歐陽風的這個風
[02818.34-02819.66] 它帶一個金字旁
[02819.66-02821.38] 人家说的是金属的那个
[02821.38-02823.82] 而不是我们所说的那个秘货的风
[02823.82-02826.14] 所以你看欧阳风吸毒嘛
[02826.14-02827.14] 吸风嘛
[02827.14-02828.82] 所以在这时候他叫金
[02828.82-02830.18] 南地朝什么
[02830.18-02832.34] 南地叫做一登大时
[02833.74-02834.74] 一登大时的话
[02834.74-02835.26] 带什么
[02835.26-02835.90] 带火
[02835.90-02837.26] 所以南地你看南
[02837.26-02838.38] 一定是有什么的
[02838.38-02839.62] 南一定是有火的
[02839.62-02840.66] 北盖到什么
[02840.66-02842.30] 北盖叫做红七公案
[02842.30-02844.02] 那你看红七公有什么
[02844.02-02844.98] 有水
[02844.98-02846.18] 所以水属什么
[02846.18-02846.86] 水属
[02846.86-02847.42] 北
[02847.42-02848.70] 而周神同
[02848.70-02849.72] 中神通的话
[02849.72-02851.52] 就在中间就只剩下一个了
[02851.52-02852.92] 这是什么就是土
[02852.92-02853.56] 土呢
[02853.56-02854.84] 他是我们所说的
[02854.84-02856.64] 对应的是五星当中的
[02857.14-02860.48] 中间的一个方位对应的就是土了
[02860.48-02862.52] 所以在这里面大家要注意一下
[02862.52-02864.84] 所以在这个地方就去寄他的生就寄难
[02864.84-02867.12] 那东西西度南地北盖
[02867.12-02869.94] 你就想一下他们的名字就知道了中神通
[02869.94-02872.76] 这个时候中间的就是往重阳而人就叫
[02874.30-02876.60] 我都给你写下来玩这儿还放面记
[02876.60-02878.90] 中神通他叫做王重養
[02879.92-02881.46] 你看这个重字
[02881.72-02882.48] 双吐
[02882.74-02886.32] 所以在这里面大家注意一下所以你看中神通
[02886.58-02887.36] 对应的中神嘛
[02887.60-02888.38] 对应的就是吐
[02888.64-02891.70] 所以在这里面大家一定要知道通过五钱系
[02891.96-02894.00] 要把五钱后贪对应上
[02894.26-02895.80] 贪后五行能对应上
[02896.06-02897.60] 而五行和五个方位
[02897.86-02898.36] 能对应上
[02898.62-02900.66] 而五贪的太子对应了不同的颜色
[02900.92-02901.94] 他们是相通的
[02902.20-02904.24] 所以我在这里给大家总结了一个表格
[02904.50-02905.28] 就把这个表格
[02905.28-02906.92] 多看两眼就行了
[02906.92-02910.52] 首先刚新皮肺胜
[02910.52-02911.52] 这是武藏
[02911.52-02914.64] 干组 木 心组 火
[02914.64-02915.12] 对吧
[02915.12-02917.64] 然后皮是土 肺是接
[02917.64-02918.40] 然后胜
[02918.40-02919.64] 是我们所说的水
[02919.64-02920.52] 而我们所说的
[02920.52-02921.68] 这是物形
[02921.68-02922.12] 物形
[02922.12-02924.68] 那小达掌握的是香生香克
[02927.48-02928.92] 掌握的是香生香克
[02928.92-02930.64] 因为它考慍香的选项
[02930.64-02931.76] 而物所说的物形
[02931.76-02933.16] 对应的是五色
[02933.16-02933.80] 五色的话
[02933.80-02936.48] 你看 墨石青色數嘛
[02936.48-02936.88] 对吧
[02936.88-02938.08] 然后火
[02938.08-02941.76] 那你看 就是红色土石黄色金白色
[02941.76-02943.80] 而水对用的是黑色
[02943.80-02945.00] 你说老师怎么是黑色呢
[02945.00-02947.00] 因为我们通常说是旋色
[02947.00-02948.60] 旋代表的就是黑
[02948.60-02949.80] 旋代有是黑
[02949.80-02951.20] 而我们所说的你看
[02951.20-02953.00] 那武行他对应的是什么
[02953.00-02954.28] 对应的是武方
[02954.28-02957.48] 就是东西西毒南地
[02957.48-02959.24] 北戴中神通
[02959.24-02960.80] 分别就都对用上了
[02960.80-02962.40] 所以你要把这里面
[02962.40-02965.94] 它的相应的对应能够去给的对应好
[02965.94-02966.28] 好的
[02966.28-02966.92] 这样的话
[02966.92-02971.76] 我们就把这个支持点相对来说它的难度都给大家去进行到这了
[02971.76-02975.02] 这个就是我们所说的有关于武器器
[02975.02-02978.76] 有关于武器器器我们给大家做的支持点的眼神
[02978.76-02979.32] 好
[02979.32-02983.40] 这个就是我们所说的前两个主要的这样一个人物了
