[00000.00-00004.96] 欢迎来学习经济学当中的第四章内容就是国际经济
[02294.14-02296.24] 那同样的我们来分析一下
[02296.24-02299.88] 他对于投资的话从长期投资来看的话
[02299.88-02301.10] 有没有列不有列
[02301.10-02302.48] 因为这有时候人人比生指了
[02302.48-02303.92] 给你国家投资成的
[02303.92-02304.42] 点高
[02304.42-02307.10] 所以他从长期来看的话是投资不利
[02307.90-02309.30] 收购企业
[02309.30-02311.34] 或者在这里面投资坚长
[02311.34-02312.42] 后次是不利的
[02312.42-02314.16] 但这有时候对于国人来说
[02314.16-02315.42] 出国网和合适
[02315.42-02316.06] 太可适了
[02316.06-02316.98] 是利于
[02319.54-02320.54] 在这里标准一下
[02320.54-02321.94] 什么利于出国旅游
[02321.94-02322.98] 带过我之类的
[02322.98-02324.90] 叫利于出国等方面
[02326.46-02327.98] 所以在考试的时候怎么考
[02327.98-02328.74] 考案例
[02328.74-02331.30] 这个地方绝对的考理解行的案例
[02331.90-02333.10] 但他出案例的角度
[02333.10-02334.22] 可能就很多元了
[02334.22-02335.98] 让我们去变弃关于他说法
[02335.98-02337.18] 给你圈一圈
[02337.18-02338.62] 圈三圈四这几个圈
[02338.62-02340.98] 然后说这几个圈里面说法正确有几个
[02340.98-02342.62] 然后给你排列组和选项
[02342.62-02343.26] 大家注意一下
[02343.26-02345.10] 这个点绝对的重点
[02345.10-02346.94] 这个就是贸易中的
[02346.94-02347.90] 区率问题
[02347.90-02349.22] 来做几道题吧
[02349.22-02350.22] 来感受一下
[02350.22-02351.42] 首先来看一下说
[02351.42-02352.86] 一国区率下跌
[02353.74-02354.74] 本币便值
[02354.74-02356.62] 可能导致的直接结果是
[02356.62-02357.74] 在这里大家注意一下
[02357.74-02361.18] 本币便值导致的直接结果是什么
[02361.18-02361.70] 来看一下
[02361.70-02363.06] 失业率增加
[02363.06-02364.22] 直接结果就是
[02364.22-02366.58] 最为明显能够看到的
[02366.58-02367.02] 对吧
[02367.02-02368.62] 这个叫做直接结果
[02368.62-02370.02] 这里面我们来看一下
[02370.02-02372.76] 首先第一个本帝币币值是越率增加
[02372.76-02373.74] 在这里面
[02373.74-02375.34] 绝是巴黄可能才能热了它
[02375.34-02376.42] 这是本帝币币值
[02376.42-02377.38] 然后在这种情况下
[02377.38-02379.22] 自本帝币币币币币币币
[02379.22-02381.30] 是越情况加据越
[02381.30-02382.82] 然后在这种情况是越率增加
[02382.82-02385.02] 那是轨了好几个包才能轨了它
[02385.02-02387.04] 所以它不可能是直接结果
[02387.04-02388.18] A选项不行
[02388.18-02391.62] 并且向它给到了是出口商品增加
[02391.62-02394.14] 本币币币币值直接的结果就是什么
[02394.14-02396.70] 本币币币币值直接的结果就继续好往来卖了
[02396.70-02398.42] 所以在这里币币
[02398.42-02400.78] 大家注意下是出口上品增加是可以的
[02400.78-02401.98] 在这里它说了
[02401.98-02404.50] 那进口商品价格降低
[02404.50-02405.54] 同们来看一下
[02405.54-02407.82] 在这种情况下本币辨职
[02407.82-02409.78] 进口商品价格升高还是下降
[02410.42-02411.50] 只能是升高
[02411.50-02412.54] 怎么可能是下降
[02412.54-02412.86] 对吧
[02412.86-02413.78] 所以思细选上不对
[02413.78-02416.78] 币选项本国旅游业收入減少
[02416.78-02419.18] 这种情况下本币辨职
[02419.18-02420.42] 我们不出出玩了
[02420.42-02421.78] 但是人家来咱们这玩
[02421.78-02422.74] 是不是很合适
[02422.74-02423.82] 所以它说收入減少
[02423.82-02425.54] 本身应该是收入增加
[02425.54-02427.18] 所以你看它说是直接结果
[02427.18-02428.72] 其实本身还考察的是
[02428.72-02430.42] 匯率变动产生的影响
[02430.42-02430.76] 对吧
[02430.76-02431.78] 所以照体选择
[02431.78-02432.56] 第二个
[02432.56-02433.84] 所以这是第一体
[02434.86-02436.00] 第二体来看一下
[02436.00-02437.42] 这是我刚才所说的这种情况
[02437.42-02439.46] 说欧元对人民币的匯率是
[02439.46-02441.26] 1比7.95
[02441.26-02442.80] 这是5.5号
[02443.06-02444.84] 然后这是2020年
[02444.84-02446.90] 说2019年的5.5号
[02447.40-02449.82] 原来是1比7.5
[02449.82-02454.06] 你看从20197.5到20207.95
[02454.06-02456.36] 来看一下人民币生了还是点了
[02456.36-02458.36] 人民并变職了
[02461.00-02461.72] 对吧
[02461.72-02463.48] 那如果人民并变職的话
[02463.48-02465.12] 可能会带来的影响是什么呢
[02465.12-02467.32] 欧洲企业来中国投资增多
[02467.32-02468.76] 来不来中国投资
[02468.76-02470.08] 当然要来中国投资
[02470.08-02472.56] 因为你在这里人民并变職了
[02472.56-02475.12] 那从常来看你投资撑的会下降
[02475.12-02476.08] 谁要来的
[02476.08-02477.56] 来看一下 趣二
[02477.56-02478.44] 趣二说
[02478.44-02480.88] 说中国企业出口机性降低
[02480.88-02481.84] 人民并变職
[02481.84-02483.84] 你出口的东西便宜来是贵了
[02483.84-02484.60] 便宜了
[02484.60-02486.12] 你想想那个雪高的问题
[02486.12-02490.12] 对吧,那这时候触机形式怎么样,上升呢,所以圈儿厨,
[02490.12-02496.36] 圈三,外汇处备率将会升高,同时来看一下,你在这种情况下,人民币变质了,
[02496.36-02499.08] 它导致的结果就是不利于进口。
[02501.08-02503.32] 对吧,同时资本还流走了。
[02505.32-02507.88] 你都不买东西了,你要那么多外汇处备干嘛呢?
[02507.88-02512.28] 所以对外汇处备的需求将下降,外汇处备将減少啊。
[02512.28-02515.16] 所以在这里面,一定要注意下,你资本都流走了,
[02515.16-02516.68] 外匯都留出去了
[02516.68-02518.68] 所以在这里面都留出去了
[02518.68-02519.48] 你就知道
[02519.48-02521.00] 资本外流
[02521.00-02521.76] 外匯
[02521.76-02523.68] 我们所说这种资本包括外匯
[02523.68-02524.68] 外匯都留走了
[02524.68-02526.52] 外匯出被必然是下降的
[02527.08-02527.68] 对吧
[02527.68-02528.60] 所以在这里面
[02528.60-02529.48] 虽然不对
[02529.48-02530.76] 那地圈三部队
[02530.76-02533.48] 那圈四中过游和秋洲流层门增加
[02533.48-02535.28] 必然人民币辨职
[02535.28-02537.44] 就意味着其他国家的钱更值钱了
[02537.44-02539.60] 我们出去玩要付更多的成本
[02539.60-02542.20] 所以它说说正确的应该是四地
[02542.20-02543.48] 所以照顾选择
[02543.48-02544.20] 第四个
[02544.20-02546.40] 这个其实就是我们所说的什么
[02546.40-02548.76] 就是我们所说的整个会律知识
[02548.76-02550.40] 所以我们来简单的回顾一下
[02550.40-02552.24] 第一节的整体的考察店
[02552.24-02553.48] 他说第一个
[02553.48-02557.12] 在国际机的国际机器的机本知识里面
[02557.12-02558.52] 他给到说国际冒义
[02558.52-02560.28] 我们掌握的就是基本概念
[02560.28-02562.08] 只要把机本概念掌握住就行了
[02562.08-02563.12] 所以就四句话
[02563.12-02564.96] 一个是什么叫顺差
[02564.96-02565.88] 什么叫逆差
[02565.88-02566.72] 关税币了
[02566.72-02569.60] 主要是和非关税币了主要针对进口
[02569.60-02571.48] 只要把这个机本概念了解下去想
[02571.48-02573.52] 不需要大家去被重点其实在这
[02573.52-02576.92] 对贸易当中的会率问题 会率问题到两星期的支持点
[02576.92-02578.92] 是会率变动的影响
[02578.92-02583.44] 在会率当中的首先 第一个我们知道会率是货币之间的比对关系
[02583.44-02586.96] 第二个就是会率的画科有固定的有服动的
[02586.96-02589.52] 固定会率只是为意味着一遍不变的 不是
[02589.52-02592.44] 虽然有政府之定 但是在百分之一左右服动
[02592.44-02595.32] 服动会率只有两种 一种是完全自由的服动
[02595.32-02597.40] 像当年的日本和美国那样 对吧
[02597.40-02599.16] 但是搞垮它也很容易
[02599.16-02602.80] 所以在服动会率之当中 说了我们实行的是有管理的
[02602.80-02603.72] 服动会认
[02603.72-02605.16] 而会认他的变动
[02605.16-02607.08] 一定会对国家经济产生影响
[02607.08-02608.60] 所以会认动的影响
[02608.60-02610.00] 需要同学们去掌握
[02610.00-02611.36] 一定要去理解他
[02611.36-02612.08] 所以你看
[02612.08-02614.28] 我在这里就一本币免职委利
[02614.28-02615.60] 人民币不值钱了
[02615.60-02616.64] 卖了东西便宜
[02616.64-02617.36] 律禁口
[02617.36-02618.76] 但是买进来的东西贵
[02618.76-02619.64] 不利于出口
[02619.64-02621.32] 所以顺差会扩大
[02621.32-02622.48] 人民币不值钱了
[02622.48-02623.52] 你要把你手里所
[02623.52-02625.32] 我有的资产全部逃动
[02625.32-02627.04] 从中国逃动出去
[02627.04-02628.44] 那这里面资本外流
[02628.44-02629.44] 你的外会储备
[02629.44-02630.60] 也算是资本的一种
[02630.60-02631.56] 所以都留走了
[02631.56-02632.68] 外会储备变变回
[02632.68-02633.32] 減少
[02633.32-02635.20] 但是这是从短期来看
[02635.20-02635.60] 对吧
[02635.60-02636.76] 但是从藏期来看的话
[02636.76-02638.56] 境外投资是增加的
[02638.56-02640.60] 因为来中国来大陆
[02640.60-02642.24] 或者是来中国来投资的话
[02642.24-02643.68] 那征说太特殊了
[02643.68-02644.04] 对吧
[02644.04-02644.92] 因为成本比较低
[02644.92-02646.44] 但是不利于出国和出
[02646.44-02647.96] 留学和旅游
[02647.96-02649.24] 所以这里的点
[02649.24-02650.68] 最长好的也是难点
[02650.68-02651.56] 就是在这
[02651.56-02652.96] 尤其是原本的时候
[02652.96-02654.96] 我们其实对外会出贝和境外投资
[02654.96-02656.36] 这个地方不太重视
[02656.36-02658.68] 重点其实原本是在金属口这块
[02658.68-02660.16] 但这一年考得会比较多
[02660.16-02661.48] 大家一定要注意
[02661.48-02663.36] 这个地方其实是一个小囊店
[02663.36-02665.08] 其实有很多地区已经开始考察
[02665.08-02665.96] 买回处备
[02665.96-02668.84] 它和区率变动的影响了一定要注意
[02668.84-02671.48] 好 那这个就是我们所说的第一节的内容
