[00000.00-00005.40] 我們在前面給大家講了實現中華民族偉大福興的內部條件
[02328.60-02329.64] 路都修好了
[02329.64-02330.60] 才能搞贸易
[02330.60-02332.84] 所以在设施联头之后提到就是
[02332.84-02334.12] 贸易唱同
[02334.12-02336.00] 你只有把路修到人家门口了
[02336.00-02336.68] 咱们的东西
[02336.68-02337.90] 才能更方便進去
[02337.90-02340.64] 我們才能實現更好的貿易走貿易聯統
[02340.64-02342.42] 而一旦國際國之間搞貿易
[02342.42-02344.02] 撞撞錢 撞錢
[02344.02-02346.02] 資金就會融通起來
[02346.02-02347.68] 老百姓撞錢老百姓 太不開心
[02347.68-02348.30] 太辛苦
[02348.30-02350.46] 這時候就是民心相同
[02350.46-02352.22] 所以在整個一代路監視當中
[02352.22-02353.82] 我們所提到的這個武通
[02353.82-02355.22] 我們要記得是拿武通
[02355.22-02356.58] 人第一個線商量
[02356.58-02357.94] 商量好了幹嘛修路
[02357.94-02359.38] 修路就要設施聯統
[02359.38-02360.48] 設施搞好了
[02360.48-02362.14] 咱們就能開始搞買賣
[02362.14-02363.10] 只貿易創通
[02363.10-02364.84] 買賣的高起來錢就
[02364.84-02366.64] 彭伙了 叫资金融通
[02366.64-02369.18] 资金融通 老百姓都赚钱老百姓开不开心
[02369.18-02371.36] 台心就叫做明星相同
[02371.36-02373.54] 这个就是我们所提到的
[02374.04-02376.04] 柳观源一代一路当中的
[02376.04-02378.04] 武通 一代一路当中的武通
[02378.04-02379.16] 大家要注意一下
[02379.16-02381.94] 说了通过我们刚才所提到的原则也好
[02381.94-02383.34] 思路精神的推动也好
[02383.34-02385.14] 已经武通的这样的一个发展也好
[02385.14-02386.34] 我们的目标是什么
[02386.34-02387.94] 这个目标的简单看一下
[02387.94-02390.24] 在最开始一代一路提出来的所谓
[02390.24-02391.84] 说了要把一代一路接着成
[02391.84-02395.84] 和平之路反正之路开放之路,创新之路和文明之路
[02395.84-02398.84] 但现在随着这几年不断的发展
[02398.84-02401.84] 我们所说的一代一路,他也是什么
[02401.84-02403.84] 他是健康之路也是生命之路
[02403.84-02405.84] 比如说在疫情期间
[02405.84-02410.84] 所以他的一代一路的目标是不断变化的
[02410.84-02412.84] 在这同一面简单看一下就行了
[02412.84-02414.84] 在第二阶一代一路峰会到这还提到
[02414.84-02417.84] 说一代一路的路,他也是绿色之路
[02417.84-02420.84] 所以这个点是不断丰富和发展的
[02420.84-02423.34] 在这咱们就不做过多的强调了
[02423.34-02424.84] 这个五路眼看一下就行了
[02424.84-02426.34] 重点放在前三个
[02426.34-02428.84] 是它的原则它的酸酪精神
[02428.84-02430.84] 以及它的武通的发展
[02430.84-02431.84] 因为这三个点
[02431.84-02433.84] 一就是今年在第三界一代一样
[02433.84-02435.84] 丰富会高峰论坛
[02435.84-02437.84] 我们所提到的开幕式
[02437.84-02440.84] 就是在这个丰富会开幕式讲话的时候
[02440.84-02442.84] 所提到的内容
[02442.84-02444.84] 在领导人讲话的时候
[02444.84-02445.84] 一就会提到这一点
[02445.84-02446.84] 大家稍微注意一下
[02446.84-02450.60] 好吧,这个就是我们给大家所提到的这个一代一路
[02450.60-02455.24] 也说借这个一代一路呢,我就把这个实正热点就给大家串联起来了
[02455.24-02459.44] 好,这个就是整体上我们所提到的中国特色的大国卫交
[02459.44-02461.76] 那这个大国卫交当中,咱们快速来回一下
[02461.76-02466.12] 第一个就是中国在发展过程当中的照顾保障,就是还要一靠国际
[02466.12-02468.16] 那一靠国际就要一靠我们的卫交
[02468.16-02471.44] 那中国在卫交上做什么道路,大家知道和平发展道路
[02471.44-02474.28] 为什么走?因为时代的主题是和平于发展
[02474.28-02476.48] 這是人心所向大事所去
[02476.48-02478.88] 中國要做的就是順勢而為
[02478.88-02481.68] 第二個就是在整個時代發展過程當中
[02481.68-02483.44] 當前的歷史潮流
[02483.44-02485.40] 也是要求和平發展合作工業
[02485.40-02487.68] 我說了你就把他當作一個組合詞
[02487.68-02489.28] 這是我們好的一面
[02489.28-02490.76] 當然也有一些挑戰一面
[02490.76-02493.64] 挑戰一面就是因為存在四大次子
[02493.64-02494.76] 你稍微有意義想就想
[02494.76-02495.80] 這個不要求大背
[02495.80-02497.28] 但無論是出於合作原因
[02497.28-02498.92] 都要求我們走和平發展道路
[02498.92-02501.28] 那如何走好和平發展道路呢
[02501.28-02504.96] 要堅持獨立自主的和平外交政策
[02504.96-02506.92] 那和平外交政策當中的第一個點
[02506.92-02507.72] 總指示啥
[02507.72-02509.68] 由和時代發展的主題
[02509.68-02511.32] 叫做和平遠發展
[02511.32-02512.40] 中國的立場是什麼
[02512.40-02515.64] 中國的立場只站在世非去者和人民立場上
[02515.64-02517.08] 那我們就叫做獨立自主
[02517.08-02518.12] 我們不站隊
[02518.12-02519.64] 所以在這裡叫獨立自主
[02519.64-02522.60] 那中國在左和平發展道路的時候
[02522.60-02524.48] 基本準則是啥
[02524.48-02525.72] 和平共處無相原則
[02525.72-02528.12] 大家知道和平共處無相原則的內容
[02528.12-02529.60] 那左和平發展道路
[02529.60-02531.84] 推动人民共同体的实现
[02531.84-02534.98] 人民共同体的实现有一个具体的落实
[02534.98-02536.20] 就叫做一代一路
[02536.20-02538.42] 大家知道一代一路的内涵是
[02538.42-02541.48] 四仇之路进代和二十一世纪海上四路之路
[02541.48-02542.34] 尤其在这里
[02542.34-02544.64] 大家要结合我们所说的古代史
[02544.64-02545.82] 我给大家讲的内容
[02545.82-02547.26] 我刚才给大家付出了一下
[02547.26-02548.54] 张先生处理虚的内容
[02548.54-02550.20] 了解一下四仇之路
[02550.20-02551.86] 大家知道这是一代一路内涵
[02551.86-02555.90] 第二个只二人一五年是一代一路开举之念
[02555.90-02556.18] 对吧
[02556.18-02558.40] 所以在这里大家把一五年稍微注意一下
[02558.40-02560.20] 那么说了一带一路最后很重要
[02560.20-02561.72] 那如何建访一带一路呢
[02561.72-02563.00] 第一个坚持三个元子
[02563.00-02565.56] 要知道叫共商共建共享
[02565.56-02568.20] 把它和国内的共智分开
[02568.20-02570.40] 第二个我们在整个搜州当中
[02570.40-02571.84] 提到了一个俗路精神
[02571.84-02572.48] 什么呢
[02572.48-02576.00] 首先和平开放互血供应
[02576.00-02578.24] 我们最终的目标是实现互联供应
[02578.24-02579.76] 这是第一个它的内涵
[02579.76-02580.80] 第二个我们提到了
[02580.80-02582.28] 俗路精神它的地位
[02582.28-02585.40] 是推动国际发展的重要力量元权
[02585.40-02585.72] 对吧
[02585.72-02588.12] 这个是在新的实正热脸当中
[02588.12-02589.04] 所提到的
[02589.04-02589.88] 那第三一个呢
[02589.88-02590.92] 就在这里们提到
[02590.92-02591.76] 建设色之路
[02591.76-02592.48] 我们提到
[02592.48-02593.24] 武通发展
[02593.24-02594.28] 首先第1个商量
[02594.28-02595.04] 政策过通
[02595.04-02595.48] 第2个
[02595.48-02596.60] 续高点修路
[02596.60-02597.56] 设施连通
[02597.56-02599.00] 路修好了可以贸易
[02599.00-02599.80] 贸易串通
[02599.80-02600.76] 贸易就会赚钱
[02600.76-02601.80] 叫资金融通
[02601.80-02602.92] 最近一旦抓到钱
[02602.92-02604.08] 老百姓开心
[02604.08-02605.04] 明星相同
[02605.04-02605.52] 那这个呢
[02605.52-02607.12] 是我们所提到的武通
[02607.12-02608.40] 那今年一代一路呢
[02608.40-02610.32] 他和我们的热点事件相联接
[02610.32-02613.12] 第三件一代一路国际合作高峰论坛
[02613.12-02617.16] 今年也是一代一路唱一提出来10周年
[02617.16-02618.24] 所以他是一个热点
[02618.24-02621.92] 在开幕式的讲话当中所涉一道的内容的重要的点
[02621.92-02623.36] 我刚才已经给大家指说了
[02623.36-02625.04] 当然在后面的时候
[02625.04-02629.76] 他也会出现一些比如说一代一路和科技合作论坛
[02629.76-02630.08] 对吧
[02630.08-02631.04] 这个其实也有
[02631.04-02634.08] 这个就在亲密老师给大家讲解个实正当中
[02634.08-02635.04] 回答起讲到
[02635.04-02638.36] 所以今年它連接的熱點就是一帶一路箱的熱點
[02638.36-02639.20] 为什么它熱
[02639.20-02641.60] 就是因為它是要逢十周年的紀念
[02641.60-02642.60] 明白這個意思吧
[02642.60-02643.60] 好
[02643.60-02645.28] 這個就是整個
[02645.28-02647.92] 有關於我們所提到的第五個部分
[02647.92-02650.00] 有時候我們所說的實現中華民族偉大
[02650.00-02652.40] 附近的重要保障當中的第三個版話
[02652.40-02654.24] 這中國特色的大國外交
[02654.24-02657.52] 那講到這就把整個中特的內容給大家講完了
[02657.52-02660.12] 我們從原來的鄧三科
[02660.12-02661.96] 講到了現在的心思想
[02661.96-02665.16] 从新思想的总论讲到了新思想的分论
[02665.16-02668.92] 我希望同一们能够把这个框架非常明确的去给大家清楚
[02668.92-02670.32] 你搭建了这个框架
[02670.32-02672.20] 你再去停20大报告的时候
[02672.20-02673.44] 你发现轻松很多
[02673.44-02674.68] 因为它的基本股下
[02674.68-02677.32] 每遍一直需要把新的那种放在这里面
[02677.32-02678.20] 就OK了
[02678.20-02678.64] 好吧
[02678.64-02680.96] 这个就是整个中特的全部内容
[02680.96-02682.72] 那中特的刻程到这里
[02682.72-02684.00] 就是暂时告一段路
[02684.00-02685.16] 接触
[02685.16-02687.56] 我们刚才所提到的
[02687.56-02689.80] 第三件一带一带路风回当中所提到的话
[02689.80-02690.88] 人家是10周年
[02690.88-02692.16] 当时看不上当中
[02692.16-02695.60] 说10年之峰目女10年春华秋室
[02695.60-02697.52] 所以我也希望大家能够在学习当中
[02697.52-02698.64] 不断地去记忆
[02698.64-02700.12] 现在大家所付出的
[02700.12-02702.52] 之峰目女都能换来春华秋室
[02702.52-02703.08] 好吧
[02703.08-02705.76] 最后就借助今年在23年
[02705.76-02706.92] 新年之次当中
[02706.92-02709.52] 领导人的讲话来结束咱们的中特课程
[02709.52-02711.32] 朱元祖国反而双胜
[02711.32-02712.28] 国太明安
[02712.28-02714.52] 朱元世界和平美好幸福安宁
[02714.52-02718.20] 最后朱元大家借得所愿成功上案
[02718.20-02721.02] 咱们的中特到这里就结束了
[02721.02-02723.12] 咱们实正和刷题再见了
[02723.12-02724.30] 我是杨仇老师
[02724.30-02725.76] 大家下一个客户再见吧
[02725.76-02726.42] 拜拜
