[00000.00-00002.00] 好的 那我们了解了
[00002.00-00003.00] 自然人的名式
[02370.66-02372.26] 在我意识不轻
[02372.26-02374.86] 或者老了没有办法动躺这种情况之下
[02374.86-02377.46] 他是不是可以来对我进行一些
[02377.46-02378.66] 相应的非常地异弯
[02378.66-02380.86] 那这种情况之下就是我们所说的什么
[02380.86-02383.26] 成年人他的一个意定兼互
[02383.26-02384.26] 成年人的意定兼互
[02384.26-02385.74] 所以承免人的一定见户
[02385.74-02388.10] 同时知道他实际是承免人
[02388.10-02390.78] 在全部或部分上市行为能力之前
[02390.78-02392.66] 就是我还在我不想认知前
[02392.66-02395.62] 我就为拖别人在我无能力的情况之下
[02396.34-02399.30] 来照顾我的人生和监管我的什么
[02399.30-02399.98] 财产
[02399.98-02401.62] 这个就叫做承免人的
[02401.62-02402.74] 一定减火
[02402.74-02404.22] 所以承免人的一定见户
[02404.22-02406.54] 第一个他要求是完全明是行为能力人
[02406.54-02408.34] 这个点是必须要有的
[02408.34-02411.90] 如果他现在处在部分上市行为能力的状态
[02411.90-02413.42] 他不能设定一定减火
[02413.42-02415.22] 第二個必須什麼樣的形式
[02415.22-02417.50] 必須也書面的形式
[02417.50-02418.66] 必須以書面的形式
[02418.66-02419.54] 所以大家注意一下
[02419.54-02420.82] 這是第二個點
[02420.82-02422.90] 那第3個點就是大家要注意
[02422.90-02425.42] 如果說我跟這個保護也好
[02425.42-02427.02] 或者我跟其他人也好簽訂了
[02427.02-02429.78] 這樣一個我們所說的合同
[02429.78-02431.86] 在這個北脫合同生小之前
[02431.86-02433.50] 我其實是可以隨時反毀的
[02433.50-02435.42] 比如說在北脫合同生小之前
[02435.42-02437.06] 雙方就有任意也解除權
[02437.06-02438.82] 那這是承諗人的一天間戶
[02438.82-02441.06] 大家知道它是什麼事
[02441.06-02442.50] 或者是一個具體什麼樣的
[02442.50-02443.90] 大概的情况就可以了
[02444.90-02446.34] 只自己给资予找见户人
[02446.66-02448.38] 那这是陈点人的一定见户
[02448.66-02450.30] 那除了陈点人一定见户之外
[02450.30-02451.62] 还有另外一种见户形式
[02451.62-02453.14] 就叫做委托见户
[02453.58-02455.14] 委托见户在一场生活当中
[02455.14-02455.94] 比较长见
[02455.94-02457.02] 你在旁边标注一下
[02457.02-02458.98] 委托见户的本质他去做什么呢
[02459.18-02460.82] 就是找人帮忙带孩子
[02464.74-02466.90] 找人帮忙带孩子
[02466.90-02470.74] 那找人帮忙带孩子
[02470.74-02472.78] 他会有什么样的问题呢
[02472.78-02475.02] 他的这个问题是在于如果这个小孩
[02475.02-02477.34] 他呢对别人产生了亲全
[02477.34-02479.86] 对吧 那这个责任到底谁来承担
[02479.86-02482.82] 所以找人帮忙带孩子其实就是我们所说的是嘛
[02482.82-02485.34] 美脱 减乎其实在这种情况
[02485.34-02487.06] 日常生活当中比较常见
[02487.06-02488.46] 比如说刘手而头
[02488.46-02489.70] 师傅比较常见的
[02489.70-02490.46] 呃
[02490.46-02492.54] 8了妈妈都去成立打工了
[02492.54-02493.26] 然后呢
[02493.26-02494.70] 这个小孩自己再讲
[02494.70-02496.10] 这小孩自己在家之后呢
[02496.10-02501.50] 爸妈不放心就有这个小孩的爷奶奶老老爷来去照顾这个小朋友
[02501.50-02501.90] 对吧
[02501.90-02504.06] 那这里面你看父母还在
[02504.06-02506.06] 那父母还在其实父母就是她的什么
[02506.06-02507.82] 第一设位的兼互人
[02507.82-02511.54] 那这种情况这个偷把这个孩子为脱给了她的爷爷奶奶
[02511.54-02512.78] 那我问一下大家
[02512.78-02516.06] 这种父母在父母就是第一设位兼互人
[02516.06-02518.06] 因为她的兼互生就就法定了信
[02518.06-02519.34] 那这种情况之下
[02519.34-02522.42] 小孩只是为脱给了爷奶奶奶来看过
[02522.42-02524.68] 那如果委託給了野奶來判管的話
[02524.68-02526.84] 小孩這個時候出去闖貨了
[02526.84-02528.34] 把人家的小朋友給打了
[02528.34-02529.46] 對吧打到二哭
[02529.46-02530.58] 還給人打傷了
[02530.58-02531.48] 那這種情況之下
[02531.48-02533.76] 青春責任應當有誰來承擔
[02534.66-02535.70] 使用他的
[02536.02-02537.52] 野野奶還是有他的
[02537.52-02538.62] 爸爸媽媽來承擔的
[02539.06-02540.66] 理論上應該是有他的
[02540.66-02541.98] 爸爸媽媽來承擔吧
[02541.98-02543.36] 所以在這裡面大家注意一下
[02543.36-02544.32] 這個委託監護
[02544.32-02545.50] 就是找人幫忙帶孩子
[02545.50-02547.86] 他在考試當中經常會考察的一個點就是什麼
[02547.86-02549.08] 就是我們所說的
[02549.08-02550.46] 竟然是委託監護
[02550.46-02554.26] 那这个兼护子子子子
[02554.26-02558.02] 那这个兼护子儿任到底是谁来承担的问题
[02558.02-02559.42] 你看一下书上打说的
[02559.42-02560.42] 他说呢
[02560.42-02562.06] 这个北脱兼护的概念不说了
[02562.06-02565.42] 他说北脱兼护不转移法定兼护人的责任
[02565.42-02567.98] 被北脱人去过错的才承担什么
[02567.98-02569.30] 联带赔唱责任
[02569.30-02572.02] 所以在这个长人帮忙带孩子过程当中
[02572.02-02575.66] 同标主一下就是原子上
[02575.66-02576.66] 原子上是什么
[02576.66-02578.42] 北脱人依旧是兼护人
[02578.42-02580.02] 也只让按照书上所说的
[02580.02-02582.02] 我就在書上畫寶就不行
[02583.54-02585.42] 上面再書上給他標準一下
[02586.62-02587.42] 第一個點
[02588.82-02591.78] 這是不轉移法定經護人的責任
[02591.78-02593.82] 你該承擔教育服養
[02593.82-02595.82] 然後承擔清前責任等等
[02595.82-02596.94] 你都要承擔的
[02596.94-02598.82] 所以第一個不轉移見責任
[02598.82-02600.18] 第二個大家注意一下
[02600.18-02602.02] 只有在被委託人
[02602.02-02603.74] 確有過錯的情況之下
[02603.74-02605.62] 被委託人才會承擔什麼
[02605.62-02607.62] 連代賠償責任
[02607.62-02609.74] 才會承擔連代賠償責任
[02609.74-02611.98] 什么意思呢比如说举个简单的例子啊
[02612.98-02616.14] 还是小 A的爸爸妈妈呢他去成练
[02616.14-02621.90] 五公了啊就为了给小 A的更好的这样的生活于是呢就把小 A委托给了
[02622.54-02625.94] 小 A父母大宫去了
[02626.62-02633.10] 于是就把小 A委托给了谁呢就把小 A委托给了小 A的爷爷和奶奶结婚
[02635.54-02639.70] 那这里面父母是小 A的法定结婚人爷爷奶奶是小 A的什么
[02639.74-02641.64] 偷椰戶的移寰 对吧
[02641.68-02643.76] 然后有一天的小蕾
[02643.84-02644.76] 去冲键筍
[02644.76-02646.24] 小蕾有自己的朋友
[02646.24-02647.40] 小焐就去了
[02647.40-02648.58] 去了他的朋友间
[02648.64-02649.42] 去到谁家
[02649.50-02651.28] 去到小弁家 玩扇
[02653.64-02655.66] 去到小弁家 玩扇
[02655.74-02657.10] 然后去到了小弁家 玩扇
[02657.10-02658.94] 的时候是爷奶奶奶奶奶奶奶奶去了
[02659.04-02660.66] 结果他这两小孩在玩的
[02660.66-02662.74] 1300 爷奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶奶ship
[02662.74-02663.90] 两小孩再和两个小孩聊天
[02664.16-02666.74] 结果两小孩玩的兴起的时候
[02666.80-02668.72] 就忽然想起要干嘛的眼影
[02668.72-02669.46] 因為他就拿去
[02669.46-02671.72] 餘世這兩個孩子就在過程中
[02671.72-02673.72] 一定要稱神動武了一門組
[02673.72-02674.72] 小廖壁就打起來了
[02674.72-02676.32] 小廖壁打起來了之後
[02676.32-02677.24] 這個小廖
[02677.24-02679.00] 就把小蝢打傷了
[02680.32-02682.48] 小廖壁就把小蝢打傷了
[02682.48-02684.08] 小廢打傷了之後
[02684.08-02686.20] 然後他的野野眼的看起來了
[02686.20-02687.28] 但看起來了之後
[02687.28-02691.32] 有沒有禮會當時野眼的在操不餘禮會
[02691.32-02692.40] weigh慘的他們就覺得
[02692.40-02693.58] 有個小孺子太厲害了
[02693.58-02694.98] 不得了的露
[02694.98-02697.32] 還以從小就這樣
[02697.32-02698.20] 用羵目向
[02698.20-02701.00] 把人家打发打了对不小孩之间往往弄
[02701.00-02702.20] 能给孩子打什么样的
[02702.20-02703.70] 所以他们两个再场不与理会
[02703.70-02706.10] 小业最终把小弊打成了什么呢
[02706.10-02708.70] 打成了比如说内部给打舍了
[02708.70-02711.10] 对吧会在这个过程的联给人老化了等等
[02711.10-02713.30] 反正在这里面他给小弊打了
[02713.30-02715.10] 是不是对小弊就有了什么
[02715.10-02717.10] 就有了相用的青春责任
[02717.10-02719.30] 在这里面对小弊有了青春责任的话
[02719.30-02719.90] 那问
[02719.90-02724.00] 最终小弊去开一声花费的所有的这些钱
[02724.00-02724.90] 怎么办
[02724.90-02725.90] 大家注意一下
[02725.90-02728.06] 他的父母,小一個父母只能是跑不了的
[02728.06-02730.80] 因為小一個父母反應見過小一個父母必須重大什麼?
[02730.80-02732.30] 必須重大,責任
[02732.30-02734.30] 那這時候,他的野奶能不能贈任
[02734.30-02736.90] 有贈任,這個叫什麼?叫做,卻有過錯
[02736.90-02738.30] 人在那都已經玩成那兒了
[02738.30-02740.50] 都上拿裝,拿寶裝湖了
[02740.50-02742.50] 對吧?都可能拿那種什麼狼壓風了
[02742.50-02744.10] 這野奶奶在現場一不管
[02744.10-02745.80] 那這就就要做,卻有錯誤
[02745.80-02748.80] 那卻有錯誤的時候,野奶奶才重大什麼責任
[02748.80-02751.20] 野奶奶才重大相應的,配上責任
[02751.20-02752.70] 所以在這裡面大家注意一下
[02752.70-02754.50] 這個地方在考試的時候,考案力
[02754.50-02756.90] 经常就会考责任的画分
[02756.90-02758.26] 就考责任画分
[02758.26-02760.26] 所以在这里面这是我们所说的
[02760.74-02761.90] 监户的种类
[02761.90-02763.94] 所以监户的种类一共有六种
[02763.94-02766.14] 但在六种监户当中前四种
[02766.14-02768.14] 它其实是有一定的观点关系的
[02768.14-02769.70] 只有在五所说的六期
[02769.70-02771.22] 五和六之几这两种
[02771.22-02772.42] 它是复理的
[02772.42-02773.14] 第五个点
[02773.14-02774.58] 它是承厌人的一定监户
[02774.58-02775.46] 就知道承厌人
[02775.46-02777.22] 自己给自己找监户人
[02779.94-02782.30] 自己给自己找监户人
[02782.30-02785.18] 也是把自己美脱给别人来照顾
[02785.18-02786.90] 在他算是行为能力
[02786.90-02790.10] 民事行为能力或不顾算是民事行为能力的情况之下
[02790.10-02790.54] 对吧
[02790.54-02791.14] 来照顾他
[02791.14-02792.18] 这成年日一定见乎
[02792.18-02795.22] 知道他的概念能去定义出来概念就行
[02795.22-02797.02] 最后一个就是委脱结婚
[02797.02-02798.62] 大家知道委脱结婚考试的时候
[02798.62-02801.06] 保盟带孩子的则势化和认定
[02801.06-02803.02] 这个地方经常会考案例
[02803.02-02803.58] 好
[02803.58-02806.46] 这就是我们所说的有关于监护的总练
[02806.46-02809.10] 到这我们就把监护给大家说完了
[02809.10-02810.98] 那江湖的种类给拉说完就后呢
[02810.98-02813.06] 那接下来看一下第七个点
[02813.06-02816.26] 只是坚护人他到底要有什么样的指责
[02816.26-02818.58] 坚护人的指责在这里同们看一下
[02818.58-02822.18] 说坚护人的指责第1个叫代理被坚护人时时
[02822.18-02825.22] 民事法律行为这是第1个
[02825.22-02826.86] 那第2个在这里面他说了
[02826.86-02829.30] 叫做保护坚护人的人生
[02829.30-02832.66] 权利财产权利以及其他的合法权利
[02832.66-02834.86] 那这里面就是我们所说的他的
[02834.86-02835.78] 坚护人的指责
[02835.78-02838.34] 第1个就是代理被坚护人时时民事法律行为
[02838.34-02841.26] 比如说这个小孩他是无名是行为能力人
[02841.26-02844.26] 过年了之后我给这个小孩红包
[02844.26-02846.98] 那正常情况这些小孩要红包的话
[02846.98-02849.18] 是不是无名是行为能力人的
[02849.18-02850.82] 民事法的行为一率怎么样
[02850.82-02851.66] 无效啊
[02851.66-02852.94] 能在这种情况之下
[02852.94-02854.34] 那你看在这里面
[02854.34-02856.06] 他的父母就可以带他怎么样
[02856.06-02857.70] 带他去处理一些这样的事情
[02857.70-02859.86] 因为他是无名是行为能力人
[02859.86-02861.18] 比如说他五六岁
[02861.18-02862.30] 他啥都都干不了
[02862.30-02864.02] 当然每次的他也不会买
[02864.02-02865.58] 这时候办了妈妈就去帮他买
[02865.58-02868.30] 这是不是带理他的带理被江湖时行为
[02868.30-02871.22] 第二支保护他的人身才差一集其他合法权
[02871.22-02872.14] 这个没差好说了
[02872.14-02872.66] 对吧
[02873.42-02875.22] 所以这是我们所说的结婚人的
[02875.22-02878.66] 责责将人责相对来说会比较简单一些
[02878.66-02879.50] 我们的重点呢
[02879.50-02881.94] 其实要放在我们所说的这个监护的
[02881.94-02883.10] 总内党主
[02883.10-02884.94] 这是我们整体上给到了监护之一
[02884.94-02885.66] 内小
[02885.66-02886.94] 能够去分他
[02886.94-02890.38] 第二能够通过案例能分析他到到底是用哪一个
[02890.38-02892.18] 这是我们所说的关于
[02892.90-02894.02] 监护的问题
