[00000.00-00002.82] 那么了解了整个单宝制度的宽价之后
[02386.36-02388.16] 雕錢到底是設立還沒有設立
[02388.16-02389.36] 就不是這個問題了
[02389.36-02390.46] 而是要看
[02390.46-02392.16] 這個我們所說的
[02392.16-02393.16] 給銀行
[02393.16-02394.76] 有沒有辦理雕錢登記
[02394.76-02395.96] 是關乎銀行
[02395.96-02397.16] 他有沒有什麼
[02397.16-02398.36] 對抗效率
[02398.36-02399.96] 他能不能對抗
[02399.96-02401.08] 善意的
[02401.08-02402.76] 買收人的目入廣場
[02402.76-02404.86] 然後在這就過程當中
[02404.86-02405.86] 去進行什麼
[02405.86-02407.66] 去進行拍賣這個車去進行
[02407.66-02408.56] 用先收場
[02408.56-02409.56] 明白這個意思吧
[02409.56-02410.46] 所以在這裡面
[02410.46-02411.66] 他的這個登記
[02411.66-02413.56] 其實我們在前面所提到的
[02413.56-02414.66] 這個對抗效率
[02414.66-02417.88] 其实本身上就是想看在这个里面
[02417.88-02420.54] 我们能不能也行
[02420.54-02422.08] 能不能再有权
[02422.08-02426.66] 像默认广场 请求形式的钱就拍卖车约线受伤
[02426.66-02431.50] 也就是 也行的能把我已经卖给默认广场的车拿去卖了约线受伤的问题
[02431.50-02434.08] 那他到底行不行就看他有个事情东西
[02434.08-02434.90] 明白了吧
[02434.90-02437.54] 所以在这里面就分出来了 两种情况
[02437.54-02438.84] 哪两种情况呢
[02439.48-02441.78] 我就把它写在这吧 就写在下面
[02442.12-02443.28] 就两种情况
[02443.28-02446.92] 第一种情况就是我已经给银行办理了点灯器
[02448.92-02450.72] 已经给银行办理了点灯器
[02450.72-02453.28] 如果给银行办理了点灯器的话
[02453.28-02455.16] 这个时候就两个情况
[02455.16-02458.28] 第一个就是我和银行之间
[02461.28-02462.48] 我和银行之间
[02462.48-02463.44] 我就不写银行了
[02463.44-02464.48] 我就写内部吧
[02464.48-02466.64] 第一个就是我和银行之间
[02466.64-02469.20] 我和银行之间动产签订了
[02469.20-02473.54] 笛合同,笛合同生效笛全社里,所以我们内部是有什么
[02473.54-02475.34] 是有笛合权的
[02475.34-02480.46] 对于外部对于外部,就是这个银行能不能请求陌荣广场
[02480.46-02483.02] 把这个车拍卖了就这个车又先受诚
[02483.02-02484.30] 这个时候说了
[02484.30-02488.40] 如果登记,它能够,你还未登记不得对抗善一滴三人
[02488.40-02491.74] 那如果是登记了,那就可以对抗陌荣广场
[02491.74-02493.52] 就把陌荣广场就买到手朵车
[02493.52-02495.32] 拿出去拍卖在又先受诚
[02495.32-02496.08] 明白了吧
[02496.08-02498.14] 所以在这里,陈于外部的话,它有什么
[02498.14-02501.36] 还有追几效率就是他有对抗效率
[02503.90-02506.66] 你说老师那不容易广场不吃虽了吗
[02506.66-02508.14] 那你把他的车都卖了
[02508.14-02509.48] 他怎么办他陪了怎么办
[02509.48-02510.56] 他陪了怎么办
[02510.56-02511.90] 他不是没我的车吗
[02511.90-02516.30] 那在这里面不是我在旅行的过程当中出现了一些不好的情况吗
[02516.30-02520.94] 他就可以请求我在承担箱的委员子认识不就可以了
[02520.94-02522.78] 所以在这里面大注意
[02522.78-02525.58] 所以我们再去分析明是把旅关系的时候
[02525.58-02527.36] 一条一条的去分析
[02527.36-02529.42] 它有的时候按情不要复杂
[02529.42-02530.84] 它就是综合在块
[02530.84-02533.84] 咱们分析的时候就抽丝波简去分析
[02533.84-02535.56] 就像巴洋蔥一样
[02535.56-02536.70] 就是一点一点来
[02536.70-02538.46] 所以大家不要一看人多了
[02538.46-02540.22] 就前面就要胡录胡录叫前面
[02540.22-02541.44] 你去换一换
[02541.44-02543.10] 就是一段是一段的关系
[02543.10-02544.38] 所以在这里大家注意一下
[02544.38-02546.16] 这是以登记的情况
[02546.16-02547.56] 那如果未登记呢
[02547.56-02549.76] 就是我没有给您好
[02549.76-02552.44] 在设立迪安全之后去办理迪阿登记
[02552.44-02555.04] 没有迪阿登记不得对号善意地三人
[02555.04-02559.84] 那这个时候也会出现内部内部和银行之间有点全
[02559.84-02564.32] 因为动产 点和同生效 点全就设立了
[02564.32-02566.44] 但是外部我有没有对抗效率
[02567.56-02568.84] 外部就没有什么
[02568.84-02570.28] 就没有对抗效率了
[02570.28-02574.00] 也就是我没有办法去邀请孟仲光场把撤卖了
[02574.00-02576.04] 优先长黄银行的贷款
[02576.04-02578.16] 所以他没有对抗效率
[02578.16-02580.04] 这就是我们所说的什么
[02580.04-02581.44] 就是前面我所说的
[02581.44-02584.84] 未登记不得对抗善意第三人
[02584.84-02587.04] 未登记不得对抗善意第三人
[02587.04-02588.04] 所以大家注意一下
[02588.04-02589.28] 这是我们所说的
[02589.28-02593.64] 动产疊喧他的一个设立问题
[02593.64-02596.56] 这个就是我们所说的有关于
[02596.56-02598.28] 疊喧的设立
[02598.28-02599.52] 所以疊喧的设立
[02599.52-02600.76] 几步走同什么
[02600.76-02603.16] 疊喧的设立也是两步走
[02603.16-02606.76] 第一步先看标定物是动产是不动产
[02606.76-02608.32] 如果是动产的话
[02608.32-02613.08] 那就是两个第一个签订笔和同产生战权效率
[02613.08-02614.68] 第二个进行登记
[02614.68-02617.00] 第2权设立产生无限效率
[02617.00-02618.32] 如果是动产的话
[02618.32-02619.52] 我们就要考虑一个问题
[02619.52-02620.20] 我们说了
[02620.20-02621.64] 第2权不转移
[02621.64-02622.76] 第2抹的战友
[02622.76-02624.36] 于是东西还在你的手里
[02624.36-02625.08] 那就意味着
[02625.08-02627.40] 第2权他不需要输负
[02627.40-02628.92] 那既然不需要输负的话
[02628.92-02631.08] 动产的第2权的设立不移输负
[02631.08-02633.64] 那就自第2权和同生效时
[02633.64-02634.84] 第2权设立
[02634.84-02638.28] 而第2权的设立是在和同生效的同时设立的
[02638.28-02640.16] 这里面会考的一个问题就是
[02640.16-02642.48] 冬产典权能不能对抗晒一帝三人
[02642.48-02643.40] 就是在这个过程中
[02643.40-02644.68] 我又把东西给卖了
[02644.68-02646.04] 我用卖了的时候
[02646.04-02647.88] 我可不可以就人家的
[02647.88-02650.16] 已经买到手车的
[02650.16-02651.40] 买到东西的这个人
[02651.40-02653.00] 让人家把他已经买到东西
[02653.00-02654.92] 拍卖了又先长换我的债
[02654.92-02656.64] 那就看有没有进行东西
[02656.64-02657.92] 如果以登记的话
[02657.92-02659.40] 那一步是有点权的
[02659.40-02660.04] 对吧英武说了
[02660.04-02661.64] 迪阿和同生效的时候
[02661.64-02662.80] 迪阿权就说了一了
[02662.80-02664.40] 那如果说外部的话
[02664.40-02665.36] 他就有什么
[02665.36-02666.88] 有对抗效力
[02666.88-02668.68] 但是如果說沒有經營的東西
[02668.68-02671.24] 那笛核頭燒小笛全設立
[02671.24-02672.24] 笛確設有的
[02672.24-02673.52] 但是在外部的化
[02673.52-02674.56] 擁有對好效率
[02674.56-02675.64] 沒有對好效率
[02675.64-02677.48] 這又是一個狂漸
[02677.48-02678.52] 這又是一個狂漸
[02678.52-02680.04] 這個就是我們所說的
[02680.04-02682.48] 關於動產的全
[02682.48-02684.00] 它的一個設立問題
[02684.00-02685.04] 動產的確設立
[02685.04-02685.76] 所以在這
[02685.76-02688.24] 大家知道這是它的設立及它的烤店
[02688.24-02689.24] 烤溼的時候
[02689.24-02690.56] 就會反反敷敷的
[02690.56-02691.52] 烤這個
[02691.52-02695.04] 我們所輸禮的體系裡面的細節
[02695.04-02697.08] 是以案例的形式考察我们
[02697.08-02697.86] 居多
[02697.86-02699.64] 这是我们所说的有关于
[02699.90-02702.36] 底牙权它的一个设立
[02702.36-02703.74] 那了解了底牙权设立
[02703.74-02704.26] 愁立之后
[02704.26-02706.30] 我们再来看一下接下来的一个问题
[02706.30-02707.84] 接下这个问题就是
[02707.84-02710.14] 我们刚才说了说这个底牙物
[02710.14-02712.08] 比如说我刚才给大家
[02712.08-02713.72] 底牙给银行的这个房屋
[02713.72-02716.04] 这个房屋我虽然是底牙出去了
[02716.04-02717.68] 给银行办理了底牙灯器
[02717.68-02719.48] 银行的就设立了底牙权
[02719.48-02722.52] 但是这个东西毕竟还在我的手里
[02722.52-02724.32] 比如说刚才落我的大资源车
[02724.32-02725.36] 要好我的防疫好
[02725.36-02727.00] 东西还在我的手里
[02727.00-02728.36] 我就是所有权人
[02728.36-02731.12] 在这个里面我就可以把我的这个东西给他怎么样
[02731.12-02731.88] 卖出去
[02731.88-02733.84] 那如果要把我手里已经有的
[02733.84-02735.80] 摄力的安全的这个东西卖出去的话
[02735.80-02737.00] 就摄力到一个问题
[02737.00-02738.00] 这个问题是啥呢
[02738.00-02739.64] 这个问题就叫做对
[02739.64-02741.12] 底押财产的处分
[02741.84-02743.68] 我们来看一下书上怎么说的
[02743.68-02746.72] 说由于说底押权具有优先受伤性
[02746.72-02748.68] 对底押物法律上的处分
[02748.68-02751.32] 一般不会損害底押权人的利益
[02751.96-02753.32] 所以他说
[02753.32-02756.26] 敵人人人科行使上法律上的除分权
[02756.26-02760.22] 也就是我人科业把我的房屋把我的大罪用车给他怎么样
[02760.22-02761.00] 卖出去
[02761.00-02763.96] 那这是我们所说的对于敵牙财产的除分
[02763.96-02765.66] 那这里面会试一道一个问题
[02765.66-02768.78] 就是敵牙期间的我可以把我的财产
[02768.78-02770.86] 比如说我的房屋的资用车
[02770.86-02772.76] 我的叫车卖给第三人
[02772.76-02777.38] 我也可以在这些财产上再给其他人设立
[02777.38-02777.96] 敵牙圈
[02777.96-02779.82] 那如果在给其他人设立敵牙圈的话
[02779.82-02781.94] 他都会出现一物多压的情况
[02781.94-02784.68] 这个一物多压到底怎么去清朝
[02784.68-02785.96] 那就会有一个问题
[02785.96-02787.32] 咱们来看一下它说了
[02787.32-02788.64] 说在DR7件的说
[02788.64-02791.16] DR人可就DR物像他人设立
[02791.16-02791.98] DR
[02791.98-02792.82] 举个简单例子
[02792.82-02795.52] 这是我们所说的一还套一款的DR的问题
[02795.52-02796.54] 比如说我
[02797.18-02797.90] 干嘛呢
[02797.90-02799.86] 我朝银行贷款
[02801.66-02803.64] 我们银行借款的多少钱呢
[02803.64-02804.64] 借款了
[02806.12-02807.06] 别过了
[02807.06-02808.76] 大家总听我就会了
[02808.76-02809.84] 这话个人吧
[02809.84-02810.56] 换什么呢
[02810.56-02812.08] 这不换我了
[02812.08-02812.88] 换孟文光场
[02815.12-02815.92] 假设呢
[02815.92-02816.92] 孟文光场
[02816.92-02819.72] 我们错的这个村之数的唯一的独自
[02819.72-02821.44] 那孟文光场的像银行
[02821.44-02822.88] 贷款的多少呢
[02822.88-02823.76] 假设贷款
[02823.76-02825.00] 十万对不对
[02825.00-02826.68] 那银行的他他管不上
[02826.68-02827.96] 于是呢银行就跟他说
[02827.96-02829.16] 我可以把钱带给你
[02829.16-02830.76] 但是你要把你的什么
[02830.76-02832.04] 把你的手表
[02832.80-02834.80] 就家里有一个组传的手表
[02834.80-02836.60] 把手表的银行
[02836.60-02837.32] 于是呢
[02837.32-02839.80] 这个孟文光场就和银行签订了
[02839.80-02841.12] 笛鸦和头
[02841.12-02842.62] 笛鸦和头生效的时候
[02842.62-02844.14] 是不是就设立了笛鸦
[02844.14-02845.26] 所以在这里面
[02845.26-02845.72] 大家注意一下
[02845.72-02848.56] 这是它也手表设立了笛鸦
[02848.56-02850.26] 花的清晰一点
[02854.76-02855.76] 发现下面吧
[02855.76-02856.16] 好吧
[02857.16-02858.16] 这是我
[02858.16-02861.64] 牧牧广场就把它的手表给银行设立了笛鸦
[02861.64-02863.16] 那这是它和谁之前关系
[02863.16-02864.44] 它和银行之间关系
[02864.44-02868.08] 但是牧牧广场可能身上不单单指示像银行机写了
[02868.08-02869.24] 比如说它要开发
[02869.24-02870.52] 出了里面的画费场
[02870.52-02874.12] 或者是他要在出了里面去搞一些其他的自己的一些企业
[02874.12-02876.80] 或者是进现成去搞什么企业都可以
[02876.80-02878.36] 反正就要用到大量的钱
[02878.36-02880.24] 他只以相银行多少钱呢
[02880.24-02882.68] 他只向银行接了十万
[02882.68-02884.92] 但是他也可能向其他人去接业呢
[02884.92-02891.24] 假设他向银行贷款的时候呢是2023年的11月1号
[02891.24-02895.20] 同时在贷款的这一天在11月1号这一天
[02895.20-02898.44] 给银行签订了比较合同设立的地牢权
[02898.44-02900.24] 然后他发现接了10万块钱不购
[02900.24-02901.52] 于是他要找到了谁呢
[02901.52-02903.56] 他要找到了我们村的西门富贵
[02903.56-02905.48] 西门富贵是我们村的手副
[02905.48-02906.28] 那你看
[02906.28-02908.16] 他找到了我们村的西门富贵
[02908.16-02910.28] 像西门富贵借款多少钱呢
[02910.28-02911.08] 也是样的
[02911.08-02912.76] 像西门富贵借款
[02912.76-02913.56] 十万
[02913.56-02914.76] 那当时富贵也说了
[02914.76-02916.36] 说虽然咱俩是从小
[02916.36-02917.64] 光屁无一曲长大了
[02917.64-02918.28] 但是呢
[02918.28-02919.40] 轻松力名算账
[02919.40-02920.72] 你问我借这10万块钱
[02920.72-02921.88] 我怕你还不上
[02921.88-02923.20] 于是莫莫莫说
[02923.20-02924.68] 你不用怕我还不上
[02924.68-02927.96] 我不是还有一块世界级名表吗
[02927.96-02929.92] 于是他就说那又这样
[02929.92-02932.52] 我拿我的这个表给你说了什么
[02932.52-02935.12] 我拿我的这个表给你说了一笔
[02935.12-02937.04] 于是他又把他的这个表
[02937.04-02938.80] 连给了谁 新闻副过
[02938.80-02941.04] 假设设立连的这一天是哪一天呢
[02941.04-02941.72] 大住一下
[02941.72-02945.32] 假设设立连这一天是2023年的11月
[02946.60-02947.68] 15日吧
[02947.68-02949.72] 我只是随便举个例子啊
[02949.72-02951.08] 那这有时候你会发现
[02951.08-02953.44] 在这一块手表上有几个连圈
[02953.44-02956.44] 在这一块手表上有两个连圈
[02956.44-02960.44] 那如果到时间的时候他引放的钱没还上
[02960.44-02962.44] 西门富贵的钱也没还上
[02962.44-02965.44] 那引放和西门富贵用同时都有点缺
[02965.44-02969.44] 这事不就出现了我们在这里面所给大家标注的一物多压的情况
[02969.44-02971.44] 那如果出现了一物多压
[02971.44-02974.44] 到时候把这个世界积民表组传的这个手表
[02974.44-02975.44] 卖掉之后
[02975.44-02977.44] 到底谁优先受传
[02977.44-02979.44] 谁能优先受传多少
[02979.44-02980.44] 这个应该怎么确定了
[02980.44-02983.44] 那这里面其实就有了我们所说的什么问题
[02983.44-02985.44] 一物多压的清长社群情
[02985.44-02989.28] 大家注意如果按照刚才我们所说的这个银行
[02989.28-02994.72] 在这儿啊银行和新闻副贵他们之间的这个关系来看的话
[02994.72-02997.28] 他的这个清厂应该是如夏清厂
[02997.28-03002.36] 如果都已经办理比较登记的你看一个是11月1号办理的
[03002.36-03004.60] 一个是11月15号办理的
[03004.60-03006.16] 都办理了比较登记
[03006.16-03008.72] 那如果都办理比较登记的话怎么清厂
[03008.72-03012.44] 那这个是按时间先后确定清厂社区
[03012.44-03017.04] 由这个表拍的钱先优先给银行配钱
[03017.04-03020.12] 陪到了之后在圣协的在给新闻副国
[03020.12-03022.16] 但是他们两个都优于普通战舍人
[03022.16-03024.16] 这是我们所说的已经登记的
[03024.16-03026.64] 那如果说有的登记了有的没登记
[03026.64-03028.08] 比如说把这个案例改一下
[03028.08-03030.88] 就是孟仲光长找到新闻副国的一些钱的时候
[03030.88-03032.40] 副国的副国美女不行
[03032.40-03033.44] 对不对 借我实行快钱
[03033.44-03034.76] 副国说还有
[03034.76-03037.24] 去去十万而已 借给你拿去花
[03037.24-03038.92] 咱家别的没有就钱多
[03038.92-03040.92] 所以在这里面他只是怎么样
[03040.92-03042.72] 他只是借给了新闻富贵钱
[03042.72-03044.60] 但是他没有办理点登记
[03044.60-03045.72] 这个时候
[03045.72-03048.88] 这个手表最后再被法院拍卖的时候
[03048.88-03049.68] 怎么办呢
[03049.68-03051.96] 那一定是延行优于什么
[03051.96-03053.64] 延行优于新闻富贵的
[03053.64-03055.64] 所以这个就是第二个就是什么
[03055.64-03058.60] 以登记的优于伟登记的
[03060.36-03063.56] 叫做以登记的优于伟登记的
[03063.56-03064.96] 如果都没登记
[03064.96-03067.36] 如果当时他像银行代款也没有登记
[03067.36-03070.36] 然后新闻富贵贵目的观察前也没有登记
[03070.36-03073.92] 那这里面怎么办那就按战权比例经的清常
[03073.92-03075.40] 那你就看你一共拍了多少钱
[03075.40-03076.92] 假设你拍了30万
[03076.92-03079.20] 那这时候两人各百人住时就可以了
[03079.20-03080.20] 明白这个意思吧
[03080.20-03082.88] 所以在这里这是它的清常社群问题
[03082.88-03086.12] 你就记得就是登记它是对抗效率
[03086.12-03089.12] 所以在这里面我们都知道已经登记的二十年后
[03089.12-03091.60] 有登记有没登记的登记的
[03091.60-03095.68] 有些如果都没登记的话那就按战权比例来清常
[03095.68-03098.48] 那这个是底下财产它的一个处分
[03098.48-03099.80] 这是第一种情况
[03099.80-03103.34] 那我說了這個是一物多壓大家注意一下靠案例
[03103.34-03104.48] 靠的會比較多
[03104.48-03107.72] 所以在這裡標注它是理解性的題目
[03107.72-03110.04] 那這條處分除了一物多壓
[03110.04-03112.04] 你給其他人設立點錢之外我說了
[03112.04-03115.34] 你我也可以把我手裡的這個點財產怎麼樣
[03115.34-03116.12] 賣掉吧
[03116.12-03117.32] 我前面已經給大家說了
[03117.32-03120.56] 對吧就像我把我的那個自由車
[03120.56-03123.66] 對吧賣給了我們所說的村里面的夢人廣場
[03123.66-03124.60] 這樣一個情況
[03124.60-03126.30] 那這種情況之下怎麼辦
[03127.30-03129.20] 那我們來看一下書上載說的
[03129.20-03131.00] 比如对于迪阿裁程的处分
[03131.00-03133.80] 在迪阿七年迪阿人可以换一下转让
[03133.80-03136.12] 迪阿人可以转让财产
[03136.12-03138.88] 也就是说还是以刚才这个案例
[03138.88-03140.40] 为例我的手表
[03140.40-03142.40] 我的手表的故事很多
[03142.40-03145.40] 你看就是一个有故事的手表来看一下
[03145.40-03148.08] 如果在这里 孟然光场在
[03148.08-03151.72] 还是刚才2020-23年的10月15号
[03151.72-03154.28] 给新闻负贵设立了迪阿登去
[03154.28-03156.00] 然后还没有玩
[03156.00-03157.60] 故事到这还没结束
[03157.60-03160.40] 如果在这个运行期间 某个网上说
[03160.40-03162.36] 我这个手表稍微有点救了
[03162.36-03164.12] 然后他就说那算了吧
[03164.12-03165.56] 我就把这个表卖掉
[03165.56-03167.20] 反正我现在比较确强
[03167.20-03169.80] 这个世界机明表组传的名表不要也办
[03169.80-03171.88] 于是他就把这个表卖给了谁呢
[03171.88-03174.00] 卖给了我们村的全只放
[03177.48-03179.56] 我们村的洗剑吹的大麻
[03179.56-03181.40] 所以他就把这个手表卖给了全只放
[03181.40-03183.80] 我就在这里写上卖了
[03183.80-03184.80] 就是卖了
[03184.80-03187.04] 并且把这个表就交付给了
[03187.04-03188.58] 我们所说的这个权制风
[03188.58-03189.86] 那同一们来看一下
[03189.86-03191.64] 我们的手表是一个动产
[03191.64-03193.00] 动产在这个里面
[03193.00-03193.94] 卖出去
[03193.94-03194.98] 买卖和通有效价
[03194.98-03197.54] 纠富有效和同有权处分
[03197.54-03200.10] 在加上公式在这里动产交付
[03200.10-03201.58] 这时候他就取得了
[03201.58-03202.66] 手表的什么权
[03202.66-03203.68] 手表的
[03203.68-03204.70] 所有权
[03204.70-03205.22] 对不对
[03205.22-03207.52] 这里面出现的问题就比较多了
[03207.52-03210.08] 你在这个期间你把你的这个表
[03210.08-03212.26] 卖给转让出去卖出去了
[03212.26-03213.92] 这时候就会睡到问题
[03213.92-03215.46] 就是第一個我們所說的
[03215.46-03217.76] 已經設立了底牌的手錶
[03217.76-03219.04] 到底能不能賣
[03219.04-03220.40] 這是第一個問題
[03220.40-03220.84] 對吧
[03220.84-03221.76] 那第二個問題
[03221.76-03223.76] 如果把這個表賣給全知放的話
[03223.76-03225.96] 這裡面有兩個人可能會吃虧
[03225.96-03226.72] 哪兩個人呢
[03226.72-03228.52] 一個是我們所說的銀行
[03228.52-03230.08] 還有一個就是我們所說的
[03230.08-03231.08] 西門覆貴
[03231.08-03232.44] 他們兩個可能會吃虧
[03232.44-03232.92] 為什麼呢
[03232.92-03234.16] 因為這個表賣出去之後
[03234.16-03235.68] 他們兩個可能後面
[03235.68-03237.20] 沒有辦法用心受償了
[03237.20-03238.48] 那這個時候就是
[03238.48-03239.52] 是一到第二個問題
[03239.52-03241.00] 就是我們把表
[03241.00-03246.40] 保暖賣的這個過程中要不要爭得銀行和新聞覆歸的統一
[03246.40-03248.84] 對吧 那這個都是我們所說的在
[03248.84-03251.64] 處分疊財產當中應該考慮了問題
[03251.64-03254.24] 那這兩問題咱們來看一下法律是怎麼規定的
[03254.24-03256.80] 第一個 同時在書上標準一下 他說了
[03257.20-03261.48] 算 疊財產疊財產疊財產
[03261.48-03264.64] 標準一下 圈一 以風老實 咱能轉讓呢
[03264.64-03270.44] 因為咱們疊財產只是給這個物體設立疊財產比如說剛才那個手錶
[03270.44-03272.64] 給這個手錶設立雕像
[03272.64-03274.54] 只是使用它的交換價值
[03274.54-03276.24] 但是你是手錶的什麼
[03276.24-03278.04] 你是手錶的所有權人
[03278.04-03280.64] 你的東西你請不是想賣就賣嗎
[03280.64-03281.84] 所以在這裡我們說了
[03281.84-03284.44] 第五他沒有轉移戰友
[03284.44-03286.24] 東西還在你的手裂
[03286.24-03288.64] 你又是這個東西的所有權人
[03288.64-03289.44] 那就說完了
[03289.44-03290.84] 你也說了算
[03290.84-03291.64] 所以在這裡
[03291.64-03293.24] 雕像體驗底而人怎麼樣
[03293.24-03294.84] 可以轉上財產
[03294.84-03296.74] 那他轉上財產的時候說了
[03296.74-03298.84] 他可能有兩個人會吃虧
[03298.84-03300.44] 那两人就是一个是银行
[03300.44-03302.80] 一个是我们所说的西门富贵
[03302.80-03304.80] 你看他转财场的时候怎么样呢
[03304.80-03305.56] 后面说了
[03305.56-03307.04] 说底亚财产转让的
[03307.04-03308.52] 同标主一下穿儿
[03308.52-03310.00] 叫底亚权
[03310.00-03311.72] 不受影响
[03311.72-03314.08] 有些虽然他东西转出去了
[03314.08-03316.52] 但是这个东西上有没有底亚权
[03316.52-03317.80] 这个东西上
[03317.80-03320.08] 依旧是有底亚权的
[03320.08-03322.04] 那你说老是这个东西上有底亚权
[03322.04-03324.04] 他就会影响到银行
[03324.04-03326.28] 和我们所说的西门富贵的权业
[03326.28-03327.60] 要不要经太草益呢
[03327.60-03328.72] 你看后面怎么说的
[03328.72-03334.48] 说敌人转上敌牙财产的 坏下叫做即使通知敌牙拳
[03334.48-03343.32] 同们标注一下穿三叫即使怎么样通知虚不虚要经银行和我们所说的西门富贵的同业
[03344.60-03349.44] 不虚经过他俩的同业 因为人家的东西人家想换就卖你这个敌牙拳
[03349.44-03352.40] 他没有办法影响到人家的什么所有权的
[03352.40-03356.04] 所以在这里只要通知就可以了 不是经同业
[03356.04-03357.64] 因為在考試的時候
[03357.64-03360.44] 很多體幹就會把這個案例給你一老邊
[03360.44-03362.20] 別忘了之後說那一下關於
[03362.20-03363.60] 疊疊的才能轉讓
[03363.60-03365.04] 說法正修後錯誤的是
[03365.04-03366.92] 然後給你一個選項說要經得
[03366.92-03368.88] 體幹當中的A和B的同意
[03368.88-03369.68] 不需要同意
[03369.68-03371.60] 人間的東西人家想賣就賣
[03371.60-03372.76] 你說老師
[03372.76-03374.40] 這裡面就會有一個問題
[03374.40-03375.16] 啥問題呢
[03375.16-03377.44] 你說他們兩個可能會吃虧哦
[03377.44-03379.72] 如果他把這個賣來的這個錢
[03379.72-03380.84] 工資也揮貨了
[03380.84-03382.16] 然後他借了這個錢
[03382.16-03384.64] 本來是去運用場子的結果場子
[03384.64-03385.52] 也沒有辦法
[03385.52-03387.88] 那他们两个的钱起不吃掉不回来了呢
[03388.04-03390.12] 同一们这是我们所考虑的问题
[03390.24-03391.68] 也是谁所考虑的问题
[03391.80-03394.04] 也是底压权人所考虑的问题
[03394.16-03396.12] 这个底压权人就是我们所说的谁
[03396.24-03398.88] 就是我们所说的这个银行和新闻富贵
[03399.00-03400.36] 他们两个不担心吗
[03400.48-03402.00] 他们两个也担心
[03402.12-03404.84] 那担心的话你也不能阻止人家的这个
[03404.96-03406.56] 自由的流通和满满
[03406.68-03409.16] 所以这时候法律就给了另外一种规定
[03409.28-03410.60] 来保护他俩的权益
[03410.60-03411.44] 怎么规定呢
[03411.52-03412.64] 你看说上打说的
[03412.64-03417.12] 他是雕权的能够正面雕权成转让可能搓害起雕权的
[03417.12-03422.96] 可以请求雕人转让所的假款向雕权人期前清上在我货子怎么样
[03422.96-03423.88] 提存
[03423.88-03425.64] 所以人家雕权人也不傻
[03425.64-03426.04] 对吧
[03426.04-03428.72] 雕权人就是刚才的银行和新闻负贵
[03428.72-03430.48] 如果他们两个说
[03430.48-03433.52] 他不是叫女型即使通知的意误吗
[03433.52-03436.24] 这有时候他如果女型即使通知的意误的话
[03436.24-03438.40] 这有时候雕权人一旦看到说
[03438.40-03440.08] 你这个说钱卖少了
[03440.08-03441.48] 那很有可能到了後面
[03441.48-03442.88] 我們兩個的債皇上了
[03442.88-03444.16] 那這個時候就叫做什麼
[03444.16-03446.60] 就做有可能損害氣的錢的
[03446.60-03448.60] 他們兩個可以要求的債身怎麼樣
[03448.60-03450.76] 所以拿這個錢也別去炒運了
[03450.76-03452.08] 你這個手錶賣多少錢
[03452.08-03454.04] 你先把我來兩個錢先還了就行了
[03454.04-03455.20] 他可以要求
[03455.20-03457.84] 第二人幹嘛提前清常債務
[03457.84-03458.96] 或者說什麼
[03458.96-03459.92] 就
[03460.32-03462.20] 變賣的款項提存
[03462.20-03463.16] 比如提存的話
[03463.16-03464.64] 就是像有關機構提存
[03464.64-03466.56] 他們賣手錶的這個錢就不能動了
[03466.56-03468.04] 就放在有關機關的
[03468.04-03469.04] 等到後面
[03469.04-03470.14] 你看看到七的时候
[03470.14-03471.28] 他能不能旅行在我
[03471.28-03472.88] 如果如期旅行在我
[03472.88-03473.60] 那这个时候
[03473.60-03474.44] 解除提損
[03474.44-03475.00] 他就
[03475.00-03475.84] 我们所说的这个
[03475.84-03477.30] 在我人就可以把钱拿回去
[03477.30-03478.32] 如果不行的话
[03478.32-03479.54] 到了后面的话
[03479.54-03480.82] 闯的微星不下去了
[03480.82-03481.78] 钱还上
[03481.78-03484.04] 那李阿权人就可以
[03484.04-03485.54] 拿他原本的
[03485.54-03486.44] 我们所说的这个
[03486.44-03489.24] 地方到提損机关里面的钱
[03489.24-03490.88] 去用线受伤自己的权益
[03490.88-03492.24] 所以在这里面你看
[03492.24-03493.30] 即使通知
[03493.30-03493.86] 在这时候
[03493.86-03495.14] 就使让他去支小
[03495.14-03495.84] 让他去看
[03495.84-03497.04] 那么多所来自这个权益
[03497.04-03498.94] 如果李阿权人认为
[03498.94-03501.38] 可能会总害 那这个时候就可以也要求
[03501.38-03504.06] 敌二人提前清朝或者是啊 提存
[03504.06-03506.86] 所以人家法律啊 就是一部扣一部
[03506.86-03508.66] 一部扣一部还环境扣的
[03508.66-03510.34] 所以在这种情况之下 你看
[03510.34-03512.42] 我刚才的这个行为是不就可以理解了
[03512.42-03514.06] 实际上第一个就是我们刚才说
[03514.06-03516.02] 我把手表卖给全支奉
[03516.02-03517.94] 就交付给他 可不可以转上
[03517.94-03518.90] 可以转上
[03518.90-03521.54] 但是我在去卖手表这个过程
[03521.54-03523.98] 那我就要即使通知 对吧
[03523.98-03527.70] 即使通知通知两个人
[03527.70-03532.96] 一个是通知 言行 一个是通知 习门富贵 对吧 即使通知
[03532.96-03535.26] 他们两个呢 不需要同意
[03535.26-03538.74] 他们两个如果看到说 我把手表卖给全制奉
[03538.74-03541.06] 孟仲光差把手表卖给全制奉的这个行为
[03541.06-03542.82] 可能所以损害他的利益的话
[03542.82-03548.34] 这个时候就可以就买卖架款 要求提上清澈或者是要提存就可以了
