[00000.00-00007.24] 我们接下来再往后看,看下第三个,这第三个住民的要学家就是张重警
[02422.90-02423.54] 這個神話到那種
[02423.54-02424.78] 所以最嚴重的
[02424.78-02426.46] 一天被獨了氣日多死
[02426.46-02428.06] 只是不停地去嘗試
[02428.06-02429.30] 所以在這裡才有了
[02429.30-02431.54] 神弄長白炒這樣的一個說法
[02431.54-02433.06] 那其實在這個神弄長白炒
[02433.06-02434.30] 當中答應能夠發現
[02434.30-02436.30] 这是为什么说叫做本草呢
[02436.30-02439.10] 甚至包括李时针的那个也叫做本草刚墨
[02439.10-02441.26] 原因就是因为我们发现的草调
[02441.26-02443.26] 都是在农刚当中发现的
[02443.26-02445.50] 就是在我们所说的农本
[02445.50-02446.78] 神农本草经
[02446.78-02449.18] 我们所说的所有的这些药材
[02449.18-02451.82] 其实都是和重值有一定的关系
[02451.82-02453.18] 所以它也叫做本草
[02453.18-02454.06] 叫本草
[02454.06-02455.58] 所以在这里面大家知道
[02455.58-02457.86] 所以你看本草刚墨神农本草
[02457.86-02459.58] 其实说的都是一样的
[02459.58-02461.42] 就是本草到底是什么愈意
[02461.42-02462.38] 大家知道
[02462.38-02464.06] 所以在这里面大家就明确了
[02464.06-02465.54] 他为什么叫神农本草警制
[02465.54-02466.94] 拖名神农而住
[02467.94-02468.82] 所以神农呢
[02468.82-02471.62] 他不单是一个身份的问题了
[02471.62-02473.34] 他可能是一种我们所说的
[02473.34-02474.30] 这种象征
[02474.30-02476.10] 这后来的眼神一会比较多
[02476.10-02476.98] 所以大家注意一下
[02476.98-02479.54] 这是第一个我们所说的叫做神农
[02479.54-02480.82] 这神农本草精
[02480.82-02481.94] 并不是神农所住
[02481.94-02482.78] 大家知道
[02482.78-02483.50] 第二个呢
[02483.50-02484.86] 就是神农本草精
[02484.86-02487.30] 他的成数是在东汉时机成数的
[02487.30-02488.70] 一把东汉化出来
[02489.14-02490.74] 多汉的神农本草精成数
[02490.74-02492.02] 他是中国化一下
[02492.02-02493.34] 第一步完整的
[02493.34-02496.16] 要物学驻作把邀务学圈出来
[02496.16-02497.82] 前面我们讲到的
[02497.82-02500.90] 比如像商案达兵论
[02500.90-02501.14] 对吧
[02501.14-02502.30] 林床一学
[02502.30-02504.34] 我们讲到走后方
[02504.34-02504.60] 对吧
[02504.60-02506.40] 他是我们所说的
[02506.40-02508.18] 怎么样的被用的书记
[02508.18-02510.14] 甚至包括我们所提到的
[02510.14-02512.46] 提他的一些书记
[02512.46-02514.06] 他都有个字的这样一个地位
[02514.06-02514.86] 所以在这里面
[02514.86-02516.62] 神动本草价有知道
[02516.62-02518.94] 所以他旁边标注一下
[02518.94-02520.94] 他是中国第一步完整的
[02520.94-02522.58] 要物学驻作
[02522.58-02523.34] 所以在这
[02523.34-02524.38] 石头本草金
[02524.38-02525.90] 它全书分成三删
[02525.90-02526.74] 一共记载了
[02526.74-02528.22] 三百六书五种药材
[02528.22-02529.18] 其中只务
[02529.18-02530.14] 因为它有本草金
[02530.14-02531.86] 所以大部分都是只务药材
[02531.86-02533.18] 在农宫的时候
[02533.18-02534.98] 田野地讨认所我们总能看到
[02534.98-02536.46] 所以其中只务药
[02536.46-02537.50] 252种
[02537.50-02539.18] 它有一些动物是可以入药的
[02539.18-02541.02] 其中动物药是六十七种
[02541.02-02542.74] 还一些场界的礦物
[02542.74-02543.90] 是可以入药的
[02543.90-02544.94] 这种礦物药
[02544.94-02546.38] 一共是四十六种
[02546.38-02547.94] 所以一共加在一块
[02547.94-02549.62] 石头本草金记载了三百六书五种
[02549.62-02550.66] 三百六书五天
[02550.66-02552.46] 这个很好记得365种
[02552.46-02554.06] 然后他把这些要
[02554.06-02555.02] 又进行了分类
[02555.02-02556.02] 把要分成了
[02556.02-02558.22] 上品中品和下品三类
[02558.22-02560.02] 要品为什么分三类呢
[02560.02-02560.90] 就是对应的
[02560.90-02563.14] 你看中国经常提到的三材
[02563.14-02564.66] 叫天地人三材
[02564.66-02566.34] 甚至我们包括在一京当中
[02566.34-02567.22] 我们经常会看到
[02567.22-02568.42] 一京他画掛的时候
[02568.42-02569.86] 为什么都是三画掛
[02570.26-02573.30] 一样的天地人分别对应的是
[02573.30-02574.46] 所以在这个地方
[02574.46-02575.66] 石农本草经当中
[02575.66-02576.70] 他也是一样的
[02576.70-02577.90] 在石农本草经当中
[02577.90-02579.66] 他是三品分类
[02579.66-02583.06] 我把它寫在旁邊吧,好吧,就是三品分類法
[02584.06-02586.18] 365種,怎麼分的商品?
[02586.18-02589.86] 中皮有下品,三品分類法,對應的是偏地人三材
[02593.78-02595.06] 偏地人三材
[02595.46-02598.66] 那這個呢,是我們所說的,商品120種,沒有毒的
[02598.66-02601.18] 就是商品的要,就是資不品
[02601.66-02605.26] 我們常見的,人生,對不對,乾草
[02605.46-02608.66] 大早,對不對,這些都是一資不品,可以長期吃的
[02608.66-02610.30] 这种这位称为上品耀
[02610.30-02611.38] 中品耀是什么呢
[02611.38-02613.18] 没有读的会有读的
[02613.18-02616.22] 但是它能够起到一定的不虚弗落的作用
[02616.22-02617.94] 比如说当归
[02617.94-02619.14] 比如说陆荣这些
[02619.14-02620.14] 它属于中品
[02620.14-02620.82] 有的呢
[02620.82-02622.78] 在中品耀中能够区写抗变
[02622.78-02624.14] 大家都知道黄连
[02624.14-02626.98] 对往牙撤黄连黄连能够抗命读
[02626.98-02629.66] 这种都是我们所说的中品耀
[02629.66-02630.86] 而下品耀是什么呢
[02630.86-02632.82] 下品耀就是有读的多
[02632.82-02634.62] 它也能够区写破积
[02634.62-02636.10] 但是要是用
[02636.10-02637.90] 不可祝福吃多了个中读的
[02637.90-02641.12] 比如说烏头、巴豆、巴豆吃多了拉肚子
[02641.12-02642.02] 但是它也是要
[02642.02-02644.02] 所以这是我们所说的这个
[02644.02-02646.86] 而它的这种是要物学最早的分类方法
[02646.86-02649.78] 后来就被利带所研用了上屏中的下屏
[02649.78-02651.50] 这个是神东文草金
[02651.50-02653.06] 大家注意一下这是第2个点
[02653.06-02655.42] 我说了像神东文草金当中
[02655.42-02657.70] 它记载的要材当中有很多的动物要
[02657.70-02660.14] 你这么说大家不够只关为它取得例子
[02660.14-02661.90] 在神东文草金当中
[02661.90-02664.26] 有一位要大家一定要几一点记得
[02664.26-02665.26] 就是这个
[02665.26-02667.82] 因為現在東北話說的叫做
[02667.82-02669.34] 鋼了之類的東西
[02669.34-02669.74] 對吧
[02669.74-02671.14] 那一開始像這個東西
[02671.14-02672.78] 它是衛苦
[02672.78-02673.94] 但是性平
[02673.94-02674.78] 它能幹嗎呢
[02674.78-02675.50] 就是
[02675.50-02676.30] 主殼
[02676.30-02677.50] 你上氣傳吸
[02677.50-02678.14] 繁問
[02678.14-02679.14] 胸痛喊熱
[02679.14-02681.22] 這個時候就吃一下它就行了
[02681.22-02683.82] 也說它有化談的這樣一個作用
[02683.82-02684.86] 所以你看像這種
[02684.86-02686.62] 就是它寫在神動本土京當中
[02686.62-02688.30] 我們所說的它可以入什麼
[02688.30-02689.50] 它可以入耀的
[02689.50-02690.34] 它可以入
[02690.34-02693.30] 它屬於我們所說的這種動物要彩
[02693.30-02694.70] 它不只是肉好吃
[02694.70-02695.74] 他能够入耀
[02695.74-02698.70] 所以这在石头本朝将当中有的这样一个
[02698.70-02701.18] 而且相传在送回中年间
[02701.18-02702.70] 然后当时有一个非责
[02702.70-02703.70] 合作的
[02703.70-02705.34] 费都快可出来看着咖的
[02705.34-02706.54] 都怎么也知不好
[02706.54-02707.82] 皇上就要一一
[02707.82-02710.14] 就说三天之内给把这个非责做之好
[02710.14-02711.50] 如果你这么好
[02711.50-02712.38] 真的爱非
[02712.38-02713.50] 会把脑的给赶紧
[02713.50-02714.94] 所以当时一一下死了
[02714.94-02715.66] 就怎么办呢
[02715.66-02717.26] 就回家明司苦响
[02717.26-02719.50] 突然就听到人在外面喊说
[02719.50-02721.50] 可做良要一文一天
[02721.50-02722.54] 一文一天对吧
[02722.54-02723.66] 其校如神
[02723.66-02727.20] 然后买了10天打4次接过第二天把这个交给黄菲
[02728.00-02728.68] 就好了
[02728.68-02730.78] 而当时用的是啥呢
[02730.78-02731.98] 当时用的就是这个
[02732.32-02734.02] 这是我们所说的给大家呈现的这个
[02734.02-02735.50] 这东北的应该就搞了
[02735.50-02736.68] 这是之类的这个东西
[02737.22-02738.38] 所以在这里面大家注意
[02738.38-02740.50] 你看它这个就使用本号轻动中
[02740.50-02742.86] 所以我们经常会看到本草本草
[02742.86-02744.18] 我说的是在农宫当中
[02744.18-02746.44] 所以有很多的东西它其实都是什么
[02746.44-02747.60] 要是通缘的
[02748.04-02750.68] 这个就是我们所说的这个是农宫本草金
[02750.68-02752.68] 那第四个医学住座的诸一下
[02752.68-02754.72] 它不是四大传统
[02754.72-02756.12] 医药点击当中的
[02756.12-02758.44] 但是也需要我们去掌握它的一个细节
[02758.44-02759.68] 就叫做唐文草
[02759.68-02761.12] 从标注一下圈一
[02761.12-02761.88] 唐文草
[02761.88-02763.40] 大家知道是在哪个皇帝
[02763.40-02764.48] 期间囚定的
[02764.48-02766.48] 标注一下是在唐高中时期
[02766.48-02768.60] 它就能会把这个高中改成
[02768.60-02769.60] 我们所说的什么
[02769.60-02770.52] 改成我们所说的什么
[02770.52-02772.00] 素中而历总不对
[02772.00-02773.76] 高中时期只是低的点
[02773.76-02775.24] 第二点就是大家知道
[02775.24-02775.92] 唐文草
[02775.92-02777.80] 它是世界上最早的
[02777.80-02779.68] 由国家搬行了药点
[02779.68-02782.32] 因為以前的要點必須有國家來搞
[02782.32-02783.08] 為什麼呢?
[02783.08-02785.38] 因為他的工作量太大了
[02785.38-02787.52] 那你看石弄本草就是個人搞的
[02787.52-02789.76] 而這個是什麼國家搬損的要點
[02789.76-02790.88] 所以在旁邊記下
[02790.88-02794.24] 他說我國要學史上第一步關修本草
[02795.44-02798.68] 叫我國要學史上
[02798.68-02802.20] 要學史上第一步
[02803.48-02806.28] 那第一步關修本草
[02806.28-02808.80] 第一步关键本草
[02808.80-02810.28] 这个就是唐本草
[02810.28-02812.32] 所以问说第一步关键本草是什么
[02812.32-02814.80] 是不是本草干沫不是
[02814.80-02818.80] 是我们所说的这个唐本草是由国家去来告出来的
[02818.80-02820.88] 它和石农本草已经要去分开
[02820.88-02824.36] 石农本草已经是东汉时期的第一步完整的
[02824.36-02825.60] 要物学住族
[02825.60-02827.00] 但是它不是关键的
[02827.00-02829.04] 这几个地位特别人会搞混小
[02829.04-02830.60] 大家一定要给它去问开
[02830.60-02833.52] 这个就是我们所说的主要的一学住族
[02833.52-02835.60] 那一学住族的我们就给大家讲这几个
[02835.60-02837.70] 大家知道一个是四大传统一些驻作
[02837.70-02840.52] 全有两个是和前面的人物相对应讲完的
[02840.52-02842.76] 那么给大家主要详细的讲的是
[02842.76-02844.56] 黄地内经已经神动奔草精
[02844.56-02846.52] 以及四大驻作之外的旁边草
[02846.52-02848.64] 这个就是中一当重要给大家去
[02849.28-02850.32] 传出的内容
[02850.32-02853.52] 所以我们在整个中一当中是给大家讲了
[02853.52-02855.32] 我们所说的两个部分
[02855.32-02856.56] 第一个是人物
[02856.56-02857.60] 第二个是驻作
[02857.60-02861.36] 人物主要考察它的17成就
[02861.36-02863.76] 还有我们所说的点顾的对应
[02863.76-02867.52] 而住座主要是考察17以及它的地味的温泉
[02867.52-02869.20] 这两个点大招能为它对用上
[02869.20-02869.72] 好吧
[02869.72-02872.04] 这个就是中一道证明大家是说的
[02872.04-02872.40] 好
[02872.40-02874.00] 那讲了中一的全部内容之后
[02874.00-02875.64] 我们来看一下相当的题目
[02875.64-02876.80] 来看一下第一体
[02876.80-02878.40] 说被约为外科省数
[02878.40-02881.52] 和外科比組的古代一学是谁
[02882.00-02882.76] 做手术的
[02882.76-02884.20] 那只只能是画图
[02884.20-02885.56] 所以第一体是4D
[02885.56-02886.84] 第二个来看一下
[02886.84-02888.48] 如果考察要物学
[02888.48-02890.48] 那你能够查到的一学住座室
[02890.48-02891.84] 其名要素是不是
[02891.84-02893.44] 其名要素是農书
[02894.44-02895.60] 北位假思邪的
[02895.60-02895.92] 對吧
[02895.92-02897.76] 反省之书西漢的
[02898.64-02900.48] 然后再往下来看一下
[02900.72-02901.28] 说
[02901.60-02902.72] 右鱼驻作
[02902.72-02903.96] 那右鱼驻作
[02903.96-02905.48] 那还剩两个一学驻作
[02905.48-02906.52] 一个是神农文草间
[02906.52-02907.32] 一个是皇帝
[02907.72-02908.72] 81难情
[02908.72-02909.52] 80难情是
[02909.92-02910.64] 我们所说的
[02910.64-02911.72] 遍确的难情
[02911.72-02912.08] 对吧
[02912.08-02912.88] 讲的是什么
[02912.96-02914.20] 讲的是失证
[02914.20-02916.12] 讲的是怎么整宣
[02916.32-02917.00] 看什么并
[02917.00-02918.08] 是不是右鱼
[02918.08-02918.52] 不是
[02918.52-02919.36] 所以你看人家说
[02919.36-02920.28] 右鱼驻驻作
[02920.28-02921.30] 还是一学的
[02921.30-02923.24] 那就排来排去就只剩下谁
[02923.24-02924.24] 只剩下了谁
[02924.24-02925.98] 所以你看它烤的是细节
[02925.98-02927.42] 像这样的体能一般情况下
[02927.42-02929.08] 出来的说通常有点农圈
[02929.08-02930.64] 就是在CD当中排会
[02930.64-02932.44] 但是你要找定位则
[02932.44-02934.24] 石农本头就是要无学制作
[02934.24-02935.64] 第一步要无学制作
[02935.64-02936.40] 大量注意下
[02936.40-02939.28] 所以第二体选择的是谁
[02939.28-02941.04] 这样下来看一下说忘了问恰
[02941.04-02943.48] 这里切摸卖摸的是什么卖
[02943.48-02945.00] 摸的只能是动卖
[02945.00-02945.24] 对吧
[02945.24-02946.60] 你摸进卖摸不出来
[02946.60-02947.72] 所以第二
[02947.72-02949.88] 第二下来第二体第三体
[02949.88-02951.28] 第3体
[02951.28-02952.56] 第3体选得是
[02952.56-02953.56] 第2个
[02953.56-02954.80] 第4体来看一下
[02954.80-02955.76] 这个就是我说的
[02955.76-02956.52] 它可能考个票
[02956.52-02957.80] 复杂的一种考杂方式
[02957.80-02959.32] 难度相对来说上来了
[02959.32-02960.92] 但是它也是基础的对用
[02960.92-02961.68] 它说一下
[02961.68-02963.28] 中一要学相关的诸作
[02963.28-02964.80] 说法正确的有几项
[02964.80-02965.28] 看一下
[02965.28-02969.36] 多看的石弄本草精是第一步完成的要学诸作
[02969.36-02970.40] 没有问题
[02970.40-02971.24] 刚刚说完
[02971.24-02971.52] 对吧
[02971.52-02974.16] 多看末年张重警所诸杀大冰论
[02974.16-02975.20] 到这没有问题
[02975.20-02976.80] 零传治了学没有问题
[02976.80-02978.80] 被通为东方要计点
[02978.80-02982.60] 不是吧被称为叫做万事宝殿
[02982.60-02984.40] 东方要具典是谁的
[02984.40-02986.20] 是历史争的
[02986.20-02988.40] 本朝高木嘛
[02988.40-02989.60] 所以在这里面
[02989.60-02991.80] 第2个说法是错误的
[02991.80-02993.20] 看一下第3个
[02993.20-02995.20] 唐高宗史杰高宗媒问题
[02995.20-02996.40] 唐本朝媒问题
[02996.40-02999.00] 最早的国家搬損的要点没问题
[02999.00-03000.80] 第一步关修本朝
[03000.80-03001.20] 对吧
[03001.20-03002.20] 所以圈三正确
[03002.20-03004.20] 圈四被送的送辞
[03004.20-03005.20] 血腦
[03005.20-03007.80] 然后最早的一步发一项住作专输
[03007.80-03009.68] 标明古代法案体系的界定
[03009.68-03011.76] 这个错在哪呢?
[03011.76-03014.00] 大助一下大送提醒官
[03014.00-03015.72] 南送的送辞
[03015.72-03016.88] 这个是个电视剧
[03016.88-03017.88] 和兵院的
[03017.88-03019.04] 所以在这里大助一下
[03019.04-03019.84] 淘带不对
[03019.84-03021.20] 你可以把这个做一个机类
[03021.20-03023.28] 所以第四个说法也是错的
[03023.28-03024.84] 因为是南送的旋路
[03024.84-03026.60] 最早的法医学住座
[03026.60-03028.12] 所以在这,缺四十万错
[03028.12-03028.72] 缺五
[03028.72-03029.68] 明朝里时针
[03029.68-03030.20] 没有问题
[03030.20-03031.36] 本早刚没问题
[03031.36-03032.44] 万事保典错了
[03032.44-03033.92] 东方一要居点
[03033.92-03036.16] 所以这里面说法正确的周级
[03036.16-03039.74] 只有1和3,正确的第二个
[03039.74-03043.02] 所以你看,他像这种题目,他在去考察的时候,大家注意一下
[03043.02-03047.56] 他如果说,考的哪一点,他就会考这种组合性的考察方式
[03047.56-03052.54] 那需要我们把这里面所涉及到的点,都学一一对应的上才行
[03052.54-03057.92] 好吧,那这个呢,就是我们国粹当中的第一个部分,大家注意一下,就是中一
[03057.92-03061.50] 同一,同一,回去的时候,要把他的框架自己去整理清楚
[03061.50-03064.58] 给他收理下来,相对来说的就会清醒很多了
