[00000.00-00004.90] 好的 那我們在前面的務權變動的基本原理當中給大家講了
[00004.90-00008.40] 務權到底包括哪些我們有了解了務權的客體物
[02423.92-02425.80] 就把这两个点去处理清楚
[02425.80-02427.68] 就OK了
[02427.68-02428.68] 我们来看一下
[02428.68-02430.64] 搜权变动的达替思路是什么
[02430.64-02432.44] 搜权变动的达替思路
[02432.44-02433.96] 首先第一个先确定
[02433.96-02436.72] 就是我们所说的有没有合同
[02436.72-02439.24] 但是合同一般球下在提案当中就会直接说出来
[02439.24-02440.56] 所以它不是一个难点
[02440.56-02443.36] 所以所有全辩动的思路是签确定什么呢
[02443.36-02445.16] 我们再旁标准一下
[02445.16-02446.56] 先确定标地误
[02446.56-02449.36] 就是看它是动产还是不动产
[02449.36-02449.64] 对吧
[02449.64-02451.36] 它是动产当中的一般动产
[02451.36-02452.48] 还是特殊动产的
[02452.48-02454.08] 因为一般动产要
[02454.08-02456.52] 就复而特殊动产不需要较复
[02456.52-02457.84] 一会儿我们在后面会说
[02457.84-02459.24] 所以先抓标地误
[02459.24-02460.72] 那你做提的说认吗
[02460.72-02463.28] 先找它到底满卖了什么东西
[02463.28-02464.08] 明白了吧
[02464.08-02465.52] 所以先抓标地误
[02465.52-02468.34] 表定是动产动产就要交付
[02468.34-02469.52] 不动产就要怎么办
[02469.52-02471.00] 不动产就要登记
[02471.00-02473.84] 动产当中的交付是一般动产
[02473.84-02476.48] 因为我们说了就要标击物决定
[02476.48-02477.56] 享用的规则
[02477.56-02478.84] 所以有了标击物之后
[02478.84-02480.64] 我们就开始检索规则了
[02480.64-02482.24] 接着规则就是刚才我们所说的
[02482.24-02485.16] 一个要交付一个要登记
[02485.16-02488.04] 第三个就是在整个交付登记的
[02488.04-02489.84] 过程当中要实刻剪记什么
[02489.84-02490.96] 实刻剪记
[02490.96-02491.88] 去分原则
[02491.88-02495.92] 也就是我们所说的物质 两分 物质两分
[02495.92-02500.40] 我们所说的未登记或未交付 不影响合同的效力
[02500.40-02502.12] 这个就叫做区分原则
[02502.12-02503.84] 所以在这里面大家要注意一下
[02503.84-02506.60] 这是整体上我们所说的大原则
[02506.60-02508.28] 大原则 先化标击物
[02508.28-02509.88] 先在体上那种宣出来
[02509.88-02511.52] 第二个去看标击物
[02511.52-02512.20] 它是动材
[02512.20-02514.20] 是不动材是一般动材 透露材
[02514.20-02516.88] 然后再顺着它去接所归作
[02516.88-02518.72] 这是整个无权变动
[02518.72-02520.64] 需要大家去掌握的这一个
[02520.64-02521.64] 非常重要的一个点
[02521.64-02523.84] 它整体的框架
[02523.84-02525.48] 我们来看一下数上怎么说的
[02525.48-02526.24] 数上说了
[02526.24-02527.00] 我们来看
[02527.00-02528.52] 讲完了那个框架之后
[02528.52-02529.68] 看一下数上说的
[02529.68-02531.64] 说不动产物权的变动
[02531.64-02533.12] 说有个迷法规定
[02533.12-02535.52] 不动产物权的设立变工转秀面
[02535.52-02537.12] 叫依法进行干嘛
[02537.80-02538.60] 他在这
[02538.60-02539.56] 依法进行
[02539.56-02540.28] 登记
[02540.28-02541.36] 依法登记
[02541.36-02543.68] 未登记不发生物权效力
[02543.68-02547.36] 那也就是说物占两分合同之产生战形效力
[02547.36-02548.32] 没有登记
[02548.32-02549.64] 没有把它取得搜权
[02549.64-02552.46] 所以不动产要一一 等级
[02552.46-02553.36] 不动产一等级
[02553.36-02555.12] 这和咱们前说的一样
[02555.12-02556.76] 动产的话不说了
[02556.76-02558.60] 动产的话要一 纠富
[02558.60-02559.64] 但是动产
[02559.64-02563.20] 它跟为一般动产和特殊动产
[02563.20-02565.00] 那我们考试的时候
[02565.00-02566.60] 就喜欢考一般动产
[02566.60-02568.60] 它的搜权取得的时间
[02568.60-02570.12] 以及特殊动产
[02570.12-02572.12] 它的搜权取得的时间
[02572.12-02574.60] 那一般动产的话要一 纠富
[02574.60-02576.20] 比如说手表
[02576.20-02576.64] 对吧
[02576.64-02577.08] 你看
[02577.08-02578.40] 对一般动产来说
[02578.40-02582.36] 其权力的 摄力和转让自胶腹发生使发生效率
[02582.36-02586.56] 和前面的大规则没有变 同一们一样的动材要胶腹
[02586.56-02591.00] 如果只签订了买卖合同 买卖小天才收表的合同
[02591.00-02595.64] 那如果没有进行胶腹 只发生战形效率不发生目前效率
[02595.64-02598.88] 他如果转示把小天才会从收表卖给别人拼胶腹
[02598.88-02602.44] 那这里面 第三人取得所有权
[02602.44-02606.36] 那这个时候我只能追究小业的委员责任
[02606.36-02608.00] 所以在这里面大家注意一下
[02608.00-02609.76] 这是一般弄产的一交付
[02609.76-02611.20] 但是有一些特殊动产
[02611.20-02612.76] 这个点同样注意一下
[02612.76-02614.24] 这个特殊动产
[02614.24-02616.04] 咱们来看收上有哪些
[02616.04-02618.24] 说特殊动产的那种包括传播
[02618.24-02620.04] 航空气和剧动车
[02620.04-02621.80] 给它标注在旁边
[02621.80-02623.00] 就是传播
[02625.28-02626.80] 咱们常做的传
[02626.80-02627.96] 航空气
[02630.68-02631.64] 航空气
[02632.28-02633.92] 航空气就是飞机
[02634.28-02636.16] 还有就是机动车
[02638.00-02642.12] 他们是什么?他们也是动产
[02642.12-02644.16] 但是他们有一点特说
[02644.16-02646.52] 我说了一般动产的所有权
[02646.52-02650.48] 他发生转移要进行什么?要进行交付
[02650.48-02652.92] 而这些特殊动产你看他怎么说的
[02652.92-02655.00] 所以由于其价值比较大
[02655.00-02657.56] 其权力变更设立转消灭
[02657.56-02660.52] 未经登记不得对抗善叶
[02660.52-02663.16] 第3人一点儿点去传侧
[02663.16-02664.20] 比如说他说了
[02664.20-02666.40] 未经登记不得对抗善叶
[02666.40-02670.24] 有没有提到说未经登记不发生无权变动效率
[02670.24-02672.40] 没有说所以咱们一点点女
[02672.40-02674.08] 这里面最后就集动车
[02674.08-02676.88] 集动车比较长见的就是加用的小教车
[02676.88-02679.92] 像这三个我们所说的特殊动产
[02679.92-02682.40] 大家要知道它不需要较赋
[02682.40-02685.04] 现在旁边是不需要较赋
[02686.16-02687.68] 可产生
[02689.20-02690.48] 物权效率
[02693.60-02694.80] 因为它价值比较大
[02694.80-02697.38] 所以规定不要投稅按车和踩声
[02697.38-02698.56] 误权效力
[02699.56-02701.60] 比如说咱俩签定了
[02701.60-02703.20] 叫车买卖合同
[02703.20-02705.64] 叫车是一般动产特徒动产
[02705.64-02708.44] 首先你要判断叫车是动产
[02708.44-02711.48] 然后从动产的分支当中
[02711.48-02715.40] 就画分一般和特殊
[02715.40-02718.44] 一般动产要一言交付
[02718.44-02719.88] 那特殊动产
[02719.88-02722.44] 然后叫车在这儿了
[02722.44-02722.88] 对吧
[02722.88-02724.28] 教车是特殊动产
[02724.28-02726.16] 咱们就要严着这个俗来了
[02726.16-02729.84] 首先第一个不许教副可是发生武权编农的效率
[02729.84-02732.60] 也就是买卖和同一经成立
[02732.60-02735.96] 这个时候就发生了武权编农的效率
[02735.96-02738.00] 咱俩签订有一个叫车买卖和同
[02738.00-02739.60] 那自叫车买卖和同
[02740.56-02744.24] 签订完成我把签订给你那天开始
[02744.24-02746.16] 或者是我旅行了主义物之后
[02746.16-02748.16] 这个和同成立并成效的时候
[02748.16-02749.52] 叫车就给我所有了
[02749.52-02750.24] 没卖了
[02750.24-02753.82] 所以他不需要或者是不需要付
[02754.08-02755.94] 可产商我们所说的什么
[02755.94-02756.64] 武权效率
[02756.64-02758.94] 这是第一个他们两个不一样的地方
[02758.94-02760.74] 所以在这里第一个不教育
[02760.74-02762.54] 第二个就是书上所说的
[02762.54-02765.54] 如果在这个里面我们所说的这个
[02766.36-02768.54] 叫车它是上后面有句话叫
[02768.54-02769.64] 未登记
[02771.44-02772.64] 未登记
[02772.64-02774.74] 不得对抗
[02776.24-02777.64] 善意地三人
[02780.24-02786.80] 畏境登记不得对抗实在第三人
[02786.80-02788.48] 你说老师这是啥意思
[02788.48-02790.32] 比如说在买买这个叫车的时候
[02790.32-02792.16] 咱俩完买文合同已经签订完了
[02792.16-02793.36] 我把钱一给你了
[02793.36-02797.04] 只我这个叫车还没有什么交付也没有登记
[02797.04-02798.60] 那这时候原子上
[02798.60-02801.28] 因为不需要交付作为我们所说的这个
[02801.28-02802.64] 目前产生的效率
[02802.64-02804.24] 或者是不需要登记
[02804.24-02806.16] 它也可以产生目前编动的一个效率
[02806.16-02807.68] 那买完合同乡完之后
[02807.68-02810.08] 钱给你了之后叫车之后理论上什么
[02810.08-02811.22] 归我所有了
[02811.22-02812.42] 但是这个时候呢
[02812.42-02813.72] 他没有把叫车给我
[02813.72-02815.20] 他转把这个叫车
[02815.20-02816.00] 那个是
[02816.00-02817.46] 卖给了第三人
[02817.46-02818.72] 卖给了第三人呢
[02818.72-02820.08] 给人第三人
[02820.08-02822.96] 把这个叫车交付给了
[02822.96-02823.96] 人家第三人
[02823.96-02825.46] 还给人家这个人呢
[02825.46-02826.76] 去办理了这个灯机
[02826.76-02829.64] 因为大家知道这个车也传一太是需要灯机的
[02829.64-02831.12] 还灯机完了
[02831.12-02832.36] 灯机完了时候呢
[02832.36-02834.00] 我能不能回头一号是好吗
[02834.00-02836.88] 他把这个叫车已经给了第三人了
[02836.88-02838.60] 然后第三人已经拿到了
[02838.60-02840.76] 在大高上开车突突跑
[02840.76-02842.64] 我们超人第三人要
[02842.64-02844.68] 我说来来来来你把这个叫车给我
[02844.68-02846.24] 我们两个先前进的合同
[02846.24-02848.84] 对吧原则上应该是我先拿走的这个叫车
[02848.84-02850.64] 我们的个人家这么说不行
[02850.64-02852.52] 因为人家的叫车已经是什么
[02852.52-02855.92] 人家的机动车已经是经过登记的机动车了
[02855.92-02858.32] 如果是经过登记的机动车
[02858.32-02860.48] 在这里面人家那个
[02860.48-02862.40] 我就要不回来了
[02862.40-02863.44] 明白这个意思吧
[02863.44-02864.84] 所以在这里面大家注意下
[02864.84-02866.92] 那什么叫被登记不得对抗塞的第三人
[02866.92-02868.40] 就把我刚才这个案例
[02868.40-02870.80] 你我来就可以了
[02870.80-02875.20] 如果说你看还是我和小A签定了
[02876.40-02878.92] 叫车满满和红
[02878.92-02882.32] 那这时候如果叫车未登记的话
[02883.88-02887.52] 那这个时候他转身把这个叫车卖给了小币
[02887.52-02889.88] 如果叫车未登记卖给小币
[02889.88-02891.60] 已经给小币搬里完了
[02891.60-02892.64] 交付
[02892.64-02896.36] 并且还给人家小闭办理了登记
[02896.36-02899.56] 现在人家小闭就是车的所有人
[02899.56-02902.60] 而且人家的所有权人是优先于我的
[02902.60-02904.80] 因为我没有给交车办登记
[02904.80-02906.40] 所以能不能对抗
[02906.40-02909.00] 已经支付合理家款的小闭
[02909.00-02909.72] 不行
[02909.72-02912.44] 也就是说我传人小闭能不能要回来车
[02912.44-02913.24] 要不回来
[02913.24-02915.04] 这个叫未登记不得对抗
[02915.04-02916.24] 善一滴散人
[02916.24-02917.40] 这个就是我们所说的
[02917.40-02918.48] 这个误权
[02918.48-02920.28] 变动特殊读权变动
[02920.28-02922.12] 所以在整个误权变动规则当中
[02922.12-02923.76] 你就把握住一个点就行了
[02923.76-02924.48] 碰什么
[02924.48-02926.92] 在整个误权变动的大规则当中
[02926.92-02928.44] 我们现在就讲的是
[02928.44-02930.88] 基于民式法律行为的武权变动
[02932.28-02933.28] 我先来显
[02933.28-02937.24] 就是基于合通所发生的武权变动
[02937.24-02939.12] 基于合通所发生的武权变动
[02939.12-02939.88] 首先第一个
[02939.88-02941.68] 大家要知道叫做物质
[02941.68-02944.20] 两分合动生效值产生
[02944.20-02945.72] 你看我的重复多少变了
[02945.72-02947.52] 同时没一定不要觉得老师墨姐
[02947.52-02949.64] 我还是像我之前讲的时候
[02949.64-02951.04] 大家不要觉得我墨姐
[02951.04-02954.58] 我默计的原因只有一个就是希望大家能够加深影响
[02954.58-02956.30] 基于合同所发生的无选变动
[02956.30-02958.98] 但合同成立只发生战权效力
[02958.98-02961.88] 小发生物权效力叫激行公事
[02961.88-02964.42] 所以不才说了公事生效
[02964.42-02966.30] 公事才发生物权效力
[02966.30-02970.12] 但是不同的标击物公事的方式一位不一样
[02970.12-02971.12] 在这里面有说了
[02971.12-02972.66] 公事方式不一样
[02972.66-02975.76] 那不动产就要激行登记
[02975.76-02978.62] 不登记发发生物权效力不发生
[02978.62-02980.82] 東產原則稱叫EG
[02980.82-02983.10] 交付東西不交道理所理
[02983.10-02985.90] 你會不會的汽車的所全不獲得
[02985.90-02988.30] 但是在這裡面有特殊東產
[02988.30-02990.02] 這個特殊東產你稍微注意一下
[02990.02-02991.30] 那個機動車就行了
[02991.30-02992.82] 大規則說就這個
[02992.82-02995.34] 你把這一條旅順庭主球OK了
[02995.34-02996.22] 那你看一下
[02996.22-02998.58] 在這個規則這下咱做到題外
[02998.58-02999.50] 在這裡說了
[02999.50-03002.18] 說假以滾後固置了一套商品房
[03002.18-03003.58] 哎,買房了
[03003.58-03004.62] 固置
[03004.62-03005.22] 商品房
[03005.22-03006.38] 來
[03006.38-03007.42] 一邊寫一邊換
[03007.42-03008.42] 商品房商品房
[03008.42-03010.06] 动产不动产不动产
[03010.06-03011.50] 是不先确定标地我
[03011.50-03012.76] 咱们前面给到
[03012.76-03014.06] 那个大体俗
[03014.06-03015.62] 先确定标地
[03015.62-03017.58] 不动产原作上一什么
[03017.58-03019.62] 不动产小要发生武选效料
[03019.62-03020.30] 登记
[03022.42-03023.66] 咱们看一下吧
[03023.66-03024.86] 说后来呢
[03024.86-03026.34] 假一感情不合
[03026.34-03027.02] 假
[03027.02-03028.58] 甚至把房子卖给了
[03028.58-03029.98] 并不值情的比
[03029.98-03031.06] 并办理了
[03031.06-03031.86] 房屋登记
[03031.86-03033.66] 变更的所有手续
[03033.66-03035.50] 那么下面哪一种说法是
[03035.50-03036.26] 正确的
[03036.26-03038.38] 这里面的假把房子卖给了
[03038.38-03040.90] 并卖房子卖房子
[03040.90-03043.42] 同们来看一下卖房子是一个什么
[03043.42-03045.18] 是一个买卖合同
[03045.18-03046.46] 买卖合同
[03046.46-03050.26] 有没有出现无效的明示法例行为的要素
[03050.26-03051.30] 比如说违法
[03051.30-03051.98] 没有啊
[03051.98-03053.10] 有没有倍速啊
[03053.10-03053.86] 也没有啊
[03053.86-03056.70] 在这里没有恶意串通所谓的第三任利益
[03056.70-03057.02] 没有
[03057.02-03058.14] 有没有虚辆意识表示
[03058.14-03058.66] 没有
[03058.66-03059.62] 都没有
[03059.62-03062.02] 买卖合同成立并生效
[03062.02-03063.54] 并办理了过户
[03063.54-03065.42] 你看并为房屋办理了
[03065.42-03066.54] 所有全辩弓
[03066.54-03072.74] 登记,有没有登记,登记了,登记发生什么效率,登记发生物权效率。
[03074.18-03077.44] 那既有战学校,又有物权效率,看一下停目版,
[03077.44-03080.10] A险下,买买核通有效,有没有效。
[03080.50-03085.82] 买买核通有效,没有问题,对吧,所以在这里买买核通有效,
[03085.82-03087.62] 若老师怎么能有效呢?
[03087.62-03090.66] 因为他们两个共同勾执了一套商品房,
[03090.66-03092.90] 那这个时候他卖房子属于有权除,
[03092.90-03094.44] 因为他有分个在里面,
[03094.44-03096.88] 所以买卖和同有效
[03096.88-03098.46] 买卖和同有效之后
[03099.18-03100.52] 随合地就排除了
[03100.52-03102.88] 因为它问买卖和同其实问的就是这些
[03103.22-03104.36] 所以同们注意
[03104.36-03105.86] 判断和同事故有效
[03105.86-03107.58] 就按照前面讲到的
[03107.58-03109.36] 有效和无效的明示法
[03109.36-03111.10] 行为的要素去判断就行了
[03111.10-03112.36] 后面的话就是
[03112.62-03113.86] 这些判断完了
[03114.16-03115.90] 接判断一下误权呆
[03117.32-03118.28] 都没登记
[03118.28-03119.08] 登记了
[03119.08-03121.10] 登记搜全转转也转移了
[03121.10-03122.64] 那看 物账两分
[03123.14-03125.20] 你就分别去打工 就可以了
[03125.20-03127.50] 所以这套题说法正确的应该是哪一个
[03127.76-03130.30] 说防搜权位转叶 防搜权一转叶
[03130.30-03133.40] 必然转叶了 所以这套题选择的是啊 第二个
[03133.40-03137.48] 所以同时在这个地方容易混 或者是容易做提做错的原因
[03137.74-03138.50] 就在这
[03138.50-03143.12] 你就把握住 我在这里面给大家说写的大黄金原则
[03143.12-03146.70] 好吧 大黄女原则 基于物账两分的规则
[03146.70-03148.90] 先有债权 后有误权
[03148.90-03150.38] 债权和误权
[03150.38-03152.50] 想要发生误权变动 要进行共识
[03152.50-03154.30] 一把这个原则把握住
[03154.30-03158.90] 所以这是我们所说的有关于误权变动
[03158.90-03160.70] 它的一个技能规则
