[00000.00-00005.38] 好的,我们进入到变政法,最后一个板块的学习,就是否定制否定规律。
[02531.46-02533.48] 它有两个特性一个是普遍性
[02533.48-02535.04] 一个是刻关性
[02535.04-02537.72] 我们在普遍性当中体练了两个考点
[02537.72-02539.24] 一个打提及乔
[02539.88-02541.36] 一个细节
[02541.36-02544.56] 在刻关性当中体练出来了三个考察角度
[02544.56-02547.60] 第一个不能用主观意造代替刻关真实
[02547.60-02549.12] 考理一些形容题目
[02549.12-02551.52] 后面人为数的联系就有刻关性
[02551.52-02553.00] 根据数顾有的联系
[02553.00-02554.52] 建立新的具体的联系
[02554.52-02555.32] 这两个点
[02555.32-02558.20] 考的是要判断体或者是判断选项
[02558.20-02561.52] 那同时我们还讲到了条件性条件刻了更改
[02561.52-02565.36] 最后在联系当中也身出来了整体的部分之间的关系
[02565.36-02568.04] 关键就在于部分的决定作用
[02568.04-02570.44] 它是一个两星期的知识点 对吧
[02570.44-02572.56] 这个是我们所说的联系
[02572.56-02574.64] 而讲了联系我们讲了发展
[02574.64-02578.28] 发展给到了一个判断体的考察
[02578.28-02580.56] 就是发展是一种好的变化
[02580.56-02583.12] 所以在这里要变成运动
[02583.12-02586.08] 就是发展和发展是一种运动
[02586.08-02587.92] 这两句话的取索
[02587.92-02591.46] 然后从好的运动是一种发展来看
[02591.46-02592.76] 我们判定它为啥好
[02592.76-02596.42] 因为它的实质是新手的产生和就是我的面亡
[02596.42-02601.12] 所以新就是居分的根本标志在约趋势上
[02601.12-02602.96] 那这是考实际性的题目
[02602.96-02604.74] 那为什么要考理一些性的题目
[02604.74-02605.64] 这说达正啊
[02605.64-02609.28] 考理一些题目我们给到了三个达体的模型
[02609.28-02611.56] 出体的时候的网上去靠一靠对对
[02611.56-02613.96] 如果能靠上那就选发展
[02613.96-02618.88] 这个就是发展三个话和三个技巧
[02618.88-02622.32] 我们讲完了发展讲的就是规律
[02622.32-02624.72] 所以第一个就是对立统一规律
[02624.72-02626.48] 绝对两星级的支量
[02626.48-02628.56] 咱们已经把考虑收理了很全了
[02628.56-02630.36] 我们说对立统一也要用
[02630.36-02631.72] 基本属性去解释
[02631.72-02633.28] 所以同一性和斗争性
[02633.28-02635.92] 给到了同一性的打体验技巧
[02635.92-02637.20] 同时我们说了
[02637.20-02638.80] 同一性解决矛盾是什么
[02638.80-02640.16] 矛盾什么特性
[02640.16-02642.28] 给到的普遍性和特殊性
[02642.28-02644.52] 于是我们在普原形当中给到的达体技巧
[02644.52-02646.24] 怎么去判断普原形
[02646.24-02647.40] 大家都一样
[02647.40-02649.84] 怎么去判断特殊性
[02650.12-02651.72] 大家不一样
[02651.72-02652.16] 对吧
[02652.16-02654.12] 这个是我们所说的特殊性
[02654.12-02658.00] 从特殊性当中又给到了发展的不便宜性
[02658.00-02659.92] 让我们去去分主次矛盾
[02659.92-02661.64] 以及矛盾的主次方面
[02661.64-02662.56] 从而在这里面
[02662.56-02664.56] 我们给到了关键词的达体法
[02664.56-02665.52] 和体感
[02665.52-02666.92] 体感表述法
[02666.92-02667.44] 对吧
[02667.44-02670.96] 除了有主次矛盾和矛盾主次方面之外
[02670.96-02672.64] 我们还给到了一个方法论
[02672.64-02674.80] 叫两点论和重点论的统议
[02674.80-02676.40] 怎么判断两点论
[02676.40-02677.12] 全看到
[02677.12-02678.40] 怎么判断重点论
[02678.40-02679.72] 抓重点
[02679.72-02682.44] 这是讲述矛盾事什么
[02682.44-02683.56] 但是讲了矛盾之后
[02683.56-02685.32] 没有解决受发展的原因
[02685.32-02687.76] 于是我们又提到了内业合外引
[02687.76-02691.64] 就是内业是根据外引是条件
[02691.64-02693.60] 这叫对立统议维绪
[02693.60-02694.68] 绝对的两星
[02694.68-02697.64] 整个变政法的科学频率非常非常高
[02697.64-02699.84] 那第二个就叫做治量护辩维练
[02699.84-02701.72] 只要呼籲规律咱们一共就六九化
[02701.72-02704.28] 对完一块这就一块吃透了一点问题都没有
[02704.28-02706.64] 第一个就是亮辨其中有一个
[02706.64-02710.04] 叫顾城城村在空间上的排列组合会引起致辨
[02710.04-02711.12] 天气三嘛
[02711.12-02713.60] 第二个亮辨和致辨都是辨化
[02713.60-02715.20] 区分的标志在于度
[02715.20-02716.56] 度上面有一个细节
[02716.56-02719.96] 就是度是一个区监而不是一个零界点
[02719.96-02724.28] 于是我们就去探讨了致辨和亮辨之间的关系
[02724.28-02726.88] 亮辨是前提考虑人提目怎么办
[02726.88-02728.92] 看提案会强调点击机类
[02728.92-02738.92] 致变是结果,那无说了,靠判断体或判断选项,那在这里,并不能说发生量变就一定会引起致变,所以在一定程度上,
[02738.92-02747.42] 那无说了量变和致变是两种不同的变化,他们还有另外一种表述,就建议性和岁月型的统一,那这是量变和致变,
[02747.42-02753.42] 那在量变,致变只有这上提到了一个事度原则,我们给到了很多的打提技巧,大家注意一下,
[02753.42-02755.22] 只能為怎麼樣發展
[02755.22-02756.82] 最後發展到何出去
[02756.82-02758.62] 就剛談臉的大家書裡的
[02758.62-02759.94] 一共就七句話
[02759.94-02760.38] 對吧
[02760.38-02761.34] 七句話搞定了
[02761.34-02763.06] 賞問題都沒有了
[02763.06-02764.94] 所以這是整個
[02764.94-02766.86] 微無邊的方向
[02766.86-02767.86] 那這個框架呢
[02767.86-02769.54] 我把這是我們所說的整個
[02769.54-02770.30] 整個主學當中
[02770.30-02771.42] 導徒裡面的
[02771.42-02772.42] 第四
[02772.42-02773.94] 應該是第五
[02773.94-02775.14] 第四張導徒
[02775.14-02776.30] 第四張導徒
[02776.30-02777.14] 那這張導徒
[02777.14-02779.14] 我給大家全部都整個好了
[02779.14-02780.02] 有需要的同學
[02780.02-02782.50] 就可以在評論區當中
[02782.50-02786.02] 留下一句话就留什么的留变政法三个字
[02786.02-02788.34] 我到时候就会把这个内容发生了大家
[02788.34-02789.46] 我还是那句话
[02789.46-02791.50] 你要有一个完整的思路
[02791.50-02793.58] 那你这个时候有一个框架
[02793.58-02795.98] 你被送的效果就会比被输要好
[02795.98-02798.78] 哲学不可能是一号纯被送的
[02798.78-02800.62] 这个就是我们所说的
[02800.62-02802.06] 为我变成法的内容
[02802.06-02804.82] 到这里我有变成法就全部给大家讲完了
[02804.82-02807.58] 如果大家有在这几个当中有所收获
[02807.58-02810.74] 那就感谢同学们给我一个点赞和收藏
[02810.74-02815.08] 转发鼓励一下,那我们下一个支持板块再见吧,拜拜
