[00000.00-00003.06] 好了 那我们接着来往下看
[00003.06-00004.80] 咱们先做一个減转的回顾
[01969.48-01970.76] 第四体来看一下
[01970.76-01972.68] 纯粹的当时的内容
[01972.68-01973.80] 这次和创作背景
[01973.80-01974.68] 对于正确的是
[01975.80-01976.52] 第1个
[01976.52-01977.88] 38年过去
[01977.88-01979.00] 谈指一回间
[01979.00-01980.04] 上酒天兰月
[01980.04-01981.16] 下午洋桌边
[01981.16-01982.68] 谈校凯哥环
[01982.68-01983.40] 在这里面
[01984.44-01985.96] 你说老师他说的是啥呢
[01985.96-01987.00] 警方山
[01987.00-01988.68] 同一把这个标注出来
[01988.68-01989.96] 从上警刚山
[01989.96-01991.24] 那这个时候强调的就是
[01992.76-01993.64] 某东同这写的
[01993.64-01995.24] 从上警方山的问题
[01995.24-01996.76] 这个就是我们所说的
[01996.76-01997.56] A选项
[01997.56-01998.28] 避选项
[01998.28-01999.64] 军就公龙革命军
[01999.64-02001.72] 咱们在哪给大家提到公龙革命军
[02001.72-02003.64] 第一次打出公龙革命军的
[02003.64-02004.44] 充号
[02004.92-02005.72] 求收起一
[02007.40-02008.68] 咱们出商有这个点
[02008.68-02009.08] 对吧
[02009.08-02009.40] 所以
[02009.40-02010.68] 逼选项也不对
[02010.68-02011.40] 所以想
[02011.40-02012.76] 经线水派军阳南
[02012.76-02013.56] 大度强势
[02013.56-02014.52] 小时候的事
[02014.52-02015.56] 长征期间
[02016.12-02017.32] 不是第一次反内角
[02017.32-02019.56] 长征那都是第五次反内角失败了
[02019.56-02019.96] 所以
[02019.96-02020.76] 所以想不对
[02020.76-02021.24] 第四个
[02021.24-02022.36] 一将受有追求
[02022.36-02023.88] 后不可顾名学办王
[02023.88-02024.92] 解放南京
[02024.92-02025.96] 肚章站一
[02025.96-02026.92] 没问题吧
[02026.92-02027.56] 肚章站一
[02027.56-02028.92] 是不是就解放南京
[02028.92-02029.96] 所以第四个
[02029.96-02030.84] 选项说法
[02030.92-02031.72] 政权
[02031.72-02032.84] 所以第一
[02032.84-02033.88] 最要体选
[02033.88-02034.52] 四地
[02034.52-02035.48] 那叫权四地
[02035.48-02036.04] 第五个
[02036.04-02037.16] 开下
[02037.16-02038.20] 还是考厂征
[02038.20-02039.88] 长征是宣言说
[02039.88-02041.24] 长征是宣传对
[02041.24-02042.44] 长征是波总机
[02042.44-02043.64] 这事不是第一阶段
[02043.64-02044.52] 1935年
[02044.52-02045.96] 第一阶段长征结束之后
[02045.96-02047.16] 毛泽东通知说的
[02047.16-02047.64] 对吧
[02047.64-02048.92] 那说关于长征
[02048.92-02050.84] 世界下派劉升学政权的事
[02050.84-02051.72] 那来开下
[02051.72-02053.40] 六盘山上红旗站
[02053.40-02054.68] 适入破族
[02054.68-02055.56] 掃低起
[02055.56-02056.84] 六盘山
[02056.84-02058.44] 武器认会失败
[02060.04-02060.44] 对吧
[02060.44-02062.60] 是不是第一阶段
[02062.60-02064.92] 勝利了1935年的时候
[02064.92-02065.40] 对吧
[02065.40-02066.20] 那一看
[02066.20-02067.88] 重亿监承二百四
[02067.88-02069.64] 秦军盟大多努定
[02069.64-02071.32] 是非多努定强
[02071.32-02072.12] 然后赵夏
[02072.12-02073.08] 血山
[02073.08-02073.72] 草地
[02073.72-02075.16] 说爬血山过草地
[02075.16-02075.80] 然后赵夏
[02075.80-02077.16] 四度赤水出席币
[02077.16-02078.60] 烤的是什么同学告诉我
[02078.60-02080.84] 烤的红族长征的路线吧
[02080.84-02082.20] 红族长征路线咋的
[02082.20-02084.04] 先从江湘湘入金出发
[02084.04-02085.40] 因为苏拉政权在这
[02085.40-02086.44] 最开始的时候
[02086.44-02087.32] 是按照
[02087.32-02088.68] 不不理得他们的路线
[02088.68-02089.08] 说
[02089.08-02090.28] 我们就只要北相
[02090.28-02091.16] 那北上从那儿走
[02091.16-02092.36] 他们说从湖南走
[02092.36-02094.44] 那就说打了香香之战
[02094.44-02095.40] 非常惨烈
[02095.40-02095.96] 对吧
[02095.96-02096.68] 香香之战
[02096.68-02098.44] 当年说10年不也香香水
[02098.44-02099.24] 这条路
[02099.24-02100.20] 总不通
[02100.20-02101.48] 所以在这个结束之后
[02101.48-02102.36] 我们要干嘛
[02102.36-02104.04] 有发动了烏江之战
[02106.44-02107.16] 烏江之战
[02107.16-02108.20] 其实就开始
[02108.20-02109.64] 我们打目标描着人的
[02109.64-02110.68] 把目标描着了
[02110.68-02111.24] 贵州
[02111.24-02111.56] 对吧
[02111.56-02113.08] 所以在这时候又了
[02113.08-02113.88] 尊一业
[02113.88-02114.52] 回忆
[02114.52-02116.36] 尊一会议结束之后
[02116.36-02117.88] 我们其实在后面就说了
[02117.88-02118.92] 尊一会议
[02118.92-02120.68] 结束之后又开始怎么样
[02120.68-02121.48] 接着都吃水
[02121.48-02122.20] 所以他有了
[02122.20-02123.40] 四度吃水
[02123.40-02124.36] 出奇冰
[02124.36-02125.08] 四度吃水
[02125.08-02125.40] 我们说了
[02125.40-02127.40] 主大的就是一个灵火
[02127.40-02128.36] 毛泽东统治
[02128.36-02129.40] 四不过二
[02129.40-02130.28] 所以在这里
[02130.28-02131.64] 就有了四度吃水
[02131.64-02133.40] 素池之后开始
[02133.40-02134.92] 北上从那儿北上
[02134.92-02136.60] 从尽四川进去了
[02136.60-02137.56] 川军太猛了
[02137.56-02139.08] 咱没有办法尽四川
[02139.08-02139.88] 打贵州
[02139.88-02140.44] 也不好打
[02140.44-02141.64] 然后最后从那儿走
[02141.64-02143.08] 开始路跌
[02143.08-02143.80] 然后路跌
[02143.80-02145.00] 从尽沙江走
[02145.00-02146.12] 所以才有了我们所说的
[02146.12-02147.32] 什么
[02147.32-02148.28] 尽沙江
[02149.64-02151.48] 尽沙水派军阳的
[02151.48-02153.64] 大度调红贴所汗
[02153.64-02154.04] 是不是就有了
[02154.04-02155.48] 长练七六九连上了
[02155.48-02156.60] 尽沙江大度
[02156.60-02159.72] 大度和飞螺定调
[02160.20-02161.32] 我就简单写
[02161.32-02162.12] 株定调
[02162.12-02165.40] 叫尽沙水派军阳的大度调红贴所汗
[02165.40-02168.44] 然后更洗民生签理血
[02169.16-02170.12] 爬雪山
[02170.12-02170.92] 过草地
[02170.92-02171.96] 三军过后
[02171.96-02172.76] 进开原
[02172.76-02173.48] 无其阵
[02173.48-02174.12] 第一阶段
[02174.12-02175.00] 第二阶段
[02175.00-02175.64] 干速
[02175.88-02177.48] 白银会宁会室
[02178.20-02179.08] 第二阶段结束
[02179.08-02180.28] 那你还没时间
[02180.28-02181.80] 那第一阶段是什么
[02181.80-02182.84] 第一阶六盘山
[02182.84-02183.64] 六盘山在这了
[02183.64-02184.28] 无其阵
[02184.28-02184.84] 对吧
[02184.84-02185.32] 鲁定
[02185.32-02186.44] 鲁定在这了
[02186.44-02187.80] 然后血山草地
[02187.80-02188.60] 血山草地
[02188.60-02189.00] 第一阶
[02189.00-02190.20] 四度赤水出席兵
[02190.20-02190.76] 在这了
[02190.76-02191.24] 对吧
[02191.24-02191.96] 所以应该是
[02191.96-02192.76] 先是
[02192.76-02194.68] 四度赤水出席兵
[02194.68-02196.12] 然后穷追蒙打
[02196.12-02197.00] 多鲁定
[02197.00-02198.04] 爬雪山
[02198.04-02198.84] 过草地
[02198.84-02200.44] 六盘山上红贴山
[02200.44-02201.64] 说四二三一
[02201.64-02202.52] 是不是考得就是
[02202.52-02203.48] 路线
[02203.48-02204.68] 所以在这里有说了
[02204.68-02206.44] 用没有计拘体时间不用借
[02206.44-02207.48] 因为特别的乱
[02207.48-02208.68] 因为它整个这个时间
[02208.68-02210.04] 都是在同一个阶段
[02210.04-02211.24] 就自动赤水
[02211.24-02212.92] 一级一直到我们所说的
[02212.92-02214.20] 杜完了之后开始
[02214.20-02215.24] 往北上走
[02215.24-02217.16] 那这是持续了好几个月的时间
[02217.16-02218.12] 那具体的时间
[02218.12-02219.00] 那你像杜赤水
[02219.00-02220.68] 它来来回回在那个地方
[02220.68-02221.56] 繞来繞去
[02221.56-02222.68] 一会儿尽四川一会儿
[02222.68-02223.72] 又去规州的
[02223.72-02225.32] 这个时间就很乱
[02225.32-02226.36] 就不要去计时间
[02226.36-02227.64] 我们说了记得是什么
[02227.64-02228.60] 事件
[02228.60-02229.48] 是事件
[02229.48-02230.36] 你听故事件
[02230.36-02231.08] 把这件事
[02231.08-02233.08] 前后穿着再一块什么就行了
[02233.08-02233.64] 所以在这里
[02233.64-02234.76] 是4231
[02234.76-02235.64] 对于选箱们
[02236.68-02237.48] 那来看一下
[02238.68-02239.48] 321
[02239.48-02241.32] 这个时候就是4D
[02241.32-02242.28] 这个4D
[02242.28-02243.40] 所以大家还注意一下
[02243.40-02244.20] 这是我们所说的
[02244.20-02244.68] 说老师
[02244.68-02245.56] 我实在不会做
[02245.56-02247.40] 咱们其实还有打提计绸组统续们
[02247.40-02248.20] 来看一下
[02248.20-02249.80] 它这个选项要是3开头
[02249.80-02250.76] 要是4开头
[02250.76-02251.16] 对吧
[02251.16-02252.76] 那就要看3个4
[02252.76-02254.04] 到底是谁在前了
[02254.04-02254.52] 对吧
[02254.52-02255.88] 那你看3个4
[02255.88-02256.84] 一个是
[02256.84-02257.80] 它人过草地
[02257.80-02259.64] 一个是4度吃水出去冰
[02259.64-02261.56] 那你看只能应该是谁在前
[02261.56-02262.68] 只能应该4在前两
[02262.68-02264.44] 所以就把AB都排除掉了
[02264.44-02265.72] 那到底是4在前
[02265.72-02267.24] 是43还是42
[02267.24-02268.36] 那就看看3
[02268.76-02269.96] 和2
[02269.96-02270.76] 那3和2
[02270.76-02271.56] 那我们都知道
[02271.56-02272.92] 爬雪山过草地
[02272.92-02274.36] 你这个所来了之后
[02274.36-02274.68] 你就知道
[02274.68-02275.96] 那他只能是
[02275.96-02277.00] 我们所说的什么
[02277.00-02278.76] 只能是3
[02278.76-02280.12] 它可能会靠后一点
[02280.12-02281.00] 所以你就给他排除
[02281.00-02282.68] 但是排除的前提是啥
[02282.68-02284.44] 技巧的前提还是要支持处备
[02284.44-02286.04] 同时一定不要去骗信
[02286.04-02286.76] 做一点
[02286.76-02288.20] 支持处备都没有
[02288.20-02289.48] 然后我一点
[02289.48-02290.60] 这种想法都没有
[02290.60-02292.52] 我就纯粹的去靠这种技巧
[02292.52-02293.40] 技巧是什么
[02293.40-02294.76] 同时们技巧
[02294.76-02296.20] 几上天花
[02299.16-02301.00] 技巧真的是几上天花
[02301.00-02303.00] 但他不能做到学中生态
[02303.00-02305.16] 所有的技巧都是在理论之上
[02305.16-02306.12] 给他抽象出来了
[02306.12-02307.16] 就像我在给大家
[02307.16-02308.28] 马折的时候
[02308.28-02309.48] 会给大家去讲到
[02309.48-02309.80] 对吧
[02309.80-02311.16] 我们说马折很多打听技巧
[02311.16-02312.84] 为大家取了那么多的例子
[02312.84-02313.72] 总结了那么多
[02313.72-02314.60] 但是那些总结
[02314.60-02316.60] 都是在什么技术上偷向来的
[02316.60-02318.12] 都是在理论
[02318.12-02320.84] 熟悉了技术之上抽象出来的
[02320.84-02322.60] 所以技巧是几上天花
[02322.84-02323.80] 学习
[02323.80-02324.76] 他有技巧
[02324.76-02326.12] 但是绝对没有结尽
[02326.12-02327.00] 所以这个地方
[02327.00-02327.96] 大家一定要知道
[02327.96-02329.48] 就是对于当时这个地方
[02329.48-02332.04] 还是建议同学们去做一个相当的处备
[02332.04-02333.40] 因为他恒众
[02333.40-02334.92] 技术快学科考
[02334.92-02336.52] 又可能在这个点上单独处体
[02336.52-02336.92] 对吧
[02336.92-02337.56] 锅声考
[02337.56-02339.24] 这咱们现在做的
[02339.24-02340.20] 都是这种
[02340.20-02341.96] 就给大家展示的都是真体
[02341.96-02343.00] 这次的落落的
[02343.00-02344.44] 例子在这里摆着
[02344.44-02346.28] 所以同学们一定要认真地去把这种
[02346.28-02346.92] 树离清楚
[02346.92-02347.40] 好吧
[02347.40-02349.00] 这时候我们所说的长证
[02349.00-02349.40] 好
[02349.40-02351.24] 整个当时的内容到这
[02351.24-02354.04] 咱们就算是全部都给大家讲完了
[02354.04-02355.24] 我还是那句话
[02355.24-02357.24] 就是时间是主干
[02357.24-02358.84] 但时间不需要把每个时间
[02358.84-02360.04] 具体到那年的认为
[02360.04-02360.68] 是被想知道
[02360.68-02362.28] 世界的大概睡觉就行了
[02362.28-02364.28] 第二个世界里面的细节
[02364.28-02367.00] 是当时这个大数的之夜
[02367.00-02368.20] 一定要把细节
[02368.20-02369.64] 所能睡到的所有考点
[02369.64-02371.16] 按圈一圈圈圈圈圈圈圈是去的
[02371.16-02371.72] 标注
[02371.72-02373.64] 我把导圖给大家展示过了
[02373.64-02374.84] 也大家整理出来了
[02374.84-02375.16] 对吧
[02375.16-02375.80] 所以在这里
[02375.80-02377.00] 大家一定要演这
[02377.24-02377.72] 去看
[02377.72-02378.36] 去学习
[02378.36-02380.68] 那希望我通过这个小时的讲解
[02380.68-02381.80] 能够让同学们
[02381.80-02382.76] 对于考试当中
[02382.76-02383.72] 党时怎么考
[02383.72-02385.24] 有一个明确的
[02385.24-02385.72] 意想
[02385.72-02387.24] 也能够希望通过我的讲解
[02387.24-02388.60] 大家能够去实际
[02388.60-02389.64] 或者是记住
[02389.64-02390.60] 想的这样的一些
[02390.60-02391.00] 知识点
[02391.00-02392.44] 帮助同学们考试
[02392.44-02393.88] 当我也希望通过
[02393.88-02395.40] 我这一系列的
[02395.40-02396.52] 党时刻程的
[02396.52-02397.72] 内容的讲解
[02397.72-02399.88] 能够让大家去理解的
[02399.88-02401.16] 或者是能够让大家去
[02401.16-02402.04] 了解这种国家
[02402.04-02403.72] 过去发展当中的程度
[02403.72-02404.92] 能够让我们更加珍惜
[02404.92-02406.28] 现在的生活
[02406.28-02406.60] 好吧
[02406.60-02407.56] 这也是我希望这些
[02407.56-02409.72] 可能给大家去传达到的
[02409.72-02411.72] 就是历史这个东西
[02411.72-02413.16] 它真的不应该被以往
[02413.16-02414.60] 它是这个国家的
[02414.60-02415.16] 过去
[02415.16-02416.12] 它应该是刻在
[02416.12-02417.16] 我们每个人的
[02417.16-02418.84] 估计当中的东西
[02418.84-02419.48] 所以
[02419.48-02421.08] 这是我们党时刻的全部内容
[02421.08-02423.24] 咱们的刻程到这里就结束了
[02423.24-02424.52] 最后真心的组圆
[02424.52-02425.64] 祖国繁荣常生
[02425.64-02426.52] 越来越好吧
[02426.52-02427.88] 也希望大家能够
[02427.88-02429.72] 所愿界的成功上案
[02429.72-02430.12] 好
[02430.12-02431.24] 谢谢大家
[02431.24-02432.84] 我们下一个客户再见
[02432.84-02433.72] 拜拜
