[00000.00-00002.82] 好的 同学们 刚刚看完了
[00002.82-00005.38] 我们所说的新思想他提出来的背景
[02375.34-02376.14] 力量
[02376.14-02377.62] 咱们一个一个去拆解
[02377.62-02379.10] 这个地方大家不要觉得说
[02379.10-02379.82] 老师
[02379.82-02380.54] 哭走
[02380.54-02381.54] 没办法
[02381.54-02383.22] 因为你要拆解政策的话
[02383.22-02384.62] 我们就必须要把这个地方
[02384.62-02385.82] 去打去讲清楚
[02385.82-02388.50] 有朋友说 老师听不下去
[02388.50-02390.02] 听不下去也要坚持
[02390.02-02392.14] 你只有理解了这个逻辑是什么
[02392.14-02394.30] 你才能知道他在考党的时候
[02394.30-02395.74] 你再去做学校的时候
[02395.74-02397.06] 一定不会出错
[02397.06-02398.70] 谁第一个怎么来看一下
[02398.70-02400.86] 他说明确中国特色受主义
[02400.86-02404.02] 最本质的特征是中国共产党的领导
[02404.02-02406.62] 那同你们知道受不主义的本质是什么
[02408.06-02410.78] 人说老师 我不知道受不主义的本质是啥呀
[02410.78-02412.26] 完了 你要不知道的话
[02412.26-02413.78] 咱们前面白掉了 对吧
[02413.78-02415.06] 咱们在这样到平旅论的时候
[02415.06-02419.70] 大家说过,收质的本质是解放成产业发展生产业
[02419.70-02423.54] 消灭部学消除两期文化最终实现什么?共同富裕
[02423.54-02426.82] 也就发展社会主义最高上,落在共同富裕上
[02426.82-02429.62] 落在共同富裕上,其实就是落在谁的身上
[02429.62-02432.02] 这是落在老百姓的身上
[02432.02-02434.74] 你说我们如何坚持社会主义这条道路
[02434.74-02438.34] 如何让社会主义的本质能够优势发挥出来呢?
[02438.34-02442.66] 那就早一下,谁能引领我们去实现收质的本质就行了
[02442.66-02444.38] 找到就是什么中国共产党
[02444.38-02445.94] 所以你看社会主义的本质
[02445.94-02448.06] 在更一个层次去追寻的话
[02448.06-02449.86] 他的最本质特征是谁
[02449.86-02451.82] 是来自于中国共产党的领导
[02451.82-02454.38] 是老实我很难把中国共产党的领导
[02454.38-02456.78] 和社会主义的本质瓜哥挂在一块儿
[02456.78-02460.78] 因为党的宗旨是全新全医位人民服务嘛
[02460.78-02463.74] 所以你看他正好和共同副义的要求是气合的
[02463.74-02465.38] 共同副义是社会主义的本质
[02465.38-02467.30] 而想要实现社会主义本质
[02467.30-02469.78] 在网上再网前去推一个环节
[02469.78-02472.10] 来到最本质的特征就在于
[02472.66-02474.38] 中國共產黨的領導
[02474.38-02475.88] 所以第一個最本身的特徵
[02475.88-02476.86] 但你會知道
[02476.86-02478.94] 第二個它說的是中国特斯chs
[02478.94-02481.38] 甚至指 veto以制度的最大優勢
[02481.38-02483.58] 中國的制度多不多
[02483.58-02485.24] 中國的制度太多了
[02485.24-02486.06] 你掰開掃子的時候
[02486.06-02487.92] 屬於所謂所謂所取出來的老血了
[02487.92-02490.64] 比如說大家都從出中高中
[02490.64-02491.36] 就是開始被的
[02491.36-02492.62] 中國是購物這一組
[02492.62-02493.34] 體多觀察了
[02493.34-02494.28] 這些女工廠發展
[02494.28-02495.38] 你看
[02495.38-02496.74] 基本區域制度是中國的制度
[02496.74-02498.32] 因為或者說大家在工作的時候
[02498.32-02499.58] 天天能享到說
[02499.58-02500.68] 老分配位主
[02500.68-02501.48] 多論分配方式
[02501.48-02504.36] 并存 優惠者我們經常能看到
[02504.36-02507.08] 天天聽 人民代表大會制度
[02507.08-02508.84] 和我們生活息相關
[02508.84-02510.84] 比如說基層群眾自制制度
[02510.84-02513.56] 這些都是中國的制度
[02513.56-02515.84] 中國的制度好不好
[02515.84-02517.08] 中國的制度好
[02517.08-02518.64] 就叫做中國制度的
[02518.64-02519.64] 有市
[02519.64-02521.40] 中國制度是有優勢的
[02521.40-02523.20] 這個是現任國家領導人
[02523.20-02524.56] 大部分
[02524.56-02526.84] 在19月4日前回到中說的
[02526.84-02528.88] 中國制度好
[02528.88-02529.92] 真的很不錯
[02529.92-02531.12] 非常的耐死
[02531.12-02532.92] 就是和世界上其他一些國家的
[02532.92-02534.20] 武器發造的制度相比
[02534.20-02535.92] 咱們的制度確實是為老百姓的
[02535.92-02537.52] 但是中國的制度好
[02537.52-02539.96] 能讓中國的制度發揮出來優勢
[02539.96-02542.80] 於是它就提到說要把制度優勢轉化成
[02542.80-02543.92] 治理效能
[02543.92-02545.32] 你看中國的制度好
[02545.32-02546.80] 我想不僅能議據
[02546.80-02549.36] 我們國家的制度是怎麼來的
[02549.36-02552.48] 同學就開始跟我盤憲法的邏輯
[02552.48-02553.60] 那還不簡單
[02553.60-02554.88] 選為人民大學大會
[02554.88-02556.36] 然後開始選舉機關
[02556.36-02557.64] 然後他們不同創立的
[02557.64-02564.86] 大家要知道中国的制度其实在本质上是中国共产党领导人民群众去搞出来的
[02564.86-02567.72] 所以如果说中国的制度有优势
[02567.72-02571.44] 那如果中国制度的优势再往前导强一个环节的话
[02571.44-02572.36] 那就属于什么
[02572.36-02575.74] 中国制度的最大优势还是来最谁来最党吗
[02576.46-02581.64] 所以他这里他给到说制度的最大优势是中国共产党的领导
[02581.64-02584.50] 而中国共产党对于我们来说国家的地位是什么
[02584.50-02586.18] 你看最高政治什么力量
[02586.18-02586.98] 领导力量
[02586.98-02587.70] 又说了
[02587.70-02589.14] 他就是什么方向
[02589.14-02592.02] 你看到他你就明确了整体的方向
[02592.02-02593.46] 所以在这里大家知道
[02593.46-02594.50] 他在考试的时候
[02594.50-02595.50] 他很容易怎么考呢
[02595.50-02597.70] 就很容易在这给你直接挖扣
[02597.70-02599.98] 说社会主义最本质的特征是什么
[02599.98-02600.82] 或者直接问
[02600.82-02603.90] 说社会主义制度最大的优势是什么
[02603.90-02605.22] 他就会直接给你挖扣
[02605.22-02607.30] 让你从APPCD4个选项里面去考
[02607.30-02608.26] 去选
[02608.26-02609.38] 那这个时候你怎么办
[02609.38-02611.18] 我们再旁边标注一下
[02611.18-02612.42] 我在那个框架下
[02612.42-02613.70] 我在那个蔣一下面
[02613.70-02615.46] 說給大家設了一、二、六百
[02615.46-02616.98] 我在這一間流百當中
[02616.98-02618.74] 其實在這裡沒有給大家去提到
[02618.74-02620.94] 說他經常會考一些點
[02620.94-02622.10] 然後讓我們去選
[02622.10-02623.46] 他是選哪個子
[02623.46-02624.58] 就是一選
[02624.58-02627.06] 比如說什麼推動社會主義
[02627.06-02629.58] 什麼實現社會主義的根本保障的事
[02629.58-02630.02] 對吧
[02630.02-02632.90] 什麼屬於中國發展的政治保障的事
[02632.90-02634.70] 他就經常會考一些這些子
[02634.70-02635.98] 那這個其實王王考的
[02635.98-02637.70] 就是我們所說的定位子
[02641.30-02642.50] 而這些定位子
[02642.50-02643.70] 对于这个主题的描述
[02643.70-02644.94] 它可能是出在什么
[02644.94-02647.02] 不同的这样的一个文件当中
[02647.02-02648.14] 所以我们现在要做的
[02648.14-02649.46] 就是在旁边标准一下
[02649.46-02650.74] 就是出现哪些词
[02650.74-02653.34] 你在选项当中选一个和党有关的
[02658.66-02659.66] 和党有关的
[02659.66-02661.18] 大家知道你要选出来
[02661.18-02663.62] 和党有关的定位此的话
[02663.62-02665.86] 你这时候就必须能够明确
[02665.86-02668.10] 中国共产党到底在这个国家当中
[02668.10-02669.50] 起到了什么样的作用
[02669.50-02670.46] 就想一下
[02670.46-02672.14] 它就相当于那个倒油
[02672.14-02675.86] 国家未来发展的道路已经确定的就是社会主义道路
[02675.86-02678.02] 如何走好社会主义道路
[02678.02-02680.78] 如何在社会主义道路当中实现我们的目标
[02680.78-02682.26] 那就必须有一个什么
[02682.26-02683.02] 领导力量
[02683.02-02685.62] 它就必须有一个骑志在前面领着
[02685.62-02687.70] 我们在后面跟着才能实现
[02687.70-02689.50] 才能保证这个国家不跑骗
[02689.50-02691.02] 所以中共共产在本身上
[02691.02-02692.22] 就是在保证一个问题
[02692.22-02694.94] 保证这个国家不跑骗才行
[02694.94-02696.66] 所以你看它的底层逻辑
[02696.66-02697.46] 它且一般情况
[02697.46-02698.82] 要么就是最怎么样
[02698.82-02700.22] 要么就是根本怎么样
[02700.22-02703.38] 要么他就是什么 和领导这个字有关的
[02703.38-02706.26] 所以出现哪些词选一个和党有关的呢
[02706.26-02708.26] 刚才在书上是否画了两个
[02708.26-02711.26] 画了三个 一个是最本质的特征
[02713.58-02714.94] 最本质的特征
[02714.94-02717.90] 一个是社会主义制度的最大优出现的写了
[02717.90-02720.18] 最大优势
[02721.90-02723.90] 还有刚才在书上给到的是什么
[02723.90-02727.06] 是最高政治领导力量
[02727.06-02731.66] 所以高政治领导力量
[02731.66-02733.20] 所以在这里面就明确
[02733.20-02736.54] 如果淡反咱们在中特或实正当中提到
[02736.54-02739.08] 国家的政治领导力量是什么
[02739.08-02741.78] 就是党只要出现和领导有关的
[02741.78-02743.28] 你就选党不骗你
[02743.28-02746.26] 比如说他提到我们国家的领导核心
[02751.64-02753.16] 国家的领导核心
[02753.16-02755.10] 那领导核心的话选谁
[02755.10-02757.90] 那都存在核心地位出在0到核心地位的话
[02757.90-02760.14] 旋中国共产党 对吧
[02760.14-02762.74] 或者提到我们国家的最高政治力量
[02763.14-02764.70] 还是什么最高政治的
[02764.70-02766.94] 中国共产党 所以你看它出现什么
[02766.94-02769.22] 最高政治领导力量0到核心
[02769.22-02771.46] 然后或者出现什么0到地位
[02772.74-02775.18] 这都是旗制和方向有关的 对吧
[02775.18-02777.42] 这有时候你就旋中国共产党
[02777.42-02783.46] 又或者我们经常能看到说发挥总乱全局协调各方的作用
[02785.10-02788.74] 总乱全局协调各方的作用
[02788.74-02791.90] 总乱全局协调各方的什么作用
[02791.90-02793.38] 还是领导作用
[02793.38-02794.74] 谁能总乱全局
[02794.74-02796.22] 谁能把控国家大事
[02796.22-02797.26] 我行吗
[02797.26-02798.50] 我不配
[02798.50-02801.46] 然后国家的什么各个其他的计划情况
[02801.46-02801.94] 不行
[02801.94-02803.54] 总乱全局是从宏观上
[02803.54-02804.90] 统仇国家的发展
[02804.90-02805.98] 所以在这里面看
[02805.98-02808.38] 能够起到总乱全局协调各方的是什么
[02808.38-02809.38] 全导
[02809.38-02811.94] 所以在这里他是中国共产党的领导
[02811.94-02813.86] 又或者他在提干当中出现什么
[02813.86-02816.34] 說實現國家發展的根本保證
[02816.34-02818.82] 能夠在根本上在方向上
[02818.82-02819.94] 起到保證作用的
[02819.94-02821.54] 同位一定看到黨
[02821.54-02823.30] 你就想到根源
[02823.30-02825.06] 想到國家發展的方向
[02825.06-02827.18] 你千萬有把這個邏輯去的關注
[02827.18-02829.14] 所以你看到根本保證的時候
[02829.14-02831.54] 選誰選中國共產黨
[02831.54-02832.66] 選中國共產黨
[02832.66-02834.18] 又或者我們所說的什麼
[02834.18-02836.74] 叫做建軍資本強軍支魂
[02839.22-02839.86] 我現在這
[02839.86-02840.22] 好吧
[02840.22-02841.06] 但是這個
[02841.06-02843.06] 建军 支本
[02843.06-02845.06] 墙军 支魂
[02846.06-02849.06] 你想一下 同学们 你觉得是什么
[02850.06-02853.06] 建军 支本 墙军 支魂 你觉得能是啥
[02853.06-02857.06] 咱们提到的 最开始的时候 从发多语业
[02857.06-02861.06] 发多语南床起义 电机举三个改变定性与骨田会业
[02861.06-02865.06] 是什么 在本上 在红上还是中国共产党的领导
[02865.06-02868.06] 所以同学注意一下 出现这些词以后
[02868.06-02870.06] 就選一個和黨有關的
[02870.06-02873.06] 你看在選像當中哪一個的描述
[02873.06-02874.56] 是和黨有關的
[02874.56-02875.56] 你就選哪個
[02875.56-02876.56] 明白我的意思吧
[02876.56-02878.56] 你看本人混
[02878.56-02879.06] 對吧
[02879.06-02881.56] 這些子一旦出來就選一個和黨有關的
[02881.56-02882.56] 那當然了
[02882.56-02885.06] 這些子他不可能都出在同一個文件當中
[02885.06-02886.06] 他是所有的文件當中
[02886.06-02888.06] 可能各文件裡面都相得表述
[02888.06-02889.06] 但是我在這裡
[02889.06-02890.06] 希望大家去掌握的就是
[02890.06-02892.06] 希望通過我剛才的講解和描述
[02892.06-02895.06] 同一個都有一個這樣一個對於中國共產黨
[02895.06-02897.06] 他到底在國家飯
[02897.06-02898.54] 在那裏面上的主在一个什么样的地位
[02898.54-02899.54] 又这样的一个感觉
[02899.54-02902.86] 你就知道它其实是起到一定的引令作用的
[02902.86-02904.86] 它代表的就是这个国家的方向
[02904.86-02906.78] 所以更为根源上的一些东西
[02906.78-02908.14] 往往都可以它有关
[02908.14-02908.66] 明白吧
[02908.66-02911.38] 你只要看到和方向性有关的
[02911.38-02912.90] 那要么就是社会主义
[02912.90-02915.38] 社会主义是中国发展的方向和道路
[02915.38-02916.18] 没有社会主义
[02916.18-02917.54] 它就一定是中国共产党
[02917.54-02919.06] 因为社会主义是道路
[02919.06-02921.46] 走好这条路需要党来引令
[02921.46-02923.18] 它在本身上其实没有什么
[02923.18-02924.10] 太大的区别
[02924.10-02924.98] 所以我们经常说的说
[02924.98-02927.06] 愛受過主義和愛中國共產黨
[02927.06-02929.82] 愛主國在本質上是一致的原因住在這
[02929.82-02930.82] 所以大家要知道
[02930.82-02933.38] 所以這是明確當中的第一個明確
