[00000.00-00004.38] 今天我们就从考试的角度来聊聊整个明天时期
[02339.06-02340.60] 所以你看他这都说出这么话
[02340.60-02342.26] 所以到了明朝中后其实是后啊
[02342.40-02344.96] 虽然也有短在我们所说的好的皇帝出现
[02345.22-02347.00] 但是他这种黑暗夫人
[02347.26-02348.28] 其实已经蓝不住了
[02348.28-02350.58] 所以就到后面的时候我们都知道
[02350.58-02352.76] 農民旗医就预发的平反
[02352.76-02355.32] 所以到了我们所说的这个名朝
[02355.32-02357.12] 莫年的时候爆发了農民旗医
[02357.12-02359.12] 当时農民旗医均里没有两人
[02359.12-02361.60] 一个是张健中一个是李自藏
[02361.60-02363.40] 那当时李自成
[02364.16-02367.12] 就提出了军田面两个这样的口号
[02367.12-02369.00] 有说白土地给大家去分
[02369.00-02371.00] 两是也给大家去吃
[02371.00-02372.60] 然后你最重要的两处还不要钱
[02372.60-02373.84] 同时想对有可能
[02373.84-02375.52] 李自成就是骗人的
[02375.52-02378.84] 他要当我们所说的企业军的手领
[02378.84-02380.12] 他过得比込迷好
[02380.12-02382.56] 但是他跟込迷说说我给你分地我还不让钱
[02382.56-02383.72] 那他只闪呀 对吧
[02383.72-02385.96] 所以说法其实是不切实际的
[02385.96-02388.60] 当时老百姓对土地速求
[02388.60-02391.12] 其实达到了一定的顶风的
[02391.12-02393.48] 老百姓吃不上在日子过得这么苦
[02393.48-02395.12] 官府又疏挖他们
[02395.12-02398.48] 所以听到李子成这个话就跟李子成去一块去干
[02398.48-02399.32] 去搞企业了
[02399.32-02402.12] 所以李子成就很快就入主
[02402.12-02403.52] 甚说达到了精城
[02403.52-02405.00] 所以打到京城之后呢
[02405.00-02405.88] 同们注意下
[02405.88-02409.68] 李子城公路北京推翻了名仇
[02409.68-02410.56] 那推翻了名仇
[02410.56-02413.12] 所以同时要知道推翻名仇的人
[02413.12-02415.92] 不是清朝而是李子城
[02415.92-02417.68] 这个点一定要注意啊
[02417.68-02420.36] 推翻名仇的是李子城
[02420.36-02421.92] 而并非清朝
[02421.92-02423.04] 推翻了名仇之后
[02423.04-02424.64] 名仇命网了
[02424.64-02426.40] 名仇都最后一个皇帝大家都知道
[02426.40-02427.76] 是重争小皇帝啊
[02427.76-02428.76] 重争小皇帝
[02428.76-02431.36] 非常情言一款十七岁当了皇帝
[02431.36-02435.70] 没有什么后功的,而是非常情政
[02435.70-02461.04] 他呢是非王国之军,但是遇到了王国之军,他没有办法,最后呢就是我们所说的在这个美山上到自杀了,从明朝就灭亡了,明朝就灭亡了,这个就是我们所说的明朝他的一个根结,整个明朝的历史当中,其实经常会有一句话来形容,就是我刚才给他们说的,同时把这句话写在旁边,叫做天子守国门,君王此设计,天子守国门,君王此设计。
[02461.04-02463.98] 天子守国门国门在北京
[02463.98-02466.16] 所以天子守国门谁天都北京
[02466.16-02468.16] 就是刚才我们所说的名成组
[02468.36-02469.16] 租地
[02469.16-02469.96] 同们注意一下
[02469.96-02472.16] 我们所说的名成组租地
[02472.32-02474.00] 所以天子守国门只得是谁
[02474.00-02475.08] 你要知道成组
[02475.08-02476.60] 军王死涉及
[02476.60-02478.56] 也就说在名朝这个皇帝当中
[02478.56-02480.76] 其实虽然出现了我们所说的
[02480.76-02482.24] 这种情愈也好能兵其去
[02482.24-02484.56] 但是没有抛弃国家中现象
[02484.56-02487.76] 最后从这小皇帝还上掉自杀训国了
[02487.76-02488.12] 对吧
[02488.12-02490.48] 所以在这里军王死涉及主要只得是谁呢
[02490.48-02491.98] 主要指的是我们所说的
[02491.98-02492.78] 重真
[02493.98-02495.38] 主要指的是我们所说的
[02495.38-02496.48] 重真小皇帝
[02496.48-02498.88] 所以这句话也经常会考察到
[02498.88-02500.18] 他的人物的对应
[02500.18-02501.28] 大家注意一下
[02501.28-02502.98] 这个就是我们所说的
[02502.98-02503.98] 名朝的
[02503.98-02505.48] 这样一个更新
[02505.48-02506.48] 名朝的更新
[02506.48-02508.98] 那就把名朝整个十七位大说完了
[02508.98-02510.28] 咱们来解的书里下半
[02510.28-02511.78] 首先第一个开过皇帝
[02511.78-02512.58] 主人张
[02512.58-02513.88] 主人张明太祖
[02513.88-02515.54] 身上的考演在于第一个
[02515.54-02516.38] 定读
[02516.38-02517.18] 南京
[02517.18-02517.58] 对吧
[02517.58-02518.78] 我们叫做应天赴
[02518.78-02519.38] 第二个
[02519.38-02523.58] 他这个17所出现的制式叫做红武之制
[02523.58-02525.08] 叫做红武之制
[02525.08-02528.68] 在这里面还出现了两个和他有关的点顾
[02528.68-02531.18] 一个叫做奉天成运皇帝
[02531.18-02534.78] 照约还有一个区处湖魯恢复中华
[02534.78-02536.98] 这是名成组专章
[02536.98-02538.98] 名同座把王位传给注意文之后
[02538.98-02541.98] 于是注意文和他的叔叔之间就发生了
[02541.98-02543.98] 竟然之一
[02543.98-02545.18] 而竟然之一
[02545.18-02548.78] 竟然之一 竟然之一 竟然之一
[02548.78-02551.08] 那在民城阻止间出现的事情
[02551.08-02553.68] 第一个在他致敌新出现了一个盛事
[02553.68-02555.88] 叫做勇乐生事
[02555.88-02556.58] 对吧
[02556.58-02557.98] 那在勇乐生事当中
[02557.98-02559.38] 编载了一个类输
[02559.38-02561.48] 叫做勇乐大点
[02561.48-02562.48] 叫做勇乐大点
[02562.48-02563.28] 那大家要知道
[02563.28-02564.08] 那第二个呢
[02564.08-02568.24] 就是在这个时候他派政和七下西洋
[02568.24-02569.58] 政和下西洋
[02569.58-02570.48] 也是在这里了
[02570.48-02571.68] 政和下西洋的话
[02571.68-02573.98] 政和被称为叫做三导派解
[02573.98-02576.38] 而他把他的王位床给了他的大儿子
[02576.38-02578.78] 主高制 而主高制是人工
[02578.78-02580.76] 主砂机是宣总
[02580.76-02581.86] 所以就出现了
[02581.86-02582.92] 我们所说的
[02582.92-02585.94] 第三个制是叫做人宣制
[02586.82-02587.78] 人宣制制
[02587.78-02588.92] 而人宣制之后
[02588.92-02589.82] 往未传到了
[02589.82-02591.74] 出奇证明英宗的手里
[02591.74-02592.70] 而名中这个时候
[02592.70-02594.14] 出现了一个事情叫做
[02594.14-02595.60] 土木宝质辨
[02595.86-02597.46] 而土木宝质辨
[02597.46-02598.46] 大家要注意一下
[02598.46-02599.70] 身上有几个点
[02599.70-02601.30] 第一个和名英宗有关
[02601.30-02601.74] 第二个
[02601.74-02603.62] 这里面有一个非常有名的降领
[02603.62-02604.28] 叫做
[02604.28-02610.20] 于前第三个同宝是有胜到摔的转折
[02610.20-02613.04] 对吧,有胜到摔的转折
[02614.16-02615.70] 这个是我们所说的
[02615.70-02616.74] 民宗期间
[02616.74-02619.06] 民宗被蒙古军抓走之后
[02619.06-02621.44] 黄卫传给了他的弟弟叫做朱奇玉
[02621.44-02623.48] 朱奇玉在为七年之后
[02623.48-02625.40] 去世了,凌智之前
[02625.40-02627.64] 多门之便,黄卫又回到了
[02627.64-02629.18] 民宗的手里
[02629.18-02630.94] 而我们所说的这个
[02630.94-02632.74] 民宗的儿子是谁呢
[02632.74-02634.38] 你看在这里 混在黄眼的角色
[02634.38-02636.32] 民族的儿子叫做租建生
[02636.32-02638.30] 租建生就是成画皇帝
[02638.30-02640.52] 叫做明显中是个好皇帝
[02640.52-02643.86] 他宽面的皇帝叫做租幼称是明校总
[02643.86-02646.70] 这个留意军一元过皇帝的角色
[02646.70-02648.96] 而在后就是主后照
[02648.96-02650.98] 主后照是明武宗政策皇帝
[02650.98-02652.70] 就是喜欢打招的那个
[02652.70-02654.46] 自己的分子几位政国工
[02654.46-02657.38] 当时大家对于主后照
[02657.38-02659.34] 就是明武宗它包辩不一
[02659.34-02662.34] 但是很久眼过这样的一个叫做政得演义
[02662.34-02665.52] 而他后面就是明世总我们刚才所说的
[02665.52-02667.40] 谁呢加进皇帝
[02667.40-02669.98] 在加进皇帝期间第一个大家知道
[02669.98-02671.86] 考点在于加进中心
[02671.86-02674.10] 第二个在这实际出现了期几光
[02674.10-02678.06] 抗国那期光说了一话叫做风红飞尾液
[02678.06-02679.70] 但原还不明
[02679.70-02681.74] 而加进之后就是木总
[02681.74-02683.78] 木总在为明几年但是个好皇帝
[02683.78-02684.98] 之后就到了万历
[02684.98-02686.06] 然后结果呢
[02686.06-02687.62] 我们所说的这个明朝
[02687.62-02689.36] 他就急转直下
[02689.36-02690.86] 明朝最后一个皇帝
[02690.86-02692.34] 就是我们所说的谁呢
[02692.34-02693.60] 就是我们所说的
[02693.60-02694.62] 重争皇帝
[02694.62-02696.50] 就是给大家展现的这个
[02696.50-02697.54] 而重争皇帝呢
[02697.54-02698.42] 以身性过
[02698.42-02699.38] 所以我们有句话
[02699.38-02702.42] 叫做天子的手光门军王死涉及
[02702.42-02703.94] 那这里指的就是谁
[02703.94-02705.46] 指的就是我们所说的
[02705.46-02706.42] 重争皇帝
[02706.42-02707.38] 重争皇帝
[02707.38-02709.02] 那这是我们所说的整个
[02709.02-02710.06] 明朝的问题
[02710.06-02711.70] 那推翻明朝的是要
[02711.70-02712.66] 李子成
[02712.66-02714.58] 那既然推翻明朝是李子成
[02714.58-02716.78] 那为什么会有清军入关呢
[02716.78-02718.74] 那接下来我们讲完了明朝之后
[02718.74-02720.66] 我们再来看一看清朝
[02720.66-02724.42] 来聊一聊马背上的民族和他耳熟能想的故事
[02724.42-02725.90] 其实说到这个清朝
[02726.70-02727.90] 大家在属习不过了
[02727.90-02728.26] 对吧
[02728.26-02729.82] 我们看到了很多的这个电视剧
[02729.82-02732.02] 那真的是到处的事
[02732.02-02734.02] 那进步看到的都和他有关
[02734.02-02736.10] 什么山河之什么
[02736.10-02737.54] 美人无类还啥的
[02737.54-02738.62] 秀庄秘识
[02738.62-02739.02] 对吧
[02739.02-02739.46] 等等
[02739.46-02740.34] 少年天子
[02740.34-02741.86] 那都是这个时期的
[02741.86-02743.62] 那说到这个清朝的皇帝
[02743.62-02746.30] 其实我们知道清朝有12位皇帝
[02746.30-02747.82] 从清太祖
[02747.82-02748.82] 那是哈翅
[02748.82-02749.46] 开始
[02749.46-02752.18] 一直到我們所說的最後一個皇帝
[02752.18-02753.54] 最後一個皇帝是誰呢
[02753.54-02755.22] 最後一個皇帝說說我們所說的
[02755.22-02756.10] 普遺
[02756.10-02757.38] 那就是我們所說的普遺
[02757.38-02758.62] 那我們就來看一下
[02758.62-02760.46] 這個裡面所以達展現的
[02760.46-02762.18] 其實也是我在影師巨當中
[02762.18-02763.54] 能為大家看到的
[02763.54-02765.30] 我們經常能夠熟悉的電影
[02765.30-02767.26] 據裡面所見到的就是人物角色
[02767.26-02768.50] 那我們先來看一看
[02768.50-02770.74] 清朝的開國的人物吧
[02770.74-02772.34] 清朝開國的人物是誰呢
[02772.34-02773.70] 清朝開國的人物
[02773.70-02775.14] 其實就是我們所說的
[02775.14-02776.26] 奴爾哈翅
[02776.26-02777.10] 那我們來看一下
[02777.10-02777.90] 誰們第一個
[02777.90-02779.34] 就是清朝的建立
[02779.34-02782.66] 清朝的军令的水面第一个就是弄着哈翅同们注意一下
[02782.66-02790.34] 弄着哈翅呢 他做的事情不是建立清朝而是统一女真个部建立的叫做后金
[02790.34-02796.24] 大致到啊 弄着哈翅呢 他其实是女真的一个不足的一个手里啊
[02796.24-02799.58] 当时的这个女真分为什么建中女真也认语真
[02799.58-02803.14] 女真祖大都知道就是星期在 叫做
[02804.68-02807.72] 咱们之前讲过就是在黑龙江松花江的一带
[02807.72-02809.20] 所以星期的这样的一个民族
[02809.20-02809.52] 对吧
[02809.52-02810.60] 我们之前在讲到
[02810.60-02813.12] 送和精之间的故事的时候
[02813.12-02815.64] 知道这个女真族非常能打仗
[02815.64-02816.08] 对吧
[02816.08-02818.76] 从一笔解打到了我们所说的
[02818.76-02819.88] 几千人
[02819.88-02821.08] 三千七人
[02821.08-02822.20] 对人家十万人
[02822.20-02824.28] 这些打仗做人的非常有谋了
[02824.28-02825.60] 这种弄着他吃
[02825.60-02829.20] 其实就是这个不足当中的一个人物
[02829.20-02831.92] 他吃其实也是少年命苦
[02831.92-02833.52] 他的后妈不太在念他
[02833.52-02835.36] 然后他在打仗过程当中
[02835.36-02837.12] 还不小心把他爹和他爷爷
[02837.12-02838.16] 都护殺了
[02838.16-02838.68] 後來呢
[02838.68-02840.20] 諾爾哈翅就在
[02840.20-02840.96] 我們所說的
[02840.96-02843.88] 他勝於的這些軍隊裡面
[02843.88-02845.28] 不斷的去發人狀態
[02845.28-02846.56] 最後統一的女真
[02846.56-02848.16] 各部建立了後驚
[02848.16-02850.44] 而諾爾哈翅在打凝遠的時候
[02850.44-02852.16] 沒打下來人就死了
[02852.16-02853.48] 諾爾哈翅去世之後
[02853.48-02855.40] 是他的第八個兒子
[02855.40-02856.84] 就做黃太極
[02857.92-02858.72] 黃太極
[02858.72-02860.48] 繼承了諾爾哈翅的這個位置
[02860.48-02861.44] 所以在
[02861.44-02863.04] 勝經的稱皇帝
[02863.04-02863.92] 改過後微什麼呢
[02863.92-02865.20] 改過後微驚
[02865.20-02865.92] 所以大家注意
[02865.92-02868.32] 想弄着哈迟那个时候叫做后金
[02868.32-02870.12] 黄太迟时候叫做青
[02870.12-02871.32] 为什么改成青了呢
[02871.32-02872.72] 因为中原啊
[02872.72-02875.92] 或者是汉族人对于金非常的排斥
[02875.92-02877.92] 因为之前已经有一个经过了
[02877.92-02881.72] 而且对于中原民族的压迫是不是挺严重
[02881.72-02884.12] 所以汉族人对于这个金啊
[02884.12-02885.32] 不太有什么好感
[02885.32-02886.92] 所以在这里呢就改过后的青
[02886.92-02890.32] 而青呢在满雨当中和金的发言是一样的
[02890.32-02891.32] 金的发言是一样的
[02891.32-02892.72] 所以大家知道在这里面
[02892.72-02894.72] 所给到弄着哈迟和黄太迪
[02894.72-02897.54] 他们分别做了啥事在这里打要记得
[02897.54-02900.60] 既然提到这两个皇帝咱们就要补充一个考虑
[02900.60-02903.28] 经常会考到皇帝的年号
[02903.28-02904.96] 皇帝的年号他的什么呢
[02904.96-02908.28] 在这里他的排序问题
[02908.28-02909.82] 他的排序问题
[02909.82-02910.52] 他的排序呢
[02910.52-02911.62] 咱们刚才已经看到了
[02911.62-02913.14] 他其实是12个皇帝
[02913.14-02915.46] 第一个是多少他次创旅后接
[02915.46-02917.50] 然后传给皇太极
[02917.50-02918.22] 皇太极呢
[02918.22-02920.56] 这个绝所出自在秀庄秘石里面
[02920.56-02922.88] 这个人物秀庄秘石当中的
[02922.88-02923.80] 皇太吉
[02923.80-02925.72] 皇太吉建立清朝之后
[02925.72-02927.00] 达州的皇太吉的
[02927.00-02928.72] 而是顺智皇帝
[02928.72-02930.24] 一直用所说的福利
[02930.24-02932.60] 大家都知道他和董恶非之间有一个故事
[02932.60-02933.00] 对吧
[02933.00-02934.20] 到了后面的时候
[02934.20-02935.20] 就从就有了
[02935.20-02936.32] 盛族康西
[02936.32-02937.72] 康西是顺智的
[02937.72-02939.80] 而是校庄的孙子
[02939.80-02941.20] 所以就了康西
[02941.72-02942.60] 盛族
[02942.60-02944.84] 然后康西的第四个孩子
[02944.84-02945.36] 用正
[02945.36-02946.44] 大家看真还赚
[02946.44-02946.92] 印针
[02946.92-02948.60] 对了四爷四郎
[02948.60-02949.32] 说的就是
[02949.32-02950.04] 用正
[02950.04-02950.72] 用正
[02950.72-02951.36] 就是
[02951.36-02955.46] 印针他是世总而用正的第四个孩子
[02955.46-02957.50] 就是我们所说的前龙
[02957.50-02961.08] 所以大家就记得叫做康庸前
[02961.08-02964.28] 记住关键词他的社学前三个好减
[02964.28-02970.94] 那是他是皇带记顺智后面的叫做康庸前后面叫做家庭
[02970.94-02973.94] 到我们所说的到光
[02973.94-02974.94] 叫
[02974.94-02977.94] 鞋叫康庸前加到鞋
[02977.94-02980.94] 最后同纷
[02980.94-02984.94] 纯同纸的是同纸的是同纸黄地
[02984.94-02985.94] 光是光徐地
[02985.94-02988.94] 光丽这个角色是走向共和当中的电影当中的角色
[02988.94-02989.94] 里光结眼了
[02989.94-02991.94] 最后就是默在黄地普遗了
[02991.94-02993.94] 叫做同光旋
[02993.94-02995.94] 所以在这里黄地的这个顺序
[02995.94-02998.94] 大家就记得叫做康庸前
[02998.94-03002.94] 加到鹹同光圈
[03002.94-03008.94] 在这里面,它一旦出现这个排序,大家要记得,它是如何排序的
[03008.94-03015.94] 这个点虽然科行不是特别的强,但确实在是一旦谷事的过程中考过,所以通知我们不要把他忽略掉
[03015.94-03022.94] 这是我们所说的有关于这里面给大家補充的一个考虑,就是皇帝的年号问题
[03022.94-03024.18] 那咱们来看一下吧
[03024.18-03027.14] 说关于亲皇帝年后排去正确的是
[03027.14-03029.98] 咱们就说了叫做康庸前
[03030.98-03034.18] 还有什么叫做加道鲜通光圈
[03034.18-03035.02] 那你看
[03035.02-03039.62] 那在这里面应该是顺着康庸前
[03039.62-03043.54] 加道鲜通光圈
[03043.54-03045.34] 对吧加道鲜然后通光圈
[03045.34-03050.82] 所以这里面说法正确的应该是C-US,所以在这里面你看家庭上前面是能不能
[03050.82-03053.30] 这个大不敬,这不行
[03053.30-03055.98] 必然爆光上抗戏前面的指定也不可能
[03055.98-03059.34] 对吧,地选下来看一下先风,先风上用这种前面是了
[03059.34-03061.98] 这次大女不道逆子,这属于是
[03061.98-03068.18] 所以这里面说法正确的是C-US,这里面正确的是C-US,这个是我们所说的
[03068.18-03070.66] 它的一个年号的问题,大家注意一下
[03070.66-03099.38] 说明后之后,我们来看一看,有关于清朝发展的非常账的一个制定,在开片的时候,我们说了,我们这一节主要讲的是一条主线和三个帝王之间的故事,这里面三个帝王主要指的是康熙,用政和钱隆,考什么呢,考这些人做了什么,以及在他做的这些事情里面,我们所说的一些细节的考点,我们来看一想,这些帝王主要是康熙。
[03099.38-03103.50] 这里面大助一下考的就是对应以及续解
[03103.50-03105.50] 一定要记得什么人做了什么事
[03105.50-03107.42] 第二就是考察他的续解
[03107.42-03110.22] 那首先第一个在圣族康西也这时候
[03110.22-03112.10] 做的第一件事就是平定
[03112.10-03114.30] 三番大家都知道圣族康西
[03114.30-03117.58] 充灵建作小小的时候就当了黄地
[03117.58-03118.86] 后来的时候当了黄州
[03118.86-03120.14] 大家看过那个美小宝
[03120.14-03122.38] 那个美小宝电视剧里面是把鲜拿下来
[03122.38-03123.58] 是把欧外拿下来
[03123.58-03124.78] 对吧因为当时的欧外
[03124.78-03127.86] 其实是对他来说比较大的一个威胁了
[03127.86-03129.14] 用冰字中
[03129.14-03130.94] 然后在这时候不进黄地
[03130.94-03133.50] 所以当时生主抗戏16岁的时候
[03133.50-03134.90] 就把澳贝给作掉了
[03134.90-03136.66] 它当时是弄了一帮通时地子
[03136.66-03137.70] 天天的玩水就
[03137.70-03139.30] 澳贝上朝的时候给它温倒了
[03139.30-03139.90] 对吧
[03139.90-03141.78] 这时候就把澳贝拿下了
[03141.78-03142.78] 把澳贝拿下之后
[03142.78-03143.82] 在既然面臨的问题
[03143.82-03145.22] 就是三番问题
[03145.22-03146.42] 就是我们所说的
[03146.42-03148.18] 地方做大作强
[03148.18-03149.70] 对于它产生了一个威胁
[03149.70-03151.58] 这个三番分别指的是谁呢
[03151.58-03152.30] 同没有知道
[03152.30-03154.30] 这里面的细节考就是三番之乱
[03154.30-03155.46] 三番指的是谁
[03155.46-03157.30] 指的是原南的平息王
[03157.30-03158.30] 五三桂
[03158.30-03161.02] 还有一个是广东的平南王上科喜
[03161.02-03162.98] 还有一个就是福建的竞南王
[03162.98-03164.86] 赶紧中达住一下
[03164.86-03167.02] 这里面就考察
[03167.02-03169.26] 我们所说的平西王是谁
[03169.26-03170.66] 平南王是谁
[03170.66-03172.74] 以及竞南王是谁
[03172.74-03173.42] 第二个
[03173.42-03174.10] 考察什么呢
[03174.10-03175.10] 考察这些人
[03175.10-03176.26] 三国那片
[03176.26-03178.10] 他们是哪个片去的片长
[03178.10-03178.78] 在这里
[03178.78-03180.90] 大家要注意一下
[03180.90-03182.70] 这是我们所说的这三番
[03182.70-03184.06] 这三番就说起来
[03184.06-03186.26] 还是明朝的
[03186.26-03187.58] 和民朝鱼令的关系
[03187.58-03188.94] 当时民朝有个大见
[03188.94-03191.86] 不知道大家会不会有一点印象
[03191.86-03193.06] 这个人叫啥呢
[03193.06-03195.98] 日人叫做元重换
[03195.98-03197.74] 元重换是流动的读师
[03197.74-03199.46] 它当时手底有一个
[03199.46-03200.98] 我们所说的这个降领
[03200.98-03202.26] 叫做某文龙
[03202.26-03203.86] 某文龙手下有三个人
[03203.86-03205.78] 这三人是上科系
[03205.78-03207.82] 赶重名和空柔的
[03207.82-03209.10] 当时这个元重换
[03209.10-03210.90] 因为一个问题
[03210.90-03212.86] 就把这里面的某文龙给杀了
[03212.86-03213.78] 它把这某文龙杀了
[03213.78-03215.18] 这某文龙手下这三个人
[03215.18-03218.14] 最後就歸入了清朝
[03218.14-03219.26] 歸入了清朝之後
[03219.26-03221.26] 就被封了我們所說的封王了
[03221.26-03223.50] 當時毛龍手下當中的那個
[03223.50-03224.66] 叫孔有德的人
[03224.66-03226.90] 在跟南民作戰的時候就已經死了
[03226.90-03227.82] 死了之後
[03227.82-03229.14] 就只剩下了兩個人
[03229.14-03231.42] 當時清朝的那裡
[03231.42-03232.94] 三個人裡面就剩下兩人
[03232.94-03235.34] 一個是我們所說的上之戲
[03235.34-03236.82] 還有一個就是
[03236.82-03237.70] 更重名
[03237.70-03238.94] 就剩下了這幾個人
[03238.94-03240.18] 這幾個人
[03240.58-03241.62] 大家注意
[03241.62-03242.82] 這個平安王
[03242.82-03244.94] 我們所說的上科喜
[03244.94-03248.34] 他其实是上之信的儿子
[03248.34-03249.66] 而竟然网了耿尽中
[03249.66-03251.90] 其实也是之前风往的广重名
[03251.90-03252.98] 他的后代
[03252.98-03255.94] 这里面还有一个无三位平西网
[03255.94-03258.10] 平西网在这里无三位的故事
[03258.10-03259.02] 其实挺多的
[03259.02-03262.18] 无三位原本是明朝的这个降领
[03262.18-03265.02] 李子承打入的经承的时候
[03265.02-03266.86] 他一直还守在边关上
[03266.86-03268.78] 而李子承大都知道农民出事
[03268.78-03270.22] 所以就走一路抢一路
[03270.22-03271.82] 然后无三位当然就说
[03271.82-03272.78] 说我们的问题
[03272.78-03274.90] 一直都是中原内部的问题
[03274.90-03276.70] 那既然是中原内部的问题的话呢
[03276.70-03280.26] 那就不需要让青朝入主终于来解决这个问题啊
[03280.26-03281.94] 所以他当时一直手在边关
[03281.94-03285.14] 而手在边关多少稳他们在善关那边其实也是打过来的
[03285.14-03287.30] 无三位为什么最后会想清呢
[03287.30-03289.50] 是因为一个人大家都知道这个人叫什么呢
[03289.50-03291.30] 就做成员员
[03291.30-03292.98] 对吧 这个人叫做成员员
[03292.98-03294.86] 当时呢 这个无三位
[03294.86-03296.82] 他在这个手关的就过程当中
[03296.82-03298.46] 然后他那个手下的人跟他说
[03298.46-03300.46] 说你看你家人那个超了
[03300.46-03302.34] 说李子成半你家都给你超了
[03302.34-03303.70] 这是前都给你拿走了
[03303.70-03304.66] 无三位说
[03304.66-03306.26] 小事对吧 误会一个
[03306.26-03307.46] 当我回去之后呢
[03307.46-03308.46] 他指定啊
[03308.46-03309.46] 这把东西还给我了
[03309.46-03310.06] 没事
[03310.06-03310.66] 后来呢
[03310.66-03311.66] 又过了一段时间说
[03311.66-03312.86] 你爹让他给抓走了
[03312.86-03314.06] 然后当初不算会说
[03314.06-03315.06] 误会没关系
[03315.06-03315.26] 对吧
[03315.26-03316.66] 又过了一段时间说了
[03316.66-03318.46] 说你相好的人给抓走了
[03318.46-03319.46] 就是成员员
[03319.46-03321.46] 当时不算会听谋斗战了
[03321.46-03321.86] 对吧
[03321.86-03323.66] 就痛哭六均拒搞诉
[03323.66-03325.06] 冲关一路为红言
[03325.06-03326.46] 那当时打开压的
[03326.46-03326.66] 对吧
[03326.66-03327.46] 所以在这里
[03327.46-03329.26] 无三位就想清了
[03329.26-03330.26] 无三位想清
[03330.26-03330.86] 当时呢
[03330.86-03333.46] 其实是不一定能打过李子成的
[03333.46-03335.62] 因为当初无三位手底下就色人
[03335.62-03337.62] 李子成一天无三位有反了
[03337.62-03339.10] 所以在这里摔了多少人呢
[03339.10-03340.58] 20万大军来打
[03340.58-03342.90] 那当初无三位就觉得我不一定能打得过他
[03342.90-03344.06] 于是就去找谁了呢
[03344.06-03346.06] 于是就去找了多人鬼
[03346.06-03346.94] 就跟多人鬼说
[03346.94-03348.38] 他是你看这样形象
[03348.38-03349.30] 你帮我打
[03349.30-03350.58] 你帮我打之后呢
[03350.58-03352.94] 我就归顺于你们
[03352.94-03354.98] 而那个当时李子成
[03354.98-03357.38] 在京城烧烧烧烧烧烧烧烧烧烧烧
[03357.38-03359.10] 那强的这些钱都给多人鬼
[03359.10-03361.30] 多人鬼说也不是不行
[03361.30-03361.50] 对吧
[03361.50-03362.38] 多人鬼当时想
[03362.38-03363.54] 这个买卖其实是可以干的
[03363.54-03364.78] 因为他们一直想
[03364.78-03365.62] 进入到中原来
[03365.62-03367.22] 但在山河有那约一直打进来
[03367.22-03369.18] 那只好这个油头就可以进来
[03369.18-03371.02] 但多封当时也没有明明
[03371.02-03372.94] 上去运动它只是摔领了
[03372.94-03376.86] 我们所说的这个10万大军在关门那个地方等着
[03376.86-03379.70] 而当时无三贵和他的那个400人
[03379.70-03382.54] 和李子成的20万大离上午之后打平了
[03382.54-03383.30] 后来无三贵说
[03383.30-03384.54] 这能行吗打平了
[03384.54-03386.34] 它的人数比我多只能吃虽的
[03386.34-03387.54] 后来让多封封网网
[03387.54-03388.66] 多封这才网网
[03388.66-03390.46] 清军才入了官
[03390.46-03392.26] 所以当时无三贵
[03392.26-03393.80] 平定李子城有公外
[03393.80-03396.10] 所以当时封为了叫做平西王
[03396.10-03397.64] 而他平定李子城之后
[03397.64-03399.06] 能用帅军难下
[03399.06-03400.38] 灭了难民的朝鲷
[03400.38-03403.10] 就算是把民朝的面想撤地断
[03403.10-03405.14] 所以这是我们所说的三个人
[03405.14-03406.60] 而这三个人呢
[03406.60-03409.46] 无三位上科喜和竞南王
[03409.46-03410.18] 赶紧中
[03410.18-03413.82] 赶紧中他其实是我们所说的刚才那个
[03413.82-03415.94] 我们所说的那个赶重名的后代了
[03415.94-03416.70] 这个没有关系
[03416.70-03419.14] 大家就知道是在康袭的时候是在三个人
[03419.14-03421.58] 这三个人当时就至少在这三个地方
[03421.58-03424.66] 這三個地方其實說句實話挺難搞的
[03424.66-03426.82] 因為這三個地方你看都是在哪
[03426.82-03429.50] 雲南廣東福建山高水險
[03429.50-03430.70] 又很熱
[03430.70-03432.70] 而巴奇原本是草
[03432.70-03434.82] 我們所說的草原上的民族
[03434.82-03436.94] 那巴奇軍的根本收了熱
[03436.94-03439.10] 所以當時在那都住雜不了
[03439.10-03440.46] 所以他們三個在那住雜
[03440.46-03442.22] 那他們三個在那住雜的話
[03442.22-03443.70] 德天堵後的地理條件
[03443.70-03444.46] 對他們來說
[03444.46-03447.54] 其實他們就相當於三個獨立的王國
[03447.54-03450.78] 當時朝廷一年的收入才四千萬兩百億
[03450.78-03453.54] 花在三番身上就超過兩千萬兩
[03453.54-03454.90] 不僅給他們錢
[03454.90-03458.34] 他們還自己設置自己的行政機構
[03458.34-03462.66] 自治流屬自用自己的關於資備兵
[03462.66-03463.58] 不停重要的話
[03463.58-03465.54] 這個時候抗席絕對不能容他們
[03465.54-03466.46] 所以抗席絕定
[03466.46-03468.46] 缺番把這三番給撤
[03468.46-03470.30] 結果這一缺番算了
[03470.30-03472.02] 抗席說我再還能怪著你們
[03472.02-03473.86] 所以點名點樣
[03473.86-03475.02] 去把他們點面了
[03475.02-03476.02] 這是第一個
[03476.02-03477.86] 叫做平定三番之論
[03477.86-03478.54] 打住一下
[03478.54-03479.26] 這是第一個點
