[00000.00-00006.00] 好的,我们接着上次客的内容来往下看,咱们再上一期看到中,其实给大家讲完了。
[02401.54-02405.50] 最典型就是中国发展主要矛盾
[02405.50-02407.38] 中国发展主要矛盾
[02407.38-02410.98] 我们会发现随着时代的不同而不同的
[02410.98-02414.34] 在最开始的时候打仗内换
[02414.34-02416.34] 我们社会的主要矛盾是什么
[02416.34-02420.18] 是我们所说的地国主义和中央民族之间的矛盾
[02420.18-02420.74] 对吧
[02420.74-02422.14] 那个是在打仗
[02422.14-02423.18] 打完那种之后
[02423.18-02424.58] 我们的矛盾就变成了
[02424.58-02427.62] 中国共产党和国民党之间的矛盾
[02427.62-02430.86] 而在我们所说的这种内战打完了之后
[02430.86-02432.22] 结婚任任打完了之后呢
[02432.22-02433.54] 我们心中我成立
[02433.54-02434.94] 心中我成立之后
[02434.94-02437.34] 我们当时所面临的矛盾是啥
[02437.34-02438.82] 当时所面临的矛盾
[02438.82-02444.10] 就是怎么样能够把我们国家从原本的社会变成社会主义国家
[02444.10-02446.82] 于是进行了三大改造进行一化三改
[02446.82-02448.34] 而三大改造完成之后
[02448.34-02450.02] 我们所面临的矛盾就是
[02450.02-02452.46] 建设先进的工业国
[02453.62-02455.52] 和落后的
[02455.52-02458.52] 农业国之间的矛盾
[02459.52-02461.92] 这时新中国刚刚成立
[02461.92-02464.22] 那几年我们损灭了的情况
[02464.22-02466.92] 一直到了改革开放之后我们提到了
[02466.92-02469.32] 改革开放中国当时的主要矛盾是什么
[02469.32-02476.52] 是人民日益增长的物质文化需要同落后的社会生产之间的矛盾
[02476.52-02478.52] 这是老百姓想要吃饱川顿
[02478.52-02481.32] 但是你国家的生产力条件相当于是比较落后
[02481.32-02485.68] 所以日益增长的物质文化需要和落后的社会生产之间的矛盾
[02485.68-02493.60] 于是我们就开始框框搞生产对吧改革开放各种刚的政策已经来走出去时的中国经济飞速发展
[02493.60-02503.24] 到2010年的时候中国经济两位数的经济增速全世界翻译最快目前经济增速达到两位数的国家没有只有中国一个
[02503.24-02505.32] 对吧那是在2010年左右的时候
[02505.32-02508.40] 所以我们会发现中国那一年不停的搞生产
[02508.40-02511.72] 到了2012年我們進入到新時代的時候
[02511.72-02512.88] 我們會發現
[02512.88-02515.84] 中國已經不再是落後的社會生產了
[02515.84-02518.32] 中國的經濟發展水平好了
[02518.32-02520.36] 進入帶動老百姓的生活有求
[02520.36-02521.48] 是不是更高了
[02521.48-02523.80] 以前我只要吃饱川就可以了
[02523.80-02525.16] 我現在不單單要吃饱
[02525.16-02526.00] 不單單要川
[02526.00-02527.36] 我還要吃得漂亮
[02527.36-02528.40] 吃得漂亮
[02528.40-02529.80] 我還要川得漂亮
[02529.80-02530.76] 吃得美味
[02530.76-02531.04] 對吧
[02531.04-02532.08] 我還要到處去玩
[02532.08-02533.44] 我要去浪漫的拖耳體
[02533.44-02534.88] 去東京去巴黎
[02534.88-02536.28] 現在東京再可不敢去
[02536.28-02537.96] 反而就全國各地去走一走
[02537.96-02543.40] 所以就意味着老百姓需要更加美好的生活需要
[02543.40-02546.00] 但是美好生活需要对应的是什么
[02546.00-02550.60] 美好生活需要对应的就是发展不平衡不充分
[02550.60-02552.88] 所以在这里面我们会发现
[02552.88-02556.24] 从样都是中国的发展
[02556.24-02559.60] 但是在中国发展当中我们会发现一个问题
[02559.60-02564.04] 这是同样都是中国的发展在不同阶段矛盾一味不一样
[02564.04-02566.12] 既然是不同阶段矛盾不同
[02566.12-02567.66] 其實強調也是什麼
[02567.66-02569.04] 也是個性問題
[02569.04-02570.22] 這是第二個
[02570.22-02571.58] 第三一個在這裡
[02571.58-02572.12] 他說了
[02572.12-02573.84] 叫購成15朱德茅頓
[02573.84-02575.60] 已經沒毛頓不同方面
[02575.60-02577.60] 各有不同的性質地為何
[02577.60-02578.26] 作用
[02578.26-02581.36] 這個叫毛頓發展的不平衡性
[02581.36-02582.52] 但是不平衡性
[02582.52-02584.70] 我們會在後面單獨拿出來
[02584.70-02585.74] 給大家說
[02585.74-02589.92] 這是毛頓發展特殊性的三個表現
[02589.92-02593.04] 三個表現其實都在去產出一個問題
[02593.04-02595.04] 这是这个矛盾
[02595.04-02597.52] 它在不同阶段不同事物身上
[02597.52-02599.28] 大家一步一样不一样
[02599.28-02601.36] 所以矛盾特术性的强调是什么呢
[02601.36-02603.76] 矛盾的特术性强调的是
[02603.76-02606.00] 大家都不一样
[02607.44-02609.16] 只要强调大家不一样
[02609.16-02611.84] 强调的是个性问题
[02611.84-02614.56] 这种情况之下都可以叫做什么
[02614.56-02616.96] 都可以叫做矛盾的特术性
[02616.96-02619.60] 所以这个也是它的初期角度
[02619.60-02620.96] 大家标出在旁边
[02620.96-02624.24] 把他和我们刚才所说的普遍性去分开
[02624.24-02625.84] 比如说举简单的例子
[02625.84-02630.56] 他也是会结合案例结合政策设点结合股文来考察我们
[02630.56-02632.36] 比如我们经常说的
[02632.36-02635.36] 叫做梅虚讯雪三分白
[02637.36-02641.92] 梅虚讯雪三分白
[02641.92-02645.36] 后面就画雪却书梅一段相
[02645.36-02651.64] 然后问 体现了什么样的直线原理啊
[02651.64-02654.82] 这时候很多同时说了是啥呀呢
[02654.82-02656.10] 很多都不搭干呀
[02656.10-02659.42] 搭住一下一段相啊这个段还写错了啊
[02659.42-02662.08] 叫美虚性血三分百血去出美一段相
[02662.08-02665.02] 在这里面它强调 强调说美花怎么样
[02665.02-02668.54] 美花相啊 对吧 美花是相的
[02668.54-02671.02] 但是血是什么 白的
[02671.02-02673.82] 那血和美花的特性一味呀 不一样
[02673.82-02676.14] 那強調大家不一樣就是在強調什麼
[02676.14-02678.14] 就在強調個性問題
[02678.14-02679.78] 強調大家不同是個性
[02679.78-02682.62] 那就是在強調矛盾的特殊性
[02682.62-02684.46] 那就在強調矛盾特殊性
[02684.46-02687.42] 所以當然在這裡要明確矛盾的特殊性
[02687.42-02691.34] 他考試的時候就去抓大家一位一樣就可以了
[02691.34-02692.70] 比如說剛才我們說了
[02692.70-02695.34] 叫幸福的家庭都是相似的
[02695.34-02697.18] 我們強調性會這樣都相似的
[02697.18-02698.06] 大家都一樣
[02698.06-02699.74] 普遍性後面還有一句話
[02699.74-02701.18] 叫不幸的家庭
[02701.18-02702.30] 各有各的不同
[02702.30-02704.10] 不信不加成大家都不一样
[02704.10-02705.70] 加加有本难念的经过
[02705.70-02708.58] 但是每一家的经难念的程度不一样
[02708.58-02710.30] 每一家的经的内容不一样
[02710.30-02711.58] 这体现的是啥
[02711.58-02713.90] 大家不一样的个性问题
[02713.90-02716.22] 这个就叫做特殊性
[02716.22-02717.90] 所以在这里面大家明白
[02717.90-02721.30] 这是特殊性原理当中的第一个考察件
[02721.70-02722.50] 我们知道了
[02722.50-02724.38] 既然大家面临的问题都不一样
[02724.38-02726.10] 我们再去解决问题的时候
[02726.10-02727.30] 能一刀切
[02727.30-02728.70] 就不能一刀切了
[02728.70-02732.10] 所以在这里他给出来了一个方法论要求
[02732.10-02736.46] 要求我们在分析问题的时候做到具体问题
[02736.46-02739.34] 具体分析就是不能一刀切
[02741.66-02747.90] 所以比如说我们经常看到的在考证中一票长好的出现了两体才一了
[02751.74-02754.58] 或者我们常说的叫做阴台施教了
[02757.34-02762.06] 还有这是虽然比如说感冒的病人大家都都差不多
[02762.06-02766.14] 但是能不能给一副要用一个打案解决所有问题
[02766.14-02766.62] 不行
[02766.62-02769.42] 所以我们还强调叫做对正相要
[02771.02-02774.62] 或者常说的叫做一把要使开一把所
[02778.30-02779.98] 还有我们在前几年
[02779.98-02783.10] 服品的时候中国的托品工人为什么打得特别好
[02783.10-02786.86] 那么当然提到了六个精准当中的精准服品
[02786.86-02788.94] 那精准服品根据不同的原因
[02788.94-02790.94] 给到不同的扶评政策
[02790.94-02791.94] 不是一刀切
[02791.94-02793.44] 最效果就会非常好
[02793.44-02794.44] 所以他说具体问题
[02794.44-02796.34] 计分析能够体现他的事
[02796.34-02797.94] 你只要看到不一刀切
[02797.94-02799.94] 精准点略点的解决问题
[02799.94-02801.94] 那他都属于我们所说的
[02801.94-02802.94] 可书性
[02802.94-02804.94] 那他都属于我们所说的
[02804.94-02807.94] 这种就是矛盾的普遍性和可书性
[02807.94-02809.94] 说了矛盾的普遍性
[02809.94-02810.94] 特入性这两个概念之外
[02810.94-02813.94] 同时在旁边在标注一个小的细节的点
[02813.94-02816.94] 这是矛盾的普遍性和特入性之间
[02816.94-02817.94] 也有一点的关系
[02817.94-02820.06] 把它寫在書上的另外一個地方
[02820.06-02824.98] 這是普通的特之間的關係
[02824.98-02827.98] 矛盾的普遍性代表的是共性問題
[02827.98-02831.06] 矛盾的特殊性代表的是個性問題
[02831.06-02834.70] 在這裡面共性和個性之間有什麼關係呢
[02834.70-02836.74] 首先這裡面普遍性
[02836.74-02841.18] 它就是把所有它所見到的事務背後的共同原理衝向出來了
[02841.18-02841.70] 對吧
[02841.70-02847.38] 所以在這裡面普遍性是通過特殊性的提純才有的
[02847.38-02853.00] 所以在这里大家就记于话,叫做普遍性预纸特殊性之中。
[02855.34-02862.50] 普遍性预纸或者叫做存在预特殊性之中。
[02865.38-02867.10] 你说老师我理解不了这一块。
[02867.10-02873.06] 你也不要注意话,就在下面闲,另一块就说普遍性,要通过特殊性表现出来。
[02873.06-02884.56] 普遍性通过特殊性,表现出来。
[02884.56-02890.26] 这个地方在考试的时候,容易怎么考呢?
[02890.26-02896.26] 就很容易把谁遇遇,或者是存在于谁之中给高混,
[02896.26-02902.56] 所以你就记得是普遍性存在于特殊性之中,或者叫做普遍性通过特殊性表现出来。
[02902.56-02904.48] 就是普源形在前透明现在后
[02904.48-02905.92] 这个具体的理解
[02905.92-02907.32] 就比如我们常说的
[02907.32-02909.20] 就是白马菲马那个点
[02909.20-02914.00] 白马菲马论其实就是个列了矛盾普边形和透露形之间的关系
[02914.00-02915.04] 我们说马
[02915.04-02917.04] 它是一个普边的概念
[02917.04-02918.68] 因为我们给马下有定义吗
[02918.68-02919.12] 对吧
[02919.12-02920.92] 马四条腿长得很美
[02920.92-02921.76] 待马中
[02921.76-02923.04] 然后日行签理
[02923.04-02923.88] 这种叫签理马
[02923.88-02925.12] 反正这是我们所说的
[02925.12-02926.40] 给马下有一个定义
[02926.40-02927.28] 那我们说了
[02927.28-02928.32] 那么
[02928.32-02929.40] 这样的一个概念
[02929.40-02930.92] 它是通过什么轮出来了
[02930.92-02934.20] 它是通过具体的码的总内表现出来的吧
[02935.20-02938.40] 比如说有白码、红码、黑码、宗码
[02938.40-02942.80] 比如说码这个概念要通过具体的码的总内表现出来
[02942.80-02945.16] 就好比我们所说的水果这个概念
[02945.16-02947.64] 水果它是一个普遍的一个概念
[02947.64-02949.24] 它就是一个定义 对吧
[02949.24-02951.64] 这个水果要通过什么表现出来
[02951.64-02953.80] 你去水果店买水果的时候你进去
[02953.80-02954.92] 老板说来了
[02954.92-02955.76] 你说来了
[02955.76-02956.96] 老板说你要买点啥
[02956.96-02958.08] 你说买点水果
[02958.08-02962.24] 老百姓 下一十个回问你 干啥 问你卖什么样的水果 对吧
[02962.24-02965.12] 你说我卖 橘子香椒 苹果 礼子 礼子 礼子 礼子 礼子 礼子 礼子 礼子 礼子 礼子 礼子 礼子
[02965.12-02971.52] 对吧 那你看 水果 这个概念 就是通过具体的水果的品种表现出来的
[02971.52-02973.96] 也就是水果是一个共性概念
[02973.96-02976.76] 而苹果相交橘子立刻里子里
[02976.76-02978.20] 它是特殊性
[02978.20-02980.72] 那就意味着水果这个概念的普遍性
[02980.72-02983.28] 要通过特殊性来表现出来
[02983.28-02986.24] 我说通知们我们要做一个人
[02986.24-02988.76] 那人他通过什么短线出来
[02988.76-02991.08] 通过男人女人老人小孩
[02991.08-02994.28] 不同年龄多少不同接层的存在表现出来
[02994.28-02994.76] 对吧
[02994.76-02995.84] 所以在这里我们说了
[02995.84-02997.44] 叫普遍性存在于
[02997.44-02999.36] 会预约特殊性之中
[02999.36-03001.36] 或者叫普遍性通过特殊性
[03001.36-03004.88] 表現出來,這一話一定要給它取得清楚
[03004.88-03009.76] 同時我們要知道,普遍整個特殊性該娘,太相對的
[03009.76-03013.00] 他們兩個在一定條件之線
[03014.28-03016.00] 可以轉換
[03017.28-03021.44] 這個點不需要同學特殊經濟,需要特殊經濟的是前面這一話
[03021.44-03026.36] 一定條件像相互轉換,你只需要知道你監獄這句話
[03026.36-03029.20] 且說的是對的就行了,所以在這裏他注意
[03029.20-03032.02] 老师那这杂整比如说这个点
[03032.02-03033.36] 咱们刚才说了水果
[03033.36-03034.84] 水果它是一个共性
[03034.84-03036.44] 是一个普遍性 对吧
[03036.44-03037.96] 而局苹果相遥
[03037.96-03039.68] 它是特殊性
[03039.68-03041.74] 那这是在正常前往这下
[03041.74-03044.24] 如果我现在把它的范围盖了
[03044.24-03045.96] 我给他加一个更大的喊声范围
[03045.96-03048.84] 我说实品或者说是实物
[03048.84-03050.40] 那实品和实物的范围
[03050.40-03051.72] 就相当固款范围了
[03051.72-03053.44] 所以它就是一个上的一概念
[03053.44-03055.68] 所以它就变成了普遍性
[03055.68-03058.56] 而水果是实物的一种具体表现形势
[03058.56-03061.44] 那这时候水果就变成了什么?特殊性
[03061.44-03063.54] 所以你看就水果自身来看
[03063.54-03065.44] 当条件发生变化的时候
[03065.44-03068.30] 它有没有实现普遍性和特殊性的转化呢
[03068.30-03069.60] 是实现了的
[03069.60-03074.12] 所以我们说了它在一定条件之下可以相互转化
[03074.12-03077.80] 这个就是普遍性和特殊之间的关系
[03077.80-03081.24] 到这我们就把矛盾适什么
[03081.24-03083.64] 通过基本属性来查出清楚了
[03083.64-03087.48] 把矛盾有哪些特性通过普遍性和特殊性
[03087.48-03089.48] 给大家来产出清楚了
[03089.48-03090.88] 但是在特殊性当中
[03090.88-03092.88] 咱们还刚才一流了一个小的问题
[03092.88-03094.08] 就是第三个
[03094.08-03095.08] 说特殊性当中
[03095.08-03096.28] 它有一种表现
[03096.28-03097.68] 叫顾成事务的
[03097.68-03098.68] 猪多某顿
[03098.68-03099.68] 就是顾成这个事务
[03099.68-03101.68] 它可能有多个问题
[03101.68-03103.08] 这个叫猪多某顿
[03103.08-03105.68] 已经每个某顿的不同方便
[03105.68-03107.08] 比如说一个事务身上
[03107.08-03108.28] 它有多个面
[03108.28-03111.08] 它们有不同的地位性质合作用
[03111.08-03112.76] 我们把这个称之位叫猪猪
[03112.76-03114.68] 某顿发展的不平衡性
[03114.68-03117.28] 那么接下来就要从某顿的特殊性当中的
[03117.28-03122.28] 第三點來看一下毛頓發展的部評判性到底說的聲啥
[03123.28-03124.18] 我們來看一下
[03124.28-03128.18] 那段毛頓發展的部評判性其實主要體現在兩個方面
[03128.28-03131.68] 第一個在副打的矛盾系統當中
[03131.78-03134.68] 這裡面矛盾就可以畫面出來兩個
[03134.78-03136.28] 一個叫做主要矛盾
[03136.38-03137.98] 一個叫做刺搖矛盾
[03138.08-03140.88] 你說老師我理解不了什麼叫副打的矛盾系統
[03140.98-03142.38] 那就可以給他檢話
[03142.48-03143.58] 就把它理解為
[03143.68-03146.38] 一個事務他面臨多個問題
[03146.38-03150.74] 我们把多个问题就叫做某论系统
[03150.74-03154.66] 把这些多个问题就叫做事物随便宜的某论
[03154.66-03156.46] 这是为了我们做体系检化
[03156.46-03157.22] 你就理解
[03157.22-03159.02] 手朵朵的某论系统就是一个事物
[03159.02-03160.10] 它便宜多个问题
[03160.10-03161.62] 那这多个问题当中
[03161.62-03163.82] 它总有一些问题是非常非常重要的
[03163.82-03165.82] 在这里面就区分出来了
[03165.82-03167.86] 主要某论和策案某论
[03167.86-03170.02] 我们来看一下什么是主要某论
[03170.02-03172.58] 主要某论是只在出多某论当中
[03172.58-03173.86] 就是在多个问题当中
[03173.86-03176.78] 处于支配地位对数发展起到什么作用
[03176.78-03179.46] 绝令作用的矛盾叫主要矛盾
[03179.46-03181.42] 那侧矛盾的概念和它相对
[03181.42-03183.78] 那就是数于同数地位对数发展
[03183.78-03184.86] 不企业
[03184.86-03186.54] 绝对中的就叫做什么
[03186.54-03188.50] 就叫做刺药矛盾
[03188.50-03190.50] 比如说我举个简单的例子
[03190.50-03192.62] 比如对于中国经济的发展
[03192.62-03193.82] 对于中国经济的发展
[03193.82-03196.06] 咱们天天去看各种各样的政策
[03196.06-03197.82] 说了我们搞几位体的建设
[03197.82-03198.38] 同时们
[03199.38-03201.22] 一定要是保舞为体的建设
[03201.22-03207.86] 那唯一提到那种我们强调经济政治文化社会还有什么还有生态
[03207.86-03213.26] 那经济政治文化社会生态这是中国社会发展或国家发展
[03213.26-03214.90] 不能单纯说经济发展啊
[03214.90-03217.46] 叫中国国家发展索面临的问题
[03217.46-03219.86] 那这些问题到那种你觉得哪个最重要
[03220.98-03222.50] 同样都会不愿统的觉得
[03222.50-03223.98] 那当然是经济这种要了
[03223.98-03226.58] 因为我们强调以经济建设为中心
[03226.58-03231.98] 既然經濟是中心 那經濟決定其他幾個方面的發展
[03231.98-03236.78] 那經濟就處在什麼當中啊 就處在主要矛盾當中
[03236.78-03240.22] 經濟就處在主要矛盾當中 那你看當他面臨多了問題的時候
[03240.22-03244.38] 就總有一個問題 它是最為重要的 那這個問題最重要
[03244.38-03248.98] 那我們就要集中力量解決這個問題 那這個就要做什麼 主要矛盾
[03248.98-03252.98] 比如說在人家醫生當中 什麼最重要呢 有很多同學說
[03252.98-03254.26] 金錢最重要
[03254.26-03255.94] 能從家人最重要
[03255.94-03257.14] 要同學認為說
[03257.14-03258.86] 我們的理想信念很重要
[03258.86-03259.70] 等等
[03259.70-03261.30] 都是我們所說的
[03261.30-03263.98] 我們人生當中所面臨的不同的課題
[03263.98-03265.74] 那可能在人生的不同階段
[03265.74-03268.70] 你所面臨的這樣一個需求不同
[03268.70-03270.78] 但它做不過都是為繞著一個點
[03270.78-03272.70] 我們所謂的金錢也好
[03272.70-03274.82] 我們所謂的金錢也好
[03274.82-03275.94] 理想信念也好
[03275.94-03277.98] 侵人跑越好情感需求也好
[03277.98-03280.06] 你想有這些東西的前提
[03280.06-03281.34] 一定是有一個什麼
[03281.34-03283.10] 健康的身體
[03283.10-03285.02] 對於一個人的發展過程當中
[03285.02-03287.10] 那擁有健康的身體
[03287.10-03288.46] 擁有完整的生命
[03288.46-03291.10] 就是我們在這些問題當中所面臨的什麼
[03291.10-03291.78] 主要某個
[03291.78-03293.74] 因為當然沒有一個健康的身體
[03293.74-03295.42] 沒有一個我們所說的
[03295.42-03296.70] 完整的生命的時候
[03296.70-03298.06] 我們所說的經前
[03298.06-03300.98] 我們所說的紙罪金、米、旁有這些東西
[03300.98-03301.98] 都會換為炮影
[03301.98-03303.82] 所以在人生的命體當中
[03303.82-03305.02] 主要某個是什麼
[03305.02-03306.94] 主要某個是生命
[03306.94-03307.42] 對吧
[03307.42-03309.34] 這個就叫做主要某個
[03309.34-03311.18] 你就知道在一些問題當中
[03311.18-03314.02] 提到决定作用的叫做主要矛盾
[03314.02-03315.74] 那这是在一个事务
[03315.74-03317.54] 它在面临多个问题的时候
[03317.54-03319.70] 我们叫做矛盾细股当中
[03319.70-03323.02] 那如果从这个事务自身来看呢
[03323.74-03324.74] 就是我们所说的
[03324.74-03326.42] 不在一个矛盾细股当中
[03326.42-03328.10] 而就一个事务自身来看
[03328.10-03330.66] 我们就以矛盾来说
[03330.66-03331.90] 那这个矛盾身上
[03331.90-03333.70] 它有不同的方便
[03333.70-03337.06] 我们把这个方便就画很出来了矛盾的主要方便和
[03337.06-03338.06] 测要方便
[03338.06-03340.34] 老老是我在这里稍微有一张秘乎
[03340.34-03341.18] 你不要没关
[03341.18-03342.62] 比如说咱们刚才说了
[03342.62-03343.74] 一个事物它面灵
[03343.74-03344.54] 诸多某个
[03344.54-03346.78] 我们是在某顿系统当中
[03346.78-03348.78] 我们话分出来了叫个什么呢
[03348.78-03350.50] 叫做主要某顿
[03352.34-03353.66] 还有我们所说的
[03353.66-03354.78] 刺药某顿
[03354.78-03356.46] 那这是我们从
[03356.46-03358.78] 一个事物它的整体来看
[03358.78-03359.18] 对吧
[03359.18-03360.78] 有主要某顿策某顿
[03360.78-03362.38] 但是每一个某顿身上
[03362.38-03363.70] 它都有不同的面
[03363.70-03365.26] 比如说主要某顿身上
[03365.26-03367.06] 有主要方面
[03367.06-03369.18] 也有刺药方面
[03370.34-03374.66] 而刺有矛盾身上也有不同的方面
[03374.66-03376.26] 也分主要方面
[03376.26-03379.26] 也分我们所说的刺要方面
[03379.26-03383.02] 所以刚才是从系统当中来的
[03383.02-03385.58] 现在就从某一个矛盾自身来看
[03385.58-03389.38] 他身上又哪些我们所说的不同的体现
[03389.38-03391.62] 这个就要做主要方面的冲方便
[03391.62-03393.26] 主要方面是啥呢
[03393.26-03396.06] 他说是在一个矛盾当中去支配地位的
[03396.06-03397.06] 叫做主要方面
[03397.06-03398.50] 而我们所说的
[03398.50-03400.14] 刺要方面是处在
[03400.14-03401.54] 被制配地位的
[03401.54-03403.38] 那这里面我们来分析一下
[03403.38-03404.94] 举个简单的例子来说
[03404.94-03406.30] 讲一个小故事
[03406.30-03408.90] 就叫做中山国人养猫的故事
[03408.90-03409.86] 就相传
[03409.86-03413.34] 中山国这个国家就比较擅长养猫
[03413.34-03414.86] 而当时有一个人
[03414.86-03415.98] 他是做过人
[03415.98-03417.14] 这个中国人
[03417.14-03418.22] 他家里闹后子
[03418.22-03419.26] 都没话说
[03419.26-03420.26] 就是闹后子
[03420.26-03421.58] 然后就是用
[03421.58-03423.58] 咱们文艾一点就是有数换
[03423.58-03425.46] 然后就给这个照过人折腾完了
[03425.46-03426.38] 就是只做过人
[03426.38-03427.54] 他加本来就很球
[03427.54-03430.26] 然后这个号子承骗客来客去
[03430.26-03432.16] 这他家能客的东西都也客了
[03432.16-03435.06] 两是什么床头床就啊都也客了
[03435.06-03437.42] 他想我各种各样的方法去除数
[03437.42-03439.42] 就像把这个号子去给个休滅掉
[03439.42-03441.66] 但是一直都不得要领
[03441.66-03442.86] 这是我努力了
[03442.86-03444.34] 但是好像没有什么太大的效果
[03444.34-03445.78] 仍突然有一天他有人说
[03445.78-03447.10] 当然那你要是这样的话
[03447.10-03449.18] 你不如去中山国打天下
[03449.18-03452.34] 所以他们的地方有人养那个有一个小动物
[03452.34-03453.46] 抓楼属客行了
[03453.46-03454.66] 所以你要不去要一个
[03454.66-03456.74] 然后当时他就走到了这个中山国
[03456.74-03457.62] 然后跟人一说
[03457.62-03458.30] 你说啊
[03458.30-03459.94] 你说这个东西别了是猫啊
[03460.10-03461.98] 如果我们这对对对是有这个东西
[03461.98-03463.22] 他说你也要吗
[03463.22-03463.78] 他是我要
[03463.78-03465.94] 他是我家闹耗闹的实在太厉害了
[03466.06-03466.94] 在这样下去的话
[03466.94-03468.38] 我都感觉我就活不下去了
[03468.54-03469.74] 然后就重上我说
[03469.74-03470.50] 没问题
[03470.50-03472.14] 我可以把这个猫送你一只
[03472.14-03473.26] 但是咱们仇化
[03473.26-03474.66] 说在前面
[03474.78-03475.54] 这个猫呢
[03475.54-03477.62] 他确实是抓老鼠的能手
[03477.74-03478.86] 但他有个猫病
[03478.98-03481.38] 就是他喜欢吃鸡
[03481.50-03482.78] 你看你这样的话
[03482.86-03483.58] 你还要吗
[03483.58-03484.58] 当时那人都说了
[03484.58-03485.50] 说没吃鸡了
[03485.50-03485.70] 对吧
[03485.70-03486.50] 吃人都醒
[03486.50-03489.32] 你再看我现在这种情况能不能养的了几呢
[03489.32-03491.10] 然后呢他就说没问题
[03491.10-03493.54] 说我只要给他暴雪那我就养着他
[03493.54-03496.48] 于是这个照顾人就把这个摸啊就暴回家了
[03496.48-03498.74] 摸摸一下之后呢没出一个星期
[03498.74-03501.22] 家里的老鼠全都没有了
[03501.22-03503.30] 就是家里的鼠话问题全都解决了
[03503.30-03504.94] 但这个时候出现另一个问题
[03504.94-03507.22] 就是家里的机也没有了
[03507.22-03508.58] 然后这个时候他儿子跟他说说
[03508.58-03509.42] 爸你看
[03509.42-03511.18] 就整个啥啊也回来啊
[03511.18-03512.42] 把家里的机都吃了
[03512.42-03514.22] 你看赶紧的把这东西热了吧
[03514.22-03516.46] 他把这个呢都是小孩牙的董屁啊
[03516.46-03518.36] 他說這個猫啊
[03518.36-03520.80] 他只要是在咱們家裡還抓老鼠
[03520.80-03523.10] 你別管他是吃雞還是吃人
[03523.10-03524.26] 還是努家具
[03524.26-03526.60] 他都是一隻好猫
[03526.60-03529.14] 那這裡面就用發現出現了一個問題
[03529.14-03530.54] 這是對於這個猫身上
[03530.54-03531.94] 他是為有多個方面的
[03531.94-03534.14] 我們就可以把這個猫看成一個什麼
[03534.14-03536.18] 當然一個單一的猫頓
[03536.18-03538.42] 這個猫身上的方面有哪些呢
[03538.42-03539.42] 抓老鼠
[03539.78-03540.70] 吃雞
[03540.70-03542.26] 努家具吃人
[03542.26-03542.62] 對吧
[03542.62-03544.46] 你看這四個方面能中
[03544.46-03545.90] 決定他是好猫的
[03545.90-03546.90] 是因为他干嘛
[03546.90-03548.58] 他抓老鼠
[03548.58-03549.38] 你看
[03549.38-03551.02] 抓老鼠这个方面
[03551.02-03552.22] 就属于他的什么
[03552.22-03553.46] 主要方面
[03553.46-03554.66] 只要他抓老鼠
[03554.66-03556.26] 其他面对的方面都可以怎么
[03556.26-03557.58] 都可以先放一放
[03557.58-03558.38] 所以在这里
[03558.38-03559.90] 他是不是处在支配地位的
[03559.90-03561.26] 而刚才什么
[03561.26-03562.02] 持机
[03562.02-03563.22] 抓家具吃人
[03563.22-03564.14] 他就属于什么
[03564.14-03565.18] 刺药方面
[03565.18-03566.66] 所以在这里我们会发现
[03566.66-03568.10] 对于这个摩的定性
[03568.10-03569.34] 他是一直好摩
[03569.34-03570.30] 就是因为
[03570.30-03571.46] 是有什么决定的
[03571.46-03574.54] 是有主要方面所决定的
[03574.54-03576.78] 所以主要方面決定了事務的啥呢
[03576.78-03577.94] 再出上化一個詞
[03577.94-03579.78] 把這個詞和主要方面聯絡一塊
[03579.78-03583.62] 這是矛盾的主要方面決定了事務的心質
[03583.62-03584.74] 所以在這裡面
[03584.74-03587.98] 大家一定要注意一下矛盾主要方面決定了事務的心質
[03587.98-03590.78] 這是給這個事務定性是好示範
[03590.78-03593.26] 如果這個事務定性好壞的時候
[03593.26-03596.42] 它就一定在考察主要方面
[03596.42-03598.10] 比如說我們國家來看
[03598.10-03599.62] 我們國家就叫
[03600.14-03601.42] 各自為主體的
[03602.14-03604.22] 多種所知情共同發展的
[03604.22-03605.06] 受主意国家
[03605.06-03605.50] 对吧
[03605.50-03607.90] 而且我们国家在整个政治制度上
[03607.90-03609.58] 实行一国两制
[03609.58-03612.14] 在大陆主体部分实行的事什么
[03612.14-03613.18] 实行的事
[03613.18-03614.22] 受主意制度
[03614.22-03615.94] 在港澳实行的事
[03615.94-03616.78] 自分主意制度
[03616.78-03618.74] 这时候就有很多的西方国家
[03618.74-03619.90] 就看中国不设严
[03619.90-03620.54] 养红卖
[03620.54-03621.34] 在发展了好了
[03621.34-03622.54] 它只能都养红
[03622.54-03623.18] 然后这有时候
[03623.18-03624.90] 会抛激中国的政治发展
[03624.90-03626.30] 以及中国的民主政治
[03626.30-03627.26] 抛激的理由是啥
[03627.26-03627.78] 船呀
[03627.78-03628.66] 你看你中国
[03628.66-03629.98] 都会这么努力制度了
[03629.98-03631.02] 怎么能叫做
[03631.02-03632.06] 受主意国家呢
[03632.06-03634.18] 这时候我们就应该对它怎么样
[03634.18-03635.22] 吃之一比
[03635.22-03636.70] 没文化没学过马克思
[03636.70-03637.58] 所以你又不懂
[03637.58-03638.74] 因为我们会发现
[03638.74-03641.42] 在整个中国政治度发展当中
[03641.42-03644.30] 大陆实行的是社会主义制度
