[00000.00-00005.38] 聊件了新法的構成以及他每個內容如何去考察之後呢
[02446.70-02449.06] 都与全继续他相当的形式处罚
[02449.06-02450.54] 但是在这里面我们说了
[02450.54-02452.64] 如果是犯清罪三个以下的不追究
[02452.64-02454.12] 但是大助理下
[02454.12-02455.98] 他还有一种立法就是国家
[02455.98-02457.24] 工作人员会军人
[02457.24-02459.36] 因为你的身份相关是比较特殊的
[02459.36-02461.24] 所以只要你在境外犯罪
[02461.24-02463.44] 我管理犯的是清罪还是重罪
[02463.44-02464.10] 怎么样
[02464.10-02465.90] 一律事用我管的刑法
[02465.90-02467.20] 一律事用我管的刑法
[02467.20-02468.66] 所以在这里面大助理下
[02468.66-02470.26] 这是三个细节
[02470.26-02472.42] 所以主人管想考虑节情的题目
[02472.42-02474.14] 更容易考在他的概念上
[02474.14-02476.74] 你就知道生死我的人死我的鬼
[02476.74-02479.98] 那这个点只要你是我们国家的国籍
[02479.98-02482.06] 我们国家的公民都是用中国的行法
[02482.06-02483.82] 只要在这里面可能会有一些
[02483.82-02486.26] 我们所说的在室用上的一些透出情况
[02486.26-02487.74] 大家要能去去分
[02487.74-02492.06] 这两个点是比较喜欢靠实际型的变息的
[02492.06-02494.14] 这个所谓的变息大家就注意一下
[02494.14-02496.22] 它就要么就是靠判断
[02496.22-02498.10] 要么就是靠选项
[02499.14-02500.02] 大家注意一下
[02500.02-02501.82] 这是第二个是人管想
[02501.82-02503.42] 像来说比较简单
[02503.42-02505.74] 第三个就要做保护管想
[02505.74-02509.02] 保護管理要注意還是在我們國家的領域費
[02509.02-02511.36] 但這時候不針對的是我們國家的公民
[02511.36-02512.10] 而是什麼
[02512.10-02513.78] 而針對是外國人犯罪
[02513.78-02515.66] 外國人在境外犯什麼罪
[02515.66-02520.28] 外國人在境外對中國公民或者是我們的國家犯罪
[02520.28-02522.58] 這個是他的使用條件
[02522.58-02524.62] 這種情況之下我們就啟動什麼
[02524.62-02527.10] 保護管理要保護保護使用
[02527.10-02529.06] 只能是保護我們國家的公民
[02529.06-02530.50] 所以在這裡面大家注意一下
[02530.50-02532.42] 這是保護管理要的第一個條件
[02532.42-02536.34] 就是外国公民针对的是我国公民的犯罪
[02536.34-02538.42] 比如说你看我们所说的什么
[02538.42-02540.70] 我们所说的这个张英雄案
[02540.70-02541.18] 对吧
[02541.18-02542.74] 那大家都知道这个案件
[02542.74-02544.90] 到现在一直都是一个学而为主的案件
[02544.90-02546.90] 我们都比较痛心对不对
[02546.90-02548.14] 那你看像这样的案件
[02548.14-02551.18] 就是外国人在领域外针对中国公民
[02551.18-02553.30] 或者是国家犯罪的
[02553.30-02554.62] 那如果是这种情况
[02554.62-02556.06] 我们先不看后面的条件
[02556.06-02557.50] 我们先来看一下这个条件
[02557.50-02558.82] 那我们国家
[02558.82-02561.38] 是不是可以使用我们国家的行法对象处法
[02561.38-02563.18] 如果他在我們國家的這個
[02563.18-02563.90] 領域方面
[02563.90-02566.18] 真的會在我們國家的司法控制之下的話
[02566.18-02567.18] 是不是可以的
[02567.18-02568.78] 這種情況之下就叫做
[02568.78-02571.94] 外國人對中國公民或者是國家犯罪
[02571.94-02572.98] 這是第一個條件
[02572.98-02574.30] 第二個條件是什麼呢
[02574.30-02576.98] 要求他犯眾罪才可以
[02576.98-02578.98] 第二個叫犯眾罪的
[02578.98-02580.18] 那請惹和眾罪
[02580.18-02583.46] 這個時候就是行三年和以上會下
[02583.46-02586.38] 所以最低行在三年以上的
[02586.38-02588.58] 所以第二個要求是犯眾罪
[02588.58-02589.78] 第三一個是什麼呢
[02589.78-02592.18] 第三个小群人保护管 想原则
[02592.18-02593.98] 他一定是符合三条件
[02593.98-02596.58] 第三个他就是要双重犯罪原则
[02602.18-02604.78] 第三个就是双重犯罪原则
[02604.78-02606.18] 双重犯罪就意味着
[02606.18-02608.18] 如果在我们国家的刑法规定
[02608.18-02610.98] 这个外国人针对我无公民实行了一个行为
[02610.98-02612.98] 在咱们国家的刑法规定是犯罪的
[02612.98-02615.18] 但是在人家的刑法规定是什么
[02615.18-02616.58] 是不犯罪的
[02616.58-02618.98] 那在這種情況之下我們怎麼辦
[02618.98-02621.02] 沒有辦法認定它是犯罪
[02621.02-02624.58] 因為我們要求其中保護管學院者要求什麼
[02624.58-02627.82] 雙重犯罪院者就是犯罪的法律
[02627.82-02630.02] 也認為它做的這件事是犯罪
[02630.02-02631.30] 那這種情況之下
[02631.30-02633.26] 我們其中是要保護管學院
[02633.26-02636.46] 所以保護管學院是有三個條件的
[02636.46-02639.54] 第一個在領域外外國人針對國國公民
[02639.54-02641.86] 那我怎麼樣能夠保護到國國公民呢
[02641.86-02643.18] 第一個反重罪
[02643.18-02646.34] 第二個犯罪的也認為它是犯罪的
[02646.34-02651.46] 那这种情况之下,我们就可以启动保护关销,我们就可以启动保护关销
[02651.46-02654.54] 所以这是第3个改主也保护关销一样
[02654.54-02656.82] 第4一个就叫做普遍关销了
[02656.82-02660.66] 普遍关销相对来说会比较简单,就是我国
[02660.66-02665.18] 地坚或者是参加的国际条约,这种情况之下就叫做普遍关销
[02665.18-02668.10] 所以普遍关销针论什么问题呢,节目旁边标语一下
[02668.10-02669.90] 针论就是国际犯罪问题
[02673.74-02675.78] 针论的是国际犯罪问题
[02675.78-02677.58] 那針對的國際範圍問題
[02677.58-02678.98] 比如說我們所說的
[02678.98-02680.38] 接持黃空氣
[02680.38-02681.66] 跨國範圍
[02681.66-02682.82] 跨國管沒人口
[02682.82-02684.46] 海道種族業決洗衣服
[02684.46-02685.38] 恐怖活動等等
[02685.38-02687.50] 這是不是都屬於我們所說的什麼
[02687.50-02688.46] 國際範圍
[02688.46-02690.70] 它屬於危害人類共同立的反對
[02690.70-02692.02] 那危害人類共同立的
[02692.02-02694.02] 範圍我們國家必然可以管
[02694.02-02695.94] 所以普遍管下一般請問一下
[02695.94-02696.62] 針對的是什麼
[02696.62-02697.86] 針對的是我們所說的
[02697.86-02699.34] 國際範圍的問題
[02699.34-02700.86] 那在普遍管下使用的時候
[02700.86-02701.62] 大家注意一下
[02701.62-02703.10] 那如果說他
[02703.10-02704.34] 因為跨國範圍
[02704.34-02705.98] 被我们国家司法控制了
[02705.98-02707.06] 这种情况之下
[02707.06-02709.30] 他在我国的领域外
[02709.30-02710.46] 化国泛毒
[02710.46-02713.78] 然后经过我们国家被我们国家得出了
[02713.78-02714.58] 这种情况之下
[02714.58-02716.26] 对他使用的是美国的法律
[02716.26-02718.18] 对他使用的是我们国家的法律
[02718.18-02719.62] 而不是使用的是什么
[02719.62-02721.26] 地结会已经参加的条约
[02721.26-02722.10] 所以在这里面
[02722.10-02722.82] 大家注意
[02722.82-02724.74] 这是我们所说的普遍管项
[02724.74-02726.06] 所以普遍管项
[02726.06-02727.50] 相对来说烤得比较少
[02727.50-02729.22] 他一般球还会给你一些
[02729.22-02730.82] 共同危害人类的犯罪
[02730.82-02731.78] 你能定义出来
[02731.78-02732.98] 他属于普遍管项
[02732.98-02733.78] 就OK了
[02733.78-02735.50] 这个就是我们所说的
[02735.50-02739.98] 有关于所提到的新法生的空间范围
[02739.98-02741.10] 新法生的空间范围
[02741.10-02743.18] 这个就叫做普遍管载人责
[02743.18-02745.18] 但这里面有一个小的点
[02745.18-02748.50] 就是我们现在在空间效率当中给大家去讲的
[02748.50-02750.18] 数帝原则也好
[02750.18-02751.70] 数人原则也好
[02751.70-02752.90] 保护管载也好
[02752.90-02754.02] 已经普遍管载好
[02754.02-02755.18] 它强调的都是什么
[02755.18-02756.62] 都是犯罪行为
[02756.62-02756.86] 对吧
[02756.86-02759.10] 这是它的犯罪行为会犯罪结果
[02759.10-02760.06] 有一项
[02760.06-02761.38] 可能发生在中国
[02761.38-02762.74] 那我们就使用数帝
[02762.74-02765.26] 如果是我国公民在境外反这个话
[02765.26-02766.76] 生作的人使作的贵
[02766.76-02768.36] 属于我的人主规我管
[02768.36-02770.30] 所以其中我属于人不管下原则
[02770.30-02772.08] 那这时候针对了都是他的什么
[02772.08-02773.70] 都是他的犯罪行为
[02773.70-02774.90] 但是有一种情况
[02774.90-02777.08] 就是在刑法的干出当中
[02777.08-02778.60] 他其实提到了一个情况
[02778.60-02781.16] 这是我们国家对于外国的形式审判
[02781.16-02782.82] 到底要不要承认的问题
[02782.82-02783.90] 那我答应注意一下
[02783.90-02786.44] 我们国家对于外国的形式审判
[02786.44-02788.18] 他属于我是分析框的
[02788.18-02789.82] 我把这个点做一个区分
[02789.82-02791.26] 好吧 你打他写的旁边
[02791.26-02793.58] 他有的时候也会考一个
[02793.58-02796.18] 选项 或者是考一个判断体
[02796.18-02799.62] 就是对外国形成审判的消几层任
[02805.42-02808.62] 对外国形成审判的消几层任
[02808.62-02810.90] 他可能会出现一个什么情况
[02810.90-02813.70] 比如说我们国家的公民
[02813.70-02816.50] 我们国家的公民在国外犯罪了
[02816.50-02818.98] 我们国家的公民在境外犯罪的话
[02818.98-02820.38] 这有时候是用的是什么
[02820.38-02821.86] 是用的是使人管他人做
[02821.86-02823.22] 因为咱们能管他
[02823.22-02825.58] 我们国家的公民在经外犯罪之后
[02825.58-02828.34] 人家国家也认为他犯了比较严重的罪
[02828.34-02830.18] 然后把中国公民抓起来了
[02830.18-02831.62] 抓起来之后怕了五年
[02831.62-02833.50] 那你这在于他怕了五年之后
[02833.50-02835.30] 放出来他回国了
[02835.30-02837.02] 那他回国了之后
[02837.02-02839.74] 我们国家还要不要再犯他一次呢
[02839.74-02841.70] 因为他属于我们国家的人
[02841.70-02843.58] 那他在经外犯罪我们就有全管他
[02843.58-02844.62] 生活过行法
[02844.62-02847.14] 那他回来之后到底还要不要再犯一次
[02847.14-02849.46] 國外的形式審判我們到底認不認
[02849.46-02852.26] 這有時候就會涉及到對外國形式審判的什麼
[02852.26-02853.94] 消極承認
[02853.94-02856.02] 大家注意一下重消極承認分成什麼呢
[02856.02-02857.30] 第一種情況就是
[02857.30-02859.22] 他只是在外國怕了
[02860.50-02863.22] 寫在旁邊就是境外國審判的
[02865.94-02870.50] 我國人可之就
[02872.66-02874.26] 只是說他那邊怕了
[02874.26-02876.74] 比如說在國外怕了什麼
[02876.74-02880.32] 怕了他犯A罪在国外怕了他犯B罪
[02880.32-02882.64] 他只是怕了但是没有给他执行创造
[02882.64-02884.88] 那这种情况之下你从国外回来了
[02884.88-02887.46] 我们人可以追究把你抓起来然后给你关起来
[02887.46-02887.94] 对吧
[02887.94-02890.44] 这有时候是经外国审判的人可追究
[02890.44-02894.14] 但是如果他在外国当中什么已经受过刑法的
[02896.44-02898.94] 他的外国判了不僅判了而且受到了什么
[02898.94-02900.24] 而且受到了刑法
[02900.24-02903.08] 那如果已经受过刑法的政权怎么样
[02903.08-02906.04] 我们人可追究只不过是可以面除
[02906.04-02908.04] 或者是減轻而已
[02910.96-02913.16] 可以免除或者是減轻
[02915.56-02917.16] 这个地方大家注意一下
[02917.16-02917.80] 要去分
[02917.80-02920.40] 它到底是只是单纯的是审判的它
[02920.40-02922.60] 还说它已经经过了形态
[02922.60-02924.52] 这种情况之下可能是不太一样
[02924.52-02927.04] 这个是对于外国形判的消息扯任
[02927.04-02929.40] 这个点它容易成为一个一会小的点
[02929.40-02931.64] 出现在选丢当中大家要明确
[02931.64-02935.68] 这个就是我们所说的五官员空间效率的问题
[02935.68-02939.26] 这是第一个点 大家明确 第一个 数低管轢阴子
[02939.26-02941.16] 对我的地盘 只要听我的
[02941.16-02943.32] 第二个 就是在我的地盘以外的
[02943.32-02947.20] 可能是使用数人管轢 保护管轢阶 普遍管轢阶子
[02947.20-02951.36] 这是他空间效率 行法在哪些地方使用
[02951.36-02953.32] 那了解了他在哪些地方使用之后
[02953.32-02957.04] 那我来看一下 行法 什么时候发生效率
[02957.04-02960.16] 这有时候是说 睡到行法的时间效率问题
[02960.16-02962.76] 在行法的时间效率低从考虑大致一下
[02962.76-02965.30] 新法的时间效率包括三方面的内容
[02965.30-02965.98] 先标注出来
[02965.98-02968.56] 这三方面内容是一个医生级的
[02968.56-02970.76] 实际型的点代来标注
[02970.76-02972.82] 新法的形法
[02972.82-02974.04] 你调总说新法
[02974.04-02977.56] 新法的时间效率指的是新法的生效时间
[02977.56-02978.86] 失效时间
[02978.86-02982.40] 以及对新法生效之前所发生的行为是否有什么
[02982.40-02983.64] 数据力的问题
[02983.64-02985.68] 所以在新法的时间效率上
[02985.68-02987.56] 第一个就是它什么时候生效
[02987.56-02990.08] 第二个就是相同规定什么时候失效
[02990.08-02992.52] 第三一个就是它的数据力问题
[02992.52-02999.00] 那数据利问题指的是对刑法生效前所发生的行为能否释用现在的新刑法的问题
[02999.00-03000.32] 举个简单的例子吧
[03000.32-03001.80] 比如说我
[03002.36-03004.28] 你看我就是讲公号配宣的
[03004.28-03005.84] 我就讲公号配宣的假设
[03005.84-03007.72] 我在公号配宣的那种我想要大家
[03007.72-03008.48] 都上案
[03008.48-03009.68] 于是我做理解什么事
[03009.68-03014.08] 假设我在2015年的年初
[03014.40-03015.16] 别年初了
[03015.16-03016.84] 2015年有什么考试
[03016.84-03019.32] 2015年的假设吧
[03019.32-03020.68] 三月份大家都知道
[03020.68-03022.96] 是一旦位的公告一般都出现在上了年
[03022.96-03025.36] 我在2015年的3月份的组织
[03025.36-03026.48] 大家考试作弊
[03028.76-03030.20] 组织大家考试作弊
[03030.20-03032.28] 大家都知道现在有考试作弊对吧
[03032.28-03035.20] 我家2015年的3月组织大家考试作弊
[03035.20-03037.92] 我给大家每一程高级的这种设备
[03037.92-03040.68] 然后我就告诉你就待在若理解释不出来
[03040.68-03043.16] 然后你们最考试上的时候就像做法一样
[03043.16-03045.00] 给我读读读读我就能听到
[03045.00-03046.28] 我是告诉你怎么做
[03046.28-03049.88] 这时候是我家2015年的3月组织大家考试作弊
[03049.88-03052.88] 但是我们国家2015年10月1号
[03054.24-03060.72] 2015年10月1号在新的形法修在安当中就增加了考试作弊罪
[03062.60-03065.48] 增加了考试作弊罪
[03065.48-03069.08] 问题就是在于你看同样都是在2015年
[03069.08-03073.96] 2015年11月的考试作弊罪是否是用于
[03073.96-03077.12] 我2013年3月左右考试作弊的行为
[03077.12-03080.40] 这个时候就叫做什么问题,就叫做数据利稳体
[03080.40-03084.80] 原则上达住一下,原则上法律没有数据力
[03084.80-03088.48] 你说老师为什么他不能数据到3月1月3月你没有法律出台
[03088.48-03092.52] 那我哪知道你法律什么样,如果你所有的刑法都就数据利的话
[03092.52-03094.80] 那晚宰了,那我现在做什么事
[03094.80-03099.72] 我都来小心警训,我都在想国家以后会不会摆我一道,或者搞我这么一下的
[03099.72-03103.48] 我是不是都在小心警训,所以你看出于法律的权威性
[03103.48-03106.16] 你法無名文規定 其自由
[03106.16-03108.00] 你都沒有規定我不能做什麼
[03108.00-03108.92] 那這種情況之下
[03108.92-03109.64] 我就是自由的
[03109.64-03111.04] 我就想怎麼做這種做
[03111.04-03112.24] 我投入考作品子
[03112.24-03114.64] 最多幾乎我相當行政處法
[03114.64-03116.48] 因為你沒有想法的什麼
[03116.48-03117.28] 名文規定
[03117.28-03120.88] 我不知道法不可知則微不可撤
[03120.88-03121.84] 這種情況之下
[03121.84-03123.40] 問題可就是太大了
[03123.40-03125.12] 所以你看原則上
[03125.12-03126.56] 法速速擊技王
[03126.56-03129.28] 原則上是禁止法律速擊技王的
[03129.28-03131.96] 就是你後來出台的法律
[03131.96-03136.30] 是不能原走上是不能追究我以前的行为的
[03136.30-03138.06] 所以在这里它的数据力问题
[03138.06-03141.50] 大家明确在旁边标注意一下原走上禁止
[03142.70-03144.30] 法不可知为不可测
[03144.30-03146.50] 我只有时候我根本都不知道你发生了什么
[03146.50-03148.04] 那这你不可能说
[03148.04-03149.20] 莫屈有给我按一个
[03149.20-03149.54] 对吧
[03149.54-03151.68] 所以在这里就做原走上禁止
[03155.48-03157.72] 叫做原走上禁止
[03157.72-03159.20] 但是有没有例外呢
[03159.20-03160.60] 大家注意一下有例外
[03160.60-03161.88] 例外是什么情况
[03161.88-03167.14] 另外这个情况就是如果你的数据机构对于被告人是有利的
[03167.14-03168.36] 我们就使用是吧
[03168.36-03169.56] 就可以数据机构
[03169.56-03172.96] 所以叫做不禁止有利于被告人的数据
[03175.68-03181.30] 不禁止有利于被告人的数据
[03184.12-03187.10] 也就是说假设新的形怀修正案出台之前
[03187.10-03188.96] 我做这个行为怕五年
[03188.96-03190.44] 但新的形劃出了
[03190.44-03190.96] 出了之後
[03190.96-03191.66] 我做這個行為
[03191.66-03192.36] 他3年
[03192.36-03193.60] 用3年還是用年
[03193.60-03195.56] 出於保護人權的考量的話
[03195.56-03196.60] 他3年
[03196.60-03197.00] 對吧
[03197.00-03198.40] 用後面這個心的
[03198.40-03200.20] 所以原則上是禁止
[03200.20-03201.56] 但是不禁止什麼
[03201.56-03202.92] 不禁止有率被高的
[03202.92-03203.68] 所以你看
[03203.68-03204.60] 原則上禁止
[03204.60-03207.16] 就是新法不用於以前的行為
[03207.16-03209.80] 所以原則上是從丟的
[03209.80-03210.64] 但是如果說
[03210.64-03211.88] 他對於我有利的話
[03211.88-03212.76] 那這時候可以用
[03212.76-03213.80] 那這時候叫做什麼
[03213.80-03215.36] 叫做從輕
[03215.36-03217.12] 所以數級利的問題
[03217.12-03219.12] 总结起来就叫做什么原则呢
[03219.12-03221.32] 从旧监从轻原则
[03221.32-03222.68] 从旧监从轻原则
[03222.68-03224.52] 所以在这个地方大家要注意
[03224.52-03227.00] 这可能会考一个理解形的题目
[03227.00-03228.96] 就是问它能不能俗一键的问题
[03228.96-03230.00] 就把我注意一个
[03230.00-03232.72] 俗一键的问题是从旧监从轻
[03232.72-03233.72] 从旧监从轻
[03233.72-03236.32] 这个就是形法它是用的什么
[03236.32-03237.32] 时间效率
[03237.32-03238.32] 大家要注意
[03238.32-03241.12] 好 那到这我们就把整个形法
[03241.12-03244.56] 它的一个基本的概数给大家在这里讲完了
[03244.56-03248.40] 可能相对来说讲的重复强调的地方比较多
[03248.40-03250.00] 但是我还是老样子
[03250.00-03254.80] 就是我重复强调的地方还是希望同时能够给他备住几乎的地方
[03254.80-03257.00] 好 那到这种就把整个那种讲完了
[03257.00-03259.00] 咱们列一点事一时
[03259.00-03263.16] 说来看一下底体说下令关于形法效力说法错误的是
[03263.16-03265.28] 那形法的效率无非就是什么
[03265.28-03267.68] 空间效率加上时间效率
[03267.68-03270.36] 而我说了空间效率和时间效率的话
[03270.36-03273.88] 那一般请来在这儿就会考理解行的题目
[03273.88-03275.72] 那我們來看一下大家這裡他說的
[03275.72-03277.28] 說第一個在中國領域外
[03277.28-03279.28] 那領域外指定不是用什麼原則
[03279.28-03281.08] 指定不能使用數據原則了
[03281.08-03281.92] 看後面說了
[03281.92-03283.88] 說一趟形法
[03283.88-03285.56] 英當追究形式責任
[03285.56-03287.72] 已經經過外國審判的
[03287.72-03289.72] 不能在按照我國的形法追究嗎
[03289.72-03291.40] 在領域外已經審判了
[03291.40-03292.52] 可不可以追究
[03292.52-03293.72] 可以追究
[03293.72-03295.00] 已經處罰的
[03295.00-03297.08] 可以事情況重新和簡形處罰
[03297.08-03299.04] 我們國家要司法獨立
[03299.04-03299.96] 所以你看一下
[03299.96-03302.20] 這裡面說外國審判的消擊承認
[03302.20-03304.00] 已經審判的可以追究
[03304.00-03305.80] 所以A選項說法錯誤
[03305.80-03307.64] B選項說外國人
[03307.64-03308.36] 偶外國人
[03308.36-03309.76] 中國領域外阿領域外
[03309.76-03312.08] 對中國公民對咱們國家喚射了
[03312.08-03313.48] 這時候同邊想一下
[03313.48-03316.68] 外國人在中國領域外對中國公民反對
[03316.68-03318.56] 那我們要不要保護我們國家公民
[03318.56-03320.44] 當然要所以其中什麼原則
[03321.00-03322.92] 保護管下原則
[03322.92-03324.08] 保護管下原則
[03324.08-03325.40] 我們說了什麼情況之下
[03325.40-03327.00] 保護他第一個
[03327.00-03328.60] 犯眾罪的保護他
[03328.60-03330.12] 犯眾罪的是什麼
[03330.12-03332.12] 三年以上还是一下
[03332.12-03333.12] 三年以上
[03333.12-03334.12] 第二稿就是什么
[03334.12-03336.12] 雙重分子原则
[03336.12-03338.12] 雙重分子原则就是在翻摘地里
[03338.12-03339.12] 认为是分罪的
[03339.12-03340.12] 我们才能够保护它
[03340.12-03341.12] 所以看一下
[03341.12-03343.12] 三年以上OK没问题
[03343.12-03345.12] 第二稿 翻摘地法律不受出法的
[03345.12-03346.12] 出外
[03346.12-03348.12] 一位必须在翻摘地法律
[03348.12-03349.12] 也是什么
[03349.12-03351.12] 在翻摘地也是被人的有罪的
[03351.12-03352.12] 所以这个地方
[03352.12-03353.12] 它可能稍微有点肉
[03353.12-03354.12] 但是它绝对不能
[03354.12-03356.12] 所以必须想保护原则对不对
[03356.12-03357.12] 保护原则是对的
[03357.12-03359.12] 所以必须想收法正确
[03359.12-03359.84] 正確
[03359.84-03361.32] 思考一下來看一下
[03361.32-03363.20] 犯罪行為或者是結果
[03363.20-03366.20] 有一項發生在領域內就可以
[03366.20-03368.12] 認定在領域內犯罪正確
[03368.12-03369.20] 什麼原則
[03369.20-03371.00] 數低
[03371.00-03372.00] 美毛病
[03372.00-03372.80] 造象
[03372.80-03374.08] 叫做數人
[03374.08-03375.12] 數人
[03375.12-03376.48] 數人就是生作的人
[03376.48-03377.44] 使所有的鬼
[03377.44-03377.84] 對吧
[03377.84-03379.24] 那生是我的人
[03379.24-03382.48] 那數人原則是在中國領域外犯罪的
[03382.48-03383.20] 所以你看
[03383.20-03385.20] 說在中國領域內犯罪的
[03385.20-03386.16] 出發的特別規定
[03386.16-03386.88] 是用本法
[03386.88-03387.64] 是不錯了
[03387.64-03389.64] 十二元責在中國領域外
[03389.64-03391.48] 中國公民犯罪的
[03391.48-03392.00] 對吧
[03392.00-03394.60] 而他強調的在領域內領域內
[03394.60-03396.80] 在我的地牌的聽我的屬於什麼
[03396.80-03398.84] 屬於數低管下來
[03398.84-03400.88] 所以他屬於把一些基本概念怎麼樣
[03400.88-03403.00] 屬於把一些基本概念混銷了
[03403.00-03405.12] 所以第四個點說法正確的錯誤
[03405.12-03407.44] 第四個點說法是錯誤的
[03407.44-03409.12] 所以這道題大注意一下
[03409.12-03410.84] 他說說法錯誤有幾項
[03410.84-03411.84] 那就是兩項
[03411.84-03412.92] 一個是A
[03412.92-03414.28] 一個是B
[03414.28-03415.64] 一個是A,一個是B
[03415.64-03416.32] 好
[03417.64-03423.44] 接下来 看下第二体 像那一群抗拭按照数帝管晋源则
[03423.44-03426.16] 是用我们国家的刑法的事 也许像
[03426.16-03430.84] 说在紧有约机场 首先帝一个定在中国领域外
[03430.84-03436.64] 说美国公民假在中国航空公司的飞机上杀害了中国公民以
[03436.64-03439.48] 中国航空的飞机公司杀害中国公民以的话
[03439.48-03441.64] 首先帝一个中国航空公司
[03441.64-03445.12] 就是属于我们国家的航空器 他属于领土外严
[03445.12-03475.12] 零土外言的話,屬於我們國家的屬於原則,當然屬於,所以第二題選擇的是A選項。第三題來看一下B選A,第二個選項來看一下,是發於上海港的伊拉里有倫,伊拉余倫他屬於什麼?他屬於國際的我們所說的這個,他說是實發於上海港的伊拉里有倫在停靠日本港口實,說留學中國的美國公民,留學中國的美國公民講,在傳上山海的以國公民,你看看,
[03475.12-03476.28] 这个时候爸不顶嘛
[03476.28-03479.68] 那这个时候看一下是不是在我们国家的领域方式之内不在
[03479.68-03482.60] 那不在我们国家领域方式之内那他就不属于什么
[03482.60-03484.28] 他就不属于我们所说的
[03484.28-03486.28] 数跌 关瞎 原则
[03486.28-03487.92] 那你说老师他属于属于人
[03487.92-03490.48] 他属于属于我们国家的公民犯罪
[03490.48-03492.56] 不属于国家我们国家公民犯罪
[03492.56-03494.52] 所以属于人管管的找管部找
[03494.52-03497.04] 属于保护原则 杀害的是不是中国公民
[03497.04-03497.80] 也不是
[03497.80-03499.44] 那这里面他也不是用于什么
[03499.44-03501.00] 保护 关瞎原则
[03501.00-03501.60] 那说老师呢
[03501.60-03503.00] 那是用普遍管瞎呢
[03503.00-03504.40] 在这里面他又不是为害人
[03504.40-03505.56] 那共同立的犯罪
[03505.56-03507.32] 那就以为这咱们国家管不着他
[03507.32-03507.56] 对吧
[03507.56-03508.48] 所以逼选项
[03509.28-03509.96] 不能选
[03509.96-03513.04] 所以想来看一下在香港机场把香港全出来
[03513.04-03516.12] 在香港机场中国公民沙害了英国公民以
[03516.12-03516.56] 我们说了
[03516.56-03519.64] 数低管想是在中国领域内
[03519.64-03521.24] 那在中国领域内的话
[03521.24-03523.72] 我们说了原则上是在我的地方听我的
[03523.72-03524.36] 有没有离外
[03524.36-03525.16] 有离外
[03525.16-03526.16] 哪些离外
[03526.16-03526.60] 第一个
[03526.60-03528.84] 享有外交权或者是灰灭权的
[03528.84-03529.96] 第二个是啥
[03529.96-03531.72] 第二个就是我们说的
[03532.40-03533.96] 港澳台地区
[03533.96-03536.86] 那在搞的台地區順於它本地區的形勒就可以了
[03536.86-03538.62] 所以雖選項不行
[03538.62-03540.12] 那第四個選項看一下
[03540.12-03543.76] 說形勢於蒙古國境內的旅行大巴上
[03543.76-03545.74] 那旅行大巴屬於國際列車
[03545.74-03549.10] 國際略車屬不屬於我們國家的領域翻譯之內不屬於
[03549.10-03552.78] 中國的領域的例外就是國際列車
[03552.78-03554.38] 國際長度技術都不屬於
[03554.38-03556.04] 所以第四個也不行
[03556.04-03558.16] 那能夠按照屬於管相分責管的
[03558.16-03559.16] 那就只有哪一個
[03559.16-03560.64] 只有A選項
[03560.64-03562.10] 所以第二題選擇的是
[03562.10-03571.82] 第三体来看一下说刑法规定对于中华人民共和国第几货者是参加的国际条约所规定的最型
[03571.82-03576.74] 这时候来看一下第几货参加的国际条约那针对的就是什么国际反对
[03576.74-03582.82] 针对的国际反对那就叫做什么普遍管条权呗所以第三体选择的是死地
[03582.82-03586.94] 来这这里了我们就把整个刑法的概数给大家说完了
[03586.94-03589.30] 快速来回顾一下相当的执是点
[03589.30-03591.62] 首先第一个要知道刑法的基本原则
[03591.62-03593.98] 一共只有几个三个最刑法定
[03593.98-03596.86] 法律院前人平等最则相适用
[03596.86-03600.14] 第二个就是在这里面我们说了考察
[03600.14-03602.54] 基本原则当中的实际及理解题目
[03602.54-03603.58] 大家能够去分
[03603.58-03605.62] 第二个就是刑法的身份位
[03605.62-03610.46] 刑法的身份位在这里首先第一个包括我们所说的叫做空间效力
[03610.46-03612.58] 在空间效力当中我们来看一下
[03612.58-03616.14] 空间效力包括数帝数人保护以及普遍
[03616.14-03618.96] 那这里面数低管相片则大家知道
[03618.96-03622.28] 我国领域内犯罪的那些属于我国领域
[03622.28-03623.06] 对吧
[03623.06-03624.08] 第2个
[03624.08-03628.42] 哪些不属于在这里面就给到了国际列车和长途汽车不属于
[03628.42-03633.54] 第2个犯罪指的是犯罪行为和犯罪结果有一项发生在我国领域内
[03633.54-03636.36] 那他都可以启动数跌管相片则
[03636.36-03639.44] 那属低管相片则当中我们来看一下有六例外呢
[03639.44-03640.72] 当然也有六例外
[03640.72-03642.50] 这个例外呢就在于
[03642.50-03643.78] 特权获免
[03643.78-03646.82] 搞台帝区已经民族区域自治的边通執行
[03646.82-03647.18] 对吧
[03647.18-03649.50] 所以在这里就属地在中国领域内
[03649.50-03650.70] 中国也有什么
[03650.70-03651.82] 也有领域外
[03651.82-03653.46] 那领域外就市有属人
[03654.46-03656.30] 伤手的人死我的鬼
[03656.30-03656.66] 对吧
[03656.66-03659.26] 这个时候强调的就是属人管项
[03659.26-03660.34] 在这里面大家注意
[03660.34-03661.14] 第二个保护
[03661.14-03662.02] 保护的是什么
[03662.02-03662.98] 我国公民
[03662.98-03665.26] 所以在领域外外国人
[03665.26-03667.02] 间对于中国公民犯罪的
[03667.02-03668.58] 这时候怎么保护
