[00000.00-00007.24] 好,我们讲完了生学之后,我们就把我们所提到的内几大生光电力热都给大家说完了
[02350.42-02353.44] 没秒或者是我们直接把415路
[02353.44-02355.96] 在这里直接说是3成10的8次方米没秒
[02355.96-02357.02] 其实都是一样的
[02357.02-02360.30] 但重点其实在于我们所说的这个智能方程自身
[02360.30-02362.10] 这里面一等于MC方
[02362.10-02363.86] 它其实是提到了两个点
[02363.86-02364.78] 哪两个点呢
[02364.78-02367.86] 就是一方面我们说了这个MU代表的是智量
[02367.86-02369.54] 这个是5的智量
[02369.54-02371.50] 它其实可以转化成能量
[02371.50-02372.82] 所以第一个大家也知道
[02372.82-02374.10] 它是智量
[02374.74-02377.10] 可以转化成能量
[02380.62-02382.94] 智量可以转化成能量
[02382.94-02385.42] 而且这个能量是非常巨大的
[02385.42-02386.82] 大家其实能够看到
[02386.82-02392.08] 在这里面,它这个能量和治量的转化,它本身是光速的平方
[02392.08-02399.88] 所以在这里面,治量可以转化成能量,它的应用其实就在于什么上,就在于我们所提到的和蜜变上
[02401.54-02412.42] 就是我们要讲到的,就是原子弹爆炸,这个原子弹具体,我们所说如何应用,我们其实在后面,再给大家讲到新闻原的手会大家提到
[02412.42-02416.52] 那治療和能量的轉換其實就是能夠應用在合列變上
[02416.52-02418.56] 這合列變太一種什麼樣的感覺呢
[02418.56-02420.82] 就大家應該知道打台球 對吧
[02420.82-02423.70] 你看它打台球的時候它有一個白色的那個球
[02423.70-02425.54] 那白色就幫一下打出去
[02425.54-02428.46] 它原本放的三角形的那些
[02428.46-02430.74] 擺的那些球它是不是全都被打散了
[02430.74-02432.14] 那其實就是這樣的一個感覺
[02432.14-02436.82] 它所謂的合列變就是拿一個由二三五的油礦
[02436.82-02440.84] 然後拿到一個中子把這個由二三五的這個合格給它打開
[02440.84-02442.12] 就是原本它是一个合
[02442.12-02443.56] 然后一个中子包那一下
[02443.56-02445.68] 打到这个由二三五的这个上面的时候
[02445.68-02447.32] 这个由二三五一下就烈开了
[02447.32-02448.80] 它就烈成了好多个
[02448.80-02450.48] 我们所说了这样的一个合
[02450.48-02451.80] 它烈成了多个合的时候
[02451.80-02454.72] 在这个过程当中它会释放出大量的能量
[02454.72-02456.48] 这个能量的释放的计算
[02456.48-02458.68] 就是根据这个只能方程来的
[02458.68-02460.84] 他们当时做这个实验的时候其实就这样了
[02460.84-02465.40] 它发现它把这个中子打到这个由二三五的这个里面之后
[02465.40-02468.44] 它发现最后这个整体上
[02468.44-02470.68] 这个列变的 它的这个过程当中
[02470.68-02472.16] 它整体的这个
[02472.16-02474.00] 我们所说的个数是没有变的
[02474.00-02474.92] 但是什么变了呢
[02474.92-02477.08] 就是在这个过程当中 智良变轻了
[02477.08-02478.16] 那这个智良变轻了
[02478.16-02479.96] 其实就意味着它一定是由
[02479.96-02482.20] 我们所说的这些东西
[02482.20-02484.00] 就是这些智良它到底去哪呢
[02484.00-02485.68] 它这个智良到底变成了什么
[02485.68-02486.68] 后来它就会发现
[02486.68-02489.68] 这些智良最终就变成了我们所说的这个能量
[02489.68-02492.64] 所以在这里面它说了智良其实可以转发成能量的
[02492.64-02497.20] 而且这个转化的大小是为了超过我们的想像的
[02497.20-02500.02] 大家能够相信就是一颗中的东西
[02500.02-02502.82] 它产生的能量大概能有多少呢
[02502.82-02504.88] 能有90% 照纠尔
[02504.88-02507.68] 大家可能说你说老是90% 照纠尔没有什么概念
[02507.68-02509.48] 我换算一下你就知道了
[02509.48-02511.68] 当年这个广道的这个原子蛋
[02511.68-02514.72] 它的这一报爆发释放的能量是多少呢
[02514.72-02516.66] 是54% 照纠尔
[02516.66-02517.80] 也就是意味着
[02517.80-02521.52] 当年的原子蛋它的一报整体上释放的这个能量
[02521.52-02523.90] 只是0.5 颗的这个东西
[02523.90-02527.16] 它这个质量转化出来这个能量的大小
[02527.16-02529.16] 就能夠看得出來治療和能量
[02529.16-02530.44] 他們之間的一個轉化
[02530.44-02532.00] 是多麼的經營人
[02532.00-02533.96] 那這是治療方程當中的第一個方面
[02533.96-02536.04] 就是治療能夠轉化成能量
[02536.04-02538.20] 那治療既然可以轉化成能量的話
[02538.20-02540.68] 我們可以運用在我們所說的這個裂變當中
[02540.68-02542.52] 那反過來其實也是一樣的
[02542.52-02544.40] 反過來我們有發現能量
[02544.40-02546.40] 它其實是能夠轉化成治療的
[02550.28-02552.40] 能量也能夠轉化成治療
[02552.40-02555.52] 能量轉化成治療這個事是砸發現在的呢
[02555.52-02557.28] 就是他们做了一个实验
[02557.28-02558.88] 就是科学家不能说他们
[02558.88-02561.28] 就是科学家他们做了一个实验
[02561.28-02564.04] 这个实验就是搞了一个电子磁场
[02564.04-02565.32] 然后在这个地方
[02565.32-02567.52] 然后给到了就是找了一个电子
[02567.52-02569.04] 假设是找到了一个电子
[02569.04-02571.36] 然后把这个电子放在一个磁场当中
[02571.36-02573.12] 然后不断地给磁场
[02573.76-02575.00] 或者是给这个电子
[02575.00-02576.80] 就是给这个电子放在了一个磁场当中
[02576.80-02577.72] 从来就想一下
[02577.72-02579.96] 就是那岁里放了一个跑到吧
[02579.96-02581.84] 咱们就简单的形象说一下
[02581.84-02583.28] 就假设这个跑到
[02583.28-02584.68] 它就相当于一个磁场
[02584.68-02586.92] 把这个电子放在这个刺上当中
[02586.92-02591.16] 然后不停的给这个电子给它不级能量
[02591.16-02592.28] 就是一直不级能量
[02592.28-02593.80] 如果给这个电子不级能量的话
[02593.80-02595.32] 就相当于一个人吃饱了
[02595.32-02596.40] 它是不能量就会巨蛋
[02596.40-02599.16] 这个电子它就会会在这个刺场当中
[02599.16-02601.60] 不断的加速不断的加速
[02601.60-02603.68] 一直加速到什么程度呢
[02603.68-02604.96] 加速到光速
[02604.96-02607.20] 当这个电子加速到光速的时候
[02607.20-02608.96] 还继续给它不级能量
[02608.96-02611.08] 这种情况在理论上来说
[02611.08-02614.56] 如果这个电子的运动速度已经超过光速了
[02614.56-02616.24] 我再去给他增加能量
[02616.24-02618.80] 他的速度应该是越来越快的嘛
[02618.80-02620.96] 因为他是从正常的电子的运行速度
[02620.96-02621.92] 到我给他加能量
[02621.92-02623.32] 他慢慢打到了光速
[02623.32-02625.08] 那李轮上就是我加的能量越多
[02625.08-02626.76] 他的速度就会越快
[02626.76-02628.12] 但是问题就在于
[02628.12-02630.92] 当我们给他加能量加到一定的时候发现
[02630.92-02633.00] 当这个电子的运行速度
[02633.00-02634.40] 打到光速的时候
[02634.40-02636.28] 我还在不停了给他加能量
[02636.28-02640.52] 但是这个电子就一直保持着以光速的速度去运行
[02640.52-02642.80] 那这时候就说就有一个问题就产生了
[02642.80-02644.60] 我给他加了那么多的能量
[02644.60-02645.20] 他呢
[02645.20-02646.84] 这个速度没有超过公数
[02646.84-02648.64] 那我给他加的能量
[02648.64-02650.04] 到底去了那儿呢
[02650.04-02651.48] 后来研究发现
[02651.48-02652.64] 说这个电子
[02652.64-02653.24] 一看
[02653.24-02655.20] 他后来给他加的这个能量
[02655.20-02657.88] 就没有在转发成这个电子的运动速度
[02657.88-02659.72] 而是转发成了这个电子的什么
[02659.72-02660.44] 治量
[02660.44-02663.92] 有时在不断的后续给他加能量的过程当中
[02663.92-02665.20] 电子就变重了
[02665.20-02666.88] 他的这个治量就意志了
[02666.88-02669.08] 让他自身不能超过公速原性
[02669.08-02671.28] 所以在这里面就有发现另外一个问题
[02671.28-02674.36] 就是能量它其实是可以转化成治量的
[02674.36-02676.36] 这个其实就是我们所说的
[02676.36-02678.96] 有关于小一相对伦当中的低个方面
[02678.96-02679.92] 就是我们提到的
[02679.92-02680.76] 只能方程
[02680.76-02684.20] 它就是核武器发明的这样的一个理论
[02684.20-02687.48] 就是治量和能量之间可以实现转化
[02687.48-02689.64] 所以这是我们所说的低个点
[02689.64-02691.44] 小一当相对伦当中的低个点
[02691.44-02692.76] 大家确得标注一下
[02692.76-02694.64] 小一相对伦当中的第二个点
[02694.64-02696.52] 就是它下面所提到的另外一个点
[02696.52-02699.92] 它说它接示了时间空间和物质的不可分析
[02699.92-02701.92] 同们在这里标注一下圈儿
[02702.84-02704.88] 圈儿在这里他提到了
[02704.88-02707.60] 只要时间空间与误之的不可分性
[02707.60-02711.72] 这个呢他也被称之为标注一下就做平职时空理论
[02715.04-02717.32] 平职时空理论
[02717.32-02719.12] 你说老师这还是有一点抽象啊
[02719.12-02720.96] 我这所以给大家写这些名词呢
[02720.96-02724.12] 他就是因为在考试的时候有时候会出现这样的表述
[02724.12-02726.96] 他其实在这个地方其实愈言了一种新的效应
[02726.96-02728.80] 我这么说大家可能会觉得抽象
[02728.80-02730.68] 但是你一定听过这样的一个现象
[02730.68-02731.60] 什么现象呢
[02731.60-02732.64] 就是当我们说
[02732.64-02734.28] 速度越快的时候
[02734.28-02735.76] 时间就会越慢
[02735.76-02737.76] 现在旁边就是速度越快
[02742.16-02743.28] 速度越快
[02743.92-02744.72] 时间
[02746.40-02747.00] 越慢
[02748.36-02750.44] 这就是我们经常提到的一个点叫做
[02750.44-02751.44] 吃缩
[02751.76-02752.44] 中慢
[02755.84-02757.56] 也就是说当一个物体
[02757.56-02759.44] 他的运动速度越快的时候
[02759.44-02761.76] 他的时间就会远慢
[02761.76-02764.52] 而如果一个事务他的运动速度越快
[02764.52-02767.12] 他的长度也会被压缩
[02767.12-02768.16] 所以在这里面
[02768.16-02768.76] 大家注意一下
[02768.76-02770.36] 这个就是我们所说的叫做
[02770.36-02771.36] 平智时空旅车
[02771.36-02773.32] 就想一想多论到中所接示的叫做
[02773.32-02774.52] 尺缩中慢
[02774.52-02776.92] 就是速度一旦加快了之后
[02776.92-02779.64] 远发现周围的时间都变慢了
[02779.64-02780.24] 都变慢了
[02780.24-02782.12] 这个就是平智时空所提到的
[02782.12-02783.40] 如果是这个有啥用呢
[02783.40-02784.68] 就是在我们日常生活当中
[02784.68-02786.32] 我们其实是难以理解的
[02786.32-02788.36] 但是对于理论学界它的一个突破
[02788.36-02790.04] 只有很大的这样的一个
[02790.04-02791.36] 我们所说的作用的
[02791.36-02792.12] 这也就是说
[02792.12-02794.20] 这里面它做提到的这种尺寸中漫
[02794.20-02796.04] 它会发现时间和空间
[02796.04-02797.40] 它不是固定不变的
[02797.40-02798.16] 它是怎么样
[02798.16-02799.24] 它是相对的
[02799.24-02801.36] 正常比如说我走在这个大街上
[02801.36-02803.64] 然后我现在在这个大街上来回入流大大的
[02803.64-02805.68] 我的速度一定是小于光速运行的
[02805.68-02806.24] 对吧
[02806.24-02808.24] 当我的速度小于光速运行的时候
[02808.24-02809.56] 我的时间的流躺
[02809.56-02811.40] 就是按照咱们现实生活当中的
[02811.40-02813.04] 1秒2秒3秒4秒
[02813.04-02813.84] 站来的
[02813.84-02816.12] 如果说我现在的运行
[02816.12-02818.28] 速度超过光速的时候
[02818.28-02819.96] 那我的疫苗中的时间
[02819.96-02821.76] 就不是01-2003
[02821.76-02824.32] 我的疫苗中的时间就会变得延长
[02824.32-02827.64] 对我来说这疫苗中就是01-100
[02828.04-02829.24] 就是这种概念
[02829.24-02831.24] 所以在斯坦的相对论当中
[02831.24-02832.56] 其实接受了一个问题
[02832.56-02834.04] 就是时空和
[02834.04-02835.52] 就是时间和空间
[02835.52-02836.92] 它是一个相对的
[02836.92-02838.32] 它是会出现我们所说的
[02838.32-02841.04] 这种速度变快时间压速的这种情况
[02841.04-02842.16] 所以我们才说了
[02842.16-02844.92] 它属于平这时候旅论是一种相对的概念
[02844.92-02846.92] 你通常是你強調這個裡面的
[02846.92-02847.62] 這兩個點的話
[02847.62-02848.62] 它的考點在哪呢
[02848.62-02850.32] 第一個考點就在於大注意下
[02850.32-02851.72] 它這個不可分性當中
[02851.72-02854.12] 你要明確有一個說法就叫做指索中慢
[02854.12-02855.72] 這個點一旦出現在選項當中
[02855.72-02856.52] 要知道
[02856.52-02858.62] 第二一個就是在這個指索中慢
[02858.62-02860.82] 這個平均指使空的相對理論當中
[02860.82-02862.62] 它會考察另外一個點
[02862.62-02863.62] 另外一個點是誰呢
[02863.62-02864.62] 就是牛頓
[02864.62-02867.32] 牛頓它的指空觀和艾斯坦不一樣
[02867.32-02869.32] 艾斯坦的指空觀的就是在於
[02869.32-02870.32] 我剛才提到了
[02870.32-02872.72] 就是時間空間可以被壓縮
[02872.72-02873.92] 只要你的速度夠快
[02873.92-02874.62] 就可以了
[02874.62-02877.44] 但是牛盾他当时做的那个实验提到的是什么呢
[02877.44-02879.74] 牛盾的时空关是绝对的
[02879.74-02881.28] 所以在这里同标主一下
[02881.28-02886.38] 只是牛盾牛盾啊 他是绝对的时空关
[02888.38-02889.98] 这个绝对的时空关
[02889.98-02891.78] 牛盾还做了做的实验呢
[02891.78-02893.06] 就是我前面给大家说的
[02893.06-02894.78] 我说遇到更实验大一点的注意
[02894.78-02896.62] 这个实验就是水统实验
[02899.66-02903.02] 水统实验这个水统实验其实是就是验证了
[02903.02-02905.84] 我们所说的空间它是一定存在的
[02905.84-02908.14] 而且是相对来说比较固定的
[02908.14-02910.58] 所以这里面就叫做绝对使空旅论
[02910.58-02913.50] 它敢于思坦的这种说时间空间是相对的
[02913.50-02915.94] 时间可以被压縮空间可以被压縮是不一样的
[02915.94-02917.94] 所以大家看到这个水头实验
[02917.94-02920.66] 知道的是牛顿的绝对是空关就行了
[02920.66-02922.50] 所以在协一相对论当中
[02922.50-02925.10] 大家注意一下有两个点需要我们去掌握
[02925.10-02927.42] 第1点就是在这里面所提到的
[02927.42-02930.14] 智能方程它和我们所提到的
[02930.14-02932.24] 和武器的研究
[02932.24-02934.22] 你要知道智能方程的含义是什麼
[02934.22-02935.56] 智量能夠轉它成能量
[02935.56-02937.16] 比如說在這裡的和列電
[02937.16-02938.62] 第二能量可以轉它成智量
[02938.62-02940.88] 想想跑到裡面的電子
[02940.88-02942.76] 不算副一能量的時候智量會變大了
[02942.76-02944.26] 它永遠不可能超過光速
[02944.26-02947.26] 第二它提到了時空與運動之間的關係
[02947.26-02948.82] 在時空運動之間關係當中
[02948.82-02950.04] 暗善提到的時候
[02950.04-02951.08] 時空是相對的
[02951.08-02951.98] 只要速度夠快
[02951.98-02953.16] 但是尼尼尼是什麼
[02953.16-02953.82] 絕對的
[02953.82-02956.50] 所以在這裡尼尼尼還有一個隧統實驗
[02956.50-02959.50] 這個地方的內容是非常非常有趣的這樣一個質詢點
[02959.50-02960.98] 但是我们在考试的时候
[02960.98-02963.58] 只把这两个部分的细节上午就行了
[02963.58-02964.92] 这个就叫做
[02964.92-02966.16] 想一相对论
[02966.16-02966.96] 想一相对论的
[02966.96-02969.26] 是Ansa相对论的一个基础
[02969.26-02972.62] Ansa后来在想一相对论的基础之上
[02972.62-02975.38] 结合我们所说的家里略的理论
[02975.38-02977.02] 结合理论的理论之后
[02977.02-02979.04] 又创建了另外一个就叫做
[02979.04-02980.34] 广易相对论
[02980.34-02982.14] 广易相对论提到的是什么呢
[02982.14-02983.30] 广易相对论
[02983.30-02984.46] 提到的是这么一个点
[02984.46-02986.74] 就是它认为大致量的物体
[02986.74-02988.74] 一物体的质量如果特别特别的大
[02988.74-02992.58] 大致量的物体就会让这个时空发生扭曲
[02992.58-02996.42] 而时空一旦发生扭曲的话所有的物体都会被它吸引过来
[02996.42-03001.66] 加速像巨大的物体 用动或者加速像巨大的物体靠近
[03001.66-03007.38] 于是根据我们所说的这个广易相对论的内容就搞出来了什么呢
[03007.38-03008.98] 就发现了黑洞
[03008.98-03013.58] 所以在这里同一标注意下就是广易相对论的验证就是在约黑洞上
[03013.58-03016.26] 同時把這個應用去給它頓上
[03016.26-03018.82] 要知道黑洞的驗證是廣義相對論
[03018.82-03020.22] 而不是想一想堆論
[03020.22-03021.26] 這是第一個點
[03021.26-03022.62] 需要我們去明確的
[03023.26-03024.62] 需要我們注意的就是
[03024.62-03026.78] 黑洞它到底是一個什麼東西
[03027.46-03029.82] 它下面其實給我們簡單的介紹了一下
[03029.82-03030.82] 這個黑洞的內容
[03030.82-03032.22] 就是黑洞它說了
[03032.22-03034.22] 說是德國天文學家
[03034.22-03035.24] 計算得到了
[03035.24-03037.94] 艾斯海也立場方程當中的一個真空解表明
[03037.94-03040.18] 如果將一個巨大的物質集中在一點的話
[03040.18-03042.38] 它的周圍就會存在一個世界
[03042.38-03044.04] 就是如果说一个东西
[03044.04-03045.70] 到达了我们所说的
[03045.70-03048.22] 它计算所得出来东西周边的时候
[03048.22-03049.42] 光速也无法讨统
[03049.42-03051.22] 就是因为它质量太大了
[03051.22-03052.56] 是什么东西过来
[03052.56-03054.30] 在这种情况之下都被它怎么样
[03054.30-03055.42] 老老的吸住了
[03055.42-03057.88] 把这个东西就把它命名为什么
[03057.88-03060.10] 就把它命名为黑洞
[03060.10-03061.54] 其他黑洞在本质上
[03061.54-03063.22] 我们在考试当中总能看到
[03063.22-03066.06] 大家知道黑洞在本质上是一颗巨大的
[03066.06-03068.14] 恒星是巨大恒星就可以了
[03068.14-03070.38] 所以这是广一相对论当中的第一个
[03070.38-03074.98] 咱们在前几年的时候还守四拍闹了我们所说的黑洞的招飙
[03074.98-03076.78] 对了所以这是第一个广一相对论
[03076.78-03078.38] 他的应用就是黑洞
[03078.38-03080.88] 那第二个广一相对论的应用在啥呢
[03080.88-03083.88] 大注意下就广一相对论的他的两大支柱
[03083.88-03086.18] 除了我们刚才所说的通过
[03086.88-03088.98] 这一些研究发现黑洞之外呢
[03088.98-03092.38] 就是还有一个正时了眼里波的存在
[03093.38-03094.78] 广一相对论当中啊
[03094.78-03095.98] 在2015年的时候呢
[03095.98-03097.38] 就正时了眼里波的存在
[03097.38-03101.02] 他認為巨大物體的運動引起時空的扭曲
[03101.02-03103.26] 這時候就會產生引力波
[03103.26-03104.90] 也是我們所說的引力上
[03104.90-03106.62] 也是這種巨大物體
[03106.62-03108.94] 他的運動所引起的這種時空的波動
[03108.94-03111.34] 就能夠造成時空的玩具
[03111.34-03113.18] 因為在因斯坦的觀念當中
[03113.18-03115.38] 時間和空間是不可分的
[03115.38-03118.50] 時間變化空間就一定會變化
[03118.50-03119.38] 所以在這裡面
[03119.38-03120.74] 他提到的這個引力波
[03120.74-03123.34] 就是因為這個巨大物體的運動
[03123.34-03124.46] 他治疗那麼大
[03124.46-03126.42] 他一定會引起空間的扭曲
[03126.42-03128.02] 而這種空間的扭曲的話
[03128.02-03130.18] 它一定會辦隨著時間的波動
[03130.18-03132.66] 這就是它說的時空不可分
[03132.66-03133.62] 所以在這裡面
[03133.62-03134.82] 我們不需要找問那麼深
[03134.82-03135.98] 但最起買要了解到
[03135.98-03137.54] 廣西相對論當中兩個點
[03137.54-03138.90] 第一個運用廣西相對論
[03138.90-03139.70] 正式了黑洞
[03139.70-03140.66] 第二個在這裡
[03140.66-03142.50] 會提到眼泥波的理論
[03142.50-03144.10] 這個地方在去考試的時候
[03144.10-03144.66] 就會考察
[03144.66-03147.54] 下一相對論和廣西相對論的內容的對應
[03147.54-03148.50] 大家注意一下
[03148.50-03150.34] 所以A4彈非常了不起
[03150.34-03152.90] 這些理論都在在二十幾歲體出來的
[03152.90-03153.30] 好
[03153.30-03156.34] 這是我們所說的關於相對論的內容
[03156.34-03158.54] 相对论是现在物理学的一个执助
[03158.54-03161.74] 现在物理学的另外一个执助就是量子力学
[03161.74-03164.86] 量子力学的初代电机人大家都知道是
[03164.86-03165.58] 头朗课
[03165.58-03168.70] 但是量子力学不是普朗课一个人创造的
[03168.70-03170.10] 你在说上话一下
[03170.10-03172.22] 说你先不话咱们先来看一下
[03172.22-03174.10] 说普朗课不而学定热
[03174.10-03175.26] 这些人大家都熟悉
[03175.26-03175.70] 对吧
[03175.70-03176.46] 还有飞米
[03176.46-03177.86] 我们都知道飞米被论
[03177.86-03178.86] 艾斯坦等等
[03178.86-03180.70] 那都这都是物理界的小处
[03180.70-03182.02] 所以一大批物力学家
[03182.02-03182.66] 话一下
[03182.66-03185.22] 叫共同创厉了量子力学
[03185.22-03188.70] 有时候量子力学的首要电机人士破浪克
[03188.70-03191.42] 但是量子力学是破浪克自己搞出来的
[03191.42-03192.58] 不是在旁标者一下
[03192.58-03194.46] 破浪克是电机人
[03194.46-03197.94] 咱们其实在我们所说的科技革命当中提到
[03197.94-03199.26] 第二个大家要知道
[03199.26-03201.94] 量子力学是大家共同创栗的
[03201.94-03203.02] 你把共同创栗发出来
[03203.02-03204.42] 这个点非常重要
[03204.42-03206.86] 他如果说量子力学是破浪克创栗的
[03207.58-03209.46] 说法有在商确
[03209.46-03210.66] 所以在这里大家注意一下
[03210.66-03211.90] 这是低个考点
[03211.90-03214.14] 第二考点就是我们在讲
[03214.14-03216.14] 經典歷學的時候其實大家說了
[03216.14-03217.92] 經典歷學也是牛盾的
[03217.92-03219.30] 他經典歷學研究的是
[03219.30-03221.18] 紅官世界運行的規律
[03221.18-03222.74] 也是能夠觀測到的
[03222.74-03225.06] 我們汽車的運行天體的運行
[03225.06-03225.48] 對吧
[03225.48-03227.46] 他其實是用於牛盾的紅官
[03227.46-03229.04] 但是我們都知道
[03229.04-03230.26] 我們前面也說了
[03230.26-03231.48] 牛盾的經典歷學
[03231.48-03233.14] 他研究的是紅官世界
[03233.14-03234.74] 而我們所提到的量子歷學
[03234.74-03235.78] 他研究的是什麼
[03235.78-03236.42] 研究的是
[03236.42-03237.50] 微觀世界
[03237.50-03240.26] 微觀世界的運行和紅官世界是
[03240.26-03241.26] 減然相反
[03241.26-03242.90] 甚至是不統的
[03242.90-03246.14] 那这个是我们所说的这个 量子率 因为量子率学呢
[03246.14-03248.08] 它就是非常的神奇
[03248.08-03249.70] 如果说红官这个世界的话
[03249.70-03251.64] 它是英国论的这样一个贵年的话
[03251.64-03252.50] 那微观世界呢
[03252.50-03254.86] 就可以说某种程度上的过音论
[03254.86-03257.14] 这是对于微观世界来说
[03257.14-03258.34] 如果这个事情
[03258.34-03259.50] 它要发生的话
[03259.50-03260.92] 那它的各种可能性
[03260.92-03262.18] 它都有可能发生
[03262.18-03263.38] 但是这种可能性
[03263.38-03264.74] 导致的原因是什么
[03264.74-03266.14] 是有结果来决定的
[03266.14-03267.62] 而不是有原因来决定的
[03267.62-03268.94] 我举个简单例子来说
[03268.94-03271.70] 比如说你用你的手机点了一个外卖
[03271.70-03273.18] 你典了一份黄文基米翻
[03273.18-03274.58] 对吧那叫红外世界当中
[03274.58-03275.38] 他就是这样的
[03275.38-03277.14] 你典的是黄文基米翻
[03277.14-03279.26] 然后送来了就是什么黄文基米翻
[03279.26-03280.78] 但量子世界当中就不是
[03280.78-03282.38] 你可能再往上下单了
[03282.38-03283.86] 然后典了一个黄文基米翻
[03283.86-03286.02] 但送到你的手里的时候你发现
[03286.02-03287.66] 好像是一个公宝基地
[03287.66-03289.94] 但是你说我想的是好像是
[03289.94-03290.94] 我典的是黄文基米翻
[03290.94-03292.46] 但是拿手机一看的时候
[03292.46-03294.58] 你的手机门的定单就是公宝基地
[03294.58-03296.82] 因为它的整个运行的方式
[03296.82-03297.90] 色月的方式
[03297.90-03299.18] 以它运行的这个规律
[03299.18-03301.50] 其实都是和红外世界不一样的
[03301.50-03304.10] 所以我们当时才给大家去借定了那个考电
[03304.10-03308.82] 说的是啥 说的是我们所说的这个经典的学的创律
[03308.82-03312.54] 它不能够丰富我们所说的量子力学的创律
[03312.54-03315.02] 它不是经典力学体系的丰富
[03315.02-03317.06] 因为完全是截然不同的世界
[03317.06-03317.74] 那边了吧
[03317.74-03321.14] 所以在这里面大家要注意一下这是量子力学
[03321.14-03323.14] 这时有关量子力学当中了
[03323.14-03325.54] 两个细节的考验 同时要注意
[03325.54-03328.54] 到这儿我们就把现在物理学的内容一打讲完了
[03328.54-03329.94] 咱们快速地回顾一下
[03329.94-03333.02] 首先第一個 現在物理學區研究他必須有自己的單位
[03333.02-03335.54] 所以我們講了基本單位有幾個七個
[03335.54-03339.14] 那這基本單位當中的後三個我們不太見 同學要注意
[03339.14-03341.34] 第二個我們講了一個 倒出單位
[03341.34-03344.94] 倒出單位我們講了八個 我們說了考他的對應
[03344.94-03346.66] 但我們還展開講了什麼
[03346.66-03349.66] 壓強 在壓強當中我們講了
[03349.66-03351.58] 第一個壓強的原理
[03351.58-03353.58] 也就是P等於FBI4
[03353.58-03355.90] 對吧 我說了這個地方考案例
[03355.90-03359.10] 第二個我們就講了和壓強5關的三個實驗
[03359.10-03363.10] 這三個時間分別是Past卡實驗脫離拆利實驗
[03363.10-03366.14] 以及我們所提到的馬德寶半球實驗
[03366.14-03368.94] 這三個實驗分別都對了什麼內容
[03368.94-03369.90] 大家要注意
[03369.90-03370.78] 那這是第一個
[03370.78-03372.78] 那第二個我們就講到了相對論
[03372.78-03374.46] 相對論能講到了AIN4塔
[03374.46-03376.70] 以及它的下一和广一相對論
[03376.70-03378.38] 下一相對論當中我們講了
[03378.38-03379.66] 只能方程與核子
[03379.66-03381.50] 一等於MC方
[03381.50-03383.34] 我們都知道它是可以轉化的
[03383.34-03384.86] 一刻能量
[03384.86-03386.78] 一刻物質所釋放的能量
[03386.78-03388.06] 就是照焦儿
[03388.06-03390.10] 这个时候也就是一刻物质
[03390.10-03392.92] 它相当于一刻物质释放出来的能量
[03392.92-03395.74] 相当于两颗原子弹爆炸释放的能量
[03395.74-03397.02] 你就知道多可怕
[03397.02-03399.98] 这只量可以转发成能量
[03399.98-03402.40] 反过来说能量也可以转发成质量
[03402.40-03405.22] 这是我们所说的电子在刺上当中
[03405.22-03407.26] 不断复影能量加速跑的时候发现
[03407.26-03408.54] 它没有办法超过光速
[03408.54-03410.84] 因为它质量在刺身典大
[03410.84-03412.38] 第二个就是艾斯恩提到
[03412.38-03414.18] 时间和空间是不可分的
[03414.18-03416.78] 所以我们就想说了时间变化 空间就会变化
[03416.78-03419.78] 所以我们提到了叫做指缩中漫
[03420.78-03423.08] 当速度开始变快的时候
[03423.08-03426.98] 这时候时间就会变慢 对吧 叫指缩中漫
[03428.78-03431.38] 这是我们所说的关于 想一想对了
[03431.38-03434.38] 想一想对了他的这种时空不可分的这个观念
[03434.38-03437.68] 以及时间空间相对的观念和扭顿的
[03437.68-03438.98] 绝对时空扭顿不一样
[03438.98-03441.18] 对吧扭顿的绝对时空的理论
[03441.18-03443.58] 它其实来自于随同时眼
[03444.18-03445.46] 是同时
[03445.46-03447.90] 这个点同时没有稍微注意一下
[03447.90-03449.82] 这个是我们所说的
[03449.82-03451.22] 想想对了个关系相对论的话
[03451.22-03452.22] 第一个正式的黑洞
[03452.22-03454.42] 第二广相对论当中比较重要的一个点
[03454.42-03455.86] 就是眼力波
[03455.86-03457.26] 那这是第一个制作
[03457.26-03459.10] 第二制作就是量子力学
[03459.10-03460.90] 所以量子力学电机人破壞客
[03460.90-03462.26] 是由大家共同创丽的
[03462.26-03464.66] 他研究的是微观世界和
[03464.66-03468.10] 扭动经典的学当中的红观世界截然不同
[03468.10-03472.02] 这个要给大家去讲解的整个物理学的支持
[03472.02-03473.62] 那种相对来说比较多
[03473.62-03476.12] 当然同学们一定要有那些设议到的这些点
[03476.12-03478.42] 大家在做体当中都会用得到
[03478.42-03481.32] 我还是那句话像科技文史长史这一类的内容
[03481.32-03484.72] 我们尽可能是在课堂当中给她讲的全面一点
[03484.72-03486.12] 这样你再后去做体的时候
[03486.12-03487.52] 你的压力才会小一点
[03487.52-03491.22] 还是以书本为藍本以作体为補充
[03491.22-03493.32] 那这是我们所说的物理学
