[00000.00-00004.36] 那我們了解了行政法的蓋數之後我們接下來來看一下
[02320.08-02320.80] 说你看看
[02320.80-02321.92] 你看看吗
[02321.92-02323.28] 你要不要帮忙我吗
[02323.28-02324.52] 对吧,你跟法院复诉
[02324.52-02325.64] 反应说行,我帮你
[02325.64-02326.80] 说他法你
[02326.80-02327.64] 他怎么法你呢
[02327.64-02328.84] 你说他给了一个警告
[02328.84-02330.12] 哎呦,都说得好难听
[02330.12-02331.64] 他在行动处发收上写了
[02331.64-02333.24] 我的大名,我的工作
[02333.24-02333.80] 因为什么事
[02333.80-02335.32] 他给我警告处分
[02335.32-02337.28] 我从小到大都没有受此折入
[02337.28-02339.36] 对吧,你就跟法官大人如此复诉
[02339.36-02340.96] 然后法官就跟你说说行
[02340.96-02343.12] 我呢,可以接受你的这个
[02344.12-02346.08] 按键的这个手,这个手里
[02346.08-02349.04] 但是呢,你带是不是提交一下你的处发决定说
[02349.04-02351.80] 你说,没有,我带人说我现在呢
[02351.80-02353.80] 就只知道他给了我一个警告
[02353.80-02356.30] 没有这种我们所说的什么
[02356.30-02358.90] 没有这种疏面的这种处发决定说
[02358.90-02360.54] 你咋人说人家处发你了
[02360.54-02361.46] 女法无俊嘛
[02361.46-02365.00] 所以必须要改有疏面的这种处发决定说
[02365.00-02366.50] 这里面所有的形容处发
[02366.50-02367.60] 都必须是疏面的
[02367.60-02369.60] 这个警告尤其是
[02369.60-02372.00] 因为我们一般路人为警告都是困合的
[02372.00-02373.50] 但是不是只要是处发
[02373.50-02375.30] 它就是疏面的
[02375.30-02376.60] 所以在这里大家注意一下
[02376.60-02377.60] 这是警告
[02377.60-02380.30] 通报批评就是有公告的方式
[02380.30-02381.32] 这公告的方式
[02381.58-02382.60] 就一般情况之下
[02382.60-02383.88] 警告就是只跟你说
[02384.14-02385.42] 对吧,比如说你做了什么事
[02385.42-02387.42] 我告解你,给你一个行政处罚
[02387.42-02387.98] 决定说
[02388.24-02389.26] 然后上面写上
[02389.26-02390.80] 然后几育警告的
[02391.06-02392.08] 行政处罚
[02392.08-02395.14] 然后写上年日,写上我们所说的实行的机关
[02395.40-02396.68] 那只是针对你
[02396.94-02397.46] 个人的
[02397.70-02399.50] 当时如果我做的这个事,太丢人了
[02399.76-02401.54] 比如说我作为快就我作假仗
[02402.32-02404.36] 对吧,那我如果作为快就作假仗
[02404.62-02405.64] 作假仗这个事
[02405.90-02406.40] 说出去
[02406.66-02407.44] 是不是有点丢人呢?
[02407.70-02410.26] 因为当年我们在今天改革的时候,中文剧总理还说了
[02410.30-02411.46] 说希望我们能够怎么样
[02411.46-02412.18] 不做假装
[02412.18-02413.86] 这样天我刚刚看到那个
[02413.86-02415.54] 利认总理的手输
[02415.54-02416.42] 对吧
[02416.42-02417.98] 这个事儿还真的是
[02417.98-02419.74] 看到那个地方还比较观感慨
[02419.74-02421.14] 当然在快点法当中
[02421.14-02422.22] 就一个明确的规定
[02422.22-02422.70] 说了
[02422.70-02424.94] 说如果被造变造快平重
[02424.94-02426.02] 就是你做假装吗
[02426.02-02426.50] 对吧
[02426.50-02428.06] 但是没有够成犯罪
[02428.06-02428.74] 那你看
[02428.74-02430.14] 你毕竟是做错了事儿
[02430.14-02431.50] 然后也没法反律了
[02431.50-02432.58] 但是你没有犯罪
[02432.58-02433.74] 我不能把你抓进去
[02433.74-02434.86] 那这个说怎么办
[02434.86-02437.74] 他说对于上不够成犯罪的
[02437.74-02440.56] 可以有相应的财政部门预以通报
[02440.56-02441.90] 通报的声就是
[02441.90-02442.98] 告诉大家了
[02442.98-02444.68] 这种情况就是像你看
[02444.68-02446.38] 通报批评一般都是什么
[02446.38-02449.98] 一般都是针对大多数公开的
[02449.98-02452.08] 所以在这里警告是针对个人的
[02452.08-02455.28] 通报批评它针对的是公开的形式
[02455.28-02456.70] 所以在这里面大家要注意
[02456.70-02459.26] 所以在这个形容处发种类当作
[02459.26-02461.26] 如果说有细节上考订的
[02461.26-02464.24] 其实是形容居留和警告这两个点
[02464.24-02465.38] 其他的那个点
[02465.38-02467.62] 它其实都是在考察实际
[02467.62-02471.02] 就是他们到底属不属于行政处罚的种类
[02471.02-02472.46] 所以这里面如果有细节的话
[02472.46-02476.02] 你把这两个细节稍微注意一下
[02476.02-02478.86] 好 这个就是行政处罚的种类
[02478.86-02480.30] 行政处罚的种类
[02480.30-02482.66] 要多咱们怎么进 写个生口流
[02482.66-02484.26] 好吧 多独两遍
[02484.26-02487.46] 叫法末通告现生产 现在旁边
[02488.66-02493.70] 叫法末通告现生产
[02493.70-02501.26] 然后责令观挺现从叶
[02505.26-02506.42] 责令观挺现从叶
[02506.42-02509.10] 然后叫账后掉销许可证
[02510.94-02517.50] 责后掉销许可证
[02517.50-02520.66] 然后最后与话就是降低等级副局留
[02520.66-02521.78] 现在这样
[02523.70-02527.86] 降低等級副居留
[02530.14-02532.38] 那這個就是我們的形容處理所在總領
[02532.38-02534.14] 還願意下班在這裡
[02534.14-02536.70] 我覺得或者是順口留著也行
[02536.70-02538.90] 螃蟸通告現生產
[02538.90-02541.62] 螃蟸指的是法款和墨收
[02541.62-02544.42] 墨收就是違法所得和非常財務
[02544.42-02547.62] 通告指的是嗎?通報批評和警告
[02547.62-02548.78] 對吧?現生產
[02548.78-02549.94] 現生產在這了
[02549.94-02551.70] 現質開展生產經活動板
[02551.70-02553.30] 叫螃蟸通告現生產
[02553.30-02557.64] 责令观挺现从业 责令挺产品业 责令观际
[02557.64-02560.86] 责令观挺现从业 现值 从业
[02560.86-02562.84] 后面 责扣吊消许可证
[02562.84-02564.30] 咱们都说了行为法
[02564.30-02566.62] 降低等级副局劳降低等级
[02566.62-02568.90] 我们说了比如说 建筑资质从
[02568.90-02570.90] 级级降到级级 对吧 副局劳
[02570.90-02573.02] 副局劳指的是行政局劳
[02573.02-02574.54] 不要把行政局劳
[02574.54-02575.70] 和司法局劳
[02575.70-02576.82] 还有行事局劳
[02576.82-02577.82] 就能去分开
[02577.82-02579.50] 这个就是行政处法的总练
[02579.50-02581.62] 非常重要的一个点 大家一定要注意
[02581.62-02585.00] 一定要集清清楚形容居留有哪些
[02585.00-02587.90] 它容易混小形装抢治来考察
[02587.90-02590.72] 第二就是形容居留里面有两个细节的点
[02590.72-02591.46] 大家要注意
[02591.46-02595.52] 第三个就是看到这些相应的这些什么法款什么的
[02595.52-02597.82] 如果一旦处理一件形的题目
[02597.82-02599.72] 你就知道这些形为可以直接够
[02599.72-02600.62] 可以直接够
[02600.62-02601.84] 它属于具体形成形为
[02601.84-02603.82] 一共就这三个考察委度
[02603.82-02608.38] 那这是第一个叫做形容处法的种类
[02608.38-02610.30] 那了解了形容处法种类之后
[02610.30-02612.10] 咱们就来看一下咱们所说的
[02612.10-02613.50] 你看像这种处罚呢
[02613.50-02616.50] 一般情况下都是给你增加相的负担的
[02616.50-02617.50] 换句话说呢
[02617.50-02620.78] 那相给我们所说的增加老百姓的这种负担
[02620.78-02622.70] 渐损它的权益的这种事
[02622.70-02625.02] 我们必须怎么样必须甚至用事
[02625.02-02627.18] 因为形容法在本质上
[02627.18-02628.38] 它其实是要干嘛的
[02628.38-02631.98] 形容法在本质上它其实要进行相的空权
[02631.98-02634.62] 所以的这种空权在我们看来的就是
[02634.62-02638.82] 一定要给它设施更多的这种什么法律上的限制
[02638.82-02641.64] 并不是说你出台一个我们所说的
[02641.64-02643.16] 相应的规判新法文件
[02643.16-02645.10] 你就可以去规定形证拘
[02645.10-02646.66] 那这种情况这下就乱套了
[02646.66-02648.50] 那如果说地方现政府
[02648.50-02650.60] 自己想要打击贯扶什么人
[02650.60-02651.88] 他随时出一个文件
[02651.88-02653.16] 那就能把你抓起来
[02653.16-02654.96] 那这种情况下是非常可怕的
[02654.96-02658.84] 所以我们对于刚才所给到的这些形证处法的这种设定
[02658.84-02660.78] 他有非常严格的要求
[02660.78-02662.98] 并不是所有的规判新法文件
[02662.98-02666.24] 并不是只要是政府也好或者是地方的立法
[02666.24-02667.92] 反美好 你只要出台了一个文件
[02667.92-02670.72] 你就能规定什么形容具留大
[02670.72-02672.08] 这并不是这个样子
[02672.08-02673.36] 所以它为了控权
[02673.36-02678.40] 它对于这种形容规定规定
[02678.40-02680.16] 我们就来看一下第二个点
[02680.96-02682.40] 在这里它所给到的
[02682.40-02684.72] 形容规判的设定问题
[02684.72-02686.72] 我们的形容规判的设定
[02686.72-02688.16] 首先来看一下第一个
[02688.16-02690.16] 全国人大机场委会
[02690.16-02692.00] 其实全国人大机场委会
[02692.00-02693.12] 制定的是啥呢
[02693.12-02695.68] 全国人大机场委会制定的是法律
[02695.68-02699.22] 大家注意一下,我们经常听到的某某法比如说
[02699.22-02702.92] 刑法、民法、刑政法与刑政诉讼法
[02702.92-02705.28] 你看到它后面带什么什么法的
[02705.28-02706.94] 那这种一般都是什么
[02706.94-02709.36] 都是全国人那机场委会制定的
[02709.36-02712.02] 国家最高层级的规范刑法文件
[02712.02-02715.60] 国家最高层级的规范刑法文件就叫做法律
[02715.60-02717.80] 那法律可以设定哪些触法呢
[02717.80-02720.20] 因为都已经是最高的规范刑法文件了
[02720.20-02721.70] 所以在这里大家注意一下标准
[02721.70-02723.12] 圈一,这是法律
[02723.12-02725.44] 你可以设置各种刑政触法
[02725.44-02728.84] 你比如说在这里面什么形容居留啊
[02728.84-02731.72] 贪货掉消息我正见啊降低自这等级啊
[02731.72-02733.48] 你都可以有法律去设定
[02733.48-02736.28] 所以第一个它是可以设定各种形容处法的
[02736.28-02737.52] 第二个大家注意一下
[02737.52-02739.44] 在所有的这形容处法当中
[02739.44-02741.16] 限制人生自由的
[02741.16-02743.64] 就是刚才我们所说的什么形容居留
[02743.64-02746.16] 形容居留只能有法律来设定
[02746.16-02750.68] 比如说官局针对于什么什么样的形容也可以形容居留多少天
[02750.68-02753.68] 那它必须是依据某某法的规定
[02753.68-02757.08] 而不能说是与举国务院出台的形容法规的规定
[02757.08-02759.08] 因为形容法规没有办法设置
[02759.68-02761.80] 我们所说的人身自由的相当处法
[02761.80-02762.68] 明白了吧
[02762.68-02764.28] 所以你看我们经常要看到
[02764.28-02767.36] 说如果我们在网上会电商看到一个人
[02767.36-02768.08] 说关系说
[02768.08-02769.16] 我要对你举留三天
[02769.16-02770.28] 我对你举留五天
[02770.28-02771.68] 他给你的形容处法
[02771.68-02773.16] 决定出上的一句
[02773.16-02775.16] 因为形容处法决定处上一定会有一句
[02775.16-02777.28] 他一定是与举什么什么法
[02777.28-02780.20] 他不能说在这个形容处法决定说的预计上说
[02780.20-02782.50] 因為什麼什麼行政法規
[02782.50-02784.10] 遇據什麼什麼不門規章
[02784.10-02786.34] 急於你幾天幾天的行政局留
[02786.34-02787.00] NO
[02787.00-02788.46] 你這大聲的CNO
[02788.46-02789.30] 因為這種情況下
[02789.30-02791.62] 這下大主義行政局留
[02791.62-02793.50] 這種人生自由的
[02793.50-02794.86] 只能是由誰
[02794.86-02796.50] 只能是由法律來規定的
[02796.50-02797.50] 他是法律保留
[02797.50-02799.90] 他可以最大憲怒的控制
[02799.90-02801.20] 我們所說的這種
[02801.20-02803.80] 我們所說的這種局留的這種權力
[02803.80-02805.20] 那他一段控權的話
[02805.20-02807.30] 其實對老闆心來說是一種保護
[02807.30-02808.60] 所以在這裡大家注意一下
[02808.60-02809.88] 这个地方我先给大家说一下
[02809.88-02811.00] 他考的就是对应
[02811.00-02812.08] 考的就是对应
[02812.68-02814.08] 所以法律能设定
[02814.08-02815.40] 所有的刑法都种类
[02815.40-02817.44] 所有的刑政处法都种类
[02817.44-02820.08] 而且有习惯人身自由的处法
[02820.08-02821.40] 只能有法律来设定
[02821.40-02823.32] 这是在国家的规范性反应件
[02823.32-02824.68] 当中的第一个层级
[02824.68-02826.04] 就是叫法律
[02826.04-02827.24] 那第二个层级
[02827.24-02829.60] 就是国务院出台的刑政法规
[02829.60-02830.32] 大家注意一下
[02830.32-02831.84] 在规范性反应件当中
[02831.84-02834.52] 第二个层级的就叫做刑政法规
[02834.52-02836.24] 刑政法规是谁出台的呢
[02836.24-02838.80] 行政法規是國務院來出台的
[02841.62-02843.66] 行政法規是國務院來出台的
[02843.66-02846.98] 有很多朋友就說老師為什麼國務院出台的叫行政法規
[02846.98-02848.28] 他是相的
[02848.28-02850.78] 我們的憲法的政規列你就知道
[02850.78-02855.18] 他們每一個部門或者是每一個制定的法律的主體
[02855.18-02858.26] 他出台的規範性法文件的名稱是不一樣的
[02858.26-02859.80] 全國人那集常委會
[02859.80-02862.10] 我們所說的產生的叫做法律
[02862.10-02865.16] 國務院產生的叫做行政法規
[02865.16-02869.36] 那国务院下摄的部门比如说教育部、国安部、比如说财政部
[02869.36-02871.56] 他们出台的叫做部门规章
[02871.56-02872.84] 就是名字都不一样
[02872.84-02876.24] 这个地方本身他对于很多末生的同学来说
[02876.24-02877.64] 他就是一个难典
[02877.64-02879.88] 他难不是在于这个支持电影有多难
[02879.88-02882.52] 而是在于他没有办法去记住
[02882.52-02884.12] 他不记住的原因很简单
[02884.12-02885.52] 同们在学这个地方的时候
[02885.52-02887.24] 你实时需要一些耐心的
[02887.24-02888.36] 你不要一听说
[02888.36-02892.24] 老实他是一个我末生的词
[02892.24-02893.60] 我就末认他很难
[02893.60-02894.48] 其实不是的
[02894.48-02896.12] 他只割就是一个对应
[02896.12-02898.80] 而这种对应对我们生活来说的比较远
[02898.80-02901.44] 他不是技术层面的男同学们
[02901.44-02904.56] 他是大家在学习上实际层面的男点
[02904.56-02906.96] 你这个地方只要多一些耐心就能给他对应好
[02906.96-02907.44] 好吧
[02907.44-02909.96] 所以这里大家要稍微的有些耐心
[02909.96-02911.84] 所以在这里我们来看一下第二个
[02912.56-02913.84] 就是在法律
[02913.84-02914.84] 这个规划性法案件
[02914.84-02916.52] 层级之下就形容法规
[02916.52-02919.52] 形容法规可以设定哪些形容处法的种类
[02919.52-02920.08] 大家注意一下
[02920.08-02921.84] 除人生自由以外的
[02921.84-02923.48] 所有的形容处法的种类
[02923.48-02925.28] 法規都可以去接銷
[02925.28-02927.08] 形狀法規都可以去接銷
[02927.08-02927.84] 設定
[02927.84-02929.64] 所以這是第二個帶著注意下
[02929.88-02931.16] 第三一個就要做
[02931.16-02932.44] 地方性法規
[02932.44-02933.96] 地方性法規是什麼呢
[02933.96-02936.60] 就是地方人大集結常委會
[02936.60-02937.80] 大家注意下你看
[02937.80-02939.88] 我們國家的系統其實是分明的
[02939.88-02941.64] 因為國家他想要運行下去
[02941.64-02943.20] 他必須是分工明確的
[02943.20-02944.80] 比如說我們國家有什麼機關呢
[02944.80-02946.28] 我們國家有權力機關
[02946.28-02947.56] 這很多說一個這樣
[02947.56-02948.80] 當然通行門可能
[02948.80-02950.12] 就沒有辦法去給他
[02950.12-02951.40] 說了很清楚
[02951.40-02953.80] 文国亚出了有全力机关还有什么呢
[02953.80-02955.56] 还有行政机关听过吧
[02955.56-02956.88] 还有我们所说的什么
[02956.88-02958.64] 还有我们所说的司法机关
[02958.64-02961.48] 还有军事机关还有监察机关
[02961.48-02962.64] 都听过吧这些
[02963.92-02964.92] 你说老师没有
[02964.92-02965.96] 没有的话没关系
[02965.96-02967.40] 我说了你们就听过了吗
[02967.40-02967.80] 对吧
[02967.80-02968.80] 所以在这里看
[02968.80-02969.96] 一个国家的运行
[02969.96-02972.00] 他需要各种机关配合
[02972.00-02973.80] 我们国家的全力机关叫什么
[02973.80-02975.24] 叫做人大
[02975.24-02977.76] 而人大指的是人民代表大会
[02977.76-02980.28] 但人民代表大会分布分层级呢
[02980.28-02982.60] 任何集官都是分层级的
[02982.60-02985.28] 最高一就是全国人民代表大会
[02985.28-02988.40] 所以就全国人大我们经常听到开两回嘛
[02988.40-02989.04] 对吧
[02989.04-02991.36] 你看全国人大在下面有没有省人大
[02991.36-02992.80] 有啊有省人大
[02992.80-02995.40] 有没有地方人大有没有市人大有啊
[02995.40-02998.12] 那这种就叫做地方人大
[03000.56-03003.28] 你看全国人大制定的叫做什么呢
[03003.28-03006.76] 全国人大制定的规犯性法文件就叫做
[03006.76-03008.72] 我用其他的颜色好吧
[03008.72-03012.20] 全國人大之間的規範性反文件叫做反律
[03012.20-03013.60] 那我們所說的
[03013.60-03016.28] 地方人大他也會制定規範性反文件
[03016.28-03019.72] 因為有一些問題和狀況只能地方去實行
[03019.72-03022.04] 比如說全國人大他不了解了遼寧省
[03022.04-03023.40] 他的一個省情省礦
[03023.40-03026.24] 所以針對於遼寧省比較有特色的當地的
[03026.24-03027.64] 他的一些經濟的運行
[03027.64-03029.28] 他的一些行為規範
[03029.28-03032.48] 那就必須有遼寧省自己最遼寧自己去設定
[03032.48-03033.72] 全國人大不管
[03033.72-03035.72] 那這個時候就要有地方人
[03035.72-03037.40] 比如說遼寧省人大
[03037.40-03040.12] 去制定了遼寧省相遇性的法律規範
[03040.12-03042.36] 那这个时候遼寧省人大制定了就要什么
[03042.36-03043.88] 就叫做地方性法规
[03047.32-03048.84] 就叫做地方性法规
[03048.84-03050.00] 所以你看他们都是反
[03050.00-03053.36] 就有点累碎于红丸层面上的那种法文件
[03053.36-03053.96] 明白吧
[03053.96-03055.00] 所以在这里你看
[03055.00-03056.64] 这是我们所说的这两个
[03056.64-03059.04] 那地方性法规是不是是个地方就能
[03059.04-03061.08] 比如说省人大事人大现人大
[03061.08-03063.64] 虾人大能不能制定地方性法规的
[03063.64-03064.28] 不行的
[03064.28-03066.40] 一般我们所说的地方性法规是什么
[03066.40-03068.54] 受人大或是人的
[03068.54-03069.54] 不要吵件
[03069.54-03070.52] 所以在这里面
[03070.52-03072.34] 这时候我们所说的地方性法规
[03072.34-03073.78] 那地方性法规在这里
[03073.78-03074.40] 我们来看一下
[03074.40-03076.46] 它可以设置哪一些
[03076.46-03077.92] 我们所说的这种
[03077.92-03078.94] 形容处法
[03078.94-03080.10] 在这里标注一下
[03080.10-03080.86] 它设置的是
[03080.86-03082.74] 出现只人身自由的
[03082.74-03084.50] 因为人身自由是法律保留
[03084.50-03085.30] 只能使得
[03085.30-03086.36] 只能法律来
[03086.36-03089.14] 以及调销影液指挫以外的形容处法
[03089.14-03090.62] 同样这里面的细节在这
[03090.62-03092.52] 是调销影液指挫
[03092.52-03095.14] 注意是不是调销虚和证件
[03096.40-03098.96] 不是 这里是调销研液指赵
[03098.96-03102.28] 自先于什么 指先于调销这一个行为
[03102.28-03104.08] 其他指先于营业指赵
[03104.08-03105.36] 调销研液指赵
[03105.36-03106.96] 地方性反微不能设置
[03106.96-03108.80] 你说老师为什么调销研液指赵
[03108.80-03110.48] 地方性反微不能设置呢
[03110.48-03111.44] 很简单
[03111.44-03113.28] 因为房子 地方保护
[03113.28-03115.12] 我们想一下一个企业的运营
[03115.12-03116.36] 他必须要研液指赵
[03116.36-03118.96] 比如说我是东北代 对吧
[03118.96-03119.96] 我是吉利人
[03119.96-03121.04] 我做一个级念人
[03121.04-03122.16] 我想上点投资
[03122.16-03123.92] 我想来怎么山东省投资
[03123.92-03127.00] 那我做一个几天人我来到山东省来进行投资的时候
[03127.00-03129.04] 我就必须在地方开场子
[03129.04-03131.36] 我不在地方开场子我怎么去搞生产呢
[03131.36-03133.32] 于是我就在地方开了场子
[03133.32-03136.96] 然后这个场子越做越大越做越想越做越大越做越想
[03136.96-03140.32] 然后我就把很多地方山东的这种场子
[03140.32-03141.36] 就给几黄了
[03141.36-03144.08] 那这种情况下的很多这种地方山东的场子
[03144.08-03145.04] 它只能不爽
[03145.04-03146.92] 它这个时候它就会找
[03146.92-03148.36] 政府问它就去讨论
[03148.36-03150.92] 它就要说反正就去找这个事的
[03150.92-03152.40] 那这个时候同们看
[03152.40-03154.44] 如果说地方性反对
[03154.44-03157.88] 他有这个设立掉销影院指账的资质
[03157.88-03158.96] 那同们想一下
[03158.96-03161.16] 出于地方保护的考量
[03161.16-03163.16] 他是不是就很容易把我的状态指账
[03163.16-03163.84] 给我掉销了
[03163.84-03165.32] 为什么因为我是外地人呢
[03165.32-03166.24] 那这种情况之下
[03166.24-03167.16] 你觉得合理吗
[03167.16-03167.84] 不合理
[03167.84-03169.88] 所以我们国家为了市场接近的运营
[03169.88-03170.40] 说了
[03170.40-03172.40] 掉销影院指账的这种事
[03172.40-03173.04] 注意
[03173.04-03174.28] 地方性反归
[03174.28-03175.32] 不能涉
[03175.32-03176.08] 明白了吧
[03176.08-03177.48] 地方性反归不能涉
[03177.48-03178.00] 所以在这
[03178.00-03179.40] 大家注意这是掉销
[03179.40-03181.22] 贏也指照,调研也指照
[03181.22-03182.22] 那在往下呢
[03182.22-03183.12] 我们来看一下
[03183.12-03184.16] 在往下的有给到了
[03184.16-03185.40] 叫做不门规张
[03185.40-03188.04] 不门规张是规张的一种形式
[03188.04-03189.46] 咱们接着来看
[03189.46-03190.80] 不门规张怎么会事
[03190.80-03191.80] 不门规张在哪呢
[03191.80-03192.92] 在形成极关这
[03192.92-03194.52] 形成极关咱们其实讲过
[03194.52-03197.88] 它包括一般极关和专门极关
[03197.88-03198.92] 一般极关就是
[03198.92-03200.64] 我们所说的政府这一集别的
[03200.64-03201.24] 对吧
[03201.24-03201.92] 政府
[03204.64-03206.04] 就是我们所说的
[03206.04-03207.44] 政府这一个集别的
[03207.44-03211.20] 政府这个级别的话就包括第一个就是国务院呗
[03213.20-03215.08] 大家还记得我们讲的形容系统
[03215.08-03215.84] 国务院
[03215.84-03216.92] 国务院下什么呢
[03216.92-03219.28] 国务院下社省政府
[03219.28-03222.28] 然后省政府在下社市政府
[03222.28-03224.00] 然后市政府在下社
[03224.00-03226.08] 现任府,现任府下商量不写了
[03226.08-03227.88] 这个就要做一般习惯
[03227.88-03229.84] 但是国务院除了下社政府之外
[03229.84-03230.80] 他管不管不满
[03230.80-03232.08] 他当然管不满了
[03232.08-03233.92] 他都顾门包括教育部
[03233.92-03235.96] 包括财政部等等
[03235.96-03237.00] 等等这些热的
[03237.00-03237.72] 我就不行了
[03237.72-03238.80] 这个大家也都知道
[03238.80-03240.04] 那他们来看一下
[03240.04-03241.00] 每一个机关
[03241.00-03242.56] 它都能够制定相当的规判性
[03242.56-03243.48] 还反顾见
[03243.48-03245.04] 国元制定的规判性法文件
[03245.04-03245.96] 叫做什么
[03245.96-03247.88] 叫做行政法规吗
[03249.24-03250.76] 它制定的规判性法文件
[03250.76-03252.84] 在法律团形上叫做行政法规
[03252.84-03254.20] 那这里面他还往下
[03254.20-03255.68] 还有其他的行政系统
[03255.68-03257.44] 比如说省政府
[03257.44-03258.52] 比如说教育部
[03258.52-03259.76] 省政府和教育部
[03259.76-03261.72] 也可以针对相应的问题
[03261.72-03264.12] 出台相当的规判性文件
[03264.12-03265.84] 那省政府出台的规判性文件
[03265.84-03266.60] 叫做什么
[03266.60-03268.60] 叫做政府規章
[03270.52-03273.64] 当然了 如果是省级的话就叫了省政府規章了 对吧
[03273.64-03279.00] 那如果是教了不出台的呢 那也叫規章 叫做什么規章 叫做部门規章
[03281.40-03286.20] 所以我们才经常说 什么叫政府規章和部门規章 通称为規章
[03286.20-03290.16] 这是他们制定的相应的规凡性文件的名称
[03290.16-03292.96] 那在这里面我们来看一下 在我下呢 就是
[03292.96-03295.20] 我们刚才说到的点了
[03295.20-03297.52] 就是我们提到的国务院的碰文规章
[03297.52-03300.44] 国务院的碰文规章可以设定哪些形容处伐呢
[03300.44-03301.44] 在这里他说了
[03301.44-03306.32] 可以设定叫做警告批评通报和一定数额的法款
[03306.32-03309.20] 他就只能设定这三个其他的都不行
[03309.20-03311.76] 所以在这里大家注意下这是碰文规章
[03311.76-03313.96] 那还有就是地方政府规章
[03313.96-03316.92] 地方政府规章和刚才的碰文规章一样
[03316.92-03320.56] 叫做警告批评设定数额的法款
[03320.56-03324.24] 所以你就可以隆统的去计就是规章可以设定的
[03324.24-03326.20] 规章可不可以设定形状剧料
[03326.20-03328.32] 比如说省政府出台政府规章
[03328.32-03330.48] 对随地乱土壤的人
[03330.48-03333.28] 与意也三日的形状剧料可不可以呢
[03334.48-03335.28] 房了吗
[03335.28-03336.52] 形状剧料只能谁来
[03336.52-03337.36] 只能法律来
[03337.36-03338.92] 省政府有没有权无权
[03338.92-03340.20] 他如果以这个
[03340.20-03341.56] 我们说了他如果以说
[03341.56-03343.40] 省政府出台相当的政府规章
[03343.40-03344.76] 对随地土壤的人
[03344.76-03346.04] 与三日形状剧料
[03346.04-03347.80] 以这个为一句把你抓起来
[03347.80-03348.92] 你听不听啊
[03348.92-03350.00] 你只听不听啊
[03350.00-03353.80] 因为行政局留限制人生自由只有十六权力设定
[03353.80-03355.08] 法律有权力设定
[03355.08-03355.76] 明白了
[03355.76-03357.44] 所以在这里大家要注意一下
[03357.44-03360.00] 这是我们所说的行政规章
[03360.00-03363.20] 行就做地方政府规章它的一个设定
[03363.20-03365.32] 这个就是有关于行政处法
[03365.32-03367.08] 所以我们到这就把行政处法
[03367.08-03369.52] 它的一个概数给大家去讲解清楚了
[03369.52-03372.40] 行政处法在这里包括这么几个方面
[03372.40-03373.52] 咱们简单的回忆一下
[03373.52-03375.72] 首先第一个就是行政处法的概数
[03375.72-03377.08] 我们在行政处法概数当中
[03377.08-03378.32] 其实讲了这么几个点
[03378.32-03381.06] 就是要从盖速当中明确他的四个特征
[03381.06-03381.66] 对吧
[03381.66-03383.30] 咱们来回忆一下第一个特征
[03383.30-03386.24] 第一个特征就是必须谁来做行政
[03387.24-03388.30] 机关来做
[03388.30-03388.82] 第二个
[03388.82-03390.40] 形狀机关几育谁的处罚
[03390.40-03392.02] 是不是内部工作人员
[03392.02-03394.44] 不是而是针对于行政机关
[03394.44-03397.40] 外部的公民法人和其他组织
[03397.40-03397.78] 对吧
[03397.78-03398.54] 第三一个呢
[03398.54-03399.22] 就是
[03399.22-03400.86] 他行政处罚
[03400.86-03402.70] 他一定就有一定的成界性
[03402.70-03403.54] 怎么成界呢
[03403.54-03405.14] 要么检损你线我的权益
[03405.14-03407.38] 要么增加你的心的负担
[03407.38-03408.70] 所以在这里面
[03408.70-03410.60] 这是它成界性的一个体现
[03410.60-03412.82] 所以你判则是形容处罢就看
[03412.82-03415.56] 它有没有增加你的负担就可以了
[03415.56-03417.62] 比如说我们所说的
[03417.62-03418.50] 撤销
[03418.90-03420.18] 还有掉销
[03420.18-03421.86] 撤销是恢复原装
[03421.86-03423.18] 你本来就不应该有
[03423.18-03425.14] 所以撤销它不属于什么
[03425.14-03427.22] 撤销它不属于我们所说的
[03427.94-03428.82] 形容处罢
[03428.82-03431.10] 但是掉销是你原本可以做
[03431.10-03432.22] 但是现在怎么样
[03432.22-03434.26] 现在你因为做错事老闻发炼
[03434.26-03435.86] 这有时候掉销是属于什么
[03435.86-03437.54] 掉消开始水形容出来的
[03437.54-03438.10] 面确
[03438.10-03439.26] 那第4个我们说了
[03439.26-03442.30] 那形容处伐不同于形式处伐
[03442.30-03443.50] 形式处伐是什么
[03443.50-03445.14] 是你没法的形伐
[03445.86-03446.94] 那么不好意思
[03446.94-03447.46] 对吧
[03447.46-03449.66] 那这时候你就不叫做没法了
[03449.66-03451.54] 如果没法形伐就要犯罪了
[03451.54-03452.82] 所以在这里面大家注意一下
[03452.82-03454.14] 这是第一个它的概束
[03454.14-03456.58] 明确在四个特征考遍西题目
[03456.58-03457.82] 以下观形容处伐
[03457.82-03459.70] 说法正确或错误的事对吧
[03459.70-03462.10] 那处伐毕竟是成借
[03462.10-03462.42] 对吧
[03462.42-03465.06] 毕竟是要针对公民的权益进行检损
[03465.06-03468.14] 所以在这里面我们说了厨发就一定要甚至有事
[03468.14-03470.86] 所以形容厨发一定会有相应的什么原则
[03470.86-03473.02] 原则的厨发定原则很简单
[03473.02-03473.50] 不说了
[03473.50-03475.90] 重点在于一世不在法原则
[03475.90-03477.74] 一世不在法第一个是什么
