[00000.00-00005.00] 好的 那我們既然來看一下第三個部分的內容叫做高興技術
[00005.00-00010.00] 我們說了在整個科技場史 我們要講技術的昨天叫做科技發言史
[00010.00-00016.00] 技術的今天也去研究一些技術科學 那最後一個就是展望技術發展的明天
[00016.00-00021.00] 就是我們所說的高興技術 高興技術 我們以國要給大家講七節的內容
[00021.00-00026.00] 這七節內容的包括第一個 就是高興技術 他到底是怎麼回事 講一個大概的概數
[00026.00-00029.24] 但是這個概數它不是一個考察的一個重點
[02280.26-02282.90] 所以在这里 这才是体现它的吹化作用
[02282.90-02283.66] 这是第一个
[02283.66-02286.50] 第二个就是加美习粉加上习习习习习习习习习的时候
[02286.50-02288.02] 是不是温度越高越好呢
[02288.02-02289.54] 我们传统一上去觉得
[02289.54-02291.66] 是温度越高 游屋分解越快
[02291.66-02293.58] 因为我们平时刷碗的时候
[02293.58-02294.90] 你是不是都有这种感觉
[02294.90-02297.42] 你这个习低连或者是这个习阶金
[02297.42-02300.34] 以前家里像之前的时候没有习阶金
[02300.34-02301.42] 研发的时候 都用
[02301.42-02303.74] 这说你吃的那个盘子碗都很有的时候
[02303.74-02304.86] 你都用什么来刷
[02304.86-02307.22] 都用开水来刷油热水来烫一下
[02307.22-02309.10] 然后正请我这下就发现更好说
[02309.10-02310.26] 它不年手 对吧
[02310.26-02311.82] 所以我们传统一上就理解
[02311.82-02312.46] 温度越高
[02312.46-02314.54] 它对于油热的分解效果就会越快
[02314.54-02316.30] 那加没习粉一样的
[02316.30-02319.38] 那我们说了加没习粉本身就加速了油热的分解
[02319.38-02320.82] 那是不是要把加没习粉当中
[02320.82-02322.38] 再去加进去热水
[02322.38-02323.98] 它的清理效果会更好呢
[02323.98-02324.86] 当然不是
[02324.86-02326.34] 所以加没习粉这个地方
[02326.34-02326.98] 大家注意一下
[02326.98-02327.66] 像四个字
[02327.66-02329.22] 它的温度要是中
[02330.26-02331.30] 因为我们刚刚说了
[02331.30-02332.70] 每一的本质是一种什么
[02332.70-02333.74] 但百质嘛
[02333.74-02335.98] 所以如果温度越高的话
[02335.98-02338.22] 但买值得活性就会越低
[02338.22-02340.94] 我本来加美是为了促进它的分解的
[02340.94-02343.22] 如果你快差一下给我来个包高温
[02343.22-02345.34] 这个加美习粉当中的这个美
[02345.34-02347.06] 它的活性是不是就被一直住了
[02347.06-02349.02] 它分解游户的效果就不好了
[02349.02-02350.06] 所以在这里面
[02350.06-02351.18] 同时注意一下
[02351.18-02353.22] 考试的时候经常会考一个细节
[02353.22-02356.22] 说加美习粉温度越高
[02356.22-02357.70] 游户分解效果越快
[02357.70-02358.54] 对不对
[02358.54-02358.94] 不对
[02358.94-02360.58] 温度是中
