[00000.00-00004.90] 好了,那我们了解了三大国税当中的中英和国务化之后呢,
[02402.60-02405.96] 第二个念念是具有医院性的念白
[02405.96-02407.64] 我們經常聽到經具的時候
[02407.64-02409.40] 就是他唱唱了之後就
[02409.40-02411.80] 包一圈然後眼鏡
[02411.80-02413.80] 然後就開始在那裡說一些獨擺
[02413.80-02417.04] 那這種情況之下就叫做念白
[02417.04-02417.96] 那叫念白
[02417.96-02420.60] 做就是做表和深度
[02420.60-02422.92] 我們經常能夠看到他有一些什麼呢
[02422.92-02425.80] 他有一些挺頓事的動作
[02425.80-02426.80] 就類似於這種
[02426.80-02428.60] 對吧或者是對他是那深度
[02428.60-02430.76] 什麼要求比如說你的手
[02430.76-02433.04] 你的眼睛順著你的手怎麼走
[02433.04-02434.84] 那這種其實就叫做做
[02434.84-02437.56] 类似于特征我们所说的这种表演
[02437.56-02439.04] 而最后一个就是打
[02439.04-02441.16] 打的话就是交武术和武道
[02441.16-02444.44] 融合也是我们常见到这种武打动作
[02444.44-02448.12] 所以这四种被称为叫做唱念作打
[02448.12-02449.96] 需要他们掌握在这里
[02449.96-02451.92] 要知道这四种一数表演形势
[02451.92-02454.92] 它分别对应的含意是什么
[02454.92-02458.32] 这是我们需要同学掌握的关于它的具体的表现
[02458.32-02460.44] 我们刚才在讲到
[02460.68-02463.16] 我们所说的这个竞权的时候
[02463.16-02464.84] 用说了花脸 对吧
[02464.84-02468.00] 而不同的这样的一个脸普的颜色
[02468.00-02471.00] 它对应的体验性格也不一样
[02471.00-02472.12] 所以我们才有了那个
[02472.12-02473.80] 叫唱脸普的那首歌
[02473.80-02475.10] 对吧 什么蜜脸的都是
[02475.10-02476.80] 都要到玉码之类之中
[02476.80-02477.08] 对吧
[02477.08-02478.72] 所以我们也知道它不同的人物
[02478.72-02480.68] 可能对应不同的性格
[02480.68-02481.92] 那需要同们掌握的
[02481.92-02483.68] 这是脸普当中的
[02483.68-02485.12] 人物性格的对应
[02485.12-02486.28] 到底是什么啊
[02486.28-02487.68] 你看在这里他说了
[02487.68-02490.44] 说脸普是运用色彩和信条
[02490.44-02492.32] 勾乐成各种图案
[02492.32-02494.32] 以象征人物的性格和品質
[02494.32-02499.16] 基本上可以分成紅白黑黃、藍綠和金隱
[02499.16-02502.16] 每一個都代表不同的人物
[02502.16-02503.52] 我們先來看一下
[02503.52-02505.00] 其實有關於聯譜
[02505.00-02507.16] 我們經常能看到那種共產黨的花蓮
[02507.16-02509.32] 我們就感覺那個蓮花很有意思
[02509.32-02510.48] 但是它要知道
[02510.48-02511.96] 我剛說了戲曲
[02511.96-02513.84] 它其實是文化了一個組成部分
[02513.84-02514.32] 對不對
[02514.32-02517.48] 所以它這些人物的角色的塑造
[02517.48-02518.80] 其實不是隨隨便便
[02518.80-02520.84] 说给它脸上土上一些油彩
[02520.84-02522.64] 就画出来的 其实不是的
[02522.64-02525.60] 在整个我们所说的脸铺的呈现当中
[02525.60-02527.00] 它有很多的细节
[02527.00-02529.20] 如果去观察到说这个脸铺
[02529.20-02530.96] 它大概展现的人物形象
[02530.96-02532.12] 气质形象是什么样
[02532.12-02533.84] 你要从这细节去观察
[02533.84-02535.56] 有看一个脸铺
[02535.56-02537.24] 主要看它的这几个方面
[02537.24-02538.32] 我们注意啊
[02538.32-02541.08] 一个脸铺当中主要去看它的颜色
[02541.08-02542.76] 五官 符号
[02542.76-02544.56] 以及通过这些之后
[02544.56-02546.96] 综合出来的整体的气质
[02546.96-02549.52] 来去断定他的人物性格
[02549.52-02552.24] 比如说像在这里给大家搞了一个脸铺
[02552.24-02553.88] 不知道同学们对于这张脸铺
[02554.88-02555.92] 属不属性
[02555.92-02558.44] 你感觉这张脸铺给你带来的是啥感觉呢
[02558.44-02559.24] 你看他的
[02559.24-02562.32] 我们就按照我们所说的10脸铺的细来看
[02562.32-02565.32] 说你看一下他的整体上的细节是什么
[02565.32-02568.16] 是呈现的主演色是红色
[02568.16-02570.60] 那其实红色对应的性格一般情况之下
[02570.60-02571.28] 我们都知道
[02571.28-02572.56] 您要想关于对吧
[02572.56-02574.00] 关而言的脸红
[02574.00-02576.28] 红色的性格往往对应的都是吗
[02576.28-02578.40] 都是相对来说比较政治的性格
[02578.40-02579.36] 那第二个就是
[02579.36-02580.36] 那我们就确定了
[02580.36-02582.08] 这张脸头相对来说
[02582.08-02583.84] 这个性格人物的主要的
[02583.84-02585.04] 这样的性格就是
[02585.04-02587.16] 相对来说比较政治比较终用的
[02587.16-02588.00] 这些累的人物
[02588.00-02588.36] 对吧
[02588.36-02589.40] 那这是颜色
[02589.40-02591.12] 第二个就是看他的什么呢
[02591.12-02592.60] 看他的武关
[02592.60-02593.80] 你看一下这个人的武关
[02593.80-02595.76] 就是这个黑白色所呈现出来了
[02595.76-02597.12] 好看还是不好看
[02598.76-02600.20] 只能就是不咋好看
[02600.20-02600.48] 对吧
[02600.48-02601.32] 那你说断定出来
[02601.32-02602.88] 他的武关相对来说比较丑
[02602.88-02603.32] 对吧
[02603.32-02604.84] 那第三个就是要看
[02604.84-02606.84] 这个角色当中所特有的这个符号
[02606.84-02608.52] 他们来看一下在这个脸铺当中
[02608.52-02609.40] 因为看到这个
[02610.40-02613.48] 在这里面所呈现出来的这个东西
[02613.48-02615.88] 你看在它的鸽头上的这个东西
[02616.20-02618.68] 这个其实是可以说是这张脸铺
[02618.68-02620.68] 獨特特有的这样的一个符号
[02620.68-02621.80] 这个是什么呢
[02621.80-02622.52] 大家注意一下
[02622.52-02624.68] 这个是它鸽头上的练痕
[02624.92-02627.00] 这个脸铺的人物形像是谁呢
[02627.00-02627.80] 大家明确
[02627.80-02630.20] 这个脸铺的人物形像是中虧
[02630.20-02631.80] 大家其实知道中虧对吧
[02631.80-02632.84] 注意天失嘛
[02632.84-02634.44] 中悔就是考上了
[02634.44-02635.84] 但是因为长得比较丑
[02635.84-02636.68] 大家都嫌弃了
[02636.68-02638.84] 最后他撞住而网了
[02638.84-02641.20] 所以你看像中悔这样的一个人物性格
[02641.20-02642.60] 整体上的性格特征
[02642.60-02644.48] 是不是很政治中用呢
[02644.48-02646.52] 而我们都知道中悔长得好不好看
[02646.52-02647.40] 中悔长得不好看
[02647.40-02649.04] 相对来说有点丑
[02649.04-02649.48] 对不对
[02649.48-02651.12] 所以在这个你看他的武关上
[02651.12-02653.28] 其实展示的就是他的个性
[02653.28-02654.40] 而他头上的这个
[02654.40-02657.00] 我们都知道中悔最终撞住而死
[02657.00-02658.32] 很中列的整理一个人
[02658.32-02658.64] 对不对
[02658.64-02659.72] 性格很高烈
[02659.72-02660.96] 所以这个头上
[02660.96-02663.36] 他的额头上所画的金黄色的东西
[02663.36-02665.16] 就是刚才给大家呈现的这个
[02665.16-02666.76] 其实代表的是他的什么呢
[02666.76-02667.56] 其实是代表的
[02667.56-02670.60] 他撞住时候头上所形成的脸很
[02670.60-02672.16] 所以你看通过这样的话
[02672.16-02675.60] 我们就把这个脸補整体上就呈现出来了
[02675.60-02677.84] 所以你看对一个脸補的判断
[02677.84-02679.60] 对一个脸補的呈现
[02679.60-02681.04] 他其实相对来说
[02681.68-02683.68] 是从这几个方面细节来的
[02683.68-02684.92] 这是第一个中亏
[02684.92-02686.92] 那第二个大家知道这个人吧
[02686.92-02688.96] 你看这个人就应该知道是谁了
[02689.36-02690.68] 头上带个月牙
[02690.68-02696.08] 对吧,那这个时候就应该想起那首歌,对吧,什么那个少年包裹天里面那首歌啊
[02696.98-02700.20] 那你看像这个月牙,其实代表就是包整的形象
[02700.20-02705.40] 你看它整体的脸部的颜色是黑色的黑色代表的人相对来说比较怎么样
[02705.60-02711.12] 颜素一些,对吧,所以你看这是它的颜色,你看它头上都符号代表什么呢?
[02711.12-02713.84] 都头上都符号代表它头上的这个月牙
[02715.84-02718.80] 我们说包青天的,头上为什么有个月牙呢?
[02718.80-02722.32] 这他激能断杨监视也能断业监视
[02722.32-02726.40] 所以头上的越压向着就要弱断杨监业断
[02726.40-02729.16] 这是鬼他也能使他炸过杨郎呢
[02729.16-02731.72] 所以在这里面就是他的符号
[02731.72-02733.16] 一句他整体的气质
[02733.16-02734.92] 所以对一个脸腐的刻画
[02734.92-02736.40] 一对一个脸腐的呈现
[02736.40-02737.76] 并不是像我们看到的说
[02737.76-02739.76] 什么随随随定的画出来就行了
[02739.76-02740.84] 其实不是的
[02740.84-02741.76] 所以大家注意一下
[02741.76-02742.84] 经济当转
[02742.84-02744.44] 我们对脸腐细节
[02744.44-02746.28] 我们从哪些去判断他
[02746.28-02747.84] 这是从这一个细节
[02747.84-02751.18] 那我们刚才说了那不同的颜色对了人物性格不一样
[02751.18-02754.20] 所以同性需要重点去被送和实际的就是
[02754.20-02756.80] 这里面所给出的不同的颜色
[02756.80-02758.44] 它所代表的人物性格
[02758.44-02759.84] 比如说在这里面红色
[02759.84-02762.56] 你记不住的话你就记忆人物
[02762.56-02765.00] 红色代表的是周永抚指有血性
[02765.00-02767.30] 这里面最常见就是关于
[02767.30-02769.72] 对方你想想三国当中的关于这个角色
[02769.72-02774.76] 这里面我们知道代表的就是中亿和抚指有血性
[02774.76-02778.86] 这个点大家一名去,这是我们所谓大家去描述他的人物的性格
[02778.86-02785.00] 他不一定说,他考试的时候,这老是他救出中一广值有些性这个字不是的
[02785.00-02788.34] 他只要是贴和人物形象的,其实都可以选
[02788.34-02791.92] 比如说他在这里不给你广值,他给你政治,可不可以呢?
[02791.92-02796.78] 就是相对来说也是可以的,所以不要纠结在这个字上,这他不同版本的
[02796.78-02803.50] 内容他可能对应的人物具体的表述不一样,但是在这里面你要把他和具体的人物关联起,
[02803.50-02805.36] 只要能贴合上,那就可以
[02805.36-02807.58] 所以红色一般请要代表的是什么
[02807.58-02808.86] 火热的性格
[02808.86-02809.98] 所以在这里面
[02809.98-02812.46] 中亿更值有学性
[02812.46-02814.02] 这是第一个红色
[02814.02-02816.22] 第二百色的我们都知道
[02816.22-02817.74] 多为尖炸多亿的
[02817.74-02818.86] 最典型的是什么
[02818.86-02821.14] 草草就是百量
[02821.14-02822.86] 大家应该听过唱联谱
[02822.86-02824.10] 在我下车黑色
[02824.10-02825.38] 黑色刚才说了代表的
[02825.38-02827.78] 是一种颜素的性格
[02827.78-02829.14] 这里面其实
[02829.78-02831.14] 就是我们所说的
[02831.14-02832.18] 包装对吧
[02832.18-02833.30] 包装就是黑色
[02833.30-02835.18] 黄色的华达都知道
[02835.18-02837.34] 这是我们所说的修梦英线
[02837.34-02840.10] 最常见就是点为
[02840.10-02841.50] 大家看看会一个动漫
[02841.50-02843.38] 那个动漫里面其实就出现过
[02843.38-02844.38] 点为这个性格
[02844.38-02846.02] 就能看个出来的真的很修梦
[02846.02-02847.62] 就是那个正红街
[02847.62-02848.78] 那是一个国慢
[02848.78-02849.02] 对吧
[02849.02-02850.46] 正红街里面的那种动漫
[02850.46-02851.42] 点为出来的时候
[02851.42-02853.06] 当时我是精呆了
[02853.06-02854.50] 当时出来就四个字
[02854.50-02855.42] 修商无主
[02855.42-02855.62] 对吧
[02855.62-02856.86] 这里非常强
[02856.86-02858.90] 所以在这里面黄色的脸铺
[02858.90-02859.94] 在三个当转
[02859.94-02861.94] 就是点为这么一个角色
[02861.94-02863.74] 這樣像的就是藍色和黑色
[02863.74-02866.34] 你看藍脸的豆腐豆浴嘛
[02866.34-02868.34] 對吧 你聽在那個超臉普當中
[02868.34-02869.74] 那藍色的臉
[02869.74-02871.74] 他代表的是嗎 草茂英雄
[02873.14-02876.74] 所以在這裡你看 草茂英雄藍脸或者綠色
[02876.74-02879.34] 是草茂英雄 豆腐是一個 城澳金也是一個
[02879.74-02881.34] 那在後就是金銀
[02881.34-02884.74] 通常最起碼 說老師我在經濟當中不知道金銀是什麼樣
[02884.74-02886.74] 但是我最起碼我能夠在
[02887.14-02889.34] 休計當中知道吧
[02889.34-02891.34] 金澳大王和英澳大王聽過吧
[02891.34-02893.94] 就你一生你敢答应吗
[02893.94-02896.34] 我教你一生你敢答应吗
[02896.34-02898.14] 就金角大王和英角大王
[02898.14-02899.94] 你看像金角和英角
[02899.94-02902.14] 他为什么是定义在这两个角色上
[02902.14-02904.54] 因为金赢代表的是腰省
[02904.54-02906.74] 或者是省模这一类的角色
[02906.74-02908.74] 所以来看一下金色和影色
[02908.74-02911.14] 说金色和影色代表的是腰省
[02911.14-02912.14] 或省模一类的
[02912.14-02913.54] 金角大王英角大王了
[02913.54-02914.54] 美后王了
[02914.54-02915.94] 我们在经济当中美后王
[02915.94-02917.54] 看过美后王是黑色的
[02917.54-02919.54] 没有黄色金色的
[02919.54-02919.94] 对吧
[02919.94-02920.94] 所以在这里面
[02920.94-02924.62] 不同的颜色代表的任务性格不一样
[02924.62-02926.54] 这个点大家一定要明确
[02926.54-02929.14] 所以这是有关于我们所说的经济当状
[02929.14-02932.14] 它的一个连普这样的一个具体内容
[02932.14-02934.86] 所以我们在整个经济当状从来轨县下
[02934.86-02937.10] 咱们就都给大家在经济当状讲了什么
[02937.10-02940.86] 首先第一个我们在最开始开篇的细取当中
[02940.86-02941.82] 给大家去讲了
[02941.82-02943.74] 在细取当中我们讲到了第一个
[02943.74-02947.02] 这是三大古老细取文化
[02948.30-02949.90] 三大古老细取文化
[02949.90-02950.54] 同时回忆
[02950.54-02952.54] 三大呼噹吸取文化代表的是啥
[02952.54-02954.54] 中国的细曲
[02955.04-02957.54] 然后还有希拉的B细曲
[02957.54-02959.54] 还有印度的反具
[02959.54-02961.54] 印度的反具主要讲的是他们的神话
[02961.54-02962.54] 神创故事
[02962.54-02963.54] 这在这
[02963.54-02964.54] 第二个我们说了
[02964.54-02967.54] 中国的细曲种类多时间长
[02967.54-02969.54] 在中国细曲三百六十多种当中
[02969.54-02971.54] 我们讲了叫做五大剧种
[02971.54-02973.54] 这五大剧种分别指的是啥
[02973.54-02975.54] 这五大剧种分别指的是金剧
[02975.54-02977.54] 越具、黄美系、平剧
[02977.54-02978.54] 还有预剧
[02978.54-02981.02] 那我们率先讲了第一个就是什么
[02981.02-02982.02] 第一个就是经济
[02982.02-02983.78] 我们说了对于经济的形容
[02983.78-02985.02] 我们经常提到它
[02985.02-02987.50] 叫三五部变步天下
[02987.50-02989.06] 六七人百万熊式
[02989.06-02990.02] 我们能想象一下
[02990.02-02991.86] 就在那一方舞台上通过
[02991.86-02993.02] 不同的曲异
[02993.02-02995.10] 技术的演异人物的表达
[02995.10-02996.74] 唱强的表达以及表演
[02996.74-02999.06] 真的就是我们觉得非常热腦对不对
[02999.06-03000.26] 所以在这里面经常说
[03000.26-03001.90] 叫三五部变步天下
[03001.90-03003.62] 六七人百万熊兵
[03003.62-03005.98] 这是第一个对它的一个描述
[03005.98-03007.90] 那了解了它的描述之后呢
[03007.90-03010.42] 那第二个我们就在经济当中去讲了
[03010.42-03012.46] 我们所说的经济的发展
[03012.46-03015.42] 经济的发展经济的前身是灰般
[03015.42-03017.26] 对吧 主要是江南地区
[03017.26-03019.90] 唱吹枪和二皇为主的灰般
[03019.90-03022.90] 后来给前龙助受的时候就有了灰般进京
[03022.90-03025.34] 灰般进京主要是三庆华 对吧
[03025.34-03027.62] 灰般进京就给其他的一些
[03027.62-03029.34] 我们所说的这种细曲
[03029.34-03031.82] 表现创造了一些机会就大家觉得
[03031.82-03033.70] 都可以去精程表演
[03033.70-03037.66] 所以到后期的时候就出现了四大会班进行
[03037.66-03042.02] 这四大会班分别是四起班和春班和春台班
[03042.02-03045.54] 有了四大会班进行之后到了我们所说的什么时候
[03045.54-03049.94] 到了18世纪的中业左右
[03049.94-03054.10] 对不对 也就是到光和写风年间就了经济的形成
[03054.10-03059.14] 我们所说的灰绩 情情还有汉掉和流了
[03059.14-03061.30] 于是就了经济的形成
[03061.30-03063.74] 但是经济的形成最开始就要不叫经济
[03063.74-03066.64] 不叫最开始叫乱谈或者是皮黄
[03066.64-03068.22] 到了什么时候才有经济
[03068.22-03070.58] 深暴时候第一次用经济这个名称
[03070.58-03072.64] 对吧 所以我们在这里就给大家去讲了
[03072.64-03073.70] 经济的发展
[03073.70-03075.50] 有了经济发展没有讲了什么
[03075.50-03076.02] 无说了呢
[03076.02-03078.70] 经济里面主要是它的角色和它的表演
[03078.70-03081.30] 所以我们在角色当中也大家讲了好像到
[03081.30-03084.54] 生诞经仇分别对应的都是什么
[03084.54-03085.18] 第二个呢
[03085.18-03088.66] 除了行道之外给大家讲了它的表演艺术
[03088.66-03090.26] 叫做唱念作诞
[03090.26-03092.92] 同學沒有在這裡面唱電做來要知道是什麼
[03092.92-03095.44] 生蛋精醜當中的精主是花蓮
[03095.44-03098.84] 花蓮當中我們說了花蓮一般指的是南性角色
[03098.84-03100.96] 並不一定是由南人來扮演的
[03100.96-03103.82] 明白了 只不過他在精覺是在細緻當中
[03103.82-03104.86] 電源南性角色
[03104.86-03108.18] 也可能是女性去唱精也是可以的
[03108.18-03110.86] 這裡面我們所說的精覺
[03110.86-03114.46] 而在精覺當中我們從除了知道他是南性角色之外
[03114.46-03115.42] 第二個我們說了
[03115.42-03119.46] 精覺也分很多類 證據 附近 毛巾 五巾
[03119.46-03120.74] 那是第二来
[03120.74-03121.60] 第三个就是
[03121.60-03122.34] 竞举
[03122.34-03123.54] 他通过花脸
[03123.54-03126.00] 不同的脸铺承先不同的人物解决色
[03126.00-03127.02] 所以在竞举当中
[03127.02-03127.78] 我们就有了什么
[03127.78-03128.54] 唱脸铺
[03128.54-03130.22] 脸的都是轮到于
[03130.22-03131.66] 红脸的观工
[03131.66-03133.50] 就得随着等等
[03133.50-03134.58] 所以这里面你看
[03134.58-03137.66] 不同的角色代表不同的人物
[03137.66-03140.46] 同时要把人物的颜色全
[03140.70-03143.14] 同时要把颜色和人物的性格对有上
[03143.14-03145.18] 你大概有一个印象就行了
[03145.18-03147.98] 只要它说的不是特别的礼铺
[03147.98-03149.52] 我們都可以磨人他是對答
[03149.52-03151.82] 他在考試的時候很容易是把這種大的方向
[03151.82-03153.36] 可以搞考回小
[03153.36-03154.64] 所以這時經具
[03154.64-03157.46] 而經具之所以他講的這麼細
[03157.46-03158.22] 原因在什麼呢
[03158.22-03159.38] 他說他考試的時候
[03159.38-03161.54] 他有的時候也會考到這麼細
[03161.54-03164.10] 就是會考到綜合性的文化
[03164.10-03167.18] 一下關於經具說法錯誤或者是要正確的事
[03167.18-03168.98] 那他如果給的相對覺細的話
[03168.98-03171.54] 我們掌握的也要更細直線
[03171.54-03174.86] 這是我們在細緻當中的給他講的第一大種類
[03174.86-03176.66] 就是我們所提到的叫做
[03176.66-03177.66] 情緒
