[00000.00-00004.80] 好的,那我们在接在里来看一下无意体当中的第四个方面的一种
[02282.98-02284.98] 他會有一個什麼樣的神奇效果呢?
[02284.98-02285.74] 一方面
[02285.74-02287.18] 人民是國家的主人
[02287.18-02288.50] 你承認他主人的地位
[02288.50-02289.94] 他參與到社會治理當中
[02289.94-02292.98] 他能夠更加積極的去反應社會問題
[02292.98-02295.18] 能夠更加積極的積極參與社會治理
[02295.18-02295.78] 換句話說
[02295.78-02298.90] 你把人民的這種治理積極性掉弓起來了
[02298.90-02301.98] 那这种情况之下,你的资理效果就会出奇了好
[02302.22-02304.02] 比如说拉基分类这个点这个事啊
[02304.28-02306.84] 拉分类这个事国家已经推了好多年了对吧
[02306.84-02309.66] 那看像国家推了这么多年的拉基分类的问题
[02309.90-02311.44] 最开始拉基分类的事点是哪呢
[02311.70-02313.24] 拉基分类的事点就是在上海
[02313.50-02317.34] 你看那个时候我们上海不是我们上海就是我们国家的上海
[02317.58-02320.66] 我们国家的这个上海在进行拉基分类的时候他做了什么事
[02321.68-02323.72] 他调动了人民群众的力量
[02323.74-02327.32] 他早了一些社区的大爷和大妈天天看在那个拉基恐旁边
[02327.32-02328.72] 要么就是给他们去
[02328.72-02331.04] 因为大一大方反正退休了没有什么事情了
[02331.04-02332.96] 然后呢要么就是给他们开点公司
[02332.96-02334.20] 要么就是跟他们去说一说
[02334.20-02335.44] 他们都是具体会这些人
[02335.44-02336.96] 他们就看着大垃圾之类
[02336.96-02339.16] 我一向特别深刻的就是要早上起来的时候
[02339.16-02340.32] 你有个说你敢地体啊
[02340.32-02343.64] 你真的是来不及去做那个很好的这个垃圾之类
[02343.64-02345.40] 然后呢你把那个垃圾打包
[02345.40-02347.52] 然后就一块就能让到那个地方了
[02347.52-02350.32] 如果说这个看守的这个阿姨啊
[02350.32-02351.40] 他看到了之后
[02351.40-02352.16] 他就会问你
[02352.16-02353.88] 说求姑娘就什么垃圾啊
[02353.88-02355.88] 我说我这个是什么什么垃圾
[02355.88-02357.42] 然后他说那你家分类不对的
[02357.42-02359.46] 然后这时候过来开成给你几号这么多分类
[02359.46-02362.02] 所以你看他一带有人开始去解决
[02362.02-02365.60] 老百姓去猜一刀这样的一个垃圾分类的治理当中来
[02365.60-02367.66] 你就会发现治理的效果怎么样
[02367.66-02368.94] 就会出奇的好
[02368.94-02369.96] 所以我们才说了
[02369.96-02372.52] 在整个创新社会治理体制当中
[02372.52-02374.06] 我们要以谁为中心
[02375.34-02376.86] 一号政府一号党吗
[02377.90-02379.44] 只是单纯的一号叹两个不是
[02379.44-02382.24] 在创新社会治理体制当中还是以谁为中心
[02382.24-02382.84] 人民
[02382.84-02384.94] 你只能人民群重菜到社会治理当中
[02384.94-02386.60] 大家就知道这个治理的效果
[02386.60-02388.60] 原原是超乎你的想象的
[02388.60-02390.20] 你看这是我们所说的
[02390.20-02392.24] 社会治理当中最核心的问题
[02392.24-02394.64] 就是让人民群重菜到其中当中去
[02394.64-02397.04] 你甚至包括你看我们所说的这种
[02397.04-02399.04] 装犯罪嫌人的这种事
[02399.04-02400.24] 装犯罪嫌人这种事
[02400.24-02402.44] 比如说我们经常会有少金
[02402.44-02403.84] 看到你知道吧
[02403.84-02405.64] 我们经常会有少金说谁
[02405.64-02408.20] 就是会发的大区网站上去
[02408.20-02408.80] 看到
[02408.80-02410.08] 就是犯罪嫌人
[02410.08-02411.24] 然后他讲什么样子
[02411.24-02413.24] 然后如果有执情者
[02413.24-02414.24] 然后提供现所的话
[02414.24-02415.24] 可以给多少钱
[02415.24-02416.64] 你给赏金
[02416.64-02417.84] 赏金给的月高
[02417.84-02418.24] 我跟你说
[02418.24-02419.88] 这个人抓起来就会愿意
[02419.88-02420.84] 几个简单的例子
[02420.84-02422.24] 之前就有人给我分享过这样一概
[02422.24-02422.64] 立案
[02422.64-02424.64] 他就是公安的工作人员
[02424.64-02426.64] 我们像全体官人员之今
[02426.64-02427.84] 因为他们很辛苦
[02427.84-02429.24] 那一看他们在去抓一个
[02429.24-02430.24] 翻个闲人的时候
[02431.24-02432.24] 就说有的时候
[02432.24-02433.24] 就是没有现所
[02433.24-02435.84] 他们就会提供香港的这样的一个赏金
[02435.84-02436.84] 然后提供这个赏金
[02436.84-02438.24] 有的时候这个金额给的不够
[02438.24-02439.24] 老百姓就动不起来
[02439.24-02440.04] 然后他们就说
[02440.04-02441.58] 之前就一个人就是
[02441.58-02444.00] 说当时关局说给
[02444.00-02447.14] 把这个人就是像各个地区的发的一个协查
[02447.14-02450.50] 然后就说大家如果看到这个人就提供协作给多少钱
[02450.50-02452.58] 当时说给什么给1000块钱
[02452.58-02454.38] 老百姓觉得无动于中
[02454.38-02455.92] 主要就是因为在这个村里
[02455.92-02456.88] 人口比较多
[02456.88-02458.48] 你1000块钱拿过来不好干啥的
[02458.48-02461.04] 后来那个钱给到了多少给到了3万
[02461.04-02462.56] 给到了3万的这个时候大部分了
[02462.56-02463.34] 那个村里面
[02463.34-02465.12] 接到了这个相用的要求之后
[02465.12-02466.52] 有印象
[02466.52-02467.56] 就这么个人
[02467.56-02469.64] 然后就说大气走
[02469.64-02471.44] 然后大区找之后你就知道
[02471.44-02473.60] 不到二次是真的就把这个人找到了
[02473.60-02474.88] 而且就给你有送了
[02474.88-02477.20] 所以大家都拿了什么差弱是呀就去了
[02477.20-02478.08] 就给你有送了
[02478.08-02480.36] 所以你看我们在整个社会智力当中
[02480.36-02482.32] 其实还是要一号谁的力量
[02482.32-02483.52] 群众的力量
[02483.52-02485.56] 所以在这里面我们才提到社会智力
[02485.56-02487.04] 它强调以人为核心
[02487.04-02489.16] 那既然社会智力强调以人为核心的话
[02489.16-02490.24] 它就提到了一个点
[02490.24-02492.84] 叫做我们要建设一个人人有责
[02492.84-02495.00] 人人进责人人享有的什么
[02495.00-02496.32] 社会智力共同体
[02496.32-02498.12] 你看在这个社会智力共同体当中
[02498.12-02500.48] 他提到的是什么是人的作用
[02500.48-02503.32] 人人有责人人进责人相有
[02503.32-02507.24] 只有群众差异到社会智力的成效才会好
[02507.24-02509.16] 只有群众差异到社会智力
[02509.16-02511.96] 我才能够感受到我是这个国家的主人
[02511.96-02514.96] 所以在这里提到人有责人进责人人相有
[02514.96-02516.68] 而换一换来说呢就是
[02516.68-02520.88] 我们要建立一个什么样的社会智力体制呢
[02520.88-02522.68] 在这里面其实给到的
[02522.68-02524.32] 他们翻一过来就叫做什么
[02524.32-02525.56] 就叫做共建
[02525.56-02529.56] 共治共享
[02529.56-02541.56] 这个点它很容易和后面我们要给大家讲到一个全球治理关或者叫做三共的思仇就是一代一路的原则叫共商共建共享和那个不一样
[02541.56-02547.56] 我们在这里针对于社会治理我们也有一个三共大助理下社会治理有一个三共
[02547.56-02550.00] 這個三共就是共建
[02550.00-02551.52] 然後共智
[02551.52-02553.40] 然後共想
[02553.40-02555.40] 你看共建代表是人有責
[02555.40-02557.76] 共智代表是人進走
[02557.76-02559.80] 共想代表的事人人享有
[02559.80-02562.60] 所以在這裡沒有一個三制的標準和要求
[02562.60-02563.36] 所以大家注意一下
[02563.36-02565.08] 這是在社會之里當中
[02565.08-02566.96] 第一個需要我們去掌握的
[02566.96-02568.80] 就是我們要建設一個什麼樣的
[02568.80-02569.76] 社會之里共同體
[02569.76-02571.76] 打造一個什麼樣的社會之里體制
[02571.76-02573.80] 社會之里共同體是三人
[02573.80-02575.96] 這樣的一個之里體制的三共
[02575.96-02577.32] 在這裡面大家知道
[02577.32-02579.88] 只是在民生 社会治理当中
[02579.88-02580.40] 第一个
[02580.40-02581.16] 我们要强调
[02581.16-02583.20] 发挥人民群众的作用
[02583.20-02585.00] 所以这是第1个点 白要实际的
[02585.00-02586.08] 第2个点就是
[02586.08-02588.08] 既然要发挥人民群众的作用
[02588.08-02590.24] 这个时候我们就不得不提一个
[02590.24-02592.16] 非常照的点 是在今年
[02592.16-02594.20] 而3年是一个热点的一个问题
[02594.20-02597.56] 就是坚持西时代的风巧经验
[02597.56-02599.52] 这风巧经验本质上是什么
[02599.52-02601.12] 同时把最后一句话话出来
[02601.12-02603.80] 风巧经验本质上就是毛动 花姐在什么
[02603.80-02605.48] 花姐在机层
[02605.48-02606.80] 这事我们当年所说的
[02606.80-02608.24] 叫小事不出村
[02608.24-02609.64] 大事不出乡
[02609.64-02611.20] 矛盾话节在机层
[02611.20-02614.16] 掉动机层话节矛盾的这样一个力量
[02614.16-02616.64] 那我们就能够推用这个社会的什么
[02616.64-02617.40] 平衛院性
[02617.40-02618.96] 这种就要做风桥经验
[02618.96-02621.32] 就是矛盾话节在机层的这种方法
[02621.32-02623.00] 就叫做风桥经验
[02623.00-02624.80] 但是有关于风桥经验的内容
[02624.80-02626.92] 大家有一个一定要注意一下
[02626.92-02628.28] 我们所说的风桥经验
[02628.28-02630.68] 最开始的是毛泽东同志提出来的
[02630.68-02633.24] 毛泽东在之前就提到了说
[02633.24-02635.84] 我们要去进一步推广风桥经验
[02635.84-02637.48] 毛泽东是所提到的风桥经验
[02637.48-02638.88] 当时在这儿这样的书记
[02638.88-02639.48] 对吧
[02639.48-02641.88] 它当时还给书记写了一个字
[02641.88-02642.16] 对吧
[02642.16-02644.28] 说音叫做提到什么
[02644.28-02647.36] 我们音推广书记的这个好例子
[02647.36-02650.28] 叫各地效访经过是点推广去做
[02650.28-02651.96] 那它其实当时提到的就是什么
[02651.96-02653.76] 就是我们所提到的风桥经验
[02653.76-02655.52] 所以风桥经验有这么细节的点
[02655.52-02656.88] 大家不要住在旁边
[02656.88-02659.88] 第一个呢就是他的手刺提出是某种统治
[02659.88-02663.28] 在1963年的手提出来的
[02666.36-02670.12] 就是发动群众通过说李豆争制服敌人
[02670.12-02675.12] 对吧他那个时候是提出来说我要通过发动群众通过说李豆争制服敌人
[02675.12-02676.80] 那对有时候提到了什么
[02676.80-02678.44] 就是我们所说的风巧经验
[02678.44-02680.24] 所以所谓的风巧经验
[02680.24-02683.48] 就是发动群众将矛盾化解在机层
[02683.48-02688.92] 因为有一些问题,它其实不至于说就闹到公安局去,就闹到现政府闹到市政府闹的更大
[02688.92-02693.88] 它其实不是,它可能就是刷方情绪定在那了,对吧?我们只需要有一个条件元
[02693.88-02695.64] 这个问题其实就迎任了解了
[02695.64-02699.08] 所以我们就可以把毛炖大事化小小实话了
[02699.08-02704.72] 所以在这里我们才在1963年怎么样,提出来了我们所说的什么?风桥经验
[02704.72-02708.32] 而风桥经验记忆不得到规短的是现任的国家领导人
[02708.32-02710.32] 对吧 在之前的时候说了
[02710.32-02712.28] 要坚持了发展风桥经验
[02712.28-02715.52] 从现任国家领导人提出坚持的发展风桥经验
[02715.52-02717.32] 到现在已经过去了什么20年了
[02717.32-02719.32] 也就是在我们现任的
[02719.32-02722.52] 我们的大暴死在2003年的时候说了
[02722.52-02723.92] 要推广风桥经验
[02723.92-02727.08] 今年2023年太是一个2010年经验
[02727.08-02730.12] 而距离某通通之毛也提出风桥经验的
[02730.12-02732.12] 这样一个观点已经过去了60年了
[02732.12-02733.72] 所以风中年的纪念
[02733.72-02735.92] 它其实是非常重要的一个点
[02735.92-02740.32] 所以这是这里面大家知道它的提出是谁提出来的
[02740.32-02741.32] 这是第一个点
[02741.32-02744.28] 而这是提出来当时说的是哪儿
[02744.28-02746.32] 大家知道是着江的出计
[02749.32-02751.64] 大家注意一下这是它的提出
[02751.64-02753.28] 我们说了风巧经验
[02753.28-02754.68] 它的本质内和是什么呢
[02754.68-02757.20] 就是我刚才说的就是发动群重矛盾
[02757.20-02758.64] 化解在机层
[02758.64-02760.08] 而矛盾化解在机层
[02760.08-02761.84] 它其实是现在化智力之路
[02761.84-02763.64] 当中非常赵的一款
[02763.64-02765.08] 所以我们经常会提到
[02765.08-02768.40] 即使是什么 机层当前社会最前演
[02768.40-02770.48] 中国之志的什么 跟几
[02770.48-02772.56] 所以我们在机层推广风巧经验
[02772.56-02775.44] 它其实就是有利于推动现代化的建设
[02775.44-02777.12] 它一方面 调动了群众的力量
[02777.12-02779.20] 老闻性觉得我是这个国家的主人
[02779.20-02780.68] 我有说话的这个余地
[02780.68-02784.56] 另外一个方面它可以从本质上化解很多的矛盾
[02784.56-02786.76] 所以在这里面 同时在旁边标注一下
[02786.76-02789.44] 它其实也是要发挥机层的作用
[02789.44-02790.72] 发挥群众的作用
[02790.72-02794.20] 而机层对于国家来说 它是社会这里最前演
[02795.08-02799.56] 因为基层就是贴进群众了嘛
[02799.56-02802.08] 所以是社会之里的 最前眼
[02805.08-02807.58] 也是中国之之的 跟基
[02812.48-02814.28] 中国的社会什么样子
[02814.28-02815.88] 中国的之里什么样子
[02815.88-02817.98] 就是要看基层矛盾 化妊如何
[02817.98-02819.58] 基层群众的生活
[02819.58-02820.58] 是怎么样的
[02820.58-02823.88] 所以在这里面我们提到了交捉风桥经验
[02823.88-02825.88] 所以有关于这个封巧经验的推广
[02825.88-02828.00] 咱们国家其实是有记录片的
[02828.00-02829.28] 那个记录片呢
[02829.28-02832.20] 叫做坚持和发展
[02832.20-02833.76] 西时代的封巧经验
[02833.76-02835.12] 然后它一共是四季
[02835.12-02836.80] 然后每一季都讲了不同的事
[02836.80-02840.20] 然后有讲到科技对于基层之理的一个作用
[02840.20-02841.54] 然后也讲到我们所说的
[02841.54-02842.30] 封巧经验
[02842.30-02845.40] 比如说基层条件原如何去画解这样的一个某个故事
[02845.40-02846.52] 它一共是四季
[02846.52-02848.72] 我的这里给大家解取了一个片段
[02848.72-02852.40] 这个片段就是在那个记录片段中的第三季
[02852.40-02853.76] 叫做顾本强机
[02853.76-02854.80] 我们就来看一下
[02854.80-02857.86] 它是所谓的毛顿化解在基层
[02857.86-02859.00] 它是怎么去化解的
[02859.00-02860.30] 其实并没有我们想像的
[02860.30-02861.72] 像字面的那么抽象
[02861.72-02864.00] 你可以把风小鸡也好像好高大上
[02864.00-02866.08] 它其实就是发挥群众的作用
[02866.08-02867.88] 这不然这个毛顿记忆不就扩大
[02867.88-02870.08] 有的时候我只要是制止了
[02870.08-02871.60] 这个毛顿其实是可以化解的
[02871.60-02872.72] 其实就是这样的
[02872.72-02874.20] 所以在这里面我们来看一下
[02874.20-02877.04] 它这个风小鸡也它的按例的一个具体表现
[02883.76-02897.76] 是中国最大的海洋鱼长, 每年十月到四年五月, 来自这江江松,福建上海当地的上漫所鱼团,在这里做叶。
[02897.76-02905.76] 此前, 周圣鱼长鱼骨度不老和还是污染, 曾经一度无语合估,
[02905.76-02915.76] 近年来,随着当地生还这里立度不断价大,云也资源不断浩转,深不万一棉同时恐怕。
[02915.76-02919.76] 然而,新的问题随着而来。
[02919.76-02934.40] 北道尼汽 共同屬地的一團經常會在補一過程中 反成秋氛
[02934.40-02940.00] 也遇上昇談至於是的維護 從維當地基層治理的大問題
[02940.00-02944.52] 第一 我們先先我們一進一勒 留乾淨的瓜
[02944.52-02946.52] 两个字要弄个金工的礼物啊
[02946.52-02948.10] 他说他以过手文贵
[02948.10-02950.16] 两个字就弄过你打起来
[02950.16-02951.76] 说了电视剩个个个个的
[02951.76-02953.24] 然后成立的
[02953.24-02954.96] 然后比成立的大气力
[02954.96-02956.68] 大气力,就弄完就连连连连连
[02956.68-02958.08] 而且走路给我一只有的
[02958.08-02960.92] 其实这个地心里是老可玩意的
[02964.36-02965.44] 中身于场
[02965.44-02967.52] 这是时代发展的一个苏营
[02968.36-02970.04] 去到的社会变宣
[02970.04-02971.08] 体制转轨
[02971.08-02972.36] 经济转型
[02972.36-02975.00] 成政化進程無段加快
[02975.00-02978.20] 社會結構生活方式的多元化
[02978.20-02981.00] 帶來了社會矛盾的多元化
[02982.28-02984.24] 只有適應時代發展
[02984.24-02987.12] 對於這個下要的多元就分化進
[02987.12-02990.40] 才能解決先時代提出的難題
[02994.44-02996.04] 2017年5月
[02996.04-02998.72] 一場臺風緊張套位
[02998.72-03001.48] 在於重部門的緊急部署下
[03001.48-03004.32] 所有的舎船都尽港辟风
[03006.02-03008.02] 就在此时两这舎船
[03008.16-03009.82] 一球在海上行行
[03009.98-03011.94] 似航没有尽港继向
[03012.26-03014.64] 只有引擎舎政府们的关折
[03015.56-03016.90] 按摩中干 das !
[03017.88-03018.90] 方 sciences知干
[03021.90-03023.94] 我是沿照象赞洲山
[03024.28-03026.00] Antarctica 你一起 siamo 天下来
[03026.16-03027.04] 隐柒江产
[03027.84-03030.02] 舎舎船很快办到现场
[03030.02-03036.38] 发现是一条普途的鱼船和鱼条鱼岸的鱼船在作业中发生了几分
[03040.38-03044.62] 鱼政府作人员到来了海上一会调解原珠卫国
[03045.82-03051.18] 他的这个想法在本地有一个一层海上浪梁旧
[03052.46-03055.50] 珠卫国21岁就到了川南大
[03055.82-03058.18] 后来又担任国村主任
[03058.18-03061.06] 在群眾當中很有危嗎?
[03061.06-03064.26] 我是阿林林三的平衛拍照條結局
[03064.26-03066.30] 那時候我已經到了十多年老大了
[03066.30-03068.14] 因為自己還別砸大
[03068.14-03070.14] 在於名兄弟特別屬性
[03071.14-03074.58] 政黨主委博者被開戰條警衡做事
[03074.58-03077.82] 他發現真正的男生來了
[03078.42-03079.86] 外爺老大一說話
[03079.86-03081.50] 我發現快了
[03081.50-03083.10] 我一直也聽不懂
[03083.10-03089.10] 虽然彤處這樣,但綠安和諸戰方言完全不同,
[03089.10-03093.10] 三方語言不同,小處就緩訪下行。
[03093.10-03098.10] 諸位國相其了另麥兩位海上老,行,
[03098.10-03102.10] 在這兒經過兩位傳老大的一份地方發不同,
[03102.10-03106.10] 腦頓雙方同意接受瞧解。
[03106.10-03110.10] 原来梁宋传在庄业期间
[03110.10-03112.10] 鱼王经常到一起
[03112.10-03114.10] 期望的时候互不相当
[03114.10-03116.10] 引发鱼剧所换
[03116.10-03119.10] 双方都有经济损失
[03119.10-03122.10] 此时三位经验风俗的老娘就
[03122.10-03126.10] 开始各色切职和立解决
[03126.10-03127.10] 原来现在难题
[03127.10-03128.10] 好
[03128.10-03130.10] 这个就是在这里面
[03130.10-03131.10] 我们所提到的风桥经验
[03131.10-03133.10] 你看他请说的非常的形象
[03133.10-03134.10] 就是有一些问题
[03134.10-03135.10] 这是一点点小时
[03135.10-03136.50] 它沒有必要到那麼大
[03136.50-03139.70] 這種情況下我們怎麼去把這些內容去化解掉
[03139.70-03142.30] 這其實就是風巧經驗以及基層治理
[03142.30-03144.30] 經常會面臨的這樣一個問題
[03144.30-03145.90] 我們剛才在紀錄片當中
[03145.90-03146.70] 其實看到了說
[03146.70-03150.22] 這個就是我們所說的三位非常有經驗的老娘
[03150.22-03153.10] 就來在調節或化解這樣的一個問題
[03153.10-03156.30] 結果其實是怎樣
[03156.30-03157.30] 可想而知的
[03157.30-03159.50] 也是最後的結果還是很好的
[03159.50-03160.70] 也就是到了最後的時候
[03160.70-03164.74] 問題是比較和諧的和平
[03164.74-03165.54] 這件解決掉了
[03165.54-03167.02] 因為他們當時炒的原因
[03167.02-03169.26] 就是因為那個宇船那個瓜網的這個
[03169.26-03170.54] 是雙鬧金捲石馬
[03170.54-03172.18] 然後不接受條解最開始的原因
[03172.18-03173.46] 就是因為他們覺得
[03173.46-03174.62] 有一方會偏踏
[03174.62-03177.02] 結果這三個人當中有一個就是瑞安的
[03177.02-03178.94] 就把這個事很好的就解決掉了
[03178.94-03179.58] 那從這裡
[03179.58-03181.54] 我們就能看到在整個社會治理當中
[03181.54-03184.46] 我們其實在本質上也不能看出
[03184.46-03186.58] 社會自治理或風巧經驗
[03186.58-03188.06] 他無論說的在乎的
[03188.06-03189.62] 其實還是回歸到就是
[03189.62-03191.86] 就是发动基层群中的力量
[03191.86-03193.96] 将某个话解在基层
[03193.96-03196.16] 这个其实就是风巧经验最直摆
[03196.16-03197.56] 也它的本质的内容
[03197.56-03200.06] 这个就是我们所提到的社会之理
[03200.06-03201.10] 所以在社会之理当中
[03201.10-03201.96] 咱们来看一下
[03201.96-03202.94] 社会之理首先
[03202.94-03205.30] 第一个在微观上要改变老百姓的生活
[03205.30-03207.04] 所以我们讲了微观的迷声
[03207.04-03209.04] 在迷声当中老百姓比较关注教育
[03209.04-03210.24] 我们就去讲的教育
[03210.24-03211.88] 然后在教育之后
[03211.88-03213.08] 要关注就业
[03213.08-03215.08] 就业就要睡到收入分配问题
[03215.08-03216.32] 所以在迷声当中
[03216.32-03218.12] 我们讲了这三个方面的内容
[03218.12-03220.00] 那么说了这个是在微观
[03220.00-03222.50] 但是整个社会建设当中
[03222.50-03224.72] 还要放在中观层面上看一下
[03224.72-03228.22] 在社会这里当中如何实现社会的平衡发展
[03228.22-03230.64] 我们就讲到了几个点
[03230.64-03232.86] 对吧其中一个我们就讲到了风巧经验
[03232.86-03235.22] 大家知道风巧经验是什么时候提出来的
[03235.22-03236.74] 有谁提出来的
[03236.74-03237.90] 第二一个就是在这里
[03237.90-03240.32] 我们要知道风巧经验在本身上它是什么
[03240.32-03241.08] 含义
[03241.08-03243.92] 这个就是微提当中的社会建设
