[00000.00-00003.58] 好,我們看完了形法總論之後呢
[02368.48-02369.38] 厂皇内的道路
[02369.38-02370.44] 地下车窟的道路
[02370.44-02372.06] 都是由我们所说的危险鸡医
[02372.06-02372.90] 对的道路
[02372.90-02374.10] 危险鸡医鸡医
[02374.10-02376.60] 他要求在道路上又发公共安全
[02376.60-02378.66] 为法律所禁止的危险鸡医
[02378.66-02379.06] 行为
[02379.06-02379.80] 危险鸡医
[02379.80-02382.00] 整个就包括追逐进史
[02382.00-02383.28] 只有近日情况个劣
[02383.28-02385.12] 不要从两个人标着绑跑
[02385.12-02385.76] 我们说了
[02385.76-02386.76] 不要从两人以上
[02386.76-02388.92] 单个人也可能会出现这种近视
[02388.92-02390.64] 第二个叫做最一件
[02390.64-02392.64] 第三个叫做超载或超速
[02392.64-02395.60] 超载和超速和刚才的这个怎么去分
[02397.20-02398.96] 我把它换个颜色
[02398.96-02399.96] 同时来看一下
[02399.96-02402.68] 超载和超速和刚才的这个怎么去分呢
[02403.96-02405.32] 可交通照顾在哪种去分
[02405.32-02407.52] 超载和超速只是对公共有一遍
[02407.52-02409.16] 但是没造成实在结果
[02409.16-02411.84] 如果在这里面造成一人中商的话
[02411.84-02414.40] 那这里面就是属于订阳交通兆石罪了
[02414.40-02414.88] 对吧
[02414.88-02415.76] 然后在外下呢
[02415.76-02417.84] 就是我们所说的叫微微微说
[02417.84-02418.88] 化学误片
[02418.88-02419.88] 大家注意一下
[02419.88-02421.72] 那这是我们所说的叫微还
[02421.72-02423.52] 公共安全分质
