[00000.00-00006.54] 好的,我们看完了飞机属元素以后,我们来看一下第二个部分,就是常见的金属元素
[02427.08-02428.08] 这是第一个叫做软造
[02428.08-02431.32] 第二个就叫做印造
[02431.32-02432.40] 第二就是相造
[02432.40-02435.04] 我们用来洗手洗脸的这些东西
[02435.04-02436.20] 它是相造
[02436.20-02438.12] 相造它还有的东西
[02438.12-02442.24] 是高级之防酸的假研会谈的比较多
[02442.24-02443.88] 所以它在整体上
[02443.88-02446.52] 我们所说的简单含量去会偏
[02446.52-02447.08] 第一线
[02447.08-02448.48] 简单含量偏定一些的话
[02448.48-02450.60] 它就比较适合皮膚清潔
[02450.60-02452.24] 它会柔和很多
[02455.36-02456.68] 它会柔和很多
[02456.68-02458.44] 所以在这里面针对于肥造
[02458.44-02461.06] 我们就要掌握着这两个方面的内容
[02461.06-02463.60] 就是它的软硬程度和含简量
[02463.60-02465.00] 有一定的关系
[02465.00-02466.66] 在这里面的这个含简量
[02466.66-02468.62] 就会分为用造和软造
[02468.62-02470.90] 大家知道哪个区囂效果好
[02470.90-02472.68] 用于习服哪个区囂效果
[02472.68-02473.68] 相当于差一些
[02473.68-02474.78] 但是对皮膚不刺激
[02474.78-02475.78] 这里面的这个分类
[02475.78-02476.94] 大家能搞清楚
[02476.94-02477.84] 那是第一个
[02477.84-02479.04] 我们从千养化
[02479.04-02481.58] 这种简行特别强的物质当中
[02481.58-02484.30] 所掌握的它的第二个靠杉点
[02484.30-02485.80] 这是第一个千养化
[02485.80-02488.62] 第二个就是青养化蓋
[02488.62-02491.18] 在这里竟然化蓋太成減性了
[02491.18-02492.28] 它说青养化蓋呢
[02492.28-02495.26] 同胶住一下也被称为消失灰火熟失灰
[02495.26-02496.04] 同化一下
[02496.04-02499.74] 消失灰火火火熟失灰在这里面
[02499.74-02500.40] 它说
[02500.40-02502.18] 这里面我们经常提到的
[02502.18-02504.10] 叫做城清时灰水的问题
[02504.10-02505.00] 其实就是
[02505.00-02506.78] 青养化蓋的始终业
[02506.78-02507.82] 所以咱们强调了
[02507.82-02508.34] 说
[02508.34-02510.88] 二话参能够使城清时灰水变魂主
[02510.88-02513.44] 说的中止它这个点要解决就行了
[02513.44-02515.38] 中点是在它的用途上
[02515.38-02518.14] 同樣標準一下它的用途 標準卻一
[02518.14-02520.28] 像花蓋在濃葉上用途很多
[02520.28-02525.02] 它說 像花蓋經常用於綜合突然酸性可以配我們所說的
[02525.02-02526.50] 味道容易
[02526.50-02528.18] 這個濃藥味道容易
[02528.18-02531.02] 其實就是像花蓋的水濃葉 質低個
[02531.02-02534.18] 第二個大家注意一下 在生活當中它有用
[02534.18-02537.86] 生活中三合土 石灰疆 三合土 石灰疆 化出來
[02537.86-02541.98] 三合土 石灰疆的主要成分都是我們所說的 熟食灰
[02541.98-02547.58] 這兩個Saltor是會將它主要是工業用徒或是建築用徒會偏多一點
[02547.58-02550.74] 所以在這裡大家知道這是第二個成簡性的叫做
[02550.74-02551.98] 輕氧化蓋
[02551.98-02553.46] 它的主要的應用
[02553.46-02555.62] 這裡面口的最多的就兩個
[02555.62-02556.74] 又是不耳朵業
[02556.74-02559.14] 又是重輕收水變紅著這個點
[02559.14-02560.78] 這個地方大家了解一下
[02560.78-02562.06] 這是強化蓋
[02562.06-02563.54] 這是減
[02563.54-02567.02] 我們常年物質抽孫減之外還有什麼
[02567.02-02567.78] 還有減
[02567.78-02570.54] 所以我們接下來來看一下有關嚴的相關的內容
[02570.54-02577.14] 在研当中,我们要讲两个,一个叫做探酸,一个叫做探酸清娜,我们重点放在谁呢?
[02577.14-02587.44] 大家重点放在探酸清娜上,大家注意,探酸清娜的俗成小酥达,咱们在日常生活当中做满头啥的,我用到小酥达,对吧?
[02587.44-02600.04] 所以你看他在这里说了,说俗成小酥达是强解和弱酸终合后生成的,酸是研,然后成弱简行,后面这一块,他的用途,常用制作食品,过程当中的,
[02600.04-02600.76] 同鬆記
[02600.76-02601.80] 在這個
[02601.80-02604.20] 碳酸清娜作為蓬鬆記之後
[02604.20-02606.20] 它會用碳酸娜的這種產流
[02606.20-02608.44] 所以大多數的東西都會有簡分
[02608.44-02609.56] 在這個點裡面
[02609.56-02610.12] 大家注意一下
[02610.12-02612.28] 第一個烤點就是同樣能夠去去分
[02612.28-02614.28] 它算清娜是小蘇打
[02614.28-02616.76] 而我們所說的碳酸娜叫做蘇打
[02616.76-02618.44] 第一個烤點就是會考察
[02618.44-02620.44] 它倆的一個張觀禮戴
[02620.44-02622.04] 它說經常會考到
[02622.04-02624.44] 說碳酸娜又名小蘇打
[02624.44-02626.04] 常用於食品加工
[02626.04-02627.24] 那做出來就錯了
[02627.24-02629.48] 碳酸娜的腐致經太強了誰敢吃
[02629.48-02633.48] 对吧 所以在这里大家注意一下 这是第一个 大家要注意的
[02633.48-02635.92] 我们所说的这个点
[02635.92-02640.48] 第二个在这注意的点 就是探酸轻纳 小苏打经常用作
[02640.48-02642.68] 食品 做过程当中的 捧松技
[02642.68-02645.28] 为什么用作捧松技呢 就是因为探酸轻纳
[02645.28-02647.84] 它容易发生反映 生成二花探
[02647.84-02650.72] 那这时候这个面使 是否就被撑开了
[02650.72-02652.00] 这会它会碰起来
[02652.00-02656.20] 那碰起来之后呢 我们就感觉它好像是变大了 对吧 这个那棉头
[02656.20-02658.12] 满头 宣布乎的 它就会变大了
[02658.12-02660.16] 这里面就可以用作碰凑劑
[02660.16-02661.64] 但这里面除了烤
[02661.64-02663.76] 它的用途之外它有考察另外一个点
[02663.76-02666.48] 这大家有的时候会发现用探紛清淡冰出来的满透
[02666.48-02668.20] 它上面有很多的小气孔
[02669.40-02671.48] 或者大家看到那种老师面包当中
[02671.48-02672.72] 它有很多的小气孔
[02672.72-02674.32] 这个小气孔就是
[02674.32-02676.04] 探紛清淡它反而之后
[02676.04-02678.24] 所生成的二花碳
[02678.24-02681.72] 生成的二花碳气体所造成的气孔
[02681.72-02683.08] 所以在这里面大家注意
[02683.08-02684.92] 它其实是两重烤店的
[02684.92-02690.00] 这个就是在沿当中去分泛村那核的核酸清脉
[02690.00-02692.52] 就是有一关沿当中的低一个
[02692.52-02696.52] 沿当中的第二小达实际的点的就是这个泛村美
[02696.52-02698.80] 这个泛村美大家就知道一个点就行了
[02698.80-02703.12] 就是我们经常会看到下期向下距体向当中有什么体操
[02703.12-02704.12] 这类似于这种
[02704.12-02706.56] 体操运动员在上场抓钢之前
[02706.56-02707.40] 或抓钢和之前
[02707.40-02709.08] 它都会抓一把白色的东西
[02709.08-02710.28] 然后在什么差一差
[02710.28-02713.08] 抓的白色的东西主要的成分是啥呢
[02713.08-02715.36] 同标注意下就是探酸美
[02715.36-02717.00] 就是抓的是它的粉末
[02717.00-02720.20] 所以它的作用就是可以吸干手心当中的汉液
[02720.20-02721.48] 当手上没有汉的时候
[02721.48-02722.76] 生活差就增带了
[02722.76-02724.32] 所以就不知于说脱手
[02724.32-02725.80] 所以在这里大家要注意下
[02725.80-02727.44] 这是我们所说的这个
[02727.44-02730.44] 第二个小达去掌握的就是探酸美
[02730.44-02732.80] 第三个小达掌握的就是流酸贝
[02732.80-02734.32] 同时把流酸贝快出来
[02734.32-02736.32] 流酸贝也做备穿
[02736.32-02738.84] 经常就是大家做长一镜检查的时候
[02738.84-02742.72] 我发现需要给长到或者是位去进行做眼耳
[02742.72-02745.08] 那也常到和未进行造影的时候
[02745.08-02747.06] 那就会用到我们所说的被参
[02747.06-02748.66] 那他割下去之后呢
[02748.66-02752.08] 他就会在你的未当中就副作在你的这个未必上
[02752.08-02754.24] 然后通过我们所说的这样的一个
[02754.24-02757.06] 未透径的这个检查
[02757.06-02758.52] 他做有的地方不一样
[02758.52-02761.24] 我们就能够看到他的病变成不是什么样子的
[02761.24-02762.68] 所以在这里面大家注意一下
[02762.68-02766.18] 我们所说的这个去做未变检查所被参
[02766.18-02767.44] 大家注意是谁的容易
[02767.44-02768.80] 这个地方就考一个对应
[02768.80-02772.16] 大家知道是刘酸被的容易就可以了
[02772.16-02775.52] 这是我们所说的酸渐炎的内容
[02775.52-02777.80] 所以在酸渐炎当中咱们就讲了酸
[02777.80-02778.76] 有那些渐炎
[02778.76-02780.52] 以及炎这几个点
[02780.52-02782.08] 它的应用它叫注意下
[02782.08-02784.20] 那在物质当中除了酸渐炎之外
[02784.20-02785.72] 我们不要常见的还有一些
[02785.72-02789.00] 就是被称就为叫有机化和物的东西
[02789.00-02790.36] 这些有机化和物
[02790.36-02791.36] 大家要注意一下
[02791.36-02793.80] 第一个比较常见的是假玩
[02793.80-02795.96] 同时把假玩在这里标注出来
[02795.96-02798.52] 假玩是最简单的有机物
[02798.52-02801.20] 所以是比较有空区货隔之后
[02801.20-02802.24] 回发生了燃烧的
[02802.24-02803.80] 低一个点需要通常掌握的
[02803.80-02805.24] 同一标主圈一
[02805.24-02806.76] 假蓝是天然气
[02806.76-02810.04] 早期和可然兵的主要重分
[02810.04-02812.16] 这个是我们所说的加蓝
[02812.80-02814.16] 头面给他画出来
[02814.16-02816.44] 天然气和早期大约在都知道的
[02816.44-02816.88] 对吧
[02816.88-02818.84] 尤其是这个早期大约知道是
[02818.84-02821.28] 浮浪东西浮浪之后会生成的
[02821.28-02822.16] 这个早期
[02822.16-02824.28] 所以它是很好的一种染料
[02824.28-02825.04] 在这里面
[02825.04-02825.64] 大注意
[02825.64-02826.28] 这是低一个
[02826.28-02828.80] 就是家蓝是他们三个的主要重分
[02828.80-02830.56] 这个点考过一个选项
[02830.56-02833.74] 第二个点就在这里,我们要做年长乐是谁呢?
[02833.74-02836.70] 第二点我们在这里做年长乐是可然兵
[02836.70-02840.28] 可然兵大助一下,可然兵的也叫做固体网斯
[02845.16-02846.06] 固体网斯啊
[02846.06-02848.48] 他其实是假闻到水核物
[02848.48-02853.92] 他在假闻的水核物在高压的这种情况之下呢,就会形成一个一个蓝色的那种精体
[02853.92-02856.36] 所以我们反派的称度也叫做可然兵
[02856.36-02858.60] 可能冰 既然它的主要程度是假的
[02858.60-02861.08] 所以它原稍後產生的這個氣體
[02861.08-02863.08] 幾乎是無毒 武漢的這種氣體
[02863.08-02864.12] 所以有很多人說
[02864.12-02866.36] 說 可然冰它是一種清漸能源
[02866.36-02867.88] 這種說法對不对呢
[02867.88-02870.36] 可然它說是一種清漸能源
[02870.36-02871.08] 我寫這
[02872.84-02874.28] 可然冰是一種清漸能源
[02874.28-02875.00] 那指定呢
[02875.00-02876.68] 對完因為這裡面它的過程裡面
[02876.68-02878.60] 不會產生其它的有毒有還不止
[02878.60-02880.36] 所以它是一種清漸能源
[02880.36-02882.76] 所以就人說 既然它是一種清漸能源
[02882.76-02883.56] 那就意味著
[02883.56-02890.56] 对于可然并得开发不会产生
[02890.56-02892.16] 不会产生任何问题
[02892.16-02894.96] 或者是不会产生任何环境问题
[02894.96-02896.44] 这种说法其实是什么
[02896.44-02897.76] 其实是错的
[02897.76-02900.08] 一般情况下对于可然并得这种开发
[02900.08-02901.64] 比如说它都是在海下
[02901.64-02904.60] 在海下的话其实如果说在开决过程中
[02904.60-02906.92] 不小心的话它就会产生很大的环境问题
[02906.92-02909.08] 比如说这个可然并爆炸
[02909.08-02910.56] 导致的一些其他的一些问题
[02910.56-02911.48] 是不是都会有
[02911.48-02913.20] 所以它说它是轻进的能源没有错
[02913.20-02915.68] 但如果他说他不会产生任何环境问题
[02915.68-02916.92] 做出他只能是什么
[02916.92-02917.68] 仍是错的
[02917.68-02918.80] 这是第二个点
[02918.80-02921.84] 第三个点就在这里同门还要去明确
[02921.84-02924.04] 可是可然兵现在已经参測了
[02924.04-02926.88] 他的这个处量其实是非常的丰富的
[02926.88-02929.20] 可以够人的应用1000多年
[02929.20-02930.44] 就是怎么都用不完
[02930.44-02932.40] 因为海底的可然兵的处量处量处理大
[02932.40-02935.80] 能不能说他能够跟我们使用的时间这么长
[02935.80-02939.44] 就认为可然兵他是一种可再撑能源
[02939.44-02940.20] 不是的
[02940.20-02940.96] 大注意下
[02940.96-02942.52] 那怕怕的处量丰富
[02942.52-02944.16] 顾人累用上千年
[02944.16-02945.72] 但是这都许用完了
[02945.72-02946.60] 他就没有了
[02946.60-02949.00] 我们在后面会大家讲到能源的分类
[02949.00-02951.60] 可再生能源和不可再生能源的分类
[02951.60-02954.40] 就在于看他短时间能不能恢复
[02954.40-02956.72] 如果短时间能够再生成恢复
[02956.72-02958.52] 他就是我们所说的
[02958.52-02960.12] 可再生能源
[02960.12-02961.84] 如果短时间内不能恢复的话
[02961.84-02964.04] 就是短时间内用完了就没有了
[02964.04-02965.80] 不是取制不及用这不结的
[02965.80-02969.80] 那这里面他就被称着被叫做不可再生能源
[02969.80-02973.52] 很明顯 可然明他是一種不可再生能源
[02976.52-02978.20] 考試的時候 有時候說
[02978.20-02981.24] 他是輕言能源 所以他也是可再生能源
[02981.24-02983.88] 輕言能源和可再生能源是兩個概念
[02983.88-02985.32] 所以8個字打不著
[02985.32-02987.36] 所以在這裡大家注意一下這是第一個
[02987.36-02989.76] 我們所強調的叫做假玩
[02989.76-02991.52] 這一共是有兩個點
[02991.52-02994.56] 第二個點我們來看一下叫做假權
[02994.56-02998.56] 假權 他說又叫以前是一種無色 頭髮下
[02998.56-03001.52] 有强烈刺激性气味的气体
[03001.52-03002.84] 而且恢法性机墙
[03002.84-03004.40] 标主一下后面叫做
[03004.40-03006.96] 一融于水和一纯
[03006.96-03008.56] 所以标主一下穿一
[03008.56-03009.92] 这是我们所提到的
[03009.92-03011.60] 有关于假权的特性
[03011.60-03012.92] 大家都知道这个假权
[03012.92-03014.28] 它就味道特别的次别
[03014.28-03015.64] 尤其是新装修的
[03015.64-03017.44] 这个房子里面假权的韩亮特别高
[03017.44-03019.32] 你进去逆收好与过什么味
[03019.32-03019.72] 对吧
[03019.72-03021.56] 那那个味道就是假权的味道
[03021.56-03022.88] 但这里面大家注意一下
[03022.88-03024.52] 它有强烈的刺激性气味
[03024.52-03025.64] 那它这种情况之下
[03025.64-03027.36] 它其实组会对人体也有害
[03027.36-03028.16] 所以你看
[03028.16-03032.52] 他容易一物发 换下叫做呼吸到眼镇或者是皮膚眼镇
[03032.72-03034.72] 大家在那种新装的房子脸
[03034.72-03037.80] 你会发现经常装了 这会不能马上搬进去入住
[03037.92-03040.80] 那原因就在于他的假圈还量太高了
[03040.96-03043.20] 你需要开窗通风量台一段时间
[03043.20-03044.60] 是不是才能进去入住啊
[03044.72-03045.96] 那原因其实就在这
[03046.08-03048.08] 那这种刺兴的气味文的标常乱
[03048.08-03049.52] 比如说在新装修的房子里面
[03049.52-03051.28] 有个觉得那个笔子里面干干的
[03051.28-03052.36] 或是嗓子里面走会
[03052.68-03054.48] 像这样 是不是特别不舒服
[03054.48-03057.36] 那就是由于我们所说的这个强烈刺兴气味
[03057.36-03060.72] 他導致的呼吸道的我們所說的這種眼震
[03060.72-03062.32] 所以大家注意一下這是第一個
[03062.32-03064.00] 希望我們去掌握的內容
[03064.00-03065.72] 那第二個在這裡
[03065.72-03066.84] 我們剛才又說了
[03066.84-03070.44] 說假權他是非常容易
[03070.44-03071.68] 容易水和異存的
[03071.68-03072.92] 所以在考試的時候
[03072.92-03074.28] 經常會考到一個點
[03074.28-03075.28] 什麼點呢
[03075.28-03077.04] 就是他經常會考察說
[03077.04-03078.88] 我們如何去消除假權
[03078.88-03080.56] 當時在
[03080.56-03082.88] 我想一下是在山西安核北的時候
[03082.88-03084.28] 他出過這樣的一道體
[03084.28-03085.68] 然後當時提出了
[03085.68-03087.08] 就是和假權有關的
[03087.08-03089.32] 那当时就考的是甲钱的这个特性
[03089.32-03090.80] 所以可能是考能的特性的时候
[03090.80-03091.46] 他是说
[03091.46-03092.40] 所以
[03092.40-03093.40] 给到一个影響下
[03093.40-03095.60] 说我们想要快速销除甲钱
[03095.60-03098.24] 那就需要再侍内放大量的水
[03098.24-03100.66] 然后在这时候来销除甲钱可以
[03100.66-03101.92] 加速甲钱可以的进化
[03101.92-03103.48] 那他当时说的这个说
[03103.48-03104.86] 那没什么方大量的水呢
[03104.88-03107.76] 那主要就是因为他易容于水的特性
[03107.76-03110.20] 甲钱确实易容于水
[03110.20-03111.36] 但是投门注意啊
[03111.36-03113.90] 你通过水来吸收甲钱的这个
[03113.98-03116.26] 可能性是微酷起味的
[03116.26-03118.78] 就是它容易水不假 这是它的特性
[03118.78-03121.44] 但是如果说空气当中大量的假权的话
[03121.44-03123.86] 你让它小通过容易水来消除假权
[03123.86-03125.54] 这种方法是不可行的
[03125.54-03128.66] 因为它几乎容的那种非常非常的少
[03128.66-03131.18] 所以大家注意一下这里面标注意一下圈
[03131.18-03133.42] 如果圈儿当中它给到一种说法说
[03133.42-03138.10] 说用用水来加速
[03139.46-03140.34] 是内
[03141.62-03142.46] 假权
[03143.06-03144.02] 消失
[03146.26-03153.36] 如果在选项当中,它可以用这种方法来快速加速什么叫全的小时
[03153.36-03155.66] 这种小时候,它其实本身是不对的
[03155.66-03162.66] 因为大人如果去通过研究时候,就会发现它这种容易水和它主动融水,它其实不太一样的
[03162.66-03165.66] 就是如果说你强热这个叫全融水的话,OK,它就会
[03165.66-03168.86] 但是它不会在空击到中手主动去跑到水内去融水的
[03168.86-03172.76] 这个地方大家注意一下,所以它不能用来加速假裙的小时
[03172.76-03174.68] 所以在这个点里面带着注意下
[03174.68-03176.16] 所以这是假权特性当中
[03176.16-03177.36] 我们需要掌握的两个点
[03177.36-03179.80] 这两个点其实一般都是
[03179.80-03182.48] 判个选项或判个体制
[03182.48-03183.36] 这是第二个
[03183.36-03184.24] 第3个点
[03184.24-03187.28] 就在这里我们要去掌握的就是假权的水融业
[03187.28-03189.92] 刚才说了假权是几一容易水的
[03189.92-03192.56] 这时候我就让假权和水融合在块
[03192.56-03195.12] 这时候就会形成假权的水融业
[03195.12-03196.32] 假权的水融业
[03196.32-03197.20] 同时画一下
[03197.20-03198.36] 就是我们所说的
[03198.36-03199.48] 粉碼栗
[03199.48-03200.70] 他们来看一下
[03200.70-03202.22] 他说这个粉碼里呢
[03202.22-03204.16] 他说一般盘量
[03204.16-03206.86] 假裙的好量370到完之40
[03206.86-03209.38] 然后还有8到15个什么
[03209.38-03210.22] 假裙
[03210.22-03211.42] 所以在这里
[03211.42-03212.28] 第一个点
[03212.28-03216.00] 小达找过就是假裙的水融业是不是只有假裙和水
[03216.00-03216.64] 不是
[03216.64-03218.28] 假裙是用一个成分
[03218.28-03219.20] 他们换出来
[03219.20-03220.74] 第一个就是假裙
[03220.74-03222.52] 第二个就是假裙
[03222.52-03224.08] 所以假裙的水融业
[03224.08-03225.38] 不单只有水
[03227.54-03228.74] 不单只有水
[03228.74-03230.14] 和甲权
[03230.14-03231.78] 这个点是一条面缺的
[03231.78-03232.42] 因为我说了
[03232.42-03234.22] 它如果要靠甲权的特性的话
[03234.22-03236.94] 就会把这几句话当中的任意就换拿出来
[03236.94-03238.14] 我们都要能够变息
[03238.14-03239.18] 这是第1个点
[03239.18-03241.78] 第2个点在这里同时标注一下
[03241.78-03244.10] 它的甲权的水融越
[03244.10-03246.22] 它具有一定的若酸性
[03246.22-03248.26] 同于把若酸性去划出来
[03248.26-03250.42] 第3一个就是它的特性具有
[03250.42-03253.90] 画下房府、消毒和漂白的功能
[03253.90-03256.66] 这个房府、消毒、跑白的漂白功能的话
[03256.66-03258.50] 那一般就是在这里面
[03258.50-03260.98] 我们可以把它用做标本的製作
[03260.98-03262.54] 比如说在这里为大家看到
[03262.54-03264.34] 就是中要禁置的标本
[03264.34-03265.46] 这个就是白指
[03265.46-03266.54] 那个做要禁置标本
[03266.54-03267.62] 就给它放在这个
[03267.62-03268.98] 粉碼里融业当中
[03268.98-03270.86] 它其实就可以怎么办呢
[03270.86-03273.22] 它其实在这里面就可以起到很好的房子
[03273.22-03274.30] 就是不会让它烂
[03274.30-03275.94] 所以它具有很好的房服
[03275.94-03277.70] 消毒和漂白的功能
[03277.70-03280.70] 大概这里面有关于这个房服的这个问题
[03280.70-03282.18] 大家一定要注意两个细节
[03282.18-03284.30] 就是在这个房服上确实考过两个点
[03284.30-03284.86] 第一个
[03284.86-03286.14] 既然它能房服
[03286.14-03288.02] 它能不能用于海鲜保存
[03288.50-03291.58] 他等于海鲜保存
[03291.58-03292.34] 不行
[03292.34-03293.62] 他有毒性
[03293.62-03293.98] 对吧
[03293.98-03295.62] 他不能用于海鲜保存
[03295.62-03296.94] 如果用于海鲜保存
[03296.94-03297.78] 他经常说
[03297.78-03300.26] 因为粉碼连中也有房服功
[03300.26-03302.54] 所以为了保证海鲜新鲜
[03302.54-03304.38] 所以用粉碼连中也进炮
[03304.38-03305.06] 不行
[03305.06-03307.50] 所以用于他说可以用于海鲜保存
[03307.50-03308.74] 这说法就是在的
[03308.74-03309.50] 这说法就错了
[03309.50-03310.58] 看了这说法
[03310.58-03311.94] 就大大的打个差
[03311.94-03312.82] 这是第一个
[03312.82-03313.58] 打住一下
[03313.58-03314.74] 第二个拿大说了
[03314.74-03316.14] 他居然可以房服
[03316.14-03317.38] 房服的话
[03317.38-03321.50] 那这里面可不可以用于我们所说的金属的
[03321.50-03322.70] 这样的一个防护
[03322.70-03325.10] 就是不让金属生修也不行
[03325.10-03326.02] 大注意
[03326.02-03328.86] 这个第二个点就是在它这个防腐的效果当中
[03328.86-03330.30] 还可能又发出另外一个点
[03330.30-03331.50] 我把它写在一块好吧
[03331.50-03332.94] 就是变裸我们变息
[03332.94-03336.34] 它没有办法说用作于金属
[03336.34-03337.30] 大注意
[03337.30-03338.74] 这个粉码连容易
[03338.74-03341.54] 它除了就防腐消毒和表白的功能之外
[03341.54-03343.74] 算了我在定期他们写一家了不数
[03343.74-03344.90] 写一个字母帝
[03344.90-03346.86] 这个字母帝就它的第四个课形
[03346.86-03348.86] 追踢就一定的腹实性
[03351.78-03353.78] 这也是大家存意的原因
[03353.78-03356.38] 这是这个粉碼连肉叶好像看起来很举结
[03356.38-03358.58] 它一方面防腐一方面又腹实
[03358.58-03362.58] 我们说都可以用于动植物的标本的防腐烂
[03362.58-03364.62] 然后但是不能用于保暴寸海鲜
[03364.62-03366.58] 就是因为它本身就一定的毒性
[03366.58-03367.58] 但说老师
[03367.58-03369.78] 那它的腹实性和它的防腐的责性
[03369.78-03371.02] 不就重复了吗
[03371.02-03373.18] 大家注意一下这期隐其实不重复的
[03373.18-03374.66] 这里面的腹实性
[03374.66-03376.50] 大注意是整体制真对谁
[03376.50-03378.74] 这个腐石性是只针对金属的
[03380.26-03381.62] 由粉码灵荣叶
[03381.62-03383.62] 它就是只能腐石金属
[03383.62-03384.82] 它其他的腐石不了
[03384.82-03386.50] 所以在这里面才具有
[03386.50-03388.34] 防腐的这样的一个特性在
[03388.34-03388.90] 好吧
[03388.90-03390.26] 所以在粉码灵荣叶当中
[03390.26-03391.62] 有四个小的点
[03391.62-03392.42] 大家要注意一下
[03392.42-03393.06] 第一个
[03393.06-03395.94] 它不是只有水和假权
[03395.94-03397.86] 粉码灵水荣叶里面还有假装的
[03397.86-03398.98] 这个点掉注意
[03398.98-03399.54] 第二个呢
[03399.54-03400.82] 就是它承入的酸性
[03400.82-03405.14] 就防腐消毒、漂白和腐石性的这样的一些特性在
[03405.14-03406.70] 所以大家一定要注意一下
[03406.70-03409.62] 这是我们所说的假权 假权
[03409.62-03411.26] 这是第2个
[03411.26-03413.90] 我们需要重点掌握的一些细节标多的内容
[03413.90-03414.98] 那第3个点
[03414.98-03417.14] 就在这里我们提到的就是一纯
[03417.14-03418.62] 一纯其实大家都知道了
[03418.62-03421.70] 就是九经在上生活当中标常见
[03421.70-03424.46] 所以存在这里为称这位叫做九经
[03424.46-03426.10] 但是在这里方大家注意
[03426.10-03427.50] 我们经常提到九
[03427.50-03429.06] 就会提到一个点
[03429.06-03430.22] 这个点投票注意下
[03430.22-03432.22] 要做一个第一个考虑是掌握
[03432.22-03434.50] 这时候我们一提到9
[03434.50-03437.06] 我们就会想到9星它一定会有一定的什么
[03437.06-03437.70] 度数
[03440.38-03442.22] 无论是皮就白就你看到的
[03442.22-03443.62] 它是会都有一定的度数
[03443.62-03445.70] 这个度数到底代表的是什么呢
[03445.70-03447.42] 它去去分9的总练
[03447.42-03449.46] 如果这个9它是白9的话
[03450.26-03451.10] 大主意
[03451.10-03452.30] 如果这个9是白9
[03452.30-03454.06] 那它9平常标的这个度数
[03454.06-03456.34] 这是代表的是9星含量
[03460.46-03462.14] 代表的是9星含量
[03462.14-03463.14] 这是第一个
[03463.14-03465.86] 如果说这个9它是皮9的话
[03465.86-03469.74] 那个皮有上面有3度8度的
[03469.74-03471.26] 如果它是皮9的话
[03471.26-03473.10] 这个上面是不是度数呢 不是
[03473.10-03474.94] 这个时候它的度数代表的是
[03474.94-03476.70] 皮9中跑的海量
[03480.70-03482.66] 这两个点一定要分开
[03483.58-03486.86] 这个地方它是一个考察的细节
[03486.86-03488.34] 同时把它标注一下
[03488.34-03489.98] 只是代表的是跑的海量
[03489.98-03492.18] 所以他們兩個其實不一樣的
[03492.18-03493.62] 這是我們所說的第一個
[03493.62-03496.46] 酒精我們會提到它的度數的問題
[03496.46-03497.34] 這是第一個點
[03497.34-03499.98] 第二點就是酒精在生活當中的用途
[03499.98-03501.62] 其實是特別多的
[03501.62-03503.98] 在這裡面我們最為常見的用途就是
[03503.98-03504.98] 一用酒精
[03504.98-03506.18] 用酒精的濃度
[03506.18-03507.26] 同標著一下
[03507.26-03508.34] 化上圈一
[03508.34-03509.70] 用酒精的濃度
[03509.70-03512.86] 100%之75%左右的一唇
[03512.86-03515.06] 在這個70%左右的一唇的
[03515.06-03517.30] 酒精它可以具有一定的殺金作用
[03517.30-03518.94] 大家注意下它可以殺軍
[03518.94-03521.34] 但是他不能休滅病毒
[03521.34-03522.90] 他只能杀军
[03522.90-03525.06] 所以在这里他有几个细节的考虑
[03525.06-03528.22] 第一个就是要求的这个度是70%左右
[03528.22-03530.66] 加上70%左右就越来越过高
[03530.66-03532.02] 也不行过低也不行
[03532.02-03533.02] 同标注意一下
[03533.02-03535.34] 如果是过高
[03535.34-03537.30] 高于70%的话
[03537.30-03538.06] 你一定要注意
[03538.06-03539.90] 高于70%在这种情况之下
[03539.90-03542.74] 会形成一层保护抹
[03542.74-03543.90] 那形成保抹之后
[03543.90-03545.42] 其实不利于杀军
[03545.42-03547.38] 那说我不过高过低形不行
[03547.38-03548.70] 我给他60%
[03548.70-03550.70] 它就也过低也不行
[03550.70-03551.78] 如果过低的话
[03551.78-03553.46] 它不能使弹麦制拧顾
[03553.46-03555.58] 既然不能拧顾的话
[03555.58-03557.98] 这时候就没有办法起到很好的
[03557.98-03559.62] 沙军的作用
[03559.62-03560.62] 所以在这里
[03560.62-03561.38] 我就简单写
[03561.38-03562.46] 不能使弹麦制拧顾
[03562.46-03563.42] 只是不能拧顾
[03563.42-03565.74] 所以在这里第一点就是大要明确
[03565.74-03569.30] 反正这期数几乎的弄度的久级
[03570.02-03571.66] 不能过高也不能过低
[03571.66-03572.74] 所以这是在这里
[03572.74-03574.82] 大家要注意的第一个细节的点
[03574.82-03576.14] 大注意这里所说的
[03576.14-03577.70] 是医疗消毒
[03577.70-03582.82] 这个依老销动的就是我们所看到的什么比如说他可以和皮膚接触等等这些
[03583.08-03584.86] 这是第一个系列店打出一
[03585.12-03586.40] 第二个我们说了
[03586.66-03589.98] 这个里面的这个用酒精它销独的原理是什么
[03590.24-03591.78] 或者它在这里面叫做杀军
[03592.04-03592.80] 我们说满军
[03593.06-03595.36] 它能够杀军的原理
[03595.62-03598.44] 杀军的原理就是会形成一军环境
[03598.70-03600.50] 就是一般球而这下我们都知道
[03600.74-03602.54] 戏军会病毒它的反映
[03602.78-03604.84] 那一般球而都是因为环境的问题是做到的
[03605.10-03606.88] 所以它会形成一军环境
