[00000.00-00006.28] 我们接着来看有关于第七个明确当中的第2个部分就是我们经常提到的三星
[02346.14-02347.10] 他撒开做不了
[02347.10-02348.14] 所以这个车呢
[02348.14-02349.58] 他就需要一个跑起来
[02349.58-02350.74] 跑起来就需要一个动力
[02350.74-02351.74] 这个动力就什么
[02351.74-02353.82] 就是创新就是第一个点
[02353.82-02354.54] 那第二个呢
[02354.54-02356.22] 我说了这个车他行
[02356.22-02357.42] 他在往前走的时候
[02357.42-02357.98] 他要怎么样
[02357.98-02359.02] 他要问他
[02359.02-02360.22] 他不能翻车
[02360.22-02362.46] 那这个时候如果车门的人很多
[02362.46-02364.46] 车那出窗那边的人很少的话
[02364.46-02365.90] 那这个车就会偏成
[02365.90-02367.30] 这个皮一偏吃的话
[02367.30-02368.58] 那这个车中一翻车
[02368.58-02370.10] 所以我们想让车稳
[02370.10-02371.22] 不让它翻车
[02371.22-02372.70] 我们需要解决这个车的什么
[02372.70-02373.66] 不平和的问题
[02373.66-02375.26] 让这个车发展平衡起来
[02375.26-02376.86] 那解决发展不平和的问题
[02376.86-02379.02] 解决它持续发展的问题
[02379.02-02379.98] 那这个就是什么
[02379.98-02380.82] 写挑
[02380.82-02381.62] 大家想一下
[02381.62-02383.14] 你喜欢做什么样的车
[02383.14-02384.34] 你当然不喜欢做
[02384.34-02385.62] 那个环境特别不好的车
[02385.62-02386.94] 你上车车上有什么
[02386.94-02388.30] 各种各样的小倉影
[02388.30-02389.18] 就在这儿飞
[02389.18-02390.22] 有倉影在这儿飞
[02390.22-02391.26] 你还愿意去做吗
[02391.26-02392.50] 你只能不愿意去做
[02392.50-02393.30] 所以在这里面
[02393.30-02393.74] 我说了
[02393.74-02395.84] 我们需要这个车的环境要好
[02395.84-02397.50] 这个时候我们就提到了什么
[02397.50-02398.30] 律师
[02398.30-02400.30] 但是你毕竟是什么经济
[02400.30-02401.34] 列车
[02401.34-02403.74] 同们想经济列车的本质是要干嘛
[02404.86-02406.30] 少赚钱的我
[02406.30-02407.74] 所以在这里面你要知道
[02407.74-02409.74] 它既然是量经济发展的列车
[02409.74-02410.74] 它要赚钱
[02410.74-02412.10] 这个时候你就要把怎么样
[02412.10-02413.38] 车门打开
[02414.70-02415.82] 车门打开
[02415.82-02417.38] 让车下的人上来
[02417.38-02418.38] 你才能赚多少钱
[02418.38-02419.54] 所以你想要赚钱
[02419.54-02421.26] 想要繁荣
[02421.26-02425.26] 你这个时候要干嘛打开就意味着什么开放
[02425.26-02429.26] 我们同时也能够知道啊在整个经济发展过程当中
[02429.26-02431.26] 他既然是经济列车
[02431.26-02433.26] 中国作为一个有加国情怀
[02433.26-02435.26] 有世界情怀的这样的一个国家
[02435.26-02436.26] 他想做的是什么
[02436.26-02438.26] 他想是这样这一趟经济列车开起来之后
[02438.26-02441.26] 让老百姓能够共享经济发展的成果
[02441.26-02444.26] 让全世界的人民能够共享中国经济发展
[02444.26-02446.26] 带来的一些成果
[02446.26-02447.26] 对吧
[02447.26-02448.26] 所以你看他最后一个经济发展列车
[02448.26-02449.26] 他要干嘛
[02449.26-02450.66] 它我实现共享
[02450.66-02452.66] 所以你可以通过这个小车的形式
[02452.66-02455.06] 把它各自的地位去给它对应上
[02455.06-02458.54] 这个就是我们所说的叫做新发展
[02458.54-02459.26] 以念
[02459.26-02459.98] 新发里面
[02459.98-02460.90] 所以新发里面
[02460.90-02462.86] 考到我们所说的
[02463.58-02465.26] 这几个点大家一定要记住
[02465.26-02467.66] 当然讲到这儿我们只是把新发这里面
[02467.66-02470.66] 它具体的内容在这里给大家去产出完了
[02470.66-02472.74] 但是在这儿大家也要知道新发这里面
[02472.74-02474.66] 它的体触也是一个考虑
[02474.66-02476.02] 大家要知道新发这里面
[02476.02-02477.38] 它是什么手体触的
[02477.38-02478.90] 你在旁边标注一下
[02478.90-02481.78] 我把它寫在上面吧
[02481.78-02482.26] 好吧
[02482.26-02486.26] 新发任里面它的提出是在18屆5中全会的时候提出的
[02489.06-02492.50] 它是在18屆5中全会的时候提出的新发任里面
[02492.50-02493.90] 而且大家也应该知道
[02493.90-02496.74] 新发任里面它已经被写入线法了
[02496.74-02498.90] 你看它原本是党的知道思想
[02498.90-02500.26] 写入党章知道党
[02500.26-02501.70] 那写入线法就知道谁
[02501.70-02502.82] 就知道人民
[02502.82-02504.86] 所以我们说新发任里面它很重要
[02504.86-02506.54] 因为它有很强的战略性
[02506.54-02507.82] 你刚里面引炼性
[02507.82-02510.22] 他必须灌穿经济活动的
[02510.22-02511.66] 使中连败了
[02511.66-02513.86] 所以在这里面大家一定要知道
[02513.86-02514.86] 这是我们所说的
[02514.86-02515.66] 创新
[02515.66-02516.46] 这我们所说的
[02516.46-02518.02] 有快于新发人联的内容
[02518.02-02520.86] 这是所提到的新发人联联
[02520.86-02522.34] 说新发人联联之后
[02522.34-02524.46] 我们在现在华战略导乡当中
[02524.46-02525.74] 叫新发人阶段
[02525.74-02526.82] 新发战理念
[02526.82-02528.50] 以及新发战格局
[02528.50-02530.74] 新发人格局里面有两个考点
[02530.74-02531.54] 大家要知道
[02531.54-02532.18] 第1个考点
[02532.18-02533.98] 就是要知道新发人格局
[02533.98-02534.86] 是什么
[02534.86-02535.82] 所以在这里面
[02535.82-02537.62] 你要知道新发人哥局是什么
[02538.64-02539.40] 只是第一个
[02539.40-02543.38] 新发人哥局叫做国内大巡国为主体把国内大巡化化出来
[02543.38-02545.14] 叫国内大巡化为主体
[02545.14-02549.40] 国内国际双巡还相处境把国内国际双巡化化出来
[02549.40-02552.98] 其实在这里面我们知道新发人哥局其实就是在强调什么
[02552.98-02555.72] 就是在强调经济发展的这种形势
[02555.72-02559.38] 就是中国是更多的一号自己还是要一号国际
[02559.38-02562.06] 这个其实早在多年显就给出了打案
[02562.06-02563.74] 大家都知道在疫情结束之后
[02563.74-02567.18] 那个时候的中国经济发展在世界上要议员线
[02567.18-02571.50] 在那年的新闻道路我们会发现是中国是在疫情之后
[02571.50-02574.62] 唯一一个实现经济正增长的国家
[02574.62-02576.38] 虽然增速自由二到三
[02576.38-02578.78] 但是全世界都在经济下行
[02578.78-02580.14] 都在去搞经济附属
[02580.14-02581.50] 但是中国实现了什么?
[02581.50-02582.78] 经济正增长
[02582.78-02585.26] 那中国经济增长一号的是国际吗?
[02585.26-02585.98] 指定不是
[02585.98-02586.78] 没有时候你看
[02586.78-02588.78] 我们出口到国外的东西人家说
[02588.78-02591.26] 因为当时有很多国家抹黑网了
[02591.26-02594.34] 说这个疫情是谁谁带来的
[02594.34-02596.42] 那时候就对中国的言论很不好
[02596.42-02598.94] 所以你出口到其他国家的这些东西
[02598.94-02601.26] 很多人就很多出于疫情防控
[02601.26-02602.26] 他都出不买的
[02602.26-02604.86] 但是为什么中国经济能够实现正增长
[02604.86-02608.42] 那是因为中国老百姓的购买力足够的墙
[02608.42-02610.58] 朋友们知道什么叫做国内经济循环吗
[02610.58-02612.02] 你不用把他想得太负产
[02612.02-02614.06] 如果做一个普通老百姓来理解的话
[02614.06-02615.46] 所谓的国内经济循环
[02615.46-02618.26] 就是经济买占通就要做经济循环
[02618.26-02620.46] 而我们当时实现经济更增长
[02620.46-02621.94] 不是以后国际上的买卖
[02621.94-02624.02] 而是以后滚妹的准滚妹
[02624.02-02625.68] 老百姓在家里的这种过誤的
[02625.68-02627.34] 遇往是非常非常的强烈的
[02627.34-02629.38] 你看最开始的时候在武汉
[02629.38-02631.58] 那我们都知道一做英雄的城市
[02631.58-02633.06] 就是在疫情防控当中
[02633.06-02634.46] 奉建出来了很多
[02634.46-02636.02] 你看像这个英雄的城市
[02636.02-02637.22] 在最开始的时候
[02637.22-02638.54] 他们开始封城
[02638.54-02641.46] 然后他们去为了阻断这样的一个传播
[02641.46-02644.42] 然后他们把自己城市封控起来成为做骨虫
[02644.42-02646.82] 然后在我们所说的无数的英雄
[02646.82-02649.14] 然后在那个城市当中进行坚受
[02649.14-02650.98] 然后一旦城市解放了之后
[02650.98-02652.98] 他们鸡压了很多的库存鸡压了
[02652.98-02654.02] 很多的农作物家
[02654.02-02655.06] 很多的农产品
[02655.06-02656.26] 没有办法对待销售
[02656.26-02657.54] 那个时候老百姓怎么样
[02657.54-02660.10] 咱们除了武汉地区以外的小伙伴
[02660.10-02661.94] 就开始分分去买他们的东西
[02662.58-02664.58] 比如说当时我印象最深刻的还是
[02664.58-02665.38] 主广权
[02665.38-02668.18] 他和那个就是那个谁啊
[02668.82-02669.14] 什么
[02669.14-02670.02] 李家企啊
[02670.02-02670.90] 最开始的时候
[02670.90-02673.22] 他们不是搞了一个就是注立武汉
[02673.22-02674.66] 我们所说的这种
[02674.66-02675.62] 这种
[02675.62-02679.82] 产品 然后祝播的这样的一个我们所说的这个组合吗
[02679.82-02683.02] 那当时他们两个打出来的组合应该叫做小猪配奇吧
[02683.02-02684.26] 那最开始的时候
[02684.26-02687.74] 那一场直播一共才端实现好像是不到三个小时吧
[02687.74-02690.54] 卖出去了好几个亿的这样的一个俄度
[02690.54-02692.94] 那当时租广权他就在现场就说
[02692.94-02696.02] 他说凡是都要用这投批办
[02696.02-02698.14] 用这投批你让投批怎么办
[02698.14-02699.18] 来往这看
[02699.18-02700.70] 然后他就拿起来那把数字
[02700.70-02702.14] 就仅仅也一把数字朋友们
[02702.38-02704.62] 他刚播完这段口播之后
[02704.62-02706.46] 数字全都没有了
[02706.46-02707.14] 美光了
[02707.14-02709.26] 他当时自己都已经精呆了
[02709.26-02710.70] 所以你看这一口的是什么
[02710.70-02712.86] 这一口是国内的强大的国美力
[02712.86-02715.22] 无论是从蛮自主义哲学角度来看
[02715.22-02718.14] 我们在经济发展当中要更多的依靠内业
[02718.14-02720.66] 还是从现实角度安立的角度来看
[02720.70-02721.86] 国家整体的发展
[02721.86-02725.06] 你要实现经济的发展不受制于人
[02725.06-02725.78] 你就要干嘛
[02725.78-02727.98] 你就要唱通国内经济许会
[02728.02-02728.98] 所以在这里你看
[02728.98-02730.00] 在经济发展当中
[02730.00-02731.54] 你必须是国内满卖场统
[02731.54-02733.06] 就国内大型还为主
[02733.32-02735.46] 循环是经济流通的意思
[02735.46-02736.56] 经济创通的意思
[02736.82-02737.56] 那我们说了
[02737.56-02738.72] 那有的人就会想说
[02738.72-02740.00] 中国这么了不起
[02740.24-02741.78] 我们就单纯了一套国内
[02741.78-02742.86] 不一套国际了呗
[02742.86-02744.10] 你这种想法很没想啊
[02744.10-02744.86] 小同志
[02745.10-02747.34] 如果只是说单纯了一套国内
[02747.34-02749.78] 你和当时的民轻时就啥去别呢
[02749.78-02751.86] 我们说了我们虽然是国内卫主体
[02751.86-02753.30] 但是能不能射去国外
[02754.06-02754.58] 不能
[02754.58-02757.30] 因为我们不能再再次顾不自风啊
[02757.30-02758.94] 所以我们也要看到外面怎么发展
[02758.94-02761.18] 所以我们就要看到国内国外
[02761.18-02763.26] 睡觉国内国界双玄环
[02763.26-02766.58] 所以这是我们所提到的叫做新发展
[02766.58-02769.58] 各具这是第一个在新发的各具当中的点
[02769.58-02771.14] 第二个大家来看一下
[02771.14-02773.22] 在新发的各具当中他提到了一个点
[02773.22-02774.74] 这个点是什么呢?你看
[02774.74-02775.70] 他说了
[02775.70-02778.42] 就国内大玄环出现的是什么?是玄环
[02778.42-02780.82] 第二国内国际双玄环出现的是什么?
[02780.82-02781.46] 玄环
[02781.46-02784.02] 大家提示定我们提到了一个醒什么醒呢?
[02784.02-02786.42] 这是新发展各具的关键在什么?
[02786.42-02789.42] 就是想让这一盘企业
[02789.42-02791.42] 想让这个经济局是盘火
[02791.42-02792.42] 你的关键是吗
[02792.42-02794.42] 是个经济在循环起来
[02794.42-02795.42] 换句话说的就是
[02795.42-02799.42] 有买方又买方 买卖说方在市场流通要怎么样
[02799.42-02800.42] 要唱通无组
[02800.42-02802.42] 你组色了任何一方
[02802.42-02804.42] 这个发展格局都知了不起来
[02804.42-02806.42] 比如说你只有买方没有买方
[02806.42-02807.42] 你只有买方没有买方
[02807.42-02808.42] 那你这个说你钱
[02808.42-02809.42] 往哪儿
[02809.42-02811.42] 你咋把东西买就已经资金咋回罗
[02811.42-02812.42] 你这企业你都回不了
[02812.42-02814.42] 那如果只有买方没有买方
[02814.42-02815.26] 就卖方呢
[02815.26-02816.82] 只有消费者没有生产者
[02816.82-02817.42] 风了嘛
[02817.42-02818.66] 只有消费者没有生产者
[02818.66-02819.66] 那咱买啥
[02819.66-02820.98] 那这时候你会发现
[02820.98-02822.10] 卖方和卖方
[02822.10-02824.66] 也就是生产端和需求端
[02824.66-02826.26] 也是攻击测和需求测
[02826.26-02827.90] 对了咱们上一个高度
[02827.90-02829.26] 就攻击测和需求测
[02829.26-02830.86] 也是消费者和生产者嘛
[02830.86-02833.38] 任何一端被组色了
[02833.38-02835.78] 经济都是一盘死企
[02835.78-02837.18] 它都是一盘死税
[02837.18-02838.34] 只有循环起来
[02838.34-02840.22] 卖博方唱空无组
[02840.22-02842.02] 才能够让经济活起来
[02842.02-02842.74] 所以你看
[02842.74-02844.38] 新发展格局的关键在什么
[02844.38-02846.90] 就一句话,经济循环的唱空无族
[02850.06-02854.78] 就经济循环的唱空无族
[02859.02-02860.94] 就经济循环的唱空无族
[02860.94-02863.34] 这个才是我们所说的关键
[02863.34-02865.02] 所以在这里面就两个考电
[02865.02-02867.02] 第一个就是新发人格局是什么
[02867.02-02868.30] 第二个就是它的关键
[02868.30-02869.02] 关键是什么
[02869.02-02870.50] 就是买卖循环唱空
[02870.50-02872.30] 你就画循环唱空就行了
[02872.30-02875.12] 这些地方大家如果说去死因悲的话
[02875.12-02877.14] 你发现它的内容就是有点多
[02877.14-02878.66] 但是如果你去理解一下
[02878.66-02881.46] 听了一些案例了解了它的大胃脚之后
[02881.46-02883.30] 你相对来说掌握这个部分
[02883.30-02884.34] 它就会轻松一些
[02884.34-02886.06] 所以这是我们所提到的
[02886.06-02888.86] 有关于第七个面缺当中的第二部分
[02888.86-02890.22] 所以第七个面缺里面
[02890.22-02891.50] 我们讲了两个大的部分
[02891.50-02893.04] 一个是基本军队队
[02893.04-02894.70] 然后第2个就是
[02894.70-02896.62] 现在画国家的战略导项
[02896.62-02898.10] 这两个部分的内容对不对
[02898.10-02899.18] 来说都很重要
[02899.18-02900.46] 也是考试当中
[02900.46-02903.00] 常考的一些細節
[02903.00-02904.80] 好 那我們就講到這
[02904.80-02907.00] 就把整個第七個明確給大家說完了
[02907.00-02908.80] 那我們說了第七個明確之後
[02908.80-02910.54] 咱們簡單的做一個書裡和回顧
[02910.54-02911.20] 好吧
[02911.20-02913.34] 首先來看一下在這個地方他給到的
[02913.34-02916.28] 第一個部分就是第七個明確就是
[02916.28-02918.54] 堅持和玩家的事物主義基本經濟制度
[02918.54-02920.54] 那我們就要知道基本經濟制度是什麼
[02920.54-02922.54] 叫國有這位主體多種說
[02922.54-02923.82] 直接進去共同發展
[02923.82-02924.88] 阿老分配為主
[02924.88-02927.92] 多種分配方式病存以及事物主義市場堅持體制
[02927.92-02931.20] 那公有制有哪些大家要知道我們昨天講了
[02931.20-02935.36] 很多國有經濟集體經濟混合所有制當中的國有成為繼承分
[02935.36-02937.92] 那共有這位主體的主體地位體現在
[02937.92-02939.60] 我說了考章管理代
[02939.60-02943.52] 公有資產戰友是國有經濟起主導
[02943.52-02945.68] 還有國有企業是支撐
[02945.68-02946.08] 對吧
[02946.08-02946.80] 這是在這
[02946.80-02948.56] 那飛共有制經濟包括哪些
[02949.60-02951.28] 昨天也給大家進行講解了
[02951.28-02952.96] 那飛共有資產生的原因
[02952.96-02954.80] 就三個字是有生產力的需要
[02954.80-02955.92] 他的地位我說了
[02955.92-02960.02] 一个字都不能上 关键词就在于社会主义市场经济
[02960.02-02963.10] 而不是社会主义经济 这是公有智
[02963.10-02966.68] 那这是我们所说的基本进行之格的那种低象 生产制度
[02966.68-02968.72] 而生产制度会决定要分配制度
[02968.72-02972.04] 所以按牢分配 它的前提就是什么公有智
[02972.04-02973.58] 所以这个点大家一定要明确
[02973.58-02976.34] 所以它会考一些具体表现形势 昨天也大家说了
[02976.34-02982.28] 过之 员工 比如说国企 卸单位 或者政府 以宫戴镇怎么一样
[02982.28-02984.16] 还有一个点在这儿给大家做一个补充
[02984.16-02986.38] 就是我们现在如果提到技本工则
[02988.12-02988.76] 他注意啊
[02988.76-02990.64] 如果提到技本工则的话
[02990.64-02992.76] 你一定要注意目前我们在技本当中
[02992.76-02995.34] 我们认为他是工有之间的形式
[02995.34-02997.32] 所以他说是死了死了的技本工则
[02997.32-02999.12] 那一般情况就是默认为他是
[02999.92-03001.28] 按楼分配的那种啊
[03001.28-03002.36] 这个点大注意一下
[03002.36-03004.04] 那多种分配方式的话就是
[03004.04-03005.24] 按生产要素败
[03005.24-03005.60] 嗯
[03005.60-03007.16] 咱们讲到了劳动要素
[03007.16-03008.24] 素败要素等等啊
[03008.24-03009.32] 那最后一个呢就是
[03009.32-03011.40] 处理好政府和市场的关系
[03011.40-03012.72] 收主一市场经体制
[03012.96-03015.36] 什么时候首次建立的14大
[03015.56-03018.44] 然后收主一市场经体制的核心
[03018.44-03020.92] 那是处理好政府和市场之间的关系
[03021.32-03022.44] 所以这是我们所说的
[03022.44-03025.08] 第一个部分叫建筑完善基本进行制度
[03025.32-03026.96] 第二个就是我们所说的
[03027.12-03029.48] 加快购建或者是我们所说的
[03029.48-03031.36] 建设现代化国家的战略导项
[03031.36-03033.48] 我们提到了三星新发人阶段
[03033.64-03035.20] 新发人理念新发人格局
[03035.36-03036.96] 具体内容我刚刚讲过
[03036.96-03038.92] 在这儿不给大家做过多强调了
[03039.68-03041.28] 大家去了解它就OK了
[03041.40-03045.62] 好,这个就是我们给大家所说的第7个名确
[03045.62-03050.52] 讲到第7个名确了之后,我们再接着一下看一下第8个名确
[03050.52-03052.04] 第8个名确就提到了
[03052.04-03054.60] 对于未来国家实现中华民族伟大幅型
[03054.60-03057.48] 它又提到了必须有聊好的保障
[03057.48-03060.36] 这个保障就来自于国防的保障
[03062.76-03066.44] 泡歉的同一们,话说多了这种意,这个烟言就犯了
[03066.44-03068.44] 这个墙军来来看一下
[03068.44-03070.12] 在整个实现中华民族伟大
[03070.12-03071.62] 父亲当中他提到了一个
[03071.62-03073.24] 我们必须要一口国防止
[03073.24-03075.26] 训练信代化作为中华民族伟大
[03075.26-03076.88] 父亲的重要保障之一
[03076.88-03079.16] 所以在这里他提到了一个墙军目标
[03079.16-03080.12] 这个墙军目标
[03080.12-03081.94] 我们在后面还会详细得大家讲
[03081.94-03084.28] 在这呢大家只大概了解一下
[03084.28-03085.80] 墙军目标是什么就行了
[03085.80-03087.60] 说建设一只听脑指挥
[03087.60-03089.64] 能打胜胜做风优良的什么
[03090.36-03093.00] 人民军队要把人民军队建设成为
[03093.00-03095.64] 世界一领军队
[03095.64-03097.60] 所以在这里面我们提到的叫做
[03097.60-03098.60] 强军目标
[03098.60-03100.24] 这个点大家了解一下中OK了
[03100.24-03102.48] 你大概记住它是什么样子就行
[03102.48-03104.48] 看到它能选出来就行
[03104.48-03106.12] 这是第八个明确
[03106.12-03107.96] 第八个明确其实明确的是
[03107.96-03111.32] 国家在发展过程当中需要的内部保障
[03111.32-03113.48] 但是中国的又是世界的
[03113.48-03116.08] 中国是世界当中不可能过确的一个部分
[03116.08-03118.76] 所以对于中国的发展来说离不开世界
[03118.76-03120.64] 那想要一个评论的
[03120.64-03122.40] 对外的发展环境
[03122.40-03124.08] 要通过什么通过外交
[03124.08-03127.44] 所以第九个明确明确了叫中国特色的大国外交
[03127.44-03128.76] 这个点没有细节
[03128.76-03130.60] 你大概知道有一个什么
[03130.60-03131.68] 有一个外交
[03131.68-03132.40] 我可以了
[03132.40-03133.20] 这是第九个
[03133.20-03133.88] 那最后一个呢
[03133.88-03135.28] 就是我们提到的
[03135.28-03137.24] 还是回微到那个问题
[03137.24-03139.92] 这是中国无论走向和方
[03139.92-03142.56] 是我们必须坚持的就是社会主义
[03142.56-03145.60] 道路必须坚持的就是中国共产党的领导
[03145.60-03147.92] 而中国共产党最中国的领导力量
[03147.92-03150.36] 他起到了一个非常重要的引令作用
[03150.36-03152.40] 那他想要把这个盈令作用发挥好
[03152.40-03155.28] 那就要求这个党自身的能力必须是什么
[03156.24-03157.00] 过应的
[03157.00-03159.84] 所以在这里面我们第10个明确就提出来了什么
[03159.84-03161.64] 第10个明确提出来了
[03161.64-03163.08] 全面从颜智党的
[03163.08-03163.84] 占对方针
[03163.84-03165.72] 在旁标主一下他是新增的
[03165.72-03168.48] 他是原本8个明确基础之上新增的
[03168.48-03170.28] 我们新增的一共就两个
[03170.28-03172.44] 一个是第7个明确
[03172.44-03173.72] 基本经质度那个
[03173.72-03175.56] 一个是我们所说的第10个明确
[03175.56-03177.12] 全面从颜智党
[03177.12-03178.24] 全面才知道他说了
[03178.24-03180.56] 他提出了西时代党件的总要求
[03180.56-03182.20] 这个西时代党件的总要求
[03182.20-03183.88] 咱们在后面还会再见到
[03183.88-03185.84] 我在这里大概的给大家说一下
[03185.84-03187.76] 西时代党件的总要求
[03188.76-03190.12] 我们给大家去讲的是
[03190.12-03192.24] 他包括一条主线
[03192.24-03193.48] 一个方针
[03193.48-03195.60] 我们所说的有一个方针
[03195.60-03196.24] 一个原则
[03196.24-03196.96] 一条主线
[03196.96-03198.48] 一个同理和一个根基
[03198.48-03199.60] 那西时代党件
[03199.60-03201.12] 总要求的主线是啥呢
[03202.16-03202.88] 大家注意一下
[03202.88-03205.08] 他的主线是保证党的
[03206.68-03207.68] 长期
[03208.24-03210.24] 直正能力
[03212.24-03217.24] 然后还有先进行纯解行为主线
[03218.24-03219.24] 后面咱们还会讲
[03219.24-03221.24] 只是在这里先给大家写上有一个印象
[03221.24-03222.24] 那第二个我说了
[03222.24-03224.24] 中国共产党
[03224.24-03225.24] 他又有一个什么 同铃
[03225.24-03228.24] 这个同铃能够在整个
[03228.24-03229.24] 先是在党件当中起到
[03229.24-03230.24] 同铃做的就是什么
[03230.24-03231.24] 政治建设
[03231.24-03232.24] 所谓的政治建设
[03232.24-03234.24] 就是方向的问题
[03234.24-03236.24] 中国共产党员960万
[03236.24-03237.24] 大导
[03237.24-03238.76] 大导将于一个亿
[03238.76-03240.68] 我们怎么样能够让这一个亿的党员
[03240.68-03242.32] 希望一出想进玩一出事
[03242.32-03243.40] 你没有办法说
[03243.40-03244.84] 落实到每个党员身上
[03244.84-03247.48] 党中央不会每天给每一个党员都打电话的
[03247.48-03248.08] 对吧
[03248.08-03249.08] 它只会怎么样
[03249.08-03250.04] 规定一个方向
[03250.04-03251.64] 让党员向谁看见
[03251.64-03253.64] 像中央看起就OK了
[03253.64-03254.84] 你给他一个方向
[03254.84-03255.48] 他都知道
[03255.48-03256.68] 我要朝着这个方向走
[03256.68-03257.96] 那这个就叫个什么
[03257.96-03258.76] 政治件事
[03258.76-03260.60] 所以政治件事是头脸
[03260.60-03262.32] 但是光有方向还不够
[03262.32-03264.28] 我们想要实现我们的目标
[03264.28-03265.08] 还有一个什么
[03265.08-03266.20] 还有一个根基
[03266.20-03271.12] 那这个根基呢就叫做理想信念
[03272.80-03273.56] 总值
[03273.56-03274.48] 这换的话说呢
[03274.48-03275.20] 大家注意啊
[03275.20-03277.08] 在这个地方
[03277.36-03279.28] 在这里面的同领当中
[03279.28-03280.32] 我们就知道了
[03280.32-03282.08] 我们朝哪个方向看
[03282.08-03284.84] 就是下集服从上级
[03284.84-03286.48] 地方服从中央
[03286.48-03286.84] 对吧
[03286.84-03288.40] 也就是作为党员
[03288.40-03291.36] 我就要知道我要像党组之看起
[03291.36-03295.00] 那这个时候他给我规定了一个类似于方向的这个东西
[03295.00-03297.00] 那我们就把它叫做政治建设
[03297.00-03300.08] 但是问题说在于当你明确了方向之后
[03300.08-03301.76] 你能不能坚持到最后
[03301.76-03305.36] 比如说我们都知道共产主义是我们最终最终的目标
[03305.36-03307.48] 我也知道我要为老百姓办事事
[03307.48-03309.48] 这都是我的方向目标
[03309.48-03311.32] 那我知道了这个方向目标
[03311.32-03312.80] 我能不能走到那个点
[03312.80-03316.08] 我还需要一个什么强大的理想信念作为支撑
[03316.08-03318.36] 所以在这里面他才给到了一个根基
[03318.36-03321.76] 在你内心当中能够起到一个非常重要的这样一个
[03321.76-03324.76] 我们所说的根基作用的能够不断支撑
[03324.76-03326.80] 你往前行的这个东西就叫做什么
[03326.80-03328.44] 就叫做理想信念
[03328.44-03329.64] 就叫做理想信念
[03329.64-03330.36] 大家都知道
[03330.36-03331.72] 方向目标人都有
[03331.72-03332.84] 就是好比大家
[03332.84-03334.00] 你也知道考试
[03334.00-03335.12] 你就要好好学习
[03335.12-03336.40] 你就要认真听课
[03336.40-03338.48] 你只有这样理才能成功啥
[03338.48-03340.76] 你也知道你最终的目标是要成功啥
[03340.76-03341.72] 但是生活当中
[03341.72-03342.92] 就会给你不停的
[03342.92-03344.24] 有很多的这种又活
[03344.24-03345.64] 我不知道大家有这个习惯
[03345.64-03347.76] 其实我感觉大家应该学习的时候
[03347.76-03348.80] 或者过得过小都有这个学习惯
[03348.80-03349.60] 比如说我
[03349.60-03350.80] 我在去学习的时候
[03350.80-03352.00] 我就是这样
[03352.00-03353.68] 周围的环境不好学不进去
[03353.68-03356.24] 所以当我开始打开数往这一做的手优绝的
[03356.24-03357.26] 地上是亏
[03358.04-03359.32] 沙发也不整齐
[03359.32-03360.84] 我的桌子应该收拾
[03360.84-03362.48] 于是我就开始打手优优优
[03362.48-03363.92] 我把微生都打上好之后
[03363.92-03364.96] 我把超无一开
[03364.96-03366.68] 我就环境太好了开始学习
[03366.68-03368.00] 当我一开始学习的时候呢
[03368.00-03368.80] 我就发现了
[03368.80-03369.60] 手机开始消息
[03369.60-03370.96] 各种消息接进来了
[03370.96-03372.12] 一会儿定定想了
[03372.12-03373.12] 一会儿微信想了
[03373.12-03374.12] 一会儿推出想了
[03374.12-03375.00] 一会儿定换来了
[03375.00-03377.48] 这人当你总要去想要学习的时候
[03377.48-03378.76] 就会有各种各样的诱惑
[03378.76-03379.80] 然后等到你
[03379.80-03380.80] 今天都忙活完了
[03380.80-03382.08] 你环境打算好优优绝的
[03382.08-03383.36] 下午两三点钟了
[03383.36-03384.40] 可以看会儿说了吧
[03384.40-03386.12] 然后你刷起了短视频
[03386.12-03387.72] 你看我的天的短视频
[03387.72-03388.44] 好有趣
[03388.44-03389.76] 刷到了三四点钟
[03389.76-03390.60] 天都要黑了
[03390.60-03392.32] 现在冬天天黑的比较早
[03392.32-03393.68] 然后到了三四点
[03393.68-03394.72] 苏点都天黑了
[03394.72-03396.32] 学习的性质已经巧人
[03396.32-03397.12] 小散人觉得
[03397.12-03397.64] 算
[03397.64-03398.92] 今天反正都已经
[03398.92-03399.84] 玩了一天了
[03399.84-03400.24] 对吧
[03400.24-03401.28] 那明天再开始学吧
[03401.28-03402.24] 你又没有这种感觉
[03402.24-03403.04] 你一定用
[03403.04-03405.36] 我相信我不是自己一个人
[03405.36-03406.32] 所以你会发现
[03406.32-03408.48] 你也知道你的方向就在前方
[03408.48-03409.84] 你也知道你要做什么
[03409.84-03412.68] 但是能否抵制入生活的幼稚
[03412.68-03414.56] 能不能刻着入内心的这些日望
[03414.56-03415.32] 它需要什么
[03415.32-03416.96] 理想信念作为自称的
[03416.96-03419.04] 所以这个地方叫理想信念是吗
[03419.04-03421.04] 是跟机研究在这
[03421.04-03422.40] 所以在这里面大家知道
[03422.40-03423.60] 这是我们所提到的
[03424.64-03426.00] 10个明确当中
[03426.00-03427.00] 最后一个明确
[03427.16-03429.28] 所以到这儿我们就把10个明确的内容
[03429.28-03431.36] 全部都给大家讲完了
[03431.36-03432.52] 咱们来简单的回顾一下
[03432.52-03434.64] 这10个明确是哪10个
