[00000.00-00004.92] 上下課我們講了馬斯主義基本原理的導論了解了整個馬元說了什麼
[02577.38-02578.50] 你看到了火
[02578.50-02581.18] 那你就认为物质就只有火
[02581.18-02582.82] 所以在这里面你看
[02582.82-02585.90] 如果你认为物质
[02585.90-02588.58] 就是水
[02588.58-02592.14] 或者你认为物质
[02592.14-02594.30] 就是火
[02594.30-02595.70] 你这种情况之下
[02595.70-02599.28] 你說把污汁範圍放大了還是坐小了,同一門
[02599.80-02604.14] 污汁就是水,污汁就是火,除了水果沒有其他的了
[02604.14-02607.98] 你說把污汁範圍無限的縮小了,所以在這裡面
[02607.98-02613.10] 古代普粗為污汁一個一個不足,用咱們大白話來說,就是他把污汁範圍
[02614.64-02615.92] 縮小了
[02616.44-02622.84] 但是這麼一說,雖然通俗了,但是不夠學說,有考試的時候,他不太可以給縮小的自己個字
[02622.84-02624.52] 那我们就坏一种说法
[02624.52-02631.74] 古代普通优主义把物质所小的就是体现在他把物质和物质的具体形态搞败了
[02634.12-02638.22] 他把物质等同于物质的具体形态
[02642.42-02645.54] 他把物质等同于了物质的具体形态
[02645.54-02649.04] 所以你看从某种方向人来说他的范围是说笑了的
[02649.04-02651.34] 所以在这里面考察这两种观点
[02651.34-02653.34] 上面正观点考历形题目
[02653.34-02655.54] 像正观点考宗核性的题目
[02655.54-02657.90] 就是关于维护主义观点说法
[02657.90-02658.74] 正确或错误的是
[02658.74-02660.62] 怕王王只能成为第二点
[02660.62-02661.94] 只能成为一个选项
[02661.94-02663.34] 会一个判能体出现
[02663.34-02664.14] 打住一下
[02664.14-02666.54] 这是古代普缩维护主义
[02666.54-02668.42] 古代普缩维护主义
[02668.42-02669.62] 距离面的物质
[02669.62-02670.54] 我们就了解了
[02670.54-02672.58] 但是随着人类社会的不断根点
[02672.58-02675.06] 人类随着科学技术的发展
[02675.06-02678.34] 对于物质的认知也会不断发生变化
[02678.34-02679.78] 以前的物质是可以
[02679.78-02683.18] 看来见摩的找到真实存在的物质巨形态
[02683.18-02685.66] 到了近代由于科学都不得发展
[02685.66-02688.78] 我们会发现我们所认为的物质
[02688.78-02691.26] 它是可以被切割化分的
[02691.26-02693.86] 而切割化分的最小单位就是什么呢
[02693.86-02697.58] 就是原子切割化分的最小单位就是原子
[02697.58-02698.98] 所以就有了第二个
[02698.98-02701.38] 叫近代形容上学为物主义
[02701.38-02706.38] 它的主要的观点就是认为物质就是原子
[02706.38-02707.38] 物质就是原子
[02707.38-02709.90] 所以这个点大家了解一下即可
[02709.90-02712.98] 进来写上一会主义相交于古代普遭有主义
[02712.98-02715.22] 有了一个非常大的进步
[02715.22-02716.98] 但是在这个国生当中
[02716.98-02719.38] 它也表现出来了明显的不足
[02719.38-02722.50] 这个不足是一个量星级的考察点
[02722.50-02724.10] 不足是一个两星级的考察点
[02724.10-02726.94] 几乎这三个缺陷当中的
[02726.94-02728.90] 每一个缺陷上都一点说法
[02728.90-02730.74] 那么首先来看一下第一个缺陷
[02730.74-02733.22] 进来写上一会主义当中的第一个缺点
[02733.22-02736.74] 就在于我们所说的机械性
[02736.74-02738.14] 啥叫激血性呢?
[02738.14-02739.82] 激血性啊,就是認為
[02739.82-02742.62] 對於,近代行上月為我主義來看
[02742.62-02744.98] 世界是不是會發生變化呢?
[02744.98-02747.54] 近代行上月為我主義說,是的
[02747.54-02749.42] 世界是會發生變化的
[02749.42-02752.54] 但是他認為這種變化非常的簡單
[02752.54-02755.94] 只是一種生變化,只是一種激血變化
[02755.94-02757.26] 或者叫做激血運動
[02757.26-02760.86] 什麼叫做激血變化,或者叫做激血運動呢?
[02760.86-02763.74] 就是簡單的,為以
[02763.74-02766.94] 就是針對於我們所說的金在行人上學來看
[02766.94-02769.22] 他認為事務所發生的所有的變化
[02769.22-02772.66] 都是簡單的位置移動所帶來的變化
[02772.66-02774.10] 是不是有點啥呀
[02774.10-02775.78] 因為我們放在今天來看的話
[02775.78-02777.50] 對於位移來看
[02777.50-02779.66] 這是這種機械運動
[02779.66-02781.26] 來說除了機械運動之外
[02781.26-02782.98] 說還有一些其他的運動形式
[02782.98-02784.86] 也就是說其他的變化形式
[02784.86-02786.50] 除了簡單的位置變化
[02786.50-02788.46] 你說會不會發生物理變化呢
[02788.46-02789.42] 指定會
[02789.42-02790.98] 會有發生化學變化呢
[02790.98-02792.02] 也有化學變化
[02792.02-02794.26] 你抽个颜点个泡长
[02794.26-02794.70] 对吧
[02794.70-02795.86] 然后加里面气吸露了
[02795.86-02797.50] 这种抽个颜冷静一下
[02797.50-02798.22] 那泡内下
[02798.22-02799.58] 那看这不多数语
[02799.58-02800.66] 换血变化吗
[02800.66-02802.58] 所以我们要知道
[02802.58-02804.74] 既然谁要上学所谓的这种机械性
[02804.74-02807.26] 它其实是机械运动的一种体现
[02807.26-02808.58] 但是我们要知道
[02808.58-02810.34] 整个世界的运动变化
[02810.34-02811.86] 除了这种简单的位置
[02811.86-02814.38] 还有很多其他的变化形势
[02814.38-02816.66] 所以它忽略掉了其他变化形势
[02816.66-02819.54] 导致行人上学就具有一定的啥性
[02819.54-02821.54] 叫做机械性
[02821.54-02824.22] 在这里面眼神出来的第一个点是啥呢
[02824.22-02825.22] 同时来看一下
[02825.22-02825.86] 我还说了
[02825.86-02827.14] 机器运动就是啥
[02827.14-02829.58] 机运动就是简单的位移
[02829.86-02831.06] 就是位置变化吗
[02831.06-02833.62] 比如说我现在面前有一个手机
[02833.62-02835.86] 我觉得这个手机路不了我的法院了
[02835.86-02836.90] 这个手机花了
[02837.54-02838.66] 1000多块钱买的
[02838.66-02840.18] 我觉得1000多配入上我
[02840.18-02841.06] 对吧太露了
[02841.06-02842.78] 我要用就要用一万多的手机
[02843.06-02844.90] 于是我打开我的窗户
[02844.90-02846.62] 把这个手机从28楼
[02846.62-02847.90] 一下抛下去
[02848.06-02849.94] 然后不兴把路边的人杂伤了
[02849.94-02852.08] 那是法律問題怎麼後去討論
[02852.08-02855.36] 那你看這個手機從我的桌子上
[02855.36-02858.58] 輪到了窗外 掉到了樓下 砸到了一個人
[02858.58-02859.56] 給我連動了
[02859.56-02861.04] 那在這種情況之下 你看
[02861.04-02862.56] 他的這種位置變化
[02862.56-02865.70] 是手機想自己跑到樓下去砸人的
[02865.70-02869.14] 還說我要給手機跟外力把它輪出去
[02869.14-02871.10] 讓他到樓下砸人
[02871.10-02874.94] 指定他的這種位移是要借助外力的
[02874.94-02878.14] 而外力其實更多強調的是外部環境
[02878.14-02881.22] 所以机械性它有一个比较知命的一个点
[02881.22-02884.06] 就是它会让人陷入到一种无力感
[02884.06-02884.94] 什么无力感呢
[02884.94-02888.62] 就是机械性更多强调咱们说了是外力或者是外笔因素
[02888.62-02891.46] 那如果更多的强调外力或外笔因素
[02891.46-02893.94] 那就意味着人在一件事情当中
[02893.94-02896.50] 没有办法发挥人的主观能动心
[02896.50-02898.10] 因为在这种事情当中
[02898.10-02899.78] 你就没有办法去做了
[02899.78-02901.78] 也就是说一件事情来了
[02901.78-02902.98] 做成做成
[02902.98-02905.26] 你就请问你看外界环境这么复杂
[02905.26-02906.06] 你觉得行了
[02906.06-02911.24] 那就这样吧,毁灭把唐平把摆爛了,人就不会发挥任何的作用了。
[02911.24-02916.52] 所以导致的一个结果,就是人越来越羡慕到外界环境因素的影响里面,
[02916.52-02919.76] 换句话说,就是逐渐的开始要人命了。
[02919.76-02926.58] 所以机械行,导致的一种观点,我们经常认为,它会产生一种观点叫做,苏明轮。
[02926.58-02931.96] 这个点,在之前的山东和山西,是一单位考试的时候,都考察过,大家注意一下。
[02931.96-02934.86] 所以机械行导致的第六观点,就是苏明轮。
[02934.86-02937.66] 因為這些性太強調外界的作用了
[02937.66-02939.46] 不強調人的濃動性
[02939.46-02941.98] 認為人在外界環境面前太瞄小了
[02941.98-02945.98] 這種情況之下你看你說就於是深深的無力感和素命感
[02945.98-02948.62] 這時候導致的觀點叫做素命論
[02948.62-02950.54] 所以說素命論和哪有確確有關
[02950.54-02952.78] 女生和這些性的關係可以了
[02952.78-02954.86] 這是第一個叫做素命論
[02954.86-02955.86] 第二個呢
[02955.86-02956.86] 大家要注意一下
[02956.86-02960.10] 就是因為到了近代所研究的這種維護主義
[02960.10-02961.74] 他具有一定的極限性
[02961.74-02967.54] 所以到了近代时候这个维护主义也被称着为叫做机械维护主义
[02970.94-02974.14] 也被称着为叫做机械维护主义
[02974.14-02976.34] 这是他的另外一个名称
[02976.34-02979.54] 另外一个名称所以他说机械维护主义是啥
[02979.54-02982.94] 就知道机械维护主义就是行人上学维护主义
[02982.94-02984.34] 他说的是一回事
[02984.34-02986.34] 这是第一个叫做机械性
[02986.74-02989.74] 第二个他的确性叫做行人上学性
[02989.74-02993.74] 行人上学生是最三个特形当中最重要的一个
[02993.74-02998.34] 行人上学生表现在骗面孤立和静止
[02998.34-03001.14] 骗面孤立和静止都有个字的喊异
[03001.14-03003.34] 比如说第一个叫做骗面
[03003.34-03004.54] 骗面是啥意思呢
[03004.54-03006.74] 骗面只能看到一部分
[03006.74-03010.14] 你看不到全局这个叫做骗面
[03010.14-03011.74] 比如说一夜照目
[03011.74-03013.74] 你拿一个数夜把我眼睛折上了
[03013.74-03014.94] 完了我瞎了
[03014.94-03016.54] 对吧不见太山
[03016.54-03018.74] 所以你只能看到一小部分
[03018.74-03025.84] 你看到全局,这个就叫做什么片面,所以在这里面,大家注意一下,这是第一个,叫做片面
[03025.84-03034.88] 第二个叫做孤立,孤立就是你认为你和外界不会产生任何的关系,外界不会对你产生影响
[03034.88-03045.44] 这个就叫做孤立,最常见的就叫做直接数目不见森林,啥意思呢,就是你看到你前面,好家活,对吧
[03045.44-03047.68] 你又看到了很多的这个数
[03047.68-03049.56] 然后你就说这是一颗数
[03049.56-03051.36] 这是第二颗数 这是第三颗数
[03051.36-03052.48] 这是十一颗数
[03052.48-03053.76] 但是你看不到十一颗数
[03053.76-03055.76] 够层了什么 够层了思练
[03055.76-03056.76] 这点什么感觉呢
[03056.76-03058.80] 就是你站在一些语面前
[03058.80-03059.80] 这些语都在水里
[03059.80-03062.16] 说一条语两条语三条语四条语语
[03062.16-03064.00] 但是你看不到这个语就是你的
[03064.00-03065.44] 这些语放在这个词字里
[03065.44-03066.64] 就是你的语堂
[03066.64-03068.00] 你就是这种感觉
[03068.00-03069.60] 所以我们所说的这种
[03069.60-03070.28] 孤立
[03070.28-03073.44] 它代表的就是看到15之间的影响
[03073.44-03074.36] 这个叫孤立
[03074.36-03075.96] 而静止强胀的是什么呢
[03075.96-03077.36] 静止在形儿上学到座
[03077.36-03080.68] 强胀的就是一点变化都没有
[03080.68-03082.84] 这种句叫做静止
[03083.56-03085.16] 静止强胀不会变化
[03085.16-03088.32] 所以典型的就是可周求见
[03088.32-03090.48] 答应该听过可周全现这个故事吧
[03090.48-03092.16] 我和我的朋友在胡商
[03092.16-03093.52] 泛周遥着小传
[03093.52-03095.36] 和这九唱的歌碰着头
[03095.36-03096.48] 抽着一二对吧
[03096.48-03098.08] 突然我的传家保
[03098.08-03099.60] 见孤动一下调告水里了
[03099.60-03100.72] 我一看好家伙
[03100.72-03101.60] 见调告水里了
[03101.60-03102.36] 胡水这么深
[03102.36-03105.64] 你这能难道我们赶紧偷出的小刀在床上课
[03105.64-03109.56] 在床上 床上课了一个印记
[03109.56-03111.32] 我的朋友这时候就跟我说
[03111.32-03113.72] 你在床课印记干嘛呢
[03113.72-03115.08] 我是振救不懂了吧
[03115.08-03116.68] 我的尽量从这儿掉下去了
[03116.68-03119.72] 一会儿床靠按之后我就一个梦组扎进去
[03119.72-03121.52] 把他楼起来 聪不聪明
[03121.52-03123.16] 我朋友当时怎么样
[03123.16-03124.84] 看我 想看个致张一样
[03124.84-03126.36] 用挂啥子也是看着我
[03126.36-03129.48] 跟我说了一句发自废腐的亲切的问候
[03129.48-03131.56] 说楼里妹还能楼出来吗
[03131.56-03132.58] 老不出来了
[03132.58-03136.68] 因为在这个地方建已经掉下掉在前面的复理了
[03136.68-03139.12] 而你只能看到这个印记看不到传在动
[03139.12-03141.28] 我是不看不到传在发生变化
[03141.28-03142.68] 那我这种就叫做什么
[03142.68-03143.92] 静止的观点
[03143.92-03146.28] 这个就叫做新人上学
[03146.28-03147.68] 而新人上学的观点
[03147.68-03148.40] 他们注意一下
[03148.40-03150.24] 他之所以非常重要
[03150.24-03152.92] 就是因为他不是一个单独的考虑
[03156.12-03158.20] 他不是一个单独的考虑
[03158.20-03159.92] 他往往会结合什么呢
[03159.92-03161.72] 往往会结合两个点来考察
[03161.72-03164.02] 第一个就是结合运动来考察
[03164.02-03166.82] 我们在后面会讲到运动就是变换
[03166.82-03168.82] 它其实对应了静止
[03168.82-03171.92] 第二个它会结合变政法来考察
[03173.22-03175.02] 比如说在这里你看
[03175.02-03178.56] 《形儿上学看不到全局》只能看到一部分
[03178.56-03179.62] 是不是骗灭呢
[03179.62-03182.72] 那和骗灭对应的就是全灭的观点
[03183.92-03185.52] 比如说在这里想掉孤立
[03185.52-03187.52] 孤立是不是看不到树之间的影响
[03187.52-03189.32] 你是你我是我在俩巴甘打不着
[03189.32-03191.12] 别来展别受这种感觉
[03191.12-03192.12] 所以这是孤立
[03192.12-03193.52] 而和孤立对应的是什么
[03193.52-03196.32] 和孤立对应的就是联系
[03198.32-03199.64] 而静止强调的是
[03199.64-03200.64] 一遍不遍
[03200.64-03202.36] 而和不遍对应的就是变化
[03202.36-03204.36] 变化在变政法里当中叫做
[03204.36-03205.40] 发展
[03205.40-03207.00] 所以你看他在考的时候
[03207.00-03209.08] 他不太会单独去考察
[03209.08-03212.52] 而是会把它和变政法会运动对应来考察
[03212.52-03214.92] 他不太是一个单独出体的变
[03214.92-03216.12] 大家一定要注意一下
[03216.12-03219.52] 这是我们所说的第二个叫做行二上学性
[03219.52-03221.60] 如果说你老日这三个当中就想机一个
[03221.60-03224.40] 那你OK你就把行二上学性给我理解透就行了
[03225.40-03227.80] 这是我们所说的第三个叫行二上学性
[03227.80-03228.80] 同样发现
[03228.80-03231.04] 这就是因为它具有行二上学性
[03231.04-03234.32] 所以它也叫做行二上学为无主意
[03235.32-03237.08] 那是第三个行二上学性
[03237.08-03238.00] 那第四一个呢
[03238.00-03240.72] 就是我们所说的叫做不撤底性
[03240.72-03242.92] 不撤底性就是意味着
[03242.92-03246.76] 我们所说的整个世界或者整个物质世界
[03248.56-03249.84] 他包括两个部分
[03250.08-03254.32] 一部分是自然界,还不可能是我们所生活的人的社会
[03254.44-03261.08] 这里面,近代行为上学为务主意你看,他说自然官是维护的,他认为自然界是物质的
[03261.08-03263.08] 由客丸实际情况推动的
[03263.24-03269.92] 但是他认为人类社会的根理,却不是客丸实际情况推动的,却不是生产力这种东西推动的
[03269.92-03270.94] 他認為是什麼
[03270.94-03273.12] 他認為是英雄人物推動的
[03273.12-03275.00] 或者說是神推動的
[03275.00-03277.22] 你看他在維護主義的觀點當中
[03277.22-03278.68] 說指間持了一半
[03278.68-03281.04] 這個就叫做不撤底性
[03281.04-03283.26] 那我把這種不撤底性
[03283.26-03285.02] 也給他找了一個名字
[03285.02-03287.80] 叫做什麼呢?叫做半節自維護主義
[03291.44-03294.28] 叫做半節自維護主義
[03296.28-03298.16] 所以在這裡同一門要注意
[03298.16-03299.66] 他如果在提案当中说
[03299.66-03301.20] 什么近代形儿上学为务主义
[03301.20-03302.08] 我在这里带
[03302.08-03303.24] 那比标主量啊
[03303.24-03304.32] 比如说他说了
[03304.32-03306.68] 形儿上学为务主义出现了这个点
[03306.68-03308.52] 或者出现了机械为务主义
[03308.52-03310.40] 又或者出现了半节的为务主义
[03310.40-03313.00] 同学们说的都是一个事
[03313.00-03315.84] 知道了近代为务主义发展的时候
[03315.84-03317.28] 他因为存在这些确信
[03317.28-03319.68] 所以导致会有这样的一些
[03319.68-03321.96] 名称回倒的会有这样的现名称
[03321.96-03324.72] 所以这是近代形儿上学为务主义
[03324.72-03326.24] 大家不要一听到形儿上学
[03326.24-03327.96] 就是扣形儿上学这几个字
[03327.96-03329.44] 没有意义你就知道
[03329.44-03330.64] 既然行上有屋主义
[03330.64-03332.32] 它是为屋主义的观点
[03332.32-03333.20] 它有进步
[03333.20-03334.00] 但它有不足
[03334.00-03336.00] 它只是一种为屋主义观点而已
[03336.00-03337.04] 所以大家注意一下
[03337.04-03338.60] 进代行上学
[03338.60-03339.44] 为屋主义
[03339.44-03341.64] 进代的这个为屋主义观
[03341.64-03343.32] 比古代要好很多
[03343.32-03344.52] 但是虽然好很多
[03344.52-03345.72] 但是咱也能看出来
[03345.72-03347.52] 它是不是没随了
[03347.52-03351.16] 就是已经对的都已经没有标了
[03351.16-03352.12] 它是不是这种理论
[03352.12-03352.80] 不是的
[03352.80-03354.28] 所以既然行上有屋主义
[03354.28-03356.60] 也不是特别完美的这种观点
[03356.60-03357.56] 比较完美的观点
[03357.56-03358.72] 是哪一种观点呢?
[03358.72-03362.00] 你学的哪一种观点?哪一种观点就比较完美了?
[03362.00-03364.92] 所以在为务主义当中出现了第三种形态
[03364.92-03366.76] 就叫做现代为务主义
[03366.76-03367.76] 现代为务主义呢?
[03367.76-03370.80] 也就是我们所说的马斯主义哲学了
[03370.80-03375.48] 所以从古代到近代到现代就是我们所接触的
[03375.48-03376.96] 那就现代为务主义
[03376.96-03379.00] 现代为务主义包括两个部分
[03379.00-03380.08] 咱们前面讲过
[03380.08-03384.12] 一个是变政为务主义一个是历史为务主义
[03384.12-03387.12] 这里面有一个点是一个考虑
[03387.12-03389.66] 但是它只能做一个医星级的考察界
[03389.66-03391.06] 同时可以给了标主出来
[03391.06-03392.50] 经常它会问到
[03392.50-03393.84] 现在为务主义
[03393.84-03395.64] 或者是马斯主义折血的
[03395.64-03398.12] 根本的世界观和方法论是什么
[03399.84-03404.52] 根本的世界观和方法论值得是什么
[03404.52-03407.32] 他们的根本的世界观和方法论就是
[03407.32-03410.32] 变成为务主义和历史为务主义
[03410.32-03411.12] 这个点
[03411.12-03412.76] 考察频率很低
[03412.76-03415.12] 但是同学没有在这稍微有个印象
[03415.12-03417.94] 这个就是为屋主义的三种
[03417.94-03418.96] 基本形态
[03418.96-03420.50] 没有主义的三种基本形态
[03420.50-03421.78] 到这咱们就说了
[03421.78-03424.58] 从古代到近代在到现代
[03424.58-03426.12] 这是为屋主义
[03426.12-03428.18] 但是在第一性问题的探讨上
[03428.18-03430.22] 我们除了探讨有为屋主义之外
[03430.22-03431.76] 是吧还有为心主义
[03431.76-03433.56] 所以这个心代表的是什么呢
[03433.56-03435.86] 这个心代表的就是意识
[03435.86-03439.70] 在这个层面上就意味着意识是这个世界的主在了
[03439.70-03440.72] 那问题就是在于
[03440.72-03443.78] 我们可以简单的理解把意识就理解成精神
[03443.78-03446.60] 那就说白了是精神是世界的主在
[03446.60-03449.80] 到底是谁的精神主在了这个世界呢
[03449.80-03452.22] 那就又换出来了两个说法
[03452.22-03453.06] 哪两个说法呢
[03453.06-03455.40] 第一个叫做主观美星
[03455.40-03456.40] 这个主观美星
[03456.40-03457.68] 你看看在这里强调
[03457.68-03459.24] 说主观美星的强调
[03459.24-03461.62] 人的精神是世界的本源
[03461.62-03464.36] 世界上一切收存在于人的精神之中
[03464.36-03467.02] 比如说半物接被约5
[03467.02-03468.82] 也强调5的作用
[03468.82-03470.76] 无心变是宇宙
[03470.76-03471.96] 宇宙变是无心
[03471.96-03476.76] 我的心就是整个宇宙的叶形都是跟着我心来变化的
[03476.76-03479.00] 那这种就叫做主观伟鲜
[03479.00-03485.16] 所以主观伟鲜主义他常见的观点就在体验当中出现了无出现了
[03485.16-03490.40] 我出现了心或者是他格外强调人
[03490.40-03493.76] 所以在这里他的具体观点展示非常多
[03493.76-03495.52] 我不建议同学们去背
[03495.52-03497.88] 我只建议同学们在主观伟鲜这一块
[03497.88-03501.40] 考理解形提目的时候只记一个字就是人
[03501.40-03504.06] 你就看一下他所说的这个精神
[03504.06-03505.88] 有没有强调人
[03505.88-03507.44] 如果他强调了
[03507.44-03509.16] 人在这个过程当中
[03509.16-03510.44] 起到了决定作用
[03510.44-03511.32] 没谁了
[03511.32-03511.64] 对吧
[03511.64-03514.44] 人的精神就是这个世界的主在那家伙
[03514.44-03515.56] 那就都听人的
[03515.56-03516.92] 那这种就属于主观
[03516.92-03517.96] 什么叫做主观
[03517.96-03519.88] 主观就是你能够控制的了的
[03519.88-03520.72] 叫做主观
[03520.72-03522.44] 你控制不了的东西
[03522.44-03523.88] 那都叫做客观
[03523.88-03527.96] 所以在这里面主观微信就是强调人的作用
[03527.96-03529.00] 非常非常重要
[03529.00-03531.00] 甚至是无限夸大的人的这种作用
[03531.00-03532.00] 叫主管理信
[03532.00-03532.68] 比如说
[03532.68-03533.80] 我去个简单例子
[03533.80-03535.64] 叫人类自然立法
[03536.36-03537.20] 等会来看一下
[03537.20-03539.64] 这里出现了无出现了我出现了新了吗
[03539.64-03540.40] 没有啊
[03540.40-03542.00] 但是他在强调谁的作用
[03542.00-03544.00] 人的作用人类自然立法
[03544.00-03546.24] 人就是整个自然运行的法子了
[03546.24-03547.72] 人怎么可能是法子了呢
[03547.72-03548.16] 对吧
[03548.16-03550.32] 在这里面过度强调人的作用
[03550.32-03552.24] 那属于什么主管理信
[03552.24-03554.44] 又或者说人是万物的尺度
[03554.44-03556.44] 是为也过度强调人的作用
[03556.44-03559.16] 那这里面只要是强调人的精神
[03559.16-03562.16] 跨大人的作用的都叫做主观维心
[03562.16-03564.16] 这是在维心主义当中的第一个
[03564.16-03566.88] 强调人的精神主在着世界
[03566.88-03569.76] 但是总有一些精神力量是人控制不了的
[03569.76-03573.76] 那人控制不了的精神力量就叫做客观维心
[03573.76-03575.96] 所以客观维心主义强调的是什么
[03575.96-03579.16] 人之外的人之外的
[03579.16-03581.96] 就是人控制不了的这种精神
[03584.16-03586.96] 那这种就叫做客观维心
[03586.96-03588.76] 你比如说在这里他给到了
[03588.76-03591.72] 老子到生万物 到是啥不知道
[03591.72-03592.12] 对吧
[03592.12-03593.72] 我们就知道大道无形
[03593.72-03594.96] 但是道具体是什么
[03594.96-03595.80] 没有见过
[03595.80-03596.72] 所以在这里
[03596.72-03599.40] 到人能控制两碼控制不了
[03599.40-03600.36] 所以在这里
[03600.36-03602.20] 到他是科官人心
[03602.20-03604.12] 比如说世界是绝对观念
[03604.12-03604.72] 大家注意一下
[03604.72-03606.28] 如果单独强调观念
[03606.28-03607.48] 就是强调人的作用
[03607.48-03608.52] 如果在这里面
[03608.52-03610.20] 在观念前面加上两个字
[03610.20-03611.64] 叫做绝对
[03611.64-03612.72] 就用情况之下
[03612.72-03613.80] 绝对精神
[03613.80-03614.72] 绝对观念
[03614.72-03615.84] 绝对理念
[03615.84-03617.28] 都是人控制不了的
[03617.28-03619.64] 人控制不了的都叫做什么
[03619.64-03621.36] 都叫做客观为心
[03621.36-03623.16] 所以在这里面大住一下
[03623.16-03624.32] 考试的时候
[03624.32-03626.56] 就会考一些观点展示
[03626.56-03628.64] 让去去问主观为心客观心
[03628.64-03630.88] 让去问为屋主意和为心主意
[03630.88-03633.64] 一定要根据刚才所落列的这些观念此
[03633.64-03635.04] 把它能够对应上
[03635.04-03637.00] 人控制不了的精神
[03637.00-03638.16] 主要有哪些
[03638.16-03640.20] 比如说我们常说的老子的道
[03640.20-03641.92] 这里一定是老子的道路
[03641.92-03643.56] 装子属于主观为心
[03643.56-03645.04] 所以在这里老子的道
[03645.04-03647.30] 又或者我們經常看到什麼神
[03648.40-03649.64] 神話到中的神
[03649.64-03650.92] 中國有中國的神
[03650.92-03652.38] 女娃福西盤股
[03652.38-03652.96] 對吧
[03652.96-03654.44] 西方有西方的神
[03654.44-03655.68] 比如說那上帝
[03655.68-03657.38] 又或者我們所說
[03657.38-03658.86] 在人類文明神話史上
[03658.86-03660.18] 還有苏美神話
[03660.18-03661.28] 阿魯那旗
[03661.28-03662.30] 對吧像這些
[03662.30-03663.56] 他們都屬於神
[03663.56-03665.00] 人能控制到什麼
[03665.00-03665.76] 人控制表
[03665.76-03666.76] 人控制不了
[03666.76-03667.88] 就在人之外
[03667.88-03670.04] 還就屬於客觀的血
[03670.04-03671.64] 除了神之外還有命
[03672.52-03674.16] 不說人命吧
[03674.16-03677.72] 这不是你的东西看命,天命,之中是命
[03677.72-03681.72] 所以这里出现了命,人控制不了的,那数月刻完一心
[03681.72-03686.32] 又或者我们所看到的利益,珠西的利益
[03686.32-03689.64] 对吧,叫做未有此气,先有此理
[03689.64-03692.92] 这里面的利益,强调的也是人控制不了的
[03692.92-03695.24] 又或者叫做绝对什么什么
[03695.24-03698.80] 比如说绝对精神,绝对观念,绝对理念
[03698.80-03701.36] 只要是绝对的东西,都是人控制不了的
[03701.36-03704.88] 人控制不了的都是客观
[03704.88-03709.36] 这个就是我们所说的叫做客观微心
[03709.36-03711.56] 所以这是两大哲学派别
[03711.56-03715.04] 维护主义三个微心主义两个
[03715.04-03717.44] 一定要去分的手怎么办
[03717.44-03720.08] 因为它会考理解性考订的去分
[03720.08-03723.12] 抓关键词不要去背变你和定义
[03723.12-03725.20] 没有用随大家注意下
[03726.32-03726.64] 好
[03726.64-03730.00] 我们来看一下整个两大哲学派别当中的考订
[03730.00-03731.96] 我在这里给大家做了一个梳梁
[03731.96-03734.34] 说了它是这一节当中为一个
[03734.34-03735.96] 两星期的模块
[03735.96-03737.56] 两大绝派列一个是维吾
[03737.56-03738.84] 一个是维心
[03738.84-03740.60] 那在维吾当中这个物质
[03740.60-03743.04] 就从古代到近代到现代
[03743.04-03744.72] 有了不同的眼变
[03744.72-03746.20] 所以古代古作有主义
[03746.20-03747.24] 考官年展示
[03747.24-03748.52] 要知道哪些数语
[03748.52-03749.76] 在这里有个考电题
[03749.76-03751.96] 是故代古作有主义的不足
[03751.96-03753.96] 法算为扩大了还缩小了
[03753.96-03755.72] 法算为缩小了
[03755.72-03756.88] 那这是古普
[03756.88-03758.28] 到了近代的时候
[03758.28-03760.96] 物质变成了原子
[03760.96-03761.28] 对吧
[03761.28-03762.88] 所以它的观点就是原子
[03762.88-03764.36] 它的不足就在于
[03764.36-03765.76] 第一个机械性
[03765.76-03768.08] 强调外力的作用
[03768.08-03770.08] 导致的结果是素命轮
[03770.08-03770.84] 第二个是
[03770.84-03772.08] 强上学
[03772.08-03773.12] 这样的一个特性
[03773.12-03773.48] 我说了
[03773.48-03775.08] 它不是一个鼓励的烤点
[03775.08-03777.36] 光我会结合运动和变成法来
[03777.36-03779.16] 第三个就是它坚持了一半
[03779.16-03781.64] 所以不彻底性就要半节自为物主义
[03781.64-03784.20] 这里面如果一定要画分两星的话
[03784.20-03786.96] 那两星当中的两星就是强上学性了
[03786.96-03788.00] 那这是近代
[03788.00-03789.40] 到了现在是最对的
[03789.40-03790.72] 就是马斯主义哲学
[03790.72-03793.80] 提到了一个变成没有主义和历史为无主义
[03793.80-03794.92] 这叫微霧
[03794.92-03796.12] 微心主义
[03796.12-03799.36] 他话可能标志就看世后强调人的作用
[03799.36-03801.96] 如果人卸主在作用
[03801.96-03803.40] 主观人控制不了
[03803.40-03804.56] 那就是客观
[03804.56-03805.56] 你看这种客观
[03805.56-03807.20] 这个就是我们所说的
[03807.20-03810.20] 有关于两大哲学派点的内容
[03810.20-03812.48] 那么来做一道题目
[03812.48-03813.92] 他说下令哲学理念
[03813.92-03814.88] 会观点到中数
[03814.88-03816.68] 微霧主义翻炒的事
[03816.68-03817.84] 一个月来分析了
[03817.84-03820.92] 無心便是以後出現了心 微誤微心呢
[03821.42-03826.92] 微心人控制不了控制不了 控制不了 那屬於什麼微信啊 主觀微信
[03828.92-03830.52] 所以 A 選上只能不行啦
[03830.76-03835.72] B 選上說美的東西是美食它美的 對吧
[03835.72-03838.76] 好看的東西是好看讓它好看的
