[00000.00-00002.68] 好的同学们我们讲完了
[02321.92-02325.44] 比如说我经常能够看到大家这个聊天
[02325.44-02325.80] 对吧
[02325.80-02328.28] 那这个聊天的时候经常就有很多人就说
[02328.28-02330.32] 按说那个紧急关单位
[02330.32-02331.48] 按上去混任子
[02331.48-02333.32] 或者作为这个导源它就会觉得
[02333.32-02334.20] 哎无所谓
[02334.20-02335.84] 什么这有无所谓那有所谓
[02335.84-02337.04] 但是本身上是什么的
[02337.04-02337.80] 大家知道
[02337.80-02339.88] 这是我们现在所取得的
[02339.88-02341.84] 一系列的这样的一个成果
[02341.84-02343.44] 它其实是得来不异的
[02343.44-02345.32] 就是按照我们
[02345.32-02346.60] 这个理念来看的话
[02346.60-02347.96] 就是一步跟着一步
[02347.96-02348.96] 这个经济的目标完成了
[02348.96-02350.12] 还有下个节目的
[02350.12-02351.76] 但是总会出现一些精神
[02351.76-02353.76] 泄带的这样的一些情况
[02353.76-02355.08] 比如说躺在公老部上
[02355.08-02356.32] 都觉得
[02356.32-02358.16] 全面透明公监完成了
[02358.16-02359.48] 按住完成了把妈妈呼呼
[02359.48-02360.68] 那下一个节目相分这些嘛
[02360.68-02361.60] 也正那么回事吧
[02361.60-02362.84] 就不想干实事
[02362.84-02364.52] 你这个就精神泄带的危险
[02364.52-02365.28] 你看在这里面
[02365.28-02366.04] 是距离面
[02366.04-02367.58] 我就记得它把它这个
[02368.10-02369.28] 小细化
[02369.28-02370.92] 就特别明显这个讥人的信任的理解
[02370.92-02371.92] 就学孙联城了
[02372.96-02373.92] 看星星开月了
[02373.92-02375.60] 我记得在天里面说有一次
[02375.60-02378.84] 有人找孙联城去给的群众来找孙联城
[02378.84-02379.80] 百分铁
[02379.80-02380.80] 一看五点下班的时候
[02380.80-02381.36] 不好意思
[02381.36-02382.52] 今天下班里面才来吧
[02382.52-02384.24] 那一看这种就是不想好好干活
[02384.24-02384.80] 这叫什么
[02384.80-02386.00] 惊神谢带的事情
[02386.00-02387.90] 而这种对中国观察的来说
[02387.90-02388.92] 她就不是什么
[02388.92-02390.56] 就不是长期复杂的了
[02390.56-02391.72] 她不是这种深头行的
[02391.72-02392.28] 慢慢的
[02392.28-02393.92] 她什么坚实的严军的
[02393.92-02394.88] 一旦出现经济的信任
[02394.88-02395.60] 其他危险
[02395.60-02396.52] 一个人这么做
[02396.52-02397.56] 中国九千多万
[02397.56-02399.48] 将近一个一个这个党员都这么做
[02399.48-02401.08] 这个国家何去何从啊
[02401.08-02401.52] 不行
[02401.52-02402.80] 所以在这里他说了
[02402.80-02403.20] 经识了
[02403.20-02404.88] 谢待的危险是第一个
[02404.88-02406.88] 那第二就是能力不足
[02406.88-02407.48] 能力不足
[02407.48-02408.56] 就体现在
[02408.56-02409.92] 现代化国家的建设
[02409.92-02410.96] 社会主义发展到
[02410.96-02412.84] 今天中国特首主义
[02412.84-02414.62] 他其实对于我们所说的这个
[02414.62-02416.60] 党员能力的要求越来越严格了
[02416.60-02419.04] 因为你面临不同的经济发展环境
[02419.04-02422.88] 你必须具备不同的能力来应对新的挑战
[02422.88-02423.64] 你比如说
[02423.64-02426.46] 我们所提到的在最开始的时候
[02426.46-02427.84] 疫情的时候大家都知道
[02427.84-02429.74] 那个黄岗马还是哪里
[02429.74-02433.10] 就最开始的时候那个一问三不知的那个魅忌伟都主要富格人
[02433.10-02434.70] 那个床位公吗不知道
[02434.70-02437.00] 你能忍忍大概多少不知道
[02437.00-02438.60] 你能忌忌的你什么不知道
[02438.60-02439.80] 那你这有什么干嘛呢
[02439.80-02442.78] 失威素餐我们要的事这种人不是的
[02442.78-02444.54] 不能为老百姓办事事的不行
[02444.54-02445.14] 对吧
[02445.14-02447.18] 你看我们经常在第二句当中
[02447.18-02448.66] 或者自己私下看了笑声
[02448.66-02450.24] 当过不为民作主
[02450.24-02451.46] 不如回家卖红数
[02451.46-02453.38] 要求你有具备相当的能力你没有
[02453.38-02454.78] 你不被老百姓解決問題
[02454.78-02455.78] 那要你看嗎呢
[02455.78-02457.72] 所以在這裡叫做能力不足
[02457.72-02459.26] 第三一個叫脫離群眾
[02459.26-02461.06] 通常在脫離群眾旁邊標準一下
[02461.06-02464.06] 他是大危險當中叫做最大的危險
[02467.66-02470.38] 中國共產黨是老老把握住一人民為中心的
[02470.38-02473.30] 他就是我們政策的邏輯底線通訊們
[02473.30-02474.50] 你看在疫情防控的時候
[02474.50-02477.18] 我們提到了叫人民至少生命至少為什麼
[02477.18-02478.46] 人民是底線
[02478.46-02480.50] 人民是這個國家最重要的
[02480.50-02481.30] 所以你看
[02481.30-02485.38] 我们说了中国共产党的执政地位是历史和人民的选择
[02485.38-02488.42] 人民和群众就是水和于之间的关系
[02488.42-02489.94] 脱离了水的鱼儿
[02489.94-02491.62] 它是没有办法长期存活的
[02491.62-02493.26] 所以脱离群众就是什么
[02493.26-02495.50] 脱离群众是对于正党来说
[02495.50-02497.62] 任何一个国家的正党来说就要什么
[02497.62-02499.42] 就要做最大的威胁
[02499.42-02501.26] 所以我们说了要亲民
[02501.26-02503.34] 我们要能够和群众打成一片
[02503.34-02504.50] 在党中当中也说了
[02504.50-02505.30] 中国共产党员
[02505.30-02507.66] 它就是普通勞动者当中的议员
[02507.66-02508.94] 所以不能脱离群众
[02508.94-02511.18] 一旦脱离群众就脱离了之城
[02511.30-02514.78] 所以在这里没有说了脱利群众叫什么?最大的威胁
[02514.78-02517.94] 因为我们从古代到现在灌测的思想
[02517.94-02520.26] 谁能再走一能复重
[02520.26-02522.66] 所以在这里脱利群众叫最大的威胁
[02522.66-02524.10] 那最后一个呢就要什么?
[02524.10-02524.98] 邱吉腐败
[02524.98-02526.02] 朋友在旁标主一下
[02526.02-02528.98] 邱吉腐败叫做最大威胁
[02531.22-02532.26] 考试的时候
[02532.26-02534.74] 会在最两个词上给你做文章
[02534.74-02535.62] 大家知道
[02535.62-02538.74] 说中国共产党面灵的最大威胁是邱吉腐败
[02538.74-02541.56] 不是最大危险是脫離群眾
[02541.56-02543.88] 最大的威脅才是小女傅呆
[02543.88-02545.28] 小女傅呆我們不都不說了
[02545.28-02547.76] 他能夠從內部把解一個爭黨
[02547.76-02550.82] 所以我們說了之前現任國家領導人
[02550.82-02552.06] 就經常跟我們說了有什麼
[02552.06-02553.64] 我們要徹底成就傅呆
[02553.64-02556.08] 要以壯是斷萬的絕限
[02556.08-02557.38] 瓜股了解
[02557.38-02557.64] 對吧
[02557.64-02559.20] 你看這能夠看得出來
[02559.20-02560.64] 對於這個傅呆的一個什麼
[02560.64-02562.98] 對於傅呆的問題的這樣一個重視
[02562.98-02564.34] 所以我們說了小女傅呆
[02564.34-02566.34] 他能夠從內部把解一個爭黨
[02566.34-02568.94] 粉碎蒸辣它的群重弓性力
[02568.94-02571.94] 从内部向注重一样把它注调
[02571.94-02574.38] 所以我们说了消极腐败是最大的威胁
[02574.38-02575.54] 所以我们才有了什么
[02575.54-02576.70] 才有反复来独证
[02576.70-02579.70] 这个反复来独证的效果其实是左右成效的
[02579.70-02581.06] 因为我是讲中特的
[02581.06-02582.14] 所以有很多同学
[02582.14-02583.50] 它有的时候就会觉得
[02583.50-02585.54] 老星讲中特是故意去宣揚
[02585.54-02586.54] 是故意主旋脸
[02586.54-02587.34] 其实不是的
[02587.34-02588.34] 你看一看
[02588.34-02589.86] 你看一看那些数据
[02589.86-02592.30] 你甚至在看一看今天我们能够看到的说
[02592.30-02594.34] 这个人又下马了
[02594.34-02595.14] 那个人就下马了
[02595.14-02596.94] 这个查费多少钱那个查出了钱
[02596.94-02598.54] 他真的是有在去改爱
[02598.54-02599.74] 萧林腐败这个问题
[02599.74-02601.74] 在放置任何一个世界政党的路
[02601.74-02602.94] 他其实都有的
[02602.94-02605.34] 你觉得西方他的这个问题会更小
[02605.34-02606.54] 他只会更大
[02606.54-02608.54] 所以这么多年我们能够看到的
[02608.54-02610.34] 我们去延承
[02610.34-02611.14] 反复的物质
[02611.14-02612.54] 我们去搞反复唱联这些动作
[02612.54-02614.94] 他是要老百姓看到了成效的
[02614.94-02616.34] 你比如说托品公监
[02616.34-02619.94] 有很多的这种农存多少平均的人口
[02619.94-02620.34] 对吧
[02620.34-02621.74] 他以前面臨平均问题
[02621.74-02622.94] 我们托品当中
[02622.94-02624.94] 以前没有办法出出落到使处
[02624.94-02626.10] 充滅托平出来之后
[02626.10-02627.62] 那个钱就是稻位的
[02627.62-02628.90] 以前大多说
[02628.90-02629.94] 你看像电视机叫眼神
[02629.94-02630.94] 是钱干而秘显了
[02630.94-02632.42] 现在只有问题
[02632.42-02634.06] 他其实会即使爆弱出来的
[02634.06-02635.14] 只要是被发现了
[02635.14-02636.42] 一定是延成不待的
[02636.42-02637.62] 尤其是托平公监的时候
[02637.62-02639.42] 我不知道答应有没有观测那个数据
[02639.42-02641.26] 不单单只有我们所说的什么
[02641.26-02643.82] 这种类似于领导一个极别的
[02643.82-02644.66] 比如说他看到什么
[02644.66-02645.66] 什么神为班子啊
[02645.66-02646.46] 等等
[02646.46-02646.66] 等等啊
[02646.66-02649.66] 这种人他被翻外都正拉下来了
[02649.66-02651.14] 你去看那个数据通报
[02651.14-02654.38] 因为发现很多的村委当中的人
[02654.38-02657.12] 相鎮及的干部也有很多
[02657.12-02659.86] 在反白度争当中被拉下满的
[02659.86-02661.90] 所以我们会发现我们能够看到
[02661.90-02662.90] 它其实对于这个
[02663.78-02665.02] 反复超级的一个重视
[02665.02-02667.34] 因为说了它是最大威胁从内部
[02667.34-02669.46] 消息瓦解掉一个争的
[02669.46-02670.62] 这个非常可怕
[02670.62-02671.90] 所以在这里我们说了
[02671.90-02674.22] 四大威胁的分别是这四个
[02674.22-02675.54] 那三威胁我们怎么进呢
[02675.54-02676.78] 我们标准在旁边
[02676.78-02678.46] 就叫做精力脱销
[02680.82-02682.02] 精力脱销
[02682.02-02686.50] 斯拉考驗叫正改斯拉微显角经历图消
[02686.50-02689.96] 这里面大家注意一下脱利群众和消息腐败这两个点
[02689.96-02693.74] 这个是我们所提到的叫全面存在知道
[02693.74-02698.02] 可以说某种程度上是全面存在知道它的一个背景提出
[02698.02-02701.22] 这是我们提到的为什么要全面存在知道
[02701.22-02703.64] 因为从红外上来看从本质上来看
[02703.64-02705.98] 它面临斯拉考驗和斯拉微显
[02705.98-02707.82] 全面存在知道我们应该怎么做
[02707.82-02710.74] 我们就提到了全面存知道的总要求
[02710.74-02712.54] 这个前面存质党的总要求的
[02712.54-02715.34] 我们在前面其实给大家讲到过
[02715.34-02716.94] 我们再来快速的回顾一下
[02716.94-02718.94] 好吧 那首先第一个我们说了
[02719.54-02721.14] 前面存质党的总要求
[02721.14-02722.26] 他的原则是要求
[02722.26-02724.14] 党能够全面领导
[02724.14-02726.34] 而且家墙和坚持党的全面领导
[02726.34-02728.14] 这他的原则 那我们说了
[02728.54-02730.74] 全面存质党他的方针是什么呢
[02730.74-02732.94] 我们再说了中国共产党领导一切
[02733.14-02735.74] 党正军民学东西南北中党领导一切
[02735.74-02736.94] 那谁来领导党呢
[02736.94-02738.14] 党自己的领导自己的
[02738.14-02740.34] 所以在这里说了党要管党
[02740.34-02742.34] 那自己領導自己很容易出現
[02742.34-02743.44] 燈下黑的情況
[02743.44-02744.06] 怎麼辦
[02744.06-02746.26] 全面從眼知道
[02746.26-02747.90] 所以自己對自己下黑的要很
[02747.90-02749.30] 所以在這裡就提到了
[02749.30-02752.22] 第一個他的防止要求
[02752.22-02754.22] 那第二個呢就是在這裡我們要知道
[02754.22-02755.62] 那全面從眼知道
[02755.62-02756.78] 他的一個主線
[02756.78-02758.98] 也就是在黨建過程當中
[02758.98-02760.34] 灌穿始終的
[02760.34-02762.22] 是對中共共產黨來說
[02762.22-02763.34] 什麼最重要
[02763.34-02764.50] 他是執政的
[02764.50-02766.94] 一定是執政能力最重要的
[02766.94-02768.38] 所以只要有打
[02768.38-02770.10] 就一定會存在的一個東西
[02770.10-02771.42] 这个叫做主线
[02771.42-02773.62] 像一条红线一样灌穿始终
[02773.62-02774.46] 这个就是
[02774.46-02776.50] 同时画观阶子咱们前面说过
[02776.50-02780.26] 叫坚持党的长期直正能力 对不对
[02780.26-02781.46] 一定要长期直正
[02781.46-02783.30] 如何保证自己的直正地位
[02783.30-02785.06] 你必须是先进的
[02785.06-02786.46] 必须是纯解的
[02786.46-02786.82] 对吧
[02786.82-02787.34] 所以无说了
[02787.34-02790.50] 叫做加强党的长期直正能力
[02790.50-02793.66] 先进行和纯解性为主线灌穿始终
[02793.66-02794.74] 只要它是直正党
[02794.74-02796.26] 只要共产主义没有实现
[02796.26-02797.34] 它就一直要有
[02797.34-02798.26] 这是第二个
[02798.26-02801.34] 那第三一個呢就是在整個黨建過程當中
[02801.34-02803.82] 我們以什麼位同理我們前面說了
[02803.82-02806.90] 叫也政治建設為同理
[02806.90-02808.90] 我們說了政治建設是管什麼的
[02808.90-02810.50] 管方向的嘛
[02810.50-02812.66] 所以就先多萬黨員
[02812.66-02814.10] 王德爾走朝哪看
[02814.10-02816.78] 那這個時候需要政治建設來約束他
[02816.78-02818.58] 所以他是同理管方向的
[02818.58-02820.10] 但是光有方向還不行
[02820.10-02820.82] 還有有什麼
[02820.82-02822.58] 還有間定的理想信念
[02822.58-02823.74] 所以在這裡說
[02823.74-02825.74] 叫以理想信念宗旨為什麼
[02825.74-02826.76] 每根基
[02826.76-02827.52] 也就是
[02828.30-02830.60] 要能夠從我們所說的思想上
[02830.60-02833.16] 或者說我們所說的這個基礎建設上
[02833.42-02834.44] 然後去高低它
[02834.70-02837.00] 對吧所以在這裡叫建建立想現在的總統一個年輕
[02837.26-02838.02] 就是讓
[02838.28-02839.56] 被人民服務
[02839.82-02842.38] 要實現共產主義去中國特殊社會主義建設
[02842.64-02843.66] 扎根到黨員的心理
[02843.92-02845.70] 讓它能夠從內心爭成的去
[02845.96-02848.02] 相信它這個剛剛前面也說了對吧
[02848.26-02849.80] 叫建建立想新年為總值
[02850.06-02851.34] 那後面的話就是
[02851.60-02852.36] 以什麼為主的力點
[02852.36-02854.92] 三性推动它的哪几方面介绍
[02854.92-02856.96] 我们说了这个叫5加2的什么
[02856.96-02858.76] 5加2的总部局吗
[02858.76-02861.32] 党借要从这几个方面
[02861.32-02865.16] 政治思想组织做风气率制度
[02865.16-02866.96] 以及翻摆多争的
[02866.96-02868.56] 当中对吧 这是它的布局
[02868.56-02870.36] 那这里面有一个小的细节的点
[02870.36-02871.56] 就是在这我们说了
[02871.56-02875.56] 在整个5加2的党借的布局当中要把什么关穿始终呢
[02875.56-02878.16] 注意一下 要把制度借舍关穿始终
[02878.16-02878.96] 也有说
[02878.96-02881.16] 政治借舍要不要制度作为约续
[02881.16-02883.78] 要思想建設要不要制度作為約束要
[02883.78-02887.68] 就是在這裡面提到的無論是哪一個組織作風紀律反規
[02887.68-02889.74] 他都需要制度作為約束
[02889.74-02891.46] 為什麼要制度作為約束呢
[02891.46-02893.36] 因為大家經常再去刷體
[02893.36-02895.44] 或者是刷課的時候聽到我一句話
[02895.44-02897.06] 說制度具有什麼像
[02897.06-02900.80] 具有制度它具有根本性長遠性
[02900.80-02902.76] 為什麼要制度具有根本性長遠性
[02902.76-02904.84] 落實到只面而唱的這個東西
[02904.84-02906.44] 他是穩定的
[02906.44-02907.66] 所以在這裡面說了
[02907.66-02909.52] 無論是5家爾當中的哪一個
[02909.52-02911.06] 他都需要制度来越数
[02911.06-02914.38] 所以在这里就提到了把制度建设观传始终
[02914.38-02915.42] 这个总要求呢
[02915.42-02918.48] 我们在前面请入给大家去做了一个明昕的产数
[02918.48-02921.04] 在这儿呢就不给大家做过多的最数了
[02921.04-02923.08] 最终的目标呢就是把我们
[02923.08-02924.62] 我们国家的政党
[02924.62-02927.62] 建设成为招契彭博的马斯主义
[02927.62-02928.46] 执政党
[02928.46-02930.52] 这个呢就是全面传播的
[02930.52-02934.10] 这儿呢我们就把四个全面的内容全部都给大家说完了
[02934.10-02935.64] 咱们坐体来看一看吧
[02935.64-02939.84] 所以戰略不局是為全面間小和社會的紀錄目標提供了解釋的保障
[02939.84-02945.12] 我們的總書記指出說什麼對於全面間上小和社會
[02945.12-02949.32] 如車之兩輪要質量演動力是改革
[02949.32-02951.92] 但是國有動力往前走不停還要穩定
[02951.92-02954.28] 所以一個是改革一個是法治
[02954.28-02957.00] 所以第一題應該選擇的是這個選項
[02957.00-02961.04] 好 那到這兒我們就把整個我們所提到的四個全面
[02961.04-02963.28] 說完了 咱們快速都回顧一下 好吧
[02963.28-02966.36] 那这里首先第一个是全民建设新的话国家
[02966.36-02968.00] 现在话需要改革提供动力
[02968.00-02975.44] 所以改革实验家三种全会提出来的改革总标冲点入手制度制度形成体系停留起来形成能力
[02975.44-02977.80] 那第三个就是我们给大家补充的
[02977.80-02982.48] 在整个我们所说的全民实话改革当中要处理好改革发展
[02982.48-02984.64] 以及稳定之间的关系
[02984.64-02988.68] 那其中改革是动力发展是关键稳定是要前提
[02988.68-02991.16] 但他们三个之间会存在相当的备论
[02991.16-02993.24] 所以要處理好他們之間的關系
[02993.24-02994.24] 要找到一個什麼
[02994.24-02996.52] 要找到一個結合點
[02998.08-02999.52] 要找到一個結合點
[02999.52-03000.92] 同樣就記得結合點
[03000.92-03002.04] 在誰身上
[03002.24-03003.52] 在人民身上
[03003.52-03005.04] 所以就抓人民就行了
[03005.04-03005.84] 那是蓋哥
[03005.84-03007.72] 那蓋哥是提供動力
[03007.72-03009.80] 法治要推動他的什麼穩定
[03009.80-03011.32] 所以全面一把直國
[03011.32-03013.08] 18G四龍全會提出來的
[03013.08-03015.24] 目標先介紹法治體系
[03015.24-03016.72] 再介紹法治國家
[03016.72-03018.40] 從體系和國家的建立上
[03018.40-03020.52] 哪一個更為靠錢一些
[03020.52-03022.06] 法治体系 所以我们说了
[03022.06-03025.00] 想要实现全民一法制国必须各方面有法可以
[03025.00-03028.46] 必须先有一个总的抓手作为参照
[03028.46-03031.96] 所以建设社会主义法治体系是总穿手
[03031.96-03034.72] 但是无论是现在华国家建设改革还是法治
[03034.72-03037.68] 都里面还谁的领导 中国共产党的领导
[03037.68-03040.48] 所以第一个我们要求全面存在制党的原因
[03040.48-03044.84] 斯拉考验叫做正改试外
[03044.84-03049.64] 第二个斯拉威显叫做金利托消
[03049.64-03051.44] 那其中最大的危险是什么
[03051.94-03055.28] 来自于群众的拥护所以最大的危险就是脱离群众
[03055.28-03057.58] 最大的危险从内部挖下一个政党的
[03057.84-03060.90] 这个就是小姐腐败 所以在这里有了
[03061.42-03063.22] 政党失败和经历脱消
[03063.22-03065.26] 那么说了尖中国工程的这么重要
[03065.26-03066.54] 他相当于领头一样
[03066.54-03067.56] 他相当于车头
[03067.82-03070.12] 那些时代党件必要听出新的要求
[03070.38-03071.66] 一说我们提出了主线
[03071.92-03072.94] 就是在于执政上
[03073.20-03074.22] 如何保证他的执政
[03074.48-03075.76] 先进行和纯节性
[03076.00-03078.06] 第二个中国9000多万党面
[03078.06-03078.82] 如何保证他
[03078.82-03080.60] 新老一出想就而一出事
[03080.60-03083.18] 真实要搞什么建设政治建设
[03083.18-03084.00] 所以我们才说了
[03084.00-03085.02] 在总部局当中
[03085.02-03086.86] 政治建设放在手位
[03086.86-03088.02] 我们前面讲过
[03088.02-03089.06] 那根基
[03089.06-03091.06] 理想新年总纸
[03091.06-03094.22] 所以这个就是我们所提到的四个全面
