[00000.00-00004.08] 那我們就要開啟一個新的支持某塊的學習了
[02250.68-02252.72] 北上广身的都是世界级的国家
[02252.72-02254.16] 在世界派面都靠钱的
[02254.16-02255.32] 不单单只有这些国家
[02255.32-02256.88] 我们国家还有一些小现场
[02256.88-02257.80] 比如说的老家
[02257.80-02259.84] 几天省白身是江源线
[02259.84-02261.36] 那你看像这样的一些地区
[02261.36-02262.28] 它也是有的
[02262.28-02265.80] 他們遠遠達不到發達國家的這樣的一個發展水平和要求
[02265.80-02267.52] 所以從實際角度來考量
[02267.52-02270.32] 我們不應該被現有的一些成就充分同的
[02270.32-02272.48] 有充分的認識我們國家的國際地位
[02272.48-02273.76] 叫發展中國家
[02273.76-02275.24] 而且世界上最大的
[02275.24-02275.88] 第二個
[02275.88-02277.08] 作為發展中國家
[02277.08-02281.48] 我們在世界上會享有很多的變力
[02281.48-02282.48] 同時來看
[02282.48-02284.72] 全世界發展的這類三百多個主權國家
[02284.72-02287.08] 發達國家多還發展中國家最多
[02287.08-02288.88] 只得是發展中國家最多
[02288.88-02291.36] 我們站在的是大多數人的這一邊
[02291.36-02295.08] 那这时候你想当年我们在联合国安理会的地位
[02295.08-02296.84] 我们在达留推渡中的地位
[02296.84-02298.56] 你是怎么恢复的合法系列
[02298.56-02300.80] 我们当然是和我们一起同面向
[02300.80-02301.80] 不能说同面向两
[02301.80-02305.28] 一起还处在带发展们国家的这些国家一起来的
[02305.28-02305.80] 对吧
[02305.80-02306.92] 它们给我们投票
[02306.92-02308.08] 我们带领他们
[02308.08-02308.96] 我们一起
[02308.96-02309.32] 对吧
[02309.32-02311.76] 去实现发展的这样的一个共影
[02311.76-02313.32] 所以我们其实有很多的辩令
[02313.32-02316.40] 能在国际上赢多更多的这样的一个支持和鼓励
[02316.40-02318.40] 中国当然也是一生作责的
[02318.40-02320.48] 那你不能说说好一生一起求
[02320.48-02322.16] 你被着我透毒成了发展国家
[02322.16-02323.64] 那你成了发达国家
[02323.64-02326.12] 谁带听那些弱小的发展国家发生呢
[02326.12-02326.60] 对吧
[02326.60-02328.28] 而且作为市场最大的发展国家
[02328.28-02329.68] 德天独厚的还有一个地位
[02329.68-02331.44] 就是以前发达国家开会
[02331.44-02332.52] 都不愿意找我们
[02332.52-02333.80] 人家发达国家一开会
[02333.80-02334.84] 那就是什么俄罗斯
[02334.84-02336.48] 继续这也去的那去了
[02336.48-02337.28] 然后呢
[02337.88-02338.84] 人家都没去
[02338.84-02339.72] 都不叫中国
[02339.72-02340.40] 那中国怎么样
[02340.40-02341.24] 你不叫我也来
[02341.24-02342.24] 然后我们一去
[02342.24-02344.04] 他们就门了说你们你们咱来了
[02344.04-02346.52] 我们没叫什么发展中国家
[02346.52-02348.12] 然后人家就说说是
[02348.12-02349.88] 但是我们就说了
[02349.88-02350.96] 所以对呀是没交为啊
[02350.96-02352.36] 但是我们是怎么我们怎么样
[02352.36-02354.36] 我们是世界上最大的发生国家
[02354.36-02357.84] 我们要代表广大发生国家发出我们的声音
[02357.84-02359.60] 发出最强音等等
[02359.60-02363.36] 所以你看不论是从实际情况上还从国际战略的角度来看
[02363.36-02366.16] 发展人国家无意是我们当下最好的选择
[02366.16-02369.12] 这个就是我们所提到的新时代
[02369.12-02371.36] 我们的新思想提出来的背景
[02371.36-02373.24] 既然有了这么大的一个变化
[02373.24-02376.32] 必然就要有一个新的思想来引领时代的发展
[02376.32-02378.52] 于是新思想就应原生了
[02378.52-02383.08] 好,这个就是我们所提到的第一部分内容,就是西斯想提出来的背景,
[02383.08-02400.60] 把中国特色收主进入新时代,那首先第一个西时代的地位,叫新的历史方位,第二个西时代,他要和一些概念相区分,所以在这里大家知道,他和租主义初级一段以及西发人结段不一样,同时我们在这里要能够知道,西发人结段和租主义初级结段之间的关系。
[02400.60-02404.86] 新发染节段是初级军段当中的一个节段
[02404.86-02407.64] 所以新发染节段既有自己的个性
[02407.64-02410.26] 有新发染受助力出现的共性
[02410.26-02414.74] 新发染节段意语着战复强的节段以及经济实力巡后的节段
[02414.74-02418.54] 而实在变化最维显出的标志就是社会主要矛盾的变化
[02418.54-02423.40] 所以大家知道当前社会主要矛盾美好生活需要和不平衡不成的发展这些矛盾
[02423.40-02426.56] 我给大家去拆解了它的矛盾转化的过程
[02426.56-02428.36] 你要能够理解这是第一个
[02428.36-02429.38] 第二个就是
[02429.38-02431.94] 这个主要矛盾他对借的考点就在什么
[02431.94-02437.96] 想要满足人民日日增长的美好生活需要就要实现高质量发展 对不对
[02437.96-02442.68] 实现高质量发展在攻击这一段解决发展不平不重复的问题
[02442.68-02447.16] 就要怎办就要实行攻击测解购性改革
[02447.16-02449.42] 这个没有问题 对吧所以这是主要矛盾
[02449.42-02452.92] 那世界上的事务都是绝对弄和相对性值的同业
[02452.92-02456.20] 有变就有不变变化的是主要矛盾不变的是什么
[02456.20-02458.60] 基本国情一节国际地位
[02458.60-02459.84] 所以他提到两部变
[02459.84-02461.68] 当然有的时候也会说到三部变
[02461.68-02463.16] 那三部变的话就把
[02463.16-02464.84] 受主义出一切段改成啥
[02464.84-02465.84] 历史结段就行了
[02466.84-02468.44] 所以是历史结段每变
[02468.44-02469.72] 基本国情每变
[02469.72-02470.64] 国际地位里面
[02470.64-02471.64] 你看他怎么问
[02471.64-02472.92] 咱们就怎么打就行了
[02472.92-02473.28] 好
[02473.28-02474.76] 这个就是我们所说的
[02474.76-02475.52] 有关于
[02475.52-02477.24] 第一个新时代的内容
[02477.24-02478.28] 我们讲完了新时代
[02478.28-02479.32] 咱们来看一下吧
[02479.32-02481.44] 说国家领导人指出
[02481.44-02482.40] 说满族人民日子
[02482.40-02484.44] 两个美好生物需要的主要因素
[02484.44-02485.72] 当今社会主要矛盾
[02485.72-02490.28] 人民日日增长美好生活需要和不平衡不重复发展之间的矛盾版
[02490.28-02491.16] 哪一个
[02491.16-02493.76] 第二,所以第一体选择2B
[02493.76-02496.56] 好,这个就是我们所提到的新时代
