[00000.00-00004.90] 我们接着来看第三节的内容就是生物一学之事
[02352.74-02353.86] 死掉了之后
[02353.86-02355.90] 最后它就倒在大森林当中
[02355.90-02357.66] 最后就我们所说的这种
[02357.66-02359.02] 西军给它分节掉
[02359.02-02360.34] 然后分节掉了之后
[02360.34-02362.34] 身體的一部分東西又回歸了自然
[02362.34-02364.90] 又循環開始不斷地去進行
[02364.90-02367.22] 吸輪的生態循環當中去
[02367.22-02367.54] 對吧
[02367.54-02370.10] 這裡面並不可少的交友分解著
[02370.10-02371.10] 對於這個點
[02371.10-02373.54] 同一們指消大蓋的掌握一下就行了
[02373.54-02374.58] 它在考試當中
[02374.58-02376.90] 相對來說考的頻率會低一點
[02376.90-02378.18] 指消知道有環境
[02378.18-02380.58] 生產者消費者和分解者就行了
[02380.58-02383.54] 這是我們所說的生態系統組成
[02383.54-02384.74] 第三個系列點
[02384.74-02385.94] 第四個系列點
[02385.94-02387.06] 就是生態系統
[02387.06-02388.74] 它有自己的結構
[02388.74-02392.14] 他的结构包括空间结构形态结构和營样结构
[02392.14-02394.10] 这个營样结构就是我们所说的
[02394.10-02394.74] 15料
[02394.74-02395.78] 大家就知道
[02395.78-02396.66] 这个15料
[02396.66-02397.82] 你能够判断出来
[02397.82-02398.62] 谁在顶断
[02398.62-02399.78] 谁在底端就行了
[02399.78-02401.82] 就是被吃的那个永远是在
[02401.82-02402.38] 底端的
[02402.38-02403.06] 比如说
[02403.06-02404.22] 唐狼補材
[02404.22-02405.46] 黄确在后
[02405.46-02406.62] 那唐狼補材
[02406.62-02408.38] 黄确在后体现的就是什么
[02408.38-02409.74] 就是15料
[02409.74-02410.06] 对吧
[02410.06-02411.14] 这里面15料
[02411.14-02412.30] 就是我们所说的
[02412.30-02413.30] 唐狼
[02413.30-02414.14] 黄确
[02414.14-02414.66] 对吧
[02414.66-02417.18] 还有产他们之间关系
[02417.18-02419.32] 这个其实就是一个简单的数量
[02419.32-02422.36] 这个其实比较简单而且靠性的比较弱
[02422.36-02423.70] 所以我们了解一下就行了
[02423.70-02426.58] 这个结构不做最书 这第二个
[02426.58-02427.78] 那第三个呢
[02427.78-02430.62] 就是在这里面我们会强调生态系统
[02430.62-02431.72] 它的一个功能
[02431.72-02433.66] 生态系统的功能就是第一个
[02433.66-02435.38] 它会促进能量的流动
[02435.38-02437.58] 它这个能量流动呢就是我们所说的
[02437.58-02439.82] 它是否是能通过植物吸收
[02439.82-02441.70] 那这时候就有了律色植物
[02441.70-02442.72] 它们就生成者
[02442.72-02445.68] 然后最后这个律色植物就被动物吃掉了
[02445.68-02447.68] 被動物吃掉了之後動物就是消費者
[02447.68-02449.40] 然後最後都無老死了
[02449.40-02450.64] 然後在這個重量當中
[02450.64-02451.76] 都死掉之後
[02451.76-02452.72] 我們就會發現
[02452.72-02453.84] 他最終被分解
[02453.84-02454.64] 他身體的動物
[02454.64-02457.16] 就成為養料去資養我們所說的什麼
[02457.16-02459.16] 去資養、歷色植物同時
[02459.16-02461.68] 他被分解了一個分出二花探
[02461.68-02464.00] 二花探通過光合作有用進入到植物
[02464.00-02465.52] 只會又給取吃掉
[02465.52-02467.12] 這樣一個過程就叫做什麼
[02467.12-02469.60] 就要做能量流動的這樣一個過程
[02469.60-02470.76] 所以在這裡他說了
[02470.76-02471.80] 說能量流動
[02471.80-02473.96] 使於歷色植物的光合作用
[02473.96-02477.16] 因为我们说了我们所的生物生命的运行
[02477.16-02479.84] 他们能量都是来自于太阳服的
[02481.06-02481.76] 所以大家注意一下
[02481.76-02482.96] 这是能量流动
[02482.96-02484.36] 这是他的第一个功能
[02484.68-02486.96] 他的第二个功能就是物质循环
[02486.96-02487.96] 就是刚才我说的
[02487.96-02490.76] 他从最开始生产出来被吃掉
[02490.76-02491.56] 然后被分解
[02491.56-02493.76] 然后再回到新的新的新的有弄出去
[02493.76-02495.56] 这个就叫做物质循环
[02495.56-02496.76] 也就是他所提到的
[02496.76-02499.56] 生物与环境之间无限反复利用的过程
[02499.76-02501.16] 叫做物质循环
[02501.16-02502.96] 物质循环同时标助一下
[02502.96-02504.96] 这是第四个点,叫我们去掌握的
[02504.96-02507.56] 误着循环,包括水寻环
[02507.56-02509.76] 淡寻环和淡寻环
[02509.76-02512.72] 这是误着循环最主要的形式
[02512.72-02513.96] 它是如何循环呢?
[02513.96-02515.76] 我们先来看一下水寻环
[02515.76-02518.52] 水寻环,它就是照的一个过程
[02518.52-02520.36] 比如说现在我们看到
[02521.16-02522.44] 首先,海水
[02522.44-02524.84] 海水蒸发,然后海水形成什么呢?
[02524.84-02526.00] 海水形成
[02526.00-02529.00] 云蒸发,这种水蒸去上升,就会形成云
[02529.00-02531.72] 当水气达到一定程度的中,你看
[02531.72-02533.52] 还水中发上升形成云
[02533.52-02536.64] 然后云激累多了之后就会形成降水
[02536.64-02538.96] 降水之后这个水又进入到什么呢
[02538.96-02540.84] 又进入到地下河当中
[02540.84-02544.12] 然后地下河水进入到地下河湖和海洋当中
[02544.12-02545.92] 地下水下升又进入海洋
[02545.92-02548.32] 还要再次通过阳光光照
[02548.32-02550.20] 争发形成云云呢
[02550.20-02553.72] 积于然后下雨然后再进入到地下水
[02553.72-02556.20] 地下岸河然后进入到湖和海洋当中
[02556.20-02557.52] 然后再新了整法
[02557.52-02559.40] 你看这样的话就形成了一个什么
[02559.40-02560.72] 就形成了一个闭缓
[02560.72-02563.88] 那这样的一个闭环就是我们所说的水薪环
[02563.88-02566.64] 所以水气就是如此薪环复不断的
[02566.64-02568.36] 所以大家注意一下 这是水薪环
[02568.36-02571.16] 所以现在的大家对于我们所说的日本
[02571.16-02574.08] 它的核物水排海的这个事件
[02574.08-02577.04] 一直都是采取我们所说的抗疫的态度
[02577.04-02578.92] 是有必要的 原因就在这
[02578.92-02582.00] 因为它如果仅议说排入到海洋当中
[02582.00-02583.04] 这种情况之下
[02583.04-02586.40] 它不减会引起我们所说的这种海洋的这种
[02586.40-02589.92] 华尼射物当中对它长游想或者引发的变异
[02589.92-02591.52] 它还有一个非常做的一个问题
[02591.52-02592.68] 是什么 就是海洋水
[02592.68-02594.72] 它是参与到水熊华当中
[02594.72-02595.92] 在这个过程当中
[02595.92-02598.12] 我们会发现生态是一体的
[02598.12-02601.12] 这个情况就没有办法能够
[02601.12-02603.12] 我们所说的独善其身了
[02603.12-02604.52] 所以在这里面大家注意下
[02604.52-02606.72] 这是第一个我们所说的水熊华
[02606.72-02608.12] 同时没有对于这个水熊华
[02608.12-02609.92] 大概有一个概念
[02609.92-02611.92] 这是第一个讯划的水熊华
[02611.92-02613.92] 那第二个我们说了就叫做沙呢
[02613.92-02616.52] 第二个就是我们所说的这个探训划
[02616.52-02618.72] 探训划的就是排出案画探
[02618.72-02621.12] 然后二花坦被吸收再制造人化它的过程
[02621.12-02623.12] 这个就叫做探训会
[02623.12-02624.36] 那么来看一下探训会
[02624.36-02626.08] 他是怎么搞出来的呢
[02626.08-02627.72] 首先第一个我们都知道
[02627.72-02629.92] 通过光河作用形成了什么
[02629.92-02633.12] 通过光河作用形成了养气对不对
[02633.12-02636.80] 那养气就会被我们所说的这个动物呼吸
[02636.80-02638.32] 在这形成养气
[02638.32-02640.96] 形成养气之后养气被动物吸掉了
[02640.96-02641.92] 就是在这里
[02641.92-02644.12] 或者说是在这国程中律色直露
[02644.12-02645.44] 被动物吸出掉了
[02645.44-02646.08] 都可以
[02646.08-02648.90] 那这里面无论是哪一个我们会发现
[02648.90-02651.34] 动物和植物都会有什么都会有呼吸作用
[02651.34-02653.76] 那他们呼吸就会排除二人花弹
[02653.76-02656.58] 那二人花弹再一次被我们所说的什么
[02656.58-02658.78] 再一次被我们所说的利涉植物吸收
[02658.78-02660.88] 然后一轮这是我们所说的
[02660.88-02662.48] 这一个循环体系对吧
[02662.48-02665.28] 那如果这个循环体系在往外跪跪跪变得大一点呢
[02665.28-02666.30] 就会变成什么呢
[02666.30-02667.58] 就会变成我们首先
[02668.30-02670.14] 第一个我们都知道来看一下
[02670.40-02672.92] 场方汽车对吧比如说场
[02672.92-02674.64] 他燃燒沒燙進行生產
[02674.64-02675.32] 汽車呢
[02675.32-02676.52] 他燃燒氣油
[02676.52-02677.36] 幾乘發動
[02677.36-02678.72] 那他們在去燃燒的時候
[02678.72-02680.16] 都會產生大量的什麼
[02680.16-02681.44] 都會產生大量的
[02681.44-02682.76] 二人花燙對不對
[02682.76-02684.68] 那這二人花燙也會被誰說
[02684.68-02686.32] 也會被綠色植物吸收
[02686.32-02687.64] 然後在這個過程當中
[02687.64-02688.80] 形成新的東西
[02688.80-02690.52] 然後再不斷地去學會
[02690.52-02691.68] 你甚至包括我們所說
[02691.68-02693.40] 這個動物在這也是一樣的
[02693.40-02694.28] 比如說動物呢
[02694.28-02695.60] 他現在我們所說的
[02695.60-02697.32] 他呼吸需要養氣
[02697.32-02698.60] 然後排鑽花燙
[02698.60-02700.36] 動物吃了綠色植物
[02700.36-02702.52] 那這個時候動物就不斷地成長
[02702.52-02703.80] 最後動物老死了
[02703.80-02707.44] 老死了之後動物的一體和排出物的時候就會被分解
[02707.44-02709.06] 被分解被收分解之後
[02709.06-02710.84] 微收分解的結果產生
[02710.84-02711.64] 二話探
[02711.64-02714.28] 大器當中有二話探進一步再被什麼
[02714.28-02716.60] 再被我們所說的綠色植物吸收
[02716.60-02717.36] 循環不斷
[02717.36-02720.04] 你看這時候探不斷循環成氧氣
[02720.04-02721.72] 氧氣不斷循環成探
[02721.72-02723.64] 那這個就是我們所說的什麼循環
[02723.64-02724.52] 探循環
[02724.52-02727.60] 那在這裡面如果探循環不被打破
[02727.60-02729.88] 或者說探循環處在一個平衡的狀態
[02729.88-02730.84] 就要求什麼
[02730.84-02733.92] 就要求必须有充足的職貝
[02735.64-02736.80] 在這個過程當中
[02736.80-02738.68] 就必须有充足的職貝
[02738.68-02740.28] 如果沒有充足的職貝的話
[02740.28-02741.72] 也說在這個過程當中
[02741.72-02743.20] 產生的二話看得亮
[02743.20-02745.00] 遠遠大雨呼吸作用
[02745.00-02747.00] 遠遠大雨我們所說的光合作的話
[02747.00-02748.52] 那這個時候就會形成什麼
[02748.52-02749.52] 溫視效應
[02754.44-02756.68] 這個時候就會形成溫視效應
[02756.68-02757.44] 大家注意一下
[02757.44-02758.48] 這是判寻緩
[02758.48-02759.28] 所以我們說了
[02759.28-02760.56] 那緩解溫視效應
[02760.56-02761.72] 介紹人花看的排放
[02761.72-02765.04] 最主要其實就是要有充足的綠色職貝
[02765.04-02765.52] 好
[02765.52-02768.40] 這是我們所說的叫做探取款
[02768.40-02770.00] 除了探取完之外還有
[02770.00-02770.92] 探取款
[02770.92-02772.80] 這個探取款主持在這裡面
[02772.80-02774.00] 它所給到的
[02774.00-02775.56] 我們所看到的
[02775.56-02777.48] 在大器當中形成淡器
[02777.48-02779.36] 然後淡器就會被固定下來
[02779.36-02780.28] 大助一下
[02780.52-02782.68] 在大器當中有很多的淡器
[02782.68-02784.84] 因為空器當中最主要的成分
[02784.84-02785.56] 就是什麼
[02785.56-02786.48] 就是淡器
[02786.48-02787.64] 空器當中的淡器
[02787.64-02788.56] 會被固定下來
[02788.56-02789.76] 怎麼固定下來呢
[02789.76-02793.84] 第一個就是通過雷邊的作用形成我們所說的這種孫根
[02793.84-02798.56] 另外一種就是我們所說的把空氣當中的這種蛋氣利用起來形成什麼
[02798.56-02803.92] 蛋素的化妃蛋靈甲是我們所說的化妃當中的三大基本元素
[02803.92-02810.40] 然後把這個化妃給到誰給到綠色植物或者是我們所說的這種植備
[02810.40-02815.80] 然後給到他們之後在這種情況之下再不斷的循環到下輪當中去
[02815.80-02817.94] 这里面就是我们所说的
[02817.94-02818.98] 但循环
[02818.98-02820.72] 但这个蛋循环还有一种情况
[02820.72-02822.16] 就是我们经常看到的说
[02822.16-02822.88] 大豆
[02822.88-02825.16] 大豆它有跟柳菌跟柳菌的
[02825.16-02826.00] 它也能够什么
[02826.00-02826.52] 骨蛋
[02826.52-02827.28] 然后骨
[02827.28-02829.12] 就是把蛋固定的
[02829.12-02830.16] 我们所说的
[02830.16-02831.52] 它的自身
[02831.52-02832.52] 然后骨蛋性
[02832.52-02833.72] 就是跟柳菌
[02833.72-02835.12] 骨蛋形成之后
[02835.12-02837.52] 接下来它也可能会被分解
[02837.52-02838.88] 然后再形成新的气体
[02838.88-02840.16] 然后形成新的蛋气
[02840.16-02841.36] 然后再到空气到中
[02841.36-02842.44] 然后再被捕捉
[02842.44-02843.84] 就是一流流的形状下来的
[02843.84-02845.76] 这种就是我们所说的叫做
[02845.76-02849.58] 但循環
[02853.08-02857.84] 所以同学们大概对于这三种循環有一种了解就行了
[02857.84-02861.38] 我希望有建议同学们在那个水循環表检单了对吧
[02861.38-02863.56] 在这个探循環和蛋循環当中
[02863.56-02865.60] 同学们最起码在探循環这一块之道
[02865.60-02867.32] 第一个它有充足的指贝
[02867.32-02869.50] 第二个就是如果只为不充足的话
[02869.50-02872.12] 可能在这个循環当中就出现不便宜好的情况
[02872.12-02873.24] 可能产生温是效应
[02873.24-02875.24] 而淡型环的话跳两种情况
[02875.24-02876.64] 一种就是你看
[02876.64-02878.72] 小和所说的这种通过
[02878.72-02880.48] 我们所说的雷电形成
[02880.48-02881.64] 酸跟还有一种呢
[02881.64-02883.68] 就是把这个淡期变成画费呀
[02883.68-02885.76] 那真的有两种固弹的情况
[02885.76-02887.88] 大家注意一下这个点就可以了
[02887.88-02889.76] 所以这是我们所说的有关于
[02889.76-02890.56] 生态系统啊
[02890.56-02892.32] 它的一个循环问题啊
[02892.32-02892.88] 循环
[02892.88-02894.76] 好 那这是第一次个
[02894.76-02896.04] 那么讲到第四点
[02896.04-02897.08] 其实就能够看到
[02897.08-02898.88] 其实整个生态系统
[02898.88-02901.68] 它对于不能说它对于啊
[02901.68-02904.24] 就是他在被创造和设计的时候
[02904.24-02905.64] 就是他的这个形成
[02905.64-02906.80] 就是非常微妙的
[02906.80-02908.56] 就是他能够让这种能量
[02908.56-02909.60] 不断的理由动
[02909.60-02911.32] 然后原原不断的循环王
[02911.32-02911.92] 服循环王服务
[02911.92-02912.40] 网父
[02912.40-02913.60] 说非常神奇
[02913.60-02914.40] 所以我们经常说
[02914.40-02916.00] 人与自然是一体的
[02916.00-02917.92] 人必然能够从自然当中
[02917.92-02919.04] 学到很多的东西
[02919.04-02921.08] 那既然是人要尊重自然
[02921.08-02922.48] 利用自然和保护自然
[02922.48-02923.32] 那我们就来看一下
[02923.32-02924.64] 在利用自然当中
[02924.64-02926.52] 他有一个非常典型的案例
[02926.52-02928.24] 就是绊生技术
[02928.24-02929.44] 在访人技术当中
[02929.44-02930.88] 咱们来看一下这么几个典
[02930.88-02932.52] 首先第一個同你們注意
[02932.52-02934.72] 防生技術在這裡之口的中什麼呢
[02934.72-02937.02] 防生技術在這裡考察的中時
[02937.02-02937.62] 對應
[02937.62-02940.08] 我們來看一下在這個對應當中首先第一個
[02940.08-02942.12] 他說了給到了叫做操應
[02942.12-02943.76] 通常操應用來幹嘛呢
[02943.76-02944.34] 操應
[02944.34-02944.94] 快一下
[02944.94-02947.58] 我們最為常見的就是永遠透進
[02947.58-02949.04] 我們來看一下這個操應
[02949.04-02951.10] 操應大家一場生活當中不要常見
[02951.10-02953.40] 我想大家應該不太跟不是很喜歡它
[02953.40-02953.92] 對吧
[02953.92-02956.40] 但是操應它有很多個富眼
[02956.40-02957.24] 大家能夠看到
[02957.24-02959.40] 這是這個操應骨出來這個眼睛
[02959.40-02959.84] 對吧
[02959.84-02960.82] 什么叫个富眼呢
[02960.82-02962.24] 就是在他的眼影上
[02962.24-02966.16] 他其实是包含四千个可独立成像的单眼
[02966.16-02967.80] 就是他这个大大的眼珠子
[02967.80-02970.24] 其实上面是一个一个用一个的小的富眼
[02970.24-02971.36] 那有多少个呢
[02971.36-02972.08] 四千多个
[02972.08-02973.32] 你想想想想想想想想想
[02973.32-02974.72] 那个小小的倉呀
[02974.72-02976.28] 他那个富眼就可以
[02976.28-02977.60] 我们所说的有四个
[02977.60-02979.40] 四千多个成像的单眼
[02979.40-02981.56] 只非常的精微吧
[02981.56-02982.24] 所以你看
[02982.24-02985.48] 他如果是有四千多可独立成像的单眼的话
[02985.48-02986.52] 他说白了
[02986.52-02988.20] 他的这个眼影长长这样
[02988.20-02990.00] 他其實看東西是沒有死掉的
[02990.24-02991.90] 就是360度無死掉
[02992.04-02993.78] 大家小的時候有什麼打過湊岸
[02993.78-02995.04] 當然湊岸南南
[02995.36-02996.40] 湊岸太南打了
[02996.40-02997.10] 對完據
[02997.20-02998.64] 這是還沒有我們所說的
[02998.76-03000.74] 以前的時候什麼沾湊的子
[03000.74-03003.82] 現在什麼店文拍或者是我們所說的什麼
[03004.08-03005.04] 什麼業體
[03005.04-03007.40] 就是這種區湊的這個話題要我沒出來之前
[03007.52-03009.96] 以前的時候的打湊岸不足靠湊岸
[03010.22-03012.12] 湊湊大湊岸不靠大
[03012.24-03014.90] 你舉到那個趴尾腳它是沒有時候它就睡走了
[03015.00-03017.00] 你以為是聲音給它下入走的
[03017.00-03019.84] 其实不是因为它事务没有死掉
[03019.84-03021.84] 所以我们都知道这个倉用这个眼镜
[03022.68-03024.20] 360度没有死掉
[03024.20-03026.00] 所以根据这种我们所说的
[03026.00-03028.20] 它的眼镜这个成像的这个机里
[03028.20-03030.80] 我们就搞出来了叫做營严透进了
[03030.80-03032.92] 这營严透进了其实就是我们所说的
[03032.92-03035.24] 现在能看到这种照顾机
[03035.24-03038.48] 但像我们所说的这种照顾机最开始的说明的那种
[03038.48-03040.44] 那种咖啡伤的那种
[03040.44-03043.08] 像我们所说的这种照顾机最开始的时候
[03043.08-03045.80] 它有139块小的透进
[03045.80-03048.78] 那139块小的透径的话呢就意味着
[03048.78-03049.78] 你按那一下
[03049.78-03053.98] 它一次可以拍139张分辨率照片
[03053.98-03056.28] 那你就意味着它的补作素都是非常快
[03056.28-03057.78] 这个是从那来的呢
[03057.78-03059.46] 就是从我们所说的这个
[03059.46-03061.56] 營艾来的 这从藏来的
[03061.56-03063.32] 所以大家注意一下这是第一个
[03063.32-03065.64] 那第二个呢就是我们所说的水母
[03065.64-03066.70] 水母很好看
[03066.70-03067.02] 对吧
[03067.02-03070.08] 大概看了今年那个电影消失的它
[03070.08-03072.90] 那个消失的它里面是说就有很多那种漂亮的水母
[03072.90-03073.22] 对吧
[03073.22-03076.22] 就是它以为它喜欢的是反高的新空
[03076.22-03078.70] 但是最终看到的其实是杀人的水母
[03078.70-03080.82] 但是在节目的时候看到那个点 对吧
[03080.82-03082.70] 所以大家都知道水母非常好看
[03082.70-03084.58] 那根据水母能够做什么呢
[03084.58-03086.10] 大家注意一下把这个话出来
[03086.10-03089.54] 根据水母能做水母尔封暴预测译
[03089.54-03091.94] 什么叫水母尔封暴预测译呢
[03092.58-03093.58] 这个东西
[03093.58-03096.42] 它主要是测海伤封暴的
[03096.42-03099.10] 这是它测的这个提前的时间
[03099.10-03100.82] 它能够提前15小时
[03100.82-03103.12] 只是海上风暴其实不太好预测
[03103.12-03105.02] 但是水母它有自己的耳朵
[03105.02-03106.70] 我们就说是水母耳
[03106.96-03107.86] 这个水母耳呢
[03107.86-03108.64] 大家注意一下
[03108.86-03111.06] 它的这个耳上有很多細频的小球
[03111.06-03112.54] 就是我给大家展示的这个
[03112.54-03113.66] 你看到它这个水母
[03113.66-03115.74] 它分出性的个转的上收有一个
[03115.74-03117.04] 一个用一个亮的东西
[03117.28-03118.48] 这个一个用一个亮的东西
[03118.48-03120.54] 被称这位叫做听时
[03120.54-03122.46] 它其实是神经感受器
[03122.46-03123.80] 它能够感受到什么呢
[03123.80-03126.04] 能够感受到海洋的次生波
[03126.04-03128.24] 但是次生波人都能听到
[03128.24-03129.36] 人是听不到的
[03129.36-03130.52] 咱们前面给大家说过
[03130.52-03133.26] 我说了小鱼多少多少赫资的人是听不到的
[03133.26-03136.62] 所以他这个东西是能够感受到这种刺生波的
[03136.62-03138.62] 那他感受到刺生波之后呢
[03138.62-03141.32] 他能能提前预知到阿确风报要来了
[03141.32-03144.62] 所以就根据他的这个二多
[03144.62-03147.52] 我们就搞出来这个叫做水墨尔风报预测一
[03147.52-03149.32] 可提前是我小时预测风报
[03149.32-03151.42] 极大的就是渐少了我们所说的
[03151.42-03153.42] 远行当中的这种伤亡
[03153.42-03154.62] 那这时候我们所说的
[03154.62-03156.42] 第二个是水墨
[03156.42-03157.42] 那第三一个呢
[03157.42-03159.02] 就是我们所说的鱼
[03159.02-03161.66] 根据语能做什么的做前水铁
[03161.66-03163.14] 这个语身上有一个东西
[03163.14-03164.26] 就叫做语标
[03164.26-03166.14] 语标就是这个东西
[03166.14-03166.78] 你看一下
[03166.78-03167.98] 这个东西
[03167.98-03170.74] 它其实是像一个吹吹的一个东西一样的
[03170.74-03171.94] 这个语标
[03171.94-03173.66] 它的作用就是这个小语
[03173.66-03175.38] 它如果小服出水面的话
[03175.38-03177.38] 它这个语标就会账弹
[03177.38-03180.10] 这大家不知道自己在家有没有做过语
[03180.10-03181.74] 有如果就同学做语的话
[03181.74-03182.58] 就知道语标
[03182.58-03185.94] 它只是一个白色的像能一样的东西
[03185.94-03186.46] 对吧
[03186.46-03187.74] 然后像个呆子是的
[03187.74-03189.28] 然后它如果想要上腐的话
[03189.28-03191.22] 它这个鱼标就骨原了
[03191.22-03192.86] 然后它肚子就脏大了
[03192.86-03194.30] 然后它就上来了
[03194.30-03195.58] 它就腐倒水面上来了
[03195.58-03197.98] 但是如果说它把这个鱼标里面的气
[03197.98-03199.02] 排出去之后
[03199.02-03201.34] 那这个鱼就会撑到水底上去
[03201.34-03203.38] 那这种情况之下就根据这个鱼标
[03203.38-03205.98] 它的排水和吸水的这个情况
[03205.98-03209.58] 这个排水和排水就排水就排气的这样的一个情况
[03209.58-03210.62] 我们就可以干嘛呢
[03210.62-03212.38] 我就可以延知前睡挺
[03212.38-03214.38] 前睡挺它有自己的水汤
[03214.38-03216.26] 它这个水汤就是我们所说的
[03216.26-03219.98] 它的一个上显和下服的这样一个东西
[03219.98-03222.78] 这个前随体有如果这个水倘属里装满水的话
[03222.78-03225.22] 我们就知道水倘当中如果装满水
[03225.22-03227.10] 那这种情况这样才会成下去
[03227.10-03229.50] 如果把水倘里面的水排出去
[03229.50-03231.58] 那水倘里就是啥 水倘里就是气
[03231.58-03233.88] 是不是就像魚鱗一樣骨大了
[03233.88-03235.22] 前十天就能怎麼樣
[03235.22-03236.42] 就能夠輔出來
[03236.42-03237.94] 所以在這裡面我們都知道
[03237.94-03239.40] 根據魚的魚鱗
[03240.40-03242.22] 我們就可以延遲出前十天
[03242.22-03243.58] 前十天咱們講過
[03243.58-03245.34] 它是根據阿極米德的
[03245.34-03246.94] 哪個物理學員你告訴來的
[03246.94-03250.14] 根據阿極米德的福利定率來的
[03250.14-03252.70] 前十天的上前和下城
[03252.70-03253.74] 是改變了什麼
[03253.74-03255.66] 是改變自身重力
[03255.66-03257.18] 時間的上前和下幅
[03257.18-03258.78] 所以咱們前面有給講過
[03258.78-03260.66] 前十天是改變自身重力
[03260.66-03263.48] 实现的上前
[03263.48-03265.78] 实现的下渏和上府
[03265.78-03267.98] 这个大家注意下这第三个前提
[03267.98-03269.62] 第4个就是
[03269.62-03272.44] 动物的零甲就是5.3的网络
[03272.44-03274.22] 动物的零甲就是1.2pp
[03274.22-03275.76] 就是我们看到是这种样子
[03275.76-03277.82] 对吧
[03277.82-03279.30] 咱们在
[03279.30-03280.38] 蓋房子的时候
[03280.38-03285.56] 尤其是做平坦或者是像我们看到的自己在家蓋的那种二层小楼
[03285.56-03287.54] 它是个都都有房顶
[03287.54-03289.46] 房顶它那个把片
[03289.46-03290.18] 他怎么出该的
[03290.18-03293.46] 他跟网片该的是不是也和我们所说的那个铃一样啊
[03293.46-03294.22] 他是这种
[03294.22-03295.98] 他是马浪是这样该的 对吧
[03295.98-03297.82] 所以他是根据这个铃鸡
[03297.82-03299.30] 所以研他出来的
[03299.30-03300.74] 所以大家注意下这是第四的
[03300.74-03301.30] 第四的呢
[03301.30-03303.22] 我们不要常见了了解一下就行了
[03303.22-03303.78] 第五个呢
[03303.78-03305.82] 大家注意下这个鱼的企业
[03305.82-03307.50] 就能够用做传讲啊
[03307.50-03308.70] 这个企业是啥呢
[03308.70-03309.22] 鱼呢
[03309.22-03310.18] 他在滑行的时候
[03310.18-03311.30] 会在水中有行的时候
[03311.30-03312.66] 他主要用的是啊
[03312.66-03314.38] 我们所说的父企
[03314.38-03315.90] 还有我们所说的这个
[03315.90-03317.70] 胸企就是这两个地方
[03317.70-03319.24] 如果大家看的这个动途
[03319.24-03320.78] 你看这个鱼它在油的时候
[03320.78-03322.82] 它前面下有两个小手
[03322.82-03324.02] 整个不挺的滑
[03324.02-03325.14] 破通破通的
[03325.14-03326.66] 那它像两个小手一样
[03326.66-03327.18] 不挺的滑
[03327.18-03328.46] 破通破通的这个东西
[03328.46-03329.48] 就是它的起
[03329.48-03330.76] 我防照它的起
[03330.76-03331.78] 做出了什么呢
[03331.78-03332.80] 做出了传讲
[03332.80-03334.78] 同时记得你看一下这个小手
[03334.78-03336.70] 在的破通的那个样子是往后滑水
[03336.70-03338.68] 那你看传讲滑水是怎么滑的
[03338.68-03340.58] 传讲滑水是个也是这么滑的
[03340.58-03342.28] 所以就根据这个鱼起
[03342.28-03343.72] 造出了相当的什么
[03343.72-03344.46] 传讲
[03344.46-03346.12] 这是我们所说的这个
[03346.12-03348.00] 第五个
[03348.00-03348.80] 第六个的话
[03348.80-03349.32] 不要常见
[03349.32-03349.92] 不多说了
[03349.92-03351.60] 就是根据那种拒持形状的
[03351.60-03352.32] 拒持草
[03352.32-03353.44] 搞出来了拒子
[03353.44-03354.68] 那第七一个大家注意一下
[03354.68-03355.40] 杀鱼
[03355.40-03358.64] 杀鱼可以用牌来做杀鱼用一
[03358.64-03359.64] 并不是所有的用一
[03359.64-03360.84] 都是防抓杀鱼来的
[03360.84-03363.20] 紧紧指的是杀鱼用一
[03363.20-03364.08] 杀鱼用一的话
[03364.08-03365.28] 其实就是我们所说的
[03365.28-03365.84] 你看杀鱼
[03365.84-03367.20] 它吃饭有那么东西
[03367.20-03369.08] 这是大家能看到这个地方
[03369.08-03369.84] 杀鱼这个地方
[03369.84-03370.68] 它是不是有一个像
[03370.68-03372.24] 微子型微子型的
[03372.24-03373.68] 这种开口的这个东西
[03373.68-03374.48] 大家注意一下
[03374.48-03376.08] 这个被称着于它的什么呢
[03376.08-03378.28] 这个杀语它的那个
[03378.28-03380.28] 我想一下叫做杀蓝
[03380.28-03382.28] 叫做什么企业还是叫什么的
[03382.28-03383.28] 就是它的这个
[03383.28-03385.28] 它这个灭子行为子行为的这个东西
[03385.28-03386.28] 它有什么用呢
[03386.28-03388.48] 就是在水底下
[03388.48-03391.68] 它有的时候这个水的这个流速会非常的高
[03391.68-03394.08] 但是如果说这个杀语它纯表面的
[03394.08-03395.68] 这种光滑的物体的话
[03395.68-03397.88] 它这个在水流流速比较大的时候
[03397.88-03400.68] 对于杀语来说它自身的受力是不均以的
[03400.68-03402.28] 而且油的组历特别大
[03402.28-03404.88] 但如果身上有这种像灭子行为中
[03404.88-03407.44] 形状的这种东西就可以减少阻礼
[03407.44-03408.56] 那欢迎话来说呢
[03408.56-03411.52] 就是可以根据杀予他身上这个微子形
[03411.52-03414.08] 这种设计减少有用的阻礼
[03414.08-03416.64] 那这种情况之下就会形成杀予用意
[03416.64-03417.60] 这杀予用意呢
[03417.60-03421.36] 最开始的时候是在我们所说的国际用比费当中
[03421.36-03423.60] 当年有一个拿冠军的这个运动员
[03423.60-03424.60] 穿的时候杀予一
[03424.60-03426.24] 他身上就有那种结构
