[00000.00-00006.68] 那么今日让我下看,那么说了南北朝之后我们说南北朝并历随堂武改传对吧
[02542.56-02544.40] 而我们所说的杜府的
[02544.40-02546.04] 他的一个施的风格
[02546.04-02548.64] 大家知道他的施的杜为写实
[02548.64-02550.16] 所以在杜府施当中
[02550.16-02551.88] 杜府施的风格在这个地方
[02551.88-02552.88] 同样标注一下
[02552.88-02556.00] 他的施够风格是成狱顿错的
[02556.00-02558.00] 那他施够风格是成狱顿错的
[02558.00-02560.00] 这和李白形成了先名的对比
[02560.00-02561.36] 这就电定了李白
[02561.36-02563.64] 他是浪漫主义施人的代表人物
[02563.64-02565.44] 而我们所说的杜府
[02565.44-02566.76] 他是我们所说的什么
[02566.76-02568.00] 他是我们所说的
[02568.00-02569.80] 现实主义是个代表人物
[02569.80-02571.60] 李白适歌的风格
[02571.60-02572.60] 大注意下
[02572.60-02575.16] 李白适歌的风格相对来说是比较什么
[02575.16-02576.40] 浪漫飘异的
[02576.40-02578.40] 所以对于李白适是有一句话
[02578.40-02579.16] 叫做
[02579.16-02580.60] 比落金风雨
[02581.80-02584.20] 叫做比落金风雨
[02586.20-02588.40] 后面失成七鬼胜
[02593.60-02595.80] 比落金风雨失成七鬼胜
[02595.80-02597.84] 这个就是我们所说的有关于
[02597.84-02598.62] 立法呀
[02598.62-02601.60] 它的一个失坐当状所承限出来的这样一个点
[02601.60-02604.28] 你看它其实是更多体现的实验中
[02604.28-02607.52] 胜糖时期的红大红尾浪漫
[02607.52-02609.72] 而因为肚腐它是精力关系之乱的
[02609.72-02612.96] 所以它写的这种实动能看到百姓之间的这样一个极固
[02612.96-02613.76] 所以我们说了
[02613.76-02615.52] 在于肚腐这个失刻当状
[02615.52-02617.76] 主要表现的是成月对错
[02617.76-02620.00] 这是胜糖时期的主要的
[02620.00-02621.60] 我们所说的代表人物
[02621.60-02622.48] 代表失刻的人物
[02622.48-02624.12] 它注意下是里边和肚腐
[02624.12-02625.52] 著作人物
[02625.52-02628.32] 他的別稱以及他的風格大家都注意下
[02628.32-02630.12] 而我說了過了聖黨之後
[02630.12-02631.96] 唐朝就顧得到了那中朝
[02631.96-02634.36] 而周朝是個的代表人物有兩個
[02634.36-02635.80] 就叫做原白
[02635.80-02637.88] 一個是原真
[02637.88-02638.92] 一個是白軍意
[02638.92-02640.52] 我們先來看一下白軍意
[02640.52-02642.72] 白軍意後鄉山軍事
[02642.72-02643.52] 大家注意下
[02643.52-02646.32] 是偉大的壞下現實主義師
[02646.32-02648.52] 所以白軍主要也是寫實
[02648.52-02652.36] 大对于百剧的印象应该是比较熟悉的
[02652.36-02654.80] 它三长写长时写的责罗长
[02654.80-02655.36] 对吧
[02655.36-02656.64] 比如说长恨哥
[02656.64-02657.60] 皮发型
[02657.60-02659.92] 懂得这一系列的像一交男
[02659.92-02660.96] 它就写了好一首
[02660.96-02661.84] 所以它写的时刻
[02661.84-02663.00] 相对来说都会怎么样
[02663.00-02664.48] 都会比较长
[02664.48-02666.64] 所以它是长时的代表人物
[02666.64-02668.00] 而我们所说的这个百剧
[02668.00-02668.88] 以它的比号
[02668.88-02669.68] 同行标助一下
[02669.68-02670.84] 叫做师母
[02670.84-02671.88] 或者叫做什么
[02671.88-02673.32] 叫做师王
[02673.32-02675.20] 因为按照百剧的话来说
[02675.20-02676.60] 叫做无法无天
[02676.60-02677.52] 无边无记
[02677.52-02679.36] 不认人指认识
[02679.36-02680.92] 所以他对世的协爱程度
[02680.92-02682.32] 达到了一个相对来说
[02682.32-02683.92] 广热了一个程度
[02683.92-02685.92] 我们经常会在很多住座当转
[02685.92-02688.72] 读到这个白居也有很多人说白居也
[02688.72-02690.60] 是古代的标妹胜手
[02692.44-02693.12] 说他什么呢
[02693.12-02694.72] 说你怎么知道他总能在
[02694.72-02696.72] 学样江头和热江河判
[02696.72-02698.24] 看到那种落淡的少复
[02698.24-02700.00] 看到人家之后的地医就话就是
[02700.00-02701.36] 我又就有故事嘛
[02701.36-02702.72] 于是就开始了什么
[02702.72-02704.36] 学样江头夜送客
[02704.36-02705.84] 放夜地话求色色的
[02705.84-02707.24] 所以形容的就是我们所说
[02707.24-02708.26] 这个百均义
[02708.26-02711.20] 这百均义呢在他的青年177年
[02711.20-02714.70] 有过一段客午明星的这样一个爱情
[02714.70-02717.34] 主任他和他的认识的一个小伙伴这个什么呢
[02717.34-02718.36] 叫做香零
[02718.36-02719.84] 两人那也非常的香爱
[02719.84-02720.54] 但是没有办法
[02720.54-02722.44] 最后运线时分开了
[02722.44-02723.74] 当时他在去
[02723.74-02725.14] 徐洋江头夜送课的时候
[02725.14-02726.30] 为什么哭得那么凶啊
[02726.30-02728.44] 我说了叫做中气下谁最多
[02728.44-02731.24] 江州斯马清山斯清山斯
[02731.24-02732.68] 为什么哭成那个样子
[02732.68-02735.46] 这些因为他在去送课之前
[02735.46-02737.00] 他碰到了他的那个香零
[02737.00-02740.58] 两人当时被扑分开的时候白均一旦知道其实没有办法再跨了
[02740.58-02744.42] 而这段情感其实一直引藏在白均一的内心当中的
[02744.42-02746.74] 所以当时他就知道在也见不到了
[02746.74-02749.84] 所以当时听到那个批判之后
[02749.84-02751.34] 把哭的不成样子
[02751.34-02753.90] 所以在这里面才有了我们所说的这个批判刑
[02753.90-02756.70] 而他在去写长恨哥的时候大家也会发现
[02756.70-02758.60] 他在去写长恨哥的时候最开始
[02758.60-02760.32] 他是本人要批判谁
[02760.32-02761.84] 批判旁边黄和阳归飞了
[02761.84-02763.46] 就是想要批判说旁边黄
[02763.46-02766.34] 不着4600BB也不理潮正到后期
[02766.34-02768.66] 但你看他写着写着之后,他就变成了什么
[02768.66-02769.66] 和变成了
[02769.66-02772.74] 你不能说是歌诉嘛,就写着写着的时候就变成了
[02772.74-02775.30] 对于他们爱情之间的一种描维
[02775.30-02779.30] 对于他们爱情之间就描维就在于后面就在天怨做比一秒
[02779.30-02781.06] 在地院为什么
[02781.06-02783.34] 连理之而这个话
[02783.34-02787.66] 他其实在最早的时候给香零去写的时候写了之一话
[02787.66-02789.42] 叫知知连理声
[02789.42-02790.90] 其实就写过一句类似的话
[02790.90-02792.78] 那里当时是跟香零表白的时候
[02792.78-02796.30] 所以他看到唐军黄和杨慧飞的这样的一个故事之后
[02796.30-02798.86] 他其实不仅仅仅也会投射到影射到自己
[02799.12-02800.50] 是包括到了百军一样
[02800.50-02802.18] 晚年的时候七八十岁的时候
[02802.44-02803.98] 他还一直留着
[02803.98-02806.02] 香零当时给他否闹那个虚子
[02806.28-02808.84] 还有之前香零还给他的那个
[02809.10-02810.12] 盘龙的那个镜子
[02810.38-02812.42] 他自己在势里面已经让会写到
[02812.68-02814.72] 和那个镜子和那个鞋有关的失去
[02814.98-02816.52] 那么晚年的时候他一直都在想说
[02816.78-02819.60] 本来都以为都忘了但是怎么可能忘记呢
[02819.86-02821.64] 这就是百军一他的一个一生
[02821.90-02823.44] 所以在这里大家要知道
[02823.44-02833.44] 有关于白菊一,白菊一大家都知道,他对于是哥的这种喜爱的这个程度我们其实可想而知,你看他用自己的话来说,就是无法无天无边无界。
[02833.44-02852.44] 这句话其实在哪,出现的呢,在腰毛转里面黄宣言的那个角色,就把白菊一扫的那种感觉演得特别好,我一扫一扫就要白乐天,对吧无法无天无边无界,不爱人只爱时,这是他对是哥喜欢那种狂热,所以他被称为失抹,叫做失亡。
[02852.44-02882.44] 在这里面他的主要的住座比如说长恨哥皮牌形,外探温,离力远上草,前到巫春形,然后能不一江南,对吧等等,只都是他被一些住座,一样的,考察人物和具体失聚的一个对应,你说老实失聚太多了怎么办,同时真的没有其他的办法,你就要不停地去重复不停地去属性,比如说在这里面你看,他曾经给相联写微手叫做长相思,在长相思当中叫做愿作远山受,不不笔间形,愿作深山目,知知里面,
[02882.44-02887.34] 是不是就联想到成哥當中在天宴做比醫療在地位內之呀
[02887.34-02891.64] 甚至包括批發行動中去描寫談批發的過程後面聽的
[02891.64-02895.34] 做中氣下誰最多江州司馬清山時
[02895.34-02897.74] 這個時候當年考我說江州司馬是誰
[02897.74-02899.24] 你知道這時候是誰寫的
[02899.24-02900.34] 就知道是誰了
[02900.34-02902.94] 那這個就是我們所說的叫做白巨義
[02902.94-02903.74] 大家注意一下
[02903.74-02906.24] 這是有關於他的基本的情況以及他的註做
[02906.24-02909.34] 然後白巨義共同發起運動的
[02909.34-02911.54] 是他的一個志統道合的好朋友
[02911.54-02913.08] 这个人叫个神
[02913.08-02914.94] 这个人就叫做原真
[02914.94-02915.92] 原真标有意思
[02915.92-02919.10] 他们两个是在一个破妙里面遇见的
[02919.10-02922.54] 在那个破妙当中遇见的时候呢
[02922.54-02925.24] 这是两个人的经历特别的项啊
[02925.24-02928.38] 其实当时晚上的两人聊跳的时候就非常的气和
[02928.38-02930.74] 就觉得这是我私三多年的好月晚大
[02930.74-02931.54] 没随了对不对
[02931.54-02933.42] 然后两人谈特别偷计
[02933.42-02936.02] 晚上睡觉的时候这个白句语就听了
[02936.02-02937.86] 是到半夜他就总听到
[02937.86-02939.66] 英英英英英英英的声音
[02939.66-02941.06] 就是英英英英英
[02941.46-02942.98] 他嫌自生的人来的呀
[02943.24-02944.58] 結果他仔細停用是谁呢
[02944.58-02945.80] 是这个原真发出来
[02946.06-02947.86] 上去框藏这个原真提了一脚
[02948.36-02949.18] 你有不用吧对吧
[02949.18-02949.90] 有个大男人
[02949.90-02950.78] 一个英英怪
[02950.78-02951.94] 你英英英有什么
[02952.20-02953.74] 然后当时这个原真就说啊
[02954.00-02955.78] 说哪是英英英英有哭啊
[02955.78-02956.80] 我是在教我
[02957.06-02958.50] 爱人的名字叫做什么呢
[02958.50-02959.62] 叫做英英
[02959.88-02960.98] 然后两人就一聊
[02960.98-02962.44] 就是知道啊这个英英呢
[02963.20-02964.74] 是原真的会喜欢的人
[02964.74-02966.80] 但是人家那个英英家相对来说
[02967.06-02968.08] 家庭条件比较好
[02968.08-02970.08] 他相對來說 秦叔生一個
[02970.08-02972.08] 然後沒有辦法去跟這個
[02972.08-02973.08] 他現在的人在一塊
[02973.08-02974.08] 所以才去靠去公民
[02974.08-02976.08] 而當時白居去靠去公民
[02976.08-02977.08] 是為什麼呢
[02977.08-02978.08] 是因為他想跟鄉林在一塊
[02978.08-02979.08] 他媽媽跟他說
[02979.08-02980.08] 說白居意
[02980.08-02982.08] 以後就要做大瓜兒的
[02982.08-02984.08] 做大瓜兒就不能和村理的其他孩子一樣
[02984.08-02986.08] 所以白居當時
[02986.08-02987.08] 就是說那是不是我做瓜兒的
[02987.08-02988.08] 就可以去鄉林
[02988.08-02989.08] 他媽媽說就是
[02989.08-02990.08] 所以他在進行感考
[02990.08-02992.08] 兩人一頭一流
[02992.08-02993.08] 真不錯
[02993.08-02995.08] 只是情感經歷比較相似
[02995.08-02996.08] 可以說是
[02996.08-02998.08] 是志同道合的這樣的好朋友
[02998.08-02999.76] 但是兩個人的解決很像
[02999.76-03002.86] 只是都沒有人都沒能和自己現在的女孩子在一塊
[03002.86-03006.52] 尤其是在當時原真他結婚的時候沒有取到英英
[03006.52-03010.16] 然後呢九過三行之後原真就怕的那個地方好頭放生大苦
[03010.16-03011.44] 所有人都說說
[03011.44-03012.88] 原真他結婚了
[03012.88-03014.60] 然後呢 新下特別的開心
[03014.60-03015.48] 但只有白句說
[03015.48-03018.16] 他可能哭是因為沒有取到他最強取的姑娘吧
[03018.16-03019.32] 所以呢在這裡面
[03019.32-03022.12] 我們在後面會給大家去講到這個西鄉季的時候
[03022.12-03023.12] 會大家去講到
[03023.12-03025.08] 原真當時也寫了一個註做
[03025.08-03026.88] 叫做英英鎮
[03026.88-03029.16] 就是写的
[03029.16-03032.44] 两人爱儿最后没有在块了这样的故事
[03032.44-03033.84] 它个西香记不太一样
[03033.84-03035.60] 但表写都是英英的生活
[03035.60-03037.16] 我们放在后面再讲
[03037.16-03039.44] 在这里大家就知道这个原真这个人
[03039.44-03042.44] 白剧和原真的一些搞了一个叫做西月府运动
[03042.44-03043.88] 因为到了中堂时期
[03043.88-03045.52] 它已经不像圣堂一样
[03045.52-03047.88] 大堂王朝那么地强盛了
[03047.88-03049.40] 所以你如果再去写试的时候
[03049.40-03051.64] 还写的这种格式律令
[03051.64-03054.88] 然后去讲究它的那个传损成几合
[03054.88-03056.12] 無病深言
[03056.12-03058.96] 所以當時白句就說不要再像以前事的
[03058.96-03060.52] 說完顯了那個東西還有壓運
[03060.52-03062.52] 還有這個是那個是這樣那樣的
[03062.52-03064.72] 大可不必所以他當時就提到了什麼
[03064.72-03066.96] 就叫做要寫實
[03066.96-03068.08] 所以提到了一個點
[03068.08-03069.84] 叫文章和維石爾祖
[03069.84-03071.84] 師哥和維石爾祖
[03071.84-03074.40] 所以在這裡面這是他們共同發起的
[03074.40-03077.12] 就是要新月賦運動
[03077.12-03078.52] 那這個是我們所說的
[03078.52-03079.60] 中堂時期的
[03079.60-03081.00] 讓那個是個代表人物
[03081.00-03081.92] 原白
[03081.92-03083.80] 第二個在中堂時期的主要代表人物
[03083.80-03085.60] 是李克大助一下
[03085.60-03088.92] 李克坏下他有一个称位叫做失贵
[03088.92-03090.84] 李克之所以被称位失贵
[03090.84-03091.56] 是因为啥呢
[03091.56-03094.28] 是因为他长得也比较愁一点
[03094.28-03095.48] 值得长得不好看
[03095.48-03097.80] 然后再加上他这个写事的风格
[03097.80-03099.40] 也和其他人风格不一样
[03099.40-03100.96] 所以被称位叫做失贵
[03100.96-03103.12] 所以我们经常说唐朝有三里
[03103.12-03105.24] 那唐朝最三里分别值得是谁
[03105.24-03107.64] 就是李白里商业万唐的
[03107.64-03109.92] 还有一个就是中唐时期的李克
[03109.92-03111.28] 所以他们被称之为
[03111.28-03112.72] 就做唐代三里
[03112.72-03115.22] 而我们所说的这里面的理赫
[03115.22-03117.32] 它的代表作为比较多
[03117.32-03118.52] 比如说艳门太熟形
[03118.52-03120.22] 比如说李平空口演
[03120.22-03120.52] 对吧
[03120.52-03122.12] 这都是我们耳术能想的
[03122.12-03123.12] 这样的一个文章
[03123.12-03123.82] 所以在这里
[03123.82-03126.22] 大家要知道他们是归属于理赫的
[03126.22-03128.22] 这是我们所说的中堂时期
[03128.22-03130.12] 中堂时期的第三个代表人物
[03130.12-03131.72] 就是留与西大知道
[03131.72-03133.22] 留与西南北城之为叫做
[03133.22-03134.02] 十豪
[03134.02-03134.92] 所以把留与西
[03134.92-03136.32] 十豪却的标志出来
[03136.32-03137.52] 留与西的住座里面
[03137.52-03138.72] 我们比较长见的
[03138.72-03140.52] 看像这里面的路市民
[03140.52-03141.02] 对吧
[03141.02-03141.92] 大家都知道
[03141.92-03145.60] 三部在高有先子領隧不再深有龍者領
[03145.60-03147.52] 四十六十為五德心
[03147.52-03149.12] 那其實就是說我們所說的什麼
[03149.12-03150.48] 六十明
[03150.48-03153.76] 還有我們所提到的主之詞無意向等等
[03153.76-03155.72] 那這些都十留意習的主作
[03155.72-03156.36] 那在這兒呢
[03156.36-03159.68] 大家要知道人物別稱以及住作的對應
[03159.68-03161.40] 在這裡要知道它這個十豪
[03161.40-03164.12] 每個人的它的名字都不太一樣
[03164.12-03166.28] 那這是中堂史切的待會兒人物
[03166.28-03167.96] 那在堂朝的最後一個事情呢
[03167.96-03168.96] 這是不然堂
[03168.96-03170.96] 但堂只需要几两个人就行了
[03170.96-03172.96] 就是小肚木只能使用
[03172.96-03174.96] 小铃肚子的事使用
[03174.96-03177.96] 肚木和理商业就OK了
[03177.96-03179.96] 这个就是我们所说的整个堂厂
[03179.96-03182.96] 我们的重点其实放在初堂圣堂
[03182.96-03184.96] 以及中堂时期的原本
[03184.96-03185.96] 这几个人物的诸作
[03185.96-03187.96] 大家要格外地去注意一下
[03187.96-03188.96] 这是堂带时割
[03188.96-03192.96] 堂厂可以说是到达了十个的一个反省时间
[03192.96-03194.96] 因为我们都知道堂厂科去考试的时候
[03195.96-03196.96] 要做事
[03196.96-03198.60] 所以达到了一个适歌的
[03198.60-03200.92] 我们所说的相对来说比较繁盛的时期
[03200.92-03203.48] 其实送吵以及其他吵的椅舞哥
[03203.48-03206.60] 我们来看一下送代适歌它的一个传扯
[03206.60-03207.84] 在送代适歌当中
[03207.84-03208.80] 它有一些失派
[03208.80-03211.60] 全第一个就是常说的江西失派
[03211.60-03213.52] 这个是我们所说的你看
[03213.52-03215.04] 所以江西失派是文学史上
[03215.04-03217.72] 第一个有正式别称的失闻派点
[03217.72-03220.64] 你要知道在整个失割史上
[03220.64-03222.28] 有一个相应的独立的派点
[03222.28-03223.16] 那是很难的
[03223.16-03225.44] 尤其是我们所说的人命去秘密
[03225.44-03227.00] 有没有的这种人工少见了
[03227.00-03229.16] 所以你还在这里就有了江西时派
[03229.16-03230.56] 在江西时派当中
[03230.56-03231.96] 他的主要人物这么几个
[03231.96-03233.60] 首先第一个叫做黄天间
[03233.60-03235.40] 黄天间的他的考察
[03235.40-03236.88] 不在于他的具体
[03236.88-03239.56] 住作上而在于他的组合上
[03239.56-03241.76] 我们都知道经常会有组合出道的
[03241.76-03242.76] 什么三里
[03242.76-03244.64] 里白呀原奶呀里度
[03244.64-03245.36] 小里度
[03245.36-03246.32] 对吧等着这些
[03246.32-03247.96] 就是这种组合出道的
[03247.96-03249.12] 那你还像黄天间
[03249.12-03250.52] 他组合的是谁呢
[03251.04-03252.80] 早苏门四学室
[03252.80-03254.48] 这个点是要同学们去记忆的
[03254.48-03260.08] 苏门四学师就包括黄天间张蕾、朝鲤之还有秦官
[03260.08-03264.40] 所以这几个人大家要注意一下 苏门四学师
[03264.40-03266.00] 所以这个点大家要注意
[03266.00-03269.44] 这江西失派只有一个点 没有过多的要展开的
[03269.44-03274.00] 第二就是在送代式的当中 比较典型的人物就叫做路友
[03274.00-03277.60] 路友相对来说 这一生过也是很强可爱而不得
[03277.60-03283.28] 这家人我们没有办法 忘去了或者是印象特别深刻的就是他和他的爱人
[03283.28-03284.96] 逃漫之間的這樣有故事
[03284.96-03286.52] 所以我們經常形容路由
[03286.52-03287.40] 它是一個什麼人
[03287.40-03288.14] 就是一個
[03288.14-03290.58] 下骨柔情的這樣的一個愛國師
[03290.58-03293.18] 就是它既有愛國的這樣的一個情緩
[03293.18-03294.40] 又有我們所說的
[03294.40-03297.08] 對於我們所說的這種愛人的那種
[03297.08-03298.52] 我們所說的蠻稀
[03298.52-03300.86] 所以我們說了下骨柔情路放溫
[03300.86-03302.00] 說的就是它
[03302.00-03304.12] 路由到水滴個朝代大知道
[03304.12-03305.32] 叫做南宋愛國師
[03305.32-03306.80] 反南宋標誌出來
[03306.80-03307.84] 這是第一個點
[03307.84-03309.40] 第二個就大家知道
[03309.40-03310.68] 路由都主要代表做
[03310.68-03313.24] 有輸份,由山西村和市耳
[03313.24-03316.52] 这里面最喜欢考察着他的几个驻作
[03316.52-03321.18] 比如说由山西村当中所提到的山城水复一无路
[03321.18-03322.98] 流暗花名又一村
[03322.98-03325.48] 又或者在世而当中中她的晚年
[03325.48-03328.70] 大家都知道她其实也上过战场
[03328.70-03334.60] 所以她在晚年的时候她一个希望国家能够早日的把施取的国土收回来
[03334.60-03336.28] 所以她是而当中的就是什么
[03336.28-03340.00] 王师北定中原日加级无望高奶温
[03340.00-03342.20] 这有时代达世而当中所提到的
[03342.20-03345.02] 那这个就是送代师人我们所说的路由
[03345.02-03347.06] 路由线存时9300多手
[03347.06-03348.48] 我们说了李白一千头的时候
[03348.48-03350.12] 我们觉得已经很多了没死了
[03350.12-03351.68] 没想到他更多
[03351.68-03354.08] 这个就是我们所说的送代师哥
[03354.08-03355.76] 所以在整个师哥发展当中
[03355.76-03358.20] 我们的重点其实还是在堂厂这里面
[03358.20-03360.12] 大家主要重去掌握
[03360.12-03363.32] 人物和他的别称
[03363.32-03364.80] 还有他具体住作
[03364.80-03366.36] 一直住作内容的一个对应
[03366.36-03367.80] 这是我们比较喜欢靠的
[03367.80-03368.16] 好
[03368.16-03370.88] 这个就是我们讲到的文学当中的第一个
[03370.88-03372.88] 叫個十個的傳承與發展
