[00000.00-00006.66] 好的,同学们,我们书接上回进入到第二节内容的学习,就是我们所说的先行
[03631.80-03632.96] 六国的剩序
[03632.96-03634.12] 那这个灭六国的剩序
[03634.12-03635.46] 其实也能看出来
[03635.46-03637.36] 当时我们所说的出国
[03637.36-03640.16] 就是我们所说的其实王他的这样的一个谋律
[03640.16-03640.84] 是什么呢
[03640.84-03642.48] 是近打 远胶
[03642.48-03644.40] 你看先打我们所说的什么
[03644.40-03645.28] 很
[03645.28-03646.00] 周
[03646.00-03646.36] 为
[03646.36-03647.60] 是为了一他比较近的
[03647.60-03648.72] 是近打 远胶
[03648.72-03650.24] 这是我打他们的说明先别管
[03650.24-03651.16] 你看像这种
[03651.16-03652.56] 我们所说的和其国建交
[03652.56-03653.92] 当时和其打的时候
[03653.92-03654.56] 就跟其国说
[03654.56-03656.20] 我灭灭其他管家
[03656.20-03657.16] 你别管
[03657.16-03659.44] 你这种情况是像你千万不要插手
[03659.44-03661.20] 因为我做希望
[03661.20-03662.00] 你做东往
[03662.00-03662.56] 你这种情况
[03662.56-03663.52] 还天下评分
[03663.52-03664.88] 其国当日新了很多鬼话
[03664.88-03665.36] 对吧
[03665.36-03666.24] 所以在这里你看
[03666.24-03668.64] 它其实它的打的特别厉害进的
[03668.64-03670.28] 先给它拿拌拌了
[03670.28-03671.80] 然后立他拌的和他
[03671.80-03672.40] 结盟
[03672.40-03673.04] 告诉他们
[03673.04-03674.88] 我待打点的时候你不要插手
[03674.88-03676.64] 其实就是我们所说的叫做
[03676.64-03677.64] 新打元交
[03677.64-03678.56] 现在运教
[03678.56-03679.92] 所以这是我们所说的
[03679.92-03681.60] 有关于战国汽行当中
[03681.60-03682.72] 需要同一去掌握的
[03682.72-03683.60] 这几个点
[03683.60-03684.60] 大家要注意一下
[03685.60-03687.60] 这个战国汽行的考察方式
[03687.60-03689.16] 战国汽行的考察方式
[03689.16-03690.16] 大家注意一下
[03690.16-03692.28] 我们所说的春秋和战国
[03692.28-03694.00] 其实是两个十多
[03694.00-03695.00] 其实是两个十多
[03695.00-03696.80] 我们其实回顾春秋的话
[03696.80-03698.84] 其实我们会发现春秋这个时期
[03698.84-03701.16] 其实没有特别大规模的战争
[03701.16-03704.08] 因为春秋时期我一直称之为春秋
[03704.08-03706.64] 是军子之争或者军子之战
[03706.64-03708.60] 主要是以车战为主
[03708.60-03711.64] 大家在战场上依旧是封路偏偏的
[03711.64-03714.64] 换句话说是非常从容优雅不破的
[03714.64-03717.04] 所以这是我们所说的在春秋时期
[03717.04-03718.20] 因为春秋时期
[03718.20-03720.48] 它其实还是比较长到无家文化的
[03720.48-03724.08] 在加上我们所说的周朝时候所提倡的理约制度
[03724.08-03726.08] 所以保持整个春秋时期案
[03726.08-03727.92] 他们的这些人在战场上
[03727.92-03729.92] 依旧是非常有风度的
[03729.92-03731.04] 就非常有风度的
[03731.04-03732.84] 觉得简单的例子比如说
[03732.84-03735.36] 当时其实是我们所说的这个
[03736.00-03737.96] 楚王和习家国家打起来了
[03737.96-03740.08] 但是人家其他国家的这个人
[03740.08-03741.76] 见到这个楚王的时候
[03741.76-03743.48] 也是在战场上
[03743.48-03744.80] 就开怎么样脱贸
[03744.80-03745.80] 点头经理
[03745.80-03746.80] 点头失异了
[03746.80-03748.00] 这就是我们所说的
[03748.00-03749.04] 他们在战场这个样子
[03749.04-03750.08] 包括我们所说的
[03750.08-03752.36] 宋香宫所提到的这种红水之战
[03752.36-03752.72] 对吧
[03752.72-03755.76] 人家没有准备好我们不能跟他们去打仗
[03755.76-03758.44] 这种情况这些其实都是春休时期
[03758.44-03761.48] 我们所说的特性的体现
[03761.48-03764.76] 所以在春休时期没有太大的伤亡存在
[03764.76-03766.60] 就没有杀人累患者
[03766.60-03768.68] 这种情况这些很少出现
[03768.68-03771.44] 而且战争规模相对来说是比较小
[03771.44-03773.32] 但到了战国时期不一样了
[03773.32-03776.88] 战国时期整个战争的激烈程度和残酷程度
[03776.88-03778.92] 原源超过了春休时期
[03778.92-03780.96] 战国时期的目的其实很简单
[03780.96-03782.48] 战国时期的目的要干嘛
[03782.48-03784.64] 就是為了滅掉對方的國家
[03784.64-03786.72] 強度對方的人口
[03786.72-03788.32] 戰爭產力到什麼程度呢
[03788.32-03790.32] 跟你當時史料的記載說的是
[03790.32-03794.16] 叫爭地以戰殺人贏也打抢這個地方
[03794.16-03795.44] 失恨便也啊
[03795.44-03797.60] 爭成以戰殺人贏成啊
[03797.60-03798.72] 我要公戰這個程式
[03798.72-03800.40] 我恨了把這個程度塗了
[03800.40-03803.24] 根據我們所說的具體的這個傷亡的人說
[03803.24-03805.84] 情統一六國對過程當中
[03805.84-03810.08] 一共塗殺了超過其他國家的10.1500人
[03810.08-03811.68] 所以就足以能夠看到
[03811.68-03813.22] 我们所说的战国实际
[03813.22-03816.06] 它的战争的这种残酷
[03816.06-03818.34] 也就是说这种冷酷的战国实际
[03818.34-03820.08] 怎么样才能生存下去呢
[03820.08-03821.92] 如果单纯的一个好村秋时期
[03821.92-03823.84] 我们所强调的那种如家文化
[03823.84-03826.60] 那种核虚闻亚宽容的这种
[03826.60-03829.60] 我们所说的信念在残酷的战国实代
[03829.60-03830.64] 是活不下去的
[03830.64-03834.16] 所以在战国实际必须要一种新的生存方式
[03834.16-03835.48] 新的生存方式
[03835.48-03836.88] 就说找一个东西
[03836.88-03838.92] 吹毁现有的理月文化
[03838.92-03840.36] 加强重要集权
[03840.36-03842.76] 不断地就扩大軍隊提高戰鬥力
[03842.76-03846.28] 這種情況之下才能在戰國時期生存下來
[03846.28-03848.12] 所以在這個地方我們所說的
[03848.12-03849.92] 它所謂的新的生存方式
[03849.92-03851.56] 其實就是我們所說的什麼
[03851.56-03855.72] 就是要通過變法來摧毀我們所說的理約制度
[03855.72-03858.12] 通過變法一方面加強集權
[03858.12-03859.44] 為什麼要加強集權?
[03859.44-03860.44] 其實很簡單
[03860.44-03861.92] 如果你不加強集權
[03861.92-03864.56] 你內部一旦鬥爭錢內部分裂了
[03864.56-03866.96] 你根本沒有抵抗對外的能力
[03866.96-03869.60] 那加強集權同時要扩大軍隊
[03869.60-03873.08] 因为战争很残控 小活的下去不小被吞弊
[03873.08-03874.64] 就必须要扩达军队
[03874.64-03876.64] 但扩达军队最重要的是什么呢?
[03877.20-03878.04] 就是钱
[03878.04-03879.96] 达动知道战争其实就是什么?
[03879.96-03881.08] 就是消耗
[03881.08-03883.24] 所以在扩达军队就过程就要钱
[03883.24-03884.32] 那钱通的来
[03884.32-03885.32] 没有其他的办法
[03885.32-03886.76] 你只能通过什么形式呢?
[03886.76-03889.32] 只能通过国家变法的形式
[03889.32-03892.52] 所以在战国世界中路虚拼出现了很多的变法
[03892.52-03893.48] 那这些变法呢
[03893.48-03894.24] 我们都知道
[03894.24-03896.28] 战国很多国家都使用国变法
[03896.28-03898.12] 但是相对的时候都失败了
[03898.12-03901.66] 最成功的就是我们所说的商阳变法
[03901.66-03904.66] 我们先看商阳变法之前的一些其他国家的变法
[03904.66-03907.20] 这变法当中我们来看一下首先第一个就是
[03907.20-03909.08] 微国的李虧
[03910.08-03912.48] 微国的李虧这个点通知一下
[03912.48-03915.14] 它考察的过程当中只要考察的是对应
[03916.28-03917.68] 只要考察是对应
[03917.68-03920.82] 这里面我们来看一下首先第一个就是我们所说的
[03920.82-03922.62] 微国的李虧它的变法
[03922.62-03925.32] 李虧的变法当中最常见的就是我们所说的
[03925.32-03926.56] 这种平底法
[03926.56-03929.36] 平立法 它其實是一種良事保護制度
[03931.16-03935.14] 是一種良事保護制度
[03936.88-03941.40] 這個叫做平立法 這個敵就是美陸良事
[03941.40-03943.40] 這兩種長量過多的時候
[03943.40-03945.00] 我們都知道古建商籠
[03945.00-03946.92] 這個國家就會想一些方法
[03946.92-03949.68] 來保護我們所說的這種农業生產者
[03949.68-03951.48] 這種叫做平立法
[03951.48-03953.76] 還有一個就是微國的武器變化
[03953.76-03957.26] 美國的武器邊海主要就是我們所說的叫做整個例志
[03957.26-03961.66] 而美國的武器邊海也是以失敗高中最終武器也很慘
[03961.66-03963.16] 慘到什麼程度呢
[03963.16-03965.02] 就是怕在那個廚王
[03965.02-03966.86] 就是當時有由廚王已經去世了
[03966.86-03968.66] 就怕在那個廚王的身體上
[03968.66-03970.46] 就是說啊你們不能射殺我
[03970.46-03971.96] 因為是這個廚王統一了
[03971.96-03972.46] 結果呢
[03972.46-03973.66] 大家都沒有關著他
[03973.66-03974.56] 對吧最后呢
[03974.56-03976.16] 就是拿入案件給他射死了
[03976.16-03978.36] 就怕在先往的射體上都沒有用完處
[03978.36-03979.66] 當時人有多恨他
[03979.66-03981.16] 所以能看得出來武器邊海
[03981.16-03983.36] 其實並沒有在廚國推下去
[03983.36-03987.44] 那除了這些還有就是照國的照顧零王胡福奇社
[03987.44-03989.20] 當時照顧零王
[03989.68-03991.88] 就開始像他的民眾
[03991.88-03996.04] 就是他們在一組上就有了一個改變
[03996.04-03998.96] 我們都知道中國傳統的中原服飾是那種
[03998.96-04000.60] 寬跑大秀
[04000.60-04002.20] 然後那種戴優代的這種
[04002.20-04002.56] 對
[04002.56-04004.72] 但這種服飾其實是沒有辦法
[04004.72-04006.00] 是用在戰場上的
[04006.00-04008.48] 戰場讓你穿的是越方便越好
[04008.48-04010.20] 所以照顧零王就改革
[04010.20-04013.88] 在穿着上就提到了所说的胡福奇社
[04013.88-04014.60] 夫奇社
[04014.60-04017.00] 其实这些都是变法图墙的
[04017.00-04019.04] 这样的一些我们所说的变法
[04019.04-04021.48] 但是相对来说都是以失败告终
[04021.48-04023.00] 在这里面同情的要注意
[04023.00-04024.84] 考察对应要能够对应上
[04024.84-04026.92] 而在我们整个战国变法当中
[04026.92-04028.64] 最成功的是哪个变法
[04028.64-04030.04] 大家注意一下最成功的
[04030.04-04032.36] 其实我们所说的商量变法
[04032.36-04034.28] 商量变法为什么能够成功呢
[04034.28-04036.24] 其实是因为秦国的文化
[04036.24-04038.00] 相对而出会比较特殊一点
[04038.00-04039.48] 特殊到什么程度呢
[04039.48-04041.28] 这情况他是在
[04042.30-04043.58] 七个国家当中
[04043.84-04044.86] 最落后的
[04045.12-04045.88] 因为他秦
[04046.40-04049.46] 而且他秦呢他秦呢他秦呢很彻底啊因为他是在西北地区啊
[04049.72-04053.56] 那起来的那最开始的时候西北地区啊路产并没有非常的丰富
[04053.82-04055.36] 所以东西非常非常的少
[04055.60-04057.40] 所以他七国家当中最落后的
[04057.66-04059.20] 第二一个呢就是我们都知道
[04059.44-04062.78] 那秦国呢他其实也是在七国当中最独特的
[04063.04-04066.86] 他其实在秦国他的一个发展过程当中他其实还保有
[04066.86-04069.68] 有务民族的那种豪方的性情
[04069.68-04070.70] 相对来说呢
[04070.70-04074.28] 我们所说的就是处在一个半夜满的这样的一个状态
[04074.28-04075.56] 豪方的什么程度呢
[04075.56-04077.88] 让大家还记不记得就是米月转
[04077.88-04080.16] 那个米月它其实就是我们所说
[04080.16-04083.24] 秦国当中的宣态后的这个原形对吧
[04083.24-04085.80] 在秦国与韩国外交的时候大家都听过说
[04085.80-04087.08] 它讲黄端子
[04087.08-04088.88] 然后呢去跟那个韩国说
[04088.88-04090.42] 你能给我们国家什么好处
[04090.42-04090.92] 对吧
[04090.92-04095.02] 大家看过这米月转其实对于这个印象其实因为会比较深刻
[04095.02-04097.84] 但是不是说他讲黄端的这个事
[04097.84-04099.36] 而说能够看得出来
[04099.36-04101.94] 它的文化相对来说是比较开放的
[04101.94-04104.74] 或者说他是相对来说比较好方不去小节的
[04104.74-04106.14] 所以在这种情况之下
[04106.14-04108.30] 由于他自身这样的一个特性
[04108.30-04110.64] 就导致了秦国整体上
[04110.64-04113.96] 他和中原的散漫的这种努业文明不太一样
[04113.96-04116.86] 秦国的记录非常非常的严密
[04116.86-04118.38] 而且是上下一致的
[04118.38-04119.46] 在这种情况之下
[04119.46-04121.02] 因为他很穷所以他想复起来
[04121.02-04122.26] 他能够接受变法
[04122.26-04123.26] 第二个我们说了
[04123.26-04125.86] 变法实行这种相在受比较严格的这种制度
[04125.86-04126.90] 但他也能接受
[04126.90-04127.86] 因为他本身的
[04127.86-04129.62] 他的国家的文化
[04129.62-04131.90] 在那种情况下就是这个样子的
[04131.90-04135.74] 所以这次我们所说的商店画能够成功的一个原因
[04135.74-04137.26] 除了能够成功之外
[04137.26-04138.38] 还有一个原因是什么的
[04138.38-04140.62] 还有一个就是在商店变法之前
[04140.62-04142.22] 也是和其目国有关
[04142.22-04144.62] 商店法之前的秦目公案
[04144.62-04148.22] 他其实之前也想努力的中原画
[04148.22-04150.22] 学习中原的这些文化
[04150.22-04151.86] 学习中原的这些制度
[04151.86-04154.02] 但血量血去起渍並不大
[04154.02-04156.06] 後來情目公接接一個人
[04156.06-04157.98] 這個人叫什麼叫由於
[04157.98-04160.42] 但不是吃的鐵板優雀
[04160.42-04161.62] 這個人是這個
[04161.62-04162.70] 叫做由於
[04162.70-04165.02] 由於他其實是少數民族的
[04165.02-04166.34] 我們所說的這樣一個史塵
[04166.34-04167.70] 大家本身是進過人
[04167.70-04169.86] 情目公接待由於的時候就問
[04169.86-04173.62] 說你看你們這個少數民族愛好窮
[04173.62-04175.22] 而且也沒有什麼文化
[04175.22-04176.86] 你看我們中間地區
[04176.86-04177.86] 有文化
[04177.86-04180.78] 而且是以失出立法之國的
[04180.78-04183.38] 但是我们治理器国家来都很困的
[04183.38-04186.62] 那像你们这种少数民族没有什么文化的
[04186.62-04188.90] 对吧如某一学大概就这个意思
[04188.90-04191.62] 那你们治理器国家会不会更难
[04191.62-04193.54] 当时这个由于就笑了
[04193.54-04194.62] 他说什么呢
[04194.62-04197.34] 他说恰恰是你们的这种文化制度
[04197.34-04199.14] 才是你们内乱
[04199.14-04201.06] 或者说国家腐败的一个根源
[04201.06-04202.14] 他就说了
[04202.14-04202.82] 说什么呢
[04202.82-04204.14] 由于当就说说你害我
[04204.14-04205.90] 你们用我们所说的这种
[04205.90-04207.66] 如家文化人爱的这种文化
[04207.66-04210.94] 用师叔这种理移制度去制理之后国家
[04210.94-04212.58] 但是只能约束到人民
[04212.58-04214.02] 但是约束不到金网
[04214.02-04217.02] 所以在正情网之下一旦内部出现了腐败
[04217.02-04218.78] 这种情网之下就不可避免
[04218.78-04220.86] 然后请教工当时一天万
[04221.98-04222.62] 好有道理
[04222.62-04223.10] 对吧
[04223.10-04225.74] 然后他就开始扁气了原本的那种
[04225.74-04227.58] 我们所说的那种改革
[04227.58-04230.38] 然后转向了这种比较严课的变化
[04230.38-04231.42] 所以在正情网之下
[04231.42-04234.22] 他就任用商鸟实现变化图墙
[04234.22-04235.26] 身边的图墙
[04235.26-04236.98] 在这个地方大家注意一下
[04236.98-04239.52] 可是商量有关在边法当中的点顾
[04239.52-04241.26] 大家都知道商量边法的开始
[04241.26-04242.62] 其实来自一个故事
[04242.62-04244.62] 就是我们所说的习目力性
[04245.74-04247.58] 就是我们所说的习目力性
[04247.74-04249.22] 它为了让大家知道
[04249.22-04250.50] 说我们是认真的
[04250.50-04251.90] 然后只让人找一个
[04251.90-04253.38] 说说谁把这个注子
[04253.38-04256.02] 给我搬到成门那边
[04256.02-04258.02] 我就给它一些金子
[04258.02-04258.86] 就给它一些钱
[04258.86-04260.18] 大家就写说真的假的
[04260.18-04261.58] 然后就人去搬就给了钱
[04261.58-04261.86] 对吧
[04261.86-04264.98] 所以从这个时候就有了这个边法的开始
[04264.98-04268.22] 但其實這個洗膜利性並非商揚的獨創
[04268.22-04270.62] 而在我們所說的無期變法的時候
[04270.62-04272.82] 就有了這樣說法叫撤緣利性
[04272.82-04274.82] 而商揚變法的很多的制度
[04274.82-04276.06] 其實和無期特別效
[04276.06-04279.34] 那為什麼在我們所說的無期所在的國家沒有推行
[04279.34-04281.62] 但是在商揚所在的國家可以
[04281.62-04283.62] 其實原因就是老實方在所說的
[04283.62-04285.58] 由於情國文化的獨特性
[04285.58-04286.74] 這個大家要注意一下
[04286.74-04289.14] 這時候商揚有關的洗膜利性
[04289.14-04290.90] 那這裡面我們來看一下
[04290.90-04292.22] 在商揚變法當中
[04292.22-04294.10] 它其實有這麼一些措施
[04294.10-04296.66] 有幾項措施同時把隔外記一下
[04296.66-04298.70] 第一個就是實行土地
[04299.46-04301.62] 私有之阿生土地私有之
[04301.62-04304.74] 其實是和鐵制農具的發展分不開的
[04304.74-04306.98] 所以在這裡實行土地私有
[04306.98-04308.02] 實行土地私有
[04308.02-04310.98] 第二他提到了就做眾農藝商政策
[04310.98-04314.58] 因為當時我們所說的整個接藏是市農工商的
[04316.74-04317.86] 商在最目
[04317.86-04319.70] 所以他為了鼓勵生產
[04319.70-04321.94] 所以提到了就做眾農藝商
[04321.94-04322.90] 眾農藝商
[04322.90-04325.20] 同時他推行軍限制
[04325.20-04328.60] 知道這裡面在軍限制上有一個小的考點
[04328.60-04329.70] 大家要注意一下
[04329.70-04333.70] 這個軍限制我們要知道他並非商揚獨創
[04333.70-04335.40] 軍限制遠於什麼呢?
[04335.40-04336.10] 大家注意一下
[04336.10-04339.70] 軍限制他最開始是在處國發展起來的
[04341.00-04343.20] 這個點這個細節大家要注意一下
[04343.20-04346.90] 最開始是在處國的時候高起來的
[04346.90-04351.00] 因為當時處國他不太懂中原的文化和制度
[04351.00-04353.00] 所以你看像我们中演地区说
[04353.00-04356.56] 你开批了一块新的地域或者是你
[04356.56-04358.12] 在这个地方有了一块
[04358.12-04360.00] 就是你增账得到了一块新的地
[04360.00-04362.36] 我们要封一个新的网在这个地上
[04362.36-04364.92] 这有时候有一块新的地方一个新的出口
[04364.92-04367.12] 但是在楚国这时候他不管这些
[04367.12-04367.48] 对吧
[04367.48-04370.20] 他觉得这个地我打下来之后就应该是我的
[04370.20-04371.48] 所以在这种情况这些
[04371.48-04374.44] 他就没有把新打下这个地分给出口
[04374.44-04378.36] 而是由楚王自己直接去管变成了军线
[04378.36-04380.88] 所以在这里就开始有了这种巨线制
[04380.88-04384.28] 所以它并非我们所说的商业的原创
[04384.28-04385.68] 大家知道就是巨线制
[04385.68-04387.52] 而巨线制从某种程度来说
[04387.52-04390.72] 这是国力增强的一次非常重要的一个改革
[04390.72-04392.56] 所以在这里是巨线制
[04392.56-04396.48] 同时在军事上讲列军工暗军工数据
[04396.48-04399.00] 打破了我们所说的这种试起制
[04399.00-04401.24] 所以这是我们所说的叫讲军工
[04401.24-04403.80] 当时商业在变法的时候
[04403.80-04404.64] 这个军工
[04404.64-04406.80] 它这个绝位一公分成二十断的
[04406.80-04410.08] 最高一等第20集的绝位叫做彻后
[04410.08-04413.68] 而这20等当中一集到8集是明觉
[04413.68-04416.48] 这个明觉就可以在站场上杀人
[04416.48-04418.28] 然后换取这个绝位
[04418.28-04420.76] 当时就是杀一个人进觉一集
[04420.76-04421.88] 你就知道能有多么
[04421.88-04422.20] 对吧
[04422.20-04426.52] 所以当时大家都知道这个军工对于明天的基地政策特别大
[04426.52-04427.92] 基地到什么程度你看
[04427.92-04430.08] 当时给的这个基地政策说的是
[04430.08-04432.36] 说能得假守依者
[04432.36-04435.16] 上绝一节一天一请
[04435.32-04436.40] 一宅九母
[04436.40-04437.48] 除数字一人
[04437.48-04439.28] 乃得入冰关之力
[04439.28-04439.92] 你看
[04439.92-04440.84] 这种情况之下
[04440.84-04441.60] 除了数字
[04441.60-04443.40] 都可以进去做关了
[04443.56-04444.36] 这种情况之下
[04444.36-04445.44] 你能不心动吗
[04445.44-04446.96] 很难不心动
[04446.96-04448.08] 对待这里叫做
[04448.08-04449.92] 民之间战
[04449.92-04450.48] 也如何
[04450.48-04451.40] 浪质建肉
[04451.40-04452.52] 是以三军之中
[04452.52-04453.36] 从流
[04453.36-04454.40] 从另如流
[04454.40-04455.40] 这种情况之下
[04455.40-04456.80] 看到了打仗
[04456.80-04457.76] 是打仗
[04457.76-04458.92] 上面写了就什么
[04458.92-04460.40] 它对方的
[04460.40-04475.02] 降了,降的是身上協了做什么,協了就是带子,協了就是关决,对吧,就好比今天,就是在网上之前有一个人说了,如果打江湿能够保言的话,那在网上有人做了一个断子,在必然上,
[04475.02-04490.36] 如果打江湿能够保言的话,那就用情况之下,那所有的行程说,江湿在哪,然后一边打10分20分,就这么加,对吧,所以就用激烈政策,就极大的鼓务了,我们所说的秦军的这种作战能力,所以秦国能够统一六国,有一个原因就是军队做人能力,
[04490.36-04494.20] 超想,我们经常说什么叫猫狼知识的
[04494.20-04497.16] 这样一个称位,所以这是我们所说的
[04498.16-04499.84] 军工受据,军工受据
[04499.84-04502.64] 所以在这里大家要注意的,这个地方怎么考呢?
[04502.64-04505.72] 第一个在这里考点顾,考点顾
[04505.72-04510.84] 大家注意这是第一个,第二个就是在这里会考,这些内容和谁武关
[04510.84-04515.72] 也就是考任务和变反内容的对应,考任务和变反内容的对应
[04515.72-04518.46] 他在这里说商院变法是行平敌法
[04518.46-04521.60] 商院变法搞的是我们所说的整治关系
[04521.60-04524.62] 这里可都没有提到所以在这里大家要注意一下
[04524.62-04527.60] 商院变法虽然是秦国强大起来
[04527.60-04530.24] 然后来秦幕公司后商员的下场也不好
[04530.24-04532.42] 对吧,所以最后他被怎么样
[04532.42-04533.62] 五马分师了吗?
[04534.62-04535.94] 他被五马分师了
[04535.94-04539.44] 所以五马分师其实也是商院关的点顾
[04539.44-04541.88] 这个就是我们所说的战国其几乎
[04541.88-04544.60] 但是不能不承认的就是这种变法
[04544.60-04546.90] 確實也使得我們所說的這個
[04546.90-04550.50] 請國 訊息強大起來 真強大起來
[04550.50-04554.50] 好 這是我們所說的 戰國 七雄 阿 張文七雄
[04554.50-04556.00] 那麼剛才其實也提到了
[04556.00-04558.70] 我們所說的整個這個戰國時期
[04558.70-04562.80] 它其實是相對來說 戰爭程度是遠遠超過村區的
[04562.80-04565.00] 而且戰爭程度相當之慘烈
[04565.00-04569.10] 所以在戰國時期就出現了很多有名的這種戰異
[04569.10-04570.20] 有名種戰異
[04570.20-04574.10] 那這有名的戰異當中主要來看一下有這麼三個
[04574.10-04576.70] 第一个是我们所说的叫做汇灵之战
[04576.70-04578.02] 第二是马灵之战
[04578.02-04579.42] 汇灵之战和马灵之战
[04579.42-04581.46] 其实都是发生在我们所说的
[04581.46-04584.02] 孙毕与绑均他们之间
[04584.02-04585.58] 我就简单写孙旁了
[04585.58-04589.02] 孙毕和绑均他们之间的这样的一个点顾
[04589.02-04590.90] 那首先第一个汇灵之战
[04590.90-04594.82] 汇灵之战是我们所说的其国和汇灵
[04594.82-04598.42] 我们所说的他们之间所发生的这样的一个事情
[04598.42-04600.34] 其实在汇灵之战的时候
[04600.34-04602.54] 在汇灵之战之前
[04602.54-04606.26] 我们都知道村面和旁军 它们两个其实是同床
[04606.26-04610.10] 女学说的同床不如说是就是失兄和失地
[04610.10-04615.26] 就往这些旁军是失地 然后村面是失兄 两个人失从谁回顾子
[04615.26-04617.66] 大家知道回顾子 因人回顾子
[04617.66-04621.18] 它在收土地的时候 一般请往这些只收两个
[04621.18-04623.54] 就是一红一红
[04624.54-04628.06] 红总之约 这里面就是一红一红
[04628.06-04631.06] 比如说苏琴和张益 比如说村面和旁军
[04631.06-04633.46] 比如说大家所看到动画漂亮里面的
[04633.46-04635.38] 隔膩还有位装 对吧
[04635.38-04636.98] 它其实都是一种一红的
[04636.98-04638.66] 这是相互之约的
[04638.66-04640.58] 而在这里面的孙辩和旁军
[04640.58-04642.34] 其实也是归故子的两个土地
[04642.34-04644.54] 而孙辩这个人非常有才
[04644.54-04646.10] 就是很有天赋
[04646.10-04648.42] 旁边的人没有什么天赋信儿还小
[04648.42-04650.18] 所以旁军当时学成了之后
[04650.18-04652.10] 他就想说
[04652.10-04653.62] 如果有一天说
[04653.62-04654.98] 他和孙辩对上了之后
[04654.98-04656.30] 可能对他不利
[04656.30-04657.78] 当然他有这种小型子
[04657.78-04659.22] 从来都不和孙辩说
[04659.22-04660.50] 他反而跟孙辩说说
[04660.50-04664.50] 说哥 你等了我以后做大做强了之后我就叫你在一块
[04664.50-04666.00] 这种酸辩性了他
[04666.00-04669.00] 后来旁决他就去到了我们所说的魏国
[04669.00-04673.80] 任将有之后他就想想闯出酸辩对他的威胁
[04673.80-04675.50] 然后这个酸辩写了一封信
[04675.50-04678.50] 显着信之后跟酸辩说哥
[04678.50-04680.70] 说我在魏国会的挺好的说你来吧
[04680.70-04683.50] 我向这个魏王几帝推荐你来吧
[04683.50-04684.50] 加了一堆 对吧
[04684.50-04687.70] 然后这种情况之下酸辩就信了
[04687.70-04690.78] 就说这个旁边这个施地还是真够意思
[04690.78-04692.94] 然后他就下山去找旁决了
[04692.94-04694.62] 就去找旁决之后
[04694.62-04697.10] 然后后来这个旁决就又害了村民
[04697.10-04698.62] 村民去了好几天
[04698.62-04701.62] 然后旁决也没有说要引进他去建处
[04701.62-04703.18] 这个事反浪是什么呢
[04703.18-04704.46] 反浪是过了几天之后
[04704.46-04707.54] 来了几个士兵五花大广把村民绑了
[04707.54-04708.54] 绑了之后
[04708.54-04710.26] 然后把他个腿费了
[04710.26-04711.66] 又说看去双角
[04711.66-04713.02] 然后再他两次这
[04713.02-04714.26] 这种情况彻底费了
[04714.26-04714.90] 他后来呢
[04714.90-04717.50] 他就村民就想如何能够免疫死
[04717.50-04719.86] 就开始装风了之后
[04719.86-04721.82] 然后当时旁旋就以为它真风了
[04721.82-04726.26] 然后起国来到派人来到这个魏国之后
[04726.26-04728.06] 然后被派的这个史诚
[04728.06-04730.58] 听了这个孤使
[04731.30-04733.14] 就把孙辩就走了
[04733.14-04734.14] 就走了之后
[04734.14-04735.78] 然后就把他推荐给了谁呢
[04735.78-04737.14] 就把推荐给了甜季
[04737.14-04738.26] 大家都知道甜季
[04738.26-04738.98] 大将嘛
[04738.98-04739.94] 甜季再马嘛
[04740.10-04741.66] 所以就把推荐给了甜季
[04741.66-04743.46] 然后后来又过了一段时间
[04743.46-04744.26] 大概是空袁婷
[04744.26-04745.58] 三百五十四年的时候
[04745.58-04749.78] 然后这个旁军发兵突然发兵攻击照顾
[04749.78-04753.90] 然后攻击照顾的时候照顾就在向他周边的大国求救
[04753.90-04754.98] 于是就找到了谁呢
[04754.98-04756.22] 就找到了奇国
[04756.22-04757.74] 于是就有了我们所说的
[04757.74-04759.46] 北位救照这一说
[04759.46-04760.98] 于是就了北位救照这一说
[04760.98-04762.50] 那这是我们所说的第一个
[04762.50-04763.82] 那北位救照之后呢
[04763.82-04765.06] 一说在十多年之后呢
[04765.06-04766.02] 这个旁军
[04766.02-04767.62] 他又搞了十万大军
[04767.62-04768.62] 山那阴攻击呢
[04768.62-04769.98] 去攻击韩国
[04769.98-04771.42] 韩国找谁求救呢
[04771.42-04772.58] 又找奇国求救
[04772.58-04774.34] 日老师咱总找奇国呢
[04774.34-04777.38] 那么一招对吧 奇怪大呀 对吧 奇怪强呢
[04777.38-04778.90] 所以又去找奇怪求救
[04778.90-04781.46] 那去找奇怪求救 在这种情况之下呢
[04781.86-04782.66] 这个
[04782.66-04784.94] 韩国 然后当时
[04784.94-04788.26] 其实是在奇怪内部就出现了救与不救的这个争讨
[04788.26-04790.26] 人数救有人也说不救
[04790.26-04791.86] 然后当时呢 这个期望
[04791.86-04794.82] 他就看了一下这个孙辨就问了一下孙辨的意见
[04794.82-04797.14] 孙辨就说 说我们先答应韩国
[04797.14-04799.38] 说什么呢 说我们去救他
[04799.38-04801.06] 那这样会有一个什么好处呢
[04801.06-04804.58] 第一個就是韓國議廳,其國大哥要來救我了
[04804.58-04806.76] 那這個情況之下一定會拼進權力
[04806.76-04810.90] 他一拼進權力的話,一定會對美國產生大量的消耗
[04810.90-04815.46] 那到了這個時候趁他命,要他命,對吧,我們就在這種情況之下
[04815.46-04817.38] 去攻擊美國,只能打贏了
