[00000.00-00005.92] 好,接着来学习一下马征英当中的第二章就是资本主义的本质
[02240.66-02242.42] 變動結果所產生的
[02242.42-02244.34] 所以在這裡面他說在考慮
[02244.34-02246.18] 自本家對於工人的不學程度的時候
[02246.18-02247.42] 要抽去不便資本
[02247.42-02249.82] 只考察勝於價值和可便資本的關係
[02249.82-02252.64] 那这种情况之下就得到了盛余价值率
[02252.64-02255.46] 说盛余价值率MP 等约MB位
[02255.46-02257.86] 说老师这里面什么叫做不便资本
[02257.86-02258.98] 什么叫可便资本
[02258.98-02260.58] 咱们来看一下基本概念
[02260.58-02262.36] 所以不便资本
[02262.36-02263.64] 他这里说了
[02263.64-02266.82] 所以是以生产资料形态存在的内部分资本
[02266.82-02268.24] 就是我们常说的什么
[02268.24-02269.28] 原材料
[02271.84-02272.98] 原材料这些
[02272.98-02274.66] 比如说你的机器
[02274.66-02277.46] 还有你的什么你的场防
[02277.46-02278.24] 对吧
[02278.24-02281.20] 还有你所拥有的土地数量等等
[02281.20-02282.96] 这些就叫做不便子本
[02282.96-02283.80] 叫不便子本
[02283.80-02285.20] 所以不便子本就是
[02285.20-02287.60] 它进行生产的过程时候
[02287.60-02290.40] 它是把这些价值全部转移到的上屏当中去
[02290.40-02292.16] 它没有创造新的价值
[02292.16-02293.80] 这种就叫做不便子本
[02293.80-02295.48] 也是我们常说的成本了
[02295.48-02297.60] 那还有一部分叫做可便子本
[02297.60-02298.76] 可便子本是什么呢
[02298.76-02301.60] 是可以带来价值增值的那部分资本
[02301.60-02303.04] 所以可便子本只有一个
[02303.04-02305.40] 搭住一下可便子本只有一个
[02306.12-02307.80] 能够带来价值增值的
[02307.80-02308.78] 叫做可便資本
[02308.78-02310.32] 所以只有誰能帶來加上這
[02310.32-02311.12] 就是勞動者
[02311.12-02311.88] 就是誰
[02311.88-02313.40] 就是工人
[02313.40-02314.84] 所以你看他這裡面的說
[02314.84-02316.32] 生育價值率就是要
[02316.32-02317.00] 看誰
[02317.00-02320.40] 看生育價值和工人之間的比例關係
[02320.40-02322.28] 也就是工人創造了多少價值
[02322.28-02323.08] 被你剝削了
[02323.08-02323.40] 對吧
[02323.40-02324.20] 所以在這裡
[02324.20-02325.32] 就是我們所說的
[02325.32-02326.36] M比威
[02326.36-02327.96] M代表的是生育價值
[02327.96-02329.08] 威代表的是什麼
[02329.08-02329.88] 威代表的
[02329.88-02331.96] 就是我們所說的可便資本
[02331.96-02333.92] 威代表就是可便資本的價值
[02333.92-02335.80] 也就是你手裡拿了那個公子
[02335.80-02337.94] 他想看的就是你拿了这么点的工子
[02337.94-02339.68] 你给他多创造了多少利润
[02339.68-02342.64] 就是他在你身上多八下来的那层体
[02342.64-02345.08] 所以在这里面就叫做盛与加值率
[02345.08-02347.28] 所以盛与加值率越高就越来越着
[02347.28-02350.32] 你拿到的这个钱创造的价值就越多
[02350.32-02352.12] 那你被剥削的程度就会怎么样
[02352.12-02353.12] 越严重
[02353.12-02354.64] 被剥削程度就会越严重
[02354.64-02358.44] 那这是马斯所看到的盛与加值率
[02358.44-02360.00] 那如果马斯这么提的话
[02360.00-02362.12] 那无意就是出了谁的利润
[02362.12-02363.68] 那无意就是动了我们所说的
[02363.68-02364.72] 自本家的利润吗
[02364.72-02367.44] 所以政府自本家的想法給自己怎麼樣給自己洗白
[02367.44-02368.52] 自本家怎麼說呢
[02368.52-02371.08] 自本家說我可沒有博學他喔
[02371.08-02374.12] 他說你看我給他開工資
[02374.12-02375.72] 他是不是給我幹活啊
[02375.72-02378.28] 那同時在他幹活的這個過程當中
[02378.28-02381.44] 土地機器廠房都是我給他提供的
[02381.44-02383.52] 那我在他幹活的時候
[02383.52-02385.92] 我給他少分的事給我多分點錢
[02385.92-02387.20] 這不是天經第一的嘛
[02387.20-02389.28] 他其實在粉事這樣的一個過程
[02389.28-02390.96] 因為自本家沒有看到什麼
[02390.96-02393.64] 他在博學工人工人再給他創造價值
[02393.64-02394.60] 他看到是什麼
[02394.60-02396.40] 是我欲先投入了成本
[02396.40-02398.00] 我投入成本我才能拿到钱
[02398.00-02399.96] 我拿到那个钱可不叫盛余价值
[02399.96-02402.28] 资本家认为他拿到那个钱叫做什么呢
[02402.28-02403.76] 就叫做立正
[02403.76-02405.20] 所以大家注意一下
[02405.20-02407.60] 我们所说的这个盛余价值
[02408.76-02410.56] 我们所说的这个盛余价值
[02410.56-02413.80] 他其实是等同一资本家口中的立认
[02413.80-02415.96] 只过他是从不同的角度来看的
[02415.96-02417.44] 从马斯的角度来看
[02417.44-02419.80] 这个盛余价值的数值就是哀目
[02419.80-02421.08] 而在资本家当中
[02421.08-02422.20] 这个数值就是闭
[02422.20-02424.20] 就是用不同的这么来表示
[02424.20-02425.84] iM and P.C.相用的
[02425.84-02427.28] 9.0例子来说
[02427.28-02429.28] 如果现在还是我
[02429.28-02431.76] 买小名一天跟我不干八个小时
[02431.76-02433.28] 然后一天给100块钱
[02433.28-02434.64] 但是小名一天的客位给我
[02434.64-02436.56] 创造出来一千块钱的价值
[02436.56-02437.88] 那对于资本家来说
[02437.88-02438.52] 资本家说
[02438.52-02440.28] 说为什么要给小名开钱
[02440.28-02441.08] 资本家就说
[02441.08-02442.84] 虽有付出了成本
[02442.84-02443.92] 所以资本家就说
[02443.92-02445.76] 这一千块钱是他卖的
[02445.76-02446.96] 我给他的成本
[02446.96-02447.92] 是这些
[02447.92-02448.52] 对吧
[02448.52-02450.32] 那这有时候这900块钱是我的
[02450.32-02450.96] 利润
[02450.96-02452.20] 但是对于马斯来说
[02452.20-02453.20] 马斯说什么呢
[02453.20-02454.60] 麻素说不是这样的
[02454.60-02456.60] 麻素认为这一千块钱
[02456.60-02458.76] 全部都是工人创造的
[02458.76-02460.60] 而这一千块钱
[02460.60-02464.04] 我们所说的原本跑掉这个资本之后
[02464.04-02465.72] 我们所说的这一千块钱
[02465.72-02467.32] 全部都是工人创造的
[02467.32-02468.72] 工人跑去自己的公司
[02468.72-02469.96] 剩下的这九百块钱
[02469.96-02472.32] 是被你资本家百百波学的
[02472.32-02473.12] 他叫做什么呢
[02473.12-02474.20] 他叫做剩余下纸
[02474.20-02476.56] 所以你看李外里就是多拿了多少钱
[02476.56-02477.48] 多拿了九百
[02477.48-02480.56] 只过这九百在资本家眼中到叫做立论
[02480.56-02482.84] 在马斯眼中叫做剩余下纸
[02482.84-02486.32] 从不同的角度 其实马斯更能接示这个事务的本质
[02486.32-02487.64] 原因就在什么呢
[02487.64-02491.88] 就在于如果我单纯的从马斯的角度去看
[02491.88-02495.00] 说所有的这一千块钱都是工人创造的话
[02495.00-02497.20] 那这900块钱就是生余价值
[02497.20-02498.96] 这个生余价值比上
[02498.96-02500.88] 它给你看的这100块钱的工资
[02500.88-02503.00] 就能够看到你被薄血的程度
[02503.00-02504.00] 所以这种情况之下
[02504.00-02506.40] 如果用马斯的MP来看的话
[02506.40-02508.24] 就是900比上100
[02508.24-02510.96] 你相当于被薄薄血了9%这种情况
[02510.96-02511.44] 对吧
[02511.44-02512.72] 但从资本家来看的话
[02512.72-02514.26] 资本家就会去给资一粉事
[02514.26-02515.02] 这么说
[02515.02-02515.54] 你看
[02515.54-02516.04] 我呢
[02516.04-02516.82] 他给我干
[02516.82-02518.60] 他给我创造出来了一千块钱的价值
[02518.60-02519.12] 对吧
[02519.12-02521.30] 我确确实实在这个过程当中
[02521.30-02522.96] 固他用了100块钱
[02522.96-02524.50] 然后我的利认识9块
[02524.50-02527.30] 但是你要考虑了我前进还有其他的投入
[02527.30-02529.10] 土地机机场都是我的吧
[02529.10-02530.38] 这都是我自己的房子
[02530.38-02531.40] 我没有给的算成本
[02531.40-02533.46] 资本家就会把这个存本去给他
[02533.46-02534.22] 算进去
[02534.22-02536.78] 得出来的利认率一定是非常小的
[02536.78-02538.58] 因为利认利的计算就等于
[02538.58-02540.12] P-P-Dongy 什么呢?
[02540.12-02541.52] 就等于我们所说的
[02541.52-02543.26] iM-M 就是我们所说的
[02543.76-02544.72] P 就是利润
[02544.72-02546.52] 就等于m比上c加薇
[02546.52-02547.54] 它就是在这里面
[02547.54-02549.32] 它把它前期的固定资本
[02549.32-02551.64] 它自己所用的东西都加进去了
[02551.64-02553.30] 那你看一下导致的结果就什么
[02553.30-02556.50] 就是P-P 它一定会小于m-P
[02556.50-02558.54] 也就是在这里面它给自己粉试了
[02558.54-02561.62] 它说我可没有像你们说的对它不学的那么严重
[02561.62-02563.54] 但是在马斯看来这种话能性
[02563.54-02564.44] 不能性
[02564.44-02565.96] 所以在这里面大家要知道
[02565.96-02566.88] 什么叫做
[02566.88-02569.36] 例論什麼叫做勝於價值
[02569.36-02570.64] 在數量上
[02570.64-02572.68] 或者在這個看的數上
[02572.68-02575.00] 我們所說的勝於價值和例論是
[02575.00-02576.04] 以一個數
[02576.04-02577.12] 但是如果
[02577.12-02578.52] 泡開這個來看的話
[02579.32-02581.16] 哪一個更能處理到本質
[02581.16-02583.04] 是勝於價值更能處理到本質
[02583.04-02584.28] 所以在這裡面大家注意
[02584.28-02585.40] 這從考點在什麼呢
[02585.40-02586.60] 第一個大家要知道
[02586.60-02588.68] 我們所說的勝於價值率怎麼算
[02588.96-02590.40] 這個點大家要注意
[02590.40-02592.48] 以前的所謂的酸烤的頻率不多
[02592.48-02593.40] 但是我記得應該是
[02593.40-02595.04] 在山東教招的時候考過
[02595.04-02596.96] 考售一价值率怎么算
[02596.96-02598.80] 售一价值率等于MBA
[02598.80-02601.00] MBA你就在提案当中去找到
[02601.00-02603.40] 第一个利润或售一价值是多少
[02603.40-02605.40] 第二个给工人开了多少钱的工资
[02605.40-02606.80] 这个就是MBA
[02606.80-02608.08] 但他有的时候不给
[02608.08-02609.24] 你说老师他有时候不给
[02609.24-02611.76] 那个给工人开了工资和他的售一价值怎么办
[02611.76-02613.12] 那这种情况下你就去
[02613.12-02614.24] 有利润有工资
[02614.24-02617.88] 就是售一价值率等于售一劳动时间
[02619.12-02621.68] 售一劳动时间
[02621.68-02623.28] 比上必要劳动时间
[02625.04-02629.04] 比上必要劳动时间
[02629.04-02631.04] 因为我们刚才说了
[02631.04-02633.04] 生育劳动时间就是给他摆干的
[02633.04-02634.04] 创造出来的那部分
[02634.04-02635.04] 对吧
[02635.04-02636.04] 而必要劳动时间就是公资
[02636.04-02638.04] 公资就属于他的成本
[02638.04-02639.04] 所以在这里面
[02639.04-02640.04] 就是安撇
[02640.04-02643.04] 他等于MVV或者是生育劳动时间
[02643.04-02644.04] 比较必要劳动时间
[02644.04-02646.04] 只是第一个小达去掌握的
[02646.04-02647.04] 第二个在这里同一名叫
[02647.04-02648.04] 直到
[02648.04-02650.04] 马斯给资本家给资一洗白
[02650.04-02651.04] 他提到了一个概念叫做
[02651.04-02652.04] 利盐率
[02652.04-02653.04] 大家要直到
[02653.04-02655.44] 盛御佳值立和利盛率大小之间的关系
[02655.44-02657.04] 你就知道对于自本家来说
[02657.04-02661.24] 他认为他的这些东西是所有成本投入之后的结果
[02661.24-02665.04] 那这有时候他的下面成本即算的时候就是C加维了
[02665.04-02667.64] 但马斯认为说那些东西本来就是你所有的
[02667.64-02669.24] 你不能理到寄到成本里
[02669.24-02672.04] 你的这些额外的这个收入都是公众给你创造的
[02672.04-02674.52] 所以在马斯这边在我们所说的这个
[02674.52-02676.84] 衡量上就只有M,没有C
[02676.84-02680.24] 所以大家注意一下 这是盛御佳值立在这
[02680.24-02681.32] 但是要明確
[02681.32-02682.72] 所以在這就有了
[02682.72-02684.52] 盛余佳之綠的內容
[02684.52-02687.24] 說到這其實我們就把整個盛余佳之綠
[02687.24-02688.24] 給大家說完了
[02688.24-02691.48] 咱把盛余佳之綠給大家理一理
[02691.48-02692.64] 咱們剛才說了
[02692.64-02693.56] 說是什麼呢
[02693.56-02697.48] 盛余佳之綠是在生產過程當中產生的
[02697.48-02699.48] 在生產過程當中
[02699.48-02702.32] 它有我們所說的是兩個方面的統一
[02702.32-02703.88] 一個是勞動過程
[02703.88-02705.40] 這是單純的給我雜擊牌
[02705.40-02706.48] 生產機牌的過程
[02706.48-02708.52] 而在生產機牌的過程當中
[02708.52-02711.56] 又有什么又有价值增值的过程
[02711.56-02713.12] 为什么会有价值增值
[02713.12-02714.60] 因为他给我摆干活了
[02714.60-02717.04] 他给我一天干的活可以分成两个部分
[02717.04-02719.48] 一个部分是老动时间
[02719.48-02720.44] 不能叫老动时间
[02720.44-02722.04] 一个部分叫庙老动时间
[02724.32-02726.44] 一个部分叫庙老动时间
[02726.44-02729.88] 这个叫庙老动时间就是创造他的价值
[02729.88-02731.08] 拿到他的公子
[02731.08-02732.56] 那还有一部分就是他拿了公子
[02732.56-02733.76] 不能跑他的过干
[02733.76-02736.60] 所以他生意给我摆干的这个叫做胜与
[02736.60-02738.24] 老动时间
[02738.24-02741.64] 而生育勞动时间内干的活着叫做圣语勞动
[02741.64-02742.14] 对不对
[02742.14-02744.60] 所以从这时候开始思路就有了
[02744.60-02746.64] 那生育勞动创造什么
[02746.64-02749.64] 生育勞动创造圣语价值
[02753.24-02755.74] 圣语勞动创造圣语价值
[02755.74-02756.74] 所以在这里我们说了
[02756.74-02759.34] 圣语勞动是圣语价值的原浅
[02759.34-02760.64] 那问题就是在于
[02760.64-02763.64] 自本家从我身上播夺了圣语价值之后
[02763.64-02766.14] 他能够把这部分钱拿过去拿去干满呢
[02766.14-02768.70] 去自本家拿到这个盛余价值它有两种用法
[02768.70-02771.38] 第一种用法就是它把这个钱拿出去
[02771.38-02772.94] 花天酒地湖吹海塞
[02772.94-02775.74] 这种情况之下它把钱都用来想乐了
[02775.74-02779.02] 它的工程就在原有的规模上再继续生产
[02779.02-02782.14] 我们把这种称度为叫简单的生产
[02782.14-02784.06] 还有一种就是自本家偷微聪明
[02784.06-02786.62] 自本家从我身上博旋来了盛余价值之后
[02786.62-02789.58] 它就把从我身上博旋来的钱
[02789.58-02792.26] 进一步买新的机器场方投入到市场上
[02792.26-02793.98] 让我再去帮它生产
[02793.98-02799.18] 那这种情况之下你看他把这个钱再一次投入到了生产当中去
[02799.18-02802.18] 是不是就是买了更多的机场房
[02802.18-02804.48] 对我的过学就更严重了
[02804.48-02808.58] 那他买了更多的机场房就意味着他的工厂的生产规模就怎么样
[02808.58-02809.38] 扩大了
[02809.38-02814.18] 所以在这里面这部分生育价值就用于了叫做扩大再生产
[02814.18-02815.78] 那这里面我们就说了
[02815.78-02817.98] 那资本基礎是啥呢?资本基礎
[02817.98-02819.58] 其实就是我们刚才所说的
[02819.58-02821.98] 他这部分生育价值要么用来去玩
[02821.98-02825.44] 要不用来就是买东西在生产
[02827.14-02828.38] 买东西在生产
[02828.38-02830.50] 那买东西在生产就是一个什么
[02830.50-02831.84] 扩大它生产规模的过程
[02831.84-02834.20] 叫做扩大在生产的过程
[02835.98-02837.48] 扩大在生产的过程
[02837.48-02838.82] 而在这个地方
[02838.82-02839.62] 我们所说的
[02839.62-02842.82] 我们所给到的扩大在生产
[02842.82-02843.60] 在这个地方
[02843.60-02844.82] 它的前几就是要把
[02844.82-02846.92] 它前一路人的生余价值
[02846.92-02848.34] 变成东西
[02848.34-02849.82] 再投入到生产当中去
[02849.82-02851.18] 所以生余价值
[02851.18-02852.60] 買東西在生產
[02852.60-02853.96] 其實就是一個什麼過程
[02853.96-02856.22] 其實就是一個資本機類的過程
[02858.82-02859.74] 資本機類的過程
[02859.74-02861.02] 所以書上有一句話很重要
[02861.02-02861.62] 給他畫出來
[02861.62-02863.14] 你看 書上再說的
[02863.14-02863.98] 上說
[02863.98-02866.94] 說資本機類是把勝於價值轉化為資本
[02866.94-02868.14] 就是什麼要把勝於價值
[02868.14-02869.10] 就是從你身上
[02869.10-02870.38] 剝旋來的這個錢
[02870.38-02872.94] 再一次買了機器廠房原材料
[02872.94-02874.30] 再一次買了勞動力
[02874.30-02875.90] 再用來去剝旋勞動力
[02875.90-02876.98] 這是不是就叫做什麼
[02876.98-02878.02] 資本機類的過程
[02878.02-02879.34] 所以在這裡面你看
[02879.34-02881.42] 賣東西在生產或買人在生產
[02881.42-02884.30] 這個過程我們把它稱為叫擴大在生產
[02884.30-02885.82] 而這個擴大在生產
[02885.82-02887.86] 它其實就是把你轉來的錢
[02887.86-02890.18] 在轉放一資本投入的一個過程
[02890.18-02891.62] 所以我們在這裡才說了
[02891.62-02893.98] 叫生魚價值是資本激烈的圓圈
[02893.98-02895.14] 圓音就是在於
[02895.14-02896.50] 你有了生魚價值之後
[02896.50-02899.86] 你才能買東西買人去進行在生產吧
[02899.86-02902.62] 所以你買東西在生產的過程去叫做什麼
[02902.62-02903.38] 資本激烈
[02903.38-02906.70] 所以生魚價值是資本激烈的圓圈
[02906.70-02908.10] 這句話非常重要
[02908.10-02909.10] 第二個圓圈了
[02909.10-02912.94] 叫勝於價值是資本基勒的原權
[02913.96-02915.66] 那你看有了資本基勒之後
[02915.66-02917.30] 你看你的規模對吧
[02917.30-02919.00] 你是把你這個錢原源不大
[02919.00-02920.62] 不斷的再去買新的人
[02920.62-02922.80] 新的材料新的土地投稿生產
[02922.80-02924.84] 你的生產規模是會越來越大
[02924.84-02926.20] 所以資本基勒是什麼
[02926.20-02928.80] 資本基勒是擴大在生產的原權
[02928.80-02930.50] 它其實是一環扣一環的
[02930.50-02932.40] 就是你買了更多的人財務
[02932.40-02934.44] 你的生產規模就會變得越來越大
[02934.44-02938.20] 所以在這裡面叫資本基勒是擴大在生產的原權
[02938.20-02941.92] 所以同时们原权有几个呢三个一层一层玻璃下来
[02942.16-02945.52] 生于老动是生于价值的圆权
[02945.52-02947.20] 你白点的干活它摆条了
[02947.20-02950.12] 这种情况之下是不是创造了更多的生意价值
[02950.12-02952.32] 所以生意老动是生于价值的圆权
[02952.32-02953.68] 而生于价值
[02953.68-02956.12] 你把这个生意价值没有用去玩
[02956.12-02957.40] 而是用来买东西了
[02957.40-02960.00] 那这个时候就要做生意价值的资本化
[02960.00-02961.92] 生意价值的资本化就叫什么
[02961.92-02962.76] 资本级累
[02962.76-02966.04] 所以在这里说了生意价值是资本级累的圆权
[02966.04-02967.44] 而你買東西
[02967.44-02969.88] 你這有時候的生產規模就會不斷的變大
[02969.88-02971.80] 所以這種情況之下就出現了什麼
[02971.80-02973.08] 擴大在生產
[02973.08-02975.08] 所以說資本基礎是什麼的圓權
[02975.08-02976.88] 是擴大在生產的圓權
[02976.88-02977.88] 這個能理解吧
[02977.88-02979.48] 就是它是一條主線
[02979.48-02980.40] 我們剛剛講了嗎
[02980.40-02981.40] 不是一條主線
[02981.40-02982.56] 那這條主線就是它
[02983.56-02985.68] 大家要把這個思路去旅圈清楚
[02985.68-02987.68] 只是你買了更多的機場房
[02987.68-02988.56] 你只有裡面
[02988.56-02990.32] 你的生產規模就會擴大了
[02990.32-02991.68] 問題就是在於
[02991.68-02993.36] 我們所說的擴大在生產
[02993.36-02995.36] 你要把你的錢去買機器
[02996.04-02997.64] 对吧 买原材料
[02999.32-03002.88] 你还要拿你这个机器再去买新的买什么呢 买工人
[03002.88-03005.40] 对吧 因为你要扩大干生产与的人财务
[03005.40-03007.24] 说同时间都要规模变大
[03007.24-03008.40] 所以要还去买工人
[03008.40-03009.72] 但是问题就在于
[03009.72-03012.76] 你想要在扩大干生产当中赚更多的钱
[03012.76-03014.68] 你是买更多的机器合适呢
[03014.68-03016.48] 还是买更多的人合适呢
[03017.12-03018.72] 那大部分的反应就是同一个说
[03018.72-03020.36] 是我觉得买更多的机器合适
[03020.36-03020.88] 为什么
[03020.88-03022.40] 因为机器干活不会累
[03022.40-03024.28] 而人干活会怎么样 会累
[03024.28-03026.08] 那在这里面就摄一道理一个问题
[03026.08-03028.88] 就是你卖多少机器和理买多少人合理
[03028.88-03031.44] 它是不是摄一道人和机器的一个比例问题
[03031.44-03034.00] 那人和机器的比例问题就是什么问题呢
[03034.00-03037.08] 这时候后面我们要讲的叫资本的有机构成
[03037.08-03039.84] 所以在这我把这个扩大再生产再化一个
[03039.84-03041.96] 但是就是这条现实这样的
[03041.96-03045.52] 就是我们所说的卖机器多少买人多少
[03045.52-03047.84] 它的比例怎么去确定如何合适呢
[03047.84-03050.84] 那这里面就会摄一道我们所说的资本的有机构成
[03050.84-03053.84] 我们就来看一下下一个概念
[03053.84-03055.84] 就是设得到比例配比的问题
[03055.84-03056.84] 自本的有机构成
[03056.84-03058.84] 那什么叫自本的有机构成
[03058.84-03059.84] 我们刚才讲了
[03059.84-03061.84] 说在商场过程当中
[03061.84-03063.84] 我们可把自本画文不便自本
[03063.84-03066.84] 原材料和可便自本就是公人
[03066.84-03069.84] 这里面他们两个之间的配比
[03069.84-03070.84] 会引发出两个概念
[03070.84-03072.84] 第一个就是叫自本的基础构成
[03072.84-03073.84] 什么叫基础构成
[03073.84-03077.84] 它说是商场自料和劳动力之间的数量比例关系
[03077.84-03080.78] 子料和勞动力之间的数量比例关系
[03080.78-03082.10] 比如说在这里面
[03082.10-03083.10] 一个工厂里面
[03083.10-03084.64] 它有二十台机器
[03086.64-03090.64] 同时在这工厂当中还有100米的电缘
[03092.34-03092.90] 对吧
[03092.90-03095.14] 同时在这里面还有二十个工人
[03095.14-03095.96] 你看
[03095.96-03097.24] 在这个过程当中
[03097.24-03098.44] 生产子料是什么
[03098.44-03099.94] 生产子料是这个部分吧
[03099.94-03100.94] 勞动力是什么
[03100.94-03102.24] 勞动力是这二十个人
[03102.24-03105.88] 生产子料和勞动力之间的数量比例关系
[03105.88-03106.84] 就叫做什么
[03106.84-03109.40] 數量比例關係就叫做技術構成
[03109.40-03110.08] 明白了吧
[03110.08-03110.52] 你看
[03110.52-03111.84] 二十台機器100米
[03111.84-03112.44] 二十個人
[03112.44-03114.20] 他們之間的數量比例關係
[03114.20-03116.04] 就叫做技術構成
[03116.04-03117.08] 就叫技術構成
[03117.08-03119.76] 所以大家知道技術構成是數量比
[03119.76-03120.60] 就可以了
[03120.60-03123.64] 是生產資料和勞動力的數量比
[03123.64-03126.04] 但是單純的去比數量有一個問題
[03126.04-03126.72] 什麼問題呢
[03126.72-03128.68] 就是它不太好
[03128.68-03129.72] 統一單位
[03129.72-03130.32] 什麼叫不太好
[03130.32-03130.76] 統一單位
[03130.76-03133.76] 比如說二十台機器和100米的電攔
[03133.76-03135.64] 你說和這二十個人去配比的時候
[03135.64-03136.48] 它怎麼去配比呢
[03136.48-03137.80] 它说不太好配比
[03137.80-03138.84] 所以在这里面
[03138.84-03141.36] 上升争赶字料它的单位没有办法统一
[03141.36-03142.28] 所以它在计算的时候
[03142.28-03144.16] 比较麻烦的分别去计算
[03144.16-03145.76] 所以在这里面大家就想
[03145.76-03147.08] 我能不能说
[03147.08-03149.00] 不是只单纯的看数量
[03149.00-03150.56] 对吧因为数量没有办法统一
[03150.56-03151.60] 我可不可以说
[03151.60-03153.80] 在这手机看一看它的钱
[03153.80-03155.60] 对吧因为数量不太好统一
[03155.60-03158.32] 它的机梁单位不太好统一
[03158.32-03160.72] 我就看钱在看钱一不要好统一了
[03160.72-03162.28] 所以它在技术过程的旧物上
[03162.28-03164.36] 提到另外一个点就要做价值购成
[03164.36-03165.96] 说从价值形式上
[03165.96-03168.48] 不便資本和可便資本的價值值比
[03168.48-03170.04] 也是剛才我們所說的
[03170.04-03171.52] 在那個工廠當中
[03171.52-03172.92] 有20台機器
[03172.92-03175.68] 100米的電攬和20個工人
[03175.68-03177.00] 對吧20個工人
[03177.00-03178.88] 那20台機器一台以外
[03178.88-03180.32] 那就是20萬
[03180.32-03182.32] 那100米電攬一米50
[03182.32-03183.20] 那這時候呢
[03183.20-03184.16] 別50了太少了
[03184.16-03185.52] 一米呢就是500
[03185.52-03187.24] 那100米就是5萬
[03187.24-03188.28] 那我供用工人
[03188.28-03190.00] 一個工人優越給他發一萬塊錢
[03190.00-03190.96] 那這時候就是什麼
[03190.96-03192.20] 就是20萬
[03192.20-03193.92] 那這裡面我們就會發現
[03193.92-03197.30] 我们就完全可以把原本的单纯的数量比
[03197.30-03199.30] 转化成它的什么它的钱的比
[03199.30-03201.30] 所以在这里面什么叫价值购成
[03201.30-03202.86] 价值购成就是我们所说的
[03202.86-03205.90] 不便资本的价值比上可便资本的价值
[03207.18-03214.04] 不便资本的价值比上可便资本的价值
[03217.04-03218.50] 比上可便资本的价值
[03218.50-03220.74] 这个就叫做我们所说的价值购成
[03220.74-03224.58] 放在这里面就是20加5比上20
[03224.58-03226.54] 你看就是25比20倍
[03226.54-03228.10] 这个就是它的什么构尚
[03228.10-03229.26] 它的技术构尘
[03229.26-03230.82] 技术构尘也有问题
[03230.82-03232.10] 也有一些不足
[03232.10-03236.34] 你只能单纯的从数值上
[03236.34-03238.34] 仅仅从数值的结果来看
[03238.34-03240.06] 你只能看的钱的构尘
[03240.06-03241.82] 但你看不到具体内容的构尘
[03241.82-03243.26] 如果你不看数值
[03243.26-03244.78] 你只看数量比例关系
[03244.78-03246.50] 这时候对于你画多少钱
[03246.50-03247.66] 你心里有没有数
[03247.66-03248.82] 所以在这里面
[03248.82-03250.34] 技术构尘和价值构尘
[03250.34-03252.90] 它其实都是相对来说有一点
[03252.90-03254.68] 我们所说的缺失的
[03254.68-03256.48] 于是我们就记不提出了说
[03256.48-03258.92] 能不能把技术购成和架子购成和在一起
[03258.92-03260.32] 就是在一个公式里面
[03260.32-03262.12] 技能看到它的数量变化
[03262.12-03263.66] 也能看到它的架子变化呢
[03263.66-03264.16] OK
[03264.16-03265.18] 这个就要什么
[03265.18-03267.24] 就要做资本的有机购成
[03267.24-03268.78] 什么叫资本有机购成呢
[03268.78-03272.88] 它说资本有机购成是由技术购成绝定
[03272.88-03276.20] 反应技术购成变化的架子购成
[03276.20-03279.26] 就叫做什么叫做资本的有机购成
[03279.26-03281.26] 叫做基礎購城決定
[03283.26-03285.26] 基礎購城決定
[03286.26-03289.26] 反應基礎購城變化的
[03291.26-03297.26] 反應基礎購城變化的價值購城
[03299.26-03300.76] 若老是這是什麼意思呢?
[03300.76-03302.76] 比如說還是剛才的那個例子
[03302.76-03304.26] 資本的有基礎購城
[03304.26-03305.26] 它其實強調的是什麼?
[03305.26-03306.26] 它是強調的是這樣的
[03306.26-03311.02] 比如说刚才我们假设我们把刚才那个模型解说
[03311.02-03312.90] 我现在就是二十台机器
[03315.02-03318.18] 然后在这个情况之下就是二十个工人
[03320.06-03323.62] 那什么叫做技术购成决定反剧主购成变化的价格购成
[03323.62-03327.22] 这在这里面我们刚才的那个点或者刚才那个公司
[03327.22-03330.34] 它完全可以变成什么比如说二十台机器一台机器是多少钱
[03330.34-03331.26] 一万块钱
[03331.26-03333.70] 二十个工人一个工人的工资是一万
[03333.70-03334.98] 那在这里面你看
[03334.98-03338.82] 如果刚才单纯的是价值购成的话就是20成也
[03338.82-03339.58] 一
[03339.58-03343.68] 这是我们所说的对吧比上20成也一个工人一万
[03343.68-03345.54] 这是从价值购成上来看
[03345.54-03348.04] 那现在我们所说的有机购成什么
[03348.04-03349.82] 它机要反应数量变化
[03349.82-03350.86] 记住过什么变化
[03350.86-03352.22] 要反应价值购成
[03352.22-03357.52] 对吧那这里面就会变成20比上20成上
[03357.52-03358.92] 一比上一
[03358.92-03360.82] 那你看20比上20
[03360.82-03363.14] 是吧20台机器和20个工人
[03363.14-03365.96] 那这个就是我们所说的什么数量比吧
[03365.96-03368.00] 那这个数量比就是什么购成
[03368.00-03371.08] 这个数量比就是我们所说的
[03371.08-03373.64] 大主意下就是我们所说的技术购成
[03373.64-03376.96] 所以你看有机购成是技术购成变化
[03376.96-03378.24] 这是数量比变化
[03378.24-03379.78] 那说老实这个一比一是什么
[03379.78-03381.82] 这个一比一就是价格之比了
[03381.82-03383.12] 它没有实际的行业
[03383.12-03384.64] 就是价格之比
[03384.64-03385.92] 所以在这里面你看
