[00000.00-00002.88] 我們再來看一下第三個部分的內容
[02368.36-02370.36] 他周围也没有我们所说的
[02370.36-02371.36] 可以倒热的东西
[02371.36-02372.36] 你就是把他放在哪
[02372.36-02374.36] 它就會對外不斷處輻車的熱量
[02374.36-02376.18] 這個就叫做熱輻車
[02376.18-02378.44] 所以在這裡導熱方式
[02378.44-02380.44] 導熱方式在這個地方一方面
[02380.44-02383.28] 同時要知道它每一個點都有一個需要搭去
[02383.28-02384.44] 被送的細節
[02384.44-02386.68] 另外一個就是在熱輻車當中
[02386.68-02388.44] 或者是船岡和對流當中
[02388.44-02390.44] 會考察一些它的基本安力
[02390.44-02393.36] 在這個地方同時能夠給它去分清楚
[02394.00-02396.36] 這是我們所說的關於熱輻車
[02396.36-02399.08] 講完了前面所說的這個
[02399.08-02401.16] 對流也好 輻車也好 船岡也好
[02401.16-02402.16] 我想問一下
[02402.16-02404.16] 这他为什么这个温度会变化呢
[02404.16-02406.72] 就是因为分子内部也好
[02406.72-02408.32] 或者是空气分子也好
[02408.32-02410.28] 他在不断的进行运动
[02410.28-02411.56] 而且这些分子的运动
[02411.56-02413.36] 就会把热量原源不断的怎么样
[02413.36-02414.72] 就会传递出去
[02414.72-02417.16] 那这个就这就是我们所说的热的
[02417.16-02418.24] 他的一个传播
[02418.24-02419.52] 那既然在这里说了
[02419.52-02421.48] 分子他其实是不断出来运动的
[02421.48-02422.68] 那就要不提一
[02422.68-02424.12] 不得不提另外一个点
[02424.12-02427.24] 就是热力学当中的分子运动论
[02427.24-02429.04] 热力学当中的分子运动论
[02429.04-02429.88] 有三句话
[02429.88-02430.48] 低句话呢
[02430.48-02431.40] 就是它所提到的
[02431.40-02433.76] 所以一切物體都是由大分子過程的
[02433.76-02435.64] 分子之間是由建細的
[02435.64-02436.44] 這個大家都知道
[02436.44-02437.44] 對吧就是哪怕
[02437.44-02439.44] 大家看到現在先活的我
[02439.44-02441.72] 或者大家現在聽客所用到的手機
[02441.72-02442.56] 這手機
[02442.56-02444.24] 它如果從微觀上來看
[02444.24-02446.28] 它都是由分子之間的建細
[02446.28-02447.48] 它分子過程的
[02447.48-02449.20] 它其實之間都是由建細的
[02449.20-02450.24] 這個大家都知道對吧
[02450.24-02451.48] 這分子有建細
[02451.48-02452.88] 第二個點它說
[02452.88-02454.52] 說分子處在不停的
[02454.52-02455.68] 無規則的運動
[02455.68-02457.28] 大距離下把這句話話出來
[02457.28-02459.80] 所以東西它都是處在
[02459.80-02461.48] 或者所有構成15分子
[02461.48-02463.96] 它都處在無規則的運動當中
[02463.96-02464.68] 這句話呢
[02464.68-02467.84] 它其實就叫做分子的熱運動
[02467.84-02470.40] 這個地方經常會考察一個現象
[02470.40-02471.80] 或者是考察多個現象
[02471.80-02472.64] 什麼現象呢
[02472.64-02474.88] 比如說相器的擴散
[02477.60-02478.92] 為什麼在夏天的時候
[02478.92-02480.32] 一個特別漂亮的女孩子
[02480.32-02481.56] 聰明年走過之後
[02481.56-02482.96] 我就會聞到他身上
[02482.96-02485.64] 那種我們所說的清爽的香水的味道
[02485.64-02489.00] 那原因就是因為香水的分子擴散到了我這邊
[02489.00-02491.12] 为什么香水的分子扩散到我这边呢
[02491.12-02493.20] 根据分子热烈动原理来看
[02493.20-02496.12] 就是因为分子处在无规则的运动当中
[02496.12-02497.84] 又或者除了香水扩散之后
[02497.84-02499.84] 还有我们所说的墨水的扩散
[02499.84-02502.48] 一把我们所说的这一滴墨水
[02502.48-02503.72] 滴入到了水中
[02503.72-02505.52] 你会发现慢慢的整盆水都在了
[02505.52-02506.16] 都黑了
[02506.16-02507.20] 那没啥黑了呢
[02507.20-02509.24] 就是因为分子在不停的运动
[02509.24-02511.08] 所以相这样的案例比较多
[02511.08-02512.72] 那就需要我们在这个地方
[02512.72-02514.64] 掌握住它在这些案例用哪些
[02514.64-02516.64] 你只要看到有那种圣后效
[02516.64-02518.16] 有和圣透现象在
[02518.16-02519.96] 他都属于我们所说的
[02519.96-02521.56] 分子热运动
[02521.56-02522.76] 这是第一个点
[02522.76-02524.56] 第二个在分子热运动当中
[02524.56-02526.36] 还会考察另外一个点就是啥呢
[02526.36-02529.36] 大家想一下分子是处在不停的运动当中的
[02529.36-02532.36] 有的分子运动快有的分子运动的比较慢
[02532.36-02534.56] 如何让分子运动的快一点呢
[02534.56-02537.36] 我们可以把分子想象成一个用一个的小人
[02537.36-02538.76] 或者是先活的生命
[02538.76-02539.16] 对吧
[02539.16-02540.16] 这些都是分子
[02540.16-02541.36] 大家想看一下
[02541.36-02543.36] 如果把它比于成人的话
[02543.36-02545.04] 那人在什么样的情况之下
[02545.04-02546.36] 运动的效率会高
[02546.36-02548.60] 就是你吃饱了喝足了用能量的时候
[02548.60-02550.08] 你除了运动的效果才好啊
[02550.08-02552.72] 所以在这里同们注意也是一样的
[02552.72-02554.88] 想分子运动的速度变快
[02554.88-02557.32] 一定要给分子富裕能量
[02557.32-02559.28] 分子所获得的能量越多
[02559.28-02560.72] 太运动的就会越快
[02560.72-02563.20] 如果把这种能量变成热呢
[02563.20-02564.80] 那这种情况就是因为着
[02564.80-02567.36] 温度越高热运动越聚劣
[02567.36-02567.80] 劣版
[02567.80-02569.60] 席来旁边就是温度
[02570.60-02571.40] 越高
[02571.40-02576.32] 然后温度月高热运动越去铃
[02578.72-02585.44] 好 叫温度月高热运动越激烈
[02585.44-02588.40] 为什么因为温度就意味着它可能是能量
[02588.40-02590.68] 所以你给分子的能量越多
[02590.68-02592.60] 它说我不怕拉走的就越快
[02592.60-02595.12] 所以叫温度月高热运动越去铃
[02595.12-02597.16] 这个地方长考的案例是啥呢
[02597.16-02600.12] 同们知道这是我们在吵猜的时候
[02601.40-02604.44] 还有煎菜的时候,是不是都会放炎呢?
[02604.44-02608.76] 炒菜和煎菜放炎,放炎的时间长得不一样
[02608.76-02611.40] 炒菜的时候,你再出国前放炎
[02614.04-02616.28] 菜马上都入味的时候就显了
[02616.28-02621.28] 如果煎菜的话,你是不是要煎菜煎多少时间,可能要煎个10天半个月
[02622.28-02627.60] 为什么在这里出现炒菜的这个炎,它发挥中的时间就短
[02627.60-02629.48] 而煎菜它的時間就長呢
[02629.48-02631.68] 原就是因為你在炒菜的時候
[02632.68-02635.00] 原就是在於我們在炒菜的時候
[02635.00-02635.84] 同樣會發現
[02635.84-02637.76] 炒菜的時候是溫度升高
[02637.76-02639.76] 溫度升高熱運動員距離
[02639.76-02642.08] 煎分子擴散的就越快
[02642.08-02644.52] 所以在炒菜的時候出過前方也就行了
[02644.52-02646.72] 但如果說是煎菜的話就不行了
[02646.72-02648.52] 煎菜的時候就是在長溫下
[02648.52-02650.12] 這種情況之下長溫
[02650.12-02653.64] 這個分子就是按照正常的這種情況運動的
[02653.64-02655.36] 它不會距離運動
[02655.36-02657.16] 那他眼扩散的就慢
[02657.16-02659.70] 所以他腌踩的时间就会比较吵
[02659.70-02661.44] 所以在分子热运动当中
[02661.44-02663.08] 经常会考察到这两个点
[02663.08-02664.76] 大主力下只是第二个点
[02664.76-02665.46] 第三个点
[02665.46-02668.00] 他说分子间存在的相互中的野利和赤里
[02668.00-02669.64] 这个简单看一下就行了
[02669.64-02671.08] 不做重连掌握
[02671.08-02672.20] 那这是第四个点
[02672.20-02673.80] 就要分子运动论
[02673.80-02675.84] 那说分子运动论在热力学当中
[02675.84-02678.28] 还有最后一个点就是热胶冷缩
[02678.28-02681.28] 热胶冷缩的大主力下考察两个角度
[02681.28-02683.60] 第一个考察热胶冷缩的现象
[02683.60-02687.44] 那给他努力的这些现象的大多能够有一个印象啊
[02687.44-02692.24] 当然了考试的时候不会说就一定会出咱们这几个努力的案例
[02692.24-02695.12] 但是这几个案例是生活当中最常见的啊
[02695.12-02696.88] 大家知道这是热张冷缩
[02696.88-02699.20] 第二个呢同没有掌握热张冷缩
[02699.20-02703.76] 它的一个原理就是为什么会出现热膨胀的这种情况
[02703.76-02707.04] 所以大家要注意一下出现了热张的原因
[02708.16-02710.32] 这是第二个角度需要大家去掌握了
[02710.32-02713.80] 第三一個就是我們要記一個反彭張元利
[02714.80-02718.48] 這是他和熱張冷縮是完全不同的
[02718.48-02720.68] 所以在這裡一共考察三個角度
[02720.68-02722.16] 咱們主意來看一下
[02722.16-02724.68] 首先第一個我們來搞定現象
[02724.68-02726.64] 他這個現象當中說下天
[02726.64-02728.48] 路面一會會蓬章起來的
[02728.48-02730.44] 所以我們在修路的時候會怎麼樣
[02730.44-02732.16] 會每一段路會留意的空氣
[02732.16-02734.12] 為什麼因為下天路面一旦
[02734.12-02735.92] 蓬章了之後你不留空氣的話
[02735.92-02737.92] 這個路面的時候就攻起來就攻射了
[02737.92-02739.44] 所以在這裡面大家注意一下
[02739.44-02741.74] 修路和流控器 熱上冷縮
[02741.74-02742.96] 第二一個就是
[02742.96-02744.24] 我們所說的這種
[02744.24-02745.58] 玻璃式的體文技
[02745.58-02746.56] 大家應該見過
[02746.56-02747.88] 就是這個樣子的
[02747.88-02749.94] 下面帶一個基礎逃
[02749.94-02750.70] 進入逃
[02750.70-02751.98] 上面有這種科度
[02751.98-02753.96] 像我們所說的這種體文技
[02753.96-02754.80] 大家要知道
[02754.80-02756.74] 我們體文上升的時候
[02756.74-02757.62] 只有館住
[02757.62-02758.78] 它就會受熱
[02758.78-02759.78] 然後就膨脹
[02759.78-02760.68] 溫度就會上升
[02760.68-02762.22] 我們就能看到它溫度是多少
[02762.22-02764.66] 所以像我們所說的這裡面的這個館
[02764.66-02765.42] 也是水鹽
[02765.42-02767.34] 它是熱招冷縮來兩體文的
[02767.34-02768.88] 所以這是我們所給到的
[02768.88-02778.46] 第2个,第3个,鸡铁铁的时候,大鸡会发现,鸡铁铁铁的时候,它会会把铁铁铁铁铁,不会,鸡铁铁铁铁铁会中间留一些封极的。
[02780.46-02794.22] 留一些封极,为啥会让这个电线下垂,原就是一道冬天,冷梳,这个电线一下就冁直了,如果女原本就是直的,那这就是电线就测端了,所以我们鸡铁铁铁铁铁铁有下垂,
[02794.22-02796.42] 包括我们所说的在学里主的机带
[02796.42-02798.26] 刚主出来的机段放手里泡一下
[02798.26-02799.06] 更好拔皮
[02799.06-02800.66] 这时候机带收索了
[02800.66-02802.70] 但轻和蛋壳分离了
[02802.70-02803.70] 是不是就更好
[02803.70-02804.86] 就更好播了
[02804.86-02807.26] 这我们所提到的这几个现象
[02807.26-02808.70] 当然这些现象非常多
[02808.70-02811.10] 比如说你给车打车的时候
[02811.10-02811.98] 尤其是下铁
[02811.98-02813.18] 你什么时候给车打车
[02814.18-02816.06] 你让我们就是下午的时候给车打车
[02816.06-02817.30] 你让我们就是给车打车打车
[02817.30-02818.10] 别打太慢
[02818.10-02818.86] 如果打太慢的话
[02818.86-02820.26] 都下午是不是爆太了
[02820.26-02821.34] 都是一个原理
[02821.34-02822.74] 这些现象
[02822.74-02823.74] 大家要掌握
[02823.74-02826.88] 那第二个呢就大家知道为什么会出现热胶冷梭呢
[02826.88-02828.88] 就是这个热胶到底是什么原因呢
[02829.28-02832.08] 热胶是事务什么体肌膨胶了
[02832.08-02833.74] 而不说事务本身变大了
[02833.74-02836.14] 事务本身体肌膨胶的原因在什么
[02836.14-02838.64] 虽然分子间的监剧变大了
[02841.36-02843.74] 虽然分子间的监剧变大了
[02843.74-02844.50] 而不是什么
[02844.50-02845.50] 而不是分子
[02845.50-02847.74] 购成这个事务的分子变大了
[02847.74-02849.38] 是分子间的监剧
[02849.38-02850.54] 当我们所说的
[02850.54-02852.22] 原本可能这个东西就这么大
[02852.22-02853.98] 这个分子是这样太不的
[02853.98-02854.22] 对吧
[02854.22-02855.42] 但如果一旦
[02856.14-02857.58] 我们所说的给他加热的话
[02857.58-02859.10] 那这个东西就会变这么大
[02859.10-02861.06] 那分子之间的距离可能就变成这样了
[02861.26-02862.46] 所以在这里面大住也
[02862.46-02865.10] 他经常会考试的时候考卫一个说法
[02865.10-02866.70] 说热帐冷縮的原因
[02866.70-02868.70] 是因为当了物体收热的时候
[02868.70-02869.90] 分子变大
[02870.14-02871.50] 分子没有办法变大
[02871.50-02873.66] 是分子兼得兼聚变大了
[02873.66-02875.18] 所以在这里面大住一下
[02875.18-02876.38] 这是热帐的原因
[02876.54-02877.30] 那第三个呢
[02877.30-02878.46] 就是是不是所有的事物
[02878.46-02880.26] 他都是最绝热帐冷縮的呢
[02880.26-02882.02] 不是他一个反彭帐的原理
[02882.02-02884.70] 就是0-40度的水
[02885.20-02886.94] 0-40度的水
[02886.94-02888.14] 我们会发现如果
[02888.14-02890.28] 你给它降低温度的话
[02890.28-02893.22] 这个时候冷缩正常就应该冷缩吧
[02893.22-02894.82] 但是这个水反而变成了
[02894.82-02895.98] 冰是不是体制更大了
[02895.98-02897.38] 所以在这里面大家注意下
[02897.38-02899.18] 它其实是反膨胀的
[02899.18-02900.38] 所以在这种情况之下
[02900.38-02902.26] 同时能注意下这几个点
[02902.26-02904.42] 0-40度的水变成冰
[02904.42-02906.18] 这几个点都有靠尝过
[02906.18-02907.98] 所以针对于热胶冷缩的现象
[02907.98-02909.02] 我们比较好搞定
[02909.02-02910.70] 反而是它膨胀的原因
[02910.70-02911.74] 和它的反膨胀
[02911.74-02913.54] 这个内容大家稍微注意一下
[02913.78-02916.62] 这就是我们所说的照 热张 冷缩
[02916.78-02919.14] 那就把热力学的内容全都给大家说完了
[02919.30-02922.46] 人第一个就是热力学当中会设计到舞台变化
[02922.46-02924.34] 我们主要找过不气
[02924.34-02926.10] 以及气叶转化就行了
[02926.10-02927.46] 我给大家画了一个图
[02927.46-02929.66] 甚至在那个图里面给大家去讲了
[02929.66-02931.70] 什么情况下 七热 什么情况下放热
[02931.70-02933.10] 大家注意一下 这是第一个
[02933.30-02936.30] 第二个呢 这是在这里 设计到西热和放热的问题
[02936.30-02939.90] 它这个热的传绩一定会遵选热力学定律
[02939.90-02941.38] 我们热力学一共三个定律
[02941.38-02944.46] 第一個,热力學第一定率叫做能量手橫定率
[02944.46-02945.98] 它考試的時候考轉化
[02945.98-02947.86] 我說了放在第四節去看
[02947.86-02951.42] 第二個就是它會提到热力學第3定率
[02951.42-02952.90] 在热力學第3定率說
[02952.90-02955.94] 大家稍微有點影響,不可能降到絕對領度
[02955.94-02957.30] 這是热力學定率
[02957.30-02960.18] 任何的舞台變化,热力的運動
[02960.18-02962.22] 它都要追學热力學定率
[02962.22-02964.46] 除了热力學定率之外
[02964.46-02966.46] 我們都說提到希勒和放熱
[02966.46-02968.70] 它就會必須提到導熱的方式
[02968.70-02971.02] 所以導熱的方式我們提到了熱傳導
[02971.02-02972.70] 熱隊流和熱腐色
[02972.70-02974.56] 我們在熱傳導的時候提到了
[02974.56-02977.58] 第一個它是熱量傳遞的過程
[02977.58-02980.50] 是從低音流向高溫流向低溫
[02980.50-02982.02] 第二個就是我們所說的
[02982.02-02984.70] 它一定是熱的涼島體
[02984.70-02985.94] 它才能傳導
[02985.94-02987.26] 如果它不是熱的涼島體
[02987.26-02987.82] 倒不了
[02987.82-02990.74] 第三個就是有關於熱水平當中的灌水
[02990.74-02992.66] 還有熱水平它的設計中
[02992.66-02994.10] 也是真空的一個原因
[02994.10-02995.18] 這是第一個
[02995.18-02996.02] 傳導
[02996.02-02997.26] 第二個就是對流
[02997.26-02998.82] 對流一定是流體
[02998.82-03001.26] 就有冷热的这种气体
[03001.26-03003.86] 它的热量的传地
[03003.86-03005.62] 这个热量的传地主要就是
[03005.62-03007.06] 我们所说的暖期骗
[03007.06-03009.70] 还有空调它如何让屋子变暖和的
[03009.70-03010.98] 还有热服涉
[03010.98-03012.86] 服涉不需要任何的戒指
[03012.86-03015.22] 只要它放在它就会对外服涉热
[03015.22-03018.02] 那热服涉它也会考察一个热水平
[03018.02-03019.22] 热水平当中
[03019.22-03020.82] 就会考察我们所说的
[03020.82-03022.46] 为什么它要给它度研人
[03022.46-03022.82] 对吧
[03022.82-03025.14] 所以这事提到的热传到
[03025.14-03026.50] 这是第三个点
[03026.50-03033.32] 认识到论的第四点,分子处在不停的运动当中,两个考点,第1个,分子无规则运动,考的是什么?
[03033.32-03034.38] 货散现象
[03035.04-03043.06] 第2个就是我们提到的,当温度越高认语计练,经常考生活现象我们给大家举的例子炒菜和煙菜
[03043.30-03050.38] 这是分子运动,分子运动它可能会到这热仗,隐缩,所以在热仗所当中,我们掌握第一个热仗所的现象
[03050.38-03051.98] 第二个反弄状的原理
[03051.98-03054.06] 第三个为什么会出现热胶
[03054.06-03055.22] 是因为分子
[03055.22-03056.58] 兼具变大
[03056.58-03058.38] 而不是分子自身变大
[03058.38-03060.14] 这次在热力写当中
[03060.14-03061.98] 需要我们去掌握的全部内容
