[00000.00-00004.34] 那講完了才能爭测以後我們再來一起看一下貨幣政策
[02391.96-02393.84] 把握住他的一个作用路径就行了
[02393.84-02395.72] 你说老师我背不下来你不要去背
[02395.72-02398.28] 你去分析你要知道他是什么孩子之后
[02398.28-02400.72] 你一步一步去分析就能分析走出来
[02400.72-02404.00] 你刚开始的时候你只认识接收这部分的内容
[02404.00-02405.32] 因为内容比较多嘛
[02405.32-02406.72] 你会相对来说会吃力一点
[02406.72-02409.04] 但是如果你喜欢了之后这一部分的内容
[02409.04-02410.72] 对他来说就不是难点了
[02410.72-02412.52] 所以要一步一步去分析
[02412.52-02414.80] 所以一步一步来千万不要着急
[02414.80-02417.52] 這是我們所說的叫一般政策工具
[02417.52-02418.94] 我們在貨幣政策當中
[02418.94-02420.08] 除了一般政策工具
[02420.08-02422.48] 之外還有一個叫做其他政策工具
[02422.48-02424.08] 其他政策工具在這裡面
[02424.08-02425.68] 他給到了叫做基準利率
[02425.68-02428.16] 你看什麼叫基準利率
[02428.16-02431.04] 他說基準利率是金融市場上
[02431.04-02433.04] 具有普遍參照作用的利率
[02433.04-02435.20] 其他利率水平或金融機構的價格
[02435.20-02437.28] 均可以根據這基準利率來確定
[02437.28-02438.40] 那所謂的基準利率
[02438.40-02441.76] 同意要知道它其實本質上是啥呢
[02441.76-02445.24] 现在旁边它就是商业严行的存带管理率
[02447.96-02451.12] 那这商业严行的存带管理率
[02453.92-02456.40] 我就解答写商严行的存带理率了
[02456.40-02461.08] 那就是我们常看到的商业严行它有存款利率
[02463.28-02465.60] 它有自己的带管理率
[02465.60-02466.84] 那我们就来看一下
[02466.84-02470.28] 如果商业行的存款利率和带管理率发生变化的话
[02470.28-02473.10] 他可能会产生什么样的影响
[02473.10-02477.00] 假设现在通面想商业行的存款利率增加了
[02477.00-02478.72] 如果商业行存款利率增加
[02478.72-02480.52] 以前年利率是22.1
[02480.52-02482.18] 我现在给你20%的20%也
[02482.18-02483.90] 那你愿意把钱存入也好
[02483.90-02485.74] 你只能愿意把钱存入也好
[02485.74-02488.26] 所以如果说存款利率增加的话
[02488.26-02489.22] 那这种情况之下
[02489.22-02492.80] 导致的结果就是更多的货币存入也好
[02492.80-02495.10] 如果货币存入也好的话
[02495.10-02497.92] 市场当中流通的货币量增加介绍了
[02497.92-02500.60] 前都进行上当中流通货币量
[02500.60-02502.04] 必然会減少
[02502.04-02504.80] 我用減号代表上当中流通的货币量減少
[02504.80-02506.88] 如果是贷款利率提高了
[02506.88-02508.08] 贷款贷款
[02508.08-02509.68] 是不是贷款消费
[02509.68-02511.12] 如果贷款利率提高了
[02511.12-02514.76] 原本我们所说的贷款利率是1%
[02514.76-02516.28] 也是借10块款一块
[02516.28-02519.76] 我现在贷款利率100%多少呢
[02519.76-02522.20] 现在假设贷款利率90%
[02522.20-02523.52] 现在贷款利率90%
[02523.52-02525.72] 就是借10块款9块
[02525.72-02527.48] 贷款利率一旦上升的话
[02527.48-02528.88] 你会会带款消费呢?
[02530.04-02530.68] 不会的
[02530.68-02532.32] 如果带款利率上升的话
[02532.32-02533.68] 你的带款消费
[02534.08-02535.48] 就会下降
[02535.48-02536.44] 带款消费下降
[02536.44-02538.08] 你就不会像银行怎么样
[02538.08-02540.56] 就不会像银行去带款消费了
[02540.56-02542.32] 那市场当中流通的货币就怎么样
[02542.32-02543.20] 你不带款了
[02543.20-02544.64] 就没有钱投放到银行
[02544.64-02545.72] 投放到市场了
[02545.92-02548.72] 所以这个时候市场当中流通的货币料也是怎么的
[02548.72-02550.00] 也是減少的
[02550.00-02552.36] 老规矩加号代表的是增加
[02552.36-02554.16] 減号代表的是減少
[02554.16-02555.24] 所以在这里面
[02555.24-02556.56] 它也会減少
[02556.56-02558.36] 所以在这我们能够发现
[02558.36-02560.52] 我们所提到的存款
[02560.52-02562.04] 利率和贷款利率
[02562.04-02563.48] 他们两个其实是什么
[02563.48-02567.40] 发生作用的机制和方向是相同的
[02567.40-02568.44] 所以在这里面
[02568.44-02570.48] 能分析清楚一个就行了
[02570.48-02571.92] 本质上结果的一样
[02571.92-02572.92] 结果的一样
[02572.92-02575.76] 知道这是我们所说的存贷款利率
[02575.76-02577.28] 也装作了基准利率
[02577.28-02579.92] 这里面搭出也除了在这儿明确
[02579.92-02581.92] 它的一个作用的机制和发回作用
[02581.92-02583.32] 能够分析出来之外
[02583.32-02586.20] 另外一个点烤的会比较难
[02586.20-02589.02] 大家注意一下,我们在这里其实能够看到
[02589.26-02595.16] 如果说存款利率是上升的,也就是利率升高,你看,它导致的结果是什么?
[02595.42-02599.00] 导致的结果是市场当中的貨并供应量增加来的渏少
[02599.26-02601.82] 市场当中的货并供应量是渐少的
[02602.06-02605.14] 也就是在这里面,大家注意一下,货并供应量
[02607.70-02610.52] 比现在旁边,这是货并供应量
[02610.52-02614.32] 與利率
[02614.32-02617.32] 同方向變動反方向變動
[02617.32-02621.12] 貨幼觀的利率是反向變動的
[02621.12-02625.88] 也就是如果說利率升高的話
[02625.88-02628.32] 市場當中的貨幼觀量會減少
[02628.32-02631.52] 如果反過來如果貨幼觀量增加
[02631.52-02633.32] 就意味著利率是怎麼樣
[02633.32-02634.84] 利率是降低的
[02634.84-02635.52] 明白了吧
[02635.52-02638.72] 如果利率降低的話導致的結果是什麼同學們
[02638.72-02643.32] 利率一旦降低,我们一般球的默认为是上一行的存在款利率或市场利率
[02643.32-02648.20] 对吧,那利率一旦降低的话,你觉得把钱存入到银行合不合适
[02648.20-02652.54] 利率一旦降低,你就觉得把钱存入银行不合适了
[02652.54-02658.42] 如果把钱存入银行不合适,你这时候钱干什么比较合适,你要么花掉,要么投资
[02658.42-02668.42] 明白了吧,所以在这里面一定要明确,这个点总考察什么,考察特别难的那种体,就有一种皮在进学上传到路进,就是类随这种
[02668.42-02671.66] 就是以下官员经济政策
[02671.66-02674.06] 他能产生的后续影响说法正确的是
[02674.06-02675.66] 给你 ABCD4的选项
[02675.66-02676.82] 然后有一个行为
[02676.82-02677.90] 然后导致了 B
[02677.90-02678.90] 然后导致了 C
[02678.90-02679.90] 然后导致了 D
[02679.90-02681.10] 然后导致了 E
[02681.10-02682.54] 然后这是 A选项
[02682.54-02683.54] 然后 B选项呢
[02683.54-02685.66] 就是什么 A导致了啥导致一下
[02685.66-02687.82] 就是他是有一个这样的传绕路径在了
[02687.82-02688.82] 人让你去分析
[02688.82-02691.06] 这个点就经常会出现在这个体力面
[02691.06-02692.38] 其他的导致好分析
[02692.38-02693.90] 因为同学们要搞不清
[02693.90-02695.50] 货币工人量和利率之间的关系
[02695.50-02696.86] 有个体就没有办法做了
[02696.86-02698.18] 所以在这里面大家注意啊
[02698.42-02699.70] 是这两个点
[02699.70-02700.78] 一定要明确
[02700.78-02703.10] 第一个点就知道存在款利率是什么
[02703.10-02704.70] 它怎么影响货币公园量的
[02704.70-02707.42] 第二个要知道货币公园量和利率是什么
[02707.42-02709.66] 反方向变动的关系
[02709.66-02711.50] 这个点一定要非常非常明确
[02711.50-02711.90] 好
[02711.90-02714.38] 在这里面我们就把整个货币政策的内容
[02714.38-02715.86] 就给大家讲完了
[02715.86-02717.78] 还有一个其他政策工具当中
[02717.78-02718.90] 可能还有一个会率
[02718.90-02720.34] 会率咱们在货币政策在这儿呢
[02720.34-02721.78] 不做重点讲解了
[02721.78-02723.90] 我们来看一下货币政策的应用吧
[02723.90-02725.14] 货币政策的应用
[02725.14-02726.82] 来看一下货币货币
[02726.82-02729.42] 那就要控制市場當中的貨幣供應量
[02729.42-02731.50] 那它的情況有兩種
[02731.50-02734.14] 第一種就是經濟消調或通過解說
[02734.14-02736.46] 通過解說市場當中的前多還是少
[02736.46-02739.30] 市場當中的貨幣也太少了
[02739.30-02740.62] 市場當中的貨幣少
[02740.62-02743.78] 你的目標是讓市場當中的貨幣變多
[02743.78-02744.74] 那你看一下
[02744.74-02747.18] 你想要讓市場當中貨幣變多怎麼辦
[02747.18-02749.42] 法定存款準備經濟上條下條
[02749.42-02752.10] 交給專業銀行的前變多變少變少
[02752.10-02753.82] 變少極下條
[02753.82-02756.38] 在貼線率是貼給莊銀行的預購率
[02756.38-02758.04] 預購預購口給誰
[02758.04-02759.08] 購給莊銀行
[02759.08-02760.22] 那這時候怎麼辦
[02760.22-02761.12] 也降低
[02761.12-02763.28] 那這時候買進還賣出的家中圈
[02763.28-02763.88] 從老實說
[02763.88-02766.36] 我沒有辦法馬上達出來分析
[02766.36-02767.88] 買金有家中圈
[02767.88-02771.24] 買東西把錢投放到市場當中圈
[02771.24-02772.62] 投放到市場
[02772.62-02774.12] 是不是就應對了通過解鎖
[02774.12-02776.36] 所以買金有家中圈
[02776.36-02778.52] 那這時候記者例論怎麼樣降低
[02778.52-02779.76] 同一位沒有看到
[02779.76-02781.46] 法定存款準的金銳
[02781.46-02784.62] 在貼線率 供開市場 以及記者力率
[02784.62-02785.98] 他們的方向是什麼
[02786.74-02788.74] 一致的 熱老師為什麼一致
[02788.74-02791.10] 原因很簡單 狀態很初台的貨幣政策
[02791.10-02793.70] 不可能自己打自己的臉 不可能自己要矛盾
[02793.70-02796.90] 也就是說 你只要分析清楚其中一個
[02796.90-02798.82] 其他的那個幾個率的變動
[02798.82-02801.62] 是同樣的方向去變動的
[02801.62-02802.34] 明白了吧
[02802.34-02804.50] 所以這是在這兒 死因被沒有用
[02804.50-02807.30] 所以我們把這種政策被撐著叫擴張的
[02807.30-02808.10] 投不政策
[02808.10-02809.90] 那如果是經濟過熱一樣啊
[02809.90-02813.30] 经济过热的话是市场当中流通的货币太多了太少了
[02813.30-02814.30] 货币太多了
[02814.30-02816.94] 那你的目标上货币渏少
[02816.94-02818.54] 那如果让货币渏少的话
[02818.54-02820.14] 那一般情况之下怎么办
[02820.14-02823.10] 货币渏少呢就是钱都流入了装益行
[02823.10-02824.74] 把这款准备经历提高
[02824.74-02826.30] 再贴限率也提高
[02826.30-02827.58] 存在款率率提高
[02827.58-02829.22] 买进卖出呢分析
[02829.22-02830.62] 如果是买进
[02830.62-02831.92] 买进是
[02831.92-02833.46] 把钱投到市场上
[02833.46-02834.98] 经济已经很热了不能再投
[02834.98-02835.50] 那怎么样
[02835.50-02836.26] 卖出
[02836.26-02837.30] 把钱收回来
[02837.30-02838.42] 那这种情况之下
[02838.42-02839.62] 卖出有加政权
[02839.62-02842.90] 同样我们把这种称的位叫做紧缩的或者是
[02843.16-02844.74] 销级的会比程测
[02845.00-02847.00] 和前面是一样的同样来看一下
[02847.24-02849.04] 当经济向下的时候
[02849.04-02851.70] 销条这种称测是向上的
[02851.90-02854.08] 当经济向上的时候过热的时候
[02854.22-02856.12] 我们时候这个称测是向下的
[02856.26-02860.10] 是不是反正我们把称反这来的条件在上一些刻称的为啥来
[02860.36-02861.88] 就做逆风向条件吧
[02865.74-02867.26] 就做逆风向条件
[02867.52-02869.06] 所以在这里面大家要注意一下
[02869.06-02870.70] 这是政策的应用
[02870.70-02872.58] 但政策的应用在这里面
[02872.58-02875.38] 我要给大家去做一个我们所说的考虑说明
[02877.58-02879.58] 我们在政策应用当中
[02879.58-02880.78] 大家一定要注意一下
[02880.78-02883.54] 最为尝好的就是它会问到我们
[02883.54-02885.98] 所以以下观就是给你一个案例
[02885.98-02887.46] 或者说现在处于经济过热
[02887.46-02888.94] 或现在处于经济紧缉说
[02888.94-02893.46] 下面有关于政策它的组合说法正确的是
[02893.46-02894.98] 如果经济过热的话
[02894.98-02895.94] 那你就要去分析
[02895.94-02897.86] 它事情什么样的材生政策
[02897.86-02900.06] 和实行什么样的货币政策
[02900.06-02902.78] 这种就是比较简单的这种考察方式
[02902.78-02904.34] 就是让你去看一下
[02904.34-02906.18] 谈运用什么样的谈政策合理
[02906.18-02908.06] 或什么样的政策组合合理
[02908.06-02909.34] 这种就是考的
[02909.34-02911.82] 我们所说的只有一种经济背景
[02911.82-02915.10] 就是经济过热或者经济过冷的情况之下
[02915.10-02916.06] 然后让我们去分析
[02916.06-02918.06] 就是有一种飙简单的这种考察
[02919.78-02921.78] 这种说你只要能够分析出来
[02921.78-02924.02] 它属于机极的货币政策
[02924.02-02925.86] 还是属于机极的谈政策
[02925.86-02927.66] 还是都要双机极就可以了
[02927.66-02928.94] 这种是比较简单的
[02928.94-02931.06] 就是只考察通过
[02931.06-02933.26] 紧缩或者是通货膨胀
[02933.26-02935.86] 这个时候应对通缩或通脏
[02935.86-02936.62] 我本来
[02936.62-02939.06] 放起来这就是应对通货
[02939.06-02941.90] 应对通缩
[02943.86-02946.06] 或者是通货膨胀
[02946.86-02949.58] 这种情况之下就是我们所说的什么
[02949.58-02951.02] 双级级级
[02951.02-02953.02] 或者是双线线
[02953.02-02960.02] 双基底就是即使基底的财政政策又是基底的货于政策
[02960.02-02963.02] 那如果双消几,就是应对通货膨胀
[02963.02-02969.02] 这就是要实施消几的财政政策,要实施消几的货于政策就是紧缩的意思
[02969.02-02972.02] 那如果他提案当中很明显给到说,通货解缩的通货膨胀
[02972.02-02976.02] 你这时候都选基底都也消几,是否太俩政策方向必须是一致的
[02976.02-02981.02] 但是他有一种比较复杂的考察方式,这种复杂的考察方式,他不是说难度有多大
[02981.02-02981.86] 有多大
[02981.86-02982.78] 而是在这个地方
[02982.78-02983.82] 它是要干嘛呢
[02983.82-02985.22] 不是因为通过通脏
[02985.22-02986.14] 而是应对什么呢
[02986.14-02987.62] 具体的经济问题
[02989.02-02989.54] 那它呢
[02989.54-02993.62] 其实更加特重在我们日常生活当中的一个应用
[02993.62-02996.42] 比如说它在提案当中给你设置的这个问题是什么呢
[02996.42-02997.86] 说现在经济啊
[02999.30-03000.46] 运行良好
[03001.18-03002.50] 人家说了运行良好
[03002.50-03003.42] 那你咋整啊
[03003.42-03004.10] 运行良好
[03004.10-03005.46] 既不是通认不是通缩
[03005.46-03006.82] 那这说用啥政策
[03006.82-03007.90] 它后没有跟你说了
[03007.90-03009.74] 它说现在经济运行良好
[03009.74-03013.14] 他說我現在想要做到的是如何第一方面
[03013.14-03016.38] 就是一方面要刺激消費
[03018.50-03020.46] 一方面刺激消費
[03020.46-03022.02] 一帶動經濟的增長
[03022.02-03025.86] 另外一方面還要保證經濟評論運行
[03028.30-03030.50] 他人家問的一方面
[03030.50-03032.94] 一另一方面還要保證經濟評論運行
[03032.94-03033.90] 這種情況之下
[03033.90-03036.66] 他說那一下ABCD四組幫助
[03036.66-03038.94] 哪一組政策是最為何事的
[03038.94-03040.72] 在这里面就分析一下
[03041.08-03042.98] A選項双基解
[03045.14-03046.26] 双基解不用我说了
[03046.26-03048.58] 极极的材料政策和基于的货并政策
[03048.58-03050.90] B選項在这里给到了
[03050.90-03053.42] 叫做基极的材料政策
[03053.42-03054.48] 我简单写了
[03054.48-03059.10] 叫基极的材料政策和销极的货并政策
[03059.82-03066.26] C選項叫基极的材料政策和文件的货并政策
[03067.66-03068.82] B4的選項
[03068.82-03075.86] 叫做消极的财政政策和我在边一个了
[03075.86-03078.26] 叫机极的货币政策
[03078.26-03079.90] 好吧 这些色选项来
[03079.90-03083.26] 同们在这抗清的我在这里给大家在标出来颜色
[03083.26-03085.14] 第一个双机极第二个
[03085.14-03087.14] 机极的财政策消极的货币政策
[03087.14-03089.90] 第三个机极的财政策文件的货币政策
[03089.90-03092.86] 第四个消极的财政策和机极的货币政策
[03092.86-03094.26] 同们看到这数就蒙了
[03094.26-03095.66] 若是这每个男人
[03095.66-03098.46] 这次很多同学的第一本能反应就选了
[03098.46-03100.70] 因为我们他为啥选业呢
[03100.70-03101.74] 他说老师是这样的
[03101.74-03103.02] 有人体肝中说了
[03103.02-03104.58] 要刺激消费
[03104.58-03105.42] 你跟我们讲过
[03105.42-03107.06] 刺激消费刺激消费
[03107.06-03109.06] 刺激消费就刺激需求
[03109.06-03111.46] 刺激需求就是激激的财政策
[03111.46-03112.26] 没跑了
[03112.26-03114.30] 激激的财政策和激激的
[03114.30-03116.26] 会被政策一定是同时使用的
[03116.26-03118.02] 所以他就选了双激激
[03118.02-03120.94] 你这种情况就下去掉入到了我刚才所说这个现井
[03120.94-03123.42] 如果他考的就是很简单的应对通过
[03123.42-03126.78] 通过解锁他们两个的政策方向一定是一字的
[03126.78-03130.36] 但是如果它用在实际经济问题分析当中
[03130.36-03131.64] 就不能这么分析了
[03131.64-03133.42] 你要去给它拆开了分析
[03133.42-03136.00] 这个点它的男子就难在它呢
[03136.00-03138.04] 其实本身上是在考察一些
[03138.04-03141.00] 我们所说的现有的实际政策的一些应用
[03141.00-03142.34] 那就要去分析体干了
[03142.34-03143.94] 同时你看人体干说的是什么
[03143.94-03145.72] 一方面要刺激消费
[03145.72-03146.50] 没有问题
[03146.50-03148.80] 刺激消费它一定会用到什么政策
[03148.80-03150.08] 刺激消费咱们说了
[03150.08-03151.62] 它一定会用到
[03152.38-03153.40] 财政政策吧
[03153.40-03155.58] 因为消费是和财政政策罐高的
[03155.58-03158.10] 所以刺激消費一定會用到財政政策
[03158.10-03159.42] 那什麼樣的財政策
[03159.42-03162.66] 一定是激激的財政政策
[03162.66-03163.50] 明白了吧
[03163.50-03165.46] 但是人家下面就一話講說
[03165.46-03166.50] 人下面就一話說的
[03166.50-03168.38] 我還要經濟評文運行
[03168.38-03170.02] 那評文運行你要怎麼辦
[03170.02-03171.30] 評文評文
[03171.30-03173.38] 你就必須採取的社會文件的貨幣政策
[03173.38-03175.74] 就是現有市場當中流透的貨幣料
[03175.74-03176.70] 已經足夠了
[03176.70-03178.38] 你記不需要增加也不需要減少
[03178.38-03179.34] 所以這種情況之下
[03179.34-03182.50] 它需要的是文件的貨幣政策
[03182.50-03185.84] 文件的会有政策
[03185.84-03187.42] 所以大家一定要注意
[03187.42-03191.26] 它只有应对通过膨胀痛解说的时候才是双季结和双小结
[03191.26-03194.76] 它如果给到你具体的经济情境的话你要去分析的
[03194.76-03199.00] 如果老是怎么可能会出现積几个财政策和文件的会有政策
[03199.00-03200.58] 他们两个同时出现
[03200.58-03202.88] 你看人家政府报告到这种什么写了
[03202.88-03206.12] 同时为什么会出现積几个财政政策和文件的会有政策
[03206.12-03207.40] 大配使用的情况
[03207.40-03208.40] 很简单
[03208.40-03210.92] 如果我们就以现有的国家
[03210.92-03211.94] 经济军行为令
[03211.94-03213.48] 你看现在在经济军行之下
[03213.48-03214.68] 咱们都知道世界经济
[03214.68-03216.56] 它其实遭受到了一定的打击
[03216.56-03218.44] 现在对于中国经济发展的需要
[03218.44-03221.16] 其实也是非常明确的我们要刺激需求
[03221.16-03222.60] 那刺激需求没跑
[03222.60-03224.60] 只要想要刺激需求刺激消费
[03224.60-03225.96] 它都是机极的什么
[03225.96-03228.08] 它都是机极的财政政策
[03228.08-03229.88] 但是同学们会想过一个问题
[03229.88-03232.56] 如果我实行的是机极的财政政策的话
[03232.56-03233.32] 就意味着
[03233.32-03235.88] 消费它会被建议过刺激起来
[03235.88-03238.04] 因为你机极的财政政策就是刺激消费
[03238.04-03240.04] 那刺激消费带来的结果是啥
[03240.92-03246.28] 刺激消費帶來的結果就是老百姓都狂狂往上當中花錢
[03246.28-03248.28] 都狂狂往上當中打錢
[03248.28-03252.48] 那老百姓都消費所有的貨幣都從銀行流入到市場當中去
[03252.48-03254.60] 市場當中流通的貨幣就會怎麼樣
[03254.60-03255.44] 就會增加
[03255.44-03258.12] 那你就意味著過於積極的財政政策
[03258.12-03261.40] 他如果在這個時候沒有控制貨幣供應量的話
[03261.40-03266.64] 市場當中的貨幣就會狂狂那就開始呼呼就貿起來了
[03266.64-03267.00] 對吧
[03267.00-03268.84] 因為大家都往上當中花錢了
[03268.84-03272.42] 那这个过程当中是让那种货币官员的增加就会导致什么风险
[03272.68-03274.72] 就会导致通过膨胀的风险
[03274.72-03276.78] 那你看你一方面小次于消费
[03276.78-03280.10] 另外一方面你还有一只住这种通过膨胀不让它发生
[03280.10-03282.42] 那你小一只通过膨胀不让它发生怎么办
[03282.42-03284.60] 就只能控制货币公寓料了
[03284.60-03288.22] 让货币公宴和我们所说的财政策打好配合
[03288.22-03291.62] 所以在这里你看人家国家的政策给得多好
[03291.62-03292.14] 对不对
[03292.14-03294.44] 你此时机极的财政策的时候
[03294.44-03296.24] 你的消费被刺激起来了
[03296.24-03297.84] 消費被刺激起來貨幣
[03297.84-03299.64] 上當中流通的貨幣一定會增加
[03299.64-03301.64] 他就辦水著通障的風險
[03301.64-03304.04] 那你想要控制通障的風險怎麼辦
[03304.04-03306.24] 你已經在政策上刺激消費了
[03306.24-03307.64] 那你想要控制通障的風險
[03307.64-03308.84] 你只能從哪入手
[03308.84-03310.64] 你只能從貨幣政策入手
[03310.64-03311.84] 你貨幣政策怎麼辦
[03311.84-03312.64] 評論運行
[03312.64-03314.84] 就是要實施文件的貨幣政策
[03314.84-03316.64] 文件的貨幣政策
[03316.64-03317.64] 意思是什麼
[03317.64-03320.04] 就是市場當中的貨幣供應鏈
[03320.04-03322.84] 一定要配合他的實際消費
[03322.84-03323.84] 來去看
[03323.84-03325.64] 寄不能太多也不能太少
[03325.64-03328.46] 所以现在在我们所说的国家的政策当中
[03328.46-03330.54] 一般情况提到文件的会比政策都怎么样
[03330.54-03332.20] 都要精准事杜
[03332.20-03333.44] 为什么要精准
[03333.44-03335.54] 就是有多少消费
[03335.54-03336.84] 你就配合多少费贝
[03336.84-03339.26] 你只要让你上当中流通的这户币
[03339.26-03341.54] 足以能够带动这个经济形怀就行了
[03341.54-03343.74] 过多通过膨胀就产生了
[03343.74-03345.64] 我少那就问题更大
[03345.64-03347.84] 若是让当中有一百张桌子
[03347.84-03349.84] 一百张桌子想全部卖出去的话
[03349.84-03350.84] 需要一百块钱
[03350.84-03353.24] 但现在如果只有一百张桌子
[03353.24-03355.14] 只有80块钱在上当中流通
[03355.14-03356.62] 你想要把这桌子都卖出去
[03356.62-03357.90] 你只有无限的这样间
[03357.90-03358.82] 那这种情况之下
[03358.82-03360.18] 市场当中的货币公园
[03360.18-03360.74] 不够
[03360.74-03363.30] 导致的结果就是经济无限的回收
[03363.30-03364.22] 无限的回收
[03364.22-03365.18] 无限的回收
[03365.18-03366.02] 经济完了
[03366.02-03367.14] 那这经济就崩溃了
[03367.14-03368.06] 所以我们说了
[03368.06-03369.06] 通过紧缩
[03369.06-03370.70] 比通过膨胀更为可怕
[03371.10-03371.98] 所以在这里面
[03371.98-03373.70] 为了保证国亚经济评论约维想
[03373.70-03375.14] 你就看提案怎么分析
[03375.14-03377.14] 他如果说刺举消费刺举举举
[03377.14-03378.34] 你就去早谈政策
[03378.34-03379.46] 他如果说现在
[03379.46-03380.66] 他又要运行评论
[03380.66-03381.46] 又要怎么样
[03381.46-03383.70] 就去看这个货币政策要怎么办
[03383.70-03386.94] 不一定就是双级结会是双小级的
[03386.94-03390.34] 双级结会双小级只能应对通过膨脏通过几缩
[03390.34-03393.54] 而具体经济问题你要具体去分析
[03393.54-03395.14] 你要看体感它要干什么
[03395.14-03396.38] 如果它体感说了
[03396.38-03398.30] 说一方面我要刺一消费
[03398.30-03399.94] 另一方面保持金平衡影响
[03399.94-03400.78] 就是刚才我们说的
[03400.78-03401.94] 但如果反过来
[03401.94-03403.02] 它是一方面
[03403.02-03405.66] 我要保证消费平衡影响
[03405.66-03406.94] 消费平衡的
[03406.94-03408.26] 那另一方面要干嘛
[03408.26-03410.46] 另一方面我要让市场当中
[03410.46-03414.30] 流通的貨幣增加以初計人們的投資消費需求投資需求
[03414.30-03416.34] 那這種情況之下就要反過來去分析了
[03416.34-03418.90] 有在這裡面你一定要看提幹
[03418.90-03420.34] 他到底是要幹什麼
[03420.34-03422.70] 這是我為什麼在前面反復給大家強調
[03422.70-03426.06] 你要明確才認證所針對的是消費需求
[03426.06-03428.14] 貨幣針所針對的是流東的貨幣
[03428.14-03432.22] 因為在提案當中他會給到我們非常明顯的提示詞
[03432.22-03434.50] 這個政策他到底針對的是什麼
[03434.50-03436.94] 明白了吧 這個點非常非常重要
[03436.94-03439.38] 因為以前的時候雙機結合雙消息
[03439.38-03440.10] 这个点呢
[03440.98-03442.26] 考到频率已经很高了
[03442.26-03445.70] 在这几年的时候出现了这种针对于具体经济问题
[03445.70-03447.70] 去分析考察的张力种方式
[03447.70-03449.82] 这个点它如果一旦出现的话
[03449.82-03450.86] 我们不应该丢分
[03450.86-03453.06] 你只要把财政策会有政策吃透了
[03453.06-03454.98] 你看什么政府工作报告啊
[03454.98-03458.02] 然后你看到政府工作工作报告当中的政策
[03458.02-03460.02] 还有我们提到的才能提目到的政策
[03460.02-03461.26] 你都可以承认而且了
[03461.26-03461.86] 明白了吧
[03461.86-03463.26] 这个点非常重要
[03463.26-03464.58] 已经考了
[03464.58-03465.82] 已经开始考了
[03465.82-03467.22] 这是我们所说的
[03467.22-03467.86] 会有政策
[03467.86-03469.92] 我8%拉的所有的这么多
[03469.92-03472.02] 咱们就把货币升测给大家讲完了
[03472.02-03473.70] 讲完了之后咱们来书理一下
[03473.70-03474.56] 货币升测的考点
[03474.56-03476.82] 第一个货币升测的制定主体只能是
[03476.82-03477.70] 装益行
[03477.70-03479.90] 货币升测它的中间目标是
[03479.90-03481.66] 条件和控制货币供用量
[03481.66-03483.94] 而货币供用量也是它作用的
[03483.94-03484.70] 机制
[03484.70-03486.16] 它的作用机制是啥
[03486.16-03488.02] 咱们前面其实有给大家说过
[03488.02-03491.24] 就是中央益行控制
[03491.24-03493.62] 商业益行的货币供用量
[03493.62-03496.30] 然后以控制市场当中流通的货币量
[03496.30-03499.06] 对吧,所以它的中间目标是控制活育公园量
[03499.06-03502.70] 但它的本质其实还是要为时供需平衡的
[03502.70-03504.54] 那它如何控制活育公园量呢?
[03504.54-03506.18] 就通过这些政策工具
[03506.18-03508.46] 我们就提到了法定存款准备精率
[03508.46-03510.94] 在贴限率已经公开市场业务
[03510.94-03514.46] 法定存款准备精力地位最猛烈的政策工具
[03514.46-03516.02] 在这里面,大家注意一下
[03516.02-03518.94] 它怎么去发挥作呢?咱们前面也说了
[03518.94-03521.38] 法定存款准备精力越高
[03521.38-03525.18] 给装一样的钱越多,流通到市场到市场到市场越少
[03525.18-03529.22] 這裡面我們就要跟據他實際給到的經濟背景分析
[03529.22-03532.62] 最猛面是如何實現的通過一個貨幣程序
[03532.62-03536.26] 所以說貨幣程序是法定存款準備進律的道數
[03536.26-03538.26] 100塊錢投入銀行裡面
[03538.26-03540.34] 它可能創造出來的錢
[03540.34-03541.70] 遠遠超過100塊
[03541.70-03544.38] 這個就要創造貨幣
[03544.38-03546.18] 貨幣創造的數額
[03546.18-03548.62] 它等於原始存款成業貨幣程序
[03548.62-03550.26] 第二個就是在貼線裡
[03550.26-03551.82] 在貼線裡叫郁扣
[03551.82-03553.34] 購給誰的
[03553.34-03554.62] 購給專業銀行
[03554.62-03556.24] 如果是扣给装也好的
[03556.24-03558.20] 在这里面一样的扣的钱
[03558.46-03560.76] 越多 让它流存的钱就会越少
[03561.02-03563.06] 这个里面流通到市场的钱就越少
[03563.32-03565.88] 所以越扣越扣也要一步一步去分析
[03566.14-03568.44] 那公开市场也有最灵火就是因为
[03568.70-03569.72] 它不需要
[03569.72-03571.52] 先去特帅我们所说的
[03571.52-03573.82] 预扣率率数多少 就是它反击是标筷
[03574.08-03577.40] 第二个美金和卖出多少可以根据市场的情况实施的调整
[03577.66-03578.42] 所以叫最灵火
[03578.68-03580.98] 那它呢 要么就是卖出有加政确
[03581.24-03582.52] 要么就是卖进有加政确
[03582.52-03584.68] 在这里刚才忘了给大家提了
[03584.68-03586.78] 卖出游家政权网绘卖卖
[03586.78-03589.88] 卖出游家政权就做正回购
[03589.88-03590.92] 因为正回购
[03590.92-03592.36] 你是网绘卖东西
[03592.36-03593.36] 网绘拿钱吗
[03593.36-03594.86] 这有时候叫正回购
[03594.86-03596.10] 如果是买金
