[00000.00-00002.74] 好的,我们接着来往下看
[02387.08-02388.40] 他只能不會收手的
[02388.40-02389.56] 所以從北望南打
[02389.56-02390.68] 接下來他要打哪兒
[02390.68-02393.48] 接下來他要往南打去打傷害
[02393.48-02394.44] 所以在這個時候
[02394.44-02395.96] 日本當時的想法就是
[02395.96-02408.06] 南下公打上海,既然在多取南京,南京,京林,都看到很多电影,所以当时的日本可以动了劳败了。
[02408.06-02419.26] 但是在战争当中,大家也都知道,日本想要公打上海,然后在南京,其实这个过程当中就发动了,发动了我们所说的松户灰山。
[02419.26-02422.76] 所以你看松誤會戰他是怎麼說的
[02422.76-02424.76] 松誤會戰就是我們所說的說
[02424.76-02427.56] 為了打推日本對上海的這種進攻
[02427.56-02429.16] 中國軍隊同日本七略者
[02429.16-02431.26] 在上海繼續周邊地區機站三個月
[02431.26-02433.26] 使稱 松誤會戰
[02433.26-02434.76] 當時這個松誤會戰
[02434.76-02436.26] 也是我們所說的非常彩裂
[02436.26-02437.26] 大家都知道
[02437.26-02439.26] 我們現在的這樣那些生活
[02439.26-02440.26] 真的
[02440.26-02441.16] 我們不是說
[02441.16-02442.26] 或者是我做一個老師
[02442.26-02445.26] 我就一定要大家多麼地去了解這個歷史
[02445.26-02447.76] 或者是一定要大家有多麼
[02447.76-02449.16] 彭派的这种说武
[02449.16-02450.96] 我就必须一条热血干脑日文
[02450.96-02451.72] 就不是这样的
[02451.72-02452.48] 这是我们
[02452.48-02454.80] 做一个普通老百姓来看
[02454.80-02458.00] 就是我们真的是要能够去热爱这个国家的
[02458.00-02461.32] 真的就是我们现在所评文享受的美村土地
[02461.32-02462.40] 按照以前的
[02462.40-02463.56] 我们的这个说法来说
[02463.56-02465.88] 真的就是一寸三何一寸血
[02465.88-02469.00] 当时在整个松污灰灾的战场上
[02469.00-02471.24] 中日之间的这个差距和实力
[02471.24-02473.20] 真的是非常非常选书的
[02473.20-02475.16] 大家都知道选择到什么程度
[02475.16-02479.00] 当时中国累计参加会战的士兵
[02479.00-02480.28] 70多个时
[02480.80-02481.56] 多少呢
[02481.82-02482.84] 70多万人
[02482.84-02487.20] 就是在整个松霍会战战场上有70多万人打进去
[02487.44-02490.00] 日本当时是12个市团20多万人
[02490.00-02491.80] 你说老师咱们人数上战友士
[02491.80-02494.10] 我们确实是人数上战友士但是
[02494.36-02496.92] 我们的中日之间的武器差距特别大
[02497.94-02502.04] 当时比如说就是军间的排水量当时的日本是100
[02502.04-02502.80] 70万多人
[02502.80-02504.36] 但中國當時只有六萬多
[02504.36-02505.60] 你跟沒有說說
[02505.60-02506.96] 打仗用的飛機
[02506.96-02508.96] 打仗用的機槍這些差的更多
[02508.96-02510.40] 而且當時我們所說的
[02510.40-02511.80] 其實人聽起來很多
[02511.80-02514.00] 當然在整個豐富會站在戰場上
[02514.00-02515.20] 非常的分散
[02515.20-02517.32] 你比如說現在他就要先打上海
[02517.32-02518.96] 但上海根本就沒有那麼多人
[02518.96-02520.64] 我們其他的這些人
[02520.64-02522.92] 就要從別的地區來吃飯上海
[02522.92-02524.60] 但是當時因為兵力分散
[02524.60-02525.76] 交通又比較落後
[02525.76-02528.24] 掉度時間特別的場
[02528.24-02529.28] 從南京
[02529.28-02530.44] 我們所說的想要
[02530.44-02532.16] 我們所吃飯上海
[02532.16-02533.40] 那要走20個小時
[02533.40-02534.02] 同能想一下
[02534.02-02535.20] 你在今天這個
[02535.20-02536.56] 你是沒有辦法想像的
[02536.56-02538.24] 你現在今天從南京到上海
[02538.24-02539.60] 你可能只要一個多小時
[02539.60-02541.56] 但那個時候就要20多個小時
[02541.56-02543.24] 這20多小時可能是
[02543.24-02545.84] 你在打一打張的這個過程當中呢
[02546.44-02548.28] 你就可能這個車
[02548.28-02549.32] 就被日本
[02549.32-02550.52] 他也有買服嘛
[02550.52-02550.80] 對吧
[02550.80-02552.24] 所以就被日本人就給炸回來
[02552.24-02553.64] 你這個時候你就靠腿而去
[02553.64-02555.28] 你這個時間就會非常的長
[02555.28-02558.28] 所以在這裡面整個松霧灰戰的戰場
[02558.28-02559.64] 雖然我們在人數上在用是
[02559.64-02563.00] 但是兵力分散交通落後掉度時間又長
[02563.00-02567.04] 所以它其實是掩穀了最佳的這樣一個就員時期的
[02567.04-02569.24] 所以當時大家都知道
[02569.24-02572.84] 這個松戶會戰它其實有一個非常
[02572.84-02574.28] 電影當中的一個所有
[02574.28-02576.72] 只大家應該看過那個四行倉庫保育戰
[02576.72-02578.16] 就是那個八百
[02578.16-02580.24] 對於那個八百其實是三行倉庫保育戰
[02580.24-02583.04] 當時所有的就是松戶會戰戰場上的一個所有
[02583.04-02585.48] 就是在公打上海這樣一個情況
[02585.48-02587.80] 當時國軍的一個師
[02587.80-02590.50] 日本加起它的大泡打一个离拜
[02590.50-02591.46] 一个连一百了
[02591.46-02592.40] 就打没了
[02592.40-02593.68] 一个连一百多人
[02593.68-02594.98] 一天就打完了
[02594.98-02596.76] 所以当时大家就能够看到
[02596.76-02599.84] 这个战场真的是非常非常的残酷
[02599.84-02601.36] 所以在这里面大家就知道
[02601.36-02602.70] 这是我们所说的松汇战
[02602.70-02603.92] 它的具体情况
[02603.92-02605.32] 但是仅仅是一个上海
[02605.32-02608.12] 当时大家也知道日本人非常狂望
[02608.12-02610.20] 它就是打完东北打滑北
[02610.20-02612.44] 然后建而要攻战上海
[02612.44-02614.50] 然后再进军我们所说的江苏
[02614.50-02615.50] 躲取南京
[02615.50-02617.02] 它的这样的一部分路线
[02617.02-02619.06] 他给自己制定的时间是多少呢
[02619.06-02620.42] 给自己制定的时间就是
[02620.42-02621.88] 打下整个中国
[02621.88-02623.82] 清略整个中国需要三个月的时间
[02623.82-02624.94] 但是他没有想到的是
[02624.94-02626.42] 几件是功打上海
[02626.42-02627.52] 就打了多少时间呢
[02627.52-02628.50] 就打了三个月
[02628.50-02630.22] 所以松湖会在大家都知道
[02630.22-02632.02] 我就把这个地方洗得旁边
[02632.82-02633.66] 就是有一个
[02633.66-02635.26] 叫四行倉库保卫战
[02636.62-02638.22] 这个地区当年
[02638.42-02639.10] 考过
[02639.10-02640.70] 在哪考在吉林考过
[02640.70-02641.86] 当然在吉林考过说
[02641.86-02642.82] 电影八百
[02643.42-02644.70] 他描述的是
[02645.02-02646.90] 抗人战争的哪一个战争
[02647.02-02652.26] 我们所说的松户会战的一个作用
[02652.26-02653.82] 所以在这里面注意一下
[02653.82-02655.78] 这个点比较住在旁边 好吧
[02655.78-02656.78] 想圈一
[02656.78-02658.38] 我们都知道松户会战
[02658.38-02660.14] 大家打上海都打了三个月
[02660.14-02661.58] 所以松户会战在这里面
[02661.58-02663.42] 大家来看一下 圈二
[02663.42-02665.14] 它是松户会战是靠着战争
[02665.14-02667.26] 当中第一场重要的战亦
[02667.26-02668.06] 第一场在这
[02668.06-02672.06] 大住一下也是规模最大战斗最惨烈的一次战
[02672.06-02674.70] 一般应该如果记得那个800那个电影
[02674.70-02677.38] 你应该还记得就是大家
[02677.38-02679.14] 就是为了所住那个倘库
[02679.14-02681.90] 对吧 日本那个泡台也来了 挖机也来了
[02681.90-02684.26] 他们就抱着那个炸药
[02684.26-02686.02] 就从那个倘库跳进去了
[02686.02-02689.22] 然后你一水之前把自己的东西脱腹给战友
[02689.22-02690.66] 然后说他叫什么名字
[02690.66-02691.66] 他家在哪儿
[02691.66-02693.90] 然后告诉他的母亲怎么样的
[02693.90-02695.46] 大家应该都知道那个 对吧
[02695.46-02696.66] 所以在这里面
[02696.66-02699.66] 大家注意他是规模最大战斗最草莉的一次战役
[02699.66-02701.90] 同时大家在这旁边画一下
[02701.90-02703.46] 是第一次海路空
[02703.46-02704.66] 把海路空画出来
[02704.66-02706.90] 第一次海陆空立体协同作战
[02706.90-02708.46] 在那个八百那个电人当中
[02708.46-02709.90] 其实我们也看到了
[02709.90-02711.06] 九公布下
[02711.06-02712.58] 后来他们就把飞机拉过来的
[02712.58-02713.86] 就是人跑的
[02713.86-02715.26] 可能那样
[02715.26-02717.14] 就是租界
[02717.14-02718.14] 和的这样
[02718.14-02719.50] 就是要所谓的倘口
[02719.50-02720.26] 大家也能看到
[02720.26-02722.78] 记得当时在电人当中的那个场景
[02722.78-02723.38] 飞机来了
[02723.38-02725.78] 那个跑代言和人下去的那个样子
[02725.78-02726.26] 对吧
[02726.26-02727.46] 所以你看他这个时候是
[02727.46-02728.70] 海陆空随同作战
[02728.70-02730.22] 但是大家知道松侯会战
[02731.22-02732.74] 在这里面记住他的地位
[02732.74-02733.22] 好吧
[02733.22-02737.82] 第一场也是在低场到中是规模最大战斗最彩列的一次在意
[02737.82-02738.82] 所以这是第二个
[02738.82-02743.46] 第三个就是松户灰战犧牵犧牵无数的将士
[02743.46-02745.90] 也当时也有造成了很多平命的损上
[02745.90-02749.62] 但是也而日本人知道了他的吃些亡想是不可能实现的
[02749.62-02752.82] 他仅仅供大上海就打了三个月
[02752.82-02755.22] 所以在这里面你看粉碎了日本
[02755.22-02758.22] 三个月面亡中国的狂望计划
[02758.22-02760.22] 这是我们所说的松户灰战
[02760.22-02762.66] 大家都知道松户灰战最后怎么办
[02763.22-02765.90] 松匯站最终我们失败了
[02765.90-02767.70] 这事上海没有手柱
[02767.70-02769.34] 这伤海失守了
[02769.34-02771.54] 上海失守之后日本战狱上海
[02771.54-02773.94] 警决着我们说了从伤海就打到了哪儿
[02773.94-02776.06] 就打到了南京
[02776.06-02780.06] 所以就有了我们所说的南京大图伤
[02781.66-02787.30] 南京大图伤的时间大也都知道是1937年12月13号
[02787.30-02789.66] 我们所说的发生的南京大图伤
[02789.66-02793.18] 南京大图伤的时间是先后一共六周的
[02793.18-02799.18] 这六州时间呢,我们说了,我们都同胞死伤30万人
[02800.18-02804.18] 同胞可以想一下,这30万是一个什么样的概念
[02804.18-02808.18] 六州,就相当于说一州,他就会图杀五万人
[02808.18-02813.18] 也就是相当于一天,他就会图杀七千多人
[02813.18-02818.18] 当时这个男嘉宾杀,我们所说的非常的惨决人管
[02818.18-02821.18] 这个男嘉宾大图杀呢,大家今天现在去到男青的时候
[02821.18-02822.72] 还能探到在南京的
[02822.72-02824.76] 清华日军南京大徒杀
[02824.76-02826.30] 孕南同胞的近年管
[02826.30-02828.60] 尤其是从后面去解
[02828.60-02831.16] 然后尤其是后面是免费的
[02831.16-02832.96] 这些人就能去
[02832.96-02834.76] 然后去了之后进去之后
[02834.76-02836.64] 就是感觉
[02836.64-02837.56] 都不一样
[02837.56-02840.38] 就是你都感觉外面可能是请天耐你进去之后
[02840.38-02841.60] 你的整个人
[02841.60-02843.70] 就是会被振禁到
[02843.70-02844.74] 一旦进去的时候
[02844.74-02846.26] 其实它最开始
[02846.26-02847.80] 就是你孙的那条路进去之后
[02847.80-02851.12] 他最开始给到你的其实就是能看到几个同项
[02851.12-02852.52] 就是几个丢项
[02852.52-02854.52] 那几个同项和那几个丢项呢
[02854.52-02855.52] 他其实就是
[02855.52-02858.80] 看到的那种在男人大通常知下的
[02858.80-02860.72] 然后那个老百姓的那个情况
[02860.72-02863.84] 他里面就是有那种老爷爷年龄特别大的
[02863.84-02865.72] 然后衣服也穿的不是特别好的
[02865.72-02868.52] 还有那种妈妈托着小孩小朋友
[02868.52-02870.96] 然后他们就逃生了这样的一个景象
[02870.96-02872.24] 那是几个同素
[02872.24-02875.24] 然后你在往里面去走的时候就能够看到
[02875.24-02876.68] 特别大的一口中
[02876.68-02879.76] 就是我们所说的男人大图杀国家攻击日的时候
[02879.76-02881.16] 经常会跳那个中
[02881.16-02882.16] 特别大的一个中
[02882.16-02883.56] 然后你再往里去走的时候
[02883.56-02886.60] 就是我们所说的被杀害的同胞
[02887.40-02888.52] 他们就埋在那个地方
[02888.52-02891.00] 就是一个办人抗案的就类随那种
[02891.00-02892.16] 然后一进去的时候
[02892.16-02896.24] 他就在那个有一条小小橋类随那种感觉
[02896.24-02897.64] 然后旁边就是那种
[02897.96-02899.24] 还蛮难道流水
[02899.24-02900.24] 然后你伸的这个
[02900.24-02901.72] 他铺的地座上小橋
[02901.72-02903.20] 样的地方进到那个屋子
[02903.20-02906.12] 那就会有一个特别大的类随以前的那种
[02906.12-02909.08] 平衡一样的东西在上面扣着
[02909.08-02912.68] 犀生我和我们所说的被图杀的同胞的名字
[02912.68-02914.40] 然后上面点着那种联化当
[02914.40-02915.72] 然后你再进去看
[02915.72-02919.72] 真的就能看到那个抗力们买的是我们的这个同胞
[02919.72-02920.20] 对吧
[02920.20-02922.20] 所以南京大图杀这种事情
[02922.20-02923.76] 在我们今天来看的话
[02923.76-02927.12] 依旧实让我们觉得非常痛心 对吧
[02927.12-02930.64] 所以我们不能够一方历史的原因就在这
[02931.16-02934.60] 我们没有办法去替已经受过苦
[02934.60-02938.76] 收红耐同胞文去原料日本的行为使用院不值得演料的
[02939.40-02942.56] 所以这是我们所说的这个松户回战
[02942.56-02943.96] 以及南京大图山
[02944.48-02948.08] 所以我们就把这个松回战就给大家去想到这
[02948.08-02948.80] 想到这
[02949.08-02950.52] 好 那这是我们所说的
[02950.64-02953.20] 看看当中的第一场大型的回战
[02954.28-02955.12] 松户回战
[02955.40-02956.68] 那这个松户回战
[02956.68-02958.48] 我们接着再来看一下第二个
[02958.68-02960.40] 第二个就是松户回战期间
[02960.40-02961.60] 日本它也没有停下
[02961.60-02962.92] 松户回战期间的日本
[02962.92-02967.02] 要干嘛呢 日本日本它就轻入山西
[02967.02-02968.72] 就山西主要就是想干嘛呢
[02968.72-02970.72] 想多去太远
[02970.72-02974.12] 在多去太远到中 其实就发动了我们所说的叫做
[02974.12-02975.12] 太远会战
[02975.12-02976.72] 所以太远会战在这里面
[02976.72-02978.42] 我们来看一下它所给到的
[02978.42-02980.32] 说这个太远会战
[02981.32-02982.32] 在这里面
[02982.32-02985.02] 说巴陆基 开腹山西参加会战
[02985.02-02987.72] 林标率领的我们所说的这个施团
[02987.72-02990.22] 它就服务今日均取得了平行方大姐
[02990.22-02992.72] 所以在这里面同时把这个标注一下
[02992.72-02995.76] 就是在太陽灰戰當中把平性關大集的話出來
[02995.76-02998.36] 這裡面你要能夠對應上能夠對應上
[02998.36-02999.92] 比如說塑衣倉庫保餘戰
[02999.92-03001.48] 它是在松戶灰戰上
[03001.48-03004.72] 平性關大集就是在平性關大集就是在
[03004.72-03006.28] 我們所說的太陽灰戰
[03006.28-03007.96] 所以在這裡面咱們來看一下
[03007.96-03011.56] 他說平性關大集是抗戰以來的首次大集
[03011.56-03014.56] 大破了日軍不可戰勝的審划
[03014.56-03016.96] 所以同一般把這個平性關大集
[03016.96-03019.40] 就給它標準出來
[03019.40-03021.32] 只要能夠對應上這是太陽灰戰
[03021.32-03024.52] 那探回戰他也是我們所說的國民黨軍隊
[03024.52-03026.42] 他的一個正面戰場
[03026.42-03027.42] 他的一個正面戰場
[03027.42-03029.62] 那這是第二個就是探回戰
[03029.62-03032.32] 所以探回戰當中同樣就只需要記一個
[03032.32-03035.32] 這是平性關大結就可以了
[03035.32-03037.72] 好 那這是我們所說的探回戰
[03037.72-03038.92] 那除了探回戰之外
[03038.92-03040.92] 還有就是徐州會戰
[03040.92-03043.42] 徐州會戰是1938年的時候
[03043.42-03046.52] 當時日軍他其實是兵分兩路的
[03046.52-03047.52] 雷兩路呢
[03047.52-03048.96] 一路是華北
[03048.96-03050.02] 一路是華東
[03050.02-03054.12] 他想从华北和华东来夹击我们所说的这个徐州
[03054.12-03055.62] 所以才爆发了徐州会站
[03055.62-03059.42] 所以你看不然的话他也不会说发动太难会站
[03059.42-03062.52] 对吧太远山西山西就是在华北地区
[03062.52-03064.52] 第二个就是上海华东地区嘛
[03064.52-03066.02] 所以在这里面无说了
[03066.02-03068.62] 日本想要兵风两路来夹去徐州
[03068.62-03072.82] 所以在这里才爆发了我们所说的这个徐州会的徐州会站
[03072.82-03074.42] 所以你看在这里他说了
[03074.42-03078.42] 所以1938年春到日军从山东兵风两路难下进攻
[03078.42-03080.98] 徐州 所以就爆發了徐州會戰
[03080.98-03083.66] 徐州會戰 大家注意一下 在這裡面他說了
[03083.66-03086.10] 說第五戰去思令長李總人
[03086.10-03088.66] 李總人咱們在前面講
[03089.18-03091.10] 長州的時候 稍微提到過這個人
[03091.10-03093.38] 對吧 我說了 我在這個地方先給大家說
[03093.38-03095.34] 咱們先看一下 李總人這個人
[03095.34-03097.34] 咱們在靠戰這個時候還會提到他
[03097.34-03101.66] 那這個李總人 其實當時是第五戰去的這樣一個思令長官
[03101.66-03107.62] 他就將兩路日經分別組織在三東和三東的聯益和台裝
[03107.62-03110.82] 所以在台装那个地方就取得了什么就爆发了什么呢
[03110.82-03112.22] 这是台装占意
[03112.22-03115.12] 所以在这里面同样把台装化出来
[03115.12-03118.62] 在台装这个地方就有了台装占意
[03121.12-03123.52] 就是不能让它难下
[03123.52-03125.02] 对吧不能让它进步难下
[03125.02-03128.12] 所以在这里就把日军组在了山东林里
[03128.12-03129.12] 和台装这个地区
[03129.12-03130.72] 所以爆发了台装占意
[03130.72-03133.02] 台装占意的地位同样标注一下
[03133.02-03135.62] 就要抗占意来到最大省理
[03135.62-03137.32] 它也是在旁边标注一下
[03137.32-03144.32] 正面在站场最大规模的胜利
[03151.32-03153.32] 正面站场最大规模的胜利
[03153.32-03156.32] 也是抗战以来最大的胜利
[03156.32-03158.32] 为什么叫做最大胜利呢
[03158.32-03161.32] 我们所说的战国肺人
[03161.32-03164.32] 当时李总人他基比日军
[03164.32-03167.66] 大概有1,900多人
[03167.66-03169.28] 差不多1,000多人
[03169.28-03172.32] 然後服貨日軍9,709人
[03172.32-03173.76] 大炮31本
[03173.76-03175.06] 裝甲車11,000
[03175.06-03176.66] 大小戰車8,200
[03176.66-03178.96] 幾千1千挺不強
[03178.96-03180.04] 1萬與之
[03180.04-03182.76] 當時日本的地匙時機戶就已經被打飛了
[03182.76-03183.96] 日本的地匙時
[03183.96-03184.64] 大家都知道
[03184.64-03187.60] 可以說是日本地國主義的交
[03187.60-03190.56] 日本地匙時也稱基陸市團
[03190.56-03192.28] 是日本的假種市團
[03192.28-03194.52] 可以说是现代化系团那个样板
[03194.52-03198.28] 但结果当时在李总人的打之下就给他打费了
[03198.28-03198.76] 打残了
[03198.76-03200.76] 所以我们说了脚祸了很多的东西
[03200.76-03202.76] 也在这里面我们也提到了
[03202.76-03204.92] 他就是正面战场以来最大的声音
[03204.92-03206.28] 也是抗战以来最大的声音
[03206.28-03210.04] 从他的战果当中其实是能够看得出来的
[03210.04-03212.12] 这是我们所说的徐州会战
[03212.12-03215.08] 所以徐州会战之下谈而装战亿
[03215.08-03217.24] 而我们刚才所说的松户会战
[03217.24-03219.40] 太远会战一节徐州会战
[03219.40-03222.12] 他都是我们所说的什么正面战场
[03222.12-03224.16] 都是我们所说正面战场的战争
[03224.16-03226.72] 这是我们所说的战略防禦阶段
[03226.72-03228.26] 正面战略防禦阶段
[03228.26-03229.28] 对应三战争
[03229.28-03231.60] 每个战争之下还有小的那种战争
[03231.60-03233.12] 大家要知道它的意义
[03233.12-03234.92] 这是我们所说的徐州会战
[03234.92-03236.46] 徐州会战的小法是好的
[03236.46-03239.52] 这是不能再让日军进一步
[03239.52-03241.58] 难下所以才发动了徐州会战
[03241.58-03244.52] 虽然在台广列的地方取得了台广列
[03244.52-03246.70] 战争力也是抗战以来最大的声利
[03246.70-03248.30] 但是我们所说的
[03248.30-03249.76] 这种局务性的这种声利
[03249.76-03254.60] 他其实当时并没有恶制主任军进一步切略中国的这样一个局势
[03254.60-03256.60] 所以徐州会这样的结果是啥呢
[03256.60-03259.80] 徐州会这样的结果就是徐州施守了
[03259.80-03262.04] 徐州施守了之后呢接下来
[03262.76-03263.72] 让干嘛呢
[03263.72-03267.52] 徐州施守之后呢就相因为这同北网难打
[03267.52-03269.00] 已经打出来了一条线了
[03269.00-03269.32] 对吧
[03269.32-03270.40] 所以在这种情况之下
[03270.40-03271.96] 在徐州施守之后
[03272.28-03274.16] 我们又发动了武汉会战
[03274.16-03275.12] 武汉会战
[03275.12-03276.64] 他其实就意味着战争
[03276.64-03278.80] 他就进入到了另外一个结断叫做
[03278.80-03279.96] 相时结断
[03279.96-03282.56] 当时手军突围要保卫武汉
[03282.56-03284.00] 所以发动了武汉会战
[03284.00-03284.96] 我还会战呢
[03284.96-03286.88] 当时中方投入100万
[03286.88-03288.60] 日军投入35万人
[03288.60-03290.40] 打了4个半月的时间
[03290.40-03291.36] 那最终呢
[03291.36-03293.80] 没有我们所说的手柱
[03293.80-03295.92] 所以最终武汉失守
[03295.92-03297.16] 武汉失守之后
[03297.16-03298.20] 那接下来
[03298.20-03300.00] 我们就进入到了战略防御的
[03300.00-03300.80] 武汉失守
[03300.80-03302.76] 接下来国民脑就要退到广州
[03302.76-03303.96] 后来广州也失守
[03303.96-03305.96] 因为后面还有广州会战
[03305.96-03307.96] 所以在這裡大家知道武漢會戰
[03307.96-03310.64] 中日戰爭一場大威魔的戰役
[03310.64-03312.80] 那當時中國110萬
[03312.80-03314.80] 我們所說的軍人投進去
[03314.80-03316.80] 但最終沒有守住武漢武漢是手
[03316.80-03318.40] 那武漢會戰他的意義是什麼
[03318.40-03319.40] 同時我們標準一下
[03319.40-03321.12] 武漢會戰的意義就是
[03321.12-03322.76] 抗日戰爭進入到
[03323.76-03324.96] 鄉時階段
[03324.96-03326.56] 抗日戰爭進入到鄉時階段
[03326.56-03327.96] 因為打了這麼長時間
[03327.96-03330.60] 日本它那邊的國立消化也會比較厲害
[03330.60-03331.00] 對吧
[03331.00-03332.20] 所以在這種情況之下
[03332.20-03333.08] 收上也說了
[03333.08-03335.64] 大大消耗了日軍的有生力
[03335.64-03338.20] 看着战争进入到相池阶段
[03338.20-03341.20] 这时候我们所说的在相池阶段当中的第一场
[03341.20-03344.16] 我们所说的会战叫做武汉会战
[03344.16-03345.00] 武汉会战
[03345.00-03346.40] 所以在这 打招知道
[03346.40-03348.08] 那进入了武汉会战之后
[03348.08-03349.72] 同时还有另外一个事情
[03349.72-03352.60] 就是他打的时间其实也打了很久了
[03352.60-03354.32] 从1931年开始打
[03354.32-03357.72] 然后一直打到我们刚才所说的武汉会战
[03357.72-03359.52] 有说打的时间比较久了
[03359.52-03362.72] 这不仅是我们所说的对于日本的消耗
[03362.72-03364.32] 其实对于中国自己来说
[03364.32-03365.40] 其实也是一个消耗
[03365.40-03368.80] 尤其是对于国民党那边消耗结实比较严重
[03368.80-03370.00] 当时打久了
[03370.00-03371.88] 讲究时他也受不了了
[03371.88-03374.80] 就进入到了消息抗战的情况
[03374.80-03378.84] 当时国民党他主要是在正面战场上去打
[03378.84-03379.24] 对吧
[03379.24-03382.12] 所以当时的国民党损失超过200万人
[03382.12-03385.20] 就是当时的国民党整体投入到了200万
[03385.20-03387.80] 我们所说的军人投入到战场上去
[03387.80-03390.24] 几乎就是在战场上中都细成了
[03390.24-03391.76] 同时200万人的
[03391.76-03394.00] 这是200万生命
[03394.00-03396.68] 所以當時打了久了之後就疲惫了
[03396.68-03399.40] 講著時就進入到了消極抗戰的這樣一個情況
[03399.40-03401.12] 但是講一些時消極抗戰
[03401.12-03402.64] 但是另一方面是什麼呢
[03402.64-03404.80] 這是中國共產黨領導下的軍隊
[03404.80-03406.16] 我們所說的這個巴陸軍
[03406.16-03410.16] 他在底後其實是不在不斷的發展壯大的
[03410.16-03413.28] 因為一年的時間它的人數從4.2萬人
[03413.28-03414.76] 漲到了15.6萬人
[03414.76-03418.08] 1940年前之前軍隊擴充了五倍
[03418.08-03420.00] 黨員的數量擴充到了20倍
[03420.00-03421.32] 所以在這種情況之下
[03421.32-03423.24] 我們就會發現這個戰爭
[03423.24-03426.04] 他就逐漸的 從獎勵使正面戰場
[03426.04-03429.04] 從獎勵使得消息 貓戰主艦轉到了我們所說的什麼
[03429.04-03430.14] 敵厚這邊來
[03430.14-03432.34] 所以如果說到敵厚戰場的話
[03432.34-03433.84] 那就不得不提一個事情
[03433.84-03434.74] 什麼事情呢
[03434.74-03436.44] 就是我們所說的叫做
[03436.44-03438.24] 敵厚根據地的建立
[03438.24-03439.64] 所以我們再來看一下
[03439.64-03441.94] 在相似階段最重要的一個事情
[03441.94-03444.44] 就是開始轉向敵厚戰場的時候
[03444.44-03445.74] 我們所說的這個
[03445.74-03447.04] 敵厚根據地的建立
[03447.04-03448.84] 那看日 根據地
[03448.84-03450.14] 或者是敵厚 看日根據地
[03450.14-03451.64] 那只定是和國黨有關
[03451.64-03454.36] 那我們就來看一下根據地他具體的建設情況
[03454.36-03456.76] 他說中共的樣子和我們所說的
[03456.76-03459.20] 毛也也所在的閃幹領編區
[03459.20-03460.60] 同時把閃幹領化出來
[03460.60-03463.92] 在閃幹領編區是全國抗議的
[03463.92-03466.28] 叫做中央指揮
[03466.28-03468.36] 中書以及總後方
[03468.36-03472.68] 然後在閃幹領編區的最為核心的事呢
[03472.68-03473.48] 是演案
[03473.48-03475.72] 所以我們都知道
[03475.72-03478.52] 演案是中共重要的所在地
[03478.52-03483.66] 所以从这个时候开始我们其实有另外一个时间就叫做
[03483.66-03485.98] 延时期就叫延时期
[03485.98-03488.42] 所以大家注意一下这是我们所说的底后
[03488.42-03489.78] 卡尔根据地 大家知道
[03489.78-03492.10] 一个是想跟您边区 一个是延安
[03492.10-03494.14] 在这里根据地的建立
[03494.14-03496.70] 第一个 卡尔根据地 同步华尔华一下
[03496.70-03500.02] 第一个卡尔根据地是进查技 卡尔根据地
[03500.02-03503.10] 后面就是用了其他的一些卡尔根据地在
[03503.10-03504.12] 所以大家注意一下
[03504.12-03506.18] 这是我们所说的有关于卡尔根据地
[03506.18-03507.72] 就是我们再去打的时候
[03507.72-03510.02] 幽有自己需要生息的一个地方
[03510.02-03510.96] 所以大家注意一下
[03510.96-03512.82] 这是卡人根据地的建立
[03512.82-03515.14] 我们在深着网会说
[03515.14-03516.42] 好了 再深着网会说
[03516.42-03518.10] 我们刚才说讲的时候开始
[03518.10-03519.10] 消息抗战
[03519.10-03520.38] 这种情况之下
[03520.38-03523.26] 我们是在底后不断的发展状态的
[03523.26-03524.82] 我们在底后不断发展状态
[03524.82-03527.70] 也是要供限自己在抗战中的力量
[03527.70-03528.70] 所以在这种情况之下
[03528.70-03529.98] 就出现了另外一个
[03529.98-03533.38] 就是中国共产党领导下的军队所发动的
[03533.38-03534.70] 就做百团大战
[03534.70-03538.10] 那我們來看這百層大戰他到底怎麼回事
[03538.10-03541.88] 百層大戰大概的時間是在1940年大下半年
[03541.88-03544.08] 同時把這個1940大概標準一下
[03544.08-03547.50] 當時兩方面剛才說了一方面
[03547.50-03549.86] 講的是大皮了開始消息抗戰
[03549.86-03552.16] 另一方面日本自己有一點著急
[03552.16-03554.66] 日本他著急幹嘛呢?日本著急
[03554.66-03557.14] 從你大家都知道日本漂了嗎?
[03557.14-03559.46] 當時還偷襲真路啊?大家還記得這個事
[03559.46-03561.30] 日本當時有一點著急
[03561.30-03563.30] 第一個在中國七六中國
[03563.30-03564.34] 他脫的時間太久了
[03564.34-03566.10] 第二一個就是他急於
[03566.10-03568.26] 開始想要去稱罵世界了
[03568.26-03570.18] 就是留給他的時間感覺相不多了
[03570.18-03571.54] 所以他就開始幹嘛呢
[03571.54-03574.70] 就開始投入了就把我們所說的這個
[03574.70-03576.74] 他在中國的大部分並利亞
[03576.74-03577.94] 有一部分就是抽掉
[03577.94-03580.82] 要把他們去投入的太平洋戰場當中去
[03580.82-03584.14] 所以與國民黨就開始進行決戰死戰
[03584.14-03584.54] 對吧
[03584.54-03586.90] 所以當時的日本才要幹嘛呢
[03586.90-03587.94] 打完了之後
[03587.94-03589.62] 你許州完了之後是武漢會戰
[03589.62-03590.50] 武漢會戰結束之後
[03590.50-03591.70] 甚至成江打
