[00000.00-00004.36] 要学的这个朝代或者说这个时期相对来说会比较特殊一点
[02390.36-02392.36] 武大名遥的手会
[02392.36-02393.80] 大家去进行详细的讲解
[02393.80-02395.20] 但在这必须先有一个
[02395.20-02396.36] 埋下一个种子
[02396.36-02398.48] 就在北朝的时候出现了白此
[02398.48-02400.08] 所以在这里大家要注意一下
[02400.08-02402.24] 在整个经济社会发展过程当中
[02402.24-02404.04] 在整个微定的那条实现
[02404.04-02406.00] 思想发展的也是特别活躍的
[02406.00-02408.26] 所以在这里出现了我们所说的叫做
[02408.90-02409.76] 佛教
[02409.76-02411.38] 有关于佛教的内容
[02411.38-02412.16] 大家在这
[02412.16-02413.72] 能够掌握到什么程度
[02413.72-02416.16] 要把我们所说的佛教传到中国
[02416.16-02418.04] 它的具体的时间卖落
[02418.04-02419.24] 就给它俗理清楚
[02419.24-02420.08] 这是第一个
[02420.08-02421.56] 第二个就是在这里
[02421.56-02424.16] 我们要集合上节课
[02424.16-02426.12] 提到了另外一个叫白马四
[02426.12-02427.96] 然后把它去搞清楚
[02427.96-02429.72] 它具体如何发展
[02429.72-02431.36] 首先看一下佛教
[02431.36-02434.40] 大家首先知道佛教傳入中國是什麼時候
[02434.90-02438.12] 是在我們所說的西漢的時候傳入中國的
[02439.30-02441.94] 由我們當時講到了思仇之路
[02441.94-02444.18] 所以在思仇之路上不僅數出
[02444.18-02445.18] 而有數入
[02445.18-02448.72] 所以它是在西漢的時候傳入到了中國
[02448.72-02449.72] 傳入中國
[02449.72-02452.24] 第二的是在東漢的時候
[02452.24-02454.56] 是在東漢漢名帝的時候
[02455.52-02458.84] 我們修建了第一座官辦思苗
[02458.84-02461.20] 叫做什么呢?叫做白马斯
[02463.48-02465.80] 是第一个 关办的
[02465.80-02467.68] 我们所说的 这样的一个思编
[02467.68-02470.08] 是为当时他派人去求佛法
[02470.08-02473.56] 我总有一大讲过在科学院的医生的两个高森
[02473.56-02478.32] 然后这两个高森就把他那个金书放在马上
[02478.32-02479.56] 然后张都躲着来了
[02479.56-02482.08] 于是这个地方就有了我们所说的白马斯
[02482.08-02483.08] 就是白马斯
[02483.08-02484.48] 而我们所说的佛教
[02484.48-02487.16] 傳到中國之後就分成了南傳佛教
[02487.16-02489.12] 被傳佛教以及藏傳佛教
[02489.12-02491.00] 南傳佛教就是我們常說的
[02491.00-02493.00] 都是東南亞那些小成佛教
[02493.00-02496.36] 被傳佛教就是在中國朝鮮日本和越南當中
[02496.36-02499.36] 而我們主要是藏傳佛教就在西藏那邊
[02499.36-02501.44] 所以在這地方他就有了一些分支
[02501.44-02503.68] 而我們所說的佛教在中國的發展
[02503.68-02506.12] 他可能也會結合地理支持來考察
[02506.12-02507.92] 那結合地理支持來考察的話
[02507.92-02511.32] 就會考察我們所說的叫個四大佛教名山
[02511.32-02515.60] 4大佛教名山
[02515.60-02518.88] 4大佛教名山分別指的是我們所說的什麼呢
[02518.88-02522.52] 第一個就說我們所說的山西的舞台山
[02522.52-02523.92] 舞台山大家都知道
[02523.92-02525.92] 他其實一年四季比较音量
[02525.92-02527.12] 當時還有一個點過
[02527.12-02529.72] 舞台山是文書普撒的道場
[02529.72-02531.60] 所以在這個地方當時有一個點過
[02531.60-02534.80] 就說他和一個龍之間的一個故事
[02534.80-02537.12] 所以就有了我們所說的舞台山四季兩
[02537.12-02540.12] 所以大家不需要掌握他是哪一個普撒的道場
[02540.12-02542.64] 但是要掌握住他在哪个地区
[02542.64-02544.56] 所以第一个是山西的舞台山
[02544.56-02547.88] 第二个是我们所说的叫做安灰的九华山
[02551.00-02552.28] 安灰的九华山
[02552.28-02556.32] 安灰的九华山是我们所说的地档普萨的道场
[02556.32-02558.68] 还有一个就是这江的普图山
[02560.44-02561.96] 这江的普图山
[02561.96-02564.32] 普图山大都知道关系应在那里
[02564.32-02565.88] 对吧 这这江的普图山
[02565.88-02568.48] 最后一个就是四川的俄美山
[02570.12-02577.32] 四川的 若美山是我们所说的普嫌普猜的道场
[02577.32-02579.84] 这个就是我们所说的关于佛教
[02579.84-02582.08] 它可能会结合地址出来考察我们
[02582.08-02584.48] 所以在这里要知道什么时候传入的
[02584.48-02586.52] 在这种情况之下我们所说的
[02586.52-02589.84] 它的第一做观伴的这个思调是什么
[02589.84-02592.48] 然后在这里 第一次就是要结合地址式
[02592.48-02594.36] 就进行相的学习
[02594.36-02597.60] 这个就是我们在整个三国两进南条实现
[02597.60-02599.08] 它的经济社会的发展
[02599.08-02600.88] 整个未进难道是这样
[02600.88-02601.64] 同时没有知道
[02601.64-02604.20] 他除了在经济社会上发展之外
[02604.20-02607.52] 他的文学成就也是非常高的
[02607.52-02610.28] 所以我们经常在他的文学上门说了
[02610.28-02612.84] 未进风流或者是未进风度
[02612.84-02613.16] 对吧
[02613.16-02614.88] 那是一个急剧创造力
[02614.88-02617.56] 自由奔放入通显个性的这样一个草带
[02617.56-02619.56] 比如说当时我们所说的
[02619.56-02621.80] 主令期显当中有一个流灵
[02621.80-02622.88] 流灵他就说
[02622.88-02625.80] 叫长程度车协回协谷酒
[02625.80-02627.76] 把生赴看得特别的
[02627.76-02629.40] 说如果在这个过程当中我死了
[02629.40-02630.84] 说死变买我
[02630.84-02632.44] 就是说能说出这样的话
[02632.44-02635.32] 所以他在这种情况之下大动荡的时代
[02635.32-02636.72] 他往往就是思想
[02636.72-02640.88] 相对来说是比较动发的比较明显的一个时代
[02640.88-02643.04] 所以在经济社会发展当中是这个样子
[02643.04-02644.32] 在这里再補充一把
[02644.32-02646.96] 就是在我们所说的思想文化层面
[02646.96-02648.12] 出现了一个词
[02648.12-02649.84] 这个词就是我们所说的
[02649.84-02651.68] 为间风骨
[02652.68-02654.28] 或者叫做魏进风度
[02654.28-02656.52] 或者叫做魏进风流等等
[02656.52-02662.12] 在这里,就经常会出现一个文学我们所说的长见的叫做朱林期线
[02665.72-02666.88] 这做朱林期线
[02666.88-02669.76] 这做朱林期线通常稍微有个印象就行了
[02669.76-02673.76] 什么流灵,软极,软鱼,等等,这种确实朱林期线
[02673.76-02676.52] 几个人的主要就是在数下科久
[02676.52-02681.16] 和完了之后,就在那里引述做对,又是有了朱林期线的说法
[02681.16-02682.18] 那打要注意
[02682.18-02686.54] 那这是整个三国两线南美朝它的一个整体的发展
[02686.54-02687.70] 那到这呢
[02687.70-02689.70] 我们就把这个时期给大家说了清楚了
[02689.70-02692.42] 同一模一样这老师的主线
[02692.42-02695.24] 然后把主线的事件穿连起来
[02695.24-02697.66] 然后再支干上去给的穿插箱的事件
[02697.66-02698.40] 就OK了
[02698.40-02700.14] 同时在这里要稍微注意一下
[02700.14-02701.82] 我们所提到的可能会出现
[02701.82-02703.82] 跨学科考察的家庎内容
[02703.82-02705.62] 那这个就是三国两级南美朝
[02705.62-02709.06] 那在南美朝之后就进入到了我们所说的随堂的内容
[02709.06-02712.46] 那随堂就是我们下节课与同们去讲解的支持点了
[02712.46-02715.06] 那好我们今天的课程就到这里了
[02715.06-02716.62] 阳光万里中央伤爱
[02716.62-02718.66] 喜欢这些课能够帮助到大家
[02718.66-02720.06] 那我们下节课再见了
[02720.06-02720.66] 拜拜
