[00000.00-00004.08] 今天来聊聊为提当中的第三个方面的网
[02343.50-02351.38] 而所谓的民族政兴就是我们要让中华文化最可粹才能民族再一次一律世界民族自体
[02351.38-02354.14] 所以对于当下的我们来说了解中国文化
[02354.14-02355.46] 掌握中国文化
[02355.46-02357.10] 感受一些中国文化
[02357.10-02358.86] 它其实对我们来说都是有意的
[02358.86-02360.02] 因为我们都知道
[02360.02-02362.26] 所有的我们所经历的
[02362.26-02364.98] 现在所看到的我们所经历的苦痛
[02364.98-02366.38] 我们所经历的快乐
[02366.38-02368.02] 我们所经历的这种欢喜
[02368.02-02370.62] 我们正在经受的这样一种社会变革
[02370.62-02371.86] 人人在社会变革之下
[02371.86-02373.14] 这些沉痛的压力
[02373.14-02376.34] 其实在我们以前的书级当中
[02376.34-02377.58] 其实都能够看到的
[02377.58-02379.38] 这像我们所说的那个成名
[02379.38-02381.14] 大家有这些武汉大学的老师
[02381.14-02382.54] 也是其二说的变守
[02382.54-02384.10] 它其实当时说的一句话
[02384.10-02384.98] 实时是这样的
[02384.98-02387.50] 实际上其实没有孤独这个痛苦
[02387.50-02388.74] 当然我们也会相信
[02388.74-02390.34] 我们一定能够从文化
[02390.34-02392.74] 几千年到那种找到情感的公民
[02392.74-02396.10] 所以在这里我们要知道文化建设当中文化资讯
[02396.10-02399.90] 于当前的实现中国命来说是非常重要的一个环境
[02399.90-02402.18] 这个就是要给大家在这里面
[02402.90-02405.58] 去讲数的有关于文化资讯的内容
[02405.58-02407.66] 所以在建设受主义文化强国
[02407.66-02410.70] 文化建設當中我們其實講到了兩個方面
[02410.70-02413.24] 第一個 建設馬斯主義在意識形態領域
[02413.24-02414.70] 知道地位的根本知道制度
[02414.70-02417.38] 我們講了第一個 為什麼要發展意識形態
[02417.38-02419.66] 我們明明講的是文化 為什麼要講形態
[02419.66-02423.26] 因為意識形態決定文化發展的前進方向和道路
[02423.26-02426.38] 而在意識形態發展當中最重要的是馬斯主義
[02426.38-02429.42] 所以我們說了馬斯主義在意識形態當中是知道地位
[02429.42-02432.22] 那二十大當中是如何去論述馬斯主義的
[02432.22-02433.66] 說它是根本知道思想
[02433.66-02434.74] 這個為大家解釋了
[02434.74-02437.46] 因為其他理論都是馬斯主義的中國化
[02437.46-02439.46] 第二个我们就经常提到两个行
[02439.46-02441.02] 谁行 马斯主异行
[02441.02-02443.82] 里边马斯主义 中国话实在话
[02444.06-02445.26] 他的马斯主义行
[02445.26-02447.06] 对吧 所以这两个点大家要知道
[02447.06-02450.06] 那么说了 想要推用文化强国的建设
[02450.06-02452.06] 我们就要怎么样 陪欲和新价值观
[02452.06-02454.74] 我们要知道 核心价值观的地位
[02454.74-02456.46] 共同的思想技术
[02456.46-02458.18] 我刚才给 我再讲特首给大家讲了
[02458.18-02459.94] 核心的这个例子你想想
[02459.94-02461.38] 加过一体 对吧
[02461.38-02463.26] 所以在这里他是共同的思想技术
[02463.26-02465.62] 第二个就是他回答了什么问题
[02465.62-02466.90] 接受什么样的国家
[02466.90-02468.06] 建设什么样的社会
[02468.06-02469.26] 陪于什么样的公民
[02469.26-02471.34] 以及他的具体要求是什么
[02471.34-02472.82] 在这儿考一个对应
[02472.82-02473.94] 那最后一个就是
[02474.82-02476.42] 建设受主义文化强国
[02476.42-02477.82] 我们要在根源上去
[02478.18-02479.58] 坚持文化资限
[02479.58-02480.10] 所以说了
[02480.10-02481.42] 为什么要坚持文化资限
[02481.42-02482.98] 因为文化资限是更基础
[02482.98-02485.30] 更广泛放更深厚的资限
[02485.30-02486.50] 为什么要坚定
[02486.50-02489.66] 因为它是更基本更深成更持久的力量
[02489.66-02492.38] 这也是我们要推进文化强国
[02492.38-02495.26] 建设当中不可确少的主要内容
[02495.26-02497.96] 这是威体当重的文化渐涉
