[00:00:00] 好,那我们就沿着这样一条主线来主意来看一下这些具体的事件。
[00:40:56] 红船精神指的是,
[00:40:57] 叫做开天辟地,
[00:41:01] 敢为人先的,
[00:41:02] 手创精神。
[00:41:07] 这是第一个啊,
[00:41:08] 叫开天辟地,
[00:41:09] 敢为人先的,
[00:41:10] 手创精神。
[00:41:12] 第二句话,
[00:41:13] 叫做,
[00:41:14] 坚定理想,
[00:41:20] 摆折不挠的,
[00:41:22] 奋斗精神。
[00:41:28] 坚定理想,
[00:41:29] 摆折不挠的,
[00:41:30] 奋斗精神。
[00:41:31] 第三句话,
[00:41:32] 立党未公,
[00:41:33] 忠诚未民的奉献精神。
[00:41:40] 立党未公,
[00:41:41] 忠诚未民的,
[00:41:46] 奉献精神。
[00:41:50] 那这个呢,
[00:41:51] 就是我们所说的,
[00:41:52] 红船精神啊,
[00:41:53] 也是我们立年考试当中的一个重点,
[00:41:56] 这里面,
[00:41:57] 大家主要去注意啊,
[00:41:58] 在这里面提到了,
[00:41:59] 叫做手创,
[00:42:00] 做别人不敢做,
[00:42:01] 奋斗,
[00:42:02] 和我们所说的什么,
[00:42:04] 奋献,
[00:42:05] 那真的是,
[00:42:06] 依税形中忠诚未民啊,
[00:42:07] 那这是我们所说的有关于,
[00:42:09] 中共一大,
[00:42:10] 第一个点啊,
[00:42:11] 它召开了一个地址的问题,
[00:42:13] 那中共一大,
[00:42:14] 它毕竟是开会啊,
[00:42:15] 那开会就要形成,
[00:42:16] 相当的决议,
[00:42:17] 以及还有需要有,
[00:42:18] 出席会议的人员,
[00:42:19] 那我们就来看一下,
[00:42:20] 在整个中共一大当中,
[00:42:21] 它出席会议的人员当中,
[00:42:23] 它的参会人员啊,
[00:42:24] 在这里面,
[00:42:25] 大家注意一下,
[00:42:26] 它说出席中共一大,
[00:42:27] 一共有多少人呢,
[00:42:28] 同时把这个,
[00:42:29] 画出来,
[00:42:30] 写上全二啊,
[00:42:31] 参会人员呢,
[00:42:32] 一共是十三人,
[00:42:33] 大家注意,
[00:42:34] 如果考试当中说,
[00:42:35] 参会人员是十二人,
[00:42:36] 也对啊,
[00:42:37] 因为在这里面呢,
[00:42:38] 在不同的,
[00:42:39] 版本的考试当中啊,
[00:42:40] 它有说十二人的,
[00:42:41] 有说十三人的,
[00:42:42] 这里面有争议的是谁呢,
[00:42:43] 有争议的,
[00:42:44] 就是当时的,
[00:42:45] 包慧僧啊,
[00:42:46] 就是包慧僧,
[00:42:47] 它到底有没有,
[00:42:48] 受到委托去,
[00:42:49] 那在这里面,
[00:42:50] 我们所说的,
[00:42:51] 在不同的,
[00:42:52] 这样的一个,
[00:42:53] 说没去,
[00:42:54] 那都没有关系,
[00:42:55] 我们在考试当中,
[00:42:56] 它如果说十二人也对,
[00:42:57] 说十三人也对啊,
[00:42:59] 所以在这里面,
[00:43:00] 大家注意一下,
[00:43:01] 在出席参会的人数当中的,
[00:43:02] 总人数,
[00:43:03] 大家注意是十二人,
[00:43:04] 或者是,
[00:43:05] 十三人,
[00:43:06] 主要在这里面,
[00:43:07] 投票要知道,
[00:43:08] 谁没来呢,
[00:43:09] 被参会的人员,
[00:43:10] 投票要反相计,
[00:43:11] 被参会的人,
[00:43:12] 就是我党的,
[00:43:13] 创始人,
[00:43:14] 南辰北利,
[00:43:15] 一个是陈都秀先生,
[00:43:16] 一个是李大昭先生,
[00:43:17] 他们两个当时没去啊,
[00:43:18] 当时的,
[00:43:19] 陈都秀先生没去呢,
[00:43:23] 大学之后呢,
[00:43:24] 他不是要,
[00:43:25] 把他的这个经历,
[00:43:26] 都投放到,
[00:43:27] 这个青年杂志当中去吗,
[00:43:28] 所以当时呢,
[00:43:29] 给陈都秀先生写信,
[00:43:31] 陈都秀先生说,
[00:43:32] 不行,去不了,
[00:43:33] 因为他要,
[00:43:34] 为他的这个杂志,
[00:43:35] 去拉投资,
[00:43:36] 后来呢,
[00:43:37] 又给李大昭先生写信啊,
[00:43:38] 就问说那个,
[00:43:39] 首长先生能来吗,
[00:43:40] 李大昭先生说,
[00:43:41] 不行,
[00:43:42] 当时的北洋政府,
[00:43:43] 啥都不是,
[00:43:44] 对吧,
[00:43:45] 工资,
[00:43:46] 北京各大高校的工资,
[00:43:47] 都已经开不出来了,
[00:43:48] 当时在北京成立了,
[00:43:49] 有一个叫做,
[00:43:50] 李大昭先生呢,
[00:43:51] 就是这个,
[00:43:52] 停薪讨薪委员,
[00:43:53] 会他的一个什么呢,
[00:43:54] 一个,
[00:43:55] 主要负责人啊,
[00:43:56] 所以当时,
[00:43:57] 李大昭先生也没有去,
[00:43:58] 所以在整个,
[00:43:59] 我们所说的这个,
[00:44:00] 会议最开始的时候,
[00:44:02] 大家注意一下,
[00:44:03] 为参会的,
[00:44:04] 是陈都秀和,
[00:44:05] 李大昭先生啊,
[00:44:06] 那这里面,
[00:44:07] 大家注意一下,
[00:44:08] 具体的参会人员当中啊,
[00:44:09] 同学们注意一下,
[00:44:10] 他说长沙小组,
[00:44:11] 有两个人啊,
[00:44:12] 一个是我们所说的,
[00:44:13] 毛爷爷,
[00:44:14] 还有一个呢,
[00:44:15] 就是何叔恒,
[00:44:16] 济南小组,
[00:44:17] 同学们参加的是,
[00:44:18] 济南事业单位考试的话,
[00:44:19] 济南特别喜欢考圣情,
[00:44:21] 所以济南小组,
[00:44:22] 有两个人啊,
[00:44:23] 一个是王靖美,
[00:44:24] 一个是邓文明啊,
[00:44:25] 他主要是在山东这一边,
[00:44:27] 同学们把,
[00:44:28] 济南小组的人去记一下,
[00:44:29] 但这两个人,
[00:44:30] 牺牲的,
[00:44:31] 也特别的早啊,
[00:44:32] 所以这是我们所说的,
[00:44:33] 参会人员,
[00:44:34] 其实从这个会议,
[00:44:35] 最开始召开之初啊,
[00:44:36] 我们其实能够看到,
[00:44:37] 中国共产党的成立,
[00:44:39] 它真的是非常非常的难,
[00:44:40] 可以说是这个政党,
[00:44:41] 它就是从什么当中起来的呢?
[00:44:43] 这个政党,
[00:44:44] 就是在长期奋斗当中,
[00:44:46] 产生的,
[00:44:47] 真的是艰苦艰难,
[00:44:49] 它都遇到过了,
[00:44:50] 哪怕是在中国,
[00:44:51] 我们所说的,
[00:44:52] 一大召开的时候,
[00:44:53] 也能够看得出来,
[00:44:54] 非常的难,
[00:44:55] 它的这个难,
[00:44:56] 不是说像我们所说的,
[00:44:57] 我们回顾百年立场,
[00:44:59] 觉得它很不容易,
[00:45:00] 其实从这个政党,
[00:45:01] 诞生那天开始,
[00:45:03] 很多人就,
[00:45:04] 不太看好这个政党,
[00:45:05] 因为在那样的一个,
[00:45:06] 动荡的环境之下,
[00:45:07] 每天产生的政党,
[00:45:09] 和每天消亡的政党,
[00:45:10] 数量是一样的,
[00:45:12] 对于一大所出现的,
[00:45:13] 这些代表,
[00:45:14] 大家注意一下,
[00:45:15] 我们能够看到,
[00:45:16] 就说很大部分都出现了问题,
[00:45:17] 还有一部分呢,
[00:45:18] 就是很早的就牺牲了,
[00:45:19] 所以这个党,
[00:45:20] 从成立之初,
[00:45:21] 就已经是伴随着,
[00:45:23] 我们所说的什么,
[00:45:24] 伴随着各种各样的,
[00:45:25] 已经苦难了,
[00:45:26] 所以你看,
[00:45:27] 我们经常说,
[00:45:28] 这个党,
[00:45:29] 它是伴随着苦难,
[00:45:30] 和辉煌走过来的,
[00:45:31] 一点都不,都不假,
[00:45:32] 所以在参会人员当中,
[00:45:33] 同学们,
[00:45:34] 就注意三个细节,
[00:45:39] 这个,
[00:45:40] 同学们,
[00:45:41] 只要是山东和济南,
[00:45:42] 这边的小伙伴,
[00:45:43] 去稍微的,
[00:45:44] 去注意一下就行了,
[00:45:45] 那这个呢,
[00:45:46] 是我们所说的,
[00:45:47] 参会人员,
[00:45:48] 那开会,
[00:45:49] 在中共一大当中,
[00:45:50] 主要说了什么呢,
[00:45:51] 这里面主要有两个点,
[00:45:52] 需要同学们去记,
[00:45:53] 第一个,
[00:45:54] 我们经常说了,
[00:45:55] 中共一大给我党,
[00:45:56] 起了个名字,对吧,
[00:45:57] 那这里面,
[00:45:58] 就叫做中国共产党,
[00:45:59] 所以大会,
[00:46:00] 正式成立了,
[00:46:01] 中国共产党,
[00:46:02] 而中国共产党,
[00:46:03] 这个名字,
[00:46:04] 最先是由谁提出来的呢,
[00:46:05] 最先是由蔡和森提出来的,
[00:46:07] 共产主义政党嘛,
[00:46:09] 所以在这里叫做,
[00:46:10] 中国共产党,
[00:46:11] 那当时在建党委议当中,
[00:46:13] 其实有写到这样的一个,
[00:46:14] 片段,对吧,
[00:46:15] 当时在演的时候,
[00:46:16] 然后就说,
[00:46:17] 广州代表,
[00:46:18] 认为什么什么,
[00:46:19] 武汉代表,
[00:46:20] 认为什么什么,
[00:46:21] 然后当时就说,
[00:46:22] 那莫不如就叫什么呢,
[00:46:23] 就叫做中国共产党,
[00:46:25] 所以就把这个名字,
[00:46:26] 记录下来了,
[00:46:27] 所以这是,
[00:46:28] 我们所说的,
[00:46:29] 成立的政党的名称,
[00:46:30] 那第二个呢,
[00:46:31] 就是大家注意一下,
[00:46:32] 在我们所说的,
[00:46:33] 同名标准,
[00:46:34] 全二,
[00:46:35] 在这次会议当中呢,
[00:46:36] 通过了叫做
[00:46:37] 中国共产党纲领,
[00:46:38] 写在旁边,
[00:46:39] 通过了,
[00:46:41] 中国,
[00:46:42] 共产党,
[00:46:46] 纲领,
[00:46:47] 大家注意一下,
[00:46:48] 通过的这个纲领,
[00:46:49] 是什么呢,
[00:46:50] 通过的这个纲领,
[00:46:51] 叫纲领性文件,
[00:46:52] 就是在这个
[00:46:53] 中国共产党的纲领当中,
[00:46:55] 就知道了,
[00:46:56] 这个党叫啥呀,
[00:46:57] 这个党,
[00:46:58] 它大概要干啥呀,
[00:46:59] 它是什么性质,
[00:47:00] 所以它这个,
[00:47:01] 是一个纲领性的文件,
[00:47:02] 大家注意一下,
[00:47:03] 我为什么要在这里,
[00:47:04] 特别强调这个点呢,
[00:47:05] 有很多同学,
[00:47:06] 他会擅长去背口诀的,
[00:47:07] 在背口诀的时候,
[00:47:08] 他经常会背,
[00:47:09] 什么一大立党,
[00:47:10] 二大立纲,
[00:47:11] 三大国共要合作,
[00:47:12] 等等啊,
[00:47:13] 所以他就背到,
[00:47:14] 一大立党,
[00:47:15] 二大立纲,
[00:47:16] 他提到,
[00:47:17] 二大立纲的时候,
[00:47:18] 他就觉得,
[00:47:19] 只要是和纲领有关的,
[00:47:20] 都是在二大,
[00:47:21] 其实是不是的,
[00:47:22] 二大当中的那个纲领,
[00:47:23] 叫做革命纲领,
[00:47:24] 革命纲领,
[00:47:25] 是告诉我们,
[00:47:26] 要去做什么,
[00:47:27] 中国共产党纲领,
[00:47:28] 叫做纲领性文件,
[00:47:30] 因为这个点,
[00:47:31] 他考过,
[00:47:32] 他说以下关于,
[00:47:33] 中国共产党重要会议,
[00:47:35] 说法正确或者错误的事,
[00:47:37] 其中考过一个选项说,
[00:47:38] 中共一大通过了,
[00:47:40] 中国共产党纲领,
[00:47:41] 直播他当时,
[00:47:42] 没有把这个纲领,
[00:47:43] 加上说明号,
[00:47:44] 很多同学上来,
[00:47:45] 就把这个提给我,
[00:47:46] 把这个选项直接排除了,
[00:47:47] 我当时问他,
[00:47:48] 我说你没啥排除,
[00:47:49] 他说我背的,
[00:47:50] 一大立党,
[00:47:51] 二大立纲,
[00:47:52] 你这个细节,
[00:47:53] 我们所说的,
[00:47:54] 一大他通过的,
[00:47:55] 叫中国共产党纲领,
[00:47:57] 是一个纲领性的文件,
[00:47:58] 在这个文件当中,
[00:47:59] 大概去说了一下,
[00:48:00] 我们所说的,
[00:48:01] 这个中国共产党,
[00:48:02] 他大概是什么样子,
[00:48:04] 所以这是我们所说的,
[00:48:05] 他的一个主要内容,
[00:48:07] 这是中共一大,
[00:48:08] 但是一大召开结束之后,
[00:48:09] 只是给党起了个名字,
[00:48:11] 明确了党的性质,
[00:48:12] 那这个政党,
[00:48:13] 他要干什么,
[00:48:14] 那这个要干什么,
[00:48:15] 在什么时候定的呢?
[00:48:16] 大家注意一下,
[00:48:17] 这个要干什么,
[00:48:18] 就是在二大的时候定的,
[00:48:20] 所以在1922年的时候,
[00:48:22] 同意标注一下,
[00:48:23] 1922年,
[00:48:24] 就是隔年嘛,
[00:48:25] 召开了中共二大,
[00:48:26] 在哪儿呢?在上海,
[00:48:27] 二大定什么,
[00:48:28] 二大就是要去定,
[00:48:29] 这个党,
[00:48:30] 他到底要干什么,
[00:48:32] 一大立党,
[00:48:33] 是党是什么,
[00:48:34] 二大立纲,
[00:48:35] 这个纲就是告诉我们,
[00:48:36] 中国共产党要干什么,
[00:48:38] 那中国共产党干什么呢?
[00:48:39] 我们来看一下,
[00:48:40] 二大的内容啊,
[00:48:41] 他说二大的是,
[00:48:42] 大会根据中国的,
[00:48:44] 政治经济情况,
[00:48:45] 也就是当时,
[00:48:46] 在会上就报告了,
[00:48:47] 中国先储在,
[00:48:48] 半殖民地,
[00:48:49] 半封建社会,
[00:48:50] 要做的,
[00:48:51] 就是推翻殖民,
[00:48:52] 推翻我们所说的,
[00:48:53] 帝国主义,
[00:48:54] 所以根据这个状况,
[00:48:55] 明确了中国的性质,
[00:48:57] 制定了什么呢?
[00:48:58] 革命綱领,
[00:48:59] 同们把这个标注出来啊,
[00:49:00] 制定了民主革命綱领,
[00:49:02] 照书上有,
[00:49:04] 同们给他画出来,
[00:49:05] 叫制定了民主革命綱领,
[00:49:07] 这个民主革命綱领,
[00:49:08] 是啥,
[00:49:09] 我们就说了,
[00:49:10] 这个民主革命綱领,
[00:49:11] 两个部分,
[00:49:12] 一个是最高綱领,
[00:49:13] 一个是最低綱领,
[00:49:14] 这是告诉我们,
[00:49:15] 要干什么,
[00:49:16] 所以在二大的时候,
[00:49:18] 立刚,
[00:49:19] 制定了最高綱领,
[00:49:20] 和最低绱领,
[00:49:21] 同们标注,
[00:49:22] 叫第一次明确的,
[00:49:23] 提出了,
[00:49:24] 彻底的,
[00:49:25] 反地反风箭的,
[00:49:26] 民主革命綱领,
[00:49:27] 在这里面,
[00:49:28] 大家注意一下,
[00:49:29] 是第一次明确提出,
[00:49:30] 革命綱领,
[00:49:31] 五四运动是什么?
[00:49:32] 五四运动是,
[00:49:33] 第一次,
[00:49:34] 反地反风箭运动,
[00:49:37] 啊,
[00:49:38] 第一次,
[00:49:39] 彻底的,
[00:49:40] 反地反风运动,
[00:49:42] 这个运动就说明了,
[00:49:44] 我们是要反地反风箭的,
[00:49:45] 但是有没有提到,
[00:49:46] 说,啊,
[00:49:47] 反地反风箭,
[00:49:48] 就是我们的革命中心任务,
[00:49:49] 在五四运动当中,
[00:49:50] 我们没有提到这个事,
[00:49:51] 没有提到,
[00:49:52] 什么时候提到,
[00:49:53] 在二大的时候提到的,
[00:49:54] 你看,
[00:49:55] 这里就是,
[00:49:56] 二大提出了,
[00:49:57] 彻底的,
[00:49:58] 反地反风箭的,
[00:49:59] 民主革命綱领,
[00:50:00] 所以在这里面,
[00:50:01] 同们标注一下,
[00:50:02] 圈一,
[00:50:03] 就是彻底,
[00:50:04] 提出了,
[00:50:05] 反地反风箭,
[00:50:06] 就是把这件事,
[00:50:07] 拿到台面上去说了,
[00:50:08] 那这里面的,
[00:50:09] 民主革命綱领,
[00:50:10] 就包括两个,
[00:50:11] 一个是最高绱领,
[00:50:12] 还有一个就是,
[00:50:13] 那需要同学们去实际的,
[00:50:14] 就是这个最高绱领是什么,
[00:50:16] 最低绱领是什么,
[00:50:17] 那所谓的最高绱领,
[00:50:18] 和最低绱领,
[00:50:19] 其实你就可以简单的,
[00:50:20] 理解为,
[00:50:21] 中国革命几步走,
[00:50:22] 那首先第一个,
[00:50:23] 最低绱领,
[00:50:24] 就是说,
[00:50:25] 想要建立一个,
[00:50:26] 独立的国家分几步,
[00:50:27] 就像我们常说的,
[00:50:28] 要把大象,
[00:50:29] 装进冰箱里,
[00:50:30] 要分几步,
[00:50:31] 三步,
[00:50:32] 那对于,
[00:50:33] 当时的最低绱领,
[00:50:34] 也是一样的,
[00:50:35] 最低绱领干嘛呢,
[00:50:36] 当时最严重的问题,
[00:50:37] 就是,
[00:50:43] 必须先一致对外,
[00:50:45] 先解决中国,
[00:50:46] 四分五裂的情况,
[00:50:48] 所以第一步干嘛,
[00:50:49] 第一步,
[00:50:50] 打倒军阀处内乱呢,
[00:50:51] 所以把军阀打倒,
[00:50:52] 打倒军阀处内乱,
[00:50:54] 那这有时候,
[00:50:55] 国内是不是统一了,
[00:50:56] 那国内统一了,
[00:50:57] 第二步干嘛,
[00:50:58] 谁欺负我们,
[00:50:59] 把谁赶走,
[00:51:00] 所以第二步,
[00:51:01] 推翻谁,
[00:51:02] 推翻帝国主义压迫,
[00:51:03] 那把他们赶走,
[00:51:04] 怎么办,
[00:51:05] 国家独立了,
[00:51:06] 所以建立一个什么,
[00:51:07] 民主共和国,
[00:51:08] 所以同学们话,
[00:51:09] 三个次,
[00:51:10] 就是三步走,
[00:51:11] 如何赢得独立,
[00:51:12] 打倒军阀处内乱,
[00:51:14] 推翻帝国主义压迫,
[00:51:15] 欺负外人,
[00:51:16] 外人欺负我们,
[00:51:17] 把外人赶跑,
[00:51:18] 第三个,
[00:51:19] 建立民主共和国,
[00:51:20] 国家独立,
[00:51:21] 这是最低高领,
[00:51:22] 而最高高领,
[00:51:23] 到今天都没有变,
[00:51:24] 最高高领依旧是要干嘛,
[00:51:25] 实现共产主义,
[00:51:26] 今天我们也还是在体验,
[00:51:28] 共产主义,
[00:51:29] 所以我们所说的最低,
[00:51:31] 和最高高领,
[00:51:32] 同学们在这儿,
[00:51:33] 要明确,
[00:51:34] 它是什么意思啊?
[00:51:35] 那这是我们所说的,
[00:51:36] 中共二大,
[00:51:41] 出民主革命纲领之外,
[00:51:43] 还做了一件事,
[00:51:44] 同学们标语一下,
[00:51:45] 缺二,
[00:51:46] 就是大会通过了
[00:51:47] 中国共产党成立后的,
[00:51:48] 第一个党章,
[00:51:49] 所以在这里它说,
[00:51:51] 大会通过了
[00:51:52] 中国共产党章程,
[00:51:53] 这是党成立后的,
[00:51:55] 第一个党章,
[00:51:56] 所以大家注意,
[00:51:57] 所以在整个二大的时候,
[00:51:59] 做了两件事,
[00:52:00] 第一个明确干什么,
[00:52:01] 民主革命纲领,
[00:52:02] 第二个通过一个党章,
[00:52:04] 这里面的细节就在于,
[00:52:05] 民主革命纲领的最低,
[00:52:07] 和最高,
[00:52:08] 分别是什么?
[00:52:09] 这是中共二大,
[00:52:11] 明确了,
[00:52:12] 那咱们接下来要做的事情,
[00:52:13] 其实很简单,
[00:52:14] 那咱们接下来要做的就是干嘛?
[00:52:15] 打倒军阀处内乱,
[00:52:16] 推翻帝国主义,
[00:52:17] 然后建立民主共和国,
[00:52:19] 但是问题啊,
[00:52:20] 就恰恰出在了第一步上,
[00:52:22] 打倒军阀处内乱,
[00:52:23] 也并不是像我们想象中的那么容易,
[00:52:25] 对一个刚刚成立的政党来说,
[00:52:27] 它其实手里,
[00:52:28] 没有那么多可用的军队,
[00:52:30] 但是军阀,
[00:52:31] 它手里是有枪的,对吧?
[00:52:33] 军阀,
[00:52:34] 它其实就是我们所说的,
[00:52:36] 地方的,
[00:52:37] 一些割据的势力,对吧?
[00:52:38] 所以它的军事实力还是非常的强的,
[00:52:40] 所以想要和军阀作战,
[00:52:42] 单纯的依靠中国共产党自身够不够呢?
[00:52:45] 其实单纯的依靠中国共产党自身是不够的,
[00:52:48] 所以这个时候,
[00:52:49] 我们就意识到了,
[00:52:50] 要干嘛?
[00:52:51] 要团结,
[00:52:52] 可以团结的力量,
[00:52:53] 一起去消灭军阀,
[00:52:54] 那当时最能够团结的力量是谁呢?
[00:52:56] 当时最能够团结的力量,
[00:52:58] 其实就是国民党,
[00:52:59] 于是我们就想,
[00:53:00] 怎么样能够和国民党合作呢?
[00:53:02] 那我们就开始开回去讨论,
[00:53:04] 于是在1923年的时候,
[00:53:06] 召开了什么?
[00:53:07] 于是在1923年的时候,
[00:53:08] 召开了中共三大,
[00:53:10] 在中共三大这里面,
[00:53:12] 他就提到了,
[00:53:13] 要干嘛呢?
[00:53:14] 同学来看一下,
[00:53:15] 在中共三大的中心议题,
[00:53:16] 这是讨论全体共产党,
[00:53:18] 加入国民党建立国共合作统一战线,
[00:53:21] 统一干嘛去推翻,
[00:53:22] 我们所说的军阀统治,
[00:53:24] 所以在这里面,
[00:53:25] 他就提到了,
[00:53:26] 叫以个人身份加入国民党,
[00:53:28] 同学们把这句话画出来,
[00:53:30] 1923年,
[00:53:31] 以个人身份加入国民党,
[00:53:33] 大家注意一下,
[00:53:34] 这里面其实强调的,
[00:53:35] 就是放弃我们的军事领导,
[00:53:37] 指挥权,
[00:53:38] 那以个人身份加入到国民党,
[00:53:40] 那这个就是国共合作,
[00:53:41] 那同学们注意一下,
[00:53:43] 第一次国共合作,
[00:53:44] 这个点谁提出来的?
[00:53:47] 第一次合作的这个点,
[00:53:49] 是不是我党提的,对吧?
[00:53:51] 那也就是我们所说,
[00:53:52] 是我党提出来的,
[00:53:53] 而不是国民党提出来的,
[00:53:55] 也不是国共两党,
[00:53:56] 共同提出来的,
[00:53:57] 所以是我党自身提出来,
[00:53:59] 因为在会议当中明确提到了这个点,
[00:54:01] 这个点考察过,
[00:54:03] 当时考察的也是,
[00:54:04] 以下关于党的重要会议说法正确的是,
[00:54:06] 其中有一个选项说,
[00:54:08] 说国共合作统一战线,
[00:54:10] 或者是北伐,
[00:54:11] 或者国民大革命,
[00:54:12] 他当时给到这个,
[00:54:13] 他说,
[00:54:14] 是国共两党共同提出的,
[00:54:17] 不对,是我们提出的,
[00:54:19] 因为我们当时觉得,
[00:54:20] 要团结一切可以团结的力量,
[00:54:22] 我们才想去团结谁,
[00:54:23] 国民党,
[00:54:24] 所以是我党提出来的,
[00:54:25] 而不是共同提出的,
[00:54:27] 那这是我们所说的,
[00:54:28] 三大,
[00:54:29] 那么说了,
[00:54:29] 我们就要和国民党一起去搞什么,去搞相当的国民革命。
[00:54:34] 但是问题就是在于,你跟人家联合搞国民国命,我们确实是同意了,觉得行。
[00:54:39] 人家那边同不同意呢?
[00:54:40] 那人家那边同不同意就要看一下什么,就要看一下国民党那边的意思。
[00:54:44] 所以紧接着在1924年的时候,既然我们要跟人家合作,
[00:54:48] 所以在1924年的时候就召开了什么呢?
[00:54:51] 国民党一大,同时把国民党一大标志出来。
[00:54:55] 国民党一大在1924年在广州召开的,
[00:54:57] 也就是国民党那边开会讨论一下,带不带咱们玩。
[00:55:00] 所以在这里面就召开了国民党一大。
[00:55:03] 国民党一大讨论通过之后呢,就同意了。
[00:55:06] 我们所说的什么,中国共产党去以个人身份加入国民党,
[00:55:11] 和他们一起搞国民革命。
[00:55:13] 所以在这里面大家注意一下。
[00:55:15] 国民党一大在这里面有几个细节点大家注意一下。
[00:55:18] 第一个叫国民党一大,它确定了一个我们所说的政策,
[00:55:21] 或者叫做革命綱领,叫做新三民主义,写在旁边。
[00:55:26] 叫做新三民主义,这个新三民主义就叫什么呢?
[00:55:30] 叫做联额联共辅助农工,叫联额联共辅助农工,它是新三民主义啊。
[00:55:37] 那提到新三民主义其实就会连通另外一个点,
[00:55:41] 另外一个点是什么呢?是孙中山先生的就三民主义。
[00:55:46] 孙中山先生的就三民主义其实就是我们所说的叫做民族主义。
[00:55:52] 现在旁边叫做民族主义,还有就是民权主义。
[00:55:57] 最后一个呢就是民生主义,那这里面的民族主义是啥?
[00:56:02] 就是当时孙中山先生所提到的叫驱除打鲁恢复中环。
[00:56:11] 驱除打鲁恢复中环,那这里面的驱除打鲁,
[00:56:16] 同样要知道打鲁指的是谁呢?打鲁指的不是帝国主义,指的是满清政府,
[00:56:22] 指的是我们所说的满族统治,所以这里的驱除打鲁其实指的就是满清,
[00:56:28] 指的是满清,因为对于孙中山先生来看呢,少数民族,尤其是清朝的统治,
[00:56:33] 对他来说是一族统治,所以他驱除打鲁恢复中环,
[00:56:36] 其实是想要恢复汉人的统治。
[00:56:38] 所以在这里面的打鲁指的是满清,而不是帝国主义,
[00:56:41] 这个点考察过,当年孙中山先生诞臣的时候考过三民主义,
[00:56:45] 这里面大一雕主义,这是第一个民族主义,
[00:56:49] 第二个民权主义强调的是什么呢?叫做创立民国,
[00:56:55] 最后一个点就叫做平均地权,
[00:57:01] 那这里面这是旧三民主义,那旧三民主义很明显有什么?
[00:57:05] 很明显有局限,局限就在什么呢?比如说在这里头面看,
[00:57:09] 第一个点他提到驱除打鲁,我刚才说了,打鲁指的是谁?
[00:57:12] 指的是满清政府,对吧?所以他在这里面只有什么?
[00:57:15] 只有反封建,有没有反帝的内容?没有,他不仅没有反帝,
[00:57:20] 当时孙中山先生认为,英国美国是中国的朋友呢,
[00:57:23] 但是这种想法其实是不切实际的,对吧?
[00:57:26] 所以在这里面首先提到的驱除打鲁,
[00:57:29] 它其实只有反封建,而到了新三民主义的时候开始怎么样?
[00:57:32] 开始反帝了,所以所谓的新三民主义在这里面,
[00:57:36] 就是开始了反帝反封建,开始了反帝反封建,
[00:57:42] 这是我们所说的驱除打鲁,那第二个在民权主义上,
[00:57:46] 原本的旧三民主义在这里强调叫创立民国,
[00:57:50] 那创立民国呢,那以前的时候说,创立民国,
[00:57:53] 这些权力指归谁呢?指归我们所说的资产阶级,
[00:57:56] 那你指归资产阶级,那不是资产阶级,
[00:57:59] 我作为一个农民和工人,那你创建国家就不是为了我了,
[00:58:02] 那你不是为了我,我会跟着你搞革命吗?
[00:58:04] 不会跟着你搞革命的,所以原本的创立民国,
[00:58:07] 它有一定的局限性,就是它没有办法把大多数人都发动起来,
[00:58:11] 所以在这种情况之下,你看在新三民主义当中,
[00:58:14] 它提到了什么?它提到了联共,什么叫联共,
[00:58:17] 当时孙任先生对于我们所说的我党也是无限的敬佩,
[00:58:21] 当时他其实也就提到了一个点,
[00:58:23] 他说,这是在整个发展的这个过程当中,
[00:58:26] 能够看到这是中国共产党所到之处,
[00:58:29] 就是老百姓都非常非常地拥护,
[00:58:31] 那这里面其实就能看到它发动群众的力量,
[00:58:34] 所以在这里面,孙任先生就开始联共,
[00:58:37] 其实从联共这个角度上,就是其实说到了,
[00:58:40] 在他的民权主义当中,他就认为国家的一切权力
[00:58:43] 不再是属于少数的自然阶级,
[00:58:45] 而是认为国家的一切权力属于什么?
[00:58:47] 一切平面所有,叫一切平面所有,
[00:58:53] 这是都归老百姓,
[00:58:54] 所以在这里面这是新三民主义当中的民权,
[00:58:57] 那最后一个民生呢,
[00:58:58] 民生呢以前叫做平均地选承认土地私有制,
[00:59:02] 但是现在呢,我们会发现承认土地私有,
[00:59:05] 那我没有土地的怎么办?
[00:59:06] 他也不会去管你,
[00:59:07] 但是在新三民主义当中提到了叫做耕折有其田,
[00:59:14] 提到了耕折有其田,
[00:59:15] 那在这里面其实就能够看到,
[00:59:17] 我们所说的新就三民主义之间有很大的差异了,
[00:59:21] 就是新三民主义其实是对就三民主义的一次修正,
[00:59:25] 所以在新三民主义当中反帝提到了连俄,
[00:59:28] 对吧反共提到了连俄,
[00:59:30] 连共就提到了我们所说的什么民权主义,
[00:59:33] 那最后呢就是辅助农工啊,
[00:59:35] 就实行耕折有其田,
[00:59:36] 所以这是他的一个指导思想啊,
[00:59:39] 大家注意一下这是在这里面,
[00:59:41] 那这是第一个啊,
[00:59:42] 他的一个革命纲领,
[00:59:43] 那第二个呢就是这一次会议的召开,
[00:59:45] 主要就是看他要不要和我党进行合作,
[00:59:48] 他觉得OK,
[00:59:49] 所以在这里面后面有句话,
[00:59:51] 叫国民党一大召开,
[00:59:53] 标注一下叫做第一次国共合作正式形成,
[00:59:56] 把这句话划出来啊,
[00:59:57] 叫第一次国共合作正式形成,
