[00000.00-00002.00] 大家好 我是杰瑞
[00002.00-00004.00] 这奖批战次应合的考试知识
[02574.24-02576.04] 覺得越有錢的人數值就應該高
[02576.04-02577.56] 那推理到國家也是
[02577.56-02579.88] 那越有錢的國家數值就應該越高
[02579.88-02581.40] 那實際情況數值這樣
[02581.40-02582.24] 不是這樣的
[02582.24-02583.12] 大家注意一下
[02583.12-02584.76] 什麼叫做不完全同步
[02584.76-02587.44] 就是一位着 经济发展水平高的
[02590.44-02591.16] 国家
[02591.42-02593.80] 他往往可能会存在落后的
[02596.16-02597.42] 社会议使
[02597.66-02600.12] 经济发展水平比较低的国家
[02602.68-02606.00] 那他可能存在比较先进的社会议使
[02606.00-02608.82] 就是在这里面 叫做什么 不完全同不信
[02608.82-02610.10] 经济发展水平高
[02610.10-02612.54] 我们认为他的精神文明现象应该好
[02612.54-02614.08] 但實際上可能不是
[02614.08-02616.38] 那這有時候他如果存在落後的
[02616.38-02617.14] 你以為有時候
[02617.14-02618.34] 我們就不說別的國家
[02618.34-02619.70] 我們就說是我們就說日本
[02619.70-02620.48] 對吧就
[02620.48-02622.02] 北熱小日子就好
[02622.02-02623.54] 你看對於日本將有國家
[02623.54-02626.10] 如果單純的從經濟發展實力上來看
[02626.10-02628.14] 這國家的經濟發生水平驅雜的
[02628.14-02628.92] 不弱的
[02628.92-02630.86] 他也是世界其他經濟體質一樣
[02630.86-02632.78] 但是你看得做的那叫人事
[02632.78-02633.26] 對吧
[02633.26-02635.08] 他把核烏水排到大海當中
[02635.08-02636.46] 小和人類同歸於借
[02636.46-02637.10] 那你看
[02637.10-02638.90] 像這樣的經濟發展水平
[02638.90-02639.66] 相對說高
[02639.66-02641.54] 但是整個社會落後都不行
[02641.54-02642.78] 還有我們所說的是
[02642.78-02644.58] 嚴重的軍國主義色彩
[02644.58-02646.38] 我們說了日本必須和軍國主義
[02646.38-02648.42] 各列彩顯 軍國主義政府各列
[02648.42-02649.34] 我們一般說
[02649.34-02650.54] 消滅日本帝國主義
[02650.54-02651.02] 對吧
[02651.02-02653.02] 到現在這個任務還沒有完成
[02653.02-02654.70] 所以在這裡面我們會發現
[02654.70-02656.18] 經濟發展水平很高
[02656.18-02657.34] 但社會意識怎麼樣
[02657.34-02658.02] 表露後
[02658.02-02658.94] 你是不是包括
[02658.94-02660.46] 我們的美國
[02660.46-02660.74] 對吧
[02660.74-02663.50] 我們國家的對手之一美國
[02663.50-02665.58] 你看美國整體上世界地大經貼
[02665.58-02667.46] 但是是不是也存在很多的問題
[02667.46-02669.82] 他搞我們所說的是貿易保護
[02669.82-02671.42] 他搞总组歧视
[02671.42-02673.70] 他们国家的一些西毒的现象
[02673.70-02674.18] 是
[02674.18-02676.22] 根本就控制不了
[02676.22-02676.90] 但是
[02676.90-02677.62] 控制不了
[02677.62-02678.02] 对完
[02678.02-02679.10] 你看在网人大的网人
[02679.10-02680.06] 说什么
[02680.06-02681.42] 说他们很多地区
[02681.42-02682.42] 算是维成
[02682.42-02683.58] 那真的是大
[02683.58-02683.90] 大街上
[02683.90-02685.62] 刻药客的非常恐怖
[02685.62-02686.70] 所以你看像这样的
[02686.70-02687.74] 经济发展水平
[02687.74-02688.34] 很高
[02688.34-02689.74] 但社会一直相对怎么样
[02689.74-02690.74] 非常落后
[02690.74-02692.02] 这个就叫做什么
[02692.02-02693.38] 这个就叫做
[02693.38-02694.58] 与经济社会
[02694.58-02695.94] 不完全统部的体现
[02695.94-02696.90] 那还有一些国家
[02696.90-02698.74] 就是经济发展水平很低
[02698.74-02700.54] 但是它有一些很好的一些
[02700.54-02702.02] 我们所说的精神现象
[02702.02-02703.86] 很好的一些艺术创作
[02703.86-02705.14] 对吧等等这些点
[02705.14-02706.94] 你比如说我们所说的什么
[02706.94-02707.70] 印度
[02707.70-02709.86] 印度其实是一个非常不可思议的一个国家
[02709.86-02712.06] 经济发展水平落后咱就不说了
[02712.06-02713.30] 那同时你很发现
[02713.30-02715.30] 它经济发展水平虽然很落后
[02715.30-02717.98] 整体上让我们看到很多不可思议的事情
[02717.98-02718.30] 对吧
[02718.30-02720.50] 我们一旦说这件事情是印度做的
[02720.50-02721.90] 就感觉又合理了起来
[02721.90-02722.38] 折磨
[02722.38-02724.54] 猫鸣在网上调刊的这一句话
[02724.54-02725.18] 对吧
[02725.18-02727.30] 但是哪怕是这样的一个国家
[02727.30-02729.44] 他的电影水平是发展的很好
[02729.44-02730.98] 宝莱物的电影
[02730.98-02733.44] 很多都是非常优秀的作品吧
[02733.44-02735.42] 比如说三啥大闹宝莱物
[02735.42-02735.88] 对吧
[02735.88-02739.08] 六上阿面换眼的很多的电影
[02739.08-02739.46] 对吧
[02739.46-02740.62] 税交把爸把等等
[02740.62-02745.06] 你看它其实是比较好的一些文化创作产品
[02745.06-02746.30] 它这种艺术
[02746.30-02748.06] 它就属于先进的时候艺术
[02748.06-02749.92] 所以在这里我们就能够看到
[02749.92-02751.46] 经济发水平高有落后的
[02751.46-02753.96] 经济发水平低它一些好的时候艺术
[02753.96-02756.66] 这个就叫与经济社会不完全统部
[02756.66-02762.26] 同位一定要注意一下,我在这里再给大家说一下,它是以经济社会的不完全同步性
[02762.26-02765.06] 它和社会存在之间有着本质的区别
[02765.06-02773.26] 如果它这里要考第二条的话,它在体肝的东西一定会说到这个国家的经济发展水平怎么样
[02773.26-02774.26] 明白吗,同学
[02774.26-02778.66] 如果它在这里非常明确的说到了,与经济发展水平怎么样
[02778.66-02782.26] 随着国家经济发展这个国家的经济实力怎么样
[02782.26-02783.54] 他当然反体道经济
[02783.80-02785.84] 你都不要给我往第一条上去靠
[02785.84-02787.12] 他靠的是第二条
[02787.12-02789.68] 因为这两个点对于很多同学来说
[02789.68-02791.22] 一和二特别容易混小
[02791.48-02792.50] 所以在这里面
[02792.76-02795.82] 给大家的区分你就要给他放在经济上
[02796.08-02796.60] 经济上
[02796.60-02798.14] 就看见国家经济发生水平好
[02798.14-02799.16] 他要没有些不好的事
[02799.42-02800.44] 这个就叫做
[02800.70-02801.98] 与经济社会
[02802.22-02802.74] 不完全同步
[02803.00-02804.78] 这个点掉主意这是第二点
[02805.04-02807.10] 第3个点他提到就是
[02807.60-02809.40] 社会意识内部
[02809.40-02814.14] 我们画一下,做的社会艺术各种形式之间的相互影响
[02814.14-02818.92] 这个在旁边写上是两个以上的社会艺术
[02818.92-02822.78] 现在旁边是两个以上的社会艺术相互影响
[02822.78-02826.56] 你最为常见的,对于国家来说,社会艺术很多
[02826.56-02829.12] 你比如说道德和法律
[02829.12-02831.76] 你看道德和法律是两个社会艺术
[02831.76-02834.96] 这两个社会艺术之间可不可能相互影响
[02834.96-02836.72] 当然可能相互影响了
[02836.72-02840.40] 一般请问一下道德会经响到法律会经响到道德
[02840.40-02841.44] 这也是为什么
[02841.44-02843.36] 我们国家经常会提到一个点
[02843.36-02846.64] 叫做德志和法治相结合的原因了
[02846.64-02849.68] 我们叫法安天下德论人心
[02849.68-02853.44] 所以在这里面我们会发现道德会法律之间会相互影响
[02853.44-02854.64] 道德当中说了
[02854.64-02858.36] 作人要讲承心不讲承心的人要做到天哪里批的
[02858.36-02860.28] 那你看道德当中讲承心
[02860.28-02863.12] 把他对于法律的影响就体现在民法当中
[02863.12-02864.96] 是不是有承实性原则
[02864.96-02865.36] 对吧
[02865.36-02866.36] 所以在这里面
[02866.36-02869.04] 我们就会发现到的和法律之间相互影响
[02869.04-02873.16] 那除道德和影视剧作品之间会为产生相互影响的
[02873.16-02875.20] 道德是一个社会议事
[02875.20-02876.96] 而议数也是一个社会议事
[02876.96-02879.32] 道德和影视剧之间有没有想影响
[02879.32-02881.20] 我们很多吃热意比一个
[02881.20-02882.92] 这样的一些日常生活当中情况
[02882.92-02886.48] 它其实是影视剧当中经常会否刺的一些现象吧
[02886.48-02887.96] 你看这个也是什么
[02887.96-02891.84] 这个也是内部各种形式之间的相互影响
[02891.84-02893.00] 所以大家注意一下
[02893.00-02894.68] 这是第三个点
[02894.68-02896.92] 我只所让大家在这里给大家标注出来
[02896.92-02899.76] 说它一定会在田浪中非常明显的提到
[02899.76-02901.72] 两个以上的售一使
[02901.72-02903.04] 这个点一定要知道按
[02903.04-02903.88] 大家要注意
[02903.88-02906.16] 这是第三点
[02906.16-02907.40] 还有一个第四点
[02907.40-02908.36] 从来看一下
[02908.36-02909.68] 第四点它强的的时候
[02909.68-02910.56] 售一使叫
[02910.56-02912.64] 各自具有历史机程性
[02912.64-02914.68] 在旁边标注一下它的达体的关键
[02914.68-02916.76] 是一个售一使
[02919.40-02920.52] 一个售一使
[02920.52-02922.52] 它从以前
[02922.52-02924.52] 到現在的發展
[02928.52-02930.52] 他從以前到現在的發展
[02930.52-02932.52] 這個就叫做各自的歷史機程序
[02932.52-02933.52] 大家注意一下
[02933.52-02934.52] 一體到社會意識
[02934.52-02936.52] 他的一個影響的時候
[02936.52-02938.52] 第三點和第四點特別容易混
[02938.52-02939.52] 在這裡給大家區分了
[02939.52-02940.52] 第三點在這裡方式
[02940.52-02942.52] 兩個以上的社會意識
[02942.52-02944.52] 在體安中一定能夠非常明顯的
[02944.52-02945.52] 判更出來
[02945.52-02946.52] 使用兩個意識
[02946.52-02948.52] 如果他在這裡面只提到了是
[02948.52-02949.52] 一個社會意識
[02949.52-02950.52] 從時間線
[02950.52-02951.52] 從以前到現在
[02951.52-02952.56] 现在怎么样
[02952.56-02954.32] 这种情况之下就叫做
[02954.32-02956.84] 一个收益是各自的历史机程序
[02956.84-02957.88] 我觉得简单历史
[02957.88-02959.40] 比如说和这个观念
[02959.40-02961.76] 和这个观念自古就有之吧
[02963.04-02965.40] 在以前逐家的手墙掉和位位
[02967.00-02967.64] 对吧
[02967.64-02969.28] 你看和这个观念以前
[02969.28-02970.56] 逐家墙掉和位位
[02970.56-02971.44] 现在有没有和
[02971.44-02971.80] 有啊
[02971.80-02974.00] 我们现在墙掉叫做和写社会
[02974.00-02975.60] 你看在这里面
[02975.60-02978.44] 其实本身上还是和的理念
[02978.44-02980.24] 是否只有这一个收益
[02980.24-02983.08] 只有這一種觀點,一種想法,一種精神現象
[02983.08-02985.80] 他從以前到現在不斷的發生變化
[02985.80-02986.28] 對吧?
[02986.28-02988.16] 這個就叫做歷史技術
[02988.16-02990.84] 所謂的歷史技術就是過去到現在
[02990.84-02991.44] 怎麼一樣?
[02991.44-02992.72] 所以大家只要看到說
[02992.72-02995.60] 隨著國家不斷發展,我們順用時代的需要
[02995.60-02998.04] 然後把什麼思想變為何些社會
[02998.04-03000.68] 從以前到現在,這種情況之下就要做
[03000.68-03002.72] 各自的歷史技術成性
[03002.72-03005.32] 所以第三點和第四點是很容易混的
[03005.32-03007.12] 當然在這裡同時要知道
[03007.12-03008.52] 它是幾個
[03008.52-03010.92] 你就能夠去清晰的變息出來了
[03010.92-03011.96] 只是第四點
[03011.96-03013.12] 那第五點在這裡
[03013.12-03013.72] 他提到說
[03013.72-03016.96] 售售的售存在具有能動的反作用
[03016.96-03019.28] 也就是它的相對獨立線就提現在
[03019.28-03020.56] 售為存在
[03020.56-03022.04] 不僅決定售為意識
[03022.04-03024.20] 售為意識也影響社會存在
[03024.20-03026.48] 那這個就叫做能動的反作用
[03026.48-03027.52] 那說老師
[03027.52-03028.52] 我又再問了
[03028.52-03031.32] 剛才我們再講到第一個點的時候說
[03031.32-03032.40] 售為意識
[03032.40-03034.32] 與售存在就不平衡性
[03034.32-03035.12] 在這裡面
[03035.12-03037.94] 他我们说了,社会一直有先进可落后之分
[03037.94-03040.74] 咱们刚才在提到反作的时候不是说了吗
[03040.74-03043.76] 说先进的社会是促进落后的社会是阻礼
[03043.76-03045.14] 这个叫做反作用
[03045.14-03047.92] 为什么到了这儿的时候会把第一点
[03047.92-03050.00] 还有我们刚才所说的第5点分开呢
[03050.00-03053.44] 原因很简单,大距一下,第一点只强调到哪呢
[03053.44-03056.84] 社会存在,与社会意识之间的发展的不平衡
[03056.84-03059.70] 只是单纯的强调,社会意识自身
[03059.70-03061.48] 他有先进和落后之分
[03061.48-03064.04] 并没有说这种社会意识对社会的影响
[03064.04-03067.62] 大助理下第一点只是强调收益是有好有坏
[03067.62-03070.52] 而到了第五点的时候才说了什么才说了
[03070.52-03072.44] 好的能够促进
[03072.44-03074.28] 第五点的作用就在于反正上
[03074.28-03076.08] 到底是促进还是阻挨
[03079.14-03081.20] 在这里到底是促进
[03081.20-03082.20] 还是阻挨
[03082.20-03084.26] 所以这是第一点和第五点的区别
[03084.26-03085.80] 但是我们不需要分得这么细
[03085.80-03087.86] 因为考试的时候的重点
[03087.86-03090.36] 它是在二三四这几个点上
[03090.36-03091.80] 我们只需要能把二三四
[03091.80-03094.88] 他出理解人题目给他变形出来就可以了
[03094.88-03096.68] 这个就是我们所说的
[03096.68-03099.48] 社会意识的相对独立性
[03099.48-03100.76] 社会意识的相对独立性
[03100.76-03103.12] 这个点绝对的两星级的考虑
[03103.12-03104.28] 他在考的时候
[03104.28-03106.00] 他很容易考得特别的信
[03106.00-03107.16] 然后给你按理说
[03107.16-03109.20] 他属于哪一个相对独立性的体现
[03109.20-03111.36] 你一定要能够给他去分出来
[03111.36-03113.04] 这是第一个大问题
[03113.04-03116.04] 我们去研究人类社会存在和发展的基础
[03116.04-03117.92] 研究历史官的基本问题
[03117.92-03121.00] 得到了社会存在和社会意识
[03121.00-03123.56] 然后又从社会存在的社会一生内涵当中
[03123.56-03127.14] 然后去挖折他的具体内容到他们之间的关系
[03127.40-03129.70] 这个就是第一个大问题
[03129.96-03134.06] 我们来简单地把这个地方的导徒去给他司理书理清楚
[03134.06-03134.82] 我们说了
[03135.08-03137.90] 哲学的计划问题是四位和存在的关系问题
[03137.90-03140.96] 而他放在历史演辩的进程当中
[03141.22-03145.06] 就变成了社会存在和社会一时之间的关系
[03145.32-03147.12] 于是我们说四位和存在
[03147.12-03151.46] 它有受存桿受疫症之间是一般雨各别的关系
[03154.80-03156.84] 所以这个是折血的基本问题
[03156.84-03159.16] 这个是历史观的基本问题
[03159.16-03159.66] 对吧
[03159.66-03163.26] 我们所说的这个受存桿受疫症当中
[03163.26-03165.04] 我们要去分析它的具体内容
[03165.04-03166.84] 所以说了受存在包括三个
[03166.84-03170.68] 在第1款机要人口因数和物子资料的收产方式
[03170.68-03173.48] 这里面最重要的是物质资料的收产方式
[03173.48-03176.30] 物质资料的收产方式是生产力和收产关系的
[03176.30-03179.66] 是社会变革的不能说的变靠
[03179.66-03182.44] 是人类社会存在和发展的基础
[03182.44-03184.24] 以及决定力量
[03184.24-03184.74] 对吧
[03184.74-03186.04] 所以这是社会存在
[03186.04-03188.08] 而社会存在代表物质
[03188.08-03189.22] 总合
[03189.22-03191.68] 那有了物质之后就会产生精神
[03191.68-03192.94] 所以精神现象的总合
[03192.94-03193.96] 叫社会意识
[03193.96-03194.22] 对吧
[03194.22-03195.76] 所以我们在社会意识当中
[03195.76-03197.04] 话分出来了
[03197.04-03198.32] 有一个非常重要的
[03198.32-03199.86] 一个叫做意识形态
[03199.86-03201.40] 一个叫做非意识形态
[03201.40-03203.70] 这两个点是一料能区分清楚的
[03203.70-03208.60] 一个叫做意识形态,一个叫做非意识形态。
[03208.60-03215.90] 我们在这里所说的意识形态,大家要注意一下,意识形态他是具有仙名的接级性,
[03215.90-03222.90] 而非意识形态他具有所说的非一节理性,就不会特定接级所服务,这种具叫做非意识形态。
[03222.90-03229.30] 从他们两个之间的关系来看是收回存在,绝订售意识,而售意识的售存在就有反作有,
[03229.30-03233.40] 中反都有先进和落后之分
[03233.40-03235.96] 对吧 先进的促进落后的阻礼
[03235.96-03237.70] 而我们所说的中反作用
[03237.70-03240.82] 他是社会议士相对独立性的体现
[03240.82-03242.78] 所以相对独立性这几个点
[03242.78-03244.02] 一定要注意一下
[03244.02-03246.70] 不完全统部 经济水平发展的不平毫
[03246.70-03249.26] 历史基成性的意识之间的等等
[03249.26-03250.80] 这个就是我们所说的
[03250.80-03253.02] 他的一个整体的思路
[03253.02-03255.16] 他的一个整体的思路大注意下
[03255.16-03256.94] 我们整体的考察点
[03256.94-03259.06] 其实在这里面也给大家说里清楚了
[03259.06-03260.46] 就是根據剛才的回顧
[03260.46-03263.42] 要知道這裡面有一些細節上的考鏈
[03263.66-03265.10] 在細節考驗當中
[03265.26-03266.98] 要知道歷史官的紀錄問題是
[03266.98-03268.78] 誰是一支間的關系問題
[03269.06-03270.62] 然後於是話分出來了
[03270.62-03272.86] 歷史維吾主義也叫維吾史官
[03272.86-03275.14] 以及歷史維新主義也以及維新史官
[03275.14-03276.46] 那在這裡面就知道
[03276.46-03278.90] 群眾史官和英雄史官
[03279.02-03281.34] 他們之間有什麼樣的不同
[03281.34-03282.14] 只在這
[03282.14-03284.42] 然後在分別去探討社會存在
[03284.66-03287.22] 社會意識以及他們之間的關係
[03287.22-03290.20] 所有的考虑我们刚才都已经提到了
[03290.20-03292.40] 在这里面一定要注意
[03292.40-03294.54] 社会意识当中的第三种话题
[03294.54-03298.20] 收存在决定收入意识当中的存在它的达体技巧
[03298.20-03301.02] 而相对独立性它的达体技巧都拿些
[03301.02-03304.20] 在这,我们都给大家做了一个全面的书里
[03304.20-03307.40] 还是一样的像这样的一个框架我其实已经给大家书里好了
[03307.40-03309.86] 有需要同学的指线在平纷器当中
[03309.86-03312.86] 回复为误使官四个字就可以了
[03312.86-03315.68] 好吧,这是我们所说的第一个大量问题
[03315.68-03318.88] 叫收存在和社會意識
[03318.88-03320.16] 收存在收意識
[03321.16-03321.72] 好
[03321.72-03322.72] 那說完了
[03322.72-03323.76] 第一個大問題之後
[03323.76-03324.84] 我們還要回歸到
[03324.84-03326.88] 歷史為無主義當中的第二問題來
[03326.88-03328.44] 就是我們解決了歷史發展的
[03328.44-03329.44] 基本問題之後
[03329.44-03330.84] 那我們接下來解決就是
[03330.84-03333.16] 人類社會為什麼會發展進步呢
[03333.16-03333.88] 在這裡面
[03333.88-03335.00] 就說一道第二個
[03335.00-03337.88] 叫社會發展的基本規律
[03337.88-03340.24] 社會發展的基本規律到底是啥呢
[03340.24-03343.28] 其實就是社會基本矛盾運動
[03343.28-03344.28] 社會基本矛盾運動
[03344.28-03346.28] 一額是生产力和盛顾关系
[03346.28-03348.28] 一額是经济铁树和上层建筑
[03348.28-03350.28] 我们需要在这一个小的
[03350.28-03352.28] 支导导中学的是什么呢
[03352.28-03355.28] 学的就是生产力和生产关系
[03355.28-03356.28] 他们的内容包括那些
[03356.28-03359.28] 第二个上层建筑的内容那些
[03359.28-03361.28] 以及考理解形停务的时候
[03361.28-03363.28] 这两个是关系的
[03363.28-03366.28] 取份也是一个绝对的两星级的执是点
[03366.28-03369.28] 我们就来看一下具体的内容吧
[03369.28-03371.28] 在社会历史发展的基本规律当中
[03371.28-03373.08] 社會歷史發展的基本規律當中
[03373.08-03374.08] 他說了一句話
[03374.08-03377.16] 說生產率生產關係的矛盾及基於弄規律
[03377.16-03379.88] 堅持處於上層建築的矛盾及基於弄規律
[03379.88-03382.72] 是社會發展的基本規律
[03382.72-03384.36] 所以社會發展的基本規律
[03384.36-03388.28] 也稱為社會基本矛盾運動
[03390.64-03393.00] 叫做社會基本矛盾運動
[03393.00-03394.20] 所以在這裡
[03394.20-03397.00] 大家需要掌握的考點一控十兩個
[03397.00-03399.68] 第一個就是社會基本矛盾運動指的是
[03399.68-03407.32] 咱们刚才说了,就是两段矛盾来生产力和势能关系,经济组合上次监柱,大家要注意一下,这是第一个点。
[03407.32-03412.22] 第二个考点是在于,我们经常会提到社会矛盾的这个问题。
[03412.22-03420.84] 但是我们提到社会矛盾的时候就经常出现两个概念,一个叫社会基本矛盾,一个叫社会主要矛盾。
[03420.84-03423.64] 它两时间有什么不一样的地方呢?
[03423.64-03424.80] 大量注意一下啊
[03424.80-03427.20] 所以社会基本矛盾在旁边
[03427.20-03428.20] 简单标注意一下
[03428.20-03431.24] 社会基本矛盾是在任何社会都有的
[03433.24-03435.64] 叫任何社会都有的
[03435.96-03438.00] 这个就叫做社会基本矛盾
[03438.00-03440.04] 那所谓的生产力和生任关系
[03440.04-03441.56] 经济机手会上升建筑
[03441.56-03443.84] 它其实是放在任何社会
[03443.84-03445.60] 它的基本矛盾都是这样的
[03445.60-03448.20] 比如说我们现在说到社会主义社会
[03448.20-03451.54] 社会主义社会是他的社会基本矛盾事实上
[03451.54-03455.00] 咱们国家中国作为社会主义国家
[03455.00-03457.04] 中国的社会基本矛盾事实上
[03457.04-03460.16] 中国的社会基本矛盾就是生产力和摄影关系
[03460.16-03463.04] 经济基础和上层建筑的矛盾
[03463.04-03464.64] 但是我说了
[03464.64-03467.02] 这两个矛盾是任何社会都有的
[03467.02-03469.10] 中国作为社会主义国家有
[03469.10-03471.84] 我们所说的法国德国
[03471.84-03472.36] 对吧
[03472.36-03474.40] 北内瑞拉等等这些国家
[03474.40-03477.00] 像这些国家他作为资本主义国家
[03477.00-03479.00] 这些国家的社会基本矛盾是什么?
[03479.60-03480.48] 大家注意一下
[03480.48-03481.48] 一样的
[03481.48-03484.32] 还是生产力和善关系经济着上升监柱的
[03484.32-03485.64] 这是自问的社会
[03485.64-03487.80] 放在我们所说的风见社会
[03487.80-03490.28] 风见社会时期的社会基本矛盾是啥
[03490.28-03491.36] 还是这两
[03491.36-03494.40] 就是生产力和善关系经济着合上升监柱
[03494.40-03495.56] 所以我给大家说了
[03495.56-03498.44] 它只能放在任何一个社会
[03498.44-03499.76] 它都存在的
[03499.76-03503.36] 这个就叫做社会基本矛盾
[03503.36-03504.12] 明白了吧
[03504.12-03505.64] 放在任何一个社会都有
[03505.64-03507.44] 那什么要个社会主要矛盾呢?
[03507.44-03510.00] 大家注意一下,社会主要矛盾是特定
[03511.78-03512.56] 历史
[03513.06-03514.34] 实期存在的
[03517.16-03523.30] 可能是在A实期,它的主要矛盾是这样的,在B实期它的主要矛盾变成另外一个样子了
[03523.30-03525.36] 举个简单的例子来说,就是中国
[03525.36-03526.64] 所以典型就是中国
[03526.64-03532.78] 你看中国社会都主要矛盾,咱国家的主要矛盾在整体上,咱们之前给大家在讲
[03533.28-03535.34] 矛盾的特术性的时候,给大家说过
[03535.34-03537.86] 說中國他的主要社會的主要矛盾
[03537.86-03540.46] 隨著時代不同時代不斷變化的
[03540.46-03543.98] 比如說在以前的我們所說的革命時期
[03543.98-03546.22] 比如說西民主主義革命時期
[03546.22-03548.54] 在西民主主義革命時期
[03550.54-03553.62] 那那個時候我們社會面臨的主要矛盾時期
[03553.62-03556.70] 面臨的主要矛盾就是帝國主義和中華民族的矛盾
[03556.70-03558.46] 人家欺負咱們咱們在想
[03558.46-03560.06] 咱們能夠獨立和解放
[03560.06-03562.26] 那這個是西民主主義革命時期
[03562.26-03565.34] 那新民入署一个面打完之后心中过程烈
[03565.34-03568.90] 接下来我们过度到了社会主义时期
[03568.90-03571.10] 那在社会主义一个面时期的话
[03573.10-03575.06] 那就是心中过程烈以后
[03575.06-03578.82] 然后我们想方设法要把中国搞成社会主义国家办
[03578.82-03581.26] 所以在这个时候社会的主要矛盾就是什么
[03581.26-03584.10] 就是如何让国家成为社会主义
[03584.10-03585.54] 那这个是这一时期
[03585.54-03586.98] 然后再到改革开放
[03586.98-03589.34] 改革开放之后中国社会的矛盾
[03589.34-03594.38] 叫人民日益增长的物质文化需要投落后的社会生产之间的矛盾
[03594.38-03599.42] 那到了我们所说的心时代到了今天我们社会的主要矛盾是啥
[03599.42-03604.06] 人民日盞长的美好生活需要同不平衡不充分发展之间的矛盾
[03604.06-03606.06] 所以你看所谓的主要矛盾
[03606.06-03608.26] 它是特定实际才有的
[03608.26-03611.14] 过了这个时期它的社会主要矛盾
[03611.14-03612.86] 就可能不是这个样子了
[03612.86-03614.62] 这个叫做主要矛盾
[03614.62-03618.06] 而基本矛盾是任何一个社会在任何一个时期
[03618.06-03620.58] 他都存在的叫做基本矛盾
[03620.58-03621.90] 他們兩個在考試的時候
[03621.90-03623.70] 特别容易混銷
[03625.42-03626.38] 混銷傻呢
[03626.82-03628.42] 混著考嘛 張觀里代
[03628.82-03631.18] 同時們判判一下 我這兩個說法對不對
[03631.34-03632.42] 第一個說法說
[03632.42-03635.42] 當前中國社會的基本矛盾事
[03635.42-03637.82] 人民日意增長的美好生活
[03637.82-03640.54] 需要同步平衡不充分發展直接的矛盾
[03640.54-03641.62] 正說法對不對
[03642.14-03644.22] 正說法很明顯是不對的
[03644.22-03645.18] 我們剛才說了
[03645.18-03649.42] 基本矛盾只有两个生产力和生产关系经济手上的建筑
[03649.42-03649.94] 对吧
[03649.94-03651.06] 又或者他考
[03651.06-03656.02] 说在风劲社会时期社会的主要矛盾
[03656.02-03660.10] 在风劲社会时期社会的基本矛盾是
[03660.10-03662.82] 生产力和盛人关系经济手上的建筑
[03662.82-03663.82] 正说他对不对啊
[03664.70-03667.30] 正说法是正确的
[03667.30-03667.54] 对吧
[03667.54-03670.02] 所以在这里面大家就要能够去分析出来
[03670.02-03672.58] 他整体上再去考察的时候
[03672.58-03675.06] 他会把这两个点做一个混小点来考察
[03675.06-03681.26] 而我们需要做的就是在这,能够在红官上,对他进行一个区分,对他进行一个区分
[03681.26-03686.06] 这个就是我们所说的社会基本毛东云动,这两个概念
[03686.06-03694.90] 解决了这样的概念之后,接下来我们就要去仔细地去看一下生产力和圣文关系,经济机鼻鼠和上纯建筑,它到底是怎么会是
[03694.90-03699.24] 首先看下低段矛盾,叫生產力和生產關係
[03699.24-03702.58] 首先看下低一個概念,就叫生產力
[03702.58-03706.06] 生產力,它說生產力是人類改造自然
[03706.06-03709.90] 變成自然當中獲得生存和發展資料的能力
[03709.90-03713.26] 生產力代表的施重能力,什麼能力能力?
[03713.26-03716.14] 人從大戰當中獲取物的能力
[03716.14-03722.04] 同時想一下,如果當那時間之內,你從大戰當中獲取物的能力越高,就意味著什麼?
[03722.04-03724.04] 你的生產力水平是越高的
[03724.04-03728.04] 比如說咱們兩個同時去田年地頭上去幹嘛呢
[03728.04-03730.04] 去哥麥子 對吧
[03730.04-03733.64] 那哥麥子的話咱俩誰的生產力水平高就看一個小時之後
[03733.64-03734.84] 誰哥的麥子多
[03734.84-03736.84] 如果一個小時之後你哥的麥子多
[03736.84-03739.64] 你就把那整片地那十目地你都哥完了
[03739.64-03741.64] 一個小時啊 你牛死了 對吧
[03741.64-03744.04] 那這時候你的生產力水平就高
[03744.04-03746.04] 如果一個小時之後我只哥了什麼呢
[03746.04-03748.24] 兩平我都沒所需幾步
[03748.24-03749.84] 你呢把那十目都哥完了
[03749.84-03750.84] 那一對比之下
[03750.84-03753.52] 你从大在那种获举物的能力墙
[03753.52-03755.44] 那你的日子过得比我好
[03755.44-03757.80] 生产的水分就一定要比我高
[03757.80-03763.64] 所以所谓的生产力是人从自然当中获举物的一种能力
[03763.64-03765.48] 这个就叫做生产力
[03765.48-03767.64] 所以这个概念同学们了解一下
[03767.64-03769.80] 所以我们现在总说生产力水平
[03769.80-03770.80] 实在是水平
[03770.80-03773.24] 就知道什么叫做生产力就可以了
[03773.24-03776.24] 重点不在于生产力的喊一
[03776.24-03779.72] 重点在于我们所说的生产力的
[03779.72-03781.44] 购成要素
[03781.44-03783.34] 所以生产力的购成要素
[03783.34-03786.12] 其实就是从他的概念当中
[03786.12-03787.12] 结析出来的
[03787.12-03790.84] 生产力生产力一定是在生产当中所体现的能力
[03790.84-03791.96] 所以生产的时候
[03791.96-03793.24] 第一个必须有谁
[03793.24-03795.84] 必须在有人没有人杂搞生产
[03795.84-03797.36] 所以有生产
[03797.36-03798.84] 就一定会有人
[03798.84-03799.68] 第一个
[03799.68-03800.88] 第二个人要干嘛呢
[03800.88-03802.64] 人要利用自然感兽自然
[03802.64-03804.32] 所以人以一定是
[03804.32-03807.12] 在生产过程当中对大自然做了点什么
